Wtorek,01,Wrzesieñ,2026,16:08:47:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Napiêcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.88,768,96.0,-0.4,10111111,0.29,800,29.4,4.12,418.2,0.59,-0.4,1.52, , 
,1.83,768,96.0,0.0,10111111,1.19,800,29.4,4.12,438.6,1.50,0.0,1.52, , 
,2.72,768,96.0,0.0,10111111,2.14,800,29.4,4.12,438.6,2.42,0.0,1.48, , 
,3.60,800,96.0,0.0,10111111,3.02,800,29.4,4.12,418.2,3.31,0.0,1.48, , 
,4.52,800,96.0,0.0,10111111,3.91,768,29.4,4.12,418.2,4.23,0.0,1.48, , 
,5.39,800,96.0,0.0,10111111,4.81,768,29.4,4.12,418.2,5.10,0.0,1.48, , 
,6.24,768,96.0,-0.4,10111111,5.67,800,29.4,4.12,418.2,5.95,0.0,1.48, , 
,7.17,704,96.0,0.0,10101011,6.55,768,29.4,4.12,438.6,6.86,0.4,1.52, , 
,8.15,1280,96.0,-0.4,10101011,7.49,864,57.6,9.27,714.0,7.82,0.0,1.56, , 
,9.05,768,96.0,0.0,10101011,8.44,1120,48.6,7.21,591.6,8.75,0.0,1.64, , 
,10.05,1248,96.0,0.0,10101011,9.36,896,57.6,8.24,714.0,9.69,0.0,1.56, , 
,11.02,1568,96.0,0.0,10111111,10.37,1440,63.5,10.30,734.4,10.73,0.0,0.82, , 
,11.92,1024,96.0,0.0,10101011,11.32,1152,28.2,4.12,397.8,11.61,0.0,3.24, , 
,12.87,1120,96.0,0.0,10101011,12.22,1024,40.0,6.18,520.2,12.56,0.0,1.60, , 
,13.85,1408,96.0,0.0,10101011,13.18,1184,66.3,10.30,795.6,13.52,0.0,1.45, , 
,14.79,1664,96.0,-5.5,10101011,14.12,1472,65.1,10.30,775.2,14.46,-5.5,1.13, , 
,15.87,2080,94.5,-9.4,10101001,15.16,1760,75.3,12.36,867.0,15.53,-8.2,1.45, , 
,16.90,2496,94.5,-13.3,10101001,16.21,2176,84.3,13.39,948.6,16.56,-12.9,1.45, , 
,17.91,2368,96.0,0.0,10111101,17.22,2592,82.7,12.36,928.2,17.57,0.0,1.48, , 
,18.97,1792,94.5,0.0,10101011,18.23,1824,0.0,0.00,295.8,18.61,0.0,3.79, , 
,20.06,1856,94.5,0.0,10101011,19.34,1824,40.0,6.18,479.4,19.71,0.0,1.45, , 
,21.14,2016,94.5,-5.5,10101001,20.42,1920,63.5,10.30,734.4,20.78,-2.7,1.29, , 
,22.16,2112,94.5,-11.3,10101001,21.47,2048,62.0,9.27,714.0,21.83,-10.2,1.33, , 
,23.22,2208,94.5,-11.3,11101001,22.52,2176,59.2,8.24,693.6,22.88,-12.1,1.52, , 
,24.23,2304,94.5,-5.1,11101001,23.55,2240,45.9,6.18,550.8,23.90,-6.3,1.64, , 
,25.28,2400,93.0,-12.9,11101001,24.55,2304,59.2,8.24,673.2,24.91,-10.5,1.45, , 
,26.38,2496,93.0,-16.4,11101001,25.64,2432,62.0,8.24,714.0,26.02,-16.0,1.41, , 
,27.42,2656,93.0,-10.9,11101001,26.71,2560,59.2,8.24,673.2,27.06,-12.1,1.45, , 
,28.45,2816,93.0,-9.0,11101001,27.78,2688,81.2,12.36,907.8,28.11,-10.5,1.52, , 
,29.44,1920,93.0,0.0,11111111,28.79,2880,73.7,9.27,867.0,29.12,0.0,3.36, , 
,30.50,2048,93.0,0.0,11101001,29.80,1408,22.0,3.09,316.2,30.16,0.0,3.05, , 
,31.56,2080,91.5,0.0,11101001,30.83,2080,44.3,7.21,499.8,31.19,0.0,1.25, , 
,32.56,2144,91.5,-4.7,11101001,31.89,2112,57.6,8.24,673.2,32.23,-3.9,1.45, , 
,33.57,2208,91.5,-5.9,11101001,32.89,2144,59.2,8.24,673.2,33.22,-5.9,1.45, , 
,34.59,2240,91.5,-7.4,11101001,33.92,2208,57.6,8.24,673.2,34.25,-6.3,1.52, , 
,35.61,2304,91.5,-12.1,11101001,34.92,2272,66.3,9.27,754.8,35.25,-10.9,1.41, , 
,36.65,2336,91.5,-12.1,11101001,35.94,2336,65.1,9.27,734.4,36.29,-13.3,1.52, , 
,37.67,2400,91.5,-9.0,11101001,36.97,2368,59.2,8.24,673.2,37.30,-9.8,1.60, , 
,38.70,2432,91.5,-5.9,11101001,38.01,2400,56.1,7.21,652.8,38.35,-6.6,1.48, , 
,39.78,2496,91.5,-3.5,11101001,39.04,2464,54.5,8.24,632.4,39.41,-4.3,1.48, , 
,40.82,2528,91.5,-2.0,11101001,40.14,2496,53.3,8.24,632.4,40.46,-3.1,1.48, , 
,41.87,2560,91.5,-9.8,11101001,41.16,2528,53.3,7.21,612.0,41.53,-9.0,1.45, , 
,42.90,2560,90.0,-10.2,11101001,42.22,2560,54.5,8.24,632.4,42.55,-9.8,1.45, , 
,43.92,2592,90.0,-9.4,11101001,43.23,2592,53.3,8.24,612.0,43.57,-9.8,1.52, , 
,44.95,2624,90.0,-7.8,11101001,44.27,2624,51.8,7.21,612.0,44.61,-8.2,1.52, , 
,45.98,2656,90.0,-7.0,11101001,45.30,2624,51.8,7.21,612.0,45.65,-6.6,1.45, , 
,47.04,2656,90.0,-7.0,11101001,46.35,2656,51.8,8.24,591.6,46.69,-7.0,1.45, , 
,48.06,2688,90.0,-6.3,11101001,47.38,2688,50.2,7.21,591.6,47.71,-6.3,1.52, , 
,49.09,2720,91.5,-6.3,11101001,48.41,2720,50.2,7.21,591.6,48.75,-6.3,1.45, , 
,50.10,2784,90.0,-10.5,11101001,49.43,2720,69.4,10.30,775.2,49.77,-9.8,1.41, , 
,51.12,2848,90.0,-11.3,11101001,50.42,2816,79.6,12.36,887.4,50.77,-11.3,1.48, , 
,52.09,2912,90.0,-10.9,11101001,51.45,2880,79.6,12.36,887.4,51.74,-11.7,1.48, , 
,53.14,2080,90.0,0.0,11111101,52.45,2944,78.4,12.36,867.0,52.79,0.0,2.93, , 
,54.13,2208,90.0,0.0,11101001,53.45,1600,0.0,0.00,316.2,53.80,0.0,3.87, , 
,55.15,2176,90.0,-2.7,11101001,54.47,2176,19.2,3.09,275.4,54.79,0.0,1.37, , 
,56.16,2208,90.0,0.0,11101001,55.49,2208,50.2,8.24,591.6,55.82,0.0,1.09, , 
,57.16,2208,90.0,-4.7,11101001,56.51,2208,66.3,11.33,754.8,56.83,-3.5,1.29, , 
,58.19,2240,90.0,-5.9,11101001,57.50,2208,65.1,10.30,754.8,57.83,-8.6,1.29, , 
,59.20,2240,90.0,-4.7,11101001,58.53,2208,45.9,6.18,550.8,58.86,-5.1,1.56, , 
,60.22,2240,90.0,-3.1,11101001,59.54,2240,44.3,6.18,520.2,59.88,-3.1,1.48, , 
,61.28,2208,90.0,-3.9,11101001,60.58,2240,38.4,6.18,479.4,60.93,-4.3,1.45, , 
,62.32,2208,88.5,-4.3,11101001,61.64,2208,36.9,5.15,459.0,61.97,-4.3,1.48, , 
,63.33,2208,88.5,-2.3,11101001,62.67,2208,44.3,6.18,520.2,63.01,-3.5,1.52, , 
,64.37,2208,88.5,-5.9,11101001,63.68,2240,53.3,8.24,612.0,64.03,-5.1,1.33, , 
,65.38,2240,88.5,-7.4,11101001,64.69,2240,53.3,8.24,632.4,65.04,-7.4,1.45, , 
,66.41,2240,88.5,-5.1,11101001,65.72,2208,50.2,7.21,591.6,66.07,-7.0,1.52, , 
,67.43,2208,88.5,-3.5,11101001,66.74,2240,36.9,5.15,459.0,67.08,-4.3,1.48, , 
,68.45,2240,88.5,-3.9,11101001,67.78,2208,50.2,7.21,591.6,68.12,-4.3,1.52, , 
,69.42,2240,88.5,-3.1,11101001,68.78,2240,50.2,7.21,591.6,69.09,-3.1,1.45, , 
,70.42,2240,88.5,-1.2,11101001,69.75,2240,42.7,6.18,520.2,70.09,-2.0,1.48, , 
,71.45,2272,88.5,-1.2,11101001,70.75,2240,42.7,6.18,520.2,71.11,-1.2,1.48, , 
,72.42,2272,88.5,-2.3,11101001,71.78,2272,41.2,6.18,499.8,72.09,-2.0,1.41, , 
,73.43,2272,88.5,-2.3,11101001,72.75,2272,19.2,3.09,295.8,73.09,-2.3,1.48, , 
,74.44,2272,88.5,-2.0,11101001,73.77,2272,19.2,3.09,275.4,74.11,-1.6,1.48, , 
,75.44,2272,88.5,-1.2,11101001,74.78,2272,19.2,3.09,275.4,75.10,-1.2,1.45, , 
,76.45,2272,88.5,-0.4,11101001,75.77,2272,19.2,3.09,275.4,76.11,-0.4,1.52, , 
,77.45,2272,88.5,-0.4,11101001,76.78,2272,20.8,3.09,295.8,77.11,0.4,1.45, , 
,78.47,2272,88.5,0.4,11101001,77.78,2272,29.4,4.12,377.4,78.11,0.0,1.52, , 
,79.48,2272,88.5,0.8,11101001,78.82,2272,32.5,5.15,418.2,79.15,0.8,1.48, , 
,80.49,2272,88.5,2.0,11101001,79.80,2272,34.1,5.15,418.2,80.15,2.3,1.48, , 
,81.56,2272,87.0,1.6,11101001,80.86,2272,32.5,5.15,418.2,81.21,1.2,1.45, , 
,82.58,2240,87.0,0.4,11101001,81.89,2272,32.5,5.15,397.8,82.22,0.8,1.45, , 
,83.61,2240,87.0,2.0,11101001,82.91,2272,44.3,7.21,520.2,83.25,1.2,1.52, , 
,84.59,2208,87.0,-1.6,11101001,83.96,2240,45.9,7.21,550.8,84.28,2.7,1.45, , 
,85.61,2208,87.0,-9.4,11101001,84.92,2208,59.2,9.27,673.2,85.27,-7.0,1.29, , 
,86.64,2208,87.0,-13.3,11101001,85.96,2208,63.5,9.27,734.4,86.30,-12.1,1.45, , 
,87.66,2208,87.0,-15.6,11101001,86.97,2208,65.1,9.27,734.4,87.32,-15.2,1.52, , 
,88.70,2208,87.0,-15.6,11101001,88.02,2208,65.1,9.27,734.4,88.37,-15.6,1.56, , 
,89.75,2240,87.0,-14.8,11101001,89.03,2208,65.1,9.27,734.4,89.39,-15.2,1.52, , 
,90.77,2240,87.0,-14.8,11101001,90.08,2240,65.1,9.27,734.4,90.43,-14.5,1.52, , 
,91.79,2240,87.0,-14.5,11101001,91.12,2240,65.1,9.27,734.4,91.46,-14.5,1.48, , 
,92.82,2272,87.0,-14.5,11101001,92.14,2240,65.1,9.27,734.4,92.47,-14.8,1.48, , 
,93.83,2272,87.0,-14.5,11101001,93.16,2272,65.1,9.27,734.4,93.49,-14.5,1.48, , 
,94.85,2272,85.5,-14.8,11101001,94.17,2272,65.1,9.27,734.4,94.51,-14.1,1.45, , 
,95.88,2304,85.5,-12.5,11101001,95.18,2304,63.5,9.27,714.0,95.52,-14.5,1.52, , 
,96.88,2304,85.5,-11.7,11101001,96.22,2304,59.2,8.24,673.2,96.56,-11.3,1.48, , 
,97.90,2336,85.5,-10.5,11101001,97.21,2336,59.2,8.24,673.2,97.55,-11.3,1.45, , 
,98.96,2336,85.5,-4.7,11101001,98.24,2336,51.8,7.21,612.0,98.60,-5.9,1.52, , 
,100.00,2336,85.5,-3.9,11101001,99.29,2336,53.3,8.24,612.0,99.64,-3.5,1.45, , 
,101.08,2336,85.5,-3.9,11101001,100.38,2336,53.3,8.24,612.0,100.71,-3.9,1.45, , 
,102.10,2336,85.5,-4.3,11101001,101.43,2336,53.3,8.24,612.0,101.76,-3.9,1.52, , 
,103.13,2336,85.5,-4.3,11101001,102.45,2336,51.8,8.24,612.0,102.79,-4.3,1.41, , 
,104.17,2336,85.5,-3.9,11101001,103.49,2336,53.3,8.24,612.0,103.84,-3.9,1.48, , 
,105.20,2336,85.5,-4.7,11101001,104.50,2304,53.3,8.24,612.0,104.86,-4.7,1.48, , 
,106.19,2304,85.5,0.4,11101001,105.52,2304,42.7,6.18,520.2,105.85,0.0,1.52, , 
,107.21,2304,85.5,0.4,11101001,106.53,2304,35.3,5.15,438.6,106.86,0.0,1.48, , 
,108.22,2272,85.5,0.0,11101001,107.54,2304,35.3,5.15,438.6,107.88,0.4,1.45, , 
,109.25,2272,85.5,3.1,11101001,108.57,2272,36.9,6.18,459.0,108.91,1.2,1.52, , 
,110.26,2272,85.5,3.5,11101001,109.57,2272,42.7,6.18,520.2,109.91,3.5,1.45, , 
,111.29,2240,85.5,3.9,11101001,110.60,2272,45.9,7.21,520.2,110.94,3.9,1.45, , 
,112.31,2240,85.5,3.1,11101001,111.64,2240,45.9,7.21,550.8,111.98,3.5,1.45, , 
,113.32,2240,85.5,2.0,11101001,112.64,2240,45.9,7.21,550.8,112.98,2.7,1.45, , 
,114.34,2240,85.5,1.2,11101001,113.68,2272,44.3,7.21,520.2,114.01,2.0,1.52, , 
,115.36,2240,85.5,1.2,11101001,114.68,2240,34.1,5.15,418.2,115.02,1.2,1.45, , 
,116.37,2208,85.5,0.0,11101001,115.70,2208,34.1,5.15,418.2,116.04,0.0,1.45, , 
,117.40,2208,85.5,0.8,11101001,116.71,2208,32.5,5.15,418.2,117.06,-1.2,1.45, , 
,118.43,2176,85.5,3.5,11101001,117.74,2176,16.1,2.06,244.8,118.08,-3.9,1.29, , 
,119.44,2112,84.0,0.8,11101001,118.77,2144,16.1,2.06,244.8,119.10,0.4,1.64, , 
,120.49,2112,84.0,0.4,11101001,119.79,2112,14.9,2.06,244.8,120.14,5.1,1.68, , 
,121.53,2080,84.0,6.6,11101001,120.84,2080,14.9,2.06,244.8,121.19,0.8,1.41, , 
,122.57,2080,84.0,0.0,11101001,121.87,2080,22.0,3.09,316.2,122.22,4.3,1.45, , 
,123.64,2080,84.0,-2.0,11101001,122.92,2048,53.3,8.24,612.0,123.29,-1.6,1.45, , 
,124.69,2080,84.0,0.4,11101001,123.99,2080,53.3,8.24,612.0,124.34,2.0,1.48, , 
,125.70,2112,84.0,-1.2,11101001,125.02,2080,54.5,8.24,632.4,125.35,-0.8,1.41, , 
,126.72,2112,84.0,0.4,11101001,126.04,2112,57.6,8.24,673.2,126.38,-2.7,1.48, , 
,127.76,2144,84.0,-4.3,11101001,127.06,2112,60.4,8.24,693.6,127.41,-2.3,1.41, , 
,128.78,2176,84.0,-1.2,11101001,128.09,2176,67.8,10.30,775.2,128.44,-0.8,1.48, , 
,129.80,2208,84.0,3.5,11101001,129.12,2176,69.4,10.30,775.2,129.47,2.7,1.52, , 
,130.81,2240,84.0,3.9,11101001,130.15,2208,69.4,10.30,775.2,130.48,4.7,1.52, , 
,131.80,2240,84.0,6.6,11101001,131.15,2240,51.8,6.18,612.0,131.49,0.0,1.76, , 
,132.81,2240,84.0,12.9,11101001,132.14,2240,51.8,7.21,612.0,132.48,10.9,1.60, , 
,133.80,2240,84.0,16.8,11101001,133.15,2240,51.8,7.21,612.0,133.48,16.0,1.52, , 
,134.79,2240,84.0,0.0,11101001,134.14,2272,51.8,8.24,612.0,134.47,0.0,1.72, , 
,135.82,2240,84.0,12.5,11101001,135.12,2240,42.7,6.18,520.2,135.47,10.5,1.68, , 
1,136.84,2208,84.0,4.7,11101001,136.16,2208,25.1,3.09,336.6,136.50,5.1,1.72, , 
,137.86,2176,84.0,12.5,11101001,137.18,2208,32.5,4.12,418.2,137.51,10.5,1.64, , 
,138.94,2176,84.0,16.8,11101001,138.22,2176,35.3,5.15,438.6,138.57,18.0,1.60, , 
,139.95,2176,84.0,19.1,11101001,139.28,2176,50.2,7.21,591.6,139.62,18.8,1.45, , 
,140.96,2144,84.0,22.7,11101001,140.27,2176,45.9,7.21,550.8,140.62,22.7,1.52, , 
