Wtorek,01,Wrzesieñ,2026,06:26:50:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Napiêcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.53,0,18.0,0.0,10110110,0.01,0,0.0,0.00,989.4,0.27,0.0,1.48, , 
,1.33,0,18.0,0.0,10110110,0.80,0,0.0,0.00,989.4,1.06,0.0,1.48, , 
,2.15,0,18.0,0.0,10110110,1.60,0,0.0,0.00,989.4,1.87,0.0,1.48, , 
,2.98,0,18.0,0.0,10110110,2.43,0,0.0,0.00,989.4,2.71,0.0,1.48, , 
,3.82,0,18.0,0.0,10110110,3.26,0,0.0,0.00,989.4,3.54,0.0,1.48, , 
,4.63,0,18.0,0.0,10110110,4.10,0,0.0,0.00,989.4,4.36,0.0,1.48, , 
,5.43,0,18.0,0.0,10110110,4.89,0,0.0,0.00,989.4,5.16,0.0,1.48, , 
,6.24,0,18.0,0.0,10110110,5.69,0,0.0,0.00,989.4,5.96,0.0,1.48, , 
,7.04,0,18.0,0.0,10110110,6.50,0,0.0,0.00,989.4,6.77,0.0,1.48, , 
,7.85,0,18.0,0.0,10110110,7.31,0,0.0,0.00,989.4,7.58,0.0,1.48, , 
,8.65,0,18.0,0.0,10110110,8.11,0,0.0,0.00,989.4,8.38,0.0,1.48, , 
,9.47,0,18.0,0.0,10110110,8.93,0,0.0,0.00,989.4,9.21,0.0,1.48, , 
,10.29,0,18.0,0.0,10110110,9.74,0,0.0,0.00,989.4,10.01,0.0,1.48, , 
,11.11,0,18.0,0.0,10110110,10.57,0,0.0,0.00,989.4,10.85,0.0,1.48, , 
,11.91,0,18.0,0.0,10110110,11.38,0,0.0,0.00,989.4,11.64,0.0,1.48, , 
,12.70,0,18.0,0.0,10110110,12.17,0,0.0,0.00,989.4,12.44,0.0,1.48, , 
,13.53,0,18.0,0.0,10110110,12.98,0,0.0,0.00,989.4,13.26,0.0,1.48, , 
,14.33,0,18.0,0.0,10110110,13.80,0,0.0,0.00,989.4,14.07,0.0,1.48, , 
,15.13,0,18.0,0.0,10110110,14.60,0,0.0,0.00,989.4,14.86,0.0,1.48, , 
,15.93,0,18.0,0.0,10110110,15.39,0,0.0,0.00,989.4,15.66,0.0,1.48, , 
,16.75,0,18.0,0.0,10110110,16.21,0,0.0,0.00,989.4,16.48,0.0,1.48, , 
,17.57,0,18.0,0.0,10110110,17.02,0,0.0,0.00,989.4,17.29,0.0,1.48, , 
,18.40,0,18.0,0.0,10110110,17.85,0,0.0,0.00,989.4,18.12,0.0,1.48, , 
,19.20,0,18.0,0.0,10110110,18.68,0,0.0,0.00,989.4,18.94,0.0,1.48, , 
,20.04,0,18.0,0.0,10110110,19.48,0,0.0,0.00,989.4,19.76,0.0,1.48, , 
,20.85,0,18.0,0.0,10110110,20.32,0,0.0,0.00,989.4,20.58,0.0,1.48, , 
,21.64,0,18.0,0.0,10110110,21.11,0,0.0,0.00,989.4,21.38,0.0,1.48, , 
,22.44,0,18.0,0.0,10110110,21.91,0,0.0,0.00,989.4,22.17,0.0,1.48, , 
,23.26,0,18.0,0.0,10110110,22.71,0,0.0,0.00,989.4,22.98,0.0,1.48, , 
,24.10,0,18.0,0.0,10110110,23.54,0,0.0,0.00,989.4,23.82,0.0,1.48, , 
,24.90,0,18.0,0.0,10110110,24.36,0,0.0,0.00,989.4,24.63,0.0,1.48, , 
,25.73,0,18.0,0.0,10110110,25.18,0,0.0,0.00,989.4,25.46,0.0,1.48, , 
,26.53,0,18.0,0.0,10110110,26.00,0,0.0,0.00,989.4,26.27,0.0,1.48, , 
,27.33,0,18.0,0.0,10110110,26.80,0,0.0,0.00,989.4,27.06,0.0,1.48, , 
,28.13,0,18.0,0.0,10110110,27.59,0,0.0,0.00,989.4,27.86,0.0,1.48, , 
,28.93,0,18.0,0.0,10110110,28.39,0,0.0,0.00,989.4,28.66,0.0,1.48, , 
,29.74,0,18.0,0.0,10110110,29.21,0,0.0,0.00,989.4,29.47,0.0,1.48, , 
,30.57,0,18.0,0.0,10110110,30.01,0,0.0,0.00,989.4,30.29,0.0,1.48, , 
,31.36,0,18.0,0.0,10110110,30.83,0,0.0,0.00,989.4,31.10,0.0,1.48, , 
,32.18,0,18.0,0.0,10110110,31.63,0,0.0,0.00,989.4,31.90,0.0,1.48, , 
,33.00,0,18.0,0.0,10110110,32.46,0,0.0,0.00,989.4,32.73,0.0,1.48, , 
,33.82,0,18.0,0.0,10110110,33.27,0,0.0,0.00,989.4,33.54,0.0,1.48, , 
,34.61,0,18.0,0.0,10110110,34.08,0,0.0,0.00,989.4,34.35,0.0,1.48, , 
,35.41,0,18.0,0.0,10110110,34.88,0,0.0,0.00,989.4,35.14,0.0,1.48, , 
,36.21,0,18.0,0.0,10110110,35.67,0,0.0,0.00,989.4,35.94,0.0,1.48, , 
,37.00,0,18.0,0.0,10110110,36.47,0,0.0,0.00,989.4,36.74,0.0,1.48, , 
,37.80,0,18.0,0.0,10110110,37.27,0,0.0,0.00,989.4,37.53,0.0,1.48, , 
,38.60,0,18.0,0.0,10110110,38.06,0,0.0,0.00,989.4,38.33,0.0,1.48, , 
,39.39,0,18.0,0.0,10110110,38.86,0,0.0,0.00,989.4,39.13,0.0,1.48, , 
,40.19,0,18.0,0.0,10110110,39.66,0,0.0,0.00,989.4,39.92,0.0,1.48, , 
,41.01,0,18.0,0.0,10110110,40.46,0,0.0,0.00,989.4,40.73,0.0,1.48, , 
,41.83,0,18.0,0.0,10110110,41.29,0,0.0,0.00,989.4,41.57,0.0,1.48, , 
,42.63,0,18.0,0.0,10110110,42.10,0,0.0,0.00,989.4,42.36,0.0,1.48, , 
,43.43,0,18.0,0.0,10110110,42.89,0,0.0,0.00,989.4,43.16,0.0,1.48, , 
,44.26,0,18.0,0.0,10110110,43.70,0,0.0,0.00,989.4,43.98,0.0,1.48, , 
,45.07,0,18.0,0.0,10110110,44.53,0,0.0,0.00,989.4,44.80,0.0,1.48, , 
,45.88,0,18.0,0.0,10110110,45.35,0,0.0,0.00,989.4,45.61,0.0,1.48, , 
,46.69,160,18.0,0.0,10110110,46.14,0,0.0,0.00,989.4,46.41,0.0,1.48, , 
,47.52,192,18.0,0.0,10110110,46.97,192,100.0,66.95,969.0,47.25,0.0,1.48, , 
,48.39,1120,18.0,0.0,10110110,47.79,192,100.0,61.80,969.0,48.09,0.0,1.48, , 
,49.36,1184,18.0,0.0,10110110,48.71,1120,59.2,14.42,652.8,49.03,0.0,1.48, , 
,50.25,1024,18.0,0.0,10110110,49.65,1056,44.3,10.30,499.8,49.96,0.0,1.48, , 
,51.18,1024,18.0,0.0,10110110,50.55,1024,47.1,10.30,520.2,50.86,0.0,1.48, , 
,52.15,992,18.0,0.0,10110110,51.48,1024,47.1,10.30,520.2,51.80,0.0,1.48, , 
,53.07,992,18.0,0.0,10110110,52.45,1024,47.1,10.30,520.2,52.74,0.0,1.48, , 
,53.98,992,18.0,0.0,10110110,53.35,992,45.9,9.27,520.2,53.64,0.0,1.48, , 
,54.95,992,18.0,0.0,10110110,54.26,992,45.9,9.27,520.2,54.62,0.0,1.48, , 
,55.95,992,18.0,0.0,10110110,55.26,992,44.3,9.27,499.8,55.59,0.0,1.48, , 
,56.87,992,18.0,0.0,10110110,56.24,992,44.3,8.24,499.8,56.58,0.0,1.48, , 
,57.81,992,18.0,0.0,10110110,57.17,992,42.7,8.24,499.8,57.53,0.0,1.48, , 
,58.80,992,18.0,0.0,10110110,58.08,992,42.7,8.24,479.4,58.44,0.0,1.48, , 
,59.80,992,18.0,0.0,10110110,59.16,992,42.7,8.24,479.4,59.52,0.0,1.48, , 
,60.64,992,18.0,0.0,10110110,60.09,992,41.2,7.21,479.4,60.37,0.0,1.48, , 
,61.61,960,18.0,0.0,10110110,61.00,992,41.2,7.21,479.4,61.34,0.0,1.48, , 
,62.63,992,18.0,0.0,10110110,61.97,992,41.2,7.21,479.4,62.33,0.0,1.48, , 
,63.56,960,18.0,0.0,10110110,62.91,960,40.0,7.21,459.0,63.27,0.0,1.48, , 
,64.48,960,18.0,0.0,10110110,63.85,960,40.0,7.21,459.0,64.20,0.0,1.48, , 
,65.43,960,18.0,0.0,10110110,64.84,992,40.0,7.21,459.0,65.13,0.0,1.48, , 
,66.37,960,18.0,0.0,10110110,65.75,960,40.0,6.18,459.0,66.03,0.0,1.48, , 
,67.29,960,18.0,0.0,10110110,66.64,960,38.4,6.18,459.0,66.99,0.0,1.48, , 
,68.23,960,19.5,0.0,10110110,67.60,960,38.4,6.18,459.0,67.93,0.0,1.48, , 
,69.13,960,19.5,0.0,10110110,68.54,960,38.4,6.18,459.0,68.82,0.0,1.48, , 
,70.06,928,19.5,0.0,10110110,69.42,960,36.9,6.18,438.6,69.73,0.0,1.48, , 
,70.94,960,19.5,0.0,10110110,70.38,960,38.4,6.18,438.6,70.66,0.0,1.48, , 
,71.88,960,19.5,0.0,10110110,71.25,960,36.9,6.18,438.6,71.57,0.0,1.48, , 
,72.85,928,19.5,0.0,10110110,72.19,928,36.9,6.18,438.6,72.51,0.0,1.48, , 
,73.76,928,19.5,0.0,10110110,73.16,928,36.9,6.18,438.6,73.45,0.0,1.48, , 
,74.70,928,19.5,0.0,10110110,74.08,928,36.9,6.18,438.6,74.39,0.0,1.45, , 
,75.66,928,19.5,0.0,10110110,75.02,928,36.9,5.15,438.6,75.33,0.0,1.45, , 
,76.56,928,19.5,0.0,10110110,75.96,928,36.9,5.15,438.6,76.25,0.0,1.41, , 
,77.50,928,19.5,0.0,10110110,76.89,928,36.9,5.15,438.6,77.19,0.0,1.37, , 
,78.41,960,19.5,0.0,10110110,77.80,928,36.9,5.15,438.6,78.10,0.0,1.33, , 
,79.34,928,21.0,0.0,10110110,78.72,928,36.9,5.15,438.6,79.04,0.0,1.25, , 
,80.27,928,21.0,0.0,10110110,79.65,928,36.9,6.18,438.6,79.95,0.0,1.21, , 
,81.20,928,21.0,0.0,10110110,80.60,928,36.9,5.15,438.6,80.91,0.0,1.21, , 
,82.16,928,21.0,0.0,10110110,81.53,928,36.9,5.15,438.6,81.85,0.0,1.21, , 
,83.11,928,21.0,0.0,10110110,82.48,928,36.9,5.15,438.6,82.80,0.0,1.21, , 
,84.04,928,21.0,0.0,10110110,83.43,928,36.9,5.15,438.6,83.72,0.0,1.25, , 
,85.00,928,21.0,0.0,10110110,84.38,928,36.9,5.15,438.6,84.68,0.0,1.21, , 
,85.93,928,21.0,0.0,10110110,85.31,928,36.9,5.15,438.6,85.63,0.0,1.21, , 
,86.84,928,21.0,0.0,10110110,86.24,928,36.9,5.15,438.6,86.55,0.0,1.21, , 
,87.76,928,21.0,0.0,10110110,87.16,928,35.3,5.15,438.6,87.47,0.0,1.21, , 
,88.68,928,21.0,0.0,10110110,88.07,928,36.9,5.15,438.6,88.36,0.0,1.21, , 
,89.59,928,21.0,0.0,10110110,88.99,928,36.9,5.15,438.6,89.29,0.0,1.25, , 
,90.52,928,21.0,0.0,10110110,89.91,928,36.9,5.15,438.6,90.20,0.0,1.21, , 
,91.45,928,22.5,0.0,10110110,90.84,928,36.9,5.15,438.6,91.15,0.0,1.17, , 
,92.39,928,22.5,0.0,10110110,91.77,928,36.9,5.15,438.6,92.08,0.0,1.21, , 
,93.29,928,22.5,0.0,10110110,92.69,928,36.9,5.15,438.6,92.98,0.0,1.21, , 
,94.25,928,22.5,0.0,10110110,93.62,928,35.3,5.15,438.6,93.94,0.0,1.21, , 
,95.17,928,22.5,0.0,10110110,94.56,928,35.3,5.15,438.6,94.86,0.0,1.17, , 
,96.10,928,22.5,0.0,10110110,95.48,928,35.3,5.15,438.6,95.80,0.0,1.17, , 
,97.05,928,22.5,0.0,10110110,96.41,928,35.3,5.15,438.6,96.73,0.0,1.17, , 
,97.99,928,22.5,0.0,10110110,97.37,928,35.3,5.15,438.6,97.67,0.0,1.21, , 
,98.89,928,22.5,0.0,10110110,98.28,928,35.3,5.15,438.6,98.59,0.0,1.21, , 
,99.82,928,22.5,0.0,10110110,99.20,896,35.3,5.15,438.6,99.52,0.0,1.17, , 
,100.75,896,22.5,0.0,10110110,100.14,896,36.9,5.15,438.6,100.45,0.0,1.21, , 
,101.63,864,22.5,0.0,10110110,101.03,896,38.4,6.18,459.0,101.34,0.0,1.21, , 
,102.55,960,22.5,0.0,10100010,101.94,864,40.0,6.18,479.4,102.25,0.0,1.25, , 
,103.48,832,24.0,0.0,10100010,102.87,928,36.9,5.15,438.6,103.18,0.0,1.13, , 
,104.36,672,24.0,0.0,10100010,103.77,736,42.7,6.18,499.8,104.07,0.0,1.21, , 
,105.25,768,24.0,0.0,10110110,104.64,704,51.8,9.27,591.6,104.93,0.0,1.17, , 
,106.19,928,24.0,0.0,10110110,105.55,736,54.5,10.30,612.0,105.86,0.0,1.09, , 
,107.14,928,24.0,0.0,10110110,106.51,960,41.2,6.18,479.4,106.83,0.0,1.02, , 
,108.06,928,24.0,-1.6,10111110,107.44,928,41.2,6.18,479.4,107.75,0.0,1.09, , 
,108.98,928,24.0,-5.5,10111110,108.38,960,40.0,6.18,479.4,108.68,-4.7,1.17, , 
,109.91,928,24.0,-8.2,10111110,109.29,928,40.0,5.15,459.0,109.60,-7.4,1.25, , 
,110.84,896,24.0,-9.8,10111110,110.22,928,38.4,5.15,459.0,110.53,-9.0,1.29, , 
,111.74,800,24.0,-14.5,10101010,111.14,864,36.9,5.15,459.0,111.44,-14.5,1.25, , 
,112.66,1152,24.0,0.0,10101010,112.03,832,48.6,9.27,550.8,112.36,0.0,1.33, , 
,113.63,960,24.0,0.0,10101010,113.00,1024,44.3,7.21,499.8,113.33,0.0,1.17, , 
,114.58,1056,24.0,0.0,10101010,113.96,1280,34.1,3.09,418.2,114.26,0.0,1.02, , 
,115.54,960,24.0,-5.9,10101010,114.91,992,36.9,5.15,438.6,115.22,-5.9,1.09, , 
,116.41,640,25.5,0.0,10101010,115.84,896,38.4,5.15,459.0,116.13,-5.5,1.33, , 
,117.31,736,25.5,0.0,10101010,116.71,640,59.2,12.36,652.8,117.02,0.0,1.13, , 
,118.23,832,25.5,-5.1,10101010,117.62,800,48.6,7.21,591.6,117.94,0.0,1.05, , 
,119.18,928,25.5,-3.1,10101010,118.53,864,44.3,6.18,520.2,118.84,-3.1,1.37, , 
,120.09,1056,25.5,-7.0,10101010,119.45,960,41.2,6.18,479.4,119.78,-6.3,1.25, , 
,121.10,1216,25.5,-3.5,10101010,120.42,1088,42.7,6.18,479.4,120.76,-5.1,1.48, , 
,122.17,1600,25.5,4.7,10101010,121.41,1344,53.3,8.24,591.6,121.82,0.8,1.64, , 
,123.25,1984,25.5,0.0,10111110,122.55,1760,51.8,8.24,550.8,122.90,0.0,1.13, , 
,124.25,1504,25.5,-17.6,10101010,123.60,1952,22.0,3.09,295.8,123.93,0.0,0.39, , 
,125.19,992,25.5,0.0,10101010,124.54,1120,36.9,5.15,418.2,124.88,0.0,1.29, , 
,126.19,1088,25.5,-1.6,10101010,125.50,1056,47.1,8.24,550.8,125.84,0.0,1.21, , 
,127.13,1184,25.5,-3.5,10101010,126.51,1120,44.3,7.21,520.2,126.82,-3.5,1.29, , 
,128.12,1280,27.0,-0.4,10101010,127.44,1216,44.3,7.21,499.8,127.77,-2.3,1.45, , 
,129.13,1376,27.0,2.0,10101010,128.46,1312,47.1,7.21,520.2,128.79,1.2,1.48, , 
