Œroda,02,Wrzesieñ,2026,06:35:05:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.27,0,16.5,0.0,10110110,0.54,0,0.0,0.00,989.4,0.01,99.2,0.0, , 
,1.07,0,16.5,0.0,10110110,1.34,0,0.0,0.00,989.4,0.81,99.2,0.0, , 
,1.87,0,16.5,0.0,10110110,2.14,0,0.0,0.00,989.4,1.60,99.2,0.0, , 
,2.67,0,16.5,0.0,10110110,2.94,0,0.0,0.00,989.4,2.40,99.2,0.0, , 
,3.48,0,16.5,0.0,10110110,3.75,0,0.0,0.00,989.4,3.22,99.2,0.0, , 
,4.28,0,16.5,0.0,10110110,4.54,0,0.0,0.00,989.4,4.01,99.2,0.0, , 
,5.08,0,16.5,0.0,10110110,5.35,0,0.0,0.00,989.4,4.81,99.2,0.0, , 
,5.88,0,16.5,0.0,10110110,6.15,0,0.0,0.00,989.4,5.62,99.2,0.0, , 
,6.68,0,16.5,0.0,10110110,6.95,0,0.0,0.00,989.4,6.42,99.2,0.0, , 
,7.48,0,16.5,0.0,10110110,7.75,0,0.0,0.00,989.4,7.22,99.2,0.0, , 
,8.28,0,16.5,0.0,10110110,8.54,0,0.0,0.00,989.4,8.01,99.2,0.0, , 
,9.07,0,16.5,0.0,10110110,9.34,0,0.0,0.00,989.4,8.81,99.2,0.0, , 
,9.87,0,16.5,0.0,10110110,10.14,0,0.0,0.00,989.4,9.61,99.2,0.0, , 
,10.67,0,16.5,0.0,10110110,10.93,0,0.0,0.00,989.4,10.40,99.2,0.0, , 
,11.47,0,16.5,0.0,10110110,11.73,0,0.0,0.00,989.4,11.20,99.2,0.0, , 
,12.26,0,16.5,0.0,10110110,12.53,0,0.0,0.00,989.4,11.99,99.2,0.0, , 
,13.08,0,16.5,0.0,10110110,13.36,0,0.0,0.00,989.4,12.80,99.2,0.0, , 
,13.89,0,16.5,0.0,10110110,14.15,0,0.0,0.00,989.4,13.62,99.2,0.0, , 
,14.69,0,16.5,0.0,10110110,14.96,0,0.0,0.00,989.4,14.42,99.2,0.0, , 
,15.49,0,16.5,0.0,10110110,15.77,0,0.0,0.00,989.4,15.23,99.2,0.0, , 
,16.33,0,16.5,0.0,10110110,16.59,0,0.0,0.00,989.4,16.05,99.2,0.0, , 
,17.12,0,16.5,0.0,10110110,17.38,0,0.0,0.00,989.4,16.86,99.2,0.0, , 
,17.93,0,16.5,0.0,10110110,18.20,0,0.0,0.00,989.4,17.66,99.2,0.0, , 
,18.73,0,16.5,0.0,10110110,19.00,0,0.0,0.00,989.4,18.47,99.2,0.0, , 
,19.52,0,16.5,0.0,10110110,19.79,0,0.0,0.00,989.4,19.26,99.2,0.0, , 
,20.32,0,16.5,0.0,10110110,20.59,0,0.0,0.00,989.4,20.06,99.2,0.0, , 
,21.12,0,16.5,0.0,10110110,21.39,0,0.0,0.00,989.4,20.85,99.2,0.0, , 
,21.92,0,16.5,0.0,10110110,22.19,0,0.0,0.00,989.4,21.65,99.2,0.0, , 
,22.75,0,16.5,0.0,10110110,23.02,0,0.0,0.00,989.4,22.47,99.2,0.0, , 
,23.58,0,16.5,0.0,10110110,23.86,0,0.0,0.00,989.4,23.30,99.2,0.0, , 
,24.39,0,16.5,0.0,10110110,24.66,0,0.0,0.00,989.4,24.12,99.2,0.0, , 
,25.22,0,16.5,0.0,10110110,25.48,0,0.0,0.00,989.4,24.94,99.2,0.0, , 
,26.01,0,16.5,0.0,10110110,26.28,0,0.0,0.00,989.4,25.75,99.2,0.0, , 
,26.81,0,16.5,0.0,10110110,27.07,0,0.0,0.00,989.4,26.54,99.2,0.0, , 
,27.60,0,16.5,0.0,10110110,27.87,0,0.0,0.00,989.4,27.34,99.2,0.0, , 
,28.40,0,16.5,0.0,10110110,28.67,0,0.0,0.00,989.4,28.14,99.2,0.0, , 
,29.20,0,16.5,0.0,10110110,29.47,192,97.3,77.25,989.4,28.93,99.2,0.0, , 
,30.00,192,16.5,0.0,10110110,30.26,416,100.0,55.62,969.0,29.73,99.2,0.0, , 
,30.86,1216,16.5,0.0,10110110,31.17,1216,63.5,15.45,693.6,30.56,99.2,0.0, , 
,31.84,1184,16.5,0.0,10110110,32.14,1088,44.3,10.30,499.8,31.51,3.1,0.0, , 
,32.76,1056,16.5,0.0,10110110,33.06,1056,45.9,11.33,520.2,32.45,3.9,0.0, , 
,33.66,1056,16.5,0.0,10110110,33.96,1024,47.1,11.33,550.8,33.37,3.9,0.0, , 
,34.59,1152,16.5,0.0,10100010,34.92,1216,36.9,8.24,438.6,34.26,3.9,0.0, , 
,35.57,1088,16.5,0.0,10100010,35.89,992,42.7,9.27,479.4,35.25,3.9,0.0, , 
,36.60,992,16.5,0.0,10100010,36.91,960,42.7,9.27,499.8,36.24,4.7,0.0, , 
,37.54,960,16.5,0.0,10100010,37.86,1088,40.0,7.21,459.0,37.21,4.7,0.0, , 
,38.49,1120,16.5,0.0,10100010,38.81,1056,38.4,7.21,438.6,38.17,4.7,0.0, , 
,39.49,1216,16.5,0.0,10110110,39.79,1152,34.1,6.18,418.2,39.13,4.7,0.0, , 
,40.45,960,16.5,0.0,10110110,40.71,960,41.2,8.24,479.4,40.11,4.7,0.0, , 
,41.37,960,16.5,0.0,10110110,41.73,992,40.0,7.21,479.4,41.01,4.7,0.0, , 
,42.34,960,16.5,0.0,10110110,42.64,896,42.7,8.24,499.8,42.02,4.7,0.0, , 
,43.25,896,16.5,0.0,10110110,43.55,960,44.3,8.24,520.2,42.95,4.7,0.0, , 
,44.18,992,16.5,0.0,10110110,44.53,992,40.0,7.21,479.4,43.91,4.7,0.0, , 
,45.24,960,16.5,0.0,10110110,45.54,960,38.4,6.18,459.0,44.88,4.7,0.0, , 
,46.20,1056,16.5,0.0,10100010,46.51,1120,35.3,6.18,418.2,45.88,5.5,0.0, , 
,47.13,1120,16.5,0.0,10110110,47.44,960,36.9,6.18,438.6,46.81,4.7,0.0, , 
,48.06,928,16.5,0.0,10110110,48.37,928,40.0,7.21,459.0,47.74,5.5,0.0, , 
,48.98,928,16.5,0.0,10110110,49.28,960,40.0,6.18,479.4,48.69,5.5,0.0, , 
,49.91,960,16.5,0.0,10110110,50.25,960,40.0,6.18,479.4,49.57,4.7,0.0, , 
,50.84,960,18.0,0.0,10110110,51.17,960,41.2,6.18,479.4,50.54,4.7,0.0, , 
,51.79,960,18.0,0.0,10100010,52.11,1088,40.0,6.18,479.4,51.50,4.7,0.0, , 
,52.73,960,18.0,0.0,10100010,53.01,704,51.8,13.39,571.2,52.44,4.7,0.0, , 
,53.66,992,18.0,0.0,10110110,53.95,960,41.2,5.15,479.4,53.30,3.9,0.0, , 
,54.58,960,18.0,0.0,10110110,54.88,960,38.4,6.18,459.0,54.30,4.7,0.0, , 
,55.48,896,18.0,0.0,10110110,55.77,768,44.3,9.27,499.8,55.18,5.5,0.0, , 
,56.38,960,18.0,0.0,10110110,56.69,960,40.0,6.18,479.4,56.09,4.7,0.0, , 
,57.29,928,18.0,0.0,10100010,57.62,992,41.2,7.21,479.4,57.00,4.7,0.0, , 
,58.26,1216,18.0,0.0,10100010,58.58,1248,45.9,6.18,520.2,57.93,3.9,0.0, , 
,59.18,544,18.0,0.0,10100010,59.50,704,72.2,11.33,775.2,58.87,4.7,0.0, , 
,60.12,896,18.0,0.0,10100010,60.46,992,50.2,7.21,571.2,59.79,3.9,0.0, , 
,61.10,1056,18.0,0.0,10100010,61.47,1120,48.6,8.24,550.8,60.77,3.9,0.0, , 
,62.20,1408,19.5,0.0,10100010,62.54,1568,44.3,6.18,499.8,61.82,2.3,0.0, , 
,63.27,1728,19.5,0.0,10110110,63.63,1728,31.0,5.15,377.4,62.91,3.1,9.4, , 
,64.35,1568,19.5,0.0,10110110,64.70,1440,31.0,5.15,377.4,63.99,3.9,9.4, , 
,65.33,1120,19.5,0.0,10110110,65.59,992,36.9,5.15,438.6,65.02,4.7,0.0, , 
,66.23,960,19.5,-3.1,10111110,66.55,928,38.4,5.15,459.0,65.92,5.5,0.0, , 
,67.15,928,19.5,-5.1,10111110,67.50,896,41.2,8.24,479.4,66.84,5.5,0.0, , 
,68.16,1504,19.5,0.0,10101010,68.50,1664,47.1,7.21,520.2,67.82,2.3,0.0, , 
,69.19,1440,19.5,-5.1,10101010,69.52,1408,40.0,5.15,459.0,68.84,3.1,9.4, , 
,70.19,1280,19.5,-5.9,10101010,70.50,1056,35.3,5.15,438.6,69.87,3.1,0.0, , 
,71.08,704,19.5,0.0,10111110,71.39,768,54.5,13.39,632.4,70.79,6.3,0.0, , 
,72.01,896,19.5,0.0,10111110,72.32,928,42.7,6.18,499.8,71.70,4.7,0.0, , 
,72.89,736,21.0,0.0,10101010,73.19,768,54.5,11.33,612.0,72.62,5.5,0.0, , 
,73.82,864,21.0,0.0,10101010,74.14,928,53.3,8.24,591.6,73.50,4.7,0.0, , 
,74.80,1088,21.0,0.0,10101010,75.11,1184,59.2,10.30,652.8,74.48,3.9,0.0, , 
,75.80,1408,21.0,0.0,10101010,76.16,1600,59.2,10.30,632.4,75.43,2.3,0.0, , 
,76.87,1888,21.0,-8.6,10101010,77.22,2016,54.5,8.24,591.6,76.49,1.6,9.4, , 
,77.90,2176,21.0,0.0,10111100,78.26,2048,25.1,3.09,316.2,77.55,0.0,9.4, , 
,78.93,1440,21.0,0.0,10101010,79.25,1216,47.1,11.33,520.2,78.60,0.0,9.4, , 
,79.91,1216,21.0,0.0,10101010,80.24,1248,62.0,15.45,652.8,79.57,3.1,0.0, , 
,80.90,1376,21.0,0.0,10101010,81.21,1440,57.6,10.30,612.0,80.57,2.3,0.0, , 
,81.83,1536,22.5,-3.9,10101010,82.16,1568,47.1,7.21,520.2,81.48,2.3,0.0, , 
,82.89,1632,21.0,-15.6,10101010,83.26,1664,44.3,6.18,499.8,82.53,2.3,9.4, , 
,83.97,1696,22.5,-17.2,10101010,84.33,1728,44.3,6.18,479.4,83.62,2.3,9.4, , 
,85.08,1760,22.5,-18.8,10101010,85.46,1792,42.7,5.15,479.4,84.70,2.3,9.4, , 
,86.20,1824,22.5,-15.2,10101010,86.57,1856,47.1,6.18,499.8,85.84,0.0,9.4, , 
,87.30,1920,22.5,-11.3,10101010,87.65,1952,48.6,7.21,520.2,86.94,0.0,9.4, , 
,88.36,2016,22.5,-6.3,10101000,88.71,2048,48.6,7.21,520.2,88.01,0.0,9.4, , 
,89.38,2112,22.5,-5.1,10101000,89.71,2144,42.7,6.18,459.0,89.05,0.0,9.4, , 
,90.40,2176,22.5,-6.6,10101000,90.74,2176,40.0,6.18,438.6,90.06,0.0,9.4, , 
,91.41,2112,22.5,0.0,10111100,91.76,1952,22.0,3.09,295.8,91.08,0.0,9.4, , 
,92.48,1472,22.5,-11.3,10111110,92.79,1184,32.5,4.12,397.8,92.15,3.9,9.4, , 
,93.40,960,24.0,-7.4,10111110,93.70,928,40.0,6.18,479.4,93.10,5.5,0.0, , 
,94.30,928,24.0,-5.1,10111110,94.62,928,40.0,6.18,479.4,94.00,5.5,0.0, , 
,95.23,928,24.0,-2.3,10111110,95.54,928,40.0,6.18,479.4,94.92,4.7,0.0, , 
,96.18,928,24.0,-0.8,10111110,96.51,928,40.0,6.18,479.4,95.85,5.5,0.0, , 
,97.13,928,24.0,-0.4,10111110,97.44,928,40.0,6.18,479.4,96.83,5.5,0.0, , 
,98.04,928,24.0,-0.8,10111110,98.35,928,38.4,5.15,459.0,97.73,5.5,0.0, , 
,98.96,928,24.0,-1.6,10111110,99.24,928,38.4,5.15,459.0,98.65,5.5,0.0, , 
,99.86,896,24.0,-2.3,10111110,100.19,896,45.9,13.39,499.8,99.56,6.3,0.0, , 
,100.93,1952,24.0,0.0,10101010,101.29,1696,72.2,15.45,734.4,100.56,1.6,9.4, , 
,101.91,1344,24.0,0.0,10101010,102.29,1536,65.1,11.33,693.6,101.62,1.6,0.0, , 
,103.02,1920,25.5,0.0,10101010,103.36,1952,29.4,4.12,377.4,102.66,1.6,9.4, , 
,104.05,1728,25.5,0.0,10101010,104.37,1280,32.5,6.18,397.8,103.73,0.0,9.4, , 
,105.00,1120,25.5,0.0,10101010,105.30,1120,50.2,9.27,571.2,104.69,3.9,0.0, , 
,105.95,1216,25.5,0.0,10101010,106.26,1312,66.3,12.36,693.6,105.62,3.1,0.0, , 
,107.04,1504,25.5,0.0,10101010,107.39,1600,63.5,13.39,673.2,106.64,1.6,0.0, , 
,108.13,1792,25.5,0.0,10101010,108.49,1920,56.1,9.27,612.0,107.77,1.6,9.4, , 
,109.20,2080,25.5,-12.9,10101000,109.55,2112,50.2,7.21,550.8,108.85,0.0,9.4, , 
,110.22,2272,25.5,-14.5,10101000,110.54,2368,47.1,6.18,499.8,109.89,0.0,9.4, , 
,111.24,2496,27.0,-12.9,10101000,111.58,2560,38.4,4.12,438.6,110.88,0.0,9.4, , 
,112.24,1216,27.0,0.0,10111110,112.56,1216,35.3,6.18,438.6,111.92,0.0,9.4, , 
,113.20,1120,27.0,0.0,10111110,113.53,1024,34.1,6.18,418.2,112.88,4.7,0.0, , 
,114.21,1568,27.0,-21.1,10111110,114.57,1760,28.2,5.15,357.0,113.85,5.5,0.0, , 
,115.27,1760,27.0,0.0,10101010,115.64,1760,29.4,5.15,357.0,114.93,3.9,9.4, , 
,116.36,1824,27.0,0.0,10101010,116.73,1856,44.3,7.21,479.4,115.98,0.0,9.4, , 
,117.46,1920,27.0,-6.6,10101010,117.83,1920,40.0,6.18,438.6,117.09,0.0,9.4, , 
,118.54,1952,27.0,-18.8,10111110,118.89,2016,22.0,2.06,295.8,118.19,0.0,9.4, , 
,119.61,1984,27.0,-22.3,10111100,119.96,1984,20.8,2.06,275.4,119.26,0.0,9.4, , 
,120.68,1952,27.0,-14.8,10111110,121.04,1952,22.0,3.09,295.8,120.32,0.0,9.4, , 
,121.77,1920,28.5,-10.9,10111110,122.14,1888,23.5,3.09,295.8,121.41,0.0,9.4, , 
,122.85,1920,28.5,-7.0,10111110,123.23,1920,23.5,3.09,316.2,122.48,0.0,9.4, , 
,123.96,1888,28.5,-4.7,10111110,124.33,1856,23.5,3.09,316.2,123.59,0.0,9.4, , 
,125.05,1824,28.5,-2.7,10111110,125.44,1792,26.7,4.12,336.6,124.70,0.0,9.4, , 
,126.16,1728,28.5,-2.7,10111110,126.53,1696,29.4,4.12,357.0,125.80,3.9,9.4, , 
,127.20,1120,28.5,-2.7,10111110,127.50,928,36.9,5.15,438.6,126.90,3.9,9.4, , 
,128.12,896,28.5,-0.8,10111110,128.42,896,40.0,6.18,479.4,127.81,5.5,0.0, , 
,129.03,896,28.5,0.4,10111110,129.32,896,40.0,6.18,479.4,128.71,5.5,0.0, , 
,129.92,928,28.5,0.4,10111110,130.25,896,40.0,6.18,479.4,129.62,5.5,0.0, , 
,130.86,896,28.5,0.0,10111110,131.17,896,38.4,6.18,459.0,130.56,5.5,0.0, , 
,131.78,896,28.5,-0.8,10111110,132.08,896,38.4,5.15,459.0,131.48,5.5,0.0, , 
,132.75,1184,30.0,-0.4,10101010,133.11,1760,31.0,5.15,377.4,132.41,5.5,0.0, , 
,133.80,1728,30.0,-3.5,10101010,134.14,1760,32.5,5.15,397.8,133.47,3.9,9.4, , 
,134.86,1856,30.0,-0.8,10101010,135.23,1920,34.1,5.15,397.8,134.49,0.0,9.4, , 
,135.95,2016,30.0,-5.5,10101000,136.30,2016,31.0,4.12,357.0,135.60,0.0,9.4, , 
,136.99,2112,30.0,-7.0,10101000,137.34,2144,26.7,4.12,336.6,136.63,0.0,9.4, , 
,138.01,2144,30.0,-11.3,10111100,138.34,2144,22.0,3.09,275.4,137.69,0.0,9.4, , 
,139.01,2144,30.0,-10.9,10111100,139.35,2080,20.8,3.09,275.4,138.67,0.0,9.4, , 
,140.04,2048,31.5,-8.2,10111100,140.40,2016,20.8,3.09,275.4,139.69,0.0,9.4, , 
,141.11,1984,31.5,-5.9,10101010,141.49,1984,25.1,3.09,316.2,140.75,0.0,9.4, , 
,142.19,2080,31.5,-3.1,10101000,142.52,2048,28.2,4.12,357.0,141.84,0.0,9.4, , 
,143.18,2176,31.5,-1.6,10101000,143.51,2208,32.5,5.15,377.4,142.85,0.0,9.4, , 
,144.21,2368,31.5,2.7,10101000,144.56,2432,35.3,5.15,397.8,143.85,0.0,9.4, , 
,145.20,1952,31.5,0.0,10111110,145.52,1248,31.0,6.18,377.4,144.87,0.0,9.4, , 
,146.17,1184,31.5,0.0,10111110,146.49,1152,32.5,6.18,397.8,145.84,4.7,0.0, , 
,147.13,1056,31.5,-2.7,10111110,147.47,1024,32.5,5.15,418.2,146.80,5.5,0.0, , 
,148.07,928,31.5,-12.9,10111110,148.40,928,34.1,5.15,438.6,147.74,6.3,0.0, , 
,149.04,896,31.5,-15.2,10111110,149.34,864,36.9,5.15,459.0,148.72,6.3,0.0, , 
,149.95,864,33.0,-12.9,10111110,150.26,896,36.9,5.15,459.0,149.63,6.3,0.0, , 
,150.86,864,33.0,-10.5,10111110,151.16,896,36.9,5.15,459.0,150.56,6.3,0.0, , 
,151.77,896,33.0,-8.2,10111110,152.06,864,38.4,5.15,459.0,151.46,6.3,0.0, , 
,152.66,896,33.0,-6.3,10111110,152.94,896,36.9,5.15,459.0,152.36,6.3,0.0, , 
,153.52,864,33.0,-4.3,10111110,153.82,896,36.9,5.15,459.0,153.25,6.3,0.0, , 
,154.39,896,33.0,-2.7,10111110,154.70,896,36.9,5.15,459.0,154.11,6.3,0.0, , 
,155.30,864,33.0,0.0,10101010,155.60,896,50.2,9.27,591.6,155.00,6.3,0.0, , 
,156.18,1024,33.0,0.0,10101010,156.49,1088,56.1,9.27,632.4,155.86,3.9,0.0, , 
,157.13,1216,33.0,0.0,10101010,157.46,1280,56.1,9.27,632.4,156.80,2.3,0.0, , 
,158.10,1440,33.0,2.7,10101010,158.44,1504,51.8,8.24,591.6,157.78,2.3,0.0, , 
,159.14,1696,33.0,-0.4,10101010,159.50,1728,41.2,6.18,479.4,158.79,2.3,9.8, , 
,160.24,1824,34.5,-10.9,10111110,160.59,1824,26.7,3.09,336.6,159.86,0.0,9.8, , 
,161.33,1824,34.5,-16.8,10111110,161.72,1760,26.7,3.09,336.6,160.95,0.0,9.8, , 
,162.46,1664,34.5,-17.6,10111110,162.80,1632,29.4,4.12,357.0,162.08,3.9,9.8, , 
,163.49,1600,34.5,-13.7,10111110,163.83,1536,28.2,4.12,357.0,163.15,3.9,9.8, , 
,164.55,1536,34.5,0.0,10101010,164.89,1632,47.1,9.27,520.2,164.21,3.9,9.8, , 
,165.62,1792,34.5,0.0,10101010,165.98,1888,72.2,12.36,734.4,165.24,1.6,9.8, , 
,166.68,2112,34.5,-2.3,10101000,167.03,2208,65.1,10.30,673.2,166.34,0.0,9.8, , 
,167.70,2400,34.5,-0.8,10101000,168.05,2528,69.4,11.33,693.6,167.36,0.0,9.8, , 
,168.70,2720,34.5,-4.7,10101000,169.04,2592,0.0,0.00,336.6,168.35,0.0,9.8, , 
,169.67,1184,36.0,0.0,10101010,170.06,1472,32.5,5.15,397.8,169.36,0.0,9.8, , 
,170.80,1856,36.0,0.0,10101010,171.17,1824,59.2,14.42,632.4,170.44,3.9,9.8, , 
,171.93,1888,36.0,0.0,10101010,172.30,1952,66.3,11.33,714.0,171.56,0.0,9.8, , 
,173.01,2016,36.0,-5.5,11101000,173.37,2080,60.4,9.27,652.8,172.66,0.0,9.8, , 
,174.04,2144,36.0,-6.6,11101000,174.39,2176,56.1,8.24,591.6,173.71,0.0,9.8, , 
,175.06,2208,36.0,0.0,11101000,175.42,2208,31.0,4.12,357.0,174.73,0.0,9.8, , 
,176.10,2208,36.0,-4.3,11101000,176.44,2240,40.0,6.18,438.6,175.77,0.0,9.8, , 
,177.10,2272,36.0,-2.0,11101000,177.43,2272,42.7,6.18,479.4,176.76,0.0,9.8, , 
,178.09,2304,36.0,-3.1,11101000,178.41,2336,41.2,6.18,459.0,177.75,0.0,9.8, , 
,179.11,2368,36.0,-3.9,11101000,179.41,2368,41.2,6.18,459.0,178.74,0.0,9.8, , 
,180.09,2432,36.0,-1.2,11101000,180.44,2432,51.8,8.24,550.8,179.74,0.0,9.8, , 
,181.11,2496,37.5,0.0,11101000,181.45,2528,65.1,10.30,673.2,180.79,0.0,9.8, , 
,182.14,2624,37.5,-2.0,11101000,182.48,2624,63.5,10.30,652.8,181.81,0.0,9.8, , 
,183.15,2688,37.5,-7.0,11101000,183.48,2688,53.3,8.24,571.2,182.81,0.0,9.8, , 
,184.16,2720,37.5,-7.0,11101000,184.52,2368,0.0,0.00,336.6,183.82,0.0,9.8, , 
,185.16,1088,37.5,0.0,11101010,185.52,1792,26.7,5.15,336.6,184.87,3.9,9.8, , 
,186.22,1984,37.5,0.0,11101000,186.58,1952,28.2,4.12,336.6,185.86,0.0,9.8, , 
,187.32,1952,37.5,-14.1,11101010,187.67,1952,38.4,5.15,438.6,186.95,0.0,9.8, , 
,188.40,1952,37.5,-7.8,11101010,188.75,1952,51.8,7.21,571.2,188.05,0.0,9.8, , 
,189.48,1984,39.0,-4.3,11101000,189.84,1984,51.8,7.21,571.2,189.11,0.0,9.8, , 
,190.55,2016,39.0,-3.1,11101000,190.89,2016,54.5,8.24,591.6,190.20,0.0,9.8, , 
,191.59,2048,39.0,-0.8,11101000,191.95,2080,57.6,9.27,612.0,191.24,0.0,9.8, , 
,192.62,2112,39.0,-1.6,11101000,192.96,2112,57.6,8.24,612.0,192.28,0.0,9.8, , 
,193.66,2144,39.0,-2.3,11101000,194.01,2144,56.1,8.24,612.0,193.32,0.0,9.8, , 
,194.68,2176,39.0,-3.9,11101000,195.01,2176,54.5,8.24,591.6,194.35,0.0,9.8, , 
,195.70,2208,39.0,-3.5,11101000,196.04,2208,54.5,8.24,591.6,195.35,0.0,9.8, , 
,196.72,2240,39.0,-3.9,11101000,197.05,2240,53.3,8.24,571.2,196.37,0.0,9.8, , 
,197.73,2272,40.5,-3.1,11101000,198.06,2304,53.3,8.24,571.2,197.39,0.0,9.8, , 
,198.77,2336,40.5,-4.3,11101000,199.09,2304,38.4,5.15,438.6,198.42,0.0,9.8, , 
,199.76,2304,40.5,-14.1,11101000,200.10,2304,26.7,3.09,336.6,199.44,0.0,9.8, , 
,200.79,2304,40.5,-14.8,11101000,201.13,2272,31.0,4.12,377.4,200.45,0.0,9.8, , 
,201.78,2272,40.5,-10.5,11101000,202.11,2272,34.1,4.12,397.8,201.47,0.0,9.8, , 
,202.81,2272,40.5,-5.1,11101000,203.14,2272,41.2,6.18,459.0,202.47,0.0,9.8, , 
,203.84,2240,40.5,-1.6,11101000,204.16,2240,42.7,6.18,479.4,203.48,0.0,9.8, , 
,204.86,2240,40.5,-0.4,11101000,205.21,2240,42.7,6.18,479.4,204.52,0.0,9.8, , 
,205.88,2240,42.0,0.4,11101000,206.23,2240,42.7,6.18,479.4,205.54,0.0,9.8, , 
,206.90,2272,42.0,-0.4,11101000,207.23,2272,42.7,6.18,479.4,206.56,0.0,9.8, , 
,207.90,2272,42.0,-0.4,11101000,208.25,2240,42.7,6.18,479.4,207.57,0.0,9.8, , 
,208.92,2272,42.0,-1.2,11101000,209.25,2240,42.7,6.18,479.4,208.56,0.0,9.8, , 
,209.94,2240,42.0,-1.6,11101000,210.28,2240,40.0,6.18,438.6,209.61,0.0,9.8, , 
,210.96,2240,42.0,-4.7,11101000,211.29,2240,38.4,5.15,438.6,210.63,0.0,9.8, , 
,211.95,2240,42.0,-5.1,11101000,212.28,2240,38.4,5.15,438.6,211.61,0.0,9.8, , 
,212.97,2240,42.0,-5.5,11101000,213.30,2208,36.9,5.15,418.2,212.62,0.0,9.8, , 
,213.99,2208,42.0,-5.5,11101000,214.34,2208,36.9,5.15,418.2,213.64,0.0,9.8, , 
,215.00,2208,43.5,-4.7,11101000,215.32,2208,35.3,5.15,418.2,214.69,0.0,9.8, , 
,215.99,2208,43.5,-5.9,11101000,216.33,2176,32.5,4.12,377.4,215.65,0.0,9.8, , 
,217.00,2176,43.5,-6.6,11101000,217.37,2176,31.0,4.12,377.4,216.64,0.0,9.8, , 
,218.07,2144,43.5,-5.1,11101000,218.40,2144,32.5,5.15,397.8,217.70,0.0,9.8, , 
