Czwartek,03,Wrzesieñ,2026,20:46:41:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.76,0,27.0,0.0,10110110,0.22,0,0.0,0.00,989.4,0.49,-100.0,0.0, , 
,1.56,0,27.0,0.0,10110110,1.02,0,0.0,0.00,989.4,1.28,-100.0,0.0, , 
,2.36,0,27.0,0.0,10110110,1.83,0,0.0,0.00,989.4,2.10,-100.0,0.0, , 
,3.16,0,27.0,0.0,10110110,2.63,0,0.0,0.00,989.4,2.90,-100.0,0.0, , 
,3.96,0,27.0,0.0,10110110,3.43,0,0.0,0.00,989.4,3.69,-100.0,0.0, , 
,4.76,0,27.0,0.0,10110110,4.22,0,0.0,0.00,989.4,4.49,-100.0,0.0, , 
,5.57,0,27.0,0.0,10110110,5.03,0,0.0,0.00,989.4,5.30,-100.0,0.0, , 
,6.40,0,27.0,0.0,10110110,5.84,0,0.0,0.00,989.4,6.12,-100.0,0.0, , 
,7.19,0,27.0,0.0,10110110,6.66,0,0.0,0.00,989.4,6.93,-100.0,0.0, , 
,7.99,0,27.0,0.0,10110110,7.46,0,0.0,0.00,989.4,7.72,-100.0,0.0, , 
,8.79,0,27.0,0.0,10110110,8.26,0,0.0,0.00,989.4,8.52,-100.0,0.0, , 
,9.59,0,27.0,0.0,10110110,9.05,0,0.0,0.00,989.4,9.32,-100.0,0.0, , 
,10.40,0,27.0,0.0,10110110,9.87,0,0.0,0.00,989.4,10.13,-100.0,0.0, , 
,11.19,0,27.0,0.0,10110110,10.66,0,0.0,0.00,989.4,10.93,-100.0,0.0, , 
,12.01,0,27.0,0.0,10110110,11.46,0,0.0,0.00,989.4,11.73,-100.0,0.0, , 
,12.80,0,27.0,0.0,10110110,12.27,0,0.0,0.00,989.4,12.54,-100.0,0.0, , 
,13.60,0,27.0,0.0,10110110,13.07,0,0.0,0.00,989.4,13.33,-100.0,0.0, , 
,14.40,0,27.0,0.0,10110110,13.87,0,0.0,0.00,989.4,14.13,-100.0,0.0, , 
,15.20,0,27.0,0.0,10110110,14.66,0,0.0,0.00,989.4,14.93,-100.0,0.0, , 
,16.02,0,27.0,0.0,10110110,15.48,0,0.0,0.00,989.4,15.75,-100.0,0.0, , 
,16.82,0,27.0,0.0,10110110,16.29,0,0.0,0.00,989.4,16.55,-100.0,0.0, , 
,17.61,0,27.0,0.0,10110110,17.08,0,0.0,0.00,989.4,17.35,-100.0,0.0, , 
,18.43,0,27.0,0.0,10110110,17.89,0,0.0,0.00,989.4,18.16,-100.0,0.0, , 
,19.23,0,27.0,0.0,10110110,18.69,0,0.0,0.00,989.4,18.96,-100.0,0.0, , 
,20.05,0,27.0,0.0,10110110,19.51,0,0.0,0.00,989.4,19.78,-100.0,0.0, , 
,20.86,0,27.0,0.0,10110110,20.32,0,0.0,0.00,989.4,20.59,-100.0,0.0, , 
,21.66,0,27.0,0.0,10110110,21.13,0,0.0,0.00,989.4,21.40,-100.0,0.0, , 
,22.46,0,27.0,0.0,10110110,21.93,0,0.0,0.00,989.4,22.19,-100.0,0.0, , 
,23.25,0,27.0,0.0,10110110,22.72,0,0.0,0.00,989.4,22.99,-100.0,0.0, , 
,24.06,0,27.0,0.0,10110110,23.52,0,0.0,0.00,989.4,23.79,-100.0,0.0, , 
,24.86,0,27.0,0.0,10110110,24.33,0,0.0,0.00,989.4,24.60,-100.0,0.0, , 
,25.69,0,27.0,0.0,10110110,25.14,0,0.0,0.00,989.4,25.42,-100.0,0.0, , 
,26.50,0,27.0,0.0,10110110,25.96,0,0.0,0.00,989.4,26.23,-100.0,0.0, , 
,27.30,0,27.0,0.0,10110110,26.77,0,0.0,0.00,989.4,27.04,-100.0,0.0, , 
,28.11,0,27.0,0.0,10110110,27.57,0,0.0,0.00,989.4,27.84,-100.0,0.0, , 
,28.91,0,27.0,0.0,10110110,28.38,0,0.0,0.00,989.4,28.64,-100.0,0.0, , 
,29.71,0,27.0,0.0,10110110,29.18,0,0.0,0.00,989.4,29.44,-100.0,0.0, , 
,30.51,0,27.0,0.0,10110110,29.97,0,0.0,0.00,989.4,30.24,-100.0,0.0, , 
,31.33,0,27.0,0.0,10110110,30.78,0,0.0,0.00,989.4,31.06,-100.0,0.0, , 
,32.14,0,27.0,0.0,10110110,31.60,0,0.0,0.00,989.4,31.87,-100.0,0.0, , 
,32.94,0,27.0,0.0,10110110,32.41,0,0.0,0.00,989.4,32.68,-100.0,0.0, , 
,33.74,0,27.0,0.0,10110110,33.21,0,0.0,0.00,989.4,33.48,-100.0,0.0, , 
,34.54,0,27.0,0.0,10110110,34.01,0,0.0,0.00,989.4,34.27,-100.0,0.0, , 
,35.33,0,27.0,0.0,10110110,34.80,0,0.0,0.00,989.4,35.07,-100.0,0.0, , 
,36.13,0,27.0,0.0,10110110,35.60,0,0.0,0.00,989.4,35.87,-100.0,0.0, , 
,36.95,0,27.0,0.0,10110110,36.40,0,0.0,0.00,989.4,36.67,-100.0,0.0, , 
,37.76,0,27.0,0.0,10110110,37.23,0,0.0,0.00,989.4,37.49,-100.0,0.0, , 
,38.56,0,27.0,0.0,10110110,38.02,0,0.0,0.00,989.4,38.29,-100.0,0.0, , 
,39.36,192,27.0,0.0,10110110,38.83,0,0.0,0.00,989.4,39.10,-100.0,0.0, , 
,40.16,192,27.0,0.0,10110110,39.63,192,100.0,52.53,969.0,39.89,-100.0,0.0, , 
,41.09,1280,27.0,0.0,10110110,40.43,192,100.0,47.38,969.0,40.77,-1.6,0.0, , 
,42.02,1184,27.0,0.0,10110110,41.40,1216,45.9,9.27,520.2,41.70,-1.6,0.0, , 
,42.96,1120,27.0,0.0,10110110,42.33,1120,38.4,7.21,459.0,42.64,-1.6,0.0, , 
,43.93,1120,27.0,0.0,10110110,43.27,1120,40.0,7.21,459.0,43.59,-1.6,0.0, , 
,44.91,1120,27.0,0.0,10110110,44.25,1120,38.4,7.21,459.0,44.57,-1.6,0.0, , 
,45.82,1120,27.0,0.0,10110110,45.21,1120,40.0,7.21,459.0,45.51,-1.6,0.0, , 
,46.78,1120,27.0,0.0,10110110,46.15,1120,38.4,6.18,459.0,46.46,-1.6,0.0, , 
,47.73,1120,27.0,0.0,10110110,47.10,1120,38.4,6.18,459.0,47.41,-1.6,0.0, , 
,48.74,1120,27.0,0.0,10110110,48.07,1120,38.4,6.18,459.0,48.40,-1.6,0.0, , 
,49.73,1120,27.0,0.0,10110110,49.08,1120,38.4,6.18,459.0,49.41,-1.6,0.0, , 
,50.69,1088,27.0,0.0,10110110,50.05,1088,36.9,6.18,438.6,50.36,-1.6,0.0, , 
,51.67,1088,27.0,0.0,10110110,51.03,1120,36.9,5.15,438.6,51.35,-1.6,0.0, , 
,52.67,1120,27.0,0.0,10110110,52.00,1088,38.4,5.15,459.0,52.32,-1.6,0.0, , 
,53.65,1088,27.0,0.0,10110110,53.00,1088,38.4,5.15,459.0,53.33,-1.6,0.0, , 
,54.58,1088,27.0,0.0,10110110,53.96,1088,38.4,5.15,459.0,54.26,-1.6,0.0, , 
,55.51,1088,27.0,0.0,10110110,54.89,1088,38.4,5.15,459.0,55.20,-1.6,0.0, , 
,56.49,1088,27.0,0.0,10110110,55.83,1088,38.4,5.15,459.0,56.17,-1.6,0.0, , 
,57.45,1056,27.0,0.0,10110110,56.80,1088,41.2,5.15,479.4,57.13,-1.6,0.0, , 
,58.44,1056,27.0,0.0,10110110,57.77,1088,42.7,6.18,499.8,58.10,-1.6,0.0, , 
,59.42,1088,27.0,0.0,10110110,58.77,1056,44.3,6.18,499.8,59.08,-1.6,0.0, , 
,60.39,1056,27.0,0.0,10110110,59.74,1056,47.1,6.18,520.2,60.07,-1.6,0.0, , 
,61.35,1088,27.0,0.0,10110110,60.73,1088,47.1,6.18,520.2,61.03,-1.6,0.0, , 
,62.32,1088,27.0,0.0,10110110,61.67,1088,50.2,6.18,571.2,61.98,-1.6,0.0, , 
,63.26,1088,27.0,0.0,10110110,62.61,1088,50.2,7.21,571.2,62.93,-1.6,0.0, , 
,64.20,1120,27.0,0.0,10110110,63.58,1088,53.3,7.21,591.6,63.90,-1.6,0.0, , 
,65.19,1120,28.5,0.0,10110110,64.54,1088,51.8,7.21,591.6,64.87,-1.6,0.0, , 
,66.16,1120,28.5,0.0,10110110,65.52,1088,51.8,7.21,591.6,65.84,-1.6,0.0, , 
,67.17,1088,28.5,0.0,10110110,66.50,1088,51.8,7.21,591.6,66.85,-1.6,0.0, , 
,68.22,1120,28.5,0.0,10110110,67.52,1120,51.8,7.21,591.6,67.88,-1.6,0.0, , 
,69.19,1120,28.5,0.0,10110110,68.54,1120,51.8,7.21,591.6,68.86,-1.6,0.0, , 
,70.19,1088,28.5,0.0,10110110,69.51,1120,50.2,7.21,571.2,69.86,-1.6,0.0, , 
,71.14,1120,28.5,0.0,10110110,70.51,1120,50.2,7.21,571.2,70.82,-1.6,0.0, , 
,72.12,1120,28.5,0.0,10110110,71.46,1120,50.2,7.21,571.2,71.78,-1.6,0.0, , 
,73.12,1120,28.5,0.0,10110110,72.44,1088,50.2,7.21,571.2,72.79,-1.6,0.0, , 
,74.11,1088,28.5,0.0,10110110,73.42,1088,50.2,6.18,571.2,73.77,-1.6,0.0, , 
,75.07,1088,28.5,0.0,10110110,74.44,1120,50.2,7.21,571.2,74.77,-1.6,0.0, , 
,76.03,1088,28.5,0.0,10110110,75.39,1088,50.2,6.18,571.2,75.71,-1.6,0.0, , 
,77.05,1088,28.5,0.0,10110110,76.38,1088,48.6,6.18,571.2,76.71,-1.6,0.0, , 
,78.04,1088,28.5,3.5,10111110,77.38,1088,48.6,6.18,550.8,77.70,-1.6,0.0, , 
,79.02,1120,30.0,5.9,10111110,78.39,1120,48.6,7.21,550.8,78.71,-1.6,0.0, , 
,79.97,1120,30.0,7.0,10111110,79.34,1120,45.9,6.18,520.2,79.65,-1.6,0.0, , 
,80.90,1120,30.0,7.4,10111110,80.29,1088,45.9,6.18,520.2,80.59,-1.6,0.0, , 
,81.85,1120,30.0,7.8,10111110,81.21,1120,45.9,6.18,520.2,81.53,-1.6,0.0, , 
,82.83,1120,30.0,7.8,10111110,82.17,1088,45.9,6.18,520.2,82.49,-1.6,0.0, , 
,83.80,1088,30.0,7.4,10111110,83.15,1120,45.9,6.18,520.2,83.47,-1.6,0.0, , 
,84.79,1088,30.0,7.4,10111110,84.12,1088,45.9,6.18,520.2,84.45,-1.6,0.0, , 
,85.76,1088,30.0,7.4,10111110,85.12,1088,44.3,6.18,520.2,85.42,-1.6,0.0, , 
,86.76,1088,30.0,7.0,10111110,86.09,1088,44.3,6.18,499.8,86.44,-1.6,0.0, , 
,87.76,1088,31.5,6.6,10111110,87.08,1088,44.3,6.18,499.8,87.42,-1.6,0.0, , 
,88.72,1088,31.5,6.3,10111110,88.08,1088,44.3,6.18,499.8,88.40,-1.6,0.0, , 
,89.72,1056,31.5,6.3,10111110,89.05,1088,42.7,6.18,499.8,89.38,-1.6,0.0, , 
,90.69,1088,31.5,5.9,10111110,90.05,1088,42.7,6.18,499.8,90.38,-1.6,0.0, , 
,91.66,1088,31.5,5.9,10111110,91.00,1088,42.7,6.18,499.8,91.33,-1.6,0.0, , 
,92.64,1088,31.5,5.9,10111110,91.99,1056,42.7,6.18,499.8,92.32,-1.6,0.0, , 
,93.61,1056,31.5,5.5,10111110,92.96,1056,41.2,6.18,479.4,93.28,-1.6,0.0, , 
,94.62,1056,31.5,5.5,10111110,93.97,1056,41.2,6.18,479.4,94.30,-1.6,0.0, , 
,95.57,1056,33.0,5.5,10111110,94.92,1056,41.2,6.18,479.4,95.26,-1.6,0.0, , 
,96.53,1056,33.0,5.5,10111110,95.88,1024,41.2,6.18,479.4,96.21,-1.6,0.0, , 
,97.49,1056,33.0,5.1,10111110,96.86,1056,41.2,6.18,479.4,97.18,-1.6,0.0, , 
,98.48,1056,33.0,5.5,10111110,97.81,1024,40.0,5.15,479.4,98.15,-1.6,0.0, , 
,99.44,1024,33.0,5.5,10111110,98.78,1024,41.2,5.15,479.4,99.12,-1.6,0.0, , 
,100.39,1024,33.0,5.5,10111110,99.76,1024,41.2,6.18,479.4,100.09,-1.6,0.0, , 
,101.38,1024,33.0,5.9,10111110,100.72,1024,41.2,6.18,479.4,101.07,-1.6,0.0, , 
,102.32,1024,33.0,5.9,10111110,101.67,1024,40.0,5.15,479.4,102.00,-1.6,0.0, , 
,103.31,1024,33.0,5.1,10111110,102.66,1024,38.4,5.15,459.0,102.98,-1.6,0.0, , 
,104.22,992,34.5,4.7,10111110,103.60,992,38.4,5.15,459.0,103.87,-1.6,0.0, , 
,105.24,992,34.5,4.3,10111110,104.52,1024,40.0,5.15,459.0,104.88,-1.6,0.0, , 
,106.25,992,34.5,4.3,10111110,105.59,992,38.4,5.15,459.0,105.93,-1.6,0.0, , 
,107.15,992,34.5,4.7,10111110,106.61,992,40.0,5.15,479.4,106.88,-1.6,0.0, , 
,108.05,960,34.5,4.7,10111110,107.43,992,40.0,5.15,479.4,107.78,-1.6,0.0, , 
,109.00,992,34.5,4.7,10111110,108.40,992,40.0,5.15,479.4,108.73,-1.6,0.0, , 
,109.97,960,34.5,4.7,10111110,109.36,960,40.0,5.15,479.4,109.68,-1.6,0.0, , 
,110.96,992,34.5,5.1,10111110,110.33,960,40.0,5.15,479.4,110.69,-1.6,0.0, , 
,111.94,992,34.5,5.5,10111110,111.28,960,40.0,5.15,479.4,111.64,-1.6,0.0, , 
,112.89,960,36.0,6.3,10111110,112.25,960,40.0,5.15,479.4,112.60,-1.6,0.0, , 
,113.89,960,36.0,6.3,10111110,113.25,960,40.0,5.15,479.4,113.55,-1.6,0.0, , 
,114.84,992,36.0,6.6,10111110,114.16,960,40.0,5.15,479.4,114.52,-1.6,0.0, , 
,115.80,960,36.0,6.6,10111110,115.10,992,40.0,6.18,479.4,115.44,-1.6,0.0, , 
,116.69,960,36.0,6.6,10111110,116.08,960,40.0,6.18,479.4,116.35,-1.6,0.0, , 
,117.60,960,36.0,6.6,10111110,116.96,992,40.0,6.18,479.4,117.30,-1.6,0.0, , 
,118.51,960,36.0,6.6,10111110,117.90,960,40.0,6.18,479.4,118.24,-1.6,0.0, , 
,119.45,960,36.0,6.6,10111110,118.84,960,40.0,6.18,479.4,119.13,-1.6,0.0, , 
,120.46,960,36.0,6.6,10111110,119.80,960,40.0,6.18,479.4,120.10,-1.6,0.0, , 
,121.44,960,37.5,6.6,10111110,120.78,960,41.2,6.18,479.4,121.14,-1.6,0.0, , 
,122.34,960,37.5,6.6,10111110,121.76,960,41.2,6.18,479.4,122.04,-1.6,0.0, , 
,123.35,960,37.5,6.6,10111110,122.66,960,41.2,6.18,499.8,123.01,-1.6,0.0, , 
,124.31,960,37.5,6.6,10111110,123.69,960,41.2,6.18,499.8,124.00,-1.6,0.0, , 
,125.24,960,37.5,6.6,10111110,124.63,960,41.2,6.18,499.8,124.93,-1.6,0.0, , 
,126.21,960,37.5,6.3,10111110,125.58,960,41.2,6.18,479.4,125.90,-1.6,0.0, , 
,127.13,960,37.5,6.3,10111110,126.51,960,41.2,6.18,499.8,126.82,-1.6,0.0, , 
,128.07,928,37.5,6.6,10111110,127.45,928,41.2,6.18,499.8,127.76,-1.6,0.0, , 
,129.01,960,37.5,6.6,10111110,128.40,960,41.2,6.18,499.8,128.70,-1.6,0.0, , 
,129.97,960,37.5,6.3,10111110,129.33,960,41.2,6.18,499.8,129.66,-1.6,0.0, , 
,130.94,928,37.5,6.3,10111110,130.29,928,41.2,6.18,499.8,130.61,-1.6,0.0, , 
,131.89,928,39.0,5.9,10111110,131.26,960,41.2,6.18,499.8,131.57,-1.6,0.0, , 
,132.87,928,39.0,6.6,10111110,132.22,928,41.2,6.18,499.8,132.53,-1.6,0.0, , 
,133.83,928,39.0,6.6,10111110,133.19,928,41.2,6.18,499.8,133.51,-1.6,0.0, , 
,134.76,896,39.0,7.0,10111110,134.15,928,41.2,6.18,499.8,134.44,-1.6,0.0, , 
,135.77,928,39.0,7.4,10111110,135.09,928,41.2,6.18,499.8,135.42,-1.6,0.0, , 
,136.73,992,39.0,9.4,10101010,136.10,928,41.2,5.15,499.8,136.40,-1.6,0.0, , 
,137.72,1216,39.0,10.9,10101010,137.04,1056,36.9,5.15,438.6,137.38,-1.6,0.0, , 
,138.83,1408,39.0,8.2,10101010,138.08,1344,36.9,5.15,438.6,138.46,-1.6,0.0, , 
,139.87,1344,39.0,7.8,10101010,139.19,1408,34.1,5.15,418.2,139.54,-1.6,0.0, , 
,140.84,1088,39.0,7.8,10101010,140.20,1280,36.9,5.15,438.6,140.52,-1.6,0.0, , 
,141.75,928,39.0,8.6,10111110,141.14,928,40.0,5.15,479.4,141.45,-1.6,0.0, , 
,142.73,928,40.5,6.6,10111110,142.09,928,40.0,5.15,479.4,142.39,-1.6,0.0, , 
,143.68,896,40.5,6.6,10111110,143.04,928,40.0,5.15,479.4,143.36,-1.6,0.0, , 
,144.59,928,40.5,6.6,10111110,143.98,896,40.0,5.15,479.4,144.29,-1.6,0.0, , 
,145.52,896,40.5,6.6,10111110,144.90,896,40.0,6.18,479.4,145.23,-1.6,0.0, , 
,146.47,1056,40.5,0.0,10101010,145.84,896,36.9,5.15,459.0,146.14,-1.6,0.0, , 
,147.53,1344,40.5,0.0,10101010,146.82,1312,48.6,7.21,571.2,147.16,-0.8,0.0, , 
,148.53,1056,40.5,7.4,10101010,147.88,1312,50.2,7.21,571.2,148.20,-1.6,0.0, , 
,149.48,1184,40.5,8.2,10101010,148.85,928,57.6,9.27,652.8,149.18,-1.6,0.0, , 
,150.50,1408,40.5,0.0,10111110,149.82,1248,47.1,7.21,550.8,150.16,-1.6,0.0, , 
,151.48,1600,40.5,-5.1,10111110,150.78,1440,29.4,4.12,377.4,151.13,-1.6,10.9, , 
,152.39,1024,40.5,-7.0,10101010,151.78,1536,28.2,4.12,357.0,152.12,-1.6,0.0, , 
,153.34,1088,40.5,1.2,10101010,152.72,1120,35.3,4.12,438.6,153.05,-1.6,0.0, , 
,154.34,1120,40.5,5.1,10101010,153.66,1088,40.0,5.15,479.4,153.98,-1.6,0.0, , 
,155.32,1280,42.0,7.0,10101010,154.67,1216,42.7,6.18,499.8,155.00,-1.6,0.0, , 
,156.30,1312,42.0,6.6,10101010,155.64,1312,29.4,4.12,377.4,155.98,-1.6,0.0, , 
,157.27,1568,42.0,0.0,10101010,156.63,1344,45.9,7.21,520.2,156.91,-0.8,0.0, , 
,158.31,2080,42.0,0.0,10111100,157.63,1760,63.5,11.33,673.2,157.97,0.0,10.9, , 
,159.40,1536,42.0,-14.1,10111110,158.64,2144,23.5,3.09,316.2,159.02,0.0,10.9, , 
,160.35,1216,42.0,-5.1,10101010,159.72,1024,31.0,3.09,397.8,160.04,-1.6,0.0, , 
,161.31,1152,42.0,1.6,10101010,160.66,1184,36.9,5.15,459.0,161.00,-1.6,0.0, , 
,162.35,1248,42.0,6.3,10101010,161.67,1184,45.9,6.18,520.2,162.01,-1.6,0.0, , 
,163.30,1312,42.0,5.9,10101010,162.66,1280,38.4,5.15,459.0,162.98,-1.6,0.0, , 
,164.31,1280,42.0,4.7,10101010,163.66,1280,32.5,4.12,397.8,163.99,-1.6,0.0, , 
,165.32,1280,42.0,7.4,10101010,164.66,1280,32.5,4.12,397.8,164.99,-1.6,0.0, , 
,166.39,1376,42.0,8.6,10101010,165.68,1344,40.0,6.18,479.4,166.03,-1.6,0.0, , 
,167.44,1344,43.5,2.3,10111110,166.73,1376,28.2,4.12,357.0,167.09,-1.6,0.0, , 
,168.40,1312,43.5,2.7,10111110,167.77,1312,28.2,4.12,357.0,168.09,-1.6,0.0, , 
,169.37,1152,43.5,4.3,10111110,168.74,1248,28.2,4.12,357.0,169.05,-1.6,0.0, , 
,170.33,1056,43.5,9.0,10101010,169.71,1088,31.0,4.12,397.8,170.01,-1.6,0.0, , 
,171.35,1152,43.5,0.0,10101010,170.68,1088,41.2,7.21,499.8,171.00,-1.6,0.0, , 
,172.35,1312,43.5,0.0,10101010,171.66,1216,53.3,8.24,612.0,172.01,-0.8,0.0, , 
,173.35,1472,43.5,4.3,10101010,172.71,1376,50.2,7.21,591.6,173.08,-0.8,0.0, , 
,174.46,1632,43.5,0.0,10101010,173.72,1536,42.7,6.18,499.8,174.10,-0.8,10.9, , 
,175.54,1888,43.5,-3.9,10101010,174.79,1696,62.0,11.33,673.2,175.17,0.0,10.9, , 
,176.64,1920,43.5,0.0,10111110,175.89,1920,41.2,5.15,479.4,176.26,0.0,10.9, , 
,177.70,1056,43.5,-9.0,10111110,177.04,1696,25.1,3.09,316.2,177.39,-1.6,0.0, , 
,178.66,928,45.0,0.0,10111110,178.01,928,40.0,6.18,479.4,178.33,-1.6,0.0, , 
,179.58,896,45.0,0.8,10111110,178.98,896,36.9,5.15,459.0,179.29,-2.3,0.0, , 
,180.54,896,45.0,3.9,10111110,179.89,896,38.4,5.15,479.4,180.21,-1.6,0.0, , 
,181.48,896,45.0,6.3,10111110,180.86,896,36.9,5.15,459.0,181.18,-2.3,0.0, , 
,182.43,896,45.0,6.6,10111110,181.78,896,36.9,5.15,459.0,182.11,-2.3,0.0, , 
,183.38,896,45.0,6.3,10111110,182.73,896,35.3,5.15,459.0,183.03,-2.3,0.0, , 
,184.32,896,45.0,5.5,10111110,183.69,864,32.5,4.12,418.2,184.00,-2.3,0.0, , 
,185.30,1536,45.0,0.0,10101010,184.61,864,34.1,5.15,438.6,184.94,-1.6,0.0, , 
,186.24,1088,45.0,0.0,10101010,185.57,1504,41.2,6.18,479.4,185.91,-1.6,0.0, , 
,187.20,1216,45.0,0.0,10101010,186.54,928,57.6,9.27,652.8,186.85,-1.6,0.0, , 
,188.14,1504,45.0,-14.5,10101010,187.55,1344,48.6,6.18,571.2,187.82,-1.6,0.0, , 
,189.28,1760,45.0,-21.1,10101010,188.53,1600,41.2,5.15,479.4,188.91,-0.8,10.9, , 
,190.39,1920,46.5,-27.0,10101010,189.64,1824,35.3,4.12,418.2,190.02,0.0,10.9, , 
,191.45,2048,46.5,0.0,10111100,190.75,1984,35.3,4.12,418.2,191.10,0.0,10.9, , 
,192.54,1504,46.5,-21.5,10111110,191.83,1856,20.8,3.09,295.8,192.19,-1.6,10.9, , 
,193.47,1088,46.5,-20.3,10101010,192.85,1120,29.4,3.09,377.4,193.16,-1.6,0.0, , 
,194.48,1248,46.5,0.0,10101010,193.79,1120,41.2,6.18,479.4,194.14,-1.6,0.0, , 
,195.55,1408,46.5,-9.0,10101010,194.80,1312,40.0,5.15,479.4,195.16,-1.6,0.0, , 
,196.54,1568,46.5,-16.8,10101010,195.82,1472,38.4,4.12,459.0,196.17,-1.6,10.9, , 
,197.64,1728,46.5,-19.1,10101010,196.89,1632,34.1,4.12,418.2,197.28,-1.6,10.9, , 
,198.72,1824,46.5,-25.4,10101010,197.98,1760,31.0,4.12,397.8,198.37,0.0,10.9, , 
,199.81,1920,46.5,-30.5,10101010,199.09,1888,26.7,3.09,357.0,199.44,0.0,10.9, , 
,200.88,1952,46.5,-31.3,10101010,200.17,1920,23.5,2.06,316.2,200.51,0.0,10.9, , 
,201.98,2048,46.5,-30.5,10101000,201.25,1984,23.5,2.06,316.2,201.61,0.0,10.9, , 
,203.00,2080,46.5,-31.6,10101000,202.31,2048,25.1,2.06,316.2,202.64,0.0,10.9, , 
,204.02,2144,46.5,-31.6,10111100,203.35,2080,23.5,2.06,316.2,203.70,0.0,10.9, , 
,205.01,2080,46.5,-32.4,10111100,204.34,2144,19.2,2.06,275.4,204.67,0.0,10.9, , 
,206.05,2048,46.5,-32.4,10111100,205.35,2080,19.2,2.06,275.4,205.70,0.0,10.9, , 
,207.11,1984,48.0,-32.0,10111110,206.40,2016,19.2,2.06,275.4,206.75,0.0,10.9, , 
,208.19,1952,48.0,-31.3,10101010,207.47,1984,19.2,2.06,275.4,207.83,0.0,10.9, , 
,209.27,1952,48.0,-33.2,10101010,208.56,1920,19.2,2.06,275.4,208.92,0.0,10.9, , 
,210.35,2016,48.0,-34.4,10101000,209.63,1984,19.2,2.06,275.4,209.99,0.0,10.9, , 
,211.38,2016,48.0,-34.4,10101000,210.70,2016,17.6,2.06,244.8,211.04,0.0,10.9, , 
