Pi¹tek,04,Wrzesieñ,2026,06:46:07:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.72,1984,82.5,7.0,11101001,0.01,1952,44.3,7.21,550.8,0.36,0.0,7.0, , 
,1.77,2016,82.5,5.9,11101001,1.08,2016,44.3,7.21,550.8,1.43,0.0,7.0, , 
,2.83,2048,82.5,3.9,11101001,2.12,2016,42.7,6.18,520.2,2.48,0.0,7.0, , 
,3.88,2080,82.5,2.3,11101001,3.19,2048,36.9,5.15,459.0,3.54,0.0,7.0, , 
,4.92,2080,82.5,1.2,11101001,4.23,2080,38.4,5.15,459.0,4.58,0.0,7.0, , 
,5.93,2080,82.5,0.8,11101001,5.26,2080,40.0,6.18,479.4,5.60,0.0,7.0, , 
,6.97,2112,84.0,0.8,11101001,6.27,2080,40.0,5.15,479.4,6.63,0.0,7.0, , 
,8.01,2112,82.5,0.8,11101001,7.33,2112,40.0,5.15,479.4,7.67,0.0,7.0, , 
,9.05,2112,84.0,1.2,11101001,8.36,2112,40.0,5.15,479.4,8.71,0.0,7.0, , 
,10.06,2112,84.0,0.4,11101001,9.39,2112,40.0,6.18,479.4,9.74,0.0,7.0, , 
,11.06,2112,84.0,0.4,11101001,10.40,2112,38.4,5.15,459.0,10.74,0.0,7.0, , 
,12.10,2080,84.0,0.4,11101001,11.42,2112,38.4,5.15,459.0,11.76,0.0,7.0, , 
,13.12,2112,84.0,-0.4,11101001,12.44,2112,38.4,5.15,459.0,12.78,0.0,7.0, , 
,14.17,2112,84.0,-0.4,11101001,13.47,2080,38.4,5.15,459.0,13.83,0.0,7.0, , 
,15.22,2080,84.0,2.7,11101001,14.52,2080,41.2,6.18,499.8,14.88,0.0,7.0, , 
,16.27,2112,84.0,3.5,11101001,15.58,2112,42.7,6.18,499.8,15.92,0.0,7.0, , 
,17.32,2080,84.0,3.9,11101001,16.63,2112,42.7,6.18,499.8,16.98,0.0,7.0, , 
,18.32,2080,84.0,2.3,11101001,17.65,2112,40.0,6.18,479.4,17.98,0.0,7.0, , 
,19.36,2112,84.0,2.7,11101001,18.67,2080,41.2,6.18,499.8,19.02,0.0,7.0, , 
,20.38,2080,84.0,4.3,11101001,19.70,2112,42.7,6.18,499.8,20.04,0.0,7.0, , 
,21.40,2112,84.0,4.3,11101001,20.72,2112,47.1,7.21,550.8,21.06,0.0,7.0, , 
,22.44,2112,84.0,3.9,11101001,21.75,2112,47.1,7.21,550.8,22.10,0.0,7.0, , 
,23.45,2112,84.0,3.5,11101001,22.77,2112,45.9,7.21,550.8,23.11,0.0,7.0, , 
,24.51,2144,84.0,3.1,11101001,23.80,2144,45.9,6.18,550.8,24.15,0.0,7.0, , 
,25.54,2112,84.0,2.3,11101001,24.85,2144,48.6,7.21,571.2,25.20,0.0,7.0, , 
,26.57,2112,84.0,2.7,11101001,25.90,2112,51.8,7.21,612.0,26.22,0.0,7.0, , 
,27.61,2144,84.0,2.7,11101001,26.92,2112,53.3,8.24,612.0,27.27,0.0,7.0, , 
,28.61,2144,84.0,5.5,11101001,27.94,2144,53.3,8.24,632.4,28.28,0.0,7.0, , 
,29.65,2144,84.0,8.2,11101001,28.97,2144,57.6,9.27,652.8,29.31,0.0,7.0, , 
,30.69,2176,84.0,8.2,11101001,30.00,2144,59.2,9.27,673.2,30.34,0.0,7.0, , 
,31.66,2176,84.0,8.6,11101001,31.01,2176,59.2,9.27,673.2,31.33,0.0,7.0, , 
,32.68,2176,84.0,9.8,11101001,31.99,2176,59.2,9.27,673.2,32.33,0.0,7.0, , 
,33.70,2208,84.0,7.0,11101001,33.00,2176,67.8,11.33,754.8,33.34,0.0,7.0, , 
,34.71,2208,84.0,7.0,11101001,34.05,2208,72.2,12.36,795.6,34.38,0.0,7.0, , 
,35.70,2272,84.0,5.9,11101001,35.04,2208,72.2,12.36,795.6,35.37,0.0,7.0, , 
,36.73,2272,84.0,5.5,11101001,36.05,2272,71.0,11.33,795.6,36.39,0.0,7.0, , 
,37.71,2304,84.0,0.0,11101001,37.06,2304,71.0,11.33,775.2,37.40,0.0,7.0, , 
,38.69,2272,84.0,0.4,11101001,38.04,2304,48.6,7.21,571.2,38.36,0.0,7.0, , 
,39.67,2240,84.0,0.0,11101001,39.02,2240,48.6,7.21,571.2,39.33,0.0,7.0, , 
,40.69,2208,84.0,1.6,11101001,40.02,2208,51.8,7.21,612.0,40.34,0.0,7.0, , 
,41.72,2176,84.0,4.7,11101001,41.02,2176,56.1,8.24,652.8,41.36,0.0,7.0, , 
,42.69,2176,84.0,6.3,11101001,42.04,2176,57.6,9.27,652.8,42.36,0.0,7.0, , 
,43.70,2144,84.0,6.3,11101001,43.02,2176,57.6,9.27,652.8,43.35,0.0,7.0, , 
,44.76,2144,84.0,5.1,11101001,44.06,2144,57.6,9.27,652.8,44.42,0.0,7.0, , 
,45.77,2176,84.0,5.1,11101001,45.09,2144,57.6,9.27,652.8,45.44,0.0,7.0, , 
,46.80,2176,85.5,5.1,11101001,46.11,2176,57.6,8.24,652.8,46.46,0.0,7.0, , 
,47.81,2176,84.0,5.5,11101001,47.13,2176,56.1,9.27,652.8,47.47,0.0,7.0, , 
,48.86,2208,85.5,5.1,11101001,48.17,2176,57.6,9.27,652.8,48.51,0.0,7.0, , 
,49.90,2240,85.5,5.1,11101001,49.21,2208,57.6,9.27,652.8,49.56,0.0,7.0, , 
,50.90,2240,85.5,5.9,11101001,50.22,2240,57.6,9.27,652.8,50.56,0.0,7.0, , 
,51.89,2272,85.5,7.0,11101001,51.23,2240,56.1,9.27,652.8,51.55,0.0,7.0, , 
,52.90,2272,85.5,5.1,11101001,52.23,2272,56.1,9.27,632.4,52.57,0.0,7.0, , 
,53.93,2272,85.5,5.1,11101001,53.23,2272,56.1,8.24,632.4,53.58,0.0,7.0, , 
,54.93,2304,85.5,4.7,11101001,54.27,2304,56.1,9.27,632.4,54.60,0.0,7.0, , 
,55.95,2336,85.5,5.1,11101001,55.26,2304,56.1,9.27,632.4,55.61,0.0,7.0, , 
,56.95,2336,85.5,5.5,11101001,56.30,2336,56.1,8.24,632.4,56.62,0.0,7.0, , 
,58.00,2368,85.5,2.7,11101001,57.28,2368,53.3,8.24,612.0,57.65,0.0,7.0, , 
,59.03,2336,85.5,0.4,11101001,58.34,2336,41.2,6.18,499.8,58.70,0.0,7.0, , 
,60.02,2336,85.5,-2.0,11101001,59.36,2336,42.7,6.18,499.8,59.69,0.0,7.0, , 
,61.03,2304,85.5,-3.5,11101001,60.36,2336,41.2,6.18,499.8,60.69,0.0,7.0, , 
,62.03,2304,85.5,-3.1,11101001,61.38,2304,42.7,6.18,499.8,61.71,0.0,7.0, , 
,63.04,2272,85.5,-2.0,11101001,62.38,2272,42.7,6.18,520.2,62.71,0.0,7.0, , 
,64.04,2240,85.5,-0.4,11101001,63.38,2272,44.3,6.18,520.2,63.71,0.0,7.0, , 
,65.06,2240,85.5,1.6,11101001,64.37,2272,44.3,6.18,520.2,64.72,0.0,7.0, , 
,66.12,2208,85.5,0.8,11101001,65.42,2240,44.3,6.18,520.2,65.77,0.0,7.0, , 
,67.18,2208,85.5,2.3,11101001,66.48,2208,44.3,6.18,520.2,66.83,0.0,7.0, , 
,68.19,2208,85.5,1.2,11101001,67.50,2208,45.9,6.18,550.8,67.86,0.0,7.0, , 
,69.21,2208,85.5,0.4,11101001,68.52,2208,44.3,6.18,520.2,68.87,0.0,7.0, , 
,70.23,2176,85.5,0.0,11101001,69.55,2208,42.7,6.18,499.8,69.89,0.0,7.0, , 
,71.29,2208,85.5,1.6,11101001,70.58,2176,44.3,6.18,520.2,70.94,0.0,7.0, , 
,72.30,2240,85.5,0.4,11101001,71.61,2208,48.6,7.21,571.2,71.95,0.0,7.0, , 
,73.31,2240,85.5,-0.4,11101001,72.65,2208,48.6,7.21,571.2,72.97,0.0,7.0, , 
,74.31,2272,85.5,0.8,11101001,73.64,2240,51.8,7.21,591.6,73.97,0.0,7.0, , 
,75.35,2336,85.5,2.0,11101001,74.65,2304,51.8,7.21,612.0,75.00,0.0,7.0, , 
,76.34,2368,85.5,3.1,11101001,75.69,2336,51.8,8.24,591.6,76.02,0.0,7.0, , 
,77.42,2432,85.5,3.9,11101001,76.71,2368,48.6,7.21,571.2,77.06,0.0,7.0, , 
,78.46,2432,85.5,2.7,11101001,77.76,2432,41.2,6.18,499.8,78.11,0.0,7.0, , 
,79.49,2496,85.5,3.5,11101001,78.78,2464,42.7,6.18,499.8,79.14,0.0,7.0, , 
,80.51,2528,85.5,2.7,11101001,79.83,2496,44.3,6.18,499.8,80.18,0.0,7.0, , 
,81.55,2656,85.5,4.3,11101001,80.84,2560,66.3,10.30,734.4,81.20,0.0,7.0, , 
,82.58,2624,85.5,0.0,11111101,81.88,2688,69.4,11.33,754.8,82.24,0.0,7.0, , 
,83.58,1152,85.5,0.0,11111111,82.92,2144,0.0,0.00,295.8,83.28,0.0,7.0, , 
,84.58,1952,85.5,0.0,11111111,83.90,1152,26.7,4.12,377.4,84.23,0.0,7.0, , 
,85.68,1920,85.5,0.0,11101011,84.95,1920,0.0,0.00,275.4,85.32,0.0,7.0, , 
,86.73,1888,85.5,-7.0,11101011,86.01,1888,19.2,3.09,295.8,86.36,0.0,7.0, , 
,87.81,1920,85.5,-4.3,11101011,87.10,1888,40.0,5.15,479.4,87.46,0.0,7.0, , 
,88.94,1952,85.5,-1.6,11101011,88.17,1920,44.3,6.18,550.8,88.56,0.0,7.0, , 
,90.04,1952,85.5,0.0,11101011,89.31,1952,38.4,5.15,479.4,89.67,0.0,7.0, , 
,91.13,1952,85.5,-12.5,11101011,90.40,1952,22.0,3.09,316.2,90.77,0.0,7.0, , 
,92.20,1984,85.5,-9.8,11101011,91.48,1952,34.1,4.12,438.6,91.84,0.0,7.0, , 
,93.28,1984,85.5,-6.3,11101001,92.56,1984,35.3,4.12,438.6,92.92,0.0,7.0, , 
,94.32,2048,85.5,-2.3,11101001,93.63,2016,34.1,4.12,438.6,93.97,0.0,7.0, , 
,95.37,2048,85.5,0.0,11101001,94.67,2048,35.3,4.12,438.6,95.02,0.0,7.0, , 
,96.44,2080,85.5,1.2,11101001,95.73,2048,35.3,5.15,438.6,96.06,0.0,7.0, , 
,97.50,2080,85.5,-0.4,11101001,96.78,2080,34.1,4.12,418.2,97.14,0.0,7.0, , 
,98.54,2080,85.5,-13.7,11101001,97.85,2080,22.0,3.09,316.2,98.19,0.0,7.0, , 
,99.58,2048,85.5,-27.3,11101001,98.88,2048,14.9,2.06,244.8,99.22,0.0,7.0, , 
,100.65,2016,85.5,-26.2,11101001,99.94,2048,14.9,1.03,244.8,100.30,0.0,7.0, , 
,101.71,2016,85.5,-23.0,11101001,100.99,2016,23.5,2.06,316.2,101.34,0.0,7.0, , 
,102.77,1984,85.5,-21.9,11101001,102.05,2016,22.0,2.06,316.2,102.41,0.0,7.0, , 
,103.83,1984,85.5,-18.4,11101001,103.13,1984,23.5,2.06,316.2,103.49,0.0,7.0, , 
,104.89,1984,85.5,-14.1,11101011,104.18,1984,29.4,3.09,377.4,104.52,0.0,7.0, , 
,105.97,1984,85.5,-8.6,11101011,105.25,1984,29.4,4.12,377.4,105.61,0.0,7.0, , 
,107.08,1952,85.5,-3.5,11101011,106.34,1984,34.1,4.12,418.2,106.71,0.0,7.0, , 
,108.17,1952,85.5,-2.0,11101011,107.44,1984,34.1,4.12,418.2,107.80,0.0,7.0, , 
,109.26,1952,85.5,-1.2,11101011,108.53,1952,34.1,5.15,438.6,108.89,0.0,7.0, , 
,110.33,1952,84.0,2.0,11101011,109.61,1952,35.3,5.15,438.6,109.98,0.0,7.0, , 
,111.42,1952,84.0,-2.0,11101011,110.69,1952,47.1,7.21,571.2,111.06,0.0,7.0, , 
,112.50,1984,84.0,4.7,11101001,111.78,1984,59.2,9.27,673.2,112.14,0.0,7.0, , 
,113.58,2016,84.0,6.3,11101001,112.85,2016,57.6,9.27,673.2,113.21,0.0,7.0, , 
,114.62,2048,84.0,7.4,11101001,113.93,2016,56.1,9.27,652.8,114.27,0.0,7.0, , 
,115.69,2048,84.0,5.1,11101001,114.98,2048,56.1,9.27,652.8,115.34,0.0,7.0, , 
,116.75,2080,84.0,2.0,11101001,116.05,2080,48.6,7.21,571.2,116.39,0.0,7.0, , 
,117.80,2080,84.0,-3.1,11101001,117.09,2080,42.7,6.18,499.8,117.45,0.0,7.0, , 
,118.86,2080,84.0,-9.8,11101001,118.15,2080,25.1,3.09,336.6,118.51,0.0,7.0, , 
,119.91,2080,84.0,-0.4,11101001,119.21,2080,36.9,5.15,459.0,119.55,0.0,7.0, , 
,120.94,2112,84.0,0.4,11101001,120.26,2080,38.4,5.15,459.0,120.59,0.0,7.0, , 
,122.00,2112,84.0,2.7,11101001,121.30,2112,40.0,5.15,479.4,121.64,0.0,7.0, , 
,123.03,2144,84.0,4.3,11101001,122.35,2112,40.0,5.15,479.4,122.70,0.0,7.0, , 
,124.08,2176,84.0,5.9,11101001,123.39,2144,40.0,6.18,479.4,123.74,0.0,7.0, , 
,125.13,2176,84.0,5.9,11101001,124.42,2176,40.0,5.15,479.4,124.78,0.0,7.0, , 
,126.14,2208,84.0,0.0,11101001,125.46,2176,38.4,5.15,479.4,125.80,0.0,7.0, , 
,127.18,2208,84.0,0.8,11101001,126.49,2208,40.0,6.18,479.4,126.83,0.0,7.0, , 
,128.17,2240,84.0,2.0,11101001,127.51,2208,40.0,6.18,479.4,127.83,0.0,7.0, , 
,129.18,2272,84.0,3.1,11101001,128.51,2240,45.9,6.18,520.2,128.84,0.0,7.0, , 
,130.20,2304,84.0,7.4,11101001,129.51,2272,53.3,8.24,612.0,129.84,0.0,7.0, , 
,131.19,2368,84.0,8.6,11101001,130.53,2304,60.4,10.30,673.2,130.86,0.0,7.0, , 
,132.23,2432,84.0,7.4,11101001,131.54,2368,69.4,11.33,754.8,131.88,0.0,7.0, , 
,133.23,2496,84.0,10.5,11101001,132.57,2464,73.7,13.39,826.2,132.90,0.0,7.0, , 
,134.24,2592,84.0,9.8,11101001,133.56,2528,73.7,13.39,795.6,133.91,0.0,7.0, , 
,135.26,2656,82.5,10.2,11101001,134.59,2592,72.2,12.36,795.6,134.92,0.0,7.0, , 
,136.32,2720,82.5,9.0,11101001,135.62,2656,71.0,12.36,775.2,135.95,0.0,7.0, , 
,137.35,1888,82.5,0.0,11111111,136.65,2752,67.8,11.33,754.8,136.99,0.0,7.0, , 
,138.43,2144,82.5,0.0,11101001,137.71,1376,23.5,4.12,336.6,138.06,0.0,7.0, , 
,139.45,2080,82.5,0.0,11101001,138.78,2080,34.1,5.15,418.2,139.12,0.0,7.0, , 
,140.49,2080,82.5,-3.1,11101001,139.80,2080,47.1,6.18,571.2,140.14,0.0,7.0, , 
,141.53,2080,82.5,-7.4,11101001,140.85,2080,41.2,6.18,499.8,141.19,0.0,7.0, , 
,142.60,2112,82.5,-6.3,11101001,141.89,2080,66.3,9.27,754.8,142.23,0.0,7.0, , 
,143.60,2144,82.5,-3.5,11101001,142.93,2112,73.7,11.33,826.2,143.27,0.0,7.0, , 
,144.61,2176,84.0,2.0,11101001,143.92,2144,73.7,12.36,826.2,144.27,0.0,7.0, , 
,145.62,2208,82.5,6.3,11101001,144.96,2176,67.8,11.33,754.8,145.29,0.0,7.0, , 
,146.59,2240,82.5,8.2,11101001,145.93,2208,67.8,11.33,754.8,146.26,0.0,7.0, , 
,147.61,2304,82.5,9.4,11101001,146.93,2272,66.3,11.33,734.4,147.27,0.0,7.0, , 
,148.60,2336,82.5,10.5,11101001,147.94,2336,65.1,11.33,734.4,148.27,0.0,7.0, , 
,149.65,2400,82.5,9.0,11101001,148.93,2368,60.4,10.30,693.6,149.29,0.0,7.0, , 
,150.67,2432,82.5,8.2,11101001,149.99,2432,66.3,11.33,734.4,150.32,0.0,7.0, , 
,151.74,2496,82.5,8.6,11101001,151.03,2464,60.4,10.30,693.6,151.39,0.0,7.0, , 
,152.74,2528,82.5,8.2,11101001,152.07,2496,60.4,10.30,673.2,152.41,0.0,7.0, , 
,153.74,2560,82.5,5.9,11101001,153.07,2528,57.6,9.27,652.8,153.41,0.0,7.0, , 
,154.79,2560,82.5,-1.2,11101001,154.09,2560,41.2,6.18,479.4,154.44,0.0,7.0, , 
,155.79,2560,82.5,-5.9,11101001,155.11,2560,29.4,4.12,377.4,155.45,0.0,7.0, , 
,156.77,2560,82.5,-8.6,11101001,156.10,2560,29.4,4.12,377.4,156.44,0.0,7.0, , 
,157.82,2528,82.5,-10.5,11101001,157.13,2528,29.4,4.12,377.4,157.48,0.0,7.0, , 
,158.81,2528,82.5,-10.5,11101001,158.14,2528,29.4,4.12,377.4,158.48,0.0,7.0, , 
,159.84,2528,82.5,-5.9,11101001,159.18,2528,45.9,6.18,520.2,159.51,0.0,7.0, , 
,160.89,2528,82.5,2.0,11101001,160.19,2528,48.6,7.21,571.2,160.54,0.0,7.0, , 
,161.90,2528,82.5,7.0,11101001,161.24,2560,53.3,8.24,612.0,161.57,0.0,7.0, , 
,162.96,2560,82.5,10.9,11101001,162.24,2560,54.5,8.24,612.0,162.59,0.0,7.0, , 
,164.03,2560,82.5,12.5,11101001,163.31,2560,54.5,9.27,612.0,163.67,0.0,7.0, , 
,165.03,2592,82.5,12.9,11101001,164.37,2592,53.3,9.27,612.0,164.71,0.0,7.0, , 
,166.05,2592,82.5,10.2,11101001,165.39,2592,53.3,9.27,612.0,165.71,0.0,7.0, , 
,167.08,2624,82.5,9.0,11101001,166.41,2592,53.3,8.24,612.0,166.74,0.0,7.0, , 
,168.08,2592,82.5,9.4,11101001,167.43,2592,53.3,9.27,612.0,167.75,0.0,7.0, , 
,169.10,2592,82.5,6.6,11101001,168.42,2592,56.1,9.27,632.4,168.77,0.0,7.0, , 
,170.14,2592,82.5,5.5,11101001,169.45,2592,56.1,9.27,632.4,169.80,0.0,7.0, , 
,171.14,2592,82.5,5.1,11101001,170.48,2592,56.1,9.27,632.4,170.82,0.0,7.0, , 
,172.16,2592,82.5,5.1,11101001,171.48,2592,56.1,9.27,632.4,171.82,0.0,7.0, , 
,173.18,2560,82.5,5.5,11101001,172.50,2560,57.6,9.27,652.8,172.84,0.0,7.0, , 
,174.22,2592,82.5,5.5,11101001,173.52,2560,57.6,9.27,652.8,173.87,0.0,7.0, , 
,175.23,2592,82.5,7.8,11101001,174.57,2560,63.5,11.33,714.0,174.91,0.0,7.0, , 
,176.30,2592,82.5,9.4,11101001,175.59,2592,63.5,11.33,714.0,175.95,0.0,7.0, , 
,177.33,2592,82.5,9.0,11101001,176.64,2592,63.5,11.33,714.0,176.99,0.0,7.0, , 
,178.31,2592,82.5,7.8,11101001,177.65,2592,62.0,10.30,693.6,177.96,0.0,7.0, , 
,179.29,2592,82.5,7.0,11101001,178.62,2592,60.4,10.30,673.2,178.94,0.0,7.0, , 
,180.31,2560,82.5,7.4,11101001,179.61,2560,59.2,9.27,652.8,179.95,0.0,7.0, , 
,181.36,2560,82.5,6.6,11101001,180.64,2592,57.6,9.27,652.8,181.00,0.0,7.0, , 
,182.40,2560,82.5,4.7,11101001,181.72,2560,51.8,8.24,591.6,182.06,0.0,7.0, , 
,183.41,2560,82.5,3.5,11101001,182.74,2560,51.8,8.24,591.6,183.06,0.0,7.0, , 
,184.46,2560,82.5,1.2,11101001,183.76,2560,48.6,7.21,550.8,184.11,0.0,7.0, , 
,185.48,2560,82.5,-0.8,11101001,184.79,2560,45.9,7.21,550.8,185.14,0.0,7.0, , 
,186.50,2528,82.5,-3.1,11101001,185.81,2560,38.4,6.18,459.0,186.16,0.0,7.0, , 
,187.56,2528,82.5,-4.7,11101001,186.85,2528,38.4,5.15,459.0,187.21,0.0,7.0, , 
,188.61,2528,82.5,-6.6,11101001,187.91,2528,38.4,5.15,459.0,188.24,0.0,7.0, , 
,189.62,2496,82.5,-7.4,11101001,188.95,2528,34.1,5.15,418.2,189.30,0.0,7.0, , 
,190.65,2496,82.5,-3.9,11101001,189.96,2496,34.1,5.15,418.2,190.31,0.0,7.0, , 
,191.66,2496,82.5,-3.1,11101001,190.97,2496,38.4,5.15,459.0,191.32,0.0,7.0, , 
,192.72,2496,82.5,-0.4,11101001,192.02,2496,36.9,5.15,438.6,192.36,0.0,7.0, , 
,193.78,2464,82.5,0.8,11101001,193.07,2464,35.3,5.15,438.6,193.42,0.0,7.0, , 
,194.77,2464,82.5,-7.4,11111101,194.11,2464,20.8,3.09,295.8,194.44,0.0,7.0, , 
,195.76,2400,82.5,0.0,11111101,195.09,2432,0.0,0.00,244.8,195.41,0.0,7.0, , 
,196.76,2336,82.5,0.0,11111101,196.10,2368,0.0,0.00,244.8,196.43,0.0,7.0, , 
,197.74,2272,82.5,0.0,11111101,197.10,2336,0.0,0.00,244.8,197.43,0.0,7.0, , 
,198.73,2208,82.5,0.0,11111101,198.07,2272,0.0,0.00,244.8,198.40,0.0,7.0, , 
,199.75,2144,82.5,0.0,11101001,199.07,2208,0.0,0.00,244.8,199.41,0.0,7.0, , 
,200.78,2144,82.5,0.0,11101001,200.11,2144,16.1,3.09,244.8,200.45,0.0,7.0, , 
,201.82,2144,82.5,1.2,11101001,201.13,2112,48.6,7.21,571.2,201.48,0.0,7.0, , 
,202.81,2144,82.5,0.0,11101001,202.15,2144,71.0,11.33,795.6,202.47,0.0,7.0, , 
,203.83,2176,82.5,0.8,11101001,203.16,2176,78.4,12.36,867.0,203.50,0.0,7.0, , 
,204.85,2240,82.5,-0.8,11101001,204.17,2208,82.7,13.39,907.8,204.51,0.0,7.0, , 
,205.87,2272,82.5,-0.8,11101001,205.19,2240,85.5,14.42,928.2,205.53,0.0,7.0, , 
,206.86,2304,82.5,-0.4,11101001,206.20,2272,85.5,14.42,928.2,206.53,0.0,7.0, , 
,207.84,2336,82.5,0.0,11101001,207.19,2304,85.5,14.42,928.2,207.51,0.0,7.0, , 
,208.89,2368,82.5,2.0,11101001,208.21,2336,84.3,14.42,907.8,208.56,0.0,7.0, , 
,209.87,2400,82.5,1.2,11101001,209.21,2400,72.2,11.33,795.6,209.54,0.0,7.0, , 
,210.87,2432,82.5,6.3,11101001,210.19,2400,71.0,11.33,775.2,210.53,0.0,7.0, , 
,211.91,2432,82.5,10.5,11101001,211.21,2432,69.4,11.33,754.8,211.53,0.0,7.0, , 
,212.94,2464,82.5,14.1,11101001,212.27,2432,66.3,11.33,734.4,212.60,0.0,7.0, , 
,214.00,2464,82.5,14.8,11101001,213.30,2464,65.1,11.33,734.4,213.65,0.0,7.0, , 
,215.03,2496,82.5,14.5,11101001,214.36,2496,66.3,11.33,734.4,214.71,0.0,7.0, , 
,216.06,2496,82.5,12.9,11101001,215.36,2496,65.1,11.33,714.0,215.72,0.0,7.0, , 
,217.09,2528,82.5,12.1,11101001,216.38,2496,65.1,11.33,714.0,216.75,0.0,7.0, , 
,218.18,2528,82.5,11.7,11101001,217.47,2528,65.1,11.33,714.0,217.81,0.0,7.0, , 
,219.20,2560,82.5,10.2,11101001,218.51,2560,63.5,11.33,714.0,218.84,0.0,7.0, , 
,220.24,2592,82.5,10.2,11101001,219.56,2560,63.5,11.33,714.0,219.92,0.0,7.0, , 
,221.25,2592,82.5,10.2,11101001,220.59,2592,63.5,11.33,714.0,220.92,0.0,7.0, , 
,222.29,2624,82.5,10.2,11101001,221.61,2592,62.0,11.33,693.6,221.95,0.0,7.0, , 
,223.28,2624,82.5,9.0,11101001,222.61,2624,57.6,9.27,652.8,222.95,0.0,7.0, , 
,224.28,2624,82.5,0.0,11111101,223.62,2656,45.9,5.15,550.8,223.95,0.0,7.0, , 
,225.29,2560,82.5,0.0,11101001,224.61,2624,0.0,0.00,275.4,224.95,0.0,7.0, , 
,226.31,2560,82.5,-0.4,11101001,225.63,2528,32.5,5.15,397.8,225.98,0.0,7.0, , 
,227.32,2560,82.5,-1.6,11101001,226.64,2560,36.9,5.15,438.6,226.98,0.0,7.0, , 
,228.35,2528,82.5,-5.9,11101001,227.66,2528,40.0,6.18,459.0,228.00,0.0,7.0, , 
,229.38,2528,82.5,-3.5,11101001,228.69,2528,47.1,6.18,550.8,229.03,0.0,7.0, , 
,230.40,2528,82.5,0.4,11101001,229.73,2528,48.6,7.21,571.2,230.07,0.0,7.0, , 
