Pi¹tek,04,Wrzesieñ,2026,16:16:40:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.53,0,67.5,0.0,10110110,0.01,0,0.0,0.00,989.4,0.27,99.2,0.0, , 
,1.33,0,67.5,0.0,10110110,0.80,0,0.0,0.00,989.4,1.07,99.2,0.0, , 
,2.15,0,67.5,0.0,10110110,1.60,0,0.0,0.00,989.4,1.87,99.2,0.0, , 
,2.96,0,67.5,0.0,10110110,2.42,0,0.0,0.00,989.4,2.69,99.2,0.0, , 
,3.75,0,67.5,0.0,10110110,3.22,0,0.0,0.00,989.4,3.49,99.2,0.0, , 
,4.55,0,67.5,0.0,10110110,4.02,0,0.0,0.00,989.4,4.28,99.2,0.0, , 
,5.36,0,67.5,0.0,10110110,4.82,0,0.0,0.00,989.4,5.09,99.2,0.0, , 
,6.16,224,67.5,0.0,10110110,5.63,0,0.0,0.00,989.4,5.89,99.2,0.0, , 
,7.05,896,67.5,0.0,10110110,6.42,224,88.6,30.90,969.0,6.72,99.2,0.0, , 
,8.04,992,67.5,0.0,10110110,7.37,1088,45.9,8.24,591.6,7.70,0.0,0.0, , 
,8.94,928,67.5,0.0,10110110,8.34,928,35.3,5.15,459.0,8.65,0.0,0.0, , 
,9.85,864,67.5,0.0,10110110,9.24,928,35.3,5.15,459.0,9.54,0.0,0.0, , 
,10.75,800,67.5,0.0,10110110,10.16,832,36.9,5.15,479.4,10.45,0.0,0.0, , 
,11.67,736,67.5,0.0,10100010,11.05,800,38.4,6.18,499.8,11.36,0.0,0.0, , 
,12.63,1248,67.5,0.0,10100010,11.98,864,44.3,7.21,571.2,12.29,0.0,0.0, , 
,13.57,1120,67.5,0.0,10100010,12.96,1312,38.4,6.18,479.4,13.28,0.0,0.0, , 
,14.47,896,67.5,0.0,10100010,13.88,992,42.7,6.18,520.2,14.17,0.0,0.0, , 
,15.39,896,67.5,0.0,10100010,14.78,896,35.3,5.15,459.0,15.09,0.0,0.0, , 
,16.29,1024,67.5,0.0,10100010,15.70,928,36.9,5.15,479.4,15.99,0.0,0.0, , 
,17.23,1152,66.0,0.0,10100010,16.59,1056,32.5,4.12,418.2,16.91,0.0,0.0, , 
,18.15,1440,66.0,0.0,10100010,17.55,1248,40.0,6.18,479.4,17.86,0.0,0.0, , 
,19.17,1568,66.0,0.0,10110110,18.48,1504,48.6,8.24,571.2,18.83,0.0,0.0, , 
,20.16,1056,66.0,0.0,10110110,19.51,1024,32.5,4.12,418.2,19.81,0.0,0.0, , 
,21.14,960,64.5,0.0,10100010,20.48,960,29.4,4.12,397.8,20.78,0.0,0.0, , 
,22.09,1024,64.5,0.0,10100010,21.43,992,36.9,5.15,479.4,21.75,0.0,0.0, , 
,23.02,1120,64.5,0.0,10100010,22.40,1056,41.2,6.18,499.8,22.72,0.0,0.0, , 
,23.98,1152,64.5,0.0,10100010,23.33,1120,36.9,5.15,459.0,23.66,0.0,0.0, , 
,24.94,1152,63.0,0.0,10110110,24.29,1152,29.4,4.12,397.8,24.62,0.0,0.0, , 
,25.84,1120,63.0,0.0,10110110,25.24,1152,28.2,4.12,377.4,25.53,0.0,0.0, , 
,26.80,1056,63.0,0.0,10110110,26.16,1120,29.4,4.12,397.8,26.49,0.0,0.0, , 
,27.72,992,63.0,0.0,10110110,27.10,1056,29.4,4.12,397.8,27.42,0.0,0.0, , 
,28.66,960,63.0,0.0,10110110,28.07,1024,29.4,4.12,397.8,28.35,0.0,0.0, , 
,29.56,896,63.0,0.0,10110110,28.96,960,31.0,4.12,418.2,29.26,0.0,0.0, , 
,30.46,896,63.0,0.0,10100010,29.86,896,32.5,4.12,438.6,30.16,0.0,0.0, , 
,31.39,992,63.0,0.0,10100010,30.74,928,47.1,7.21,571.2,31.10,0.0,0.0, , 
,32.33,1088,61.5,0.0,10100010,31.69,992,42.7,6.18,520.2,32.01,0.0,0.0, , 
,33.31,1152,61.5,0.0,10100010,32.66,1088,38.4,5.15,479.4,32.97,0.0,0.0, , 
,34.32,1216,61.5,0.0,10100010,33.64,1152,42.7,6.18,520.2,33.98,0.0,0.0, , 
,35.28,1280,61.5,0.0,10110110,34.65,1216,40.0,5.15,479.4,34.94,0.0,0.0, , 
,36.31,1216,61.5,0.0,10110110,35.63,1248,26.7,3.09,357.0,35.97,0.0,0.0, , 
,37.25,1152,61.5,0.0,10110110,36.63,1216,26.7,3.09,357.0,36.94,0.0,0.0, , 
,38.20,1088,61.5,0.0,10110110,37.57,1152,28.2,4.12,377.4,37.90,0.0,0.0, , 
,39.17,992,61.5,0.0,10100010,38.52,1024,31.0,4.12,418.2,38.86,0.0,0.0, , 
,40.11,1152,61.5,0.0,10100010,39.49,1120,54.5,9.27,632.4,39.80,0.0,0.0, , 
,41.14,1408,61.5,0.0,10101010,40.46,1216,73.7,12.36,826.2,40.80,0.0,0.0, , 
,42.14,1632,61.5,2.7,10101010,41.44,1440,75.3,11.33,846.6,41.80,0.0,0.0, , 
,43.25,1952,61.5,6.3,10101010,42.52,1760,71.0,11.33,775.2,42.89,0.0,0.0, , 
,44.27,2272,61.5,4.3,10101000,43.61,2048,75.3,11.33,826.2,43.94,0.0,0.0, , 
,45.27,2336,61.5,0.0,10111100,44.60,2368,75.3,12.36,795.6,44.93,0.0,0.0, , 
,46.24,1088,61.5,0.0,10101010,45.61,1728,0.0,0.00,336.6,45.93,0.0,0.0, , 
,47.22,1632,61.5,0.0,10101010,46.54,1504,28.2,4.12,377.4,46.87,0.0,0.0, , 
,48.31,1600,61.5,-8.6,10101010,47.58,1600,23.5,3.09,336.6,47.95,0.0,0.0, , 
,49.39,1632,61.5,0.0,10101010,48.68,1568,38.4,5.15,459.0,49.05,0.0,0.0, , 
,50.46,1696,61.5,1.6,10101010,49.77,1664,53.3,8.24,632.4,50.12,0.0,0.0, , 
,51.50,1760,61.5,3.5,10101010,50.81,1728,53.3,8.24,612.0,51.18,0.0,0.0, , 
,52.59,1824,61.5,3.9,10101010,51.88,1792,50.2,7.21,591.6,52.22,0.0,0.0, , 
,53.69,1920,63.0,3.5,10101010,52.97,1856,48.6,7.21,571.2,53.33,0.0,0.0, , 
,54.78,1952,61.5,2.3,10101010,54.06,1920,45.9,6.18,550.8,54.43,0.0,0.0, , 
,55.86,2016,63.0,2.3,10101000,55.14,1952,44.3,6.18,520.2,55.52,0.0,0.0, , 
,56.92,2016,63.0,1.6,10101000,56.22,2016,44.3,6.18,499.8,56.57,0.0,0.0, , 
,57.98,2080,63.0,1.2,10101000,57.29,2048,42.7,6.18,499.8,57.63,0.0,0.0, , 
,59.03,2112,63.0,0.4,10101000,58.35,2112,42.7,6.18,499.8,58.70,0.0,0.0, , 
,60.07,2176,63.0,-1.6,10101000,59.37,2144,41.2,5.15,479.4,59.73,0.0,0.0, , 
,61.08,2208,63.0,-3.5,10101000,60.41,2176,35.3,5.15,438.6,60.74,0.0,0.0, , 
,62.11,2208,63.0,0.8,10101000,61.42,2208,35.3,4.12,418.2,61.77,0.0,0.0, , 
,63.13,2208,63.0,0.0,10101000,62.46,2208,35.3,4.12,418.2,62.79,0.0,0.0, , 
,64.12,2272,63.0,0.8,10101000,63.46,2240,41.2,5.15,479.4,63.79,0.0,0.0, , 
,65.12,2272,63.0,-2.0,10101000,64.46,2272,34.1,4.12,418.2,64.79,0.0,0.0, , 
,66.14,2240,63.0,-6.6,10101000,65.47,2240,22.0,3.09,295.8,65.80,0.0,0.0, , 
,67.18,2208,64.5,-5.5,10101000,66.48,2240,22.0,3.09,295.8,66.83,0.0,0.0, , 
,68.17,2208,64.5,-3.1,10101000,67.51,2208,22.0,2.06,316.2,67.85,0.0,0.0, , 
,69.23,2176,64.5,0.8,10101000,68.51,2176,25.1,3.09,316.2,68.87,0.0,0.0, , 
,70.26,2144,64.5,2.7,10101000,69.57,2176,23.5,2.06,316.2,69.92,0.0,0.0, , 
,71.31,2112,64.5,2.7,10101000,70.60,2144,23.5,3.09,316.2,70.96,0.0,0.0, , 
,72.34,2112,64.5,5.1,10101000,71.65,2112,25.1,3.09,336.6,72.00,0.0,0.0, , 
,73.43,2080,64.5,6.3,10101000,72.72,2112,25.1,3.09,336.6,73.08,0.0,0.0, , 
,74.48,2080,64.5,7.8,10101000,73.76,2080,25.1,3.09,336.6,74.12,0.0,0.0, , 
,75.52,2080,64.5,0.0,10101000,74.83,2080,28.2,3.09,357.0,75.18,0.0,0.0, , 
,76.59,2112,64.5,14.1,10101000,75.87,2112,42.7,4.12,499.8,76.23,0.0,0.0, , 
,77.65,2176,64.5,21.9,10101000,76.94,2144,44.3,5.15,499.8,77.29,0.0,0.0, , 
,78.67,2208,64.5,25.8,10101000,78.00,2176,40.0,5.15,479.4,78.33,0.0,0.0, , 
,79.70,2240,64.5,28.1,10101000,79.02,2208,40.0,5.15,459.0,79.36,0.0,0.0, , 
,80.73,2240,66.0,22.3,10101000,80.04,2240,38.4,5.15,459.0,80.39,0.0,0.0, , 
,81.74,2272,66.0,18.4,10101000,81.08,2240,32.5,4.12,397.8,81.41,0.0,0.0, , 
,82.75,2272,66.0,15.6,10101000,82.07,2272,34.1,5.15,418.2,82.40,0.0,0.0, , 
,83.77,2304,66.0,10.9,10101000,83.09,2304,34.1,4.12,397.8,83.43,0.0,0.0, , 
,84.81,2336,66.0,7.8,10101000,84.13,2304,32.5,4.12,397.8,84.49,0.0,0.0, , 
,85.83,2336,66.0,5.5,10101000,85.16,2336,32.5,4.12,397.8,85.48,0.0,0.0, , 
,86.87,2368,66.0,2.7,10101000,86.17,2368,32.5,4.12,397.8,86.54,0.0,0.0, , 
,87.89,2368,66.0,0.0,10101000,87.21,2368,32.5,4.12,397.8,87.55,0.0,0.0, , 
,88.97,2368,66.0,-1.2,10101000,88.26,2368,31.0,4.12,377.4,88.59,0.0,0.0, , 
,90.02,2400,66.0,-2.3,10101000,89.32,2400,31.0,4.12,377.4,89.64,0.0,0.0, , 
,91.08,2400,66.0,-3.9,10101000,90.33,2400,26.7,3.09,336.6,90.70,0.0,0.0, , 
,92.10,2400,66.0,-4.3,10101000,91.45,2400,26.7,3.09,336.6,91.79,0.0,0.0, , 
,93.11,1632,66.0,0.0,10111110,92.47,2400,26.7,3.09,336.6,92.82,0.0,0.0, , 
,94.14,1216,66.0,0.0,10111110,93.46,1216,26.7,4.12,357.0,93.80,0.0,0.0, , 
,95.09,1056,66.0,0.0,10111110,94.47,1216,25.1,3.09,336.6,94.78,0.0,0.0, , 
,96.01,992,66.0,-5.5,10111110,95.40,1024,26.7,4.12,357.0,95.74,0.0,0.0, , 
,96.95,864,66.0,-7.4,10111110,96.31,992,26.7,3.09,377.4,96.63,0.0,0.0, , 
,97.86,896,66.0,-5.5,10111110,97.27,896,29.4,4.12,418.2,97.57,0.0,0.0, , 
,98.79,896,66.0,-3.9,10111110,98.18,896,29.4,4.12,418.2,98.47,0.0,0.0, , 
,99.72,896,67.5,-3.1,10111110,99.10,896,29.4,4.12,418.2,99.41,0.0,0.0, , 
,100.68,896,67.5,-2.7,10111110,100.03,896,29.4,4.12,397.8,100.35,0.0,0.0, , 
,101.63,896,67.5,-3.1,10111110,100.98,896,29.4,4.12,397.8,101.30,0.0,0.0, , 
,102.56,896,67.5,-3.5,10111110,101.94,896,29.4,4.12,397.8,102.25,0.0,0.0, , 
,103.50,896,67.5,-3.5,10111110,102.88,896,28.2,3.09,397.8,103.17,0.0,0.0, , 
,104.58,1824,67.5,-2.3,10101010,103.86,1312,29.4,4.12,397.8,104.22,0.0,0.0, , 
,105.67,1792,67.5,0.0,10101010,104.93,1760,31.0,4.12,377.4,105.31,0.0,0.0, , 
,106.76,1888,67.5,0.8,10101010,106.03,1824,48.6,7.21,571.2,106.40,0.0,0.0, , 
,107.86,1952,67.5,1.6,10101010,107.12,1920,57.6,8.24,652.8,107.48,0.0,0.0, , 
,108.91,2048,67.5,2.0,10101000,108.22,1984,54.5,8.24,632.4,108.57,0.0,0.0, , 
,109.97,2048,67.5,0.0,10101000,109.26,2048,38.4,5.15,459.0,109.62,0.0,0.0, , 
,111.01,2080,67.5,-1.2,10101000,110.31,2048,34.1,4.12,418.2,110.66,0.0,0.0, , 
,112.04,2080,67.5,-2.3,10101000,111.37,2048,34.1,4.12,418.2,111.71,0.0,0.0, , 
,113.05,2048,67.5,-2.3,10101000,112.37,2080,34.1,4.12,418.2,112.70,0.0,0.0, , 
,114.06,1120,67.5,0.0,10111110,113.41,2048,29.4,3.09,377.4,113.72,0.0,0.0, , 
,115.02,1152,67.5,0.0,10111110,114.38,1088,31.0,5.15,418.2,114.69,0.0,0.0, , 
,115.89,992,67.5,0.0,10111110,115.34,1088,25.1,3.09,357.0,115.63,0.0,0.0, , 
,116.78,928,67.5,-6.3,10111110,116.18,960,28.2,3.09,377.4,116.47,0.0,0.0, , 
,117.69,928,67.5,-7.0,10111110,117.10,928,28.2,3.09,397.8,117.40,0.0,0.0, , 
,118.60,928,67.5,-6.3,10111110,117.99,896,28.2,3.09,397.8,118.28,0.0,0.0, , 
,119.51,896,69.0,-5.9,10111110,118.91,896,28.2,3.09,397.8,119.22,0.0,0.0, , 
,120.41,864,69.0,-5.5,10111110,119.81,864,28.2,3.09,397.8,120.11,0.0,0.0, , 
,121.36,864,69.0,-5.5,10111110,120.72,864,28.2,3.09,397.8,121.05,0.0,0.0, , 
,122.25,864,69.0,-5.5,10111110,121.66,896,28.2,3.09,397.8,121.96,0.0,0.0, , 
,123.18,896,69.0,-5.1,10111110,122.57,896,28.2,3.09,397.8,122.88,0.0,0.0, , 
,124.09,896,69.0,-5.1,10111110,123.47,896,28.2,3.09,397.8,123.78,0.0,0.0, , 
,125.15,1440,69.0,-4.3,10101010,124.44,992,28.2,3.09,397.8,124.85,0.0,0.0, , 
,126.12,1376,69.0,0.0,10101010,125.47,1408,31.0,4.12,397.8,125.79,0.0,0.0, , 
,127.13,1472,69.0,0.0,10101010,126.49,1408,51.8,8.24,612.0,126.75,0.0,0.0, , 
,128.24,1600,69.0,0.8,10101010,127.49,1504,48.6,7.21,591.6,127.88,0.0,0.0, , 
,129.32,1664,69.0,0.0,10101010,128.62,1632,47.1,6.18,550.8,128.99,0.0,0.0, , 
,130.39,1696,69.0,1.2,10101010,129.68,1696,35.3,5.15,438.6,130.02,0.0,0.0, , 
,131.48,1696,69.0,2.0,10101010,130.72,1696,35.3,5.15,438.6,131.13,0.0,0.0, , 
,132.56,1664,69.0,3.1,10101010,131.82,1696,35.3,5.15,438.6,132.17,0.0,0.0, , 
,133.64,1664,69.0,3.5,10101010,132.91,1664,35.3,5.15,438.6,133.29,0.0,0.0, , 
,134.68,1632,69.0,2.3,10101010,133.99,1664,34.1,5.15,418.2,134.34,0.0,0.0, , 
,135.82,1536,69.0,-4.3,10101010,135.05,1600,23.5,3.09,316.2,135.43,0.0,0.0, , 
,136.79,1472,69.0,-5.5,10101010,136.09,1504,29.4,4.12,377.4,136.40,0.0,0.0, , 
,137.84,1440,69.0,0.4,10101010,137.15,1440,35.3,4.12,438.6,137.50,0.0,0.0, , 
,139.03,1504,69.0,0.0,10101010,138.19,1440,44.3,6.18,520.2,138.63,0.0,0.0, , 
,140.09,1632,69.0,0.0,10101010,139.39,1568,57.6,8.24,673.2,139.74,0.0,0.0, , 
,141.14,1664,69.0,0.0,10111110,140.46,1632,45.9,6.18,550.8,140.82,0.0,0.0, , 
,142.04,1184,69.0,0.0,10111110,141.44,1280,0.0,0.00,397.8,141.74,0.0,0.0, , 
,142.99,992,69.0,0.0,10111110,142.37,1152,25.1,3.09,357.0,142.65,0.0,0.0, , 
,143.94,896,69.0,-2.3,10111110,143.30,928,26.7,3.09,377.4,143.62,0.0,0.0, , 
,144.89,896,69.0,-3.9,10111110,144.25,896,29.4,3.09,418.2,144.58,0.0,0.0, , 
,145.82,896,69.0,-3.5,10111110,145.19,896,29.4,4.12,418.2,145.50,0.0,0.0, , 
,146.71,896,69.0,-2.3,10111110,146.12,896,29.4,3.09,418.2,146.41,0.0,0.0, , 
,147.59,768,69.0,-4.7,10111110,146.99,800,26.7,3.09,397.8,147.28,0.0,0.0, , 
,148.50,800,69.0,-6.6,10111110,147.89,800,29.4,4.12,418.2,148.19,0.0,0.0, , 
,149.40,800,69.0,-7.4,10111110,148.80,800,29.4,3.09,418.2,149.11,0.0,0.0, , 
,150.28,800,69.0,-7.4,10111110,149.69,800,29.4,3.09,418.2,149.99,0.0,0.0, , 
,151.19,800,70.5,-7.4,10111110,150.60,800,29.4,3.09,418.2,150.89,0.0,0.0, , 
,152.11,800,70.5,-7.8,10111110,151.50,800,29.4,3.09,418.2,151.80,0.0,0.0, , 
,153.02,800,70.5,-7.8,10111110,152.41,800,29.4,3.09,418.2,152.71,0.0,0.0, , 
,153.92,800,70.5,-7.8,10111110,153.31,800,29.4,3.09,418.2,153.63,0.0,0.0, , 
,154.82,800,70.5,-7.8,10111110,154.21,800,29.4,3.09,418.2,154.51,0.0,0.0, , 
,155.72,800,70.5,-7.4,10111110,155.10,800,29.4,3.09,418.2,155.41,0.0,0.0, , 
,156.66,800,70.5,-7.0,10111110,156.03,800,31.0,4.12,418.2,156.34,0.0,0.0, , 
,157.55,800,70.5,-6.6,10111110,156.95,800,29.4,4.12,418.2,157.25,0.0,0.0, , 
,158.46,800,70.5,-6.6,10111110,157.85,800,31.0,4.12,418.2,158.15,0.0,0.0, , 
,159.31,800,70.5,-6.3,10111110,158.73,800,31.0,4.12,418.2,159.03,0.0,0.0, , 
,160.20,800,70.5,-6.3,10111110,159.61,800,29.4,3.09,418.2,159.91,0.0,0.0, , 
,161.09,800,72.0,-6.6,10111110,160.50,768,31.0,3.09,418.2,160.79,0.0,0.0, , 
,162.01,768,70.5,-6.6,10111110,161.39,800,29.4,3.09,418.2,161.70,0.0,0.0, , 
,162.89,800,70.5,-6.3,10111110,162.30,800,31.0,4.12,438.6,162.59,0.0,0.0, , 
,163.79,800,70.5,-6.3,10111110,163.19,800,31.0,4.12,418.2,163.48,0.0,0.0, , 
,164.69,800,70.5,-6.3,10111110,164.10,800,31.0,4.12,438.6,164.39,0.0,0.0, , 
,165.59,800,70.5,-5.9,10111110,164.99,800,31.0,4.12,418.2,165.28,0.0,0.0, , 
,166.49,800,70.5,-5.9,10111110,165.89,800,31.0,4.12,438.6,166.18,0.0,0.0, , 
,167.40,800,70.5,-6.3,10111110,166.78,800,31.0,3.09,418.2,167.10,0.0,0.0, , 
,168.33,768,72.0,-6.3,10111110,167.73,800,31.0,4.12,418.2,168.04,0.0,0.0, , 
,169.25,800,72.0,-6.6,10111110,168.65,800,29.4,3.09,418.2,168.95,0.0,0.0, , 
,170.14,800,72.0,-7.0,10111110,169.55,768,29.4,3.09,418.2,169.85,0.0,0.0, , 
,171.03,800,72.0,-7.4,10111110,170.44,800,29.4,4.12,418.2,170.73,0.0,0.0, , 
,171.93,800,72.0,-7.8,10111110,171.32,768,31.0,4.12,438.6,171.63,0.0,0.0, , 
,172.83,768,72.0,-7.8,10111110,172.23,768,31.0,4.12,438.6,172.53,0.0,0.0, , 
,173.75,800,72.0,-7.8,10111110,173.13,800,31.0,4.12,438.6,173.43,0.0,0.0, , 
,174.65,800,72.0,-7.4,10111110,174.05,800,31.0,4.12,438.6,174.37,0.0,0.0, , 
,175.56,800,72.0,-7.0,10111110,174.96,800,31.0,4.12,438.6,175.27,0.0,0.0, , 
,176.49,800,72.0,-7.0,10111110,175.87,800,31.0,4.12,438.6,176.18,0.0,0.0, , 
,177.38,800,72.0,-7.0,10111110,176.78,800,31.0,4.12,438.6,177.08,0.0,0.0, , 
,178.32,768,72.0,-7.4,10111110,177.66,800,31.0,4.12,438.6,177.98,0.0,0.0, , 
,179.20,800,72.0,-8.2,10111110,178.61,768,31.0,4.12,438.6,178.91,0.0,0.0, , 
,180.13,800,72.0,-9.0,10111110,179.51,800,31.0,4.12,438.6,179.83,0.0,0.0, , 
,181.03,800,72.0,-9.4,10111110,180.43,800,31.0,4.12,438.6,180.73,0.0,0.0, , 
,181.95,800,72.0,-9.4,10111110,181.34,768,31.0,4.12,438.6,181.64,0.0,0.0, , 
,182.87,800,72.0,-9.4,10111110,182.26,800,32.5,4.12,438.6,182.57,0.0,0.0, , 
,183.77,800,72.0,-9.4,10111110,183.17,800,31.0,4.12,438.6,183.48,0.0,0.0, , 
,184.65,800,73.5,-9.4,10111110,184.07,800,31.0,4.12,438.6,184.37,0.0,0.0, , 
,185.56,768,73.5,-9.4,10111110,184.95,800,31.0,3.09,438.6,185.26,0.0,0.0, , 
,186.45,800,73.5,-8.6,10111110,185.85,800,31.0,4.12,438.6,186.15,0.0,0.0, , 
,187.37,800,73.5,-8.2,10111110,186.76,768,31.0,3.09,438.6,187.07,0.0,0.0, , 
,188.29,736,73.5,0.0,10101010,187.69,800,31.0,4.12,438.6,188.00,0.0,0.0, , 
,189.30,2464,73.5,0.0,10101000,188.64,1056,81.2,13.39,928.2,188.98,0.0,0.0, , 
,190.39,1856,73.5,0.8,10101010,189.66,2240,79.6,12.36,867.0,190.02,0.0,0.0, , 
,191.40,2336,73.5,0.0,10111100,190.73,2176,87.1,14.42,948.6,191.06,0.0,0.0, , 
,192.44,1792,73.5,0.0,10101010,191.76,1792,25.1,3.09,336.6,192.12,0.0,0.0, , 
,193.49,1792,73.5,0.0,10101010,192.80,1696,79.6,13.39,887.4,193.13,0.0,0.0, , 
,194.58,1792,73.5,0.0,10101010,193.88,1824,40.0,4.12,499.8,194.25,0.0,0.0, , 
,195.69,1728,73.5,-1.6,10101010,194.96,1760,32.5,4.12,418.2,195.33,0.0,0.0, , 
,196.77,1760,73.5,0.4,10101010,196.05,1728,38.4,5.15,479.4,196.40,0.0,0.0, , 
,197.90,1824,73.5,0.0,10101010,197.14,1760,40.0,5.15,479.4,197.52,0.0,0.0, , 
,198.99,1984,73.5,0.4,10101010,198.26,1888,56.1,8.24,652.8,198.62,0.0,0.0, , 
,200.06,1952,73.5,0.0,10111110,199.34,1984,41.2,5.15,499.8,199.70,0.0,0.0, , 
,201.05,992,73.5,0.0,10111110,200.43,1888,19.2,2.06,275.4,200.78,0.0,0.0, , 
,202.01,1088,73.5,0.0,10111110,201.38,992,31.0,5.15,418.2,201.69,0.0,0.0, , 
,202.90,960,73.5,0.0,10111110,202.28,1024,26.7,3.09,377.4,202.58,0.0,0.0, , 
,203.84,960,73.5,-4.3,10111110,203.20,960,28.2,4.12,397.8,203.53,0.0,0.0, , 
,204.78,928,73.5,-4.7,10111110,204.17,928,29.4,4.12,397.8,204.48,0.0,0.0, , 
,205.71,896,73.5,-4.7,10111110,205.10,928,29.4,4.12,397.8,205.41,0.0,0.0, , 
,206.62,896,73.5,-4.7,10111110,206.02,896,29.4,3.09,397.8,206.33,0.0,0.0, , 
,207.56,768,73.5,-5.9,10111110,206.93,896,28.2,3.09,397.8,207.25,0.0,0.0, , 
,208.49,800,73.5,-8.2,10111110,207.87,768,29.4,3.09,418.2,208.19,0.0,0.0, , 
,209.40,768,75.0,-9.4,10111110,208.77,800,29.4,3.09,418.2,209.08,0.0,0.0, , 
,210.28,768,75.0,-9.4,10111110,209.70,768,29.4,3.09,418.2,209.99,0.0,0.0, , 
,211.17,768,75.0,-9.4,10111110,210.58,768,29.4,3.09,418.2,210.88,0.0,0.0, , 
,212.09,800,75.0,-9.4,10111110,211.47,768,29.4,3.09,418.2,211.78,0.0,0.0, , 
,212.98,768,75.0,-9.4,10111110,212.39,800,29.4,3.09,438.6,212.69,0.0,0.0, , 
,213.88,768,75.0,-9.4,10111110,213.28,768,29.4,3.09,418.2,213.58,0.0,0.0, , 
,214.81,768,75.0,-9.4,10111110,214.19,800,29.4,3.09,418.2,214.51,0.0,0.0, , 
,215.71,800,75.0,-9.0,10111110,215.12,800,29.4,3.09,418.2,215.41,0.0,0.0, , 
,216.59,768,75.0,-9.0,10111110,216.00,800,31.0,4.12,438.6,216.29,0.0,0.0, , 
,217.50,800,75.0,-8.2,10111110,216.90,768,31.0,3.09,438.6,217.20,0.0,0.0, , 
,218.38,800,75.0,0.0,10101010,217.80,800,31.0,4.12,438.6,218.10,0.0,0.0, , 
,219.39,2336,76.5,0.0,10101000,218.70,1056,85.5,13.39,989.4,219.07,0.0,0.0, , 
