Środa,05,Sierpień,2026,06:42:15:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.65,1120,25.5,3.9,10111110,0.01,1120,51.8,7.21,571.2,0.33,2.3,1.68, , 
,1.65,1120,25.5,7.8,10111110,0.97,1120,50.2,7.21,571.2,1.31,7.0,1.64, , 
,2.61,1152,25.5,9.8,10111110,1.98,1120,48.6,7.21,550.8,2.31,9.4,1.56, , 
,3.54,1152,25.5,10.5,10111110,2.92,1152,48.6,7.21,550.8,3.23,10.5,1.52, , 
,4.64,1568,25.5,13.3,10101010,3.88,1120,47.1,7.21,550.8,4.24,14.1,1.48, , 
,5.72,1280,25.5,9.8,10101010,5.02,1504,32.5,4.12,397.8,5.36,9.4,1.25, , 
,6.76,1536,25.5,6.3,10101010,6.09,1344,40.0,5.15,459.0,6.44,10.2,1.37, , 
,7.98,1440,25.5,13.3,10101010,7.13,1472,32.5,4.12,397.8,7.52,8.6,1.52, , 
,9.09,1696,25.5,7.8,10111110,8.32,1568,36.9,5.15,438.6,8.71,12.1,1.41, , 
,10.17,1088,27.0,0.0,10111110,9.51,1568,28.2,4.12,357.0,9.84,5.1,1.33, , 
,11.17,1088,27.0,0.0,10101010,10.51,1088,44.3,8.24,499.8,10.85,0.0,1.29, , 
,12.20,1312,27.0,2.0,10101010,11.52,1088,44.3,6.18,520.2,11.86,0.0,1.56, , 
,13.17,1408,27.0,0.8,10111110,12.51,1344,36.9,5.15,438.6,12.81,0.8,1.48, , 
,14.17,1088,27.0,0.0,10111110,13.50,1216,36.9,5.15,438.6,13.83,0.0,1.60, , 
,15.15,1088,27.0,0.8,10101010,14.47,1120,41.2,6.18,479.4,14.82,0.0,1.45, , 
,16.18,1248,27.0,2.3,10101010,15.48,1184,42.7,6.18,499.8,15.84,2.0,1.52, , 
,17.20,1280,27.0,5.1,10101010,16.51,1216,40.0,5.15,459.0,16.88,5.5,1.56, , 
,18.26,1280,27.0,10.2,10101010,17.55,1280,38.4,5.15,438.6,17.91,7.4,1.52, , 
,19.22,1472,27.0,13.3,10101010,18.64,1376,47.1,7.21,550.8,18.93,14.1,1.56, , 
,20.26,1280,27.0,11.7,10101010,19.57,1472,40.0,6.18,459.0,19.91,13.3,1.41, , 
,21.30,1248,28.5,9.4,10101010,20.61,1184,38.4,5.15,459.0,20.95,10.2,1.33, , 
,22.32,1312,28.5,9.0,10111110,21.65,1248,38.4,5.15,438.6,22.00,8.6,1.37, , 
,23.32,1280,28.5,0.0,10101010,22.66,1024,40.0,6.18,459.0,23.00,0.0,1.33, , 
,24.38,1120,28.5,0.0,10101010,23.70,1664,44.3,6.18,499.8,24.05,0.0,1.56, , 
,25.35,1216,28.5,0.0,10101010,24.71,1088,63.5,12.36,693.6,25.04,0.0,1.13, , 
,26.45,1504,28.5,0.0,10101010,25.70,1312,44.3,6.18,520.2,26.08,0.0,1.48, , 
,27.58,1792,28.5,3.5,10101010,26.82,1600,50.2,7.21,571.2,27.20,0.0,1.68, , 
,28.70,1888,28.5,0.0,10111110,27.96,1888,44.3,6.18,479.4,28.33,5.9,1.56, , 
,29.69,1184,28.5,0.0,10101010,29.08,1888,26.7,3.09,336.6,29.37,0.0,1.25, , 
,30.70,1152,30.0,0.0,10101010,30.06,1088,48.6,10.30,550.8,30.38,0.0,0.66, , 
,31.68,1344,30.0,0.0,10101010,31.04,1216,63.5,11.33,693.6,31.36,0.0,1.25, , 
,32.81,1504,30.0,2.0,10101010,32.03,1376,56.1,8.24,612.0,32.41,1.2,1.56, , 
,33.90,1664,30.0,3.1,10101010,33.17,1568,59.2,8.24,632.4,33.56,0.0,1.68, , 
,35.01,1824,30.0,5.1,10101010,34.27,1728,54.5,8.24,612.0,34.64,4.7,1.56, , 
,36.12,1952,30.0,3.1,10101010,35.38,1888,51.8,7.21,571.2,35.75,5.5,1.48, , 
,37.20,1984,30.0,2.3,10101000,36.50,1952,41.2,5.15,459.0,36.85,1.2,1.48, , 
,38.28,2080,30.0,0.0,10101000,37.57,2016,41.2,5.15,459.0,37.94,0.0,1.56, , 
,39.29,2176,31.5,1.6,10101000,38.60,2112,53.3,7.21,571.2,38.95,0.0,1.56, , 
,40.31,2208,31.5,5.1,10101000,39.63,2208,42.7,5.15,479.4,39.98,3.9,1.56, , 
,41.34,2208,31.5,0.0,10111100,40.65,2272,42.7,6.18,459.0,41.00,7.4,1.56, , 
,42.42,1376,31.5,0.0,10111110,41.68,2080,23.5,3.09,316.2,42.08,0.0,1.29, , 
,43.39,1056,31.5,-0.4,10111110,42.75,1024,36.9,6.18,438.6,43.08,-0.4,1.48, , 
,44.38,1024,33.0,1.2,10111110,43.73,1024,40.0,5.15,459.0,44.05,0.0,1.56, , 
,45.36,1024,33.0,3.5,10111110,44.73,1024,40.0,5.15,479.4,45.04,2.7,1.60, , 
,46.31,1024,33.0,5.5,10111110,45.69,1024,41.2,5.15,479.4,46.00,5.1,1.56, , 
,47.28,1024,33.0,6.3,10111110,46.64,1024,41.2,5.15,479.4,46.97,5.9,1.52, , 
,48.22,1024,33.0,6.6,10111110,47.58,1024,41.2,5.15,479.4,47.92,6.6,1.52, , 
,49.18,1024,33.0,7.0,10111110,48.54,1024,41.2,6.18,479.4,48.86,7.0,1.48, , 
,50.20,992,33.0,7.4,10111110,49.53,1024,41.2,6.18,479.4,49.85,7.4,1.52, , 
,51.13,1440,33.0,0.0,10101010,50.51,992,38.4,5.15,459.0,50.84,0.0,1.41, , 
,52.17,1504,33.0,0.0,10101010,51.46,1440,41.2,5.15,479.4,51.82,0.0,1.37, , 
,53.17,1344,34.5,0.0,10101010,52.49,1312,57.6,10.30,632.4,52.85,0.0,1.33, , 
,54.26,1728,34.5,0.0,10111110,53.51,1536,62.0,9.27,673.2,53.88,0.0,1.52, , 
,55.36,1024,34.5,0.0,10101010,54.63,1856,28.2,3.09,357.0,55.02,0.0,1.05, , 
,56.30,1152,34.5,0.0,10101010,55.67,1056,45.9,7.21,550.8,55.97,0.0,0.94, , 
,57.34,1376,34.5,0.0,10101010,56.61,1216,67.8,13.39,734.4,56.94,0.0,1.13, , 
,58.45,1632,34.5,0.0,10101010,57.72,1504,59.2,9.27,652.8,58.07,0.0,1.48, , 
,59.58,1856,36.0,0.0,10101010,58.84,1728,53.3,7.21,591.6,59.21,2.0,1.56, , 
,60.65,1984,36.0,-4.7,10101000,59.94,1920,34.1,4.12,418.2,60.29,0.0,1.25, , 
,61.70,2048,36.0,-3.9,10101000,61.00,2016,29.4,3.09,357.0,61.34,-3.9,1.52, , 
,62.75,2144,36.0,0.0,10101000,62.05,2080,29.4,3.09,357.0,62.40,-1.6,1.60, , 
,63.77,2208,36.0,4.3,10101000,63.09,2144,31.0,4.12,377.4,63.43,3.5,1.60, , 
,64.80,2240,36.0,4.3,10101000,64.13,2240,35.3,5.15,397.8,64.47,6.3,1.52, , 
,65.80,2272,36.0,2.3,10101000,65.14,2272,25.1,3.09,316.2,65.47,2.7,1.37, , 
,66.82,2272,36.0,0.4,10101000,66.14,2304,20.8,3.09,275.4,66.47,1.2,1.41, , 
,67.82,2240,37.5,1.6,10101000,67.17,2240,20.8,3.09,275.4,67.49,1.2,1.52, , 
,68.85,2208,37.5,2.3,10101000,68.16,2208,20.8,3.09,275.4,68.50,2.3,1.52, , 
,69.88,2176,37.5,3.1,10101000,69.19,2176,20.8,3.09,275.4,69.52,3.1,1.52, , 
,70.91,2176,37.5,3.9,10101000,70.23,2144,20.8,3.09,275.4,70.56,3.5,1.52, , 
,71.99,2144,37.5,4.3,10101000,71.27,2144,20.8,3.09,275.4,71.63,4.3,1.48, , 
,73.05,2144,37.5,4.7,10101000,72.35,2144,20.8,3.09,275.4,72.71,4.3,1.52, , 
,74.11,2112,37.5,7.4,10111100,73.42,2144,20.8,3.09,275.4,73.77,5.1,1.48, , 
,75.15,2016,39.0,10.5,10111100,74.45,2048,20.8,3.09,275.4,74.79,9.4,1.56, , 
,76.21,1952,39.0,10.9,10111110,75.51,1984,19.2,3.09,275.4,75.86,10.5,1.52, , 
,77.30,1920,39.0,10.5,10111110,76.58,1952,22.0,3.09,295.8,76.94,10.2,1.41, , 
,78.39,1888,39.0,9.8,10101010,77.67,1888,22.0,3.09,295.8,78.03,9.8,1.45, , 
,79.46,1952,39.0,7.8,10101010,78.75,1888,22.0,3.09,295.8,79.11,7.8,1.41, , 
,80.54,1952,39.0,7.0,10111110,79.82,1952,20.8,3.09,275.4,80.19,5.5,1.41, , 
,81.64,1920,39.0,9.4,10111110,80.91,1920,22.0,3.09,295.8,81.28,9.4,1.52, , 
,82.69,1824,39.0,11.3,10111110,81.99,1888,22.0,3.09,295.8,82.36,11.7,1.52, , 
,83.74,1472,40.5,13.7,10111110,83.04,1728,26.7,4.12,336.6,83.42,12.9,1.48, , 
,84.68,928,40.5,12.9,10111110,84.06,1184,29.4,4.12,377.4,84.36,12.5,1.45, , 
,85.62,928,40.5,7.8,10111110,84.98,928,41.2,7.21,499.8,85.29,9.8,1.09, , 
,86.56,928,40.5,7.0,10111110,85.95,928,41.2,6.18,499.8,86.26,7.0,1.41, , 
,87.46,928,40.5,7.8,10111110,86.87,928,41.2,6.18,499.8,87.17,7.4,1.48, , 
,88.42,896,40.5,8.6,10111110,87.78,928,41.2,6.18,499.8,88.09,8.2,1.48, , 
,89.44,1056,40.5,9.0,10111110,88.75,928,41.2,6.18,499.8,89.10,9.0,1.45, , 
,90.36,1504,40.5,8.6,10101010,89.73,1312,28.2,4.12,377.4,90.00,7.8,1.45, , 
,91.45,1600,40.5,9.8,10101010,90.73,1504,29.4,4.12,377.4,91.08,9.4,1.45, , 
,92.57,1696,40.5,0.0,10101010,91.83,1632,31.0,4.12,377.4,92.20,10.9,1.48, , 
,93.69,1888,42.0,5.1,10101010,92.94,1792,40.0,5.15,479.4,93.31,0.0,1.68, , 
,94.77,2016,42.0,5.1,10101000,94.04,1920,32.5,4.12,397.8,94.41,5.1,1.45, , 
,95.85,2048,42.0,2.0,10111100,95.15,2048,25.1,3.09,316.2,95.49,3.1,1.29, , 
,96.93,1952,42.0,5.1,10111110,96.21,2016,19.2,2.06,275.4,96.57,3.9,1.41, , 
,98.06,1888,42.0,8.2,10111110,97.30,1920,20.8,3.09,295.8,97.68,7.8,1.56, , 
,99.13,1856,42.0,9.8,10111110,98.42,1888,22.0,3.09,295.8,98.78,9.4,1.48, , 
,100.27,1824,42.0,9.0,10101010,99.51,1824,23.5,3.09,316.2,99.88,9.0,1.33, , 
,101.39,1952,42.0,9.0,10101010,100.65,1856,23.5,3.09,316.2,101.02,9.4,1.41, , 
,102.43,2048,42.0,6.3,10101000,101.74,1984,26.7,4.12,336.6,102.09,6.6,1.37, , 
,103.50,2176,43.5,-10.9,10101000,102.79,2080,25.1,3.09,316.2,103.16,-15.2,0.47, , 
,104.50,2272,43.5,-13.7,10101000,103.83,2208,26.7,3.09,336.6,104.17,-13.7,1.45, , 
,105.48,1408,43.5,0.0,10111110,104.83,2336,28.2,3.09,357.0,105.16,0.0,1.80, , 
,106.44,1696,43.5,0.0,10101010,105.78,960,36.9,6.18,438.6,106.07,0.0,1.72, , 
,107.52,1696,43.5,-10.9,10111110,106.77,1664,26.7,4.12,336.6,107.14,-11.7,0.66, , 
,108.62,1728,43.5,-10.9,10111110,107.88,1728,26.7,3.09,336.6,108.26,-11.3,1.45, , 
,109.68,1728,43.5,-8.6,10111110,108.98,1728,26.7,3.09,336.6,109.34,-9.4,1.56, , 
,110.78,1440,43.5,-5.9,10111110,110.04,1664,26.7,3.09,357.0,110.45,-6.3,1.56, , 
1,111.75,1024,43.5,-7.4,10111110,111.10,1344,28.2,3.09,377.4,111.41,-7.8,1.37, , 
,112.63,928,43.5,-7.0,10111110,112.04,896,38.4,5.15,479.4,112.34,-7.0,1.48, , 
,113.60,896,43.5,-7.0,10111110,112.96,896,38.4,4.12,479.4,113.28,-7.4,1.48, , 
,114.53,896,43.5,-5.5,10111110,113.90,896,38.4,4.12,479.4,114.21,-6.3,1.52, , 
,115.49,896,43.5,-3.9,10111110,114.85,896,38.4,5.15,479.4,115.16,-4.7,1.52, , 
,116.44,896,45.0,2.7,10111110,115.83,896,36.9,5.15,459.0,116.13,-3.5,1.48, , 
,117.34,896,45.0,-1.2,10111110,116.74,864,34.1,4.12,438.6,117.05,0.4,1.21, , 
,118.27,896,45.0,-3.9,10111110,117.64,896,34.1,4.12,438.6,117.95,-3.5,1.29, , 
,119.21,864,45.0,-5.1,10111110,118.58,864,35.3,4.12,459.0,118.88,-4.7,1.41, , 
,120.12,896,45.0,-4.7,10111110,119.52,864,36.9,4.12,459.0,119.82,-5.1,1.45, , 
,121.05,896,45.0,-4.3,10111110,120.42,896,35.3,4.12,459.0,120.73,-4.3,1.45, , 
,122.01,864,45.0,-4.3,10111110,121.39,896,35.3,4.12,459.0,121.70,-4.3,1.45, , 
,122.97,896,45.0,0.0,10101010,122.33,896,35.3,4.12,459.0,122.65,-4.3,1.45, , 
,124.02,1504,45.0,0.0,10101010,123.27,1312,48.6,8.24,571.2,123.64,0.0,0.82, , 
,125.01,1504,45.0,0.0,10101010,124.33,1088,66.3,12.36,734.4,124.66,0.0,0.39, , 
,126.05,1760,45.0,0.0,10111110,125.39,1728,63.5,10.30,693.6,125.73,0.0,0.86, , 
,127.04,1248,45.0,0.0,10101010,126.37,1152,32.5,4.12,418.2,126.69,0.0,2.70, , 
,128.06,1312,45.0,-9.0,10101010,127.37,1248,32.5,4.12,397.8,127.73,0.0,0.86, , 
,129.23,1472,46.5,-10.2,10101010,128.43,1376,34.1,4.12,418.2,128.77,-9.8,1.33, , 
,130.26,1568,46.5,0.0,10111110,129.58,1536,36.9,4.12,438.6,129.92,0.0,1.52, , 
,131.33,1632,46.5,-5.9,10111110,130.63,1568,26.7,3.09,357.0,131.00,-5.5,1.21, , 
,132.40,1536,46.5,-7.0,10111110,131.67,1600,26.7,3.09,336.6,132.03,-7.4,1.41, , 
,133.67,1472,46.5,-7.8,10101010,132.77,1504,26.7,3.09,357.0,133.23,-6.6,1.48, , 
,134.79,1600,46.5,0.0,10101010,134.07,1536,32.5,4.12,397.8,134.45,0.0,1.52, , 
,135.86,1888,46.5,0.0,10101010,135.13,1664,72.2,12.36,775.2,135.50,0.0,0.74, , 
,136.90,2208,46.5,-7.0,10101000,136.20,1984,65.1,9.27,693.6,136.55,-7.4,1.05, , 
,137.92,1920,46.5,0.0,10111110,137.25,2304,59.2,7.21,632.4,137.58,-6.3,1.48, , 
,138.99,1632,46.5,0.0,10101010,138.26,1312,0.0,0.00,397.8,138.62,0.0,3.40, , 
,140.09,1600,46.5,0.0,10101010,139.34,1632,28.2,4.12,357.0,139.72,-10.2,0.82, , 
,141.15,1632,46.5,-3.1,10101010,140.42,1632,40.0,5.15,459.0,140.78,-3.9,1.17, , 
,142.26,1664,46.5,-1.6,10101010,141.51,1664,38.4,5.15,438.6,141.88,-2.0,1.48, , 
,143.29,1728,48.0,-0.8,10101010,142.59,1696,41.2,5.15,479.4,142.94,-0.8,1.45, , 
,144.37,1760,48.0,-1.2,10101010,143.66,1728,41.2,5.15,479.4,144.01,-0.8,1.45, , 
,145.45,1824,48.0,-3.1,10101010,144.73,1760,38.4,5.15,459.0,145.09,-2.7,1.33, , 
,146.54,1824,48.0,-5.1,10101010,145.82,1792,36.9,4.12,438.6,146.18,-5.1,1.37, , 
