Œroda,09,Wrzesieñ,2026,16:11:49:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.53,0,97.5,0.0,10110111,0.01,0,0.0,0.00,989.4,0.27,99.2,0.0, , 
,1.35,0,97.5,0.0,10110111,0.80,0,0.0,0.00,989.4,1.07,99.2,0.0, , 
,2.14,0,97.5,0.0,10110111,1.61,0,0.0,0.00,989.4,1.87,99.2,0.0, , 
,2.94,0,97.5,0.0,10110111,2.41,0,0.0,0.00,989.4,2.67,99.2,0.0, , 
,3.73,0,97.5,0.0,10110111,3.20,0,0.0,0.00,989.4,3.47,99.2,0.0, , 
,4.53,192,97.5,0.0,10110111,4.00,0,0.0,0.00,989.4,4.27,99.2,0.0, , 
,5.35,224,97.5,0.0,10110111,4.80,192,82.7,18.54,969.0,5.07,99.2,0.0, , 
,6.16,224,97.5,0.0,10110111,5.63,224,84.3,17.51,948.6,5.89,99.2,0.0, , 
,7.04,1056,97.5,0.0,10110111,6.45,544,66.3,11.33,867.0,6.74,0.0,0.0, , 
,7.97,864,97.5,0.0,10110111,7.36,928,31.0,5.15,438.6,7.68,0.0,0.0, , 
,8.88,896,97.5,0.0,10110111,8.27,832,34.1,5.15,479.4,8.57,0.0,0.0, , 
,9.78,800,97.5,0.0,10110111,9.18,864,34.1,5.15,479.4,9.48,0.0,0.0, , 
,10.67,832,97.5,0.0,10110111,10.07,800,35.3,5.15,479.4,10.38,0.0,0.0, , 
,11.55,800,96.0,0.0,10110111,10.97,832,35.3,5.15,479.4,11.26,0.0,0.0, , 
,12.45,832,96.0,0.0,10110111,11.84,800,34.1,5.15,479.4,12.14,0.0,0.0, , 
,13.37,800,94.5,0.0,10110111,12.76,832,34.1,5.15,459.0,13.06,0.0,0.0, , 
,14.28,800,94.5,0.0,10110111,13.67,800,32.5,5.15,459.0,13.97,0.0,0.0, , 
,15.16,800,94.5,0.0,10110111,14.57,800,32.5,5.15,459.0,14.86,0.0,0.0, , 
,16.03,800,91.5,0.0,10110111,15.45,800,32.5,4.12,459.0,15.75,0.0,0.0, , 
,16.92,800,91.5,0.0,10110111,16.31,800,31.0,4.12,438.6,16.62,0.0,0.0, , 
,17.79,800,91.5,0.0,10110111,17.20,800,31.0,4.12,438.6,17.50,0.0,0.0, , 
,18.69,800,91.5,0.0,10110111,18.11,800,31.0,4.12,438.6,18.41,0.0,0.0, , 
,19.59,832,90.0,0.0,10110111,18.99,832,31.0,4.12,438.6,19.30,0.0,0.0, , 
,20.44,800,90.0,0.0,10110111,19.87,800,29.4,4.12,418.2,20.16,0.0,0.0, , 
,21.35,800,88.5,0.0,10110111,20.75,800,29.4,4.12,418.2,21.04,0.0,0.0, , 
,22.24,800,88.5,0.0,10110111,21.65,800,29.4,4.12,418.2,21.95,0.0,0.0, , 
,23.18,800,88.5,0.0,10110111,22.55,800,29.4,4.12,418.2,22.86,0.0,0.0, , 
,24.11,1152,88.5,0.0,10100011,23.48,768,31.0,4.12,438.6,23.80,0.0,0.0, , 
,25.05,960,88.5,0.0,10100011,24.43,1216,40.0,5.15,499.8,24.75,0.0,0.0, , 
,25.94,640,88.5,0.0,10100011,25.34,864,50.2,7.21,632.4,25.66,0.0,0.0, , 
,26.79,864,88.5,0.0,10100011,26.21,672,63.5,9.27,754.8,26.50,0.0,0.0, , 
,27.77,1152,88.5,0.0,10100011,27.11,960,48.6,7.21,612.0,27.43,0.0,0.0, , 
,28.85,1472,88.5,0.0,10101011,28.13,1280,40.0,5.15,499.8,28.45,0.0,0.0, , 
,29.89,1792,88.5,0.0,10111111,29.16,1696,66.3,10.30,775.2,29.51,0.0,0.0, , 
,30.83,1216,88.5,0.0,10101011,30.21,1248,0.0,0.00,377.4,30.51,0.0,0.0, , 
,31.83,1248,88.5,0.0,10101011,31.15,1152,38.4,6.18,479.4,31.50,0.0,0.0, , 
,32.85,1600,88.5,0.0,10101011,32.17,1376,76.9,12.36,887.4,32.50,0.0,0.0, , 
,33.92,1984,88.5,5.9,10101011,33.22,1728,73.7,11.33,867.0,33.58,0.0,0.0, , 
,34.93,2368,88.5,7.0,10101001,34.27,2112,78.4,13.39,887.4,34.59,0.0,0.0, , 
,35.96,2752,88.5,10.2,10101001,35.28,2496,81.2,14.42,907.8,35.62,0.0,0.0, , 
,36.99,1856,88.5,0.0,10111111,36.30,2912,59.2,6.18,734.4,36.64,0.0,0.0, , 
,38.05,1888,88.5,0.0,10101011,37.34,1472,22.0,3.09,316.2,37.70,0.0,0.0, , 
,39.17,1984,88.5,0.0,10101001,38.42,1888,69.4,11.33,795.6,38.80,0.0,0.0, , 
,40.21,2144,88.5,5.9,10101001,39.51,2080,71.0,10.30,795.6,39.87,0.0,0.0, , 
,41.21,2304,88.5,9.8,10101001,40.54,2176,67.8,10.30,775.2,40.88,0.0,0.0, , 
,42.24,2432,88.5,13.3,10101001,41.54,2336,72.2,12.36,826.2,41.89,0.0,0.0, , 
,43.29,2592,88.5,12.9,10101001,42.60,2464,76.9,13.39,846.6,42.95,0.0,0.0, , 
,44.34,2784,88.5,12.9,11101001,43.63,2656,79.6,14.42,887.4,44.00,0.0,0.0, , 
,45.38,2944,88.5,12.9,11101001,44.69,2848,81.2,14.42,887.4,44.98,0.0,0.0, , 
,46.37,1568,88.5,0.0,11101011,45.68,2560,0.0,0.00,295.8,46.04,0.0,0.0, , 
,47.39,2144,88.5,0.0,11101001,46.71,2176,19.2,3.09,275.4,47.04,0.0,0.0, , 
,48.41,2176,88.5,2.3,11101001,47.74,2144,54.5,7.21,632.4,48.08,0.0,0.0, , 
,49.41,2208,88.5,7.0,11101001,48.75,2176,56.1,8.24,652.8,49.08,0.0,0.0, , 
,50.38,2272,88.5,10.9,11101001,49.72,2240,62.0,9.27,714.0,50.04,0.0,0.0, , 
,51.40,2304,88.5,11.7,11101001,50.72,2272,67.8,11.33,775.2,51.07,0.0,0.0, , 
,52.40,2400,88.5,14.1,11101001,51.74,2336,72.2,12.36,826.2,52.07,0.0,0.0, , 
,53.48,2464,90.0,14.8,11101001,52.77,2432,75.3,13.39,846.6,53.11,0.0,0.0, , 
,54.47,2528,88.5,16.4,11101001,53.81,2496,56.1,9.27,652.8,54.13,0.0,0.0, , 
,55.48,2560,88.5,16.4,11101001,54.81,2528,56.1,9.27,632.4,55.15,0.0,0.0, , 
,56.51,2592,88.5,16.8,11101001,55.83,2560,54.5,9.27,632.4,56.17,0.0,0.0, , 
,57.52,2656,88.5,12.9,11101001,56.84,2624,65.1,11.33,734.4,57.17,0.0,0.0, , 
,58.52,2720,88.5,9.8,11101001,57.85,2688,79.6,14.42,887.4,58.18,0.0,0.0, , 
,59.55,2816,88.5,8.2,11101001,58.85,2752,82.7,14.42,907.8,59.21,0.0,0.0, , 
,60.59,1440,88.5,0.0,11111111,59.90,2528,0.0,0.00,316.2,60.26,0.0,0.0, , 
,61.66,2112,88.5,0.0,11101001,60.96,1152,25.1,3.09,357.0,61.31,0.0,0.0, , 
,62.69,2112,88.5,0.8,11101001,61.99,2176,41.2,6.18,479.4,62.34,0.0,0.0, , 
,63.70,2112,88.5,4.7,11101001,63.03,2112,53.3,7.21,612.0,63.38,0.0,0.0, , 
,64.71,2144,88.5,2.0,11101001,64.05,2112,66.3,10.30,754.8,64.37,0.0,0.0, , 
,65.74,2176,88.5,6.3,11101001,65.06,2144,73.7,11.33,846.6,65.39,0.0,0.0, , 
,66.78,2208,88.5,10.9,11101001,66.09,2176,69.4,11.33,795.6,66.43,0.0,0.0, , 
,67.79,2240,88.5,14.8,11101001,67.11,2208,66.3,10.30,754.8,67.45,0.0,0.0, , 
,68.81,2272,88.5,14.8,11101001,68.13,2240,69.4,11.33,775.2,68.47,0.0,0.0, , 
,69.78,2272,88.5,15.2,11101001,69.13,2272,72.2,12.36,826.2,69.45,0.0,0.0, , 
,70.78,2304,88.5,13.3,11101001,70.11,2304,63.5,10.30,714.0,70.44,0.0,0.0, , 
,71.79,2304,88.5,7.8,11101001,71.13,2304,54.5,9.27,632.4,71.45,0.0,0.0, , 
,72.83,2304,88.5,7.4,11101001,72.12,2304,50.2,7.21,591.6,72.48,0.0,0.0, , 
,73.83,2336,88.5,8.2,11101001,73.16,2304,50.2,7.21,591.6,73.50,0.0,0.0, , 
,74.81,2336,88.5,9.4,11101001,74.16,2304,50.2,7.21,591.6,74.49,0.0,0.0, , 
,75.82,2336,88.5,15.6,11101001,75.16,2336,59.2,8.24,673.2,75.49,0.0,0.0, , 
,76.80,2368,87.0,17.2,11101001,76.16,2336,60.4,8.24,693.6,76.48,0.0,0.0, , 
,77.80,2368,88.5,17.2,11101001,77.13,2368,51.8,7.21,612.0,77.46,0.0,0.0, , 
,78.88,2368,87.0,0.0,11101001,78.18,2368,51.8,7.21,612.0,78.53,0.0,0.0, , 
,79.89,2368,88.5,18.4,11101001,79.21,2368,36.9,4.12,438.6,79.55,0.0,0.0, , 
,80.92,2336,87.0,23.8,11101001,80.23,2368,40.0,5.15,479.4,80.57,0.0,0.0, , 
,81.95,2336,87.0,28.5,11101001,81.25,2336,41.2,5.15,479.4,81.59,0.0,0.0, , 
,83.02,2336,87.0,28.9,11101001,82.29,2336,41.2,6.18,479.4,82.65,0.0,0.0, , 
,84.03,2336,87.0,13.3,11101001,83.35,2336,35.3,5.15,438.6,83.70,0.0,0.0, , 
,85.03,2336,87.0,15.2,11101001,84.36,2336,42.7,6.18,499.8,84.68,0.0,0.0, , 
,86.05,2336,87.0,16.8,11101001,85.37,2336,48.6,7.21,571.2,85.72,0.0,0.0, , 
,87.03,2368,87.0,18.4,11101001,86.36,2336,47.1,7.21,550.8,86.69,0.0,0.0, , 
,88.06,2368,87.0,10.2,11101001,87.41,2368,35.3,5.15,438.6,87.73,0.0,0.0, , 
,89.05,2368,87.0,1.6,11101001,88.40,2368,22.0,3.09,295.8,88.73,0.0,0.0, , 
,90.13,2368,87.0,-2.3,11101001,89.38,2368,22.0,3.09,295.8,89.73,0.0,0.0, , 
,91.12,2368,87.0,-6.6,11101001,90.44,2368,20.8,2.06,295.8,90.76,0.0,0.0, , 
,92.12,2368,87.0,-7.0,11101001,91.46,2368,22.0,2.06,295.8,91.78,0.0,0.0, , 
,93.15,2368,87.0,-3.5,11101001,92.45,2368,22.0,2.06,316.2,92.77,0.0,0.0, , 
,94.15,2368,87.0,0.0,11101001,93.50,2368,23.5,3.09,316.2,93.83,0.0,0.0, , 
,95.16,2368,87.0,9.0,11101001,94.48,2368,36.9,4.12,438.6,94.82,0.0,0.0, , 
,96.22,2368,87.0,14.5,11101001,95.51,2368,35.3,4.12,438.6,95.85,0.0,0.0, , 
,97.21,2368,87.0,19.9,11101001,96.55,2368,35.3,5.15,438.6,96.87,0.0,0.0, , 
,98.27,2368,85.5,24.2,11101001,97.54,2400,40.0,6.18,479.4,97.92,0.0,0.0, , 
,99.33,2368,85.5,24.6,11101001,98.65,2368,44.3,6.18,520.2,99.00,0.0,0.0, , 
,100.35,2336,85.5,0.0,11101001,99.66,2368,67.8,9.27,754.8,99.98,0.0,0.0, , 
,101.37,2368,85.5,5.9,11101001,100.69,2368,75.3,10.30,846.6,101.03,0.0,0.0, , 
,102.41,2368,85.5,13.7,11101001,101.73,2368,76.9,11.33,846.6,102.07,0.0,0.0, , 
,103.39,2368,85.5,22.7,11101001,102.73,2368,63.5,9.27,734.4,103.06,0.0,0.0, , 
,104.43,2368,85.5,28.1,11101001,103.73,2368,62.0,10.30,693.6,104.07,0.0,0.0, , 
,105.48,2368,85.5,28.1,11101001,104.77,2368,62.0,10.30,693.6,105.14,0.0,0.0, , 
,106.47,2368,85.5,26.2,11101001,105.81,2368,62.0,10.30,693.6,106.16,0.0,0.0, , 
,107.60,2400,85.5,25.8,11101001,106.81,2368,62.0,10.30,693.6,107.20,0.0,0.0, , 
,108.60,2400,85.5,23.4,11101001,107.92,2400,62.0,10.30,693.6,108.27,0.0,0.0, , 
,109.70,2400,85.5,21.5,11101001,108.96,2400,60.4,10.30,693.6,109.33,0.0,0.0, , 
,110.81,2432,85.5,20.3,11101001,110.07,2400,60.4,10.30,693.6,110.45,0.0,0.0, , 
,111.86,2432,85.5,20.3,11101001,111.19,2432,60.4,10.30,693.6,111.52,0.0,0.0, , 
,112.92,2464,85.5,19.1,11101001,112.21,2432,66.3,11.33,734.4,112.56,0.0,0.0, , 
,113.97,2464,85.5,19.1,11101001,113.26,2464,65.1,10.30,714.0,113.63,0.0,0.0, , 
,115.02,2464,85.5,18.4,11101001,114.32,2464,51.8,8.24,591.6,114.69,0.0,0.0, , 
,116.10,2464,85.5,16.0,11101001,115.37,2464,50.2,8.24,591.6,115.74,0.0,0.0, , 
,117.16,2464,85.5,15.2,11101001,116.48,2464,50.2,7.21,591.6,116.83,0.0,0.0, , 
,118.22,2464,85.5,14.8,11101001,117.50,2464,51.8,7.21,591.6,117.87,0.0,0.0, , 
,119.27,2464,85.5,15.6,11101001,118.58,2464,54.5,8.24,632.4,118.94,0.0,0.0, , 
,120.35,2464,85.5,17.2,11101001,119.62,2464,54.5,8.24,632.4,119.98,0.0,0.0, , 
,121.43,2464,84.0,17.2,11101001,120.73,2464,54.5,8.24,632.4,121.09,0.0,0.0, , 
,122.53,2464,85.5,18.4,11101001,121.80,2464,54.5,8.24,632.4,122.15,0.0,0.0, , 
,123.57,2464,84.0,18.4,11101001,122.89,2464,54.5,8.24,612.0,123.22,0.0,0.0, , 
,124.64,2464,84.0,16.8,11101001,123.94,2464,50.2,8.24,591.6,124.28,0.0,0.0, , 
,125.70,2464,85.5,13.7,11101001,125.00,2464,42.7,6.18,499.8,125.34,0.0,0.0, , 
,126.72,2432,84.0,12.9,11101001,126.05,2464,42.7,6.18,499.8,126.39,0.0,0.0, , 
,127.81,2432,84.0,-0.4,11101001,127.07,2464,29.4,3.09,377.4,127.43,0.0,0.0, , 
,128.84,2400,85.5,-5.9,11101001,128.16,2400,19.2,2.06,275.4,128.49,0.0,0.0, , 
,129.82,2368,84.0,-9.4,11101001,129.16,2400,19.2,2.06,275.4,129.48,0.0,0.0, , 
,130.81,2336,84.0,-11.7,11111101,130.16,2368,16.1,2.06,244.8,130.49,0.0,0.0, , 
,131.79,2304,84.0,0.0,11111101,131.14,2304,16.1,2.06,244.8,131.47,0.0,0.0, , 
,132.79,2240,85.5,0.0,11111101,132.13,2272,0.0,0.00,244.8,132.46,0.0,0.0, , 
,133.79,2208,84.0,0.0,11111101,133.12,2240,0.0,0.00,244.8,133.46,0.0,0.0, , 
,134.79,2176,84.0,0.0,11101001,134.13,2176,0.0,0.00,244.8,134.46,0.0,0.0, , 
,135.83,2144,84.0,0.0,11101001,135.15,2144,22.0,3.09,316.2,135.48,0.0,0.0, , 
,136.83,2144,84.0,3.9,11101001,136.16,2144,44.3,6.18,520.2,136.49,0.0,0.0, , 
,137.85,2144,84.0,-1.2,11101001,137.16,2144,26.7,3.09,357.0,137.50,0.0,0.0, , 
,138.88,2144,84.0,0.0,11101001,138.21,2144,44.3,6.18,520.2,138.54,0.0,0.0, , 
,139.92,2176,84.0,5.9,11101001,139.21,2144,59.2,8.24,673.2,139.57,0.0,0.0, , 
,140.93,2176,84.0,10.9,11101001,140.26,2176,67.8,10.30,754.8,140.60,0.0,0.0, , 
,141.97,2208,84.0,15.6,11101001,141.28,2208,72.2,11.33,795.6,141.62,0.0,0.0, , 
,142.98,2240,84.0,18.4,11101001,142.30,2240,69.4,11.33,775.2,142.63,0.0,0.0, , 
,144.00,2272,84.0,19.5,11101001,143.33,2272,69.4,11.33,775.2,143.65,0.0,0.0, , 
,145.08,2304,84.0,19.9,11101001,144.35,2304,69.4,11.33,775.2,144.72,0.0,0.0, , 
,146.07,2336,84.0,19.5,11101001,145.41,2336,67.8,11.33,754.8,145.74,0.0,0.0, , 
,147.12,2368,84.0,19.1,11101001,146.43,2368,66.3,11.33,754.8,146.78,0.0,0.0, , 
,148.13,2400,84.0,17.2,11101001,147.46,2368,66.3,11.33,734.4,147.77,0.0,0.0, , 
,149.24,2400,84.0,17.2,11101001,148.51,2400,56.1,9.27,632.4,148.90,0.0,0.0, , 
,150.24,2400,84.0,16.4,11101001,149.57,2400,57.6,9.27,652.8,149.90,0.0,0.0, , 
,151.30,2400,84.0,15.6,11101001,150.61,2400,57.6,9.27,652.8,150.97,0.0,0.0, , 
,152.36,2400,84.0,16.4,11101001,151.62,2400,57.6,9.27,652.8,152.00,0.0,0.0, , 
,153.45,2400,84.0,16.8,11101001,152.72,2400,56.1,9.27,652.8,153.08,0.0,0.0, , 
,154.48,2400,84.0,16.4,11101001,153.80,2400,53.3,8.24,612.0,154.14,0.0,0.0, , 
,155.55,2400,84.0,16.8,11101001,154.84,2400,53.3,8.24,612.0,155.19,0.0,0.0, , 
,156.59,2400,84.0,16.4,11101001,155.89,2400,53.3,8.24,612.0,156.25,0.0,0.0, , 
,157.65,2432,84.0,15.2,11101001,156.92,2432,53.3,8.24,612.0,157.28,0.0,0.0, , 
,158.70,2432,84.0,14.5,11101001,158.00,2432,53.3,8.24,612.0,158.36,0.0,0.0, , 
,159.75,2432,84.0,13.3,11101001,159.03,2432,51.8,8.24,591.6,159.40,0.0,0.0, , 
,160.83,2432,84.0,11.3,11101001,160.09,2432,41.2,6.18,499.8,160.46,0.0,0.0, , 
,161.87,2432,84.0,7.4,11101001,161.17,2432,40.0,6.18,479.4,161.52,0.0,0.0, , 
,162.95,2432,84.0,7.0,11101001,162.24,2432,31.0,4.12,397.8,162.58,0.0,0.0, , 
,164.07,2432,84.0,5.5,11101001,163.33,2432,32.5,4.12,397.8,163.72,0.0,0.0, , 
,165.19,2432,84.0,5.1,11101001,164.45,2432,31.0,4.12,397.8,164.82,0.0,0.0, , 
,166.25,2432,84.0,3.9,11101001,165.55,2432,31.0,4.12,397.8,165.90,0.0,0.0, , 
,167.29,2400,84.0,5.1,11101001,166.57,2400,28.2,4.12,357.0,166.92,0.0,0.0, , 
,168.37,2400,84.0,4.3,11101001,167.65,2400,28.2,4.12,357.0,168.02,0.0,0.0, , 
,169.39,2400,84.0,5.5,11101001,168.72,2400,28.2,4.12,357.0,169.06,0.0,0.0, , 
,170.55,2400,84.0,5.5,11101001,169.76,2400,28.2,4.12,357.0,170.15,0.0,0.0, , 
,171.56,2368,84.0,6.3,11101001,170.90,2368,26.7,3.09,336.6,171.24,0.0,0.0, , 
,172.55,2368,84.0,5.9,11101001,171.90,2368,28.2,3.09,357.0,172.22,0.0,0.0, , 
,173.56,2368,84.0,5.9,11101001,172.90,2368,28.2,3.09,357.0,173.25,0.0,0.0, , 
,174.59,2336,84.0,9.0,11101001,173.90,2368,29.4,4.12,377.4,174.25,0.0,0.0, , 
,175.60,2368,84.0,16.0,11101001,174.94,2336,41.2,5.15,479.4,175.27,0.0,0.0, , 
,176.68,2336,84.0,20.7,11101001,175.96,2368,41.2,6.18,499.8,176.32,0.0,0.0, , 
,177.72,2336,84.0,21.9,11101001,177.02,2368,47.1,7.21,550.8,177.37,0.0,0.0, , 
,178.72,2336,84.0,23.8,11101001,178.05,2336,48.6,7.21,571.2,178.38,0.0,0.0, , 
,179.72,2336,84.0,25.0,11101001,179.05,2336,50.2,7.21,571.2,179.38,0.0,0.0, , 
,180.71,2336,84.0,23.4,11101001,180.05,2336,50.2,8.24,591.6,180.39,0.0,0.0, , 
,181.71,2336,84.0,19.9,11101001,181.05,2336,50.2,8.24,591.6,181.38,0.0,0.0, , 
,182.71,2336,84.0,19.1,11101001,182.05,2336,50.2,7.21,591.6,182.39,0.0,0.0, , 
,183.76,2304,84.0,18.4,11101001,183.05,2304,50.2,7.21,591.6,183.41,0.0,0.0, , 
,184.76,2304,84.0,15.2,11101001,184.09,2304,50.2,7.21,591.6,184.43,0.0,0.0, , 
,185.79,2304,84.0,16.4,11101001,185.10,2304,53.3,8.24,612.0,185.45,0.0,0.0, , 
,186.80,2304,84.0,18.4,11101001,186.12,2304,59.2,9.27,673.2,186.45,0.0,0.0, , 
,187.83,2304,84.0,19.9,11101001,187.15,2304,62.0,10.30,693.6,187.49,0.0,0.0, , 
,188.86,2304,84.0,20.3,11101001,188.16,2304,60.4,9.27,693.6,188.51,0.0,0.0, , 
,189.86,2304,84.0,20.3,11101001,189.19,2304,60.4,10.30,693.6,189.53,0.0,0.0, , 
,190.89,2304,84.0,20.7,11101001,190.21,2304,60.4,10.30,693.6,190.53,0.0,0.0, , 
,191.90,2304,84.0,20.3,11101001,191.23,2304,62.0,10.30,693.6,191.56,0.0,0.0, , 
,192.92,2304,84.0,16.8,11101001,192.25,2304,53.3,8.24,612.0,192.57,0.0,0.0, , 
,193.91,2272,84.0,15.6,11101001,193.25,2272,53.3,8.24,612.0,193.59,0.0,0.0, , 
,194.89,2240,84.0,15.2,11101001,194.24,2272,53.3,8.24,612.0,194.56,0.0,0.0, , 
,195.89,2240,84.0,14.5,11101001,195.22,2240,54.5,8.24,632.4,195.55,0.0,0.0, , 
,196.91,2208,84.0,14.5,11101001,196.23,2240,54.5,8.24,632.4,196.56,0.0,0.0, , 
,197.92,2208,84.0,13.7,11101001,197.23,2208,54.5,8.24,632.4,197.57,0.0,0.0, , 
,198.94,2176,84.0,0.0,11101001,198.25,2176,41.2,5.15,499.8,198.59,0.0,0.0, , 
,199.94,2112,84.0,4.3,11101001,199.27,2144,34.1,4.12,418.2,199.60,0.0,0.0, , 
,200.99,2112,84.0,8.6,11101001,200.29,2112,35.3,4.12,438.6,200.65,0.0,0.0, , 
,202.03,2080,84.0,10.2,11101001,201.34,2080,34.1,4.12,418.2,201.69,0.0,0.0, , 
,203.05,2048,84.0,10.2,11101001,202.37,2080,34.1,5.15,438.6,202.72,0.0,0.0, , 
,204.08,2048,84.0,3.9,11111101,203.41,2048,32.5,4.12,418.2,203.75,0.0,0.0, , 
,205.12,2016,84.0,0.0,11111101,204.42,2016,16.1,2.06,244.8,204.76,0.0,0.0, , 
,206.19,1952,84.0,0.0,11111111,205.49,1984,0.0,0.00,244.8,205.85,0.0,0.0, , 
,207.22,1888,84.0,0.0,11111111,206.55,1920,0.0,0.00,275.4,206.89,0.0,0.0, , 
,208.29,1728,84.0,0.0,11111111,207.57,1888,0.0,0.00,275.4,207.94,0.0,0.0, , 
,209.26,1344,85.5,0.0,11111111,208.63,1216,0.0,0.00,357.0,208.94,0.0,0.0, , 
,210.25,2272,84.0,0.0,11101001,209.60,2080,0.0,0.00,275.4,209.92,0.0,0.0, , 
,211.28,2240,84.0,0.0,11101001,210.58,2240,16.1,2.06,244.8,210.93,0.0,0.0, , 
,212.32,2208,85.5,-6.3,11101001,211.63,2208,22.0,3.09,295.8,211.97,0.0,0.0, , 
,213.32,2176,84.0,-0.4,11101001,212.66,2176,31.0,4.12,397.8,212.99,0.0,0.0, , 
,214.35,2208,85.5,8.2,11101001,213.67,2176,38.4,5.15,459.0,214.01,0.0,0.0, , 
,215.36,2208,84.0,15.2,11101001,214.69,2208,48.6,7.21,571.2,215.01,0.0,0.0, , 
,216.38,2208,84.0,16.0,11101001,215.70,2208,42.7,6.18,520.2,216.04,0.0,0.0, , 
,217.36,2208,84.0,10.9,11101001,216.70,2208,29.4,4.12,377.4,217.02,0.0,0.0, , 
,218.36,2208,84.0,0.0,11101001,217.69,2208,22.0,3.09,316.2,218.03,0.0,0.0, , 
,219.36,2144,84.0,-9.0,11101001,218.69,2144,16.1,2.06,244.8,219.01,0.0,0.0, , 
,220.38,2080,84.0,0.0,11111101,219.71,2144,16.1,2.06,244.8,220.04,0.0,0.0, , 
,221.40,2016,84.0,0.0,11111101,220.71,2080,0.0,0.00,244.8,221.05,0.0,0.0, , 
,222.48,1984,84.0,0.0,11101011,221.76,2016,0.0,0.00,244.8,222.12,0.0,0.0, , 
,223.56,1920,84.0,0.0,11101011,222.85,1952,14.9,2.06,244.8,223.20,0.0,0.0, , 
,224.65,1888,84.0,-5.9,11101011,223.92,1888,17.6,2.06,275.4,224.28,0.0,0.0, , 
,225.72,1856,84.0,-4.7,11101011,225.01,1856,19.2,2.06,295.8,225.35,0.0,0.0, , 
,226.86,1824,84.0,0.4,11101011,226.09,1824,25.1,3.09,336.6,226.47,0.0,0.0, , 
,227.94,1792,84.0,4.7,11101011,227.20,1824,26.7,3.09,357.0,227.56,0.0,0.0, , 
