Œroda,09,Wrzesieñ,2026,06:35:23:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.76,0,22.5,0.0,10110110,0.23,0,0.0,0.00,989.4,0.50,-100.0,0.0, , 
,1.57,0,22.5,0.0,10110110,1.03,0,0.0,0.00,989.4,1.29,-100.0,0.0, , 
,2.39,0,22.5,0.0,10110110,1.85,0,0.0,0.00,989.4,2.12,-100.0,0.0, , 
,3.18,0,22.5,0.0,10110110,2.65,0,0.0,0.00,989.4,2.92,-100.0,0.0, , 
,3.98,0,22.5,0.0,10110110,3.45,0,0.0,0.00,989.4,3.72,-100.0,0.0, , 
,4.80,0,22.5,0.0,10110110,4.25,0,0.0,0.00,989.4,4.52,-100.0,0.0, , 
,5.60,0,22.5,0.0,10110110,5.06,0,0.0,0.00,989.4,5.33,-100.0,0.0, , 
,6.44,0,22.5,0.0,10110110,5.88,0,0.0,0.00,989.4,6.16,-100.0,0.0, , 
,7.24,0,22.5,0.0,10110110,6.70,0,0.0,0.00,989.4,6.96,-100.0,0.0, , 
,8.06,0,22.5,0.0,10110110,7.52,0,0.0,0.00,989.4,7.80,-100.0,0.0, , 
,8.86,0,22.5,0.0,10110110,8.33,0,0.0,0.00,989.4,8.59,-100.0,0.0, , 
,9.69,0,22.5,0.0,10110110,9.13,0,0.0,0.00,989.4,9.41,-100.0,0.0, , 
,10.48,0,22.5,0.0,10110110,9.95,0,0.0,0.00,989.4,10.22,-100.0,0.0, , 
,11.28,0,22.5,0.0,10110110,10.75,0,0.0,0.00,989.4,11.01,-100.0,0.0, , 
,12.08,0,22.5,0.0,10110110,11.54,0,0.0,0.00,989.4,11.81,-100.0,0.0, , 
,12.91,0,22.5,0.0,10110110,12.35,0,0.0,0.00,989.4,12.63,-100.0,0.0, , 
,13.70,0,22.5,0.0,10110110,13.17,0,0.0,0.00,989.4,13.44,-100.0,0.0, , 
,14.50,0,22.5,0.0,10110110,13.97,0,0.0,0.00,989.4,14.23,-100.0,0.0, , 
,15.29,0,22.5,0.0,10110110,14.76,0,0.0,0.00,989.4,15.03,-100.0,0.0, , 
,16.10,0,22.5,0.0,10110110,15.56,0,0.0,0.00,989.4,15.83,-100.0,0.0, , 
,16.90,0,22.5,0.0,10110110,16.37,0,0.0,0.00,989.4,16.64,-100.0,0.0, , 
,17.70,0,22.5,0.0,10110110,17.17,0,0.0,0.00,989.4,17.44,-100.0,0.0, , 
,18.50,0,22.5,0.0,10110110,17.96,0,0.0,0.00,989.4,18.23,-100.0,0.0, , 
,19.31,0,22.5,0.0,10110110,18.77,0,0.0,0.00,989.4,19.05,-100.0,0.0, , 
,20.11,192,22.5,0.0,10110110,19.58,0,0.0,0.00,989.4,19.84,-100.0,0.0, , 
,20.94,192,22.5,0.0,10110110,20.38,192,100.0,56.65,969.0,20.67,-100.0,0.0, , 
,21.77,448,22.5,0.0,10110110,21.20,192,100.0,51.50,969.0,21.47,-100.0,0.0, , 
,22.71,1216,22.5,0.0,10110110,22.07,1248,71.0,15.45,754.8,22.40,-1.6,0.0, , 
,23.65,1184,22.5,0.0,10110110,23.02,1184,41.2,8.24,479.4,23.35,-1.6,0.0, , 
,24.60,1184,22.5,0.0,10110110,23.97,1152,40.0,8.24,459.0,24.29,-1.6,0.0, , 
,25.58,1152,22.5,0.0,10110110,24.93,1184,40.0,7.21,459.0,25.27,-1.6,0.0, , 
,26.60,1152,22.5,0.0,10110110,25.94,1152,40.0,7.21,459.0,26.26,-1.6,0.0, , 
,27.58,1152,22.5,0.0,10110110,26.94,1152,40.0,7.21,459.0,27.26,-1.6,0.0, , 
,28.58,1152,22.5,0.0,10110110,27.91,1152,40.0,7.21,459.0,28.24,-1.6,0.0, , 
,29.56,1152,22.5,0.0,10110110,28.90,1152,38.4,6.18,459.0,29.24,-1.6,0.0, , 
,30.52,1152,22.5,0.0,10110110,29.87,1152,38.4,6.18,438.6,30.18,-1.6,0.0, , 
,31.48,1120,22.5,0.0,10110110,30.83,1152,38.4,6.18,459.0,31.16,-1.6,0.0, , 
,32.45,1120,22.5,0.0,10110110,31.81,1120,38.4,6.18,459.0,32.14,-1.6,0.0, , 
,33.43,1120,22.5,0.0,10110110,32.80,1120,38.4,6.18,459.0,33.12,-1.6,0.0, , 
,34.39,1120,22.5,0.0,10110110,33.77,1120,38.4,5.15,459.0,34.08,-1.6,0.0, , 
,35.37,1120,22.5,0.0,10110110,34.71,1120,40.0,5.15,459.0,35.04,-1.6,0.0, , 
,36.36,1088,22.5,0.0,10110110,35.72,1088,40.0,5.15,459.0,36.04,-1.6,0.0, , 
,37.33,1088,22.5,0.0,10110110,36.69,1088,41.2,5.15,479.4,37.00,-1.6,0.0, , 
,38.32,1088,22.5,0.0,10110110,37.65,1088,42.7,6.18,479.4,38.00,-1.6,0.0, , 
,39.27,1088,22.5,0.0,10110110,38.65,1088,44.3,6.18,499.8,38.97,-1.6,0.0, , 
,40.23,1088,22.5,0.0,10110110,39.59,1088,45.9,6.18,520.2,39.91,-1.6,0.0, , 
,41.23,1088,22.5,0.0,10110110,40.58,1088,48.6,6.18,550.8,40.91,-1.6,0.0, , 
,42.18,1120,22.5,0.0,10110110,41.55,1088,50.2,6.18,550.8,41.86,-1.6,0.0, , 
,43.12,1120,24.0,0.0,10110110,42.50,1120,50.2,7.21,571.2,42.80,-1.6,0.0, , 
,44.09,1120,24.0,0.0,10110110,43.46,1120,51.8,7.21,571.2,43.78,-1.6,0.0, , 
,45.07,1120,24.0,0.0,10110110,44.41,1120,54.5,7.21,612.0,44.74,-1.6,0.0, , 
,46.03,1120,24.0,0.0,10110110,45.39,1120,54.5,7.21,591.6,45.71,-1.6,0.0, , 
,47.02,1120,24.0,0.0,10110110,46.37,1120,54.5,7.21,591.6,46.71,-1.6,0.0, , 
,48.00,1152,24.0,0.0,10110110,47.33,1120,54.5,7.21,591.6,47.67,-1.6,0.0, , 
,48.97,1088,24.0,0.0,10110110,48.31,1120,53.3,7.21,591.6,48.64,-1.6,0.0, , 
,49.97,1120,24.0,0.0,10110110,49.28,1120,53.3,7.21,591.6,49.62,-1.6,0.0, , 
,50.93,1152,24.0,0.0,10110110,50.28,1152,51.8,6.18,571.2,50.60,-1.6,0.0, , 
,51.90,1120,24.0,0.0,10110110,51.24,1120,51.8,7.21,571.2,51.57,-1.6,0.0, , 
,52.92,1120,24.0,3.5,10111110,52.25,1120,51.8,7.21,571.2,52.58,-1.6,0.0, , 
,53.89,1152,24.0,6.6,10111110,53.23,1120,50.2,7.21,571.2,53.55,-1.6,0.0, , 
,54.89,1120,24.0,9.0,10111110,54.21,1120,50.2,7.21,571.2,54.56,-1.6,0.0, , 
,55.93,1152,25.5,10.2,10111110,55.23,1152,48.6,7.21,550.8,55.58,-1.6,0.0, , 
,57.03,1664,25.5,10.9,10101010,56.27,1216,47.1,7.21,550.8,56.63,-1.6,2.7, , 
,58.06,1312,25.5,14.5,10101010,57.34,1536,41.2,6.18,479.4,57.70,-1.6,0.0, , 
,59.03,960,25.5,0.0,10101010,58.40,1248,53.3,9.27,591.6,58.72,-1.6,0.0, , 
,60.02,1312,25.5,0.0,10111110,59.34,1088,51.8,7.21,591.6,59.67,-1.6,0.0, , 
,61.06,1088,25.5,0.0,10111110,60.37,1472,34.1,4.12,397.8,60.73,-1.6,0.0, , 
,62.04,1120,25.5,0.0,10111110,61.38,1120,45.9,7.21,520.2,61.72,-1.6,0.0, , 
,63.09,1120,27.0,5.9,10101010,62.39,1088,45.9,6.18,520.2,62.74,-1.6,0.0, , 
,64.14,1472,27.0,0.0,10101010,63.41,1152,45.9,6.18,520.2,63.73,-1.6,0.0, , 
,65.14,1280,27.0,4.3,10101010,64.47,1504,47.1,6.18,520.2,64.83,-1.6,0.0, , 
,66.15,1504,27.0,2.3,10111110,65.47,1216,44.3,6.18,499.8,65.80,-1.6,0.0, , 
,67.12,1248,27.0,0.0,10101010,66.43,1536,31.0,4.12,377.4,66.79,-1.6,0.0, , 
,68.14,1568,27.0,0.0,10101010,67.45,1184,41.2,6.18,479.4,67.84,-1.6,2.7, , 
,69.27,1376,27.0,0.0,10101010,68.51,1344,36.9,5.15,438.6,68.84,-1.6,0.0, , 
,70.29,1344,27.0,-2.0,10101010,69.62,1536,34.1,4.12,397.8,69.97,-1.6,0.0, , 
,71.27,1248,27.0,1.2,10111110,70.61,1216,36.9,5.15,438.6,70.95,-1.6,0.0, , 
,72.26,1088,27.0,3.9,10111110,71.60,1056,40.0,6.18,459.0,71.93,-1.6,0.0, , 
,73.19,1088,28.5,6.6,10111110,72.57,1088,42.7,6.18,479.4,72.89,-1.6,0.0, , 
,74.18,1120,28.5,8.6,10111110,73.52,1088,42.7,6.18,479.4,73.85,-1.6,0.0, , 
,75.16,1088,28.5,9.4,10111110,74.52,1088,41.2,6.18,479.4,74.83,-1.6,0.0, , 
,76.15,1088,28.5,9.4,10111110,75.50,1088,41.2,6.18,479.4,75.82,-1.6,0.0, , 
,77.16,1088,28.5,9.4,10111110,76.49,1088,41.2,6.18,479.4,76.82,-1.6,0.0, , 
,78.17,1088,28.5,9.4,10111110,77.49,1088,41.2,6.18,479.4,77.82,-1.6,0.0, , 
,79.17,1120,28.5,9.4,10111110,78.52,1088,41.2,6.18,479.4,78.84,-1.6,0.0, , 
,80.14,1088,28.5,9.0,10111110,79.50,1088,41.2,6.18,479.4,79.81,-1.6,0.0, , 
,81.11,1120,28.5,9.4,10111110,80.47,1088,41.2,6.18,479.4,80.77,-1.6,0.0, , 
,82.09,1088,28.5,9.0,10111110,81.42,1120,41.2,6.18,479.4,81.74,-1.6,0.0, , 
,83.14,1408,28.5,10.2,10101010,82.41,1088,40.0,6.18,479.4,82.74,-1.6,0.0, , 
,84.18,1216,28.5,13.7,10101010,83.50,1376,42.7,6.18,479.4,83.84,-1.6,0.0, , 
,85.16,928,30.0,16.0,10101010,84.51,1088,51.8,8.24,571.2,84.85,-1.6,0.0, , 
,86.08,1152,30.0,0.0,10101010,85.45,832,63.5,10.30,693.6,85.77,-1.6,0.0, , 
,87.15,1760,30.0,0.0,10101010,86.39,1312,65.1,10.30,693.6,86.77,-0.8,2.7, , 
,88.19,2368,30.0,0.0,10111100,87.51,2048,65.1,10.30,673.2,87.85,0.0,2.7, , 
,89.25,1632,30.0,0.0,10101010,88.53,2272,23.5,3.09,295.8,88.87,0.0,2.7, , 
,90.25,1280,30.0,0.0,10101010,89.58,1248,35.3,5.15,418.2,89.92,-1.6,0.0, , 
,91.26,1504,30.0,0.0,10101010,90.61,1344,60.4,11.33,652.8,90.95,-0.8,0.0, , 
,92.33,1760,30.0,0.0,10101010,91.61,1600,69.4,12.36,734.4,91.98,-0.8,2.7, , 
,93.45,1952,31.5,-5.1,10101010,92.71,1824,60.4,9.27,632.4,93.08,0.0,2.7, , 
,94.50,2016,31.5,0.0,10101000,93.81,1984,50.2,6.18,550.8,94.16,0.0,2.7, , 
,95.58,2048,31.5,-0.4,10101000,94.85,2016,36.9,5.15,418.2,95.21,0.0,2.7, , 
,96.66,2080,31.5,0.0,10101000,95.96,2080,45.9,6.18,499.8,96.32,0.0,2.7, , 
,97.71,2112,31.5,0.0,10101000,96.99,2080,28.2,4.12,336.6,97.35,0.0,2.7, , 
,98.77,2272,31.5,2.3,10101000,98.06,2176,57.6,8.24,612.0,98.42,0.0,2.7, , 
,99.85,2400,31.5,3.1,10101000,99.12,2304,54.5,8.24,571.2,99.50,0.0,2.7, , 
,100.92,1824,33.0,0.0,10111110,100.21,2464,42.7,6.18,479.4,100.55,0.0,2.7, , 
,101.87,1088,33.0,0.0,10111110,101.25,1120,34.1,5.15,397.8,101.56,-1.6,0.0, , 
,102.81,1024,33.0,-2.0,10111110,102.19,1024,35.3,5.15,438.6,102.50,-2.3,0.0, , 
,103.73,1024,33.0,-6.3,10111110,103.12,1024,35.3,5.15,438.6,103.42,-2.3,0.0, , 
,104.69,1024,33.0,-7.0,10111110,104.03,1024,36.9,5.15,438.6,104.34,-2.3,0.0, , 
,105.66,1024,33.0,-4.7,10111110,105.00,1024,36.9,5.15,459.0,105.35,-2.3,0.0, , 
,106.61,992,33.0,-2.7,10111110,105.95,992,38.4,5.15,459.0,106.31,-2.3,0.0, , 
,107.61,1024,33.0,-0.8,10111110,106.93,992,38.4,5.15,459.0,107.29,-2.3,0.0, , 
,108.58,992,33.0,1.6,10111110,107.96,992,40.0,5.15,479.4,108.23,-2.3,0.0, , 
,109.58,1568,34.5,0.0,10101010,108.90,1184,57.6,15.45,612.0,109.28,0.0,2.7, , 
,110.57,1376,34.5,0.0,10101010,109.90,992,73.7,18.54,775.2,110.23,-0.8,0.0, , 
,111.65,2080,34.5,0.0,10101000,110.94,1664,75.3,15.45,795.6,111.29,0.0,2.7, , 
,112.66,1184,34.5,0.0,10101010,112.02,2144,0.0,0.00,377.4,112.32,-1.6,0.0, , 
,113.69,1248,34.5,0.0,10101010,112.99,1152,40.0,6.18,459.0,113.35,-1.6,0.0, , 
,114.85,1600,34.5,0.0,10101010,114.00,1376,73.7,14.42,775.2,114.46,-0.8,0.0, , 
,115.95,1760,36.0,0.0,10101010,115.24,1664,44.3,6.18,499.8,115.60,-1.6,2.7, , 
,117.07,1888,36.0,-3.9,10101010,116.33,1824,40.0,5.15,459.0,116.70,0.0,2.7, , 
,118.12,2016,36.0,-7.0,10101000,117.44,1952,34.1,4.12,397.8,117.78,0.0,2.7, , 
,119.20,2080,36.0,-6.3,10101000,118.49,2048,31.0,4.12,377.4,118.85,0.0,2.7, , 
,120.22,2176,36.0,-4.3,10101000,119.55,2144,31.0,4.12,357.0,119.88,0.0,2.7, , 
,121.25,2272,36.0,-0.4,10101000,120.56,2208,31.0,4.12,357.0,120.89,0.0,2.7, , 
,122.36,2432,36.0,6.6,10101000,121.59,2304,40.0,6.18,438.6,121.96,0.0,2.7, , 
,123.37,2592,37.5,6.3,10101000,122.70,2496,40.0,6.18,438.6,123.05,0.0,2.7, , 
,124.41,1024,37.5,0.0,10111110,123.72,2304,0.0,0.00,295.8,124.07,-1.6,2.7, , 
,125.36,1024,37.5,0.0,10111110,124.72,1056,41.2,7.21,479.4,125.05,-2.3,0.0, , 
,126.30,960,37.5,-2.7,10111110,125.72,960,36.9,5.15,459.0,126.02,-2.3,0.0, , 
,127.28,928,37.5,-3.9,10111110,126.62,960,38.4,5.15,459.0,126.95,-2.3,0.0, , 
,128.19,928,37.5,-2.7,10111110,127.58,960,40.0,5.15,479.4,127.89,-2.3,0.0, , 
,129.14,928,37.5,-0.4,10111110,128.52,928,40.0,5.15,479.4,128.84,-2.3,0.0, , 
,130.08,928,37.5,2.3,10111110,129.47,928,40.0,5.15,479.4,129.77,-2.3,0.0, , 
,131.02,928,37.5,3.9,10111110,130.40,928,41.2,5.15,479.4,130.72,-2.3,0.0, , 
,131.96,960,37.5,5.1,10111110,131.31,928,40.0,5.15,479.4,131.65,-2.3,0.0, , 
,132.90,928,37.5,5.9,10111110,132.27,960,40.0,5.15,479.4,132.58,-2.3,0.0, , 
,133.81,928,39.0,6.3,10111110,133.20,928,40.0,6.18,479.4,133.52,-2.3,0.0, , 
,134.78,928,39.0,7.4,10111110,134.14,928,40.0,6.18,479.4,134.45,-2.3,0.0, , 
,135.68,960,39.0,8.6,10111110,135.08,928,40.0,6.18,479.4,135.38,-2.3,0.0, , 
,136.62,928,39.0,7.8,10111110,136.01,928,40.0,6.18,479.4,136.31,-2.3,0.0, , 
,137.58,928,39.0,7.0,10111110,136.96,928,38.4,5.15,479.4,137.28,-2.3,0.0, , 
,138.52,928,39.0,7.4,10111110,137.89,928,40.0,5.15,479.4,138.20,-2.3,0.0, , 
,139.48,928,39.0,7.4,10111110,138.83,928,40.0,5.15,479.4,139.15,-2.3,0.0, , 
,140.44,928,39.0,7.4,10111110,139.80,928,40.0,5.15,479.4,140.12,-2.3,0.0, , 
,141.39,928,39.0,7.8,10111110,140.74,928,40.0,5.15,479.4,141.06,-2.3,0.0, , 
,142.32,928,40.5,7.4,10111110,141.72,928,40.0,5.15,479.4,142.02,-2.3,0.0, , 
,143.23,928,40.5,6.3,10111110,142.62,928,38.4,5.15,479.4,142.93,-2.3,0.0, , 
,144.20,960,40.5,7.8,10101010,143.55,928,38.4,5.15,479.4,143.87,-2.3,0.0, , 
,145.20,1408,40.5,11.3,10101010,144.53,1408,36.9,5.15,438.6,144.86,-1.6,0.0, , 
,146.42,1568,40.5,4.3,10101010,145.64,1440,45.9,6.18,520.2,146.06,-1.6,2.7, , 
,147.49,1632,40.5,3.1,10111110,146.76,1600,41.2,6.18,479.4,147.12,-1.6,2.7, , 
,148.53,1632,40.5,0.4,10111110,147.84,1696,28.2,4.12,357.0,148.19,-1.6,2.7, , 
,149.57,1472,40.5,1.6,10111110,148.90,1568,28.2,4.12,357.0,149.30,-1.6,2.7, , 
,150.69,1536,40.5,3.1,10101010,150.03,1504,28.2,4.12,357.0,150.32,-1.6,2.7, , 
,151.78,1632,42.0,4.3,10101010,151.06,1632,28.2,4.12,357.0,151.42,-1.6,2.7, , 
,152.88,1728,42.0,3.9,10101010,152.15,1664,28.2,4.12,357.0,152.51,-1.6,2.7, , 
,154.03,1824,42.0,3.5,10101010,153.26,1760,28.2,4.12,357.0,153.66,-1.6,2.7, , 
,155.13,1888,42.0,1.6,10101010,154.40,1824,26.7,4.12,336.6,154.77,0.0,2.7, , 
,156.19,1984,42.0,-0.8,10101000,155.48,1952,26.7,4.12,336.6,155.85,0.0,2.7, , 
,157.18,1216,42.0,0.0,10111110,156.56,1984,23.5,3.09,316.2,156.89,0.0,2.7, , 
,158.13,992,42.0,0.0,10111110,157.49,992,36.9,6.18,438.6,157.80,-2.3,0.0, , 
,159.05,896,42.0,-0.8,10111110,158.42,928,34.1,5.15,418.2,158.73,-2.3,0.0, , 
,159.99,896,42.0,-1.6,10111110,159.36,896,36.9,5.15,459.0,159.67,-2.3,0.0, , 
,160.94,896,42.0,-0.4,10111110,160.30,896,36.9,5.15,459.0,160.62,-2.3,0.0, , 
,161.87,896,42.0,2.7,10111110,161.25,896,38.4,5.15,479.4,161.55,-2.3,0.0, , 
,162.80,896,42.0,5.1,10111110,162.18,896,38.4,5.15,459.0,162.50,-2.3,0.0, , 
,163.70,1024,42.0,0.0,10101010,163.10,928,38.4,5.15,459.0,163.43,-2.3,0.0, , 
,164.66,1184,42.0,0.0,10101010,164.02,1024,53.3,9.27,612.0,164.34,-1.6,0.0, , 
,165.67,1344,42.0,0.0,10111110,165.00,1216,56.1,9.27,632.4,165.35,-1.6,0.0, , 
,166.71,1408,42.0,0.4,10101010,166.04,1376,29.4,4.12,377.4,166.38,-1.6,0.0, , 
,167.84,1504,42.0,3.1,10101010,167.10,1472,29.4,4.12,377.4,167.41,-1.6,0.0, , 
,168.93,1664,43.5,8.6,10101010,168.19,1536,40.0,6.18,479.4,168.58,-1.6,2.7, , 
,170.06,1792,43.5,3.9,10111110,169.30,1696,38.4,6.18,438.6,169.67,-1.6,2.7, , 
,171.14,1760,43.5,1.2,10111110,170.41,1792,26.7,4.12,336.6,170.78,0.0,2.7, , 
,172.22,1664,43.5,2.3,10101010,171.49,1728,26.7,3.09,336.6,171.84,-1.6,2.7, , 
,173.33,1760,43.5,0.0,10101010,172.59,1664,29.4,4.12,377.4,172.96,-1.6,2.7, , 
,174.41,2016,43.5,0.0,10101000,173.70,1824,63.5,10.30,673.2,174.07,0.0,2.7, , 
,175.47,2304,43.5,0.8,10101000,174.75,2144,56.1,8.24,612.0,175.10,0.0,2.7, , 
,176.53,2560,43.5,5.5,10101000,175.83,2368,59.2,9.27,612.0,176.18,0.0,2.7, , 
,177.56,2656,43.5,0.0,10111100,176.87,2656,63.5,10.30,652.8,177.22,0.0,2.7, , 
,178.50,1088,43.5,0.0,10111110,177.88,1952,0.0,0.00,316.2,178.18,-1.6,0.0, , 
,179.64,1824,43.5,0.0,10101010,178.89,1568,28.2,4.12,357.0,179.28,0.0,2.7, , 
,180.79,1824,43.5,-5.1,10101010,180.02,1856,32.5,4.12,397.8,180.40,0.0,2.7, , 
,181.91,1856,43.5,-2.3,10101010,181.17,1824,34.1,4.12,397.8,181.54,0.0,2.7, , 
,183.00,1920,43.5,3.1,10101010,182.28,1856,40.0,5.15,459.0,182.64,0.0,2.7, , 
,184.09,1984,45.0,0.0,10101010,183.37,1888,45.9,7.21,520.2,183.74,0.0,2.7, , 
,185.11,2048,45.0,3.1,10101000,184.44,2016,54.5,8.24,591.6,184.78,0.0,2.7, , 
,186.13,2144,45.0,3.9,10101000,185.47,2080,54.5,8.24,591.6,185.80,0.0,2.7, , 
,187.14,2240,45.0,3.9,11101000,186.46,2208,53.3,8.24,571.2,186.79,0.0,2.7, , 
,188.14,2368,45.0,5.1,11101000,187.48,2272,53.3,8.24,571.2,187.81,0.0,2.7, , 
,189.21,2432,45.0,4.7,11101000,188.49,2368,53.3,8.24,571.2,188.85,0.0,2.7, , 
,190.28,2560,45.0,5.9,11101000,189.57,2496,59.2,9.27,612.0,189.92,0.0,2.7, , 
,191.32,1760,45.0,0.0,11111110,190.62,2592,62.0,10.30,652.8,190.96,0.0,2.7, , 
,192.35,1856,45.0,0.0,11101010,191.66,1088,29.4,4.12,377.4,191.98,-1.6,0.0, , 
,193.48,1856,45.0,-2.7,11101010,192.72,1888,26.7,4.12,336.6,193.09,0.0,2.7, , 
,194.59,1888,45.0,4.7,11101010,193.86,1856,50.2,8.24,571.2,194.21,0.0,2.7, , 
,195.69,1920,45.0,7.4,11101010,194.96,1888,50.2,7.21,550.8,195.32,0.0,2.7, , 
,196.82,1952,46.5,-4.3,11101010,196.07,1920,51.8,7.21,571.2,196.45,0.0,2.7, , 
,197.92,1984,46.5,-7.4,11101010,197.20,1952,48.6,6.18,550.8,197.56,0.0,2.7, , 
,198.97,1984,46.5,-0.4,11101000,198.27,1984,47.1,5.15,520.2,198.61,0.0,2.7, , 
,200.03,2016,46.5,3.1,11101000,199.31,2016,47.1,5.15,520.2,199.66,0.0,2.7, , 
,201.06,2016,46.5,2.7,11101000,200.38,2016,41.2,5.15,459.0,200.72,0.0,2.7, , 
,202.13,2048,46.5,5.5,11101000,201.43,2048,38.4,4.12,438.6,201.78,0.0,2.7, , 
,203.21,2048,46.5,6.6,11101000,202.48,2016,38.4,4.12,438.6,202.84,0.0,2.7, , 
,204.28,2048,46.5,5.1,11101000,203.55,2048,36.9,4.12,438.6,203.91,0.0,2.7, , 
,205.34,2048,46.5,4.3,11101000,204.62,2016,36.9,4.12,438.6,204.99,0.0,2.7, , 
,206.40,2048,48.0,2.7,11101000,205.70,2048,34.1,4.12,418.2,206.05,0.0,2.7, , 
,207.45,2048,48.0,3.9,11101000,206.75,2048,35.3,4.12,418.2,207.10,0.0,2.7, , 
,208.50,2080,48.0,5.5,11101000,207.79,2048,38.4,4.12,438.6,208.14,0.0,2.7, , 
,209.53,2080,48.0,5.9,11101000,208.84,2080,36.9,4.12,438.6,209.19,0.0,2.7, , 
,210.55,2080,48.0,7.0,11101000,209.88,2080,38.4,4.12,438.6,210.22,0.0,2.7, , 
,211.56,2080,48.0,7.4,11101000,210.88,2080,36.9,4.12,438.6,211.21,0.0,2.7, , 
,212.64,2080,48.0,7.4,11101000,211.90,2080,36.9,4.12,438.6,212.26,0.0,2.7, , 
,213.69,2048,48.0,7.4,11101000,212.99,2080,36.9,4.12,438.6,213.33,0.0,2.7, , 
,214.78,2048,48.0,8.2,11101000,214.04,2048,38.4,4.12,438.6,214.40,0.0,2.7, , 
,215.83,2048,48.0,8.2,11101000,215.13,2048,38.4,4.12,438.6,215.48,0.0,2.7, , 
,216.89,2048,48.0,5.9,11101000,216.18,2048,35.3,4.12,418.2,216.53,0.0,2.7, , 
,217.93,2048,48.0,5.9,11101000,217.24,2048,36.9,4.12,438.6,217.58,0.0,2.7, , 
,219.03,2048,49.5,7.4,11101000,218.29,2048,42.7,5.15,479.4,218.67,0.0,2.7, , 
,220.06,2080,49.5,9.0,11101000,219.38,2048,48.6,6.18,550.8,219.71,0.0,2.7, , 
,221.08,2112,49.5,9.0,11101000,220.41,2080,56.1,7.21,612.0,220.74,0.0,2.7, , 
,222.11,2112,49.5,0.0,11101000,221.42,2112,54.5,7.21,591.6,221.77,0.0,2.7, , 
