Poniedziałek,10,Sierpień,2026,18:11:35:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'014,,,,Grupa B:,'015,,,,Grupa C:,'016
,,Obroty silnika,Obciążenie,Zliczanie, ,,Zliczanie,Zliczanie,Zliczanie, ,,Zliczanie, , , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min, %,,,ZAPISU,,,,,ZAPISU,,,,
,0.01,0,0.0,0,aktywna,0.27,0,0,0,aktywna,0.53,0, , ,aktywna
,0.80,0,0.0,0,aktywna,1.06,0,0,0,aktywna,1.34,0, , ,aktywna
,1.62,0,0.0,0,aktywna,1.89,0,0,0,aktywna,2.16,0, , ,aktywna
,2.43,0,0.0,0,aktywna,2.70,0,0,0,aktywna,2.98,0, , ,aktywna
,3.26,0,0.0,0,aktywna,3.53,0,0,0,aktywna,3.80,0, , ,aktywna
,4.07,0,0.0,0,aktywna,4.33,0,0,0,aktywna,4.60,0, , ,aktywna
,4.87,0,0.0,0,aktywna,5.14,0,0,0,aktywna,5.42,0, , ,aktywna
,5.69,0,0.0,0,aktywna,5.95,0,0,0,aktywna,6.23,0, , ,aktywna
,6.51,0,0.0,0,aktywna,6.78,0,0,0,aktywna,7.06,0, , ,aktywna
,7.33,0,0.0,0,aktywna,7.60,0,0,0,aktywna,7.86,0, , ,aktywna
,8.13,0,0.0,0,aktywna,8.40,0,0,0,aktywna,8.67,0, , ,aktywna
,8.95,0,0.0,0,aktywna,9.23,0,0,0,aktywna,9.51,0, , ,aktywna
,9.79,0,0.0,0,aktywna,10.05,0,0,0,aktywna,10.32,0, , ,aktywna
,10.59,0,0.0,0,aktywna,10.87,0,0,0,aktywna,11.14,0, , ,aktywna
,11.41,0,0.0,0,aktywna,11.67,0,0,0,aktywna,11.94,0, , ,aktywna
,12.21,0,0.0,0,aktywna,12.47,0,0,0,aktywna,12.74,0, , ,aktywna
,13.01,0,0.0,0,aktywna,13.29,0,0,0,aktywna,13.55,0, , ,aktywna
,13.81,0,0.0,0,aktywna,14.09,0,0,0,aktywna,14.37,0, , ,aktywna
,14.64,0,0.0,0,aktywna,14.91,0,0,0,aktywna,15.18,0, , ,aktywna
,15.44,0,0.0,0,aktywna,15.70,0,0,0,aktywna,15.97,0, , ,aktywna
,16.24,0,0.0,0,aktywna,16.50,0,0,0,aktywna,16.77,0, , ,aktywna
,17.03,0,0.0,0,aktywna,17.31,0,0,0,aktywna,17.59,0, , ,aktywna
,17.86,0,0.0,0,aktywna,18.13,0,0,0,aktywna,18.39,0, , ,aktywna
,18.66,0,0.0,0,aktywna,18.93,0,0,0,aktywna,19.19,0, , ,aktywna
,19.46,0,0.0,0,aktywna,19.72,0,0,0,aktywna,20.00,0, , ,nieaktywna
,20.28,192,94.5,0,nieaktywna,20.55,0,0,0,nieaktywna,20.81,0, , ,nieaktywna
,21.10,224,94.5,0,nieaktywna,21.37,0,0,0,nieaktywna,21.65,0, , ,nieaktywna
,21.91,224,94.5,0,nieaktywna,22.18,0,0,0,nieaktywna,22.44,0, , ,nieaktywna
,22.71,0,0.0,0,nieaktywna,22.97,0,0,0,nieaktywna,24.33,0, , ,nieaktywna
,24.60,0,0.0,0,nieaktywna,24.87,0,0,0,nieaktywna,25.14,0, , ,nieaktywna
,25.41,0,0.0,0,nieaktywna,25.68,0,0,0,nieaktywna,25.97,0, , ,nieaktywna
,26.31,864,73.7,0,nieaktywna,26.65,0,0,0,nieaktywna,26.99,0, , ,nieaktywna
,27.30,960,38.4,0,nieaktywna,27.60,0,0,0,nieaktywna,27.90,0, , ,nieaktywna
,28.21,928,36.9,0,nieaktywna,28.51,0,0,0,nieaktywna,28.83,0, , ,nieaktywna
,29.15,864,38.4,0,nieaktywna,29.47,0,0,0,nieaktywna,29.77,0, , ,nieaktywna
,30.06,864,40.0,0,nieaktywna,30.36,0,0,0,nieaktywna,30.69,0, , ,nieaktywna
,31.00,864,38.4,0,aktywna,31.31,0,0,0,aktywna,31.62,0, , ,aktywna
,31.93,864,36.9,0,aktywna,32.23,0,0,0,aktywna,32.55,0, , ,aktywna
,32.86,864,36.9,0,aktywna,33.17,0,0,0,aktywna,33.50,0, , ,aktywna
,33.80,864,36.9,0,aktywna,34.10,0,0,0,aktywna,34.40,0, , ,aktywna
,34.70,832,36.9,0,aktywna,35.01,0,0,0,aktywna,35.30,0, , ,aktywna
,35.62,864,35.3,0,aktywna,35.93,0,0,0,aktywna,36.23,0, , ,aktywna
,36.52,832,35.3,0,aktywna,36.82,0,0,0,aktywna,37.12,0, , ,aktywna
,37.40,832,35.3,0,aktywna,37.68,0,0,0,aktywna,38.00,0, , ,aktywna
,38.32,832,35.3,0,aktywna,38.61,0,0,0,aktywna,38.92,0, , ,aktywna
,39.22,800,36.9,0,aktywna,39.51,0,0,0,aktywna,39.81,0, , ,aktywna
,40.10,800,38.4,0,aktywna,40.39,0,0,0,aktywna,40.69,0, , ,aktywna
,41.02,800,44.3,0,aktywna,41.33,0,0,0,aktywna,41.66,0, , ,aktywna
,41.99,1280,28.2,0,nieaktywna,42.32,0,0,0,aktywna,42.60,0, , ,aktywna
,42.90,928,35.3,0,aktywna,43.20,0,0,0,aktywna,43.50,0, , ,aktywna
,43.83,896,38.4,0,aktywna,44.16,0,0,0,aktywna,44.50,0, , ,aktywna
,44.81,1152,31.0,0,aktywna,45.14,0,0,0,aktywna,45.48,0, , ,aktywna
,45.80,1024,35.3,0,aktywna,46.12,0,0,0,aktywna,46.46,0, , ,nieaktywna
,46.76,1152,25.1,0,nieaktywna,47.09,0,0,0,nieaktywna,47.40,0, , ,aktywna
,47.71,864,31.0,0,aktywna,47.99,0,0,0,aktywna,48.27,0, , ,aktywna
,48.57,832,32.5,0,aktywna,48.86,0,0,0,aktywna,49.23,0, , ,aktywna
,49.53,1536,0.0,0,nieaktywna,49.84,0,0,0,nieaktywna,50.20,0, , ,nieaktywna
,50.56,1888,94.5,0,nieaktywna,50.90,0,0,1,nieaktywna,51.22,0, , ,nieaktywna
,51.57,2272,25.1,1,nieaktywna,51.86,0,0,1,aktywna,52.24,0, , ,aktywna
,52.58,3552,0.0,1,nieaktywna,52.91,0,0,1,nieaktywna,53.25,0, , ,nieaktywna
,53.55,1600,0.0,1,nieaktywna,53.88,0,0,1,nieaktywna,54.20,0, , ,aktywna
,54.56,3584,97.3,3,aktywna,54.90,0,0,3,nieaktywna,55.24,0, , ,nieaktywna
,55.59,2048,0.0,3,nieaktywna,55.91,0,0,3,nieaktywna,56.23,0, , ,nieaktywna
