Pi¹tek,11,Wrzesieñ,2026,16:28:59:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.26,0,94.5,0.0,10110111,0.53,0,0.0,0.00,989.4,0.01,99.2,0.0, , 
,1.06,0,94.5,0.0,10110111,1.32,0,0.0,0.00,989.4,0.80,99.2,0.0, , 
,1.86,0,94.5,0.0,10110111,2.13,0,0.0,0.00,989.4,1.60,99.2,0.0, , 
,2.69,0,94.5,0.0,10110111,2.95,0,0.0,0.00,989.4,2.42,99.2,0.0, , 
,3.48,0,94.5,0.0,10110111,3.75,0,0.0,0.00,989.4,3.22,99.2,0.0, , 
,4.28,0,94.5,0.0,10110111,4.55,0,0.0,0.00,989.4,4.01,99.2,0.0, , 
,5.08,0,94.5,0.0,10110111,5.34,0,0.0,0.00,989.4,4.81,99.2,0.0, , 
,5.87,0,94.5,0.0,10110111,6.14,0,0.0,0.00,989.4,5.61,99.2,0.0, , 
,6.67,0,94.5,0.0,10110111,6.93,0,0.0,0.00,989.4,6.40,99.2,0.0, , 
,7.47,192,94.5,0.0,10110111,7.73,224,84.3,19.57,969.0,7.20,99.2,0.0, , 
,8.26,224,94.5,0.0,10110111,8.55,192,82.7,17.51,948.6,8.00,99.2,0.0, , 
,36.63,800,87.0,0.0,10110111,36.92,800,31.0,4.12,459.0,37.22,0.0,0.0, , 
,37.52,800,87.0,0.0,10110111,37.82,800,31.0,4.12,438.6,38.12,0.0,0.0, , 
,38.42,800,87.0,0.0,10110111,38.72,800,31.0,4.12,459.0,39.02,0.0,0.0, , 
,39.35,800,87.0,0.0,10110111,39.66,768,31.0,4.12,438.6,39.98,0.0,0.0, , 
,40.29,768,87.0,0.0,10110111,40.60,800,31.0,4.12,459.0,40.90,0.0,0.0, , 
,41.21,800,87.0,0.0,10110111,41.52,800,31.0,4.12,459.0,41.83,0.0,0.0, , 
,42.13,768,87.0,0.0,10110111,42.42,800,31.0,4.12,438.6,42.72,0.0,0.0, , 
,43.03,768,87.0,0.0,10110111,43.33,800,31.0,4.12,438.6,43.63,0.0,0.0, , 
,43.93,800,87.0,0.0,10110111,44.22,800,31.0,4.12,438.6,44.52,0.0,0.0, , 
,44.82,800,87.0,0.0,10110111,45.12,800,31.0,4.12,438.6,45.43,0.0,0.0, , 
,45.73,800,87.0,0.0,10110111,46.02,800,31.0,4.12,438.6,46.32,0.0,0.0, , 
,46.62,800,87.0,0.0,10110111,46.92,768,31.0,4.12,438.6,47.21,0.0,0.0, , 
,47.52,800,87.0,0.0,10110111,47.82,800,31.0,4.12,438.6,48.12,0.0,0.0, , 
,48.42,768,87.0,0.0,10110111,48.72,768,31.0,4.12,438.6,49.00,0.0,0.0, , 
,49.29,768,87.0,0.0,10110111,49.58,800,31.0,4.12,438.6,49.87,0.0,0.0, , 
,50.18,800,87.0,0.0,10110111,50.48,800,31.0,4.12,438.6,50.78,0.0,0.0, , 
,51.07,800,87.0,0.0,10110111,51.38,768,31.0,4.12,438.6,51.69,0.0,0.0, , 
,52.00,800,87.0,0.0,10110111,52.29,800,31.0,4.12,438.6,52.59,0.0,0.0, , 
,52.89,800,87.0,0.0,10110111,53.18,768,31.0,4.12,438.6,53.48,0.0,0.0, , 
,53.78,928,87.0,0.0,10110111,54.07,928,26.7,3.09,397.8,54.39,0.0,0.0, , 
,54.72,1344,87.0,0.0,10110111,55.02,1216,22.0,3.09,336.6,55.36,0.0,0.0, , 
,55.66,896,87.0,0.0,10110111,55.96,768,28.2,4.12,397.8,56.26,0.0,0.0, , 
,56.55,800,87.0,0.0,10110111,56.83,800,31.0,4.12,459.0,57.13,0.0,0.0, , 
,57.44,800,87.0,0.0,10110111,57.74,800,31.0,4.12,438.6,58.04,0.0,0.0, , 
,58.36,800,87.0,0.0,10110111,58.66,800,31.0,4.12,438.6,58.98,0.0,0.0, , 
,59.28,800,88.5,0.0,10110111,59.57,800,31.0,4.12,438.6,59.88,0.0,0.0, , 
,60.19,800,88.5,0.0,10110111,60.50,800,31.0,4.12,459.0,60.78,0.0,0.0, , 
,61.07,800,87.0,0.0,10110111,61.36,800,31.0,4.12,438.6,61.67,0.0,0.0, , 
,61.98,800,88.5,0.0,10110111,62.28,800,31.0,4.12,438.6,62.57,0.0,0.0, , 
,62.86,768,88.5,0.0,10110111,63.16,800,31.0,4.12,438.6,63.46,0.0,0.0, , 
,63.75,800,88.5,0.0,10110111,64.04,800,31.0,4.12,438.6,64.34,0.0,0.0, , 
,64.62,768,88.5,0.0,10110111,64.91,800,31.0,4.12,438.6,65.21,0.0,0.0, , 
,65.52,800,88.5,0.0,10110111,65.81,768,31.0,4.12,438.6,66.11,0.0,0.0, , 
,66.40,800,88.5,0.0,10110111,66.70,800,31.0,4.12,438.6,66.99,0.0,0.0, , 
,67.30,800,88.5,0.0,10110111,67.59,768,31.0,4.12,438.6,67.90,0.0,0.0, , 
,68.20,800,88.5,0.0,10110111,68.49,768,29.4,4.12,438.6,68.80,0.0,0.0, , 
,69.11,768,88.5,0.0,10110111,69.41,768,29.4,4.12,438.6,69.70,0.0,0.0, , 
,69.99,768,88.5,0.0,10110111,70.30,768,31.0,4.12,438.6,70.60,0.0,0.0, , 
,70.89,768,88.5,0.0,10110111,71.20,800,29.4,4.12,438.6,71.49,0.0,0.0, , 
,71.79,768,88.5,0.0,10110111,72.09,800,29.4,4.12,438.6,72.39,0.0,0.0, , 
,72.69,768,88.5,0.0,10110111,72.99,768,31.0,4.12,438.6,73.30,0.0,0.0, , 
,73.60,768,88.5,0.0,10110111,73.92,800,31.0,4.12,438.6,74.23,0.0,0.0, , 
,74.52,800,88.5,0.0,10110111,74.84,768,29.4,4.12,438.6,75.15,0.0,0.0, , 
,75.44,768,88.5,0.4,10111111,75.73,768,31.0,4.12,438.6,76.04,0.0,0.0, , 
,76.35,768,88.5,0.8,10111111,76.65,800,29.4,4.12,438.6,76.97,0.0,0.0, , 
,77.26,768,88.5,0.4,10111111,77.58,800,29.4,4.12,438.6,77.86,0.0,0.0, , 
,78.17,768,88.5,0.4,10111111,78.46,800,31.0,4.12,438.6,78.76,0.0,0.0, , 
,79.06,800,88.5,0.0,10111111,79.36,800,29.4,4.12,438.6,79.65,0.0,0.0, , 
,79.95,800,88.5,0.0,10111111,80.24,800,29.4,4.12,438.6,80.55,0.0,0.0, , 
,80.85,800,88.5,0.0,10111111,81.14,800,29.4,4.12,438.6,81.43,0.0,0.0, , 
,81.74,800,88.5,0.0,10111111,82.05,768,29.4,4.12,438.6,82.35,0.0,0.0, , 
,82.64,800,88.5,0.0,10111111,82.94,800,29.4,4.12,438.6,83.23,0.0,0.0, , 
,83.55,768,88.5,0.0,10111111,83.85,768,31.0,4.12,438.6,84.16,0.0,0.0, , 
,84.45,768,88.5,0.4,10111111,84.75,768,31.0,4.12,438.6,85.06,0.0,0.0, , 
,85.35,800,90.0,0.4,10111111,85.65,800,31.0,4.12,438.6,85.95,0.0,0.0, , 
,86.25,800,88.5,0.4,10111111,86.55,800,31.0,4.12,438.6,86.85,0.0,0.0, , 
,87.17,800,90.0,0.4,10111111,87.47,800,29.4,4.12,438.6,87.78,0.0,0.0, , 
,88.08,800,90.0,0.4,10111111,88.37,768,29.4,4.12,438.6,88.66,0.0,0.0, , 
,88.97,800,90.0,0.0,10111111,89.27,800,29.4,4.12,438.6,89.58,0.0,0.0, , 
,89.88,800,90.0,0.0,10111111,90.19,800,29.4,4.12,438.6,90.48,0.0,0.0, , 
,90.78,800,90.0,-0.4,10111111,91.09,800,31.0,4.12,438.6,91.39,0.0,0.0, , 
,91.68,768,90.0,-0.4,10111111,91.98,800,31.0,4.12,438.6,92.28,0.0,0.0, , 
,92.57,768,90.0,-0.4,10111111,92.87,800,29.4,4.12,438.6,93.17,0.0,0.0, , 
,93.45,800,90.0,0.0,10111111,93.75,800,29.4,4.12,438.6,94.05,0.0,0.0, , 
,94.35,800,90.0,0.0,10111111,94.66,800,29.4,4.12,438.6,94.98,0.0,0.0, , 
,95.29,800,90.0,-0.4,10111111,95.59,800,29.4,4.12,438.6,95.89,0.0,0.0, , 
,96.18,800,90.0,-0.4,10111111,96.48,768,31.0,4.12,438.6,96.78,0.0,0.0, , 
,97.07,800,90.0,-0.8,10111111,97.37,800,29.4,4.12,438.6,97.67,0.0,0.0, , 
,97.96,768,90.0,-0.8,10111111,98.26,800,29.4,4.12,438.6,98.55,0.0,0.0, , 
,98.86,768,90.0,-0.8,10111111,99.16,800,29.4,4.12,438.6,99.46,0.0,0.0, , 
,99.75,768,90.0,-0.4,10111111,100.05,768,31.0,4.12,438.6,100.35,0.0,0.0, , 
,100.66,800,90.0,0.0,10111111,100.96,800,31.0,4.12,438.6,101.27,0.0,0.0, , 
,101.58,800,90.0,-0.4,10111111,101.87,800,29.4,4.12,438.6,102.17,0.0,0.0, , 
,102.48,800,91.5,-0.4,10111111,102.78,768,31.0,4.12,438.6,103.07,0.0,0.0, , 
,103.37,800,90.0,-0.4,10111111,103.67,800,29.4,4.12,438.6,103.97,0.0,0.0, , 
,104.26,800,90.0,-0.4,10111111,104.55,800,29.4,4.12,438.6,104.84,0.0,0.0, , 
,105.15,768,90.0,-0.8,10111111,105.46,800,29.4,4.12,438.6,105.76,0.0,0.0, , 
,106.07,768,90.0,-0.8,10111111,106.36,800,29.4,4.12,438.6,106.64,0.0,0.0, , 
,106.93,800,91.5,-0.8,10111111,107.23,800,29.4,4.12,438.6,107.52,0.0,0.0, , 
,107.82,768,91.5,-0.8,10111111,108.13,800,29.4,4.12,438.6,108.43,0.0,0.0, , 
,108.74,768,91.5,-0.8,10111111,109.06,768,29.4,4.12,438.6,109.36,0.0,0.0, , 
,109.65,800,91.5,-0.8,10111111,109.95,768,29.4,4.12,438.6,110.25,0.0,0.0, , 
,110.55,800,91.5,-0.8,10111111,110.84,800,29.4,4.12,438.6,111.16,0.0,0.0, , 
,111.46,768,91.5,-0.8,10111111,111.75,800,29.4,4.12,438.6,112.05,0.0,0.0, , 
,112.35,800,91.5,-1.2,10111111,112.65,800,29.4,4.12,438.6,112.96,0.0,0.0, , 
,113.26,768,91.5,-1.6,10111111,113.55,768,31.0,4.12,438.6,113.86,0.0,0.0, , 
,114.15,800,91.5,-2.0,10111111,114.47,800,31.0,4.12,438.6,114.76,0.0,0.0, , 
,115.06,768,91.5,-2.0,10111111,115.37,800,29.4,4.12,438.6,115.66,0.0,0.0, , 
,115.95,768,91.5,-1.6,10111111,116.24,800,31.0,4.12,438.6,116.53,0.0,0.0, , 
,116.81,800,91.5,-1.2,10111111,117.10,768,29.4,4.12,438.6,117.40,0.0,0.0, , 
,117.70,800,91.5,-1.2,10111111,118.00,768,29.4,4.12,438.6,118.29,0.0,0.0, , 
,118.60,768,91.5,-0.8,10111111,118.90,768,31.0,4.12,438.6,119.21,0.0,0.0, , 
,119.49,800,91.5,-0.8,10111111,119.80,768,31.0,4.12,438.6,120.12,0.0,0.0, , 
,120.43,768,91.5,-1.2,10111111,120.73,800,29.4,4.12,438.6,121.03,0.0,0.0, , 
,121.33,800,91.5,-1.2,10111111,121.62,800,29.4,4.12,438.6,121.91,0.0,0.0, , 
,122.22,800,91.5,-0.8,10111111,122.51,800,29.4,4.12,438.6,122.81,0.0,0.0, , 
,123.11,800,91.5,-0.8,10111111,123.41,800,29.4,4.12,438.6,123.71,0.0,0.0, , 
,124.03,800,91.5,-0.4,10111111,124.33,768,29.4,4.12,438.6,124.62,0.0,0.0, , 
,124.92,800,91.5,-0.4,10111111,125.22,800,29.4,4.12,438.6,125.54,0.0,0.0, , 
,125.84,800,91.5,-0.4,10111111,126.14,768,31.0,4.12,438.6,126.43,0.0,0.0, , 
,126.73,800,91.5,-0.4,10111111,127.03,800,29.4,4.12,438.6,127.30,0.0,0.0, , 
,127.60,768,91.5,-0.4,10111111,127.91,800,29.4,4.12,438.6,128.21,0.0,0.0, , 
,128.51,768,93.0,-0.4,10111111,128.81,800,29.4,4.12,438.6,129.10,0.0,0.0, , 
,129.41,800,93.0,-0.8,10111111,129.72,800,31.0,4.12,438.6,130.02,0.0,0.0, , 
,130.31,800,93.0,-0.8,10111111,130.60,768,29.4,4.12,438.6,130.89,0.0,0.0, , 
,131.19,800,93.0,-0.8,10111111,131.49,768,29.4,4.12,438.6,131.79,0.0,0.0, , 
,132.09,800,93.0,-0.8,10111111,132.41,768,29.4,4.12,438.6,132.71,0.0,0.0, , 
,133.01,800,93.0,-0.8,10111111,133.31,800,29.4,4.12,438.6,133.59,0.0,0.0, , 
,133.88,768,93.0,-0.8,10111111,134.19,800,31.0,4.12,438.6,134.50,0.0,0.0, , 
,134.78,768,93.0,-0.8,10111111,135.08,768,29.4,4.12,438.6,135.38,0.0,0.0, , 
,135.69,800,93.0,-0.8,10111111,136.01,800,29.4,4.12,438.6,136.31,0.0,0.0, , 
,136.60,800,93.0,-0.8,10111111,136.90,800,29.4,4.12,438.6,137.20,0.0,0.0, , 
,137.48,800,93.0,-0.8,10111111,137.78,768,29.4,4.12,438.6,138.08,0.0,0.0, , 
,138.38,800,93.0,-0.8,10111111,138.68,768,29.4,4.12,438.6,139.00,0.0,0.0, , 
,139.30,800,93.0,-0.4,10111111,139.59,768,29.4,4.12,438.6,139.88,0.0,0.0, , 
,140.18,800,93.0,-0.4,10111111,140.48,768,29.4,4.12,438.6,140.78,0.0,0.0, , 
,141.08,800,93.0,-0.4,10111111,141.38,800,29.4,4.12,438.6,141.67,0.0,0.0, , 
,141.96,800,93.0,-0.8,10111111,142.25,800,29.4,4.12,438.6,142.54,0.0,0.0, , 
,142.83,768,93.0,-1.2,10111111,143.12,800,29.4,4.12,438.6,143.43,0.0,0.0, , 
,143.76,768,93.0,-1.6,10111111,144.04,800,29.4,4.12,438.6,144.34,0.0,0.0, , 
,144.65,800,94.5,-1.2,10111111,144.93,768,29.4,4.12,438.6,145.25,0.0,0.0, , 
,145.55,800,93.0,-1.2,10111111,145.84,768,29.4,4.12,438.6,146.14,0.0,0.0, , 
,146.44,800,93.0,-1.2,10111111,146.73,800,29.4,4.12,438.6,147.04,0.0,0.0, , 
,147.34,800,94.5,-1.2,10111111,147.64,800,29.4,4.12,438.6,147.95,0.0,0.0, , 
,148.24,768,94.5,-1.6,10111111,148.54,800,29.4,4.12,438.6,148.84,0.0,0.0, , 
,149.13,768,94.5,-1.6,10111111,149.44,800,31.0,4.12,438.6,149.74,0.0,0.0, , 
,150.04,768,94.5,-1.2,10111111,150.34,800,29.4,4.12,438.6,150.64,0.0,0.0, , 
,150.94,768,94.5,-1.2,10111111,151.24,768,29.4,4.12,438.6,151.54,0.0,0.0, , 
,151.84,800,94.5,-1.2,10111111,152.15,768,29.4,4.12,438.6,152.43,0.0,0.0, , 
,152.74,800,94.5,-1.2,10111111,153.04,768,29.4,4.12,438.6,153.35,0.0,0.0, , 
,153.65,800,94.5,-1.6,10111111,153.95,768,29.4,4.12,438.6,154.25,0.0,0.0, , 
,154.54,800,94.5,-1.6,10111111,154.84,800,29.4,4.12,438.6,155.14,0.0,0.0, , 
,155.45,800,94.5,-1.6,10111111,155.74,800,29.4,4.12,438.6,156.03,0.0,0.0, , 
,156.34,768,94.5,-2.0,10111111,156.62,800,29.4,4.12,438.6,156.92,0.0,0.0, , 
,157.19,768,94.5,-2.0,10111111,157.49,768,29.4,4.12,438.6,157.78,0.0,0.0, , 
,158.08,768,94.5,-2.0,10111111,158.38,800,29.4,4.12,438.6,158.70,0.0,0.0, , 
,159.00,800,94.5,-1.6,10111111,159.29,800,29.4,4.12,438.6,159.59,0.0,0.0, , 
,159.88,768,94.5,-1.2,10111111,160.18,800,29.4,4.12,438.6,160.49,0.0,0.0, , 
,160.79,800,94.5,-1.6,10111111,161.09,768,29.4,4.12,438.6,161.38,0.0,0.0, , 
,161.69,800,94.5,-1.6,10111111,162.00,768,29.4,4.12,438.6,162.31,0.0,0.0, , 
,162.61,800,94.5,-1.6,10111111,162.89,800,29.4,4.12,438.6,163.17,0.0,0.0, , 
,163.47,768,94.5,-1.2,10111111,163.75,800,29.4,4.12,438.6,164.03,0.0,0.0, , 
,164.33,800,94.5,-1.2,10111111,164.61,800,29.4,4.12,438.6,164.90,0.0,0.0, , 
,165.20,768,94.5,-0.8,10111111,165.50,768,29.4,4.12,438.6,165.81,0.0,0.0, , 
,166.10,800,94.5,-0.8,10111111,166.39,800,29.4,4.12,438.6,166.69,0.0,0.0, , 
,166.97,768,94.5,-0.4,10111111,167.26,768,29.4,4.12,438.6,167.56,0.0,0.0, , 
,167.86,800,96.0,-0.8,10111111,168.16,800,29.4,4.12,438.6,168.47,0.0,0.0, , 
,168.75,800,96.0,-0.8,10111111,169.04,768,29.4,4.12,438.6,169.34,0.0,0.0, , 
,169.63,768,94.5,-1.2,10111111,169.95,768,29.4,4.12,438.6,170.23,0.0,0.0, , 
,170.53,800,94.5,-0.8,10111111,170.81,768,29.4,4.12,438.6,171.09,0.0,0.0, , 
,171.39,800,94.5,-0.8,10111111,171.67,800,29.4,4.12,438.6,171.97,0.0,0.0, , 
,172.26,768,96.0,-0.8,10111111,172.54,800,29.4,4.12,438.6,172.84,0.0,0.0, , 
,173.14,768,96.0,-0.8,10111111,173.43,800,29.4,4.12,438.6,173.74,0.0,0.0, , 
,202.85,3488,96.0,3.5,11101001,202.13,3360,90.2,16.48,989.4,202.48,0.0,0.0, , 
,203.91,3328,94.5,0.0,11111101,203.25,3552,90.2,14.42,969.0,203.59,0.0,0.0, , 
,204.91,1760,94.5,0.0,11111111,204.23,2816,0.0,0.00,275.4,204.58,0.0,0.0, , 
,205.95,2048,96.0,0.0,11101001,205.24,1760,20.8,3.09,316.2,205.59,0.0,0.0, , 
,207.03,1984,94.5,-2.0,11101001,206.32,2048,22.0,3.09,316.2,206.68,0.0,0.0, , 
,208.10,1984,94.5,-1.2,11101001,207.38,1984,32.5,4.12,418.2,207.74,0.0,0.0, , 
,209.15,2016,94.5,2.0,11101001,208.47,1984,59.2,8.24,673.2,208.81,0.0,0.0, , 
,210.23,2048,94.5,7.0,11101001,209.51,2048,62.0,9.27,714.0,209.87,0.0,0.0, , 
,211.26,2080,94.5,3.1,11101001,210.57,2080,45.9,6.18,550.8,210.92,0.0,0.0, , 
,212.28,2112,94.5,5.1,11101001,211.60,2080,42.7,6.18,520.2,211.95,0.0,0.0, , 
,213.31,2144,94.5,6.6,11101001,212.61,2112,41.2,6.18,499.8,212.96,0.0,0.0, , 
,214.34,2144,94.5,7.4,11101001,213.64,2144,40.0,6.18,499.8,213.98,0.0,0.0, , 
,215.38,2144,94.5,2.3,11101001,214.67,2144,26.7,4.12,357.0,215.02,0.0,0.0, , 
,216.46,2144,94.5,-0.4,11101001,215.74,2144,25.1,3.09,336.6,216.10,0.0,0.0, , 
,217.48,2144,94.5,-2.7,11101001,216.80,2144,26.7,3.09,357.0,217.14,0.0,0.0, , 
,218.53,2176,93.0,4.7,11101001,217.83,2176,35.3,4.12,438.6,218.18,0.0,0.0, , 
,219.55,2176,93.0,4.7,11101001,218.85,2176,54.5,7.21,632.4,219.21,0.0,0.0, , 
,220.55,2208,93.0,8.2,11101001,219.89,2176,54.5,8.24,632.4,220.21,0.0,0.0, , 
,221.59,2240,91.5,10.2,11101001,220.90,2208,54.5,8.24,632.4,221.24,0.0,0.0, , 
,222.61,2240,93.0,11.3,11101001,221.93,2240,53.3,8.24,612.0,222.28,0.0,0.0, , 
,223.66,2240,93.0,12.1,11101001,222.95,2240,53.3,8.24,612.0,223.30,0.0,0.0, , 
,224.64,2208,91.5,12.1,11101001,224.00,2208,54.5,8.24,632.4,224.33,0.0,0.0, , 
,225.67,2208,91.5,11.7,11101001,224.97,2208,66.3,10.30,754.8,225.31,0.0,0.0, , 
,226.70,2208,91.5,13.7,11101001,226.01,2208,66.3,10.30,754.8,226.35,0.0,0.0, , 
,227.69,2208,91.5,15.6,11101001,227.02,2208,66.3,10.30,754.8,227.36,0.0,0.0, , 
,228.73,2208,91.5,16.0,11101001,228.04,2208,66.3,11.33,754.8,228.38,0.0,0.0, , 
,229.74,2208,91.5,11.3,11101001,229.08,2208,66.3,11.33,754.8,229.40,0.0,0.0, , 
,230.81,2240,91.5,10.9,11101001,230.10,2208,67.8,11.33,775.2,230.46,0.0,0.0, , 
,231.83,2240,90.0,11.3,11101001,231.15,2240,66.3,11.33,754.8,231.49,0.0,0.0, , 
,232.83,2272,91.5,10.2,11101001,232.16,2240,69.4,11.33,775.2,232.49,0.0,0.0, , 
,233.86,2272,90.0,10.2,11101001,233.19,2272,69.4,11.33,775.2,233.52,0.0,0.0, , 
,234.87,2272,90.0,10.2,11101001,234.19,2272,69.4,11.33,775.2,234.52,0.0,0.0, , 
,235.86,2336,90.0,0.8,11101001,235.20,2304,79.6,12.36,887.4,235.53,0.0,0.0, , 
,236.86,2368,90.0,-2.0,11101001,236.18,2336,84.3,13.39,928.2,236.52,0.0,0.0, , 
,237.94,2400,90.0,-2.0,11101001,237.24,2368,82.7,13.39,928.2,237.57,0.0,0.0, , 
,239.00,2432,90.0,0.8,11101001,238.31,2400,81.2,12.36,907.8,238.65,0.0,0.0, , 
,240.06,2432,90.0,7.4,11101001,239.37,2432,75.3,12.36,846.6,239.70,0.0,0.0, , 
,241.12,2464,90.0,11.7,11101001,240.41,2432,71.0,11.33,795.6,240.76,0.0,0.0, , 
,242.14,2464,88.5,14.8,11101001,241.45,2464,62.0,10.30,714.0,241.79,0.0,0.0, , 
,243.22,2464,88.5,16.0,11101001,242.51,2464,59.2,10.30,673.2,242.87,0.0,0.0, , 
,244.26,2464,88.5,14.5,11101001,243.55,2464,50.2,8.24,591.6,243.90,0.0,0.0, , 
,245.31,2464,88.5,14.1,11101001,244.61,2464,51.8,8.24,591.6,244.96,0.0,0.0, , 
,246.37,2464,88.5,12.9,11101001,245.67,2464,51.8,8.24,591.6,246.03,0.0,0.0, , 
,247.44,2464,88.5,11.3,11101001,246.72,2432,51.8,8.24,591.6,247.07,0.0,0.0, , 
,248.51,2432,88.5,10.5,11101001,247.80,2432,50.2,8.24,591.6,248.16,0.0,0.0, , 
,249.49,2432,88.5,0.0,11111101,248.84,2432,47.1,7.21,550.8,249.17,0.0,0.0, , 
,250.52,2368,88.5,0.0,11111101,249.84,2400,19.2,2.06,275.4,250.19,0.0,0.0, , 
,251.49,2336,88.5,0.0,11111101,250.84,2368,0.0,0.00,244.8,251.16,0.0,0.0, , 
,252.47,2272,88.5,0.0,11111101,251.82,2304,0.0,0.00,244.8,252.14,0.0,0.0, , 
,253.48,2240,88.5,0.0,11111101,252.80,2272,0.0,0.00,244.8,253.13,0.0,0.0, , 
,254.52,2176,88.5,0.0,11111101,253.83,2208,0.0,0.00,244.8,254.18,0.0,0.0, , 
,255.52,2144,88.5,0.0,11111101,254.85,2176,0.0,0.00,244.8,255.18,0.0,0.0, , 
,256.55,2080,88.5,0.0,11111101,255.88,2112,0.0,0.00,244.8,256.21,0.0,0.0, , 
,257.60,2048,88.5,0.0,11111101,256.90,2080,0.0,0.00,244.8,257.24,0.0,0.0, , 
,258.65,1984,87.0,0.0,11111101,257.95,2016,0.0,0.00,244.8,258.31,0.0,0.0, , 
,259.73,1952,87.0,0.0,11101011,259.01,2016,14.9,2.06,244.8,259.36,0.0,0.0, , 
,260.78,1920,87.0,0.0,11101011,260.08,1952,16.1,2.06,244.8,260.43,0.0,0.0, , 
,261.89,1888,87.0,-7.0,11101011,261.15,1920,17.6,2.06,275.4,261.51,0.0,0.0, , 
,262.95,1856,87.0,-8.2,11101011,262.22,1888,17.6,2.06,275.4,262.58,0.0,0.0, , 
,264.06,1856,87.0,-7.4,11101011,263.34,1856,17.6,2.06,275.4,263.69,0.0,0.0, , 
,265.15,1824,87.0,1.2,11101011,264.40,1856,22.0,3.09,316.2,264.78,0.0,0.0, , 
,266.27,1792,87.0,8.6,11101011,265.53,1824,34.1,5.15,438.6,265.89,0.0,0.0, , 
,267.34,1856,85.5,5.5,11101011,266.61,1824,59.2,8.24,693.6,266.97,0.0,0.0, , 
,268.41,1728,85.5,0.0,11111111,267.70,1824,40.0,3.09,499.8,268.06,0.0,0.0, , 
,269.37,1088,85.5,0.0,11111111,268.74,1184,23.5,3.09,336.6,269.05,0.0,0.0, , 
