Ver. 4 7 real time data, pi¹tek, 11 wrzesieñ 2026 16:38:29
TEMPO	GIRI	LAMBDA	GAS	BENZ	PRESS	MAP	T.RID	T.GAS	LIV	SLOW	FAST	OX	MARKER	AUTOMARKER	ECUMARKER
203	804	0.140000	6.650000	4.660000	1.070000	0.420000	66.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
422	802	0.140000	6.680000	4.680000	1.070000	0.420000	66.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
625	800	0.140000	6.640000	4.620000	1.080000	0.420000	66.000000	27.000000	46	0.000000	0.000000	0.000000	0	0	0	
812	798	0.140000	6.690000	4.700000	1.070000	0.420000	66.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
1031	801	0.140000	6.660000	4.650000	1.080000	0.420000	66.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
1297	794	0.140000	6.740000	4.740000	1.080000	0.420000	66.000000	27.000000	126	0.000000	0.000000	0.000000	0	0	0	
1516	794	0.140000	6.610000	4.620000	1.080000	0.410000	66.000000	27.000000	117	0.000000	0.000000	0.000000	0	0	0	
1719	799	0.140000	6.720000	4.710000	1.080000	0.430000	66.000000	27.000000	21	0.000000	0.000000	0.000000	0	0	0	
1922	802	0.140000	6.780000	4.790000	1.070000	0.430000	66.000000	27.000000	168	0.000000	0.000000	0.000000	0	0	0	
2125	818	0.140000	6.710000	4.720000	1.080000	0.420000	66.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
2375	799	0.140000	6.760000	4.740000	1.060000	0.430000	66.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
2562	835	0.140000	9.850000	7.420000	1.050000	0.570000	66.000000	27.000000	23	0.000000	0.000000	0.000000	0	0	0	
2766	1238	0.140000	10.840000	8.420000	1.060000	0.580000	66.000000	27.000000	8	0.000000	0.000000	0.000000	0	0	0	
2953	1568	0.140000	2.500000	1.010000	1.050000	0.520000	66.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
3141	1869	0.140000	8.030000	5.850000	1.050000	0.460000	66.000000	27.000000	254	0.000000	0.000000	0.000000	0	0	0	
3344	1964	0.140000	7.120000	4.920000	1.060000	0.400000	66.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
3531	1925	0.140000	7.120000	4.930000	1.060000	0.390000	66.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
3750	1775	0.140000	7.150000	4.950000	1.110000	0.350000	66.000000	27.000000	254	0.000000	0.000000	0.000000	0	0	0	
3937	1453	0.140000	0.000000	0.000000	1.110000	0.340000	66.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
4141	1149	0.140000	7.150000	4.950000	1.110000	0.340000	66.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
4359	950	0.140000	6.960000	4.900000	1.070000	0.360000	66.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
4562	954	0.140000	7.200000	5.140000	1.060000	0.380000	66.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
4812	931	0.140000	7.420000	5.430000	1.080000	0.370000	66.000000	27.000000	7	0.000000	0.000000	0.000000	0	0	0	
5062	928	0.140000	7.120000	5.070000	1.080000	0.360000	66.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
5312	862	0.140000	6.880000	4.870000	1.070000	0.360000	66.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
5672	777	0.140000	7.000000	4.960000	1.080000	0.390000	66.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
5891	798	0.140000	6.890000	4.880000	1.070000	0.420000	66.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
6141	824	0.140000	6.970000	4.970000	1.060000	0.430000	66.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
6328	809	0.140000	7.020000	4.970000	1.070000	0.430000	66.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
6562	813	0.140000	7.070000	5.020000	1.070000	0.430000	67.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
6766	814	0.140000	7.020000	4.970000	1.070000	0.430000	67.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
6969	809	0.140000	6.990000	4.950000	1.080000	0.420000	67.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
7172	813	0.140000	7.010000	4.970000	1.070000	0.430000	67.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
7375	820	0.140000	6.960000	4.920000	1.070000	0.430000	67.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
7625	829	0.140000	7.010000	4.970000	1.080000	0.420000	67.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
7891	813	0.140000	6.930000	4.940000	1.070000	0.430000	67.000000	27.000000	0	0.000000	0.000000	0.000000	0	0	0	
8172	857	0.140000	2.500000	1.010000	1.070000	0.510000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
8391	1061	0.140000	9.160000	6.900000	1.070000	0.530000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
8625	1258	0.140000	9.020000	6.580000	1.060000	0.510000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
8812	1397	0.140000	7.830000	5.720000	1.080000	0.460000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
9031	1385	0.140000	7.820000	5.710000	1.070000	0.440000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
9219	1328	0.140000	7.260000	5.130000	1.070000	0.420000	67.000000	28.000000	13	0.000000	0.000000	0.000000	0	0	0	
9422	1218	0.140000	6.380000	4.400000	1.070000	0.370000	67.000000	28.000000	13	0.000000	0.000000	0.000000	0	0	0	
9625	1072	0.140000	6.380000	4.380000	1.070000	0.380000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
9797	989	0.140000	6.640000	4.630000	1.070000	0.380000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
10094	897	0.140000	2.340000	0.860000	1.070000	0.410000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
10312	804	0.140000	2.450000	0.970000	1.070000	0.420000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
10484	737	0.140000	7.760000	6.070000	1.090000	0.450000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
10703	770	0.140000	8.520000	6.460000	1.080000	0.480000	67.000000	28.000000	1	0.000000	0.000000	0.000000	0	0	0	
10906	796	0.140000	8.680000	6.550000	1.080000	0.490000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
11141	841	0.140000	8.390000	6.320000	1.060000	0.490000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
11344	869	0.140000	7.890000	5.910000	1.070000	0.480000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
11547	867	0.140000	7.570000	5.590000	1.070000	0.470000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
11750	895	0.140000	7.460000	5.490000	1.070000	0.470000	67.000000	28.000000	250	0.000000	0.000000	0.000000	0	0	0	
11937	921	0.140000	6.870000	4.820000	1.070000	0.470000	67.000000	28.000000	58	0.000000	0.000000	0.000000	0	0	0	
12156	931	0.140000	7.040000	4.990000	1.060000	0.480000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
12359	948	0.140000	7.020000	4.950000	1.070000	0.450000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
12562	997	0.140000	6.980000	4.940000	1.070000	0.450000	67.000000	28.000000	221	0.000000	0.000000	0.000000	0	0	0	
12781	1028	0.140000	7.120000	5.310000	1.070000	0.470000	67.000000	28.000000	11	0.000000	0.000000	0.000000	0	0	0	
12969	1106	0.140000	7.580000	5.510000	1.060000	0.500000	67.000000	28.000000	29	0.000000	0.000000	0.000000	0	0	0	
13156	1119	0.140000	8.010000	5.920000	1.070000	0.510000	67.000000	28.000000	20	0.000000	0.000000	0.000000	0	0	0	
13344	1190	0.140000	2.330000	0.840000	1.060000	0.520000	67.000000	28.000000	12	0.000000	0.000000	0.000000	0	0	0	
13531	1251	0.140000	9.580000	7.150000	1.050000	0.540000	67.000000	28.000000	54	0.000000	0.000000	0.000000	0	0	0	
13766	1362	0.140000	10.820000	8.240000	1.050000	0.580000	67.000000	28.000000	53	0.000000	0.000000	0.000000	0	0	0	
13953	1434	0.140000	10.330000	8.010000	1.040000	0.580000	67.000000	28.000000	54	0.000000	0.000000	0.000000	0	0	0	
14234	1648	0.140000	2.340000	0.840000	1.030000	0.740000	67.000000	28.000000	53	0.000000	0.000000	0.000000	0	0	0	
14437	1807	0.140000	13.030000	11.540000	1.060000	0.710000	67.000000	28.000000	53	0.000000	0.000000	0.000000	0	0	0	
14625	1990	0.140000	13.040000	11.460000	1.050000	0.750000	67.000000	28.000000	104	0.000000	0.000000	0.000000	0	0	0	
14812	2135	0.140000	12.690000	11.000000	1.040000	0.730000	67.000000	28.000000	104	0.000000	0.000000	0.000000	0	0	0	
15016	2216	0.140000	8.380000	6.260000	1.140000	0.460000	67.000000	28.000000	104	0.000000	0.000000	0.000000	0	0	0	
15219	1866	0.140000	0.000000	0.000000	1.230000	0.370000	67.000000	28.000000	254	0.000000	0.000000	0.000000	0	0	0	
15406	1545	0.140000	0.000000	0.000000	1.240000	0.370000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
15594	1284	0.140000	0.000000	0.000000	1.230000	0.370000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
15812	1010	0.140000	6.950000	5.260000	1.110000	0.390000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
16016	1308	0.140000	7.580000	5.510000	1.060000	0.350000	68.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
16203	1456	0.140000	7.540000	5.400000	1.060000	0.360000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
16406	1362	0.140000	7.440000	5.350000	1.060000	0.380000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
16578	1440	0.140000	7.660000	5.500000	1.050000	0.390000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
16812	1455	0.140000	7.410000	5.230000	1.060000	0.400000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
17000	1444	0.140000	7.050000	4.950000	1.060000	0.380000	67.000000	28.000000	254	0.000000	0.000000	0.000000	0	0	0	
17203	1474	0.140000	6.860000	4.740000	1.070000	0.370000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
17422	1521	0.140000	6.960000	4.790000	1.060000	0.360000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
17625	1550	0.140000	7.170000	4.980000	1.050000	0.380000	67.000000	28.000000	12	0.000000	0.000000	0.000000	0	0	0	
17844	1573	0.140000	7.580000	5.430000	1.060000	0.410000	67.000000	28.000000	1	0.000000	0.000000	0.000000	0	0	0	
18031	1607	0.140000	7.840000	5.650000	1.070000	0.410000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
18344	1653	0.140000	7.830000	5.690000	1.070000	0.420000	68.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
18562	1698	0.140000	7.830000	5.630000	1.050000	0.420000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
18750	1738	0.140000	7.810000	5.580000	1.060000	0.410000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
18984	1767	0.140000	7.580000	5.420000	1.060000	0.410000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
19172	1805	0.140000	7.640000	5.410000	1.050000	0.410000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
19375	1851	0.140000	7.550000	5.370000	1.060000	0.400000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
19578	1884	0.140000	7.420000	5.190000	1.070000	0.390000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
19781	1909	0.140000	7.390000	5.180000	1.060000	0.390000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
19984	1944	0.140000	7.310000	5.110000	1.060000	0.380000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
20187	1989	0.140000	7.190000	5.060000	1.060000	0.390000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
20422	2021	0.140000	7.420000	5.280000	1.060000	0.400000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
20609	2050	0.140000	7.990000	5.740000	1.050000	0.420000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
20812	2089	0.140000	8.410000	6.110000	1.060000	0.450000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
21016	2117	0.140000	8.630000	6.280000	1.040000	0.460000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
21187	2166	0.140000	9.100000	6.730000	1.050000	0.480000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
21406	2214	0.140000	9.230000	6.790000	1.050000	0.480000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
21594	2267	0.140000	9.340000	6.890000	1.050000	0.490000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
21828	2324	0.140000	9.820000	7.260000	1.030000	0.500000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
22031	2377	0.140000	9.750000	7.230000	1.050000	0.490000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
22234	2420	0.140000	9.440000	6.980000	1.050000	0.480000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
22500	2485	0.140000	9.630000	7.000000	1.060000	0.480000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
22687	2373	0.140000	0.000000	0.000000	1.150000	0.350000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
22922	2030	0.140000	0.000000	0.000000	1.170000	0.340000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
23125	1736	0.140000	0.000000	0.000000	1.190000	0.330000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
23328	1452	0.140000	0.000000	0.000000	1.170000	0.340000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
23531	1097	0.140000	8.340000	6.090000	1.130000	0.340000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
23781	1172	0.140000	7.320000	5.280000	1.080000	0.340000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
23984	1613	0.140000	6.510000	4.440000	1.060000	0.310000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
24172	1796	0.140000	6.650000	4.520000	1.060000	0.320000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
24391	1727	0.140000	6.640000	4.530000	1.050000	0.330000	67.000000	28.000000	2	0.000000	0.000000	0.000000	0	0	0	
24594	1783	0.140000	6.110000	4.050000	1.060000	0.320000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
24797	1762	0.140000	6.280000	4.160000	1.070000	0.330000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
24984	1794	0.140000	6.440000	4.350000	1.070000	0.340000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
25203	1812	0.140000	6.560000	4.450000	1.070000	0.340000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
25391	1821	0.140000	6.570000	4.460000	1.060000	0.340000	67.000000	28.000000	4	0.000000	0.000000	0.000000	0	0	0	
25594	1831	0.140000	6.500000	4.400000	1.060000	0.340000	67.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
25797	1836	0.140000	6.520000	4.410000	1.070000	0.340000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
26000	1855	0.140000	6.740000	4.630000	1.070000	0.350000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
26187	1868	0.140000	6.750000	4.640000	1.060000	0.350000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
26375	1877	0.140000	6.620000	4.500000	1.060000	0.340000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
26656	1897	0.140000	6.580000	4.490000	1.070000	0.340000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
26844	1906	0.140000	6.350000	4.290000	1.070000	0.340000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
27047	1922	0.140000	6.250000	4.200000	1.060000	0.330000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
27250	1928	0.140000	6.270000	4.200000	1.070000	0.330000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
27453	1941	0.140000	6.130000	4.040000	1.080000	0.330000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
27641	1951	0.140000	5.970000	3.900000	1.060000	0.320000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
27828	1963	0.140000	5.910000	3.870000	1.070000	0.320000	66.000000	28.000000	49	0.000000	0.000000	0.000000	0	0	0	
28047	1978	0.140000	5.900000	3.810000	1.060000	0.310000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
28234	1980	0.140000	5.810000	3.720000	1.070000	0.320000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
28453	1990	0.140000	5.810000	3.730000	1.070000	0.310000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
28641	2002	0.140000	5.740000	3.670000	1.060000	0.310000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
28859	2010	0.140000	5.610000	3.540000	1.080000	0.300000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
29047	2019	0.140000	5.540000	3.520000	1.070000	0.300000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
29266	2024	0.140000	5.630000	3.570000	1.070000	0.300000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
29469	2030	0.140000	5.560000	3.510000	1.070000	0.300000	66.000000	28.000000	42	0.000000	0.000000	0.000000	0	0	0	
29641	2044	0.140000	5.560000	3.500000	1.060000	0.310000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
29859	2047	0.140000	5.690000	3.630000	1.070000	0.310000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
30047	2057	0.140000	5.780000	3.690000	1.060000	0.320000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
30250	2070	0.140000	5.880000	3.780000	1.070000	0.330000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
30437	2084	0.140000	6.020000	3.900000	1.060000	0.340000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
30734	2100	0.140000	6.220000	4.120000	1.060000	0.350000	66.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
30953	2119	0.140000	6.820000	4.640000	1.050000	0.390000	65.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
31156	2140	0.140000	7.970000	5.720000	1.050000	0.460000	65.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
31375	2170	0.140000	8.900000	6.520000	1.040000	0.530000	65.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
31562	2197	0.140000	2.300000	0.800000	1.050000	0.590000	65.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
31750	2228	0.140000	12.150000	0.930000	1.010000	0.730000	65.000000	28.000000	0	0.000000	0.000000	0.000000	0	0	0	
31984	2261	0.140000	13.780000	12.090000	1.010000	0.830000	65.000000	28.000000	54	0.000000	0.000000	0.000000	0	0	0	
32172	2298	0.140000	13.620000	12.220000	1.020000	0.860000	65.000000	27.000000	54	0.000000	0.000000	0.000000	0	0	0	
32391	2345	0.140000	13.940000	12.490000	1.030000	0.850000	65.000000	27.000000	54	0.000000	0.000000	0.000000	0	0	0	
32609	2376	0.140000	14.430000	1.160000	1.010000	0.880000	65.000000	27.000000	54	0.000000	0.000000	0.000000	0	0	0	
32797	2423	0.140000	15.410000	13.810000	1.030000	0.890000	65.000000	27.000000	52	0.000000	0.000000	0.000000	0	0	0	
33000	2460	0.140000	2.270000	0.790000	1.010000	0.940000	65.000000	27.000000	53	0.000000	0.000000	0.000000	0	0	0	
33187	2500	0.140000	2.450000	0.970000	1.010000	0.920000	65.000000	27.000000	53	0.000000	0.000000	0.000000	0	0	0	
33422	2551	0.140000	17.110000	15.310000	1.020000	0.940000	65.000000	27.000000	52	0.000000	0.000000	0.000000	0	0	0	
33625	2600	0.140000	16.560000	15.070000	1.040000	0.930000	65.000000	27.000000	54	0.000000	0.000000	0.000000	0	0	0	
33812	2628	0.140000	16.950000	15.160000	1.020000	0.970000	65.000000	27.000000	52	0.000000	0.000000	0.000000	0	0	0	
34031	2677	0.140000	16.990000	15.190000	1.030000	0.930000	65.000000	27.000000	51	0.000000	0.000000	0.000000	0	0	0	
34250	2726	0.140000	16.990000	15.250000	1.010000	0.940000	65.000000	27.000000	53	0.000000	0.000000	0.000000	0	0	0	
34437	2766	0.140000	17.160000	15.360000	1.010000	0.950000	65.000000	27.000000	53	0.000000	0.000000	0.000000	0	0	0	
34672	2807	0.140000	16.900000	15.170000	1.010000	0.950000	65.000000	27.000000	53	0.000000	0.000000	0.000000	0	0	0	
34969	2870	0.140000	17.370000	15.570000	1.020000	0.940000	65.000000	27.000000	53	0.000000	0.000000	0.000000	0	0	0	
35156	2922	0.140000	17.290000	15.550000	1.040000	0.930000	65.000000	27.000000	53	0.000000	0.000000	0.000000	0	0	0	
35359	2965	0.140000	16.920000	15.310000	1.020000	0.950000	65.000000	27.000000	52	0.000000	0.000000	0.000000	0	0	0	
35547	2997	0.140000	16.930000	15.390000	1.060000	0.930000	65.000000	27.000000	52	0.000000	0.000000	0.000000	0	0	0	
35781	3045	0.140000	17.390000	15.530000	1.020000	0.950000	65.000000	27.000000	52	0.000000	0.000000	0.000000	0	0	0	
36047	3096	0.140000	16.870000	15.010000	1.010000	0.950000	65.000000	27.000000	52	0.000000	0.000000	0.000000	0	0	0	
36250	3138	0.140000	16.650000	15.050000	1.040000	0.930000	65.000000	27.000000	52	0.000000	0.000000	0.000000	0	0	0	
36437	3193	0.140000	16.710000	15.170000	1.060000	0.910000	65.000000	27.000000	51	0.000000	0.000000	0.000000	0	0	0	
36641	3217	0.140000	16.880000	15.210000	1.040000	0.970000	65.000000	27.000000	52	0.000000	0.000000	0.000000	0	0	0	
36828	3258	0.140000	16.740000	14.990000	1.030000	0.930000	65.000000	27.000000	52	0.000000	0.000000	0.000000	0	0	0	
37047	3314	0.140000	16.700000	14.890000	1.020000	0.940000	65.000000	27.000000	52	0.000000	0.000000	0.000000	0	0	0	
37250	3352	0.140000	16.510000	14.710000	1.020000	0.940000	65.000000	27.000000	52	0.000000	0.000000	0.000000	0	0	0	
37453	3390	0.140000	16.620000	15.010000	1.030000	0.940000	65.000000	27.000000	53	0.000000	0.000000	0.000000	0	0	0	
