Ver. 4 7 real time data, pi¹tek, 11 wrzesieñ 2026 16:31:45
TEMPO	GIRI	LAMBDA	GAS	BENZ	PRESS	MAP	T.RID	T.GAS	LIV	SLOW	FAST	OX	MARKER	AUTOMARKER	ECUMARKER
218	808	0.220000	6.980000	4.940000	1.080000	0.410000	78.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
422	801	0.220000	6.860000	4.830000	1.080000	0.420000	78.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
609	803	0.220000	6.830000	4.800000	1.060000	0.440000	78.000000	48.000000	217	0.000000	0.000000	0.000000	0	0	0	
828	802	0.220000	6.880000	4.850000	1.070000	0.420000	78.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
1015	795	0.220000	6.870000	4.840000	1.060000	0.430000	78.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
1218	797	0.220000	6.950000	4.910000	1.060000	0.440000	78.000000	48.000000	183	0.000000	0.000000	0.000000	0	0	0	
1406	790	0.220000	6.930000	4.900000	1.060000	0.440000	78.000000	48.000000	157	0.000000	0.000000	0.000000	0	0	0	
1593	804	0.220000	7.030000	4.960000	1.060000	0.440000	78.000000	48.000000	161	0.000000	0.000000	0.000000	0	0	0	
1812	799	0.220000	6.940000	4.900000	1.070000	0.430000	78.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
2000	799	0.220000	6.900000	4.860000	1.060000	0.440000	78.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
2218	803	0.220000	7.030000	4.960000	1.080000	0.430000	78.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
2437	807	0.220000	6.970000	4.900000	1.070000	0.430000	78.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
2609	806	0.220000	6.890000	4.950000	1.070000	0.430000	78.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
2797	797	0.220000	6.910000	4.850000	1.080000	0.420000	78.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
3015	805	0.220000	6.880000	4.830000	1.060000	0.440000	78.000000	48.000000	6	0.000000	0.000000	0.000000	0	0	0	
3218	802	0.220000	6.990000	4.850000	1.070000	0.430000	78.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
3500	802	0.220000	6.890000	4.860000	1.060000	0.430000	78.000000	48.000000	25	0.000000	0.000000	0.000000	0	0	0	
3703	796	0.220000	6.950000	4.890000	1.080000	0.420000	78.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
3875	808	0.220000	6.880000	4.850000	1.070000	0.430000	78.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
4062	802	0.220000	6.900000	4.870000	1.070000	0.440000	78.000000	48.000000	239	0.000000	0.000000	0.000000	0	0	0	
4265	813	0.220000	6.960000	4.800000	1.070000	0.430000	78.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
4437	794	0.220000	6.860000	4.830000	1.060000	0.440000	78.000000	48.000000	246	0.000000	0.000000	0.000000	0	0	0	
4656	796	0.220000	6.980000	4.920000	1.060000	0.440000	78.000000	48.000000	23	0.000000	0.000000	0.000000	0	0	0	
4859	805	0.220000	6.900000	4.870000	1.080000	0.420000	78.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
5078	799	0.220000	7.020000	4.970000	1.070000	0.430000	78.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
5343	792	0.220000	6.910000	4.860000	1.060000	0.440000	80.000000	48.000000	2	0.000000	0.000000	0.000000	0	0	0	
5515	805	0.220000	7.020000	4.980000	1.060000	0.430000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
5718	809	0.220000	6.950000	4.910000	1.070000	0.420000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
5953	790	0.220000	6.900000	4.860000	1.080000	0.420000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
6218	798	0.220000	6.890000	4.860000	1.080000	0.430000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
6390	801	0.220000	6.980000	4.920000	1.070000	0.430000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
6609	798	0.220000	7.000000	4.960000	1.060000	0.440000	80.000000	48.000000	153	0.000000	0.000000	0.000000	0	0	0	
6828	800	0.220000	6.990000	4.930000	1.060000	0.440000	80.000000	48.000000	126	0.000000	0.000000	0.000000	0	0	0	
7000	802	0.220000	7.030000	4.960000	1.060000	0.430000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
7203	810	0.220000	6.860000	4.840000	1.070000	0.430000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
7406	788	0.220000	6.870000	4.840000	1.060000	0.440000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
7656	775	0.220000	7.030000	5.010000	1.070000	0.460000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
7843	784	0.220000	7.020000	4.980000	1.050000	0.470000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
8031	792	0.220000	8.030000	6.020000	1.070000	0.520000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
8234	838	0.220000	8.390000	6.320000	1.060000	0.540000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
