Środa,12,Sierpień,2026,09:42:36:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'015,,,,Grupa C:,'016
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Zliczanie,Zliczanie,Zliczanie, ,,Zliczanie, , , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU,,,,,ZAPISU,,,,
,0.01,768,85.5,-3.5,10111111,0.31,0,0,0,aktywna,0.61,0, , ,aktywna
,0.91,768,85.5,-3.5,10111111,1.21,0,0,0,aktywna,1.51,0, , ,aktywna
,1.80,768,85.5,-4.3,10111111,2.11,0,0,0,aktywna,2.42,0, , ,aktywna
,2.74,704,85.5,0.0,10101011,3.04,0,0,0,aktywna,3.36,0, , ,aktywna
,3.66,1088,85.5,0.0,10101011,3.96,0,0,0,aktywna,4.26,0, , ,aktywna
,4.59,928,85.5,0.0,10101011,4.93,0,0,0,aktywna,5.24,0, , ,aktywna
,5.57,1376,85.5,-3.5,10101011,5.87,0,0,0,aktywna,6.21,0, , ,aktywna
,6.57,1952,85.5,0.0,10101011,6.94,0,0,0,nieaktywna,7.29,0, , ,nieaktywna
,7.60,1184,85.5,0.0,10101011,7.93,0,0,0,aktywna,8.28,0, , ,aktywna
,8.67,1440,85.5,-2.7,10101011,9.03,0,0,0,nieaktywna,9.39,0, , ,nieaktywna
,9.77,1696,85.5,-0.4,10101011,10.13,0,0,0,nieaktywna,10.51,0, , ,nieaktywna
,10.85,1984,85.5,0.8,10101011,11.18,0,0,0,nieaktywna,11.52,0, , ,aktywna
,11.86,2208,85.5,2.7,10101001,12.20,0,0,0,aktywna,12.58,0, , ,aktywna
,12.92,2528,87.0,-4.7,10101001,13.28,0,0,0,nieaktywna,13.64,0, , ,nieaktywna
,13.98,1568,87.0,0.0,10101011,14.35,0,0,0,aktywna,14.71,0, , ,aktywna
,15.08,1792,85.5,0.0,10101011,15.45,0,0,0,aktywna,15.83,0, , ,aktywna
,16.19,1984,87.0,-3.9,10101001,16.54,0,0,0,aktywna,16.88,0, , ,aktywna
,17.22,2144,87.0,-4.3,10101001,17.58,0,0,0,aktywna,17.94,0, , ,aktywna
,18.29,2304,85.5,-7.8,10101001,18.66,0,0,0,aktywna,19.03,0, , ,aktywna
,19.39,2304,87.0,0.0,10111101,19.75,0,0,0,nieaktywna,20.09,0, , ,nieaktywna
,20.48,1824,85.5,0.0,10101011,20.86,0,0,0,aktywna,21.21,0, , ,aktywna
,21.57,1824,87.0,0.0,10101011,21.94,0,0,0,nieaktywna,22.31,0, , ,nieaktywna
,22.70,1920,85.5,0.0,10101011,23.07,0,0,0,nieaktywna,23.42,0, , ,nieaktywna
,23.80,1984,87.0,-5.5,11101001,24.17,0,0,0,aktywna,24.52,0, , ,aktywna
,24.87,2080,85.5,-10.5,11101001,25.20,0,0,0,aktywna,25.56,0, , ,aktywna
,25.91,2144,85.5,-8.6,11101001,26.26,0,0,0,aktywna,26.61,0, , ,aktywna
,26.95,2208,87.0,-3.5,11101001,27.31,0,0,0,aktywna,27.66,0, , ,aktywna
,27.99,2272,85.5,-2.7,11101001,28.33,0,0,0,aktywna,28.66,0, , ,aktywna
,29.00,2336,85.5,-4.7,11101001,29.32,0,0,0,aktywna,29.65,0, , ,aktywna
,30.00,2432,85.5,-7.0,11101001,30.35,0,0,0,aktywna,30.66,0, , ,aktywna
,31.01,2496,85.5,-7.8,11101001,31.35,0,0,0,aktywna,31.68,0, , ,aktywna
,32.01,2624,85.5,-9.8,11101001,32.34,0,0,0,aktywna,32.68,0, , ,aktywna
,33.01,2688,85.5,-10.5,11101001,33.34,0,0,0,aktywna,33.69,0, , ,aktywna
,34.04,2784,85.5,-12.1,11101001,34.36,0,0,0,nieaktywna,34.72,0, , ,nieaktywna
,35.11,1376,85.5,0.0,11101011,35.46,0,0,0,aktywna,35.79,0, , ,aktywna
,36.14,2144,85.5,0.0,11101001,36.49,0,0,0,aktywna,36.83,0, , ,aktywna
,37.16,2176,85.5,-7.8,11101001,37.50,0,0,0,aktywna,37.84,0, , ,aktywna
,38.16,2176,85.5,0.0,11101001,38.49,0,0,0,nieaktywna,38.82,0, , ,nieaktywna
,39.16,2144,85.5,12.1,11101001,39.52,0,0,0,nieaktywna,39.87,0, , ,nieaktywna
,40.23,2112,85.5,5.1,11101001,40.56,0,0,0,nieaktywna,40.90,0, , ,nieaktywna
,41.24,2112,85.5,4.3,11101001,41.58,0,0,0,nieaktywna,41.93,0, , ,nieaktywna
,42.28,2048,85.5,3.1,11101001,42.64,0,0,0,aktywna,42.99,0, , ,aktywna
,43.33,2016,85.5,-3.5,11101001,43.68,0,0,0,aktywna,44.03,0, , ,aktywna
,44.39,2016,85.5,-8.2,11101001,44.74,0,0,0,aktywna,45.08,0, , ,aktywna
,45.43,2016,84.0,-8.2,11101001,45.77,0,0,0,aktywna,46.13,0, , ,aktywna
,46.47,2016,84.0,0.0,11101001,46.82,0,0,0,aktywna,47.18,0, , ,aktywna
,47.53,2016,84.0,0.4,11101001,47.88,0,0,0,aktywna,48.23,0, , ,aktywna
,48.57,2048,84.0,1.2,11101001,48.92,0,0,0,aktywna,49.27,0, , ,aktywna
,49.61,2048,84.0,1.2,11101001,49.96,0,0,0,aktywna,50.30,0, , ,aktywna
,50.65,2080,84.0,4.3,11101001,50.99,0,0,0,aktywna,51.35,0, , ,aktywna
,51.69,2080,84.0,4.3,11101001,52.05,0,0,0,aktywna,52.39,0, , ,aktywna
,52.74,2048,84.0,-5.5,11101001,53.09,0,0,0,aktywna,53.44,0, , ,aktywna
,53.79,2048,84.0,-2.7,11101001,54.13,0,0,0,aktywna,54.48,0, , ,aktywna
,54.83,2048,84.0,0.4,11101001,55.18,0,0,0,aktywna,55.51,0, , ,aktywna
,55.85,2048,84.0,0.0,11101001,56.19,0,0,0,aktywna,56.54,0, , ,aktywna
,56.90,2080,82.5,-1.6,11101001,57.24,0,0,0,aktywna,57.60,0, , ,aktywna
,57.94,2112,84.0,-2.7,11101001,58.30,0,0,0,aktywna,58.64,0, , ,aktywna
,58.99,2144,82.5,0.0,11101001,59.35,0,0,0,aktywna,59.68,0, , ,aktywna
,60.03,2144,82.5,7.4,11101001,60.36,0,0,0,aktywna,60.70,0, , ,aktywna
,61.06,2112,82.5,14.1,11101001,61.41,0,0,0,aktywna,61.76,0, , ,aktywna
,62.08,2112,82.5,0.0,11101001,62.43,0,0,0,nieaktywna,62.77,0, , ,nieaktywna
,63.11,2048,82.5,9.0,11111101,63.46,0,0,0,nieaktywna,63.79,0, , ,nieaktywna
,64.13,2016,82.5,0.0,11111101,64.49,0,0,0,nieaktywna,64.85,0, , ,nieaktywna
,65.18,1952,82.5,0.0,11111111,65.53,0,0,0,nieaktywna,65.87,0, , ,nieaktywna
,66.22,1856,82.5,0.0,11111111,66.55,0,0,0,nieaktywna,66.90,0, , ,nieaktywna
,67.24,1728,82.5,0.0,11111111,67.56,0,0,0,nieaktywna,67.92,0, , ,nieaktywna
,68.27,1600,82.5,0.0,11111111,68.59,0,0,0,nieaktywna,68.92,0, , ,nieaktywna
,69.28,1568,82.5,0.0,11111111,69.64,0,0,0,nieaktywna,69.97,0, , ,nieaktywna
,70.32,1536,82.5,0.0,11111111,70.73,0,0,0,nieaktywna,70.99,0, , ,nieaktywna
,71.26,1472,81.0,0.0,11111111,71.57,0,0,0,nieaktywna,71.91,0, , ,nieaktywna
,72.28,1472,81.0,0.0,11111111,72.63,0,0,0,nieaktywna,72.96,0, , ,nieaktywna
,73.29,1408,81.0,0.0,11111111,73.60,0,0,0,nieaktywna,73.90,0, , ,nieaktywna
