Piątek,14,Sierpień,2026,21:16:12:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'002,,,,Grupa B:,'015,,,,Grupa C:,'016
,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Zliczanie,Zliczanie,Zliczanie, ,,Zliczanie, , , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min, %, ms, mbar,ZAPISU,,,,,ZAPISU,,,,
,0.88,800,26.7,3.09,397.8,0.25,0,0,0,aktywna,0.56,0, , ,aktywna
,1.77,768,26.7,3.09,397.8,1.17,0,0,0,aktywna,1.47,0, , ,aktywna
,2.67,768,26.7,3.09,397.8,2.07,0,0,0,aktywna,2.36,0, , ,aktywna
,3.49,672,31.0,4.12,438.6,2.94,0,0,0,aktywna,3.21,0, , ,aktywna
,4.35,832,36.9,4.12,499.8,3.77,0,0,0,nieaktywna,4.05,0, , ,nieaktywna
,5.22,800,29.4,4.12,418.2,4.64,0,0,0,aktywna,4.93,0, , ,aktywna
,6.11,800,29.4,4.12,418.2,5.52,0,0,0,aktywna,5.82,0, , ,aktywna
,7.01,800,29.4,4.12,418.2,6.42,0,0,0,aktywna,6.72,0, , ,aktywna
,7.91,768,29.4,4.12,418.2,7.32,0,0,0,aktywna,7.61,0, , ,aktywna
,8.81,800,29.4,4.12,418.2,8.21,0,0,0,aktywna,8.51,0, , ,aktywna
,9.71,768,29.4,4.12,418.2,9.10,0,0,0,aktywna,9.40,0, , ,aktywna
,10.64,800,29.4,4.12,418.2,10.01,0,0,0,aktywna,10.33,0, , ,aktywna
,11.52,800,29.4,4.12,418.2,10.93,0,0,0,aktywna,11.23,0, , ,aktywna
,12.43,736,34.1,4.12,459.0,11.81,0,0,0,aktywna,12.10,0, , ,aktywna
,13.32,704,41.2,5.15,550.8,12.72,0,0,0,aktywna,13.01,0, , ,aktywna
,14.25,1312,42.7,5.15,550.8,13.60,0,0,0,nieaktywna,13.93,0, , ,nieaktywna
,15.23,1024,45.9,6.18,571.2,14.59,0,0,0,aktywna,14.91,0, , ,aktywna
,16.12,1152,32.5,4.12,438.6,15.51,0,0,0,aktywna,15.81,0, , ,nieaktywna
,17.10,1120,23.5,3.09,357.0,16.45,0,0,0,aktywna,16.78,0, , ,aktywna
,17.98,832,28.2,4.12,418.2,17.37,0,0,0,aktywna,17.67,0, , ,aktywna
,18.87,864,26.7,3.09,397.8,18.28,0,0,0,aktywna,18.58,0, , ,aktywna
,19.81,800,31.0,4.12,438.6,19.18,0,0,0,aktywna,19.50,0, , ,aktywna
,20.71,800,29.4,4.12,438.6,20.11,0,0,0,aktywna,20.41,0, , ,aktywna
,21.64,1344,45.9,6.18,591.6,21.01,0,0,0,aktywna,21.31,0, , ,aktywna
,22.53,896,56.1,8.24,693.6,21.95,0,0,0,aktywna,22.25,0, , ,aktywna
,23.45,1024,29.4,4.12,418.2,22.84,0,0,0,aktywna,23.17,0, , ,aktywna
,24.32,768,51.8,8.24,632.4,23.75,0,0,0,aktywna,24.04,0, , ,aktywna
,25.21,1120,53.3,7.21,652.8,24.58,0,0,0,aktywna,24.90,0, , ,aktywna
,26.14,1472,40.0,5.15,499.8,25.52,0,0,0,aktywna,25.88,0, , ,aktywna
,27.20,1664,34.1,5.15,438.6,26.49,0,0,0,aktywna,26.85,0, , ,aktywna
,28.34,1760,25.1,3.09,336.6,27.60,0,0,0,aktywna,27.97,0, , ,aktywna
,29.39,1696,22.0,3.09,316.2,28.68,0,0,0,aktywna,29.01,0, , ,aktywna
,30.46,1632,29.4,4.12,377.4,29.73,0,0,0,aktywna,30.10,0, , ,aktywna
,31.52,1984,59.2,9.27,673.2,30.83,0,0,0,aktywna,31.18,0, , ,aktywna
,32.46,1088,25.1,3.09,357.0,31.86,0,0,0,nieaktywna,32.15,0, , ,nieaktywna
,33.41,1248,42.7,6.18,550.8,32.78,0,0,0,aktywna,33.08,0, , ,aktywna
,34.40,1408,69.4,10.30,795.6,33.72,0,0,0,aktywna,34.05,0, , ,aktywna
,35.49,1728,60.4,9.27,693.6,34.75,0,0,0,aktywna,35.14,0, , ,aktywna
,36.59,1952,44.3,6.18,550.8,35.86,0,0,0,aktywna,36.23,0, , ,aktywna
,37.65,2112,38.4,5.15,459.0,36.95,0,0,0,aktywna,37.31,0, , ,aktywna
,38.65,2176,36.9,5.15,438.6,37.97,0,0,0,aktywna,38.32,0, , ,aktywna
,39.64,2240,36.9,5.15,438.6,38.99,0,0,0,aktywna,39.32,0, , ,aktywna
,40.64,2304,44.3,6.18,520.2,39.97,0,0,0,aktywna,40.31,0, , ,aktywna
,41.62,1888,0.0,0.00,336.6,40.98,0,0,0,aktywna,41.32,0, , ,nieaktywna
,42.59,1056,26.7,4.12,377.4,41.94,0,0,0,nieaktywna,42.26,0, , ,nieaktywna
,43.53,896,25.1,3.09,377.4,42.92,0,0,0,aktywna,43.23,0, , ,aktywna
,44.45,896,28.2,4.12,397.8,43.85,0,0,0,aktywna,44.16,0, , ,aktywna
,45.36,896,28.2,4.12,397.8,44.75,0,0,0,aktywna,45.06,0, , ,aktywna
,46.29,896,28.2,4.12,397.8,45.66,0,0,0,aktywna,45.98,0, , ,aktywna
,47.19,896,28.2,4.12,397.8,46.59,0,0,0,aktywna,46.89,0, , ,aktywna
,48.09,896,28.2,4.12,397.8,47.49,0,0,0,aktywna,47.79,0, , ,aktywna
,49.02,896,28.2,4.12,397.8,48.39,0,0,0,aktywna,48.70,0, , ,aktywna
,49.91,768,26.7,3.09,397.8,49.32,0,0,0,aktywna,49.62,0, , ,aktywna
,50.81,768,29.4,4.12,438.6,50.22,0,0,0,aktywna,50.51,0, , ,aktywna
,51.72,800,28.2,4.12,418.2,51.11,0,0,0,aktywna,51.41,0, , ,aktywna
,52.60,768,28.2,4.12,418.2,52.01,0,0,0,aktywna,52.31,0, , ,aktywna
,53.50,768,28.2,4.12,418.2,52.90,0,0,0,aktywna,53.20,0, , ,aktywna
,54.41,768,29.4,4.12,418.2,53.81,0,0,0,aktywna,54.11,0, , ,aktywna
,55.30,768,28.2,4.12,418.2,54.70,0,0,0,aktywna,55.00,0, , ,aktywna
