Piątek,14,Sierpień,2026,21:17:20:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'015,,,,Grupa C:,'016
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Zliczanie,Zliczanie,Zliczanie, ,,Zliczanie, , , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU,,,,,ZAPISU,,,,
,0.30,800,84.0,3.1,10111111,0.60,0,0,0,aktywna,0.01,0, , ,aktywna
,1.20,800,84.0,3.1,10111111,1.50,0,0,0,aktywna,0.89,0, , ,aktywna
,2.16,928,84.0,5.5,10101011,2.46,0,0,0,aktywna,1.81,0, , ,aktywna
,3.10,1376,84.0,0.0,10101011,3.44,0,0,0,aktywna,2.77,0, , ,aktywna
,4.05,864,84.0,0.0,10111111,4.34,0,0,0,aktywna,3.74,0, , ,aktywna
,4.94,896,84.0,0.0,10111111,5.24,0,0,0,aktywna,4.63,0, , ,aktywna
,5.85,800,84.0,2.7,10101011,6.16,0,0,0,aktywna,5.55,0, , ,aktywna
,6.86,1984,84.0,0.0,10101011,7.18,0,0,0,aktywna,6.49,0, , ,aktywna
,7.91,1952,84.0,-1.6,10101011,8.25,0,0,0,nieaktywna,7.55,0, , ,aktywna
,8.94,1056,84.0,0.0,10101011,9.24,0,0,0,aktywna,8.62,0, , ,nieaktywna
,9.88,1216,85.5,0.0,10101011,10.20,0,0,0,aktywna,9.56,0, , ,aktywna
,10.81,1472,85.5,0.0,10101011,11.17,0,0,0,nieaktywna,10.54,0, , ,aktywna
,11.88,1792,85.5,0.0,10101011,12.22,0,0,0,nieaktywna,11.52,0, , ,nieaktywna
,12.94,2016,84.0,0.0,10101001,13.29,0,0,0,aktywna,12.59,0, , ,nieaktywna
,14.00,2144,84.0,-2.7,10101001,14.33,0,0,0,aktywna,13.65,0, , ,aktywna
,15.00,2208,85.5,-6.3,10101001,15.32,0,0,0,aktywna,14.67,0, , ,aktywna
,15.99,2272,85.5,-7.4,10101001,16.32,0,0,0,aktywna,15.65,0, , ,aktywna
,16.97,2368,84.0,-6.6,10101001,17.34,0,0,0,aktywna,16.66,0, , ,aktywna
,18.04,2464,85.5,-5.9,10101001,18.39,0,0,0,aktywna,17.67,0, , ,aktywna
,19.09,2048,84.0,0.0,10111101,19.42,0,0,0,nieaktywna,18.73,0, , ,nieaktywna
,20.05,1184,84.0,0.0,10111111,20.36,0,0,0,aktywna,19.74,0, , ,nieaktywna
,21.15,1600,84.0,0.0,10111111,21.51,0,0,0,nieaktywna,20.82,0, , ,aktywna
,22.18,1760,84.0,0.0,10111111,22.54,0,0,0,nieaktywna,21.85,0, , ,nieaktywna
,23.25,1728,84.0,0.0,10111111,23.60,0,0,0,nieaktywna,22.90,0, , ,nieaktywna
,24.25,1728,84.0,0.0,10111111,24.60,0,0,0,nieaktywna,23.92,0, , ,nieaktywna
,25.32,1728,84.0,0.0,10111111,25.68,0,0,0,nieaktywna,24.98,0, , ,nieaktywna
,26.35,1696,84.0,0.0,10111111,26.68,0,0,0,nieaktywna,26.02,0, , ,nieaktywna
,27.36,1696,84.0,0.0,10111111,27.71,0,0,0,nieaktywna,27.01,0, , ,nieaktywna
,28.39,1728,85.5,0.0,10111111,28.72,0,0,0,nieaktywna,28.04,0, , ,nieaktywna
,29.40,1728,85.5,0.0,10111111,29.75,0,0,0,nieaktywna,29.06,0, , ,nieaktywna
,30.36,896,85.5,0.0,10111111,30.65,0,0,0,nieaktywna,30.06,0, , ,nieaktywna
,31.26,896,84.0,0.0,10111111,31.58,0,0,0,aktywna,30.96,0, , ,aktywna
,32.21,864,84.0,0.0,10111111,32.51,0,0,0,aktywna,31.89,0, , ,aktywna
,33.15,864,84.0,1.2,10111111,33.46,0,0,0,aktywna,32.82,0, , ,aktywna
,34.05,896,85.5,3.9,10111111,34.35,0,0,0,aktywna,33.75,0, , ,aktywna
,34.97,896,85.5,5.5,10111111,35.26,0,0,0,aktywna,34.65,0, , ,aktywna
,35.91,896,84.0,5.9,10111111,36.22,0,0,0,aktywna,35.58,0, , ,aktywna
,36.86,896,84.0,6.6,10111111,37.19,0,0,0,aktywna,36.53,0, , ,aktywna
,37.81,896,84.0,6.3,10111111,38.11,0,0,0,nieaktywna,37.52,0, , ,aktywna
,38.74,896,84.0,5.1,10111111,39.08,0,0,0,nieaktywna,38.42,0, , ,nieaktywna
,39.74,1216,85.5,4.7,10111111,40.05,0,0,0,nieaktywna,39.41,0, , ,nieaktywna
,40.70,1280,85.5,12.5,10101011,41.03,0,0,0,aktywna,40.37,0, , ,nieaktywna
,41.67,1280,85.5,12.5,10101011,42.01,0,0,0,aktywna,41.36,0, , ,aktywna
,42.66,1408,85.5,0.0,10101011,43.03,0,0,0,aktywna,42.35,0, , ,aktywna
,43.64,1504,85.5,0.0,10101011,43.98,0,0,0,aktywna,43.30,0, , ,aktywna
,44.63,1664,85.5,0.0,10101011,45.00,0,0,0,aktywna,44.31,0, , ,aktywna
,45.68,1920,85.5,0.0,10101011,46.04,0,0,0,aktywna,45.32,0, , ,aktywna
,46.73,2016,85.5,0.0,10111101,47.05,0,0,0,nieaktywna,46.39,0, , ,aktywna
,47.68,1536,85.5,0.0,10101011,48.01,0,0,0,aktywna,47.36,0, , ,nieaktywna
,48.70,1632,85.5,0.0,10101011,49.06,0,0,0,nieaktywna,48.37,0, , ,nieaktywna
,49.80,1664,85.5,-0.8,10111111,50.13,0,0,0,aktywna,49.44,0, , ,aktywna
,50.80,1664,85.5,2.0,10111111,51.14,0,0,0,aktywna,50.47,0, , ,aktywna
,51.83,1664,85.5,0.0,10111111,52.19,0,0,0,nieaktywna,51.47,0, , ,nieaktywna
,52.84,1632,85.5,0.0,10111111,53.17,0,0,0,nieaktywna,52.51,0, , ,nieaktywna
,53.87,1600,85.5,0.0,10111111,54.21,0,0,0,nieaktywna,53.53,0, , ,nieaktywna
,54.88,1568,85.5,0.0,10111111,55.20,0,0,0,nieaktywna,54.53,0, , ,nieaktywna
,55.92,1536,85.5,0.0,10101011,56.26,0,0,0,aktywna,55.55,0, , ,aktywna
,56.98,1536,85.5,2.0,10101011,57.33,0,0,0,aktywna,56.62,0, , ,aktywna
,58.03,1536,85.5,0.0,10101011,58.40,0,0,0,aktywna,57.68,0, , ,aktywna
,59.12,1536,85.5,1.2,10101011,59.47,0,0,0,aktywna,58.76,0, , ,aktywna
,60.19,1600,85.5,0.0,10101011,60.55,0,0,0,aktywna,59.83,0, , ,aktywna
,61.30,1696,85.5,0.4,10101011,61.65,0,0,0,aktywna,60.92,0, , ,aktywna
,62.28,1024,85.5,0.0,10111111,62.62,0,0,0,nieaktywna,61.99,0, , ,nieaktywna
,63.24,960,85.5,0.0,10111111,63.57,0,0,0,aktywna,62.93,0, , ,aktywna
,64.19,864,85.5,0.0,10111111,64.49,0,0,0,aktywna,63.88,0, , ,aktywna
,65.10,896,85.5,0.4,10111111,65.41,0,0,0,aktywna,64.80,0, , ,aktywna
,66.04,896,85.5,2.3,10111111,66.36,0,0,0,aktywna,65.72,0, , ,aktywna
,66.96,896,85.5,3.5,10111111,67.26,0,0,0,aktywna,66.66,0, , ,aktywna
,67.88,896,85.5,4.7,10111111,68.17,0,0,0,aktywna,67.56,0, , ,aktywna
,68.80,1120,85.5,5.1,10101011,69.13,0,0,0,aktywna,68.49,0, , ,aktywna
,69.75,1152,85.5,10.5,10101011,70.08,0,0,0,aktywna,69.44,0, , ,aktywna
,70.79,1344,85.5,7.0,10101011,71.12,0,0,0,aktywna,70.43,0, , ,aktywna
,71.75,960,85.5,0.0,10111111,72.08,0,0,0,nieaktywna,71.46,0, , ,nieaktywna
