Piątek,14,Sierpień,2026,21:36:50:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'003
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Obroty silnika,Ciśnienie rzecz.,Obciążenie,Kąt w.zapłonu
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, /min, mbar, %, *PGMP
,0.83,800,93.0,0.0,10111111,0.27,800,26.7,3.09,397.8,0.55,768,397.8,2.7,6.8
,1.73,800,93.0,0.4,10111111,1.12,768,26.7,3.09,397.8,1.42,800,397.8,2.7,4.5
,2.64,800,93.0,0.4,10111111,2.03,768,26.7,3.09,397.8,2.34,800,397.8,2.7,5.3
,3.54,800,93.0,0.8,10111111,2.94,800,26.7,3.09,397.8,3.23,800,397.8,2.7,5.3
,4.44,800,93.0,1.2,10111111,3.84,800,25.1,3.09,397.8,4.14,800,397.8,2.7,3.0
,5.28,800,93.0,1.2,10111111,4.72,768,25.1,3.09,397.8,5.00,768,397.8,2.7,5.3
,6.19,768,93.0,0.8,10111111,5.58,768,25.1,3.09,397.8,5.89,800,397.8,2.7,4.5
,7.09,768,93.0,0.4,10111111,6.48,800,25.1,3.09,397.8,6.78,800,397.8,2.7,6.0
,7.98,800,93.0,1.2,10111111,7.39,800,25.1,3.09,397.8,7.68,800,397.8,2.7,4.5
,8.88,768,93.0,1.2,10111111,8.28,800,25.1,3.09,397.8,8.58,800,397.8,2.7,6.0
,9.78,768,93.0,1.2,10111111,9.18,768,25.1,3.09,397.8,9.49,768,397.8,2.7,6.0
,10.68,768,91.5,1.2,10111111,10.08,768,25.1,3.09,397.8,10.38,800,397.8,2.7,6.8
,11.57,768,91.5,0.4,10111111,10.98,800,25.1,3.09,397.8,11.28,800,397.8,2.7,4.5
,12.45,768,91.5,0.0,10111111,11.87,800,25.1,3.09,397.8,12.15,768,397.8,2.7,6.0
,13.35,800,91.5,0.0,10111111,12.74,768,25.1,3.09,397.8,13.04,800,397.8,2.7,5.3
,14.22,800,91.5,0.0,10111111,13.66,800,25.1,3.09,397.8,13.94,800,397.8,2.7,6.0
,15.13,800,91.5,0.0,10111111,14.51,800,25.1,3.09,397.8,14.84,800,397.8,2.7,5.3
,16.02,800,91.5,0.0,10111111,15.42,768,25.1,3.09,397.8,15.72,800,397.8,2.7,6.0
,16.90,800,91.5,0.0,10111111,16.30,800,25.1,3.09,397.8,16.60,800,397.8,2.7,4.5
,17.80,768,91.5,0.0,10111111,17.19,800,25.1,3.09,377.4,17.48,800,397.8,2.7,6.0
,18.70,800,91.5,0.0,10111111,18.09,768,25.1,3.09,397.8,18.39,800,397.8,2.7,6.0
,19.59,800,91.5,0.0,10111111,19.00,800,25.1,3.09,397.8,19.29,800,397.8,2.7,5.3
,20.47,768,91.5,0.0,10111111,19.89,768,25.1,3.09,397.8,20.19,800,397.8,2.7,6.0
,21.36,768,91.5,0.0,10111111,20.76,768,25.1,3.09,397.8,21.06,768,397.8,2.7,6.0
,22.24,768,91.5,0.0,10111111,21.64,768,25.1,3.09,397.8,21.94,768,397.8,2.7,6.0
,23.17,768,91.5,0.0,10111111,22.54,800,25.1,3.09,397.8,22.85,800,397.8,2.7,6.8
,24.06,768,91.5,-0.4,10111111,23.47,800,25.1,3.09,397.8,23.76,768,397.8,2.7,6.0
,24.96,800,91.5,-0.4,10111111,24.36,768,25.1,3.09,397.8,24.66,768,397.8,2.7,6.0
,25.86,768,91.5,-0.4,10111111,25.26,800,25.1,3.09,397.8,25.56,768,397.8,2.7,5.3
,26.73,768,91.5,-0.4,10111111,26.15,800,25.1,3.09,397.8,26.44,768,397.8,2.7,5.3
,27.64,800,91.5,0.0,10111111,27.04,800,26.7,3.09,397.8,27.34,800,397.8,2.7,5.3
,28.53,800,93.0,0.0,10111111,27.94,800,25.1,3.09,397.8,28.23,800,397.8,2.7,4.5
,29.42,768,93.0,0.0,10111111,28.83,768,25.1,3.09,397.8,29.12,768,377.4,2.7,6.0
,30.30,800,93.0,0.0,10111111,29.72,768,25.1,3.09,397.8,30.01,768,397.8,2.7,6.0
,31.21,768,93.0,-0.4,10111111,30.59,800,25.1,3.09,377.4,30.90,800,377.4,2.7,4.5
,32.10,800,93.0,-0.4,10111111,31.50,768,25.1,3.09,397.8,31.80,768,397.8,2.7,6.8
,33.00,768,93.0,-0.4,10111111,32.40,768,25.1,3.09,397.8,32.70,800,397.8,2.7,5.3
,33.90,800,93.0,-0.4,10111111,33.30,800,25.1,3.09,397.8,33.60,768,397.8,2.7,6.0
,34.78,800,93.0,-0.4,10111111,34.20,768,25.1,3.09,397.8,34.49,768,397.8,2.7,7.5
,35.69,800,93.0,-0.4,10111111,35.09,768,25.1,3.09,397.8,35.39,800,397.8,2.7,5.3
,36.58,768,93.0,-0.4,10111111,35.99,768,25.1,3.09,377.4,36.28,800,377.4,2.7,6.0
,37.46,768,93.0,-0.8,10111111,36.88,768,25.1,3.09,397.8,37.17,800,397.8,2.7,5.3
,38.39,800,93.0,-0.8,10111111,37.76,800,25.1,3.09,397.8,38.07,800,397.8,2.7,6.8
,39.29,800,93.0,-0.8,10111111,38.69,768,25.1,3.09,397.8,38.99,768,397.8,2.7,6.8
,40.19,768,93.0,-0.8,10111111,39.59,800,25.1,3.09,377.4,39.89,768,377.4,2.7,8.3
,41.09,800,93.0,-0.8,10111111,40.49,800,25.1,3.09,377.4,40.79,768,397.8,2.7,7.5
,41.99,800,94.5,-0.8,10111111,41.39,768,25.1,3.09,397.8,41.68,800,397.8,2.7,5.3
,42.88,768,94.5,-0.8,10111111,42.28,768,25.1,3.09,377.4,42.58,800,397.8,2.7,5.3
,43.80,768,94.5,-0.4,10111111,43.19,768,25.1,3.09,397.8,43.49,800,377.4,2.7,5.3
,44.69,800,94.5,-0.4,10111111,44.09,768,25.1,3.09,397.8,44.39,800,397.8,2.7,6.0
,45.61,768,94.5,-0.4,10111111,44.99,768,25.1,3.09,377.4,45.29,800,377.4,2.7,5.3
,46.52,768,94.5,-0.4,10111111,45.93,768,25.1,3.09,397.8,46.24,800,397.8,2.7,6.8
,47.43,768,94.5,0.0,10111111,46.82,800,25.1,3.09,397.8,47.13,800,397.8,2.7,6.8
