Piątek,14,Sierpień,2026,21:41:23:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.26,0,100.5,0.0,10110111,0.53,0,0.0,0.00,989.4,0.01,0.0,1.48, , 
,1.06,0,102.0,0.0,10110111,1.32,0,0.0,0.00,989.4,0.79,0.0,1.48, , 
,1.85,0,102.0,0.0,10110111,2.13,0,0.0,0.00,989.4,1.59,0.0,1.48, , 
,2.68,0,102.0,0.0,10110111,2.95,0,0.0,0.00,989.4,2.41,0.0,1.48, , 
,3.48,0,102.0,0.0,10110111,3.75,0,0.0,0.00,989.4,3.21,0.0,1.48, , 
,4.28,0,102.0,0.0,10110111,4.54,0,0.0,0.00,989.4,4.01,0.0,1.48, , 
,5.07,0,102.0,0.0,10110111,5.34,0,0.0,0.00,989.4,4.81,0.0,1.48, , 
,5.87,0,102.0,0.0,10110111,6.14,0,0.0,0.00,989.4,5.61,0.0,1.48, , 
,6.69,0,102.0,0.0,10110111,6.96,0,0.0,0.00,989.4,6.41,0.0,1.48, , 
,7.51,0,102.0,0.0,10110111,7.78,0,0.0,0.00,989.4,7.24,0.0,1.48, , 
,8.31,0,102.0,0.0,10110111,8.57,0,0.0,0.00,989.4,8.04,0.0,1.48, , 
,9.10,0,102.0,0.0,10110111,9.38,0,0.0,0.00,989.4,8.84,0.0,1.48, , 
,9.92,224,102.0,0.0,10110111,10.20,224,81.2,18.54,969.0,9.65,0.0,1.48, , 
,10.80,1184,102.0,0.0,10110111,11.14,1152,31.0,5.15,418.2,10.50,0.0,1.48, , 
,11.71,992,102.0,0.0,10110111,12.02,896,28.2,4.12,397.8,11.45,0.0,1.48, , 
,12.64,864,102.0,0.0,10110111,12.93,864,29.4,4.12,418.2,12.33,0.0,1.48, , 
,13.53,800,102.0,0.0,10110111,13.83,800,29.4,4.12,438.6,13.23,0.0,1.48, , 
,14.43,832,100.5,0.0,10110111,14.73,832,29.4,4.12,438.6,14.14,0.0,1.48, , 
,15.33,832,100.5,0.0,10110111,15.62,832,29.4,4.12,418.2,15.02,0.0,1.48, , 
,16.22,832,100.5,0.0,10110111,16.51,800,28.2,4.12,418.2,15.92,0.0,1.45, , 
,17.15,800,99.0,0.0,10110111,17.45,800,28.2,4.12,418.2,16.84,0.0,1.41, , 
,18.05,800,99.0,0.0,10110111,18.36,832,26.7,4.12,397.8,17.74,0.0,1.33, , 
,18.91,800,99.0,0.0,10110111,19.21,800,26.7,4.12,397.8,18.63,0.0,1.25, , 
,19.79,800,99.0,0.0,10110111,20.10,832,26.7,4.12,397.8,19.50,0.0,1.17, , 
,20.70,832,97.5,0.0,10110111,21.01,800,26.7,4.12,397.8,20.40,0.0,1.21, , 
,21.63,800,96.0,0.0,10110111,21.93,800,25.1,4.12,397.8,21.32,0.0,1.21, , 
,22.49,800,94.5,0.0,10110111,22.79,800,25.1,4.12,377.4,22.22,0.0,1.21, , 
,23.40,800,94.5,0.0,10110111,23.69,800,25.1,4.12,397.8,23.10,0.0,1.25, , 
,24.27,800,93.0,0.0,10110111,24.59,800,25.1,4.12,377.4,23.98,0.0,1.17, , 
,25.19,800,93.0,0.0,10110111,25.50,800,23.5,4.12,377.4,24.89,0.0,1.17, , 
,26.10,800,91.5,0.0,10110111,26.40,800,25.1,4.12,377.4,25.81,0.0,1.17, , 
,27.00,800,91.5,0.0,10110111,27.29,768,23.5,3.09,377.4,26.71,0.0,1.21, , 
,27.88,800,91.5,0.0,10110111,28.19,768,23.5,3.09,377.4,27.58,0.0,1.21, , 
,28.79,800,91.5,0.0,10110111,29.09,768,23.5,3.09,377.4,28.49,0.0,1.21, , 
,29.68,800,91.5,0.0,10110111,29.98,768,23.5,3.09,377.4,29.38,0.0,1.17, , 
,30.58,768,91.5,0.0,10110111,30.88,800,23.5,3.09,377.4,30.29,0.0,1.21, , 
,31.48,800,91.5,0.0,10110111,31.77,768,23.5,3.09,377.4,31.19,0.0,1.25, , 
,32.38,768,91.5,0.0,10110111,32.67,800,23.5,3.09,377.4,32.08,0.0,1.25, , 
,33.25,768,91.5,0.0,10110111,33.54,800,23.5,3.09,377.4,32.97,0.0,1.25, , 
,34.14,800,93.0,0.0,10110111,34.43,768,23.5,3.09,377.4,33.85,0.0,1.25, , 
,35.03,800,91.5,0.0,10110111,35.34,800,23.5,3.09,377.4,34.73,0.0,1.29, , 
,35.91,800,91.5,0.0,10110111,36.20,800,23.5,3.09,377.4,35.62,0.0,1.29, , 
,36.78,768,91.5,0.0,10110111,37.08,800,23.5,3.09,377.4,36.48,0.0,1.29, , 
,37.68,800,93.0,0.0,10110111,37.98,800,23.5,3.09,377.4,37.38,0.0,1.29, , 
,38.62,768,91.5,0.0,10110111,38.93,768,23.5,3.09,377.4,38.30,0.0,1.29, , 
,39.53,800,91.5,0.0,10110111,39.83,768,23.5,3.09,377.4,39.22,0.0,1.33, , 
,40.43,768,93.0,0.0,10110111,40.72,768,23.5,3.09,377.4,40.13,0.0,1.33, , 
,41.31,768,93.0,0.0,10110111,41.61,768,23.5,3.09,377.4,41.01,0.0,1.33, , 
,42.19,768,93.0,0.0,10110111,42.51,768,23.5,3.09,377.4,41.90,0.0,1.37, , 
,43.10,768,91.5,0.0,10110111,43.40,768,23.5,3.09,377.4,42.81,0.0,1.37, , 
,43.99,768,93.0,0.0,10110111,44.29,768,23.5,3.09,377.4,43.70,0.0,1.37, , 
,44.89,800,93.0,0.0,10110111,45.16,768,23.5,3.09,377.4,44.59,0.0,1.41, , 
,45.77,800,91.5,0.0,10110111,46.07,800,23.5,3.09,377.4,45.47,0.0,1.45, , 
,46.65,800,93.0,0.0,10110111,46.95,800,23.5,3.09,377.4,46.36,0.0,1.48, , 
,47.53,768,93.0,0.0,10110111,47.82,800,23.5,3.09,377.4,47.23,0.0,1.48, , 
,48.42,768,93.0,0.0,10110111,48.72,768,23.5,3.09,377.4,48.12,0.0,1.48, , 
,49.31,768,93.0,0.0,10110111,49.60,768,23.5,3.09,377.4,49.01,0.0,1.48, , 
,50.21,768,93.0,0.0,10110111,50.50,768,23.5,3.09,377.4,49.90,0.0,1.48, , 
,51.08,768,93.0,0.0,10110111,51.40,768,25.1,3.09,377.4,50.78,0.0,1.52, , 
,51.99,768,93.0,0.0,10110111,52.30,768,25.1,3.09,377.4,51.70,0.0,1.52, , 
,52.88,800,93.0,0.0,10110111,53.18,768,25.1,3.09,377.4,52.59,0.0,1.52, , 
,53.78,800,93.0,0.0,10110111,54.07,768,25.1,3.09,377.4,53.48,0.0,1.56, , 
