Piątek,14,Sierpień,2026,06:39:04:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'015,,,,Grupa C:,'016
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Zliczanie,Zliczanie,Zliczanie, ,,Zliczanie, , , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU,,,,,ZAPISU,,,,
,0.27,992,19.5,0.0,10110110,0.54,0,0,0,aktywna,0.01,0, , ,aktywna
,1.16,992,19.5,0.0,10110110,1.47,0,0,0,aktywna,0.83,0, , ,aktywna
,2.07,960,19.5,0.0,10110110,2.43,0,0,0,aktywna,1.73,0, , ,aktywna
,3.01,1088,19.5,0.0,10100010,3.36,0,0,0,aktywna,2.70,0, , ,aktywna
,3.98,1056,19.5,0.0,10100010,4.30,0,0,0,aktywna,3.67,0, , ,aktywna
,4.92,1088,19.5,0.0,10100010,5.23,0,0,0,aktywna,4.63,0, , ,aktywna
,5.87,928,19.5,0.0,10100010,6.20,0,0,0,aktywna,5.52,0, , ,aktywna
,6.85,1280,19.5,0.0,10100010,7.18,0,0,0,aktywna,6.51,0, , ,aktywna
,7.86,1344,19.5,0.0,10110110,8.17,0,0,0,nieaktywna,7.51,0, , ,nieaktywna
,8.79,1312,19.5,0.0,10110110,9.12,0,0,0,nieaktywna,8.48,0, , ,nieaktywna
,9.73,1056,19.5,0.0,10110110,10.05,0,0,0,aktywna,9.44,0, , ,nieaktywna
,10.66,928,19.5,0.0,10110110,10.97,0,0,0,aktywna,10.35,0, , ,aktywna
,11.59,928,19.5,0.0,10110110,11.90,0,0,0,aktywna,11.27,0, , ,aktywna
,12.51,864,19.5,0.0,10100010,12.80,0,0,0,aktywna,12.21,0, , ,aktywna
,13.44,1024,19.5,0.0,10110110,13.78,0,0,0,aktywna,13.13,0, , ,nieaktywna
,14.44,928,19.5,0.0,10110110,14.77,0,0,0,aktywna,14.10,0, , ,aktywna
,15.42,960,19.5,0.0,10110110,15.72,0,0,0,aktywna,15.11,0, , ,aktywna
,16.32,896,19.5,0.0,10110110,16.63,0,0,0,aktywna,16.03,0, , ,aktywna
,17.29,928,19.5,0.0,10110110,17.61,0,0,0,aktywna,16.97,0, , ,aktywna
,18.23,928,21.0,0.0,10110110,18.54,0,0,0,aktywna,17.92,0, , ,aktywna
,19.17,928,21.0,0.0,10110110,19.48,0,0,0,aktywna,18.85,0, , ,aktywna
,20.08,992,21.0,0.0,10100010,20.39,0,0,0,aktywna,19.80,0, , ,aktywna
,21.00,896,21.0,0.0,10100010,21.30,0,0,0,aktywna,20.68,0, , ,aktywna
,21.94,1056,21.0,0.0,10100010,22.29,0,0,0,aktywna,21.63,0, , ,aktywna
,22.93,928,21.0,0.0,10100010,23.23,0,0,0,aktywna,22.64,0, , ,aktywna
,23.88,1120,21.0,0.0,10110110,24.19,0,0,0,aktywna,23.55,0, , ,aktywna
,24.86,1152,21.0,0.0,10100010,25.17,0,0,0,aktywna,24.53,0, , ,aktywna
,25.81,1216,21.0,0.0,10100010,26.14,0,0,0,aktywna,25.48,0, , ,aktywna
,26.79,1376,21.0,0.0,10110110,27.06,0,0,0,nieaktywna,26.47,0, , ,aktywna
,27.73,1504,21.0,0.0,10110110,28.09,0,0,0,nieaktywna,27.46,0, , ,nieaktywna
,28.71,1152,21.0,0.0,10110110,29.03,0,0,0,aktywna,28.39,0, , ,nieaktywna
,29.66,928,21.0,0.0,10110110,29.96,0,0,0,aktywna,29.33,0, , ,aktywna
,30.57,832,21.0,0.0,10100010,30.87,0,0,0,aktywna,30.27,0, , ,aktywna
,31.52,1184,21.0,0.0,10100010,31.84,0,0,0,aktywna,31.19,0, , ,aktywna
,32.50,1120,22.5,0.0,10101010,32.81,0,0,0,aktywna,32.16,0, , ,aktywna
,33.42,928,22.5,0.0,10101010,33.69,0,0,0,aktywna,33.11,0, , ,aktywna
,34.35,1184,22.5,0.0,10111110,34.69,0,0,0,aktywna,34.02,0, , ,aktywna
,35.28,960,22.5,0.0,10101010,35.60,0,0,0,aktywna,35.00,0, , ,aktywna
,36.24,1152,22.5,0.8,10101010,36.57,0,0,0,aktywna,35.93,0, , ,aktywna
,37.17,800,22.5,0.0,10101010,37.50,0,0,0,aktywna,36.87,0, , ,aktywna
,38.15,1152,22.5,0.0,10101010,38.48,0,0,0,aktywna,37.83,0, , ,aktywna
,39.17,1696,22.5,0.0,10101010,39.53,0,0,0,aktywna,38.81,0, , ,aktywna
,40.20,2240,22.5,0.0,10111100,40.52,0,0,0,nieaktywna,39.86,0, , ,aktywna
,41.23,1760,22.5,0.0,10101010,41.57,0,0,0,aktywna,40.89,0, , ,nieaktywna
,42.21,1280,22.5,0.0,10101010,42.55,0,0,0,aktywna,41.88,0, , ,aktywna
,43.26,1472,24.0,0.0,10101010,43.62,0,0,0,aktywna,42.86,0, , ,aktywna
,44.37,1696,24.0,0.0,10101010,44.75,0,0,0,aktywna,43.98,0, , ,aktywna
,45.49,1888,24.0,-10.5,10101010,45.85,0,0,0,aktywna,45.12,0, , ,aktywna
,46.56,2048,24.0,-13.3,10101000,46.90,0,0,0,aktywna,46.21,0, , ,aktywna
,47.58,2144,24.0,-8.2,10101000,47.90,0,0,0,aktywna,47.25,0, , ,aktywna
,48.57,2336,24.0,0.0,10101000,48.93,0,0,0,aktywna,48.23,0, , ,aktywna
,49.65,2304,24.0,0.0,10111100,49.96,0,0,0,nieaktywna,49.28,0, , ,aktywna
,50.61,1280,24.0,0.0,10111110,50.94,0,0,0,nieaktywna,50.26,0, , ,nieaktywna
,51.58,1120,24.0,-16.4,10111110,51.87,0,0,0,aktywna,51.25,0, , ,nieaktywna
,52.47,992,25.5,-13.7,10111110,52.76,0,0,0,aktywna,52.17,0, , ,aktywna
,53.40,992,25.5,-10.2,10111110,53.75,0,0,0,aktywna,53.12,0, , ,aktywna
,54.37,992,25.5,-8.6,10111110,54.72,0,0,0,aktywna,54.01,0, , ,aktywna
,55.34,928,25.5,-6.6,10111110,55.65,0,0,0,aktywna,55.02,0, , ,aktywna
,56.27,928,25.5,-4.3,10111110,56.58,0,0,0,aktywna,55.96,0, , ,aktywna
,57.20,928,25.5,-2.0,10111110,57.53,0,0,0,aktywna,56.88,0, , ,aktywna
,58.18,928,25.5,0.0,10111110,58.50,0,0,0,aktywna,57.85,0, , ,aktywna
,59.09,928,25.5,1.2,10111110,59.40,0,0,0,aktywna,58.80,0, , ,aktywna
,60.03,896,25.5,2.0,10111110,60.33,0,0,0,aktywna,59.72,0, , ,aktywna
,61.02,1504,25.5,0.0,10101010,61.40,0,0,0,aktywna,60.65,0, , ,aktywna
,61.98,800,27.0,0.0,10101010,62.29,0,0,0,aktywna,61.70,0, , ,aktywna
,63.03,1696,27.0,0.0,10101010,63.39,0,0,0,aktywna,62.64,0, , ,aktywna
,64.05,1184,27.0,0.0,10101010,64.36,0,0,0,aktywna,63.71,0, , ,nieaktywna
,65.01,1184,27.0,0.0,10101010,65.33,0,0,0,aktywna,64.70,0, , ,aktywna
,65.99,1408,27.0,0.0,10101010,66.31,0,0,0,aktywna,65.63,0, , ,aktywna
,67.05,1600,27.0,0.0,10101010,67.42,0,0,0,aktywna,66.68,0, , ,aktywna
,68.15,1824,27.0,-10.2,10101010,68.52,0,0,0,aktywna,67.79,0, , ,aktywna
,69.24,2016,27.0,-16.0,10101000,69.60,0,0,0,aktywna,68.89,0, , ,aktywna
,70.29,2208,28.5,-14.5,10101000,70.63,0,0,0,aktywna,69.95,0, , ,aktywna
,71.30,2336,28.5,-9.4,10101000,71.63,0,0,0,aktywna,70.96,0, , ,aktywna
