Poniedzia³ek,14,Wrzesieñ,2026,06:33:44:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.54,0,18.0,0.0,10110110,0.01,0,0.0,0.00,989.4,0.28,-100.0,0.0, , 
,1.34,0,18.0,0.0,10110110,0.81,0,0.0,0.00,989.4,1.07,-100.0,0.0, , 
,2.14,0,18.0,0.0,10110110,1.60,0,0.0,0.00,989.4,1.87,-100.0,0.0, , 
,2.94,0,18.0,0.0,10110110,2.40,0,0.0,0.00,989.4,2.67,-100.0,0.0, , 
,3.74,0,18.0,0.0,10110110,3.21,0,0.0,0.00,989.4,3.48,-100.0,0.0, , 
,4.57,0,18.0,0.0,10110110,4.02,0,0.0,0.00,989.4,4.30,-100.0,0.0, , 
,5.37,0,18.0,0.0,10110110,4.84,0,0.0,0.00,989.4,5.11,-100.0,0.0, , 
,6.19,0,18.0,0.0,10110110,5.64,0,0.0,0.00,989.4,5.91,-100.0,0.0, , 
,7.00,0,18.0,0.0,10110110,6.46,0,0.0,0.00,989.4,6.73,-100.0,0.0, , 
,7.81,0,18.0,0.0,10110110,7.27,0,0.0,0.00,989.4,7.54,-100.0,0.0, , 
,8.64,0,18.0,0.0,10110110,8.08,0,0.0,0.00,989.4,8.36,-100.0,0.0, , 
,9.43,0,18.0,0.0,10110110,8.90,0,0.0,0.00,989.4,9.17,-100.0,0.0, , 
,10.24,0,18.0,0.0,10110110,9.70,0,0.0,0.00,989.4,9.97,-100.0,0.0, , 
,11.06,0,18.0,0.0,10110110,10.52,0,0.0,0.00,989.4,10.79,-100.0,0.0, , 
,11.85,0,18.0,0.0,10110110,11.32,0,0.0,0.00,989.4,11.59,-100.0,0.0, , 
,12.65,0,18.0,0.0,10110110,12.12,0,0.0,0.00,989.4,12.38,-100.0,0.0, , 
,13.45,0,18.0,0.0,10110110,12.92,0,0.0,0.00,989.4,13.18,-100.0,0.0, , 
,14.24,0,18.0,0.0,10110110,13.71,0,0.0,0.00,989.4,13.98,-100.0,0.0, , 
,15.04,0,18.0,0.0,10110110,14.51,0,0.0,0.00,989.4,14.77,-100.0,0.0, , 
,15.84,0,18.0,0.0,10110110,15.31,0,0.0,0.00,989.4,15.57,-100.0,0.0, , 
,16.64,0,18.0,0.0,10110110,16.11,0,0.0,0.00,989.4,16.37,-100.0,0.0, , 
,17.43,0,18.0,0.0,10110110,16.90,0,0.0,0.00,989.4,17.17,-100.0,0.0, , 
,18.23,0,18.0,0.0,10110110,17.70,0,0.0,0.00,989.4,17.96,-100.0,0.0, , 
,19.03,0,18.0,0.0,10110110,18.50,0,0.0,0.00,989.4,18.76,-100.0,0.0, , 
,19.82,0,18.0,0.0,10110110,19.29,0,0.0,0.00,989.4,19.56,-100.0,0.0, , 
,20.62,0,18.0,0.0,10110110,20.09,0,0.0,0.00,989.4,20.36,-100.0,0.0, , 
,21.42,0,18.0,0.0,10110110,20.89,0,0.0,0.00,989.4,21.15,-100.0,0.0, , 
,22.21,0,18.0,0.0,10110110,21.68,0,0.0,0.00,989.4,21.95,-100.0,0.0, , 
,23.02,0,18.0,0.0,10110110,22.48,0,0.0,0.00,989.4,22.74,-100.0,0.0, , 
,23.83,0,18.0,0.0,10110110,23.29,0,0.0,0.00,989.4,23.56,-100.0,0.0, , 
,24.64,0,18.0,0.0,10110110,24.11,0,0.0,0.00,989.4,24.37,-100.0,0.0, , 
,25.43,192,18.0,0.0,10110110,24.90,192,100.0,73.13,989.4,25.17,-100.0,0.0, , 
,26.31,1088,18.0,0.0,10110110,25.71,192,100.0,66.95,989.4,25.99,-100.0,0.0, , 
,27.29,1120,18.0,0.0,10110110,26.65,1280,73.7,17.51,775.2,26.98,-0.8,0.0, , 
,28.21,1024,18.0,0.0,10110110,27.60,1120,47.1,10.30,520.2,27.90,-1.6,0.0, , 
,29.15,1024,18.0,0.0,10110110,28.53,1024,50.2,11.33,571.2,28.83,-1.6,0.0, , 
,30.03,1024,18.0,0.0,10110110,29.45,1024,50.2,11.33,571.2,29.72,-1.6,0.0, , 
,30.95,1024,18.0,0.0,10110110,30.32,1024,48.6,10.30,550.8,30.64,-1.6,0.0, , 
,31.86,1024,18.0,0.0,10110110,31.26,1024,48.6,10.30,550.8,31.56,-1.6,0.0, , 
,32.80,1024,18.0,0.0,10110110,32.16,1024,48.6,9.27,550.8,32.48,-1.6,0.0, , 
,33.77,992,18.0,0.0,10110110,33.14,1024,47.1,9.27,550.8,33.48,-1.6,0.0, , 
,34.70,992,18.0,0.0,10110110,34.08,1024,45.9,8.24,520.2,34.43,-1.6,0.0, , 
,35.63,1152,18.0,0.0,10100010,34.98,992,45.9,8.24,520.2,35.31,-1.6,0.0, , 
,36.61,1216,18.0,0.0,10100010,35.97,1184,41.2,7.21,479.4,36.28,-1.6,0.0, , 
,37.60,1312,18.0,0.0,10100010,36.94,1312,45.9,7.21,499.8,37.29,-0.8,0.0, , 
,38.56,1216,18.0,0.0,10100010,37.92,1280,42.7,7.21,479.4,38.23,-1.6,0.0, , 
,39.54,1056,18.0,0.0,10100010,38.88,1184,47.1,8.24,520.2,39.21,-1.6,0.0, , 
,40.52,1184,18.0,0.0,10110110,39.85,1056,50.2,8.24,571.2,40.18,-1.6,0.0, , 
,41.49,1120,18.0,0.0,10110110,40.84,1312,34.1,5.15,397.8,41.17,-1.6,0.0, , 
,42.46,928,18.0,0.0,10110110,41.82,928,40.0,6.18,459.0,42.13,-1.6,0.0, , 
,43.36,960,18.0,0.0,10110110,42.73,960,42.7,6.18,499.8,43.06,-1.6,0.0, , 
,44.28,960,18.0,0.0,10100010,43.65,960,41.2,6.18,479.4,43.96,-1.6,0.0, , 
,45.31,1696,18.0,0.0,10100010,44.61,1344,62.0,10.30,673.2,44.96,-0.8,4.3, , 
,46.44,1728,18.0,0.0,10100010,45.68,1696,54.5,9.27,591.6,46.08,-0.8,4.3, , 
,47.42,1184,18.0,0.0,10110110,46.78,1632,41.2,6.18,479.4,47.11,-1.6,0.0, , 
,48.45,1344,18.0,0.0,10100010,47.71,1440,34.1,4.12,418.2,48.12,-1.6,4.3, , 
,49.35,832,18.0,0.0,10100010,48.76,1120,36.9,6.18,418.2,49.06,-1.6,0.0, , 
,50.29,992,19.5,0.0,10100010,49.66,768,63.5,17.51,693.6,49.97,-1.6,0.0, , 
,51.24,1280,19.5,0.0,10100010,50.61,992,57.6,9.27,632.4,50.93,-0.8,0.0, , 
,52.29,2016,19.5,0.0,10110100,51.60,1536,78.4,15.45,795.6,51.95,0.0,4.3, , 
,53.35,1280,19.5,0.0,10100010,52.66,1952,26.7,3.09,336.6,53.03,-1.6,4.3, , 
,54.33,1312,19.5,0.0,10100010,53.66,1184,71.0,16.48,734.4,54.00,-0.8,0.0, , 
,55.36,1568,19.5,0.0,10100010,54.69,1408,82.7,18.54,846.6,55.03,-0.8,0.0, , 
,56.48,1888,19.5,0.0,10100010,55.74,1696,78.4,14.42,795.6,56.12,0.0,4.3, , 
,57.50,2144,19.5,0.0,10100000,56.84,1984,71.0,11.33,714.0,57.17,0.0,4.3, , 
,58.48,2336,19.5,0.0,10100000,57.82,2208,65.1,10.30,673.2,58.15,0.0,4.3, , 
,59.47,2560,21.0,0.0,10100000,58.81,2432,67.8,11.33,673.2,59.15,0.0,4.3, , 
,60.46,2432,21.0,0.0,10110100,59.80,2656,63.5,10.30,632.4,60.13,0.0,4.3, , 
,61.51,1536,21.0,0.0,10100010,60.82,1664,0.0,0.00,357.0,61.14,-1.6,0.0, , 
,62.57,1664,21.0,0.0,10100010,61.87,1728,28.2,5.15,357.0,62.22,-0.8,4.3, , 
,63.65,1728,21.0,4.3,10101010,62.92,1696,42.7,7.21,479.4,63.28,-0.8,4.3, , 
,64.64,1216,21.0,0.0,10111110,64.01,1728,48.6,8.24,520.2,64.33,-0.8,4.3, , 
,65.58,1184,21.0,0.0,10111110,64.94,1280,38.4,7.21,459.0,65.26,-1.6,0.0, , 
,66.47,992,22.5,-5.1,10111110,65.88,1120,34.1,5.15,418.2,66.19,-1.6,0.0, , 
,67.36,928,22.5,-5.5,10111110,66.75,960,38.4,5.15,459.0,67.06,-1.6,0.0, , 
,68.29,928,22.5,-3.1,10111110,67.66,928,40.0,5.15,479.4,67.98,-1.6,0.0, , 
,69.21,928,22.5,0.0,10111110,68.60,928,41.2,6.18,479.4,68.91,-1.6,0.0, , 
,70.14,928,22.5,2.7,10111110,69.53,928,41.2,6.18,479.4,69.82,-1.6,0.0, , 
,71.06,928,22.5,4.7,10111110,70.44,928,40.0,6.18,479.4,70.74,-1.6,0.0, , 
,71.98,896,22.5,5.9,10111110,71.37,928,40.0,6.18,479.4,71.68,-1.6,0.0, , 
,72.90,1120,22.5,0.0,10101010,72.27,928,38.4,6.18,459.0,72.59,-1.6,0.0, , 
,73.91,1248,22.5,0.0,10101010,73.24,1056,45.9,9.27,499.8,73.56,-1.6,0.0, , 
,74.85,1024,24.0,0.0,10101010,74.25,1088,56.1,10.30,612.0,74.54,-1.6,0.0, , 
,75.80,1600,24.0,0.0,10101010,75.17,1216,66.3,11.33,714.0,75.45,-0.8,0.0, , 
,76.78,1216,24.0,0.0,10101010,76.15,1856,56.1,4.12,632.4,76.47,-1.6,0.0, , 
,77.74,1088,24.0,0.0,10101010,77.10,1248,38.4,6.18,459.0,77.42,-1.6,0.0, , 
,78.75,1280,24.0,0.0,10101010,78.08,1120,66.3,14.42,714.0,78.41,-0.8,0.0, , 
,79.91,1664,24.0,0.0,10101010,79.14,1408,78.4,16.48,826.2,79.52,-0.8,4.3, , 
,81.02,2016,24.0,-6.6,10101000,80.30,1792,75.3,13.39,754.8,80.67,0.0,4.3, , 
,82.03,2272,24.0,-6.3,10101000,81.36,2112,66.3,9.27,673.2,81.69,0.0,4.3, , 
,83.06,2496,25.5,-3.5,10101000,82.39,2336,60.4,9.27,632.4,82.73,0.0,4.3, , 
,84.11,1504,25.5,0.0,10111110,83.40,2528,54.5,8.24,571.2,83.74,0.0,4.3, , 
,85.15,1664,25.5,0.0,10101010,84.45,1184,36.9,7.21,438.6,84.81,-1.6,4.3, , 
,86.25,1696,25.5,0.0,10101010,85.52,1664,35.3,6.18,397.8,85.89,-0.8,4.3, , 
,87.38,1824,25.5,0.0,10101010,86.63,1760,67.8,13.39,714.0,87.01,0.0,4.3, , 
,88.50,1952,25.5,-5.5,10101010,87.76,1888,66.3,11.33,693.6,88.13,0.0,4.3, , 
,89.53,2048,25.5,-7.0,10101000,88.86,1984,57.6,8.24,612.0,89.20,0.0,4.3, , 
,90.59,2112,25.5,-4.3,10101000,89.88,2080,54.5,8.24,591.6,90.25,0.0,4.3, , 
,91.62,2208,25.5,-1.2,10101000,90.94,2144,53.3,8.24,571.2,91.28,0.0,4.3, , 
,92.60,2272,27.0,1.6,11101000,91.95,2240,51.8,8.24,550.8,92.28,0.0,4.3, , 
,93.60,2400,27.0,2.7,11101000,92.94,2336,50.2,8.24,520.2,93.28,0.0,4.3, , 
,94.68,2528,27.0,2.3,11101000,93.97,2432,48.6,7.21,499.8,94.32,0.0,4.3, , 
,95.73,1536,27.0,0.0,11111110,95.01,2560,45.9,7.21,479.4,95.35,0.0,4.3, , 
,96.75,1824,27.0,0.0,11101010,96.05,1152,36.9,6.18,438.6,96.38,-1.6,0.0, , 
,97.80,1984,27.0,0.0,11101010,97.11,1920,23.5,4.12,295.8,97.45,0.0,4.3, , 
,98.90,2048,27.0,0.0,11101000,98.16,1984,73.7,15.45,754.8,98.54,0.0,4.3, , 
,99.96,2144,27.0,-3.1,11101000,99.24,2080,71.0,12.36,734.4,99.60,0.0,4.3, , 
,100.97,2208,28.5,-2.3,11101000,100.30,2144,69.4,11.33,714.0,100.63,0.0,4.3, , 
,101.97,2240,28.5,0.0,11101000,101.31,2208,67.8,10.30,693.6,101.64,0.0,4.3, , 
,102.97,2240,28.5,1.6,11101000,102.32,2240,53.3,8.24,571.2,102.64,0.0,4.3, , 
,103.97,2272,28.5,4.3,11101000,103.29,2272,60.4,9.27,632.4,103.63,0.0,4.3, , 
,104.95,2336,28.5,5.1,11101000,104.29,2304,66.3,11.33,673.2,104.62,0.0,4.3, , 
,105.93,2368,28.5,3.5,11101000,105.26,2336,67.8,11.33,693.6,105.58,0.0,4.3, , 
,106.97,2432,28.5,2.0,11101000,106.26,2400,67.8,11.33,693.6,106.62,0.0,4.3, , 
,108.02,2464,28.5,1.2,11101000,107.32,2432,69.4,11.33,693.6,107.67,0.0,4.3, , 
,109.07,2496,28.5,-0.4,11101000,108.40,2464,67.8,11.33,693.6,108.74,0.0,4.3, , 
,110.12,2496,30.0,-0.8,11101000,109.40,2496,67.8,10.30,673.2,109.77,0.0,4.3, , 
,111.12,2496,30.0,-0.8,11101000,110.45,2496,66.3,10.30,673.2,110.78,0.0,4.3, , 
,112.14,2496,30.0,0.0,11101000,111.45,2496,67.8,10.30,673.2,111.78,0.0,4.3, , 
,113.16,2496,30.0,0.0,11101000,112.46,2496,66.3,10.30,673.2,112.82,0.0,4.3, , 
,114.17,1120,30.0,0.0,11111110,113.49,2496,0.0,0.00,499.8,113.86,0.0,4.3, , 
,115.12,1152,30.0,0.0,11111110,114.49,1184,32.5,5.15,397.8,114.81,-1.6,0.0, , 
,116.06,960,31.5,-3.5,11111110,115.45,1088,31.0,4.12,397.8,115.77,-1.6,0.0, , 
,117.03,896,31.5,-2.0,11111110,116.37,928,35.3,4.12,438.6,116.69,-1.6,0.0, , 
,117.99,896,31.5,1.6,11111110,117.35,896,38.4,5.15,459.0,117.67,-1.6,0.0, , 
,118.98,896,31.5,3.9,11111110,118.33,896,38.4,5.15,459.0,118.68,-1.6,0.0, , 
,119.90,896,31.5,4.3,11111110,119.28,896,36.9,5.15,459.0,119.58,-1.6,0.0, , 
,120.85,896,33.0,3.9,11111110,120.20,896,36.9,5.15,459.0,120.52,-1.6,0.0, , 
,121.83,896,33.0,3.1,11111110,121.18,896,36.9,5.15,459.0,121.51,-2.3,0.0, , 
,122.77,896,33.0,3.9,11111110,122.15,896,36.9,5.15,459.0,122.47,-2.3,0.0, , 
,123.85,1472,33.0,8.6,11101010,123.13,1024,36.9,5.15,459.0,123.45,-1.6,4.7, , 
,124.83,1600,33.0,0.0,11101010,124.12,1504,48.6,8.24,550.8,124.48,-0.8,4.7, , 
,125.97,1920,34.5,0.0,11101010,125.23,1696,79.6,14.42,826.2,125.60,0.0,4.7, , 
,127.00,2240,34.5,-1.2,11101000,126.30,2016,78.4,13.39,795.6,126.67,0.0,4.7, , 
,128.03,2560,34.5,-0.8,11101000,127.34,2368,81.2,13.39,795.6,127.68,0.0,4.7, , 
,129.06,2880,34.5,0.0,11101000,128.37,2688,75.3,12.36,754.8,128.72,0.0,4.7, , 
,130.11,1248,34.5,0.0,11101010,129.39,2336,0.0,0.00,316.2,129.73,-1.6,4.7, , 
,131.21,1824,34.5,0.0,11101010,130.48,1792,28.2,4.12,357.0,130.84,0.0,4.7, , 
,132.33,1920,34.5,0.0,11101010,131.59,1856,51.8,9.27,571.2,131.96,0.0,4.7, , 
,133.40,2016,36.0,-0.8,11101000,132.68,1952,67.8,11.33,714.0,133.04,0.0,4.7, , 
,134.44,2080,36.0,0.4,11101000,133.75,2048,65.1,10.30,693.6,134.10,0.0,4.7, , 
,135.49,2176,36.0,0.0,11101000,134.80,2144,69.4,11.33,714.0,135.15,0.0,4.7, , 
,136.50,2272,36.0,1.2,11101000,135.84,2240,51.8,7.21,571.2,136.17,0.0,4.7, , 
,137.54,2368,36.0,1.6,11101000,136.86,2304,57.6,9.27,612.0,137.22,0.0,4.7, , 
,138.55,2496,36.0,4.7,11101000,137.89,2400,63.5,10.30,652.8,138.23,0.0,4.7, , 
,139.56,2656,36.0,3.1,11101000,138.88,2560,66.3,10.30,673.2,139.21,0.0,4.7, , 
,140.63,2784,36.0,0.0,11111100,139.91,2720,63.5,10.30,652.8,140.27,0.0,4.7, , 
,141.60,1152,36.0,0.0,11101010,140.98,2048,0.0,0.00,316.2,141.30,-1.6,0.0, , 
,142.64,2048,36.0,0.0,11101000,141.95,1984,25.1,4.12,336.6,142.29,0.0,4.7, , 
,143.71,2048,37.5,0.0,11101000,142.99,2048,26.7,4.12,336.6,143.35,0.0,4.7, , 
,144.76,2080,37.5,0.0,11101000,144.06,2080,53.3,8.24,571.2,144.40,0.0,4.7, , 
,145.78,2144,37.5,3.9,11101000,145.10,2112,53.3,8.24,591.6,145.44,0.0,4.7, , 
,146.81,2144,37.5,4.3,11101000,146.12,2144,50.2,7.21,550.8,146.46,0.0,4.7, , 
,147.82,2176,37.5,4.7,11101000,147.15,2176,51.8,8.24,550.8,147.48,0.0,4.7, , 
,148.84,2208,37.5,3.9,11101000,148.17,2208,50.2,7.21,550.8,148.51,0.0,4.7, , 
,149.83,2240,39.0,4.3,11101000,149.17,2240,48.6,7.21,520.2,149.50,0.0,4.7, , 
,150.83,2240,39.0,2.3,11101000,150.16,2240,42.7,6.18,479.4,150.50,0.0,4.7, , 
,151.86,2208,39.0,2.0,11101000,151.16,2240,41.2,6.18,459.0,151.50,0.0,4.7, , 
,152.87,2240,39.0,-0.4,11101000,152.22,2240,38.4,5.15,438.6,152.54,0.0,4.7, , 
,153.89,2240,39.0,-0.4,11101000,153.21,2240,35.3,5.15,418.2,153.56,0.0,4.7, , 
,154.92,2240,39.0,-0.4,11101000,154.23,2240,36.9,5.15,418.2,154.57,0.0,4.7, , 
,155.93,2240,39.0,-3.5,11101000,155.25,2240,28.2,4.12,336.6,155.59,0.0,4.7, , 
,156.98,2272,39.0,-2.0,11101000,156.27,2240,28.2,4.12,336.6,156.63,0.0,4.7, , 
,157.99,2272,39.0,-0.8,11101000,157.32,2240,28.2,4.12,336.6,157.65,0.0,4.7, , 
,159.01,2272,40.5,0.0,11101000,158.34,2272,26.7,4.12,336.6,158.67,0.0,4.7, , 
,160.02,2144,40.5,0.0,11111100,159.35,2272,25.1,3.09,316.2,159.69,0.0,4.7, , 
,161.00,1152,40.5,0.0,11111110,160.35,1440,0.0,0.00,357.0,160.66,-1.6,0.0, , 
,161.92,960,40.5,0.0,11111110,161.32,1152,29.4,5.15,377.4,161.62,-2.3,0.0, , 
,162.82,960,40.5,-0.8,11111110,162.22,928,34.1,5.15,438.6,162.54,-1.6,0.0, , 
,163.75,960,40.5,-0.8,11111110,163.13,960,34.1,5.15,418.2,163.45,-2.3,0.0, , 
,164.69,896,40.5,0.8,11111110,164.06,928,32.5,4.12,418.2,164.38,-2.3,0.0, , 
,165.61,864,40.5,3.5,11111110,165.00,896,34.1,5.15,438.6,165.31,-2.3,0.0, , 
,166.55,896,40.5,5.5,11111110,165.91,896,35.3,5.15,438.6,166.23,-2.3,0.0, , 
,167.47,864,40.5,6.6,11111110,166.87,896,34.1,5.15,438.6,167.17,-2.3,0.0, , 
,168.40,896,40.5,7.0,11111110,167.76,896,34.1,5.15,438.6,168.08,-2.3,0.0, , 
,169.33,896,40.5,7.0,11111110,168.73,896,34.1,5.15,438.6,169.02,-2.3,0.0, , 
,170.23,896,42.0,7.0,11111110,169.63,864,34.1,5.15,438.6,169.94,-2.3,0.0, , 
,171.18,864,42.0,6.6,11111110,170.55,896,34.1,5.15,438.6,170.86,-2.3,0.0, , 
,172.12,864,42.0,6.6,11111110,171.50,864,34.1,5.15,438.6,171.80,-2.3,0.0, , 
,173.06,864,42.0,6.3,11111110,172.43,896,34.1,5.15,438.6,172.74,-2.3,0.0, , 
,173.97,864,42.0,7.0,11111110,173.35,864,35.3,5.15,459.0,173.67,-2.3,0.0, , 
,174.87,864,42.0,7.0,11111110,174.26,864,36.9,5.15,459.0,174.55,-2.3,0.0, , 
,175.81,896,42.0,7.4,11111110,175.19,896,35.3,5.15,459.0,175.49,-2.3,0.0, , 
,176.72,864,42.0,7.0,11111110,176.12,896,35.3,5.15,438.6,176.43,-2.3,0.0, , 
,177.66,896,42.0,7.0,11111110,177.02,896,35.3,5.15,459.0,177.34,-1.6,0.0, , 
,178.60,896,42.0,7.8,11111110,177.97,864,36.9,5.15,459.0,178.29,-1.6,0.0, , 
,179.50,896,43.5,8.2,11111110,178.90,864,36.9,5.15,459.0,179.19,-1.6,0.0, , 
,180.49,1184,43.5,0.0,11101010,179.81,896,36.9,5.15,459.0,180.17,-1.6,0.0, , 
,181.47,960,43.5,0.0,11101010,180.84,1632,72.2,13.39,775.2,181.16,-0.8,0.0, , 
,182.45,1440,43.5,0.0,11101010,181.78,1184,90.2,17.51,948.6,182.09,-0.8,0.0, , 
,183.49,1952,43.5,0.0,11101010,182.78,1600,92.9,17.51,969.0,183.14,0.0,4.7, , 
,184.51,2496,43.5,0.0,11101000,183.84,2144,94.5,16.48,948.6,184.16,0.0,4.7, , 
,185.58,1376,43.5,0.0,11111110,184.85,2656,76.9,10.30,775.2,185.24,0.0,4.7, , 
,186.59,1824,43.5,0.0,11101010,185.89,1280,36.9,6.18,438.6,186.25,0.0,4.7, , 
,187.66,2048,43.5,0.0,11101000,186.95,1888,72.2,13.39,754.8,187.31,0.0,4.7, , 
,188.68,2240,43.5,0.4,11101000,188.01,2112,69.4,11.33,714.0,188.34,0.0,4.7, , 
,189.74,2400,43.5,0.0,11101000,189.02,2304,60.4,8.24,652.8,189.39,0.0,4.7, , 
,190.83,2528,43.5,0.8,11101000,190.13,2464,54.5,8.24,591.6,190.48,0.0,4.7, , 
,191.85,2688,43.5,1.6,11101000,191.15,2592,53.3,8.24,571.2,191.49,0.0,4.7, , 
,192.87,1056,43.5,0.0,11111110,192.22,2240,0.0,0.00,316.2,192.56,-1.6,0.0, , 
,193.82,1088,43.5,0.0,11111110,193.20,1152,34.1,5.15,418.2,193.51,-1.6,0.0, , 
,194.75,960,43.5,-2.7,11111110,194.14,992,31.0,4.12,397.8,194.41,-1.6,0.0, , 
,195.66,896,43.5,-6.3,11111110,195.05,960,34.1,4.12,418.2,195.35,-2.3,0.0, , 
,196.59,864,43.5,-4.7,11111110,195.98,896,35.3,5.15,459.0,196.28,-2.3,0.0, , 
,197.50,896,43.5,-1.6,11111110,196.90,864,35.3,5.15,459.0,197.20,-2.3,0.0, , 
,198.42,896,43.5,0.8,11111110,197.80,896,35.3,5.15,459.0,198.11,-1.6,0.0, , 
,199.30,896,43.5,3.5,11111110,198.72,896,36.9,5.15,459.0,199.00,-2.3,0.0, , 
,200.19,896,43.5,5.5,11111110,199.59,896,36.9,5.15,459.0,199.88,-2.3,0.0, , 
,201.14,896,43.5,6.6,11111110,200.49,896,35.3,5.15,459.0,200.82,-2.3,0.0, , 
,202.06,896,45.0,6.3,11111110,201.44,896,35.3,5.15,459.0,201.74,-2.3,0.0, , 
,202.95,864,45.0,5.5,11111110,202.35,864,35.3,5.15,459.0,202.65,-2.3,0.0, , 
,203.90,896,45.0,5.5,11111110,203.27,864,35.3,5.15,459.0,203.59,-2.3,0.0, , 
,204.85,864,45.0,5.9,11111110,204.21,864,35.3,5.15,459.0,204.52,-2.3,0.0, , 
,205.71,864,45.0,6.3,11111110,205.15,896,36.9,5.15,459.0,205.43,-2.3,0.0, , 
,206.62,864,45.0,6.3,11111110,206.02,896,36.9,5.15,459.0,206.31,-2.3,0.0, , 
,207.54,896,45.0,6.6,11111110,206.93,864,36.9,5.15,459.0,207.24,-2.3,0.0, , 
,208.43,864,45.0,6.3,11111110,207.83,896,35.3,5.15,459.0,208.13,-2.3,0.0, , 
,209.38,864,45.0,7.0,11111110,208.74,864,38.4,5.15,479.4,209.06,-2.3,0.0, , 
,210.30,896,45.0,7.8,11111110,209.69,896,38.4,5.15,479.4,209.99,-1.6,0.0, , 
,211.23,1312,45.0,0.0,11101010,210.60,896,36.9,5.15,459.0,210.89,-1.6,0.0, , 
,212.21,1536,45.0,0.0,11101010,211.58,1344,48.6,7.21,550.8,211.84,-0.8,0.0, , 
,213.31,1920,45.0,0.0,11101010,212.58,1664,71.0,12.36,754.8,212.95,0.0,4.7, , 
,214.35,1312,46.5,0.0,11111110,213.65,2016,71.0,11.33,734.4,214.02,0.0,4.7, , 
,215.35,1024,46.5,0.0,11111110,214.69,1120,35.3,5.15,438.6,214.99,-1.6,0.0, , 
,216.31,864,46.5,-1.2,11111110,215.68,928,32.5,4.12,418.2,215.99,-2.3,0.0, , 
