Poniedzia³ek,14,Wrzesieñ,2026,16:23:30:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.01,0,93.0,0.0,10110111,0.27,0,0.0,0.00,989.4,0.54,99.2,0.0, , 
,0.80,0,93.0,0.0,10110111,1.07,0,0.0,0.00,989.4,1.34,99.2,0.0, , 
,1.60,0,93.0,0.0,10110111,1.87,0,0.0,0.00,989.4,2.13,99.2,0.0, , 
,2.40,0,93.0,0.0,10110111,2.66,0,0.0,0.00,989.4,2.93,99.2,0.0, , 
,3.20,224,93.0,0.0,10110111,3.48,224,82.7,19.57,969.0,3.74,99.2,0.0, , 
,4.00,224,93.0,0.0,10110111,4.27,224,82.7,16.48,969.0,4.56,99.2,0.0, , 
,4.84,416,93.0,0.0,10110111,5.13,928,50.2,8.24,652.8,5.43,0.0,0.0, , 
,5.73,960,93.0,0.0,10110111,6.02,896,32.5,5.15,459.0,6.32,0.0,0.0, , 
,6.63,832,93.0,0.0,10110111,6.91,896,34.1,5.15,459.0,7.23,0.0,0.0, , 
,7.54,864,93.0,0.0,10110111,7.85,864,34.1,5.15,459.0,8.15,0.0,0.0, , 
,8.43,800,93.0,0.0,10110111,8.72,800,34.1,5.15,479.4,9.02,0.0,0.0, , 
,9.33,864,93.0,0.0,10110111,9.63,832,34.1,5.15,479.4,9.93,0.0,0.0, , 
,10.23,800,91.5,0.0,10100011,10.55,864,32.5,4.12,459.0,10.86,0.0,0.0, , 
,11.19,1088,91.5,0.0,10100011,11.50,1088,26.7,4.12,377.4,11.79,0.0,0.0, , 
,12.11,1152,90.0,0.0,10100011,12.42,1184,32.5,5.15,438.6,12.75,0.0,0.0, , 
,13.07,1056,90.0,0.0,10100011,13.39,960,54.5,9.27,652.8,13.71,0.0,0.0, , 
,14.05,1216,88.5,0.0,10100011,14.37,1152,51.8,8.24,632.4,14.65,0.0,0.0, , 
,14.95,960,88.5,0.0,10100011,15.26,864,60.4,9.27,734.4,15.56,0.0,0.0, , 
,15.86,928,88.5,0.0,10100011,16.18,1056,56.1,8.24,693.6,16.54,0.0,0.0, , 
,16.93,1536,87.0,0.0,10100011,17.28,1792,73.7,11.33,846.6,17.62,0.0,0.0, , 
,17.96,2016,87.0,0.0,10110101,18.29,1440,0.0,0.00,357.0,18.62,0.0,0.0, , 
,18.95,1312,85.5,0.0,10100011,19.29,1344,60.4,10.30,714.0,19.71,0.0,0.0, , 
,20.07,1600,85.5,0.0,10100011,20.39,1728,81.2,13.39,928.2,20.75,0.0,0.0, , 
,21.10,2016,85.5,0.0,10100001,21.43,2112,79.6,12.36,887.4,21.75,0.0,0.0, , 
,22.09,2336,85.5,0.0,10100001,22.43,2464,76.9,11.33,867.0,22.75,0.0,0.0, , 
,23.10,2688,85.5,0.0,10100001,23.42,2784,76.9,11.33,846.6,23.70,0.0,0.0, , 
,23.98,2976,85.5,0.0,10100001,24.29,3104,78.4,11.33,846.6,24.62,0.0,0.0, , 
,24.95,2368,85.5,0.0,10110101,25.27,1824,17.6,2.06,275.4,25.62,0.0,0.0, , 
,25.95,2048,85.5,0.0,10100001,26.28,2080,73.7,12.36,826.2,26.61,0.0,0.0, , 
,26.95,2208,85.5,0.0,10100001,27.29,2240,84.3,13.39,948.6,27.62,0.0,0.0, , 
,27.93,2368,85.5,0.0,10100001,28.28,2432,84.3,13.39,928.2,28.62,0.0,0.0, , 
,28.94,2560,85.5,0.0,11100001,29.30,2624,84.3,13.39,928.2,29.62,0.0,0.0, , 
,29.96,2720,85.5,0.0,11100001,30.30,2784,82.7,12.36,907.8,30.67,0.0,0.0, , 
,31.03,2912,85.5,0.0,11100001,31.50,2976,85.5,13.39,928.2,31.84,0.0,0.0, , 
,32.18,3136,85.5,0.0,11100001,32.58,3168,82.7,12.36,907.8,32.91,0.0,0.0, , 
,33.25,2080,85.5,0.0,11110101,33.60,1632,22.0,3.09,316.2,33.95,0.0,0.0, , 
,34.29,2304,84.0,0.0,11101001,34.64,2304,53.3,8.24,612.0,34.97,0.0,0.0, , 
,35.30,2336,85.5,0.0,11101001,35.63,2336,66.3,10.30,754.8,35.97,0.0,0.0, , 
,36.31,2400,84.0,6.6,11101001,36.67,2400,65.1,10.30,734.4,37.02,0.0,0.0, , 
,37.37,2432,85.5,12.1,11101001,37.73,2464,59.2,9.27,673.2,38.09,0.0,0.0, , 
,38.43,2496,84.0,14.1,11101001,38.76,2496,51.8,8.24,591.6,39.10,0.0,0.0, , 
,39.44,2528,85.5,15.2,11101001,39.80,2528,50.2,8.24,591.6,40.15,0.0,0.0, , 
,40.49,2528,85.5,15.2,11101001,40.83,2560,50.2,8.24,591.6,41.17,0.0,0.0, , 
,41.53,2560,84.0,12.9,11101001,41.88,2592,50.2,8.24,571.2,42.22,0.0,0.0, , 
,42.56,2592,84.0,10.2,11101001,42.91,2624,50.2,7.21,591.6,43.25,0.0,0.0, , 
,43.59,2624,84.0,12.5,11101001,43.91,2624,60.4,9.27,693.6,44.26,0.0,0.0, , 
,44.59,2688,84.0,11.7,11101001,44.93,2688,67.8,11.33,754.8,45.25,0.0,0.0, , 
,45.60,2752,84.0,12.1,11101001,45.92,2752,81.2,13.39,907.8,46.28,0.0,0.0, , 
,46.65,2816,84.0,5.9,11101001,46.97,2848,81.2,13.39,907.8,47.31,0.0,0.0, , 
,47.63,2624,84.0,0.0,11111101,48.00,2112,0.0,0.00,316.2,48.33,0.0,0.0, , 
,48.64,1120,84.0,0.0,11101011,48.98,1536,32.5,3.09,418.2,49.32,0.0,0.0, , 
,49.66,2144,84.0,0.0,11101001,50.00,2144,48.6,4.12,591.6,50.33,0.0,0.0, , 
,50.68,2144,84.0,0.0,11101001,51.03,2144,60.4,6.18,693.6,51.39,0.0,0.0, , 
,51.75,2176,84.0,0.0,11101001,52.09,2176,65.1,7.21,734.4,52.42,0.0,0.0, , 
,52.79,2176,84.0,13.7,11101001,53.13,2176,60.4,8.24,693.6,53.46,0.0,0.0, , 
,53.80,2208,84.0,9.4,11101001,54.15,2208,59.2,9.27,693.6,54.49,0.0,0.0, , 
,54.84,2208,84.0,12.9,11101001,55.18,2208,53.3,8.24,612.0,55.52,0.0,0.0, , 
,55.87,2208,84.0,13.7,11101001,56.19,2208,48.6,7.21,571.2,56.53,0.0,0.0, , 
,56.86,2208,84.0,12.1,11101001,57.19,2208,48.6,7.21,571.2,57.54,0.0,0.0, , 
,57.87,2208,84.0,10.2,11101001,58.21,2208,47.1,7.21,571.2,58.53,0.0,0.0, , 
,58.88,2208,84.0,9.0,11101001,59.23,2240,47.1,7.21,571.2,59.59,0.0,0.0, , 
,59.94,2240,84.0,11.3,11101001,60.28,2240,50.2,7.21,591.6,60.60,0.0,0.0, , 
,60.94,2240,84.0,10.5,11101001,61.29,2240,45.9,6.18,550.8,61.63,0.0,0.0, , 
,61.97,2240,84.0,10.5,11101001,62.31,2240,41.2,6.18,499.8,62.64,0.0,0.0, , 
,62.98,2240,84.0,14.5,11101001,63.31,2208,36.9,5.15,459.0,63.65,0.0,0.0, , 
,63.99,2208,84.0,15.2,11101001,64.32,2208,40.0,6.18,479.4,64.65,0.0,0.0, , 
,65.00,2208,84.0,14.8,11101001,65.35,2208,40.0,6.18,479.4,65.70,0.0,0.0, , 
,66.02,2208,84.0,14.8,11101001,66.36,2208,40.0,6.18,479.4,66.70,0.0,0.0, , 
,67.04,2208,84.0,14.5,11101001,67.38,2208,40.0,6.18,479.4,67.71,0.0,0.0, , 
,68.04,2208,84.0,14.5,11101001,68.38,2208,40.0,6.18,479.4,68.73,0.0,0.0, , 
,69.08,2208,84.0,14.5,11101001,69.43,2208,40.0,6.18,479.4,69.77,0.0,0.0, , 
,70.11,2208,84.0,14.5,11101001,70.46,2208,40.0,6.18,479.4,70.80,0.0,0.0, , 
,71.14,2208,84.0,14.8,11101001,71.48,2208,40.0,6.18,479.4,71.82,0.0,0.0, , 
,72.16,2208,84.0,14.5,11101001,72.52,2208,40.0,6.18,479.4,72.85,0.0,0.0, , 
,73.20,2208,84.0,14.8,11101001,73.55,2208,40.0,6.18,479.4,73.89,0.0,0.0, , 
,74.22,2208,84.0,15.6,11101001,74.56,2208,40.0,6.18,479.4,74.91,0.0,0.0, , 
,75.27,2240,84.0,14.5,11101001,75.61,2240,28.2,4.12,357.0,75.94,0.0,0.0, , 
,76.28,2240,84.0,5.1,11101001,76.62,2240,22.0,3.09,316.2,76.95,0.0,0.0, , 
,77.30,2240,84.0,-2.7,11101001,77.64,2240,19.2,2.06,275.4,77.97,0.0,0.0, , 
,78.30,2240,84.0,-12.9,11101001,78.64,2240,17.6,2.06,275.4,78.97,0.0,0.0, , 
,79.31,2240,84.0,-17.2,11101001,79.66,2240,17.6,2.06,275.4,80.00,0.0,0.0, , 
,80.34,2240,84.0,-18.4,11101001,80.68,2240,17.6,2.06,275.4,81.02,0.0,0.0, , 
,81.36,2240,84.0,-18.0,11101001,81.70,2240,17.6,2.06,275.4,82.05,0.0,0.0, , 
,82.39,2208,82.5,-17.2,11101001,82.73,2208,17.6,2.06,275.4,83.07,0.0,0.0, , 
,83.41,2208,82.5,-16.0,11101001,83.75,2176,17.6,2.06,275.4,84.09,0.0,0.0, , 
,84.44,2176,82.5,-15.2,11101001,84.77,2176,19.2,2.06,275.4,85.10,0.0,0.0, , 
,85.45,2144,82.5,-13.3,11101001,85.79,2176,20.8,2.06,295.8,86.14,0.0,0.0, , 
,86.50,2112,82.5,-9.4,11101001,86.83,2144,26.7,3.09,357.0,87.19,0.0,0.0, , 
,87.54,2112,84.0,0.0,11101001,87.87,2112,56.1,7.21,652.8,88.22,0.0,0.0, , 
,88.56,2112,82.5,0.0,11101001,88.90,2080,79.6,12.36,907.8,89.23,0.0,0.0, , 
,89.59,2112,82.5,1.2,11101001,89.91,2112,81.2,12.36,907.8,90.25,0.0,0.0, , 
,90.58,2144,82.5,1.2,11101001,90.92,2144,82.7,12.36,928.2,91.26,0.0,0.0, , 
,91.60,2176,82.5,2.0,11101001,91.92,2176,81.2,12.36,907.8,92.28,0.0,0.0, , 
,92.63,2176,82.5,4.3,11101001,92.96,2208,79.6,12.36,887.4,93.29,0.0,0.0, , 
,93.62,2208,82.5,5.9,11101001,93.95,2208,79.6,12.36,887.4,94.30,0.0,0.0, , 
,94.63,2240,84.0,6.3,11101001,94.97,2240,79.6,12.36,887.4,95.31,0.0,0.0, , 
,95.65,2240,82.5,7.8,11101001,95.98,2272,79.6,12.36,887.4,96.33,0.0,0.0, , 
,96.68,2272,82.5,7.0,11101001,97.02,2304,78.4,12.36,867.0,97.36,0.0,0.0, , 
,97.72,2304,82.5,10.9,11101001,98.08,2336,72.2,11.33,795.6,98.43,0.0,0.0, , 
,98.77,2336,82.5,17.6,11101001,99.11,2336,66.3,10.30,754.8,99.46,0.0,0.0, , 
,99.80,2368,82.5,22.3,11101001,100.14,2368,60.4,10.30,693.6,100.48,0.0,0.0, , 
,100.82,2368,82.5,24.2,11101001,101.16,2368,42.7,6.18,499.8,101.51,0.0,0.0, , 
,101.84,2368,82.5,21.1,11101001,102.17,2368,42.7,6.18,499.8,102.52,0.0,0.0, , 
,102.88,2368,82.5,19.5,11101001,103.21,2336,38.4,6.18,459.0,103.54,0.0,0.0, , 
,103.87,2336,82.5,10.2,11101001,104.20,2304,20.8,3.09,295.8,104.54,0.0,0.0, , 
,104.87,2304,82.5,-2.0,11101001,105.21,2272,25.1,3.09,336.6,105.54,0.0,0.0, , 
,105.86,2272,82.5,-2.7,11101001,106.19,2272,40.0,5.15,479.4,106.52,0.0,0.0, , 
,106.85,2272,82.5,5.9,11101001,107.18,2272,44.3,6.18,520.2,107.51,0.0,0.0, , 
,107.84,2240,84.0,8.6,11101001,108.18,2240,56.1,8.24,652.8,108.52,0.0,0.0, , 
,108.86,2272,84.0,12.9,11101001,109.20,2272,60.4,9.27,693.6,109.55,0.0,0.0, , 
,109.89,2272,84.0,17.2,11101001,110.23,2272,60.4,10.30,693.6,110.57,0.0,0.0, , 
,110.91,2272,84.0,19.9,11101001,111.25,2272,59.2,9.27,673.2,111.58,0.0,0.0, , 
,111.93,2272,84.0,20.3,11101001,112.27,2304,56.1,9.27,652.8,112.59,0.0,0.0, , 
,112.93,2272,84.0,19.5,11101001,113.28,2304,42.7,6.18,499.8,113.62,0.0,0.0, , 
,113.97,2304,84.0,14.8,11101001,114.30,2272,31.0,4.12,397.8,114.65,0.0,0.0, , 
,114.98,2272,84.0,7.0,11101001,115.31,2272,26.7,3.09,336.6,115.65,0.0,0.0, , 
,115.99,2240,84.0,3.1,11101001,116.32,2240,28.2,4.12,357.0,116.67,0.0,0.0, , 
,117.04,2240,84.0,1.2,11101001,117.38,2240,26.7,3.09,357.0,117.71,0.0,0.0, , 
,118.04,2208,84.0,0.4,11101001,118.36,2208,19.2,2.06,295.8,118.70,0.0,0.0, , 
,119.05,2176,84.0,0.0,11111101,119.40,2176,0.0,0.00,244.8,119.72,0.0,0.0, , 
,120.07,2144,84.0,0.0,11101001,120.40,2144,14.9,2.06,244.8,120.74,0.0,0.0, , 
,121.08,2112,84.0,0.0,11101001,121.42,2112,16.1,2.06,244.8,121.79,0.0,0.0, , 
,122.12,2080,84.0,-15.2,11101001,122.47,1952,0.0,0.00,244.8,122.80,0.0,0.0, , 
,123.10,992,84.0,0.0,11111111,123.45,1152,29.4,4.12,397.8,123.80,0.0,0.0, , 
,124.15,2080,84.0,0.0,11111101,124.46,2560,0.0,0.00,244.8,124.79,0.0,0.0, , 
,125.11,2528,84.0,0.0,11111101,125.43,2496,0.0,0.00,244.8,125.78,0.0,0.0, , 
,126.11,2464,84.0,0.0,11111101,126.44,2464,0.0,0.00,244.8,126.78,0.0,0.0, , 
,127.11,2400,84.0,0.0,11111101,127.43,2400,0.0,0.00,244.8,127.76,0.0,0.0, , 
,128.09,2336,84.0,0.0,11111101,128.42,2336,0.0,0.00,244.8,128.76,0.0,0.0, , 
,129.11,2304,84.0,0.0,11101001,129.43,2272,16.1,2.06,244.8,129.76,0.0,0.0, , 
,130.09,2272,84.0,0.0,11101001,130.42,2240,20.8,2.06,295.8,130.74,0.0,0.0, , 
,131.07,2240,84.0,-7.0,11101001,131.41,2240,20.8,2.06,295.8,131.76,0.0,0.0, , 
,132.12,2208,84.0,-9.0,11101001,132.45,2208,22.0,2.06,295.8,132.78,0.0,0.0, , 
,133.12,2208,84.0,-10.5,11101001,133.46,2208,22.0,2.06,295.8,133.80,0.0,0.0, , 
,134.14,2176,84.0,-11.7,11101001,134.50,2176,22.0,2.06,316.2,134.84,0.0,0.0, , 
,135.17,2176,84.0,-8.2,11101001,135.52,2176,29.4,3.09,377.4,135.86,0.0,0.0, , 
,136.21,2176,84.0,0.0,11101001,136.55,2144,41.2,5.15,499.8,136.90,0.0,0.0, , 
,137.24,2176,82.5,11.3,11101001,137.58,2176,47.1,6.18,550.8,137.91,0.0,0.0, , 
,138.25,2176,84.0,0.0,11111101,138.59,2176,17.6,2.06,275.4,138.92,0.0,0.0, , 
,139.28,2176,84.0,-10.9,11101001,139.62,2208,36.9,5.15,438.6,139.97,0.0,0.0, , 
,140.32,2144,84.0,3.5,11101001,140.66,2176,50.2,7.21,571.2,141.00,0.0,0.0, , 
,141.34,2208,84.0,7.0,11101001,141.69,2208,54.5,7.21,632.4,142.04,0.0,0.0, , 
,142.37,2208,84.0,0.0,11101001,142.70,2208,26.7,3.09,357.0,143.06,0.0,0.0, , 
,143.41,2176,84.0,-2.3,11101001,143.75,2176,19.2,2.06,275.4,144.10,0.0,0.0, , 
,144.46,2144,84.0,-7.0,11101001,144.80,2144,19.2,2.06,295.8,145.15,0.0,0.0, , 
,145.47,2112,84.0,0.0,11101001,145.82,2112,42.7,5.15,520.2,146.16,0.0,0.0, , 
,146.51,2112,82.5,10.5,11101001,146.84,2144,42.7,6.18,520.2,147.16,0.0,0.0, , 
,147.51,2144,84.0,11.7,11101001,147.85,2144,54.5,8.24,632.4,148.18,0.0,0.0, , 
,148.52,2176,84.0,0.0,11101001,148.86,2176,29.4,4.12,397.8,149.20,0.0,0.0, , 
,149.55,2144,84.0,4.7,11101001,149.89,2144,29.4,4.12,377.4,150.23,0.0,0.0, , 
,150.56,2080,84.0,0.0,11111101,150.89,1600,0.0,0.00,316.2,151.19,0.0,0.0, , 
,151.51,992,84.0,0.0,11111111,151.82,1152,29.4,4.12,397.8,152.13,0.0,0.0, , 
,152.44,1184,84.0,0.0,11111111,152.78,1120,23.5,3.09,336.6,153.08,0.0,0.0, , 
,153.41,992,84.0,-0.8,11101011,153.75,1824,29.4,4.12,397.8,154.09,0.0,0.0, , 
,154.44,2592,84.0,-2.3,11101001,154.78,2400,0.0,0.00,275.4,155.11,0.0,0.0, , 
,155.47,1728,84.0,0.0,11101011,155.83,1888,25.1,3.09,357.0,156.20,0.0,0.0, , 
,156.56,1920,84.0,0.0,11101011,156.94,1952,62.0,9.27,714.0,157.32,0.0,0.0, , 
,157.66,1984,84.0,0.0,11101001,158.02,2016,66.3,9.27,754.8,158.37,0.0,0.0, , 
,158.73,2016,84.0,0.0,11111101,159.07,1984,16.1,2.06,275.4,159.41,0.0,0.0, , 
,159.77,2016,84.0,-11.3,11101001,160.13,1984,14.9,1.03,224.4,160.48,0.0,0.0, , 
,160.83,1952,84.0,-11.7,11101011,161.19,1952,41.2,5.15,499.8,161.57,0.0,0.0, , 
,161.96,1984,84.0,5.5,11101011,162.31,1984,38.4,5.15,479.4,162.67,0.0,0.0, , 
,163.01,2016,84.0,12.9,11101001,163.35,2016,36.9,5.15,459.0,163.72,0.0,0.0, , 
,164.07,2048,84.0,19.1,11101001,164.43,2048,38.4,5.15,459.0,164.80,0.0,0.0, , 
,165.15,2080,84.0,21.5,11101001,165.49,2080,36.9,5.15,459.0,165.85,0.0,0.0, , 
,166.19,2080,84.0,21.1,11101001,166.53,2080,31.0,5.15,397.8,166.90,0.0,0.0, , 
,167.26,2112,84.0,15.6,11101001,167.60,2112,31.0,4.12,397.8,167.95,0.0,0.0, , 
,168.30,2112,84.0,8.2,11101001,168.65,2112,23.5,3.09,316.2,168.98,0.0,0.0, , 
,169.33,2112,84.0,0.0,11101001,169.67,2112,23.5,3.09,316.2,170.03,0.0,0.0, , 
,170.40,2112,84.0,-4.3,11101001,170.74,2112,23.5,3.09,316.2,171.12,0.0,0.0, , 
,171.48,2112,84.0,-8.6,11101001,171.81,2112,23.5,2.06,316.2,172.17,0.0,0.0, , 
,172.54,2112,84.0,-10.2,11101001,172.88,2112,23.5,2.06,316.2,173.21,0.0,0.0, , 
,173.54,2112,84.0,-8.2,11101001,173.89,2112,25.1,3.09,336.6,174.24,0.0,0.0, , 
,174.60,2112,84.0,-3.5,11101001,174.93,2112,28.2,3.09,357.0,175.26,0.0,0.0, , 
,175.61,2112,82.5,2.0,11101001,175.95,2112,28.2,3.09,377.4,176.29,0.0,0.0, , 
,176.64,2112,84.0,5.5,11101001,177.02,2112,28.2,3.09,357.0,177.38,0.0,0.0, , 
,177.73,2144,84.0,10.9,11101001,178.08,2144,36.9,5.15,459.0,178.41,0.0,0.0, , 
,178.74,2144,84.0,19.1,11101001,179.09,2144,36.9,5.15,438.6,179.42,0.0,0.0, , 
,179.79,2176,84.0,23.8,11101001,180.12,2176,40.0,6.18,479.4,180.45,0.0,0.0, , 
,180.78,2208,84.0,26.2,11101001,181.12,2208,42.7,6.18,520.2,181.46,0.0,0.0, , 
,181.80,2240,84.0,22.3,11101001,182.13,2240,41.2,6.18,479.4,182.47,0.0,0.0, , 
,182.81,2240,84.0,19.9,11101001,183.15,2272,41.2,6.18,479.4,183.47,0.0,0.0, , 
,183.81,2304,84.0,19.1,11101001,184.15,2304,34.1,5.15,438.6,184.49,0.0,0.0, , 
,184.85,2304,82.5,11.3,11101001,185.20,2272,28.2,4.12,377.4,185.54,0.0,0.0, , 
,185.87,2304,84.0,5.9,11101001,186.20,2272,51.8,7.21,591.6,186.53,0.0,0.0, , 
,186.86,2304,84.0,0.0,11101001,187.18,2336,65.1,9.27,734.4,187.52,0.0,0.0, , 
,187.85,2336,84.0,6.6,11101001,188.17,2368,71.0,11.33,775.2,188.50,0.0,0.0, , 
,188.85,2400,84.0,7.4,11101001,189.19,2432,81.2,13.39,887.4,189.53,0.0,0.0, , 
,189.89,2464,84.0,8.2,11101001,190.23,2496,81.2,13.39,887.4,190.59,0.0,0.0, , 
,190.93,2560,84.0,7.0,11101001,191.27,2592,82.7,13.39,887.4,191.60,0.0,0.0, , 
,191.93,2624,84.0,3.1,11101001,192.24,2656,90.2,14.42,969.0,192.56,0.0,0.0, , 
,192.90,2720,84.0,0.8,11101001,193.22,2752,90.2,14.42,969.0,193.56,0.0,0.0, , 
,193.90,2816,82.5,2.0,11101001,194.25,2848,91.4,15.45,989.4,194.61,0.0,0.0, , 
,195.01,2912,84.0,2.0,11101001,195.27,2944,91.4,15.45,989.4,195.55,0.0,0.0, , 
,195.83,3008,84.0,0.8,11101001,196.15,2880,0.0,0.00,438.6,196.48,0.0,0.0, , 
,196.82,1888,84.0,0.0,11101011,197.16,2368,75.3,15.45,775.2,197.49,0.0,0.0, , 
,197.81,2272,84.0,0.0,11101001,198.14,2304,90.2,14.42,989.4,198.48,0.0,0.0, , 
,198.80,2304,84.0,-1.2,11101001,199.16,2336,90.2,14.42,989.4,199.49,0.0,0.0, , 
,199.82,2368,84.0,-0.8,11101001,200.13,2368,87.1,13.39,948.6,200.48,0.0,0.0, , 
,200.82,2368,84.0,0.0,11101001,201.13,2368,38.4,4.12,479.4,201.46,0.0,0.0, , 
,201.78,2336,84.0,0.0,11101001,202.11,2336,19.2,2.06,275.4,202.44,0.0,0.0, , 
,202.78,2304,84.0,-8.2,11101001,203.13,2272,19.2,2.06,275.4,203.45,0.0,0.0, , 
,203.81,2240,84.0,-12.5,11101001,204.16,2208,19.2,2.06,275.4,204.51,0.0,0.0, , 
,204.84,2176,84.0,-15.2,11101001,205.18,2176,22.0,2.06,316.2,205.53,0.0,0.0, , 
,205.88,2112,84.0,-13.7,11101001,206.22,2112,23.5,2.06,316.2,206.57,0.0,0.0, , 
,206.91,2048,85.5,-9.4,11101001,207.26,2048,48.6,5.15,571.2,207.60,0.0,0.0, , 
,207.97,2048,85.5,0.0,11101001,208.32,2048,59.2,7.21,673.2,208.67,0.0,0.0, , 
,209.03,2048,85.5,10.2,11101001,209.40,2048,62.0,9.27,714.0,209.75,0.0,0.0, , 
,210.10,2048,85.5,16.8,11101001,210.45,2048,62.0,9.27,714.0,210.81,0.0,0.0, , 
,211.17,2048,85.5,21.1,11101001,211.54,2016,59.2,9.27,693.6,211.89,0.0,0.0, , 
,212.24,2048,85.5,0.0,11101001,212.60,2048,38.4,5.15,479.4,212.94,0.0,0.0, , 
,213.29,2016,85.5,9.8,11101001,213.63,2016,38.4,5.15,479.4,213.97,0.0,0.0, , 
,214.34,2016,85.5,16.4,11101001,214.68,2016,41.2,6.18,499.8,215.04,0.0,0.0, , 
,215.39,2016,85.5,17.6,11101001,215.75,2016,32.5,5.15,418.2,216.11,0.0,0.0, , 
,216.47,1984,85.5,13.3,11101001,216.83,1984,19.2,2.06,295.8,217.19,0.0,0.0, , 
,217.56,1952,85.5,-3.5,11101011,217.91,1952,20.8,2.06,295.8,218.28,0.0,0.0, , 
,218.65,1920,85.5,-8.2,11101011,219.01,1920,25.1,3.09,336.6,219.37,0.0,0.0, , 
,219.73,1888,85.5,-4.7,11101011,220.09,1888,22.0,2.06,316.2,220.46,0.0,0.0, , 
,220.83,1856,85.5,-5.1,11101011,221.21,1856,23.5,2.06,316.2,221.58,0.0,0.0, , 
,221.94,1824,85.5,-3.5,11101011,222.31,1824,23.5,3.09,336.6,222.69,0.0,0.0, , 
,223.06,1824,85.5,3.1,11101011,223.44,1824,28.2,3.09,377.4,223.80,0.0,0.0, , 
,224.14,1792,85.5,10.5,11101011,224.50,1792,31.0,4.12,397.8,224.88,0.0,0.0, , 
,225.26,1792,85.5,16.8,11101011,225.59,1600,0.0,0.00,377.4,225.91,0.0,0.0, , 
,226.24,1248,85.5,0.0,11101011,226.57,2304,19.2,3.09,295.8,226.91,0.0,0.0, , 
,227.26,2176,85.5,0.0,11111101,227.59,2176,0.0,0.00,244.8,227.94,0.0,0.0, , 
