Poniedzia³ek,14,Wrzesieñ,2026,16:44:51:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.75,0,88.5,0.0,10110111,0.22,0,0.0,0.00,989.4,0.48,99.2,0.0, , 
,1.55,0,88.5,0.0,10110111,1.02,0,0.0,0.00,989.4,1.28,99.2,0.0, , 
,2.38,0,88.5,0.0,10110111,1.82,0,0.0,0.00,989.4,2.10,99.2,0.0, , 
,3.17,0,88.5,0.0,10110111,2.64,0,0.0,0.00,989.4,2.91,99.2,0.0, , 
,3.99,0,88.5,0.0,10110111,3.44,0,0.0,0.00,989.4,3.71,99.2,0.0, , 
,4.80,0,88.5,0.0,10110111,4.27,0,0.0,0.00,989.4,4.53,99.2,0.0, , 
,5.59,0,88.5,0.0,10110111,5.06,0,0.0,0.00,989.4,5.33,99.2,0.0, , 
,6.39,0,88.5,0.0,10110111,5.86,0,0.0,0.00,989.4,6.12,99.2,0.0, , 
,7.20,0,88.5,0.0,10110111,6.66,0,0.0,0.00,989.4,6.93,99.2,0.0, , 
,8.00,0,88.5,0.0,10110111,7.47,0,0.0,0.00,989.4,7.74,99.2,0.0, , 
,8.80,0,88.5,0.0,10110111,8.27,0,0.0,0.00,989.4,8.53,99.2,0.0, , 
,9.63,0,88.5,0.0,10110111,9.07,0,0.0,0.00,989.4,9.35,99.2,0.0, , 
,10.43,0,88.5,0.0,10110111,9.89,0,0.0,0.00,989.4,10.16,99.2,0.0, , 
,11.23,0,88.5,0.0,10110111,10.70,0,0.0,0.00,989.4,10.97,99.2,0.0, , 
,12.07,0,88.5,0.0,10110111,11.51,0,0.0,0.00,989.4,11.79,99.2,0.0, , 
,12.89,0,88.5,0.0,10110111,12.35,0,0.0,0.00,989.4,12.63,99.2,0.0, , 
,13.69,0,88.5,0.0,10110111,13.16,0,0.0,0.00,989.4,13.42,99.2,0.0, , 
,14.48,0,88.5,0.0,10110111,13.95,0,0.0,0.00,989.4,14.22,99.2,0.0, , 
,15.29,0,88.5,0.0,10110111,14.75,0,0.0,0.00,989.4,15.02,99.2,0.0, , 
,16.09,0,88.5,0.0,10110111,15.56,0,0.0,0.00,989.4,15.83,99.2,0.0, , 
,16.89,224,88.5,0.0,10110111,16.36,192,85.5,22.66,989.4,16.62,99.2,0.0, , 
,17.70,224,88.5,0.0,10110111,17.16,224,81.2,20.60,948.6,17.43,99.2,0.0, , 
,18.59,928,88.5,0.0,10110111,17.98,224,82.7,17.51,948.6,18.25,99.2,0.0, , 
,19.52,928,88.5,0.0,10110111,18.91,928,38.4,6.18,499.8,19.22,0.0,0.0, , 
,20.44,896,88.5,0.0,10110111,19.82,928,32.5,5.15,438.6,20.14,0.0,0.0, , 
,21.34,896,88.5,0.0,10110111,20.74,896,34.1,5.15,459.0,21.03,0.0,0.0, , 
,22.23,832,87.0,0.0,10110111,21.63,832,34.1,5.15,459.0,21.93,0.0,0.0, , 
,23.16,800,87.0,0.0,10110111,22.54,800,34.1,5.15,479.4,22.85,0.0,0.0, , 
,24.07,832,87.0,0.0,10110111,23.46,800,34.1,5.15,479.4,23.77,0.0,0.0, , 
,24.98,800,87.0,0.0,10110111,24.38,800,34.1,5.15,459.0,24.67,0.0,0.0, , 
,25.88,800,87.0,0.0,10110111,25.30,800,34.1,5.15,459.0,25.59,0.0,0.0, , 
,26.75,800,85.5,0.0,10110111,26.17,800,34.1,5.15,459.0,26.45,0.0,0.0, , 
,27.62,800,85.5,0.0,10110111,27.04,800,32.5,4.12,459.0,27.33,0.0,0.0, , 
,28.54,800,84.0,0.0,10110111,27.92,800,31.0,4.12,459.0,28.21,0.0,0.0, , 
,29.47,800,84.0,0.0,10110111,28.86,800,32.5,4.12,459.0,29.15,0.0,0.0, , 
,30.36,800,82.5,0.0,10110111,29.76,800,32.5,4.12,459.0,30.06,0.0,0.0, , 
,31.25,800,82.5,0.0,10110111,30.65,800,31.0,4.12,438.6,30.95,0.0,0.0, , 
,32.14,800,81.0,0.0,10110111,31.55,800,31.0,4.12,438.6,31.85,0.0,0.0, , 
,33.05,800,81.0,0.0,10110111,32.45,800,29.4,4.12,418.2,32.75,0.0,0.0, , 
,33.97,800,81.0,0.0,10110111,33.35,800,29.4,4.12,418.2,33.67,0.0,0.0, , 
,34.87,800,79.5,0.0,10110111,34.26,800,29.4,4.12,438.6,34.57,0.0,0.0, , 
,35.77,768,79.5,0.0,10110111,35.16,800,29.4,4.12,438.6,35.46,0.0,0.0, , 
,36.65,800,79.5,0.0,10110111,36.06,800,29.4,4.12,438.6,36.36,0.0,0.0, , 
,37.56,768,79.5,0.0,10110111,36.96,800,29.4,4.12,418.2,37.26,0.0,0.0, , 
,38.45,768,79.5,0.0,10110111,37.86,800,29.4,4.12,438.6,38.16,0.0,0.0, , 
,39.36,800,79.5,0.0,10110110,38.77,800,29.4,4.12,438.6,39.06,0.0,0.0, , 
,40.25,800,79.5,0.0,10110111,39.65,768,29.4,4.12,418.2,39.96,0.0,0.0, , 
,41.13,768,79.5,0.0,10110111,40.55,800,29.4,4.12,418.2,40.84,0.0,0.0, , 
,42.00,768,79.5,0.0,10110111,41.42,768,31.0,4.12,438.6,41.71,0.0,0.0, , 
,42.87,768,79.5,0.0,10110111,42.29,768,29.4,4.12,438.6,42.58,0.0,0.0, , 
,43.80,768,79.5,0.0,10110111,43.18,800,29.4,4.12,438.6,43.49,0.0,0.0, , 
,44.70,768,79.5,0.0,10110111,44.10,768,29.4,4.12,418.2,44.41,0.0,0.0, , 
,45.59,800,79.5,0.0,10110111,44.99,800,29.4,4.12,438.6,45.28,0.0,0.0, , 
,46.48,768,81.0,0.0,10110111,45.91,768,31.0,4.12,438.6,46.19,0.0,0.0, , 
,47.37,800,81.0,0.0,10110111,46.78,768,29.4,4.12,438.6,47.08,0.0,0.0, , 
,48.26,800,81.0,0.0,10110111,47.66,800,29.4,4.12,438.6,47.97,0.0,0.0, , 
,49.16,768,81.0,0.0,10110111,48.56,800,31.0,4.12,438.6,48.86,0.0,0.0, , 
,50.07,768,81.0,0.0,10110111,49.46,800,31.0,4.12,438.6,49.78,0.0,0.0, , 
,50.98,768,81.0,0.0,10110111,50.39,800,31.0,4.12,438.6,50.69,0.0,0.0, , 
,51.89,800,81.0,0.0,10110111,51.28,800,29.4,4.12,438.6,51.59,0.0,0.0, , 
,52.80,768,81.0,0.0,10110111,52.21,800,29.4,4.12,418.2,52.51,0.0,0.0, , 
,53.68,768,81.0,0.0,10110111,53.11,768,31.0,4.12,438.6,53.39,0.0,0.0, , 
,54.56,768,81.0,0.0,10110111,53.99,768,32.5,4.12,459.0,54.27,0.0,0.0, , 
,55.46,768,81.0,0.0,10110111,54.86,800,34.1,4.12,459.0,55.17,0.0,0.0, , 
,56.37,864,81.0,0.0,10100011,55.77,800,34.1,4.12,479.4,56.06,0.0,0.0, , 
,57.28,992,81.0,0.0,10100011,56.67,864,35.3,5.15,479.4,56.96,0.0,0.0, , 
,58.26,1024,81.0,0.0,10100011,57.59,1024,28.2,4.12,397.8,57.92,0.0,0.0, , 
,59.19,896,82.5,0.0,10100011,58.57,960,26.7,3.09,377.4,58.89,0.0,0.0, , 
,60.08,928,82.5,0.0,10110111,59.50,896,29.4,4.12,418.2,59.79,0.0,0.0, , 
,61.02,896,82.5,0.0,10100011,60.35,992,26.7,3.09,377.4,60.70,0.0,0.0, , 
,61.94,1248,82.5,0.0,10100011,61.31,960,36.9,5.15,479.4,61.63,0.0,0.0, , 
,62.91,1120,82.5,0.0,10100011,62.24,1280,35.3,5.15,459.0,62.57,0.0,0.0, , 
,63.88,1088,82.5,3.9,10111111,63.23,1088,38.4,5.15,499.8,63.56,0.0,0.0, , 
,64.92,1344,82.5,-0.8,10111111,64.23,1376,25.1,3.09,357.0,64.57,0.0,0.0, , 
,65.86,800,82.5,-0.8,10101011,65.23,1184,22.0,3.09,316.2,65.55,0.0,0.0, , 
,66.77,896,82.5,0.0,10101011,66.16,672,34.1,4.12,459.0,66.45,0.0,0.0, , 
,67.70,768,82.5,-0.4,10101011,67.07,928,32.5,4.12,459.0,67.39,0.0,0.0, , 
,68.57,768,82.5,3.1,10101011,67.98,736,38.4,5.15,520.2,68.26,0.0,0.0, , 
,69.49,928,82.5,-1.6,10101011,68.89,864,41.2,5.15,550.8,69.21,0.0,0.0, , 
,70.39,1088,82.5,-0.4,10101011,69.77,992,34.1,4.12,459.0,70.07,0.0,0.0, , 
,71.34,1216,82.5,0.0,10101011,70.70,1152,25.1,3.09,357.0,71.02,0.0,0.0, , 
,72.28,1280,82.5,0.4,10111111,71.68,1248,23.5,3.09,336.6,71.99,0.0,0.0, , 
,73.28,1312,82.5,1.2,10111111,72.61,1312,23.5,3.09,336.6,72.95,0.0,0.0, , 
,74.25,1248,82.5,2.7,10111111,73.60,1280,25.1,3.09,357.0,73.92,0.0,0.0, , 
,75.19,1120,82.5,5.5,10101011,74.56,1216,23.5,3.09,357.0,74.87,0.0,0.0, , 
,76.14,1216,82.5,8.6,10101011,75.51,1120,25.1,3.09,357.0,75.82,0.0,0.0, , 
,77.14,1312,82.5,7.4,10101011,76.46,1184,26.7,4.12,377.4,76.82,0.0,0.0, , 
,78.13,1376,82.5,3.9,10111111,77.47,1312,25.1,3.09,357.0,77.79,0.0,0.0, , 
,79.14,1216,82.5,3.9,10111111,78.47,1344,23.5,3.09,336.6,78.79,0.0,0.0, , 
,80.09,864,82.5,4.7,10111111,79.45,1088,25.1,3.09,357.0,79.78,0.0,0.0, , 
,81.05,960,82.5,6.6,10101011,80.39,896,29.4,4.12,418.2,80.70,0.0,0.0, , 
,81.99,960,82.5,9.8,10101011,81.38,992,31.0,4.12,418.2,81.70,0.0,0.0, , 
,82.97,1088,82.5,9.0,10101011,82.33,1088,32.5,5.15,438.6,82.64,0.0,0.0, , 
,83.98,1376,82.5,10.9,10101011,83.27,1216,32.5,5.15,418.2,83.60,0.0,0.0, , 
,85.03,1760,84.0,0.0,10101011,84.31,1536,34.1,5.15,438.6,84.68,0.0,0.0, , 
,86.04,2464,84.0,-1.2,10101001,85.38,1952,45.9,6.18,550.8,85.70,0.0,0.0, , 
,87.08,1152,84.0,0.0,10101011,86.40,2240,0.0,0.00,316.2,86.77,0.0,0.0, , 
,88.19,1568,82.5,0.0,10101011,87.47,1440,28.2,4.12,397.8,87.84,0.0,0.0, , 
,89.34,1856,84.0,11.3,10101011,88.59,1696,41.2,6.18,499.8,88.97,0.0,0.0, , 
,90.39,2144,84.0,13.3,10101001,89.70,1952,47.1,7.21,571.2,90.05,0.0,0.0, , 
,91.41,2464,84.0,13.7,10101001,90.72,2240,51.8,7.21,612.0,91.04,0.0,0.0, , 
,92.41,2720,84.0,12.9,10101001,91.74,2528,50.2,7.21,591.6,92.08,0.0,0.0, , 
,93.46,1408,84.0,0.0,10101011,92.76,2336,0.0,0.00,295.8,93.08,0.0,0.0, , 
,94.52,1888,84.0,0.0,10101011,93.82,1888,23.5,3.09,316.2,94.17,0.0,0.0, , 
,95.58,2080,84.0,0.0,10101001,94.87,1952,53.3,7.21,612.0,95.24,0.0,0.0, , 
,96.60,2240,84.0,10.9,10101001,95.92,2144,72.2,10.30,826.2,96.26,0.0,0.0, , 
,97.64,2432,84.0,11.7,10101001,96.93,2304,76.9,12.36,867.0,97.29,0.0,0.0, , 
,98.66,2592,84.0,9.4,10101001,97.98,2496,81.2,13.39,907.8,98.33,0.0,0.0, , 
,99.66,2784,84.0,9.8,10101001,98.99,2656,81.2,12.36,887.4,99.32,0.0,0.0, , 
,100.72,2656,84.0,0.0,11111101,100.01,2848,79.6,12.36,867.0,100.39,0.0,0.0, , 
,101.77,2208,85.5,0.0,10101001,101.06,2144,0.0,0.00,316.2,101.42,0.0,0.0, , 
,102.77,2144,85.5,0.0,11101001,102.10,2176,48.6,6.18,571.2,102.42,0.0,0.0, , 
,103.80,2240,85.5,9.4,11101001,103.12,2176,73.7,9.27,826.2,103.46,0.0,0.0, , 
,104.81,2304,85.5,14.8,11101001,104.13,2240,75.3,11.33,846.6,104.47,0.0,0.0, , 
,105.86,2368,85.5,19.1,11101001,105.14,2336,76.9,12.36,846.6,105.50,0.0,0.0, , 
,106.97,2464,85.5,18.0,11101001,106.24,2400,76.9,12.36,846.6,106.61,0.0,0.0, , 
,107.98,2560,85.5,17.2,11101001,107.31,2496,78.4,13.39,867.0,107.65,0.0,0.0, , 
,108.98,2624,85.5,18.0,11101001,108.32,2560,76.9,12.36,867.0,108.65,0.0,0.0, , 
,109.97,2688,85.5,18.4,11101001,109.31,2656,76.9,12.36,846.6,109.65,0.0,0.0, , 
,110.96,2784,85.5,7.0,11101001,110.29,2720,76.9,12.36,846.6,110.63,0.0,0.0, , 
,112.01,2848,85.5,5.1,11101001,111.30,2816,81.2,13.39,887.4,111.67,0.0,0.0, , 
,113.12,2944,85.5,5.1,11101001,112.34,2880,79.6,12.36,887.4,112.67,0.0,0.0, , 
,114.35,2752,85.5,0.0,11111101,113.59,2976,79.6,12.36,887.4,114.02,0.0,0.0, , 
,115.45,1472,85.5,0.0,11101011,114.70,2272,0.0,0.00,295.8,115.06,0.0,0.0, , 
,116.47,2304,85.5,0.0,11101001,115.79,2144,17.6,2.06,275.4,116.12,0.0,0.0, , 
,117.46,2240,87.0,1.6,11101001,116.78,2240,42.7,5.15,499.8,117.12,0.0,0.0, , 
,118.46,2240,87.0,4.7,11101001,117.80,2240,59.2,8.24,673.2,118.13,0.0,0.0, , 
,119.50,2272,87.0,12.1,11101001,118.81,2272,62.0,9.27,714.0,119.15,0.0,0.0, , 
,120.51,2304,87.0,16.4,11101001,119.84,2304,65.1,10.30,734.4,120.19,0.0,0.0, , 
,121.52,2304,87.0,16.4,11101001,120.85,2304,50.2,8.24,591.6,121.18,0.0,0.0, , 
,122.54,2336,87.0,15.6,11101001,121.85,2304,50.2,7.21,591.6,122.19,0.0,0.0, , 
,123.53,2336,87.0,16.0,11101001,122.86,2336,54.5,8.24,632.4,123.18,0.0,0.0, , 
,124.59,2336,87.0,10.9,11101001,123.89,2336,53.3,8.24,612.0,124.24,0.0,0.0, , 
,125.61,2336,87.0,9.4,11101001,124.94,2336,45.9,7.21,550.8,125.27,0.0,0.0, , 
,126.64,2336,87.0,8.2,11101001,125.94,2336,47.1,7.21,550.8,126.28,0.0,0.0, , 
,127.69,2336,87.0,7.4,11101001,126.97,2336,47.1,7.21,550.8,127.34,0.0,0.0, , 
,128.69,2336,87.0,6.6,11101001,128.02,2336,47.1,7.21,550.8,128.34,0.0,0.0, , 
,129.73,2336,87.0,7.0,11101001,129.02,2336,47.1,7.21,550.8,129.39,0.0,0.0, , 
,130.75,2336,87.0,6.6,11101001,130.07,2336,48.6,7.21,571.2,130.41,0.0,0.0, , 
,131.74,2368,87.0,5.1,11101001,131.09,2336,56.1,8.24,632.4,131.42,0.0,0.0, , 
,132.74,2368,87.0,5.5,11101001,132.07,2336,59.2,8.24,673.2,132.40,0.0,0.0, , 
,133.79,2368,87.0,8.2,11101001,133.09,2368,53.3,8.24,612.0,133.43,0.0,0.0, , 
,134.86,2368,87.0,9.4,11101001,134.13,2368,53.3,8.24,612.0,134.50,0.0,0.0, , 
,135.87,2368,87.0,10.2,11101001,135.20,2368,47.1,7.21,571.2,135.52,0.0,0.0, , 
,136.98,2368,87.0,9.8,11101001,136.24,2368,45.9,7.21,550.8,136.62,0.0,0.0, , 
,138.00,2368,87.0,10.2,11101001,137.32,2368,44.3,6.18,520.2,137.66,0.0,0.0, , 
,139.02,2368,87.0,10.5,11101001,138.34,2368,42.7,6.18,499.8,138.68,0.0,0.0, , 
,140.06,2368,87.0,10.2,11101001,139.35,2368,42.7,6.18,499.8,139.70,0.0,0.0, , 
,141.11,2336,87.0,9.8,11101001,140.40,2336,42.7,6.18,520.2,140.74,0.0,0.0, , 
,142.10,2336,87.0,10.5,11101001,141.44,2336,44.3,6.18,520.2,141.77,0.0,0.0, , 
,143.13,2336,87.0,10.9,11101001,142.45,2336,44.3,6.18,520.2,142.79,0.0,0.0, , 
,144.19,2336,87.0,10.2,11101001,143.47,2336,44.3,6.18,520.2,143.81,0.0,0.0, , 
,145.17,2336,87.0,6.6,11101001,144.52,2336,42.7,6.18,520.2,144.84,0.0,0.0, , 
,146.15,2336,87.0,6.6,11101001,145.49,2336,42.7,6.18,499.8,145.82,0.0,0.0, , 
,147.21,2336,87.0,6.6,11101001,146.51,2336,44.3,6.18,520.2,146.85,0.0,0.0, , 
,148.24,2336,87.0,7.0,11101001,147.56,2336,44.3,6.18,520.2,147.90,0.0,0.0, , 
,149.32,2336,87.0,7.0,11101001,148.59,2336,44.3,6.18,520.2,148.96,0.0,0.0, , 
,150.40,2336,87.0,7.0,11101001,149.70,2336,44.3,7.21,520.2,150.04,0.0,0.0, , 
,151.43,2336,87.0,7.4,11101001,150.74,2336,54.5,8.24,632.4,151.09,0.0,0.0, , 
,152.46,2368,87.0,10.2,11101001,151.77,2336,62.0,10.30,714.0,152.12,0.0,0.0, , 
,153.46,2368,87.0,10.5,11101001,152.80,2368,60.4,10.30,693.6,153.12,0.0,0.0, , 
,154.51,2368,87.0,10.9,11101001,153.82,2368,50.2,8.24,591.6,154.19,0.0,0.0, , 
,155.53,2368,87.0,9.0,11101001,154.84,2368,50.2,8.24,591.6,155.19,0.0,0.0, , 
,156.59,2368,87.0,8.2,11101001,155.90,2368,40.0,6.18,479.4,156.24,0.0,0.0, , 
,157.63,2368,87.0,7.4,11101001,156.94,2368,40.0,6.18,479.4,157.30,0.0,0.0, , 
,158.68,2336,87.0,7.8,11101001,158.00,2336,40.0,6.18,479.4,158.32,0.0,0.0, , 
,159.75,2336,85.5,8.6,11101001,159.04,2336,41.2,6.18,479.4,159.39,0.0,0.0, , 
,160.78,2336,87.0,5.1,11101001,160.09,2336,45.9,7.21,520.2,160.44,0.0,0.0, , 
,161.81,2368,87.0,7.4,11101001,161.12,2336,53.3,8.24,632.4,161.47,0.0,0.0, , 
,162.83,2368,85.5,9.8,11101001,162.17,2368,60.4,9.27,673.2,162.50,0.0,0.0, , 
,163.82,2400,87.0,11.3,11101001,163.17,2368,60.4,9.27,673.2,163.50,0.0,0.0, , 
,164.88,2400,87.0,12.5,11101001,164.20,2400,60.4,10.30,693.6,164.55,0.0,0.0, , 
,165.91,2432,87.0,14.1,11101001,165.21,2400,60.4,10.30,673.2,165.56,0.0,0.0, , 
,166.93,2432,85.5,14.8,11101001,166.25,2432,60.4,10.30,693.6,166.58,0.0,0.0, , 
,168.00,2464,87.0,16.0,11101001,167.29,2432,62.0,10.30,693.6,167.66,0.0,0.0, , 
,169.05,2496,85.5,16.0,11101001,168.34,2464,62.0,10.30,693.6,168.69,0.0,0.0, , 
,170.04,2496,87.0,0.0,11101001,169.39,2496,60.4,10.30,693.6,169.72,0.0,0.0, , 
,171.07,2464,85.5,0.4,11101001,170.36,2496,35.3,5.15,438.6,170.71,0.0,0.0, , 
,172.18,2464,85.5,0.4,11101001,171.46,2464,41.2,6.18,479.4,171.82,0.0,0.0, , 
,173.18,2496,85.5,0.0,11101001,172.52,2464,75.3,12.36,826.2,172.85,0.0,0.0, , 
,174.21,2560,87.0,-3.5,11101001,173.53,2496,88.6,14.42,969.0,173.89,0.0,0.0, , 
,175.22,2592,87.0,-5.1,11101001,174.56,2560,88.6,13.39,969.0,174.91,0.0,0.0, , 
,176.25,2624,85.5,-2.3,11101001,175.54,2592,87.1,13.39,948.6,175.88,0.0,0.0, , 
,177.27,2656,85.5,-0.8,11101001,176.58,2624,84.3,13.39,928.2,176.93,0.0,0.0, , 
,178.26,2688,87.0,0.0,11101001,177.60,2656,84.3,13.39,928.2,177.94,0.0,0.0, , 
,179.31,2720,87.0,4.7,11101001,178.62,2688,72.2,11.33,826.2,178.96,0.0,0.0, , 
,180.28,2720,87.0,10.2,11101001,179.64,2720,57.6,9.27,652.8,179.95,0.0,0.0, , 
,181.27,2720,87.0,13.7,11101001,180.60,2720,53.3,8.24,612.0,180.94,0.0,0.0, , 
,182.27,2720,85.5,15.6,11101001,181.60,2720,53.3,8.24,612.0,181.94,0.0,0.0, , 
,183.27,2720,87.0,16.8,11101001,182.60,2720,53.3,9.27,612.0,182.94,0.0,0.0, , 
,184.25,2688,85.5,12.9,11101001,183.60,2720,40.0,6.18,479.4,183.94,0.0,0.0, , 
,185.23,2688,87.0,10.5,11101001,184.56,2688,40.0,6.18,479.4,184.90,0.0,0.0, , 
,186.24,2656,87.0,9.4,11101001,185.56,2688,41.2,6.18,479.4,185.89,0.0,0.0, , 
,187.26,2656,87.0,8.2,11101001,186.58,2656,40.0,6.18,479.4,186.93,0.0,0.0, , 
,188.27,2656,87.0,7.8,11101001,187.60,2624,40.0,6.18,479.4,187.94,0.0,0.0, , 
,189.29,2624,87.0,8.2,11101001,188.60,2624,41.2,6.18,479.4,188.94,0.0,0.0, , 
,190.31,2624,87.0,7.8,11101001,189.62,2624,41.2,6.18,479.4,189.96,0.0,0.0, , 
,191.30,2592,87.0,8.2,11101001,190.66,2592,41.2,6.18,479.4,190.98,0.0,0.0, , 
,192.30,2592,87.0,8.2,11101001,191.62,2592,41.2,6.18,479.4,191.97,0.0,0.0, , 
,193.30,2592,87.0,7.8,11101001,192.64,2592,41.2,6.18,479.4,192.97,0.0,0.0, , 
,194.32,2496,87.0,0.0,11111101,193.62,2560,35.3,5.15,438.6,193.96,0.0,0.0, , 
,195.32,2496,87.0,0.0,11111101,194.66,2528,0.0,0.00,244.8,194.97,0.0,0.0, , 
,196.31,2432,87.0,0.0,11111101,195.65,2464,0.0,0.00,244.8,195.98,0.0,0.0, , 
,197.28,2400,87.0,0.0,11111101,196.64,2432,0.0,0.00,244.8,196.95,0.0,0.0, , 
,198.26,2304,87.0,0.0,11111101,197.60,2368,0.0,0.00,244.8,197.94,0.0,0.0, , 
,199.23,2240,87.0,0.0,11101001,198.58,2304,0.0,0.00,244.8,198.91,0.0,0.0, , 
,200.23,2176,87.0,0.0,11101001,199.57,2208,16.1,2.06,244.8,199.90,0.0,0.0, , 
,201.27,2112,87.0,-12.9,11101001,200.57,2144,16.1,2.06,244.8,200.93,0.0,0.0, , 
,202.30,2016,85.5,-16.0,11101001,201.60,2080,16.1,2.06,244.8,201.95,0.0,0.0, , 
,203.35,1952,87.0,-16.0,11101011,202.64,2016,17.6,2.06,275.4,203.00,0.0,0.0, , 
,204.44,1920,85.5,0.0,11101011,203.72,1952,26.7,3.09,357.0,204.08,0.0,0.0, , 
,205.53,1888,85.5,0.0,11101011,204.80,1888,54.5,8.24,652.8,205.16,0.0,0.0, , 
,206.63,1920,85.5,2.7,11101011,205.90,1920,50.2,7.21,612.0,206.27,0.0,0.0, , 
,207.73,1920,85.5,5.1,11101011,206.99,1920,45.9,6.18,550.8,207.35,0.0,0.0, , 
,208.82,1952,85.5,7.0,11101011,208.10,1952,44.3,6.18,550.8,208.47,0.0,0.0, , 
,209.89,1984,85.5,7.0,11101011,209.18,1952,42.7,6.18,520.2,209.55,0.0,0.0, , 
,210.96,2016,85.5,8.2,11101001,210.25,1984,42.7,6.18,520.2,210.61,0.0,0.0, , 
,212.04,2080,85.5,7.8,11101001,211.33,2016,42.7,6.18,520.2,211.69,0.0,0.0, , 
,213.10,2144,85.5,7.8,11101001,212.39,2080,45.9,6.18,550.8,212.75,0.0,0.0, , 
,214.12,2176,85.5,7.0,11101001,213.44,2144,44.3,7.21,550.8,213.78,0.0,0.0, , 
,215.18,2208,85.5,5.5,11101001,214.48,2176,44.3,6.18,520.2,214.84,0.0,0.0, , 
,216.24,2176,85.5,3.9,11101001,215.54,2176,31.0,4.12,397.8,215.89,0.0,0.0, , 
,217.27,2176,85.5,-1.2,11101001,216.56,2176,23.5,3.09,336.6,216.92,0.0,0.0, , 
,218.26,2144,85.5,-7.4,11101001,217.59,2176,22.0,3.09,295.8,217.92,0.0,0.0, , 
,219.31,2080,85.5,-13.3,11111101,218.62,2144,22.0,2.06,316.2,218.95,0.0,0.0, , 
,220.34,2080,85.5,0.0,11111101,219.66,2080,16.1,2.06,244.8,219.99,0.0,0.0, , 
,221.40,1856,85.5,0.0,11111111,220.68,2048,0.0,0.00,244.8,221.04,0.0,0.0, , 
