Sobota,15,Sierpień,2026,13:45:56:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.53,0,37.5,0.0,10110110,0.01,0,0.0,0.00,989.4,0.27,0.0,1.48, , 
,1.33,0,37.5,0.0,10110110,0.80,0,0.0,0.00,989.4,1.06,0.0,1.48, , 
,2.13,0,39.0,0.0,10110110,1.60,0,0.0,0.00,989.4,1.86,0.0,1.48, , 
,2.96,0,37.5,0.0,10110110,2.40,0,0.0,0.00,989.4,2.68,0.0,1.48, , 
,3.75,0,37.5,0.0,10110110,3.22,0,0.0,0.00,989.4,3.48,0.0,1.48, , 
,4.55,0,37.5,0.0,10110110,4.02,0,0.0,0.00,989.4,4.28,0.0,1.48, , 
,5.36,0,37.5,0.0,10110110,4.82,0,0.0,0.00,989.4,5.10,0.0,1.48, , 
,6.17,0,37.5,0.0,10110110,5.63,0,0.0,0.00,989.4,5.90,0.0,1.48, , 
,7.00,192,39.0,0.0,10110110,6.44,224,94.5,45.32,989.4,6.71,0.0,1.48, , 
,7.82,192,39.0,0.0,10110110,7.27,192,98.8,44.29,969.0,7.55,0.0,1.48, , 
,8.64,192,39.0,0.0,10110110,8.11,192,98.8,40.17,969.0,8.38,0.0,1.48, , 
,9.48,448,39.0,0.0,10110110,8.91,192,98.8,37.08,969.0,9.17,0.0,1.48, , 
,10.41,1024,39.0,0.0,10110110,9.80,1088,65.1,12.36,714.0,10.10,0.0,1.48, , 
,11.36,960,39.0,0.0,10110110,10.75,992,42.7,8.24,499.8,11.10,0.0,1.48, , 
,12.30,960,37.5,0.0,10110110,11.72,960,44.3,8.24,520.2,12.00,0.0,1.48, , 
,13.24,928,37.5,0.0,10110110,12.60,928,44.3,7.21,520.2,12.92,0.0,1.48, , 
,14.14,896,39.0,0.0,10110110,13.55,896,44.3,8.24,520.2,13.85,0.0,1.48, , 
,15.09,896,37.5,0.0,10110110,14.47,896,44.3,7.21,520.2,14.76,0.0,1.48, , 
,16.02,896,37.5,0.0,10110110,15.40,896,42.7,7.21,520.2,15.72,0.0,1.48, , 
,16.98,896,37.5,0.0,10110110,16.34,896,42.7,7.21,499.8,16.66,0.0,1.48, , 
,17.90,896,37.5,0.0,10110110,17.30,896,41.2,7.21,499.8,17.61,0.0,1.48, , 
,18.81,896,37.5,0.0,10110110,18.21,896,41.2,6.18,499.8,18.51,0.0,1.48, , 
,19.77,896,37.5,0.0,10110110,19.14,896,41.2,6.18,499.8,19.46,0.0,1.48, , 
,20.67,864,37.5,0.0,10110110,20.08,896,40.0,6.18,479.4,20.38,0.0,1.48, , 
,21.59,896,37.5,0.0,10110110,20.97,896,40.0,6.18,479.4,21.28,0.0,1.48, , 
,22.47,864,37.5,0.0,10110110,21.89,864,38.4,6.18,479.4,22.19,0.0,1.48, , 
,23.40,864,37.5,0.0,10110110,22.76,896,38.4,6.18,479.4,23.09,0.0,1.48, , 
,24.31,864,37.5,0.0,10110110,23.70,864,38.4,5.15,459.0,23.99,0.0,1.48, , 
,25.22,864,36.0,0.0,10110110,24.61,864,36.9,5.15,459.0,24.92,0.0,1.48, , 
,26.14,864,36.0,0.0,10110110,25.52,896,36.9,5.15,459.0,25.84,0.0,1.48, , 
,27.07,864,36.0,0.0,10110110,26.45,864,36.9,5.15,459.0,26.75,0.0,1.48, , 
,27.99,864,36.0,0.0,10110110,27.38,864,35.3,5.15,459.0,27.69,0.0,1.48, , 
,28.90,864,36.0,0.0,10110110,28.28,864,36.9,5.15,459.0,28.59,0.0,1.48, , 
,29.80,864,36.0,0.0,10110110,29.20,864,35.3,5.15,438.6,29.50,0.0,1.48, , 
,30.73,864,36.0,0.0,10110110,30.11,832,35.3,5.15,438.6,30.42,0.0,1.48, , 
,31.65,864,36.0,0.0,10110110,31.04,864,35.3,5.15,438.6,31.35,0.0,1.48, , 
,32.55,864,36.0,0.0,10110110,31.97,864,35.3,5.15,438.6,32.26,0.0,1.48, , 
,33.45,864,36.0,0.0,10110110,32.85,832,35.3,5.15,438.6,33.14,0.0,1.48, , 
,34.39,864,37.5,0.0,10110110,33.76,864,35.3,5.15,438.6,34.08,0.0,1.48, , 
,35.30,832,37.5,0.0,10110110,34.68,832,35.3,5.15,438.6,34.98,0.0,1.45, , 
,36.23,864,36.0,0.0,10110110,35.60,832,35.3,5.15,438.6,35.92,0.0,1.41, , 
,37.13,864,37.5,0.0,10110110,36.51,864,35.3,5.15,438.6,36.82,0.0,1.41, , 
,38.05,864,37.5,0.0,10110110,37.43,864,35.3,5.15,438.6,37.73,0.0,1.37, , 
,38.95,832,37.5,0.0,10110110,38.36,864,35.3,5.15,438.6,38.66,0.0,1.29, , 
,39.89,864,37.5,0.0,10110110,39.26,864,34.1,5.15,438.6,39.58,0.0,1.33, , 
,40.80,832,37.5,0.0,10110110,40.20,864,34.1,5.15,438.6,40.50,0.0,1.37, , 
,41.69,832,37.5,0.0,10110110,41.09,864,34.1,5.15,438.6,41.40,0.0,1.41, , 
,42.56,832,37.5,0.0,10110110,41.99,832,34.1,4.12,438.6,42.27,0.0,1.41, , 
,43.48,864,37.5,0.0,10110110,42.87,832,34.1,4.12,438.6,43.17,0.0,1.41, , 
,44.41,832,37.5,0.0,10110110,43.79,864,34.1,4.12,438.6,44.10,0.0,1.41, , 
,45.32,832,37.5,0.0,10110110,44.70,832,34.1,5.15,438.6,45.02,0.0,1.41, , 
,46.24,832,37.5,0.0,10110110,45.62,832,34.1,5.15,438.6,45.93,0.0,1.41, , 
,47.13,832,37.5,0.0,10110110,46.53,832,35.3,5.15,438.6,46.82,0.0,1.41, , 
,48.02,864,37.5,0.0,10110110,47.41,832,34.1,4.12,438.6,47.71,0.0,1.41, , 
,48.93,832,39.0,0.0,10110110,48.33,832,34.1,4.12,438.6,48.64,0.0,1.41, , 
,49.92,832,39.0,0.0,10110110,49.28,832,34.1,4.12,438.6,49.60,0.0,1.37, , 
,50.79,832,39.0,0.0,10110110,50.21,832,32.5,4.12,418.2,50.51,0.0,1.37, , 
,51.72,832,39.0,0.0,10110110,51.11,832,34.1,4.12,438.6,51.42,0.0,1.37, , 
,55.36,832,39.0,0.0,10110110,55.67,832,34.1,4.12,438.6,55.06,0.0,1.41, , 
,56.27,832,39.0,0.0,10110110,56.57,832,34.1,4.12,438.6,55.97,0.0,1.41, , 
,57.20,832,39.0,0.0,10110110,57.51,832,34.1,4.12,438.6,56.89,0.0,1.41, , 
,58.14,832,39.0,0.0,10110110,58.44,832,34.1,4.12,438.6,57.82,0.0,1.41, , 
,59.04,832,39.0,0.0,10110110,59.34,832,34.1,4.12,438.6,58.74,0.0,1.41, , 
,59.93,832,40.5,0.0,10110110,60.25,832,34.1,4.12,438.6,59.64,0.0,1.41, , 
,60.83,832,40.5,0.0,10110110,61.14,832,34.1,4.12,438.6,60.53,0.0,1.41, , 
,61.75,832,40.5,0.0,10110110,62.04,832,34.1,4.12,438.6,61.45,0.0,1.45, , 
,62.66,832,40.5,0.0,10110110,62.97,864,34.1,4.12,438.6,62.35,0.0,1.41, , 
,63.55,832,40.5,0.0,10110110,63.86,832,34.1,4.12,438.6,63.26,0.0,1.41, , 
,64.47,832,40.5,0.0,10110110,64.75,832,34.1,4.12,438.6,64.15,0.0,1.41, , 
,65.39,832,40.5,0.0,10110110,65.69,832,32.5,4.12,438.6,65.07,0.0,1.45, , 
,66.28,832,40.5,0.0,10110110,66.58,832,32.5,4.12,418.2,65.99,0.0,1.41, , 
,67.20,832,40.5,0.0,10110110,67.52,832,34.1,4.12,438.6,66.89,0.0,1.41, , 
,68.16,832,40.5,0.0,10110110,68.46,832,34.1,4.12,438.6,67.82,0.0,1.41, , 
,69.04,832,40.5,-0.4,10111110,69.37,832,34.1,4.12,438.6,68.74,0.0,1.41, , 
,69.96,832,40.5,-1.6,10111110,70.24,832,34.1,4.12,438.6,69.66,-1.2,1.41, , 
,70.83,832,42.0,-2.0,10111110,71.15,832,34.1,4.12,438.6,70.53,-2.0,1.45, , 
,71.75,832,42.0,-2.3,10111110,72.06,832,34.1,4.12,438.6,71.46,-2.3,1.45, , 
,72.66,832,42.0,-2.3,10111110,72.94,800,34.1,4.12,438.6,72.36,-2.3,1.45, , 
,73.52,832,42.0,-2.0,10111110,73.84,832,34.1,4.12,438.6,73.22,-2.3,1.45, , 
,74.46,832,42.0,-1.6,10111110,74.77,832,34.1,4.12,438.6,74.15,-1.6,1.45, , 
,75.38,832,42.0,-1.6,10111110,75.69,832,34.1,4.12,438.6,75.06,-1.6,1.45, , 
,76.29,864,42.0,-1.2,10111110,76.61,832,34.1,4.12,438.6,75.98,-1.6,1.45, , 
,77.22,832,42.0,-1.2,10111110,77.52,832,32.5,4.12,418.2,76.92,-1.2,1.45, , 
,78.14,832,42.0,-0.8,10111110,78.45,832,34.1,4.12,438.6,77.82,-0.8,1.45, , 
,79.06,832,42.0,-0.8,10111110,79.37,832,34.1,4.12,438.6,78.76,-0.8,1.45, , 
,80.00,832,42.0,-0.8,10111110,80.30,832,34.1,4.12,438.6,79.69,-0.8,1.41, , 
,80.90,832,43.5,-1.2,10111110,81.22,832,34.1,4.12,438.6,80.60,-1.2,1.45, , 
,81.85,832,43.5,-1.2,10111110,82.14,800,34.1,4.12,438.6,81.52,-1.2,1.45, , 
,82.75,800,43.5,-0.8,10111110,83.07,832,34.1,4.12,438.6,82.43,-0.4,1.48, , 
,83.67,832,43.5,0.0,10111110,83.98,832,32.5,4.12,438.6,83.39,-0.4,1.45, , 
,84.59,832,43.5,0.0,10111110,84.89,832,32.5,4.12,438.6,84.29,0.0,1.45, , 
,85.49,832,43.5,0.0,10111110,85.79,832,34.1,4.12,438.6,85.19,0.4,1.41, , 
,86.42,832,43.5,0.0,10111110,86.74,832,34.1,4.12,438.6,86.11,0.4,1.45, , 
,87.33,832,43.5,0.0,10111110,87.62,832,32.5,4.12,438.6,87.03,0.0,1.45, , 
,88.23,832,43.5,-0.4,10111110,88.52,832,32.5,4.12,438.6,87.92,0.0,1.45, , 
,89.12,832,43.5,-1.2,10111110,89.43,832,32.5,4.12,438.6,88.82,-0.8,1.41, , 
,90.03,832,43.5,-0.8,10111110,90.33,832,34.1,4.12,438.6,89.74,-1.2,1.45, , 
,90.96,832,43.5,-0.4,10111110,91.28,832,32.5,4.12,418.2,90.63,-0.4,1.45, , 
,91.87,832,43.5,-1.2,10111110,92.18,832,32.5,4.12,438.6,91.56,-0.8,1.45, , 
,92.80,832,45.0,-0.8,10111110,93.12,832,32.5,4.12,418.2,92.48,-0.8,1.48, , 
,93.74,832,45.0,-1.2,10111110,94.03,832,32.5,4.12,438.6,93.44,-1.2,1.45, , 
,94.65,800,45.0,-1.6,10111110,94.96,832,32.5,4.12,438.6,94.34,-1.6,1.45, , 
,95.57,832,45.0,-1.6,10111110,95.88,832,34.1,4.12,438.6,95.26,-2.0,1.48, , 
,96.48,832,45.0,-0.8,10111110,96.79,832,32.5,4.12,418.2,96.17,-1.2,1.48, , 
,97.39,832,45.0,-0.8,10111110,97.70,832,32.5,4.12,438.6,97.09,-0.8,1.48, ,
