Wtorek,15,Wrzesieñ,2026,06:37:01:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.27,0,15.0,0.0,10110110,0.53,0,0.0,0.00,1009.8,0.01,99.2,0.0, , 
,1.07,0,15.0,0.0,10110110,1.35,0,0.0,0.00,1009.8,0.80,99.2,0.0, , 
,1.89,0,15.0,0.0,10110110,2.16,0,0.0,0.00,1009.8,1.63,99.2,0.0, , 
,2.69,0,15.0,0.0,10110110,2.95,0,0.0,0.00,1009.8,2.42,99.2,0.0, , 
,3.49,0,15.0,0.0,10110110,3.77,0,0.0,0.00,1009.8,3.22,99.2,0.0, , 
,4.29,0,15.0,0.0,10110110,4.56,0,0.0,0.00,1009.8,4.03,99.2,0.0, , 
,5.09,0,15.0,0.0,10110110,5.36,0,0.0,0.00,1009.8,4.83,99.2,0.0, , 
,5.89,0,15.0,0.0,10110110,6.16,0,0.0,0.00,1009.8,5.63,99.2,0.0, , 
,6.69,0,15.0,0.0,10110110,6.95,0,0.0,0.00,1009.8,6.42,99.2,0.0, , 
,7.49,0,15.0,0.0,10110110,7.75,0,0.0,0.00,1009.8,7.22,99.2,0.0, , 
,8.28,0,15.0,0.0,10110110,8.55,0,0.0,0.00,1009.8,8.02,99.2,0.0, , 
,9.08,0,15.0,0.0,10110110,9.34,0,0.0,0.00,1009.8,8.81,99.2,0.0, , 
,9.87,0,15.0,0.0,10110110,10.14,0,0.0,0.00,1009.8,9.61,99.2,0.0, , 
,10.67,0,15.0,0.0,10110110,10.94,0,0.0,0.00,1009.8,10.41,99.2,0.0, , 
,11.49,0,15.0,0.0,10110110,11.75,0,0.0,0.00,1009.8,11.21,99.2,0.0, , 
,12.28,0,15.0,0.0,10110110,12.55,0,0.0,0.00,1009.8,12.02,99.2,0.0, , 
,13.08,0,15.0,0.0,10110110,13.35,0,0.0,0.00,1009.8,12.81,99.2,0.0, , 
,13.90,0,15.0,0.0,10110110,14.17,0,0.0,0.00,1009.8,13.63,99.2,0.0, , 
,14.70,0,15.0,0.0,10110110,14.97,0,0.0,0.00,1009.8,14.44,99.2,0.0, , 
,15.50,0,15.0,0.0,10110110,15.77,0,0.0,0.00,1009.8,15.23,99.2,0.0, , 
,16.30,0,15.0,0.0,10110110,16.57,0,0.0,0.00,1009.8,16.03,99.2,0.0, , 
,17.11,0,15.0,0.0,10110110,17.38,0,0.0,0.00,1009.8,16.85,99.2,0.0, , 
,17.91,0,15.0,0.0,10110110,18.18,0,0.0,0.00,1009.8,17.64,99.2,0.0, , 
,18.74,0,15.0,0.0,10110110,19.02,0,0.0,0.00,1009.8,18.46,99.2,0.0, , 
,19.55,0,15.0,0.0,10110110,19.81,0,0.0,0.00,1009.8,19.28,99.2,0.0, , 
,20.35,0,15.0,0.0,10110110,20.61,0,0.0,0.00,1009.8,20.08,99.2,0.0, , 
,21.14,0,15.0,0.0,10110110,21.41,0,0.0,0.00,1009.8,20.88,99.2,0.0, , 
,21.95,0,15.0,0.0,10110110,22.22,0,0.0,0.00,1009.8,21.67,99.2,0.0, , 
,22.76,0,15.0,0.0,10110110,23.03,0,0.0,0.00,1009.8,22.48,99.2,0.0, , 
,23.56,0,15.0,0.0,10110110,23.83,0,0.0,0.00,1009.8,23.30,99.2,0.0, , 
,24.36,0,15.0,0.0,10110110,24.63,0,0.0,0.00,1009.8,24.09,99.2,0.0, , 
,25.16,0,15.0,0.0,10110110,25.43,0,0.0,0.00,1009.8,24.89,99.2,0.0, , 
,25.97,0,15.0,0.0,10110110,26.24,0,0.0,0.00,1009.8,25.70,99.2,0.0, , 
,26.76,0,15.0,0.0,10110110,27.03,0,0.0,0.00,1009.8,26.50,99.2,0.0, , 
,27.56,0,15.0,0.0,10110110,27.83,0,0.0,0.00,1009.8,27.30,99.2,0.0, , 
,28.36,0,15.0,0.0,10110110,28.63,0,0.0,0.00,1009.8,28.09,99.2,0.0, , 
,29.16,0,15.0,0.0,10110110,29.42,0,0.0,0.00,1009.8,28.89,99.2,0.0, , 
,29.97,0,15.0,0.0,10110110,30.23,0,0.0,0.00,1009.8,29.70,99.2,0.0, , 
,30.77,0,15.0,0.0,10110110,31.03,192,100.0,85.49,989.4,30.50,99.2,0.0, , 
,31.57,192,15.0,0.0,10110110,31.85,192,100.0,81.37,989.4,31.30,99.2,0.0, , 
,32.39,192,15.0,0.0,10110110,32.66,192,100.0,75.19,989.4,32.13,99.2,0.0, , 
,33.20,192,15.0,0.0,10110110,33.47,192,100.0,69.01,989.4,32.92,99.2,0.0, , 
,34.06,1152,15.0,0.0,10110110,34.40,1152,63.5,16.48,693.6,33.75,99.2,0.0, , 
,35.08,1248,15.0,0.0,10110110,35.42,1088,47.1,11.33,520.2,34.74,0.0,0.0, , 
,36.03,1056,15.0,0.0,10110110,36.34,1056,51.8,12.36,571.2,35.73,0.0,0.0, , 
,36.96,1056,15.0,0.0,10110110,37.29,1024,51.8,11.33,571.2,36.65,0.0,0.0, , 
,37.92,1056,15.0,0.0,10110110,38.26,1056,51.8,11.33,571.2,37.61,0.0,0.0, , 
,38.89,1024,15.0,0.0,10110110,39.21,1024,51.8,11.33,571.2,38.58,0.0,0.0, , 
,39.87,1024,15.0,0.0,10110110,40.18,1024,50.2,10.30,571.2,39.54,0.0,0.0, , 
,40.82,1024,15.0,0.0,10110110,41.15,1024,50.2,10.30,550.8,40.52,0.0,0.0, , 
,41.77,1024,15.0,0.0,10110110,42.08,1024,48.6,9.27,550.8,41.47,0.0,0.0, , 
,42.66,1024,15.0,0.0,10110110,42.95,1024,47.1,9.27,550.8,42.37,0.0,0.0, , 
,43.55,1024,15.0,0.0,10110110,43.85,1024,47.1,9.27,520.2,43.26,0.0,0.0, , 
,44.53,1056,15.0,0.0,10100010,44.85,1184,47.1,9.27,520.2,44.20,0.0,0.0, , 
,45.51,1184,15.0,0.0,10100010,45.82,1184,59.2,13.39,632.4,45.21,0.0,0.0, , 
,46.47,1248,15.0,0.0,10100010,46.79,1152,59.2,11.33,632.4,46.14,0.0,0.0, , 
,47.42,992,15.0,0.0,10100010,47.73,1120,57.6,10.30,632.4,47.10,0.0,0.0, , 
,48.37,1280,15.0,0.0,10110110,48.69,1408,35.3,5.15,418.2,48.04,0.0,0.0, , 
,49.33,1344,15.0,0.0,10110110,49.65,1184,35.3,6.18,418.2,49.03,0.0,0.0, , 
,50.32,960,15.0,0.0,10110110,50.68,992,44.3,8.24,499.8,49.98,0.0,0.0, , 
,51.36,992,15.0,0.0,10100010,51.68,1216,56.1,13.39,612.0,51.04,0.0,0.0, , 
,52.39,1248,16.5,0.0,10100010,52.70,1120,56.1,11.33,612.0,52.03,0.0,0.0, , 
,53.37,1248,16.5,0.0,10110110,53.71,1408,36.9,5.15,438.6,53.03,0.0,0.0, , 
,54.33,1088,16.5,0.0,10100010,54.63,928,47.1,10.30,550.8,54.03,0.0,0.0, , 
,55.24,800,16.5,0.0,10100010,55.53,864,60.4,9.27,673.2,54.94,0.0,0.0, , 
,56.13,768,16.5,0.0,10100010,56.41,896,62.0,9.27,693.6,55.82,0.0,0.0, , 
,57.04,992,16.5,0.0,10100010,57.36,1088,65.1,12.36,693.6,56.72,0.0,0.0, , 
,58.07,1376,16.5,0.0,10100010,58.41,1664,79.6,17.51,795.6,57.68,0.0,0.0, , 
,59.09,2176,16.5,0.0,10100000,59.44,2240,28.2,1.03,357.0,58.76,0.0,0.0, , 
,60.18,1760,16.5,0.0,10100010,60.48,1152,44.3,15.45,479.4,59.81,0.0,0.0, , 
,61.14,1280,16.5,0.0,10100010,61.46,1280,59.2,10.30,632.4,60.81,0.0,0.0, , 
,62.12,1344,18.0,0.0,10100010,62.48,1376,53.3,8.24,591.6,61.78,0.0,0.0, , 
,63.11,1504,18.0,0.0,10100010,63.48,1568,67.8,11.33,693.6,62.81,0.0,0.0, , 
,64.19,1696,18.0,0.0,10100010,64.56,1792,63.5,10.30,652.8,63.84,0.0,0.0, , 
,65.31,1920,18.0,0.0,10100010,65.67,1984,57.6,8.24,612.0,64.94,0.0,0.0, , 
,66.38,2080,18.0,0.0,10100000,66.72,2112,59.2,9.27,612.0,66.03,0.0,0.0, , 
,67.38,2208,18.0,0.0,10100000,67.70,2272,54.5,8.24,571.2,67.04,0.0,0.0, , 
,68.40,2368,18.0,0.0,10100000,68.74,2400,47.1,6.18,499.8,68.04,0.0,0.0, , 
,69.43,2432,18.0,0.0,10100000,69.78,2432,38.4,5.15,418.2,69.08,0.0,0.0, , 
,70.49,2432,18.0,0.0,10100000,70.86,2432,32.5,5.15,377.4,70.12,0.0,0.0, , 
,71.58,2400,18.0,0.0,10100000,71.91,2368,26.7,4.12,316.2,71.19,0.0,0.0, , 
,72.53,2336,19.5,0.0,10100000,72.86,2304,22.0,3.09,275.4,72.21,0.0,0.0, , 
,73.60,1920,19.5,-3.9,10111110,73.90,1536,31.0,5.15,377.4,73.21,0.0,0.0, , 
,74.54,1088,19.5,1.6,10111110,74.91,960,42.7,8.24,479.4,74.25,0.0,0.0, , 
,75.55,1024,19.5,0.0,10111110,75.88,992,40.0,6.18,479.4,75.21,0.0,0.0, , 
,76.49,960,19.5,2.0,10111110,76.79,960,42.7,7.21,499.8,76.18,0.0,0.0, , 
,77.46,960,19.5,4.7,10111110,77.77,960,42.7,6.18,499.8,77.14,0.0,0.0, , 
,78.38,960,19.5,6.6,10111110,78.70,960,42.7,7.21,499.8,78.08,0.0,0.0, , 
,79.35,960,19.5,7.4,10111110,79.66,960,53.3,17.51,571.2,79.03,0.0,0.0, , 
,80.28,1472,21.0,0.0,10101010,80.60,1184,72.2,20.60,734.4,79.99,0.0,0.0, , 
,81.18,960,21.0,0.0,10101010,81.49,1216,76.9,14.42,795.6,80.88,0.0,0.0, , 
,82.14,1760,21.0,0.0,10101010,82.48,2016,67.8,7.21,693.6,81.80,0.0,0.0, , 
,83.20,1920,21.0,0.0,10101010,83.52,1344,44.3,13.39,479.4,82.84,0.0,0.0, , 
,84.17,1248,21.0,0.0,10101010,84.47,1440,88.6,23.69,887.4,83.83,0.0,0.0, , 
,85.15,1664,21.0,0.0,10101010,85.53,1792,88.6,16.48,867.0,84.79,0.0,0.0, , 
,86.23,2080,21.0,0.0,10101000,86.57,2144,76.9,12.36,754.8,85.89,0.0,0.0, , 
,87.26,2368,21.0,-2.3,10101000,87.60,2528,69.4,10.30,693.6,86.92,0.0,0.0, , 
,88.27,2464,22.5,0.0,10111100,88.63,1664,0.0,0.00,336.6,87.92,0.0,0.0, , 
,89.30,1856,22.5,0.0,10101010,89.64,1760,28.2,4.12,357.0,88.93,0.0,0.0, , 
,90.41,1856,22.5,-7.4,10101010,90.78,1856,29.4,4.12,357.0,90.03,0.0,0.0, , 
,91.52,1888,22.5,-14.1,10101010,91.88,1888,28.2,4.12,357.0,91.14,0.0,0.0, , 
,92.59,1920,22.5,-13.3,10101010,92.95,1920,26.7,3.09,336.6,92.24,0.0,0.0, , 
,93.67,1920,22.5,-12.9,10111110,94.05,1920,23.5,3.09,295.8,93.32,0.0,0.0, , 
,94.77,1888,24.0,-4.7,10111110,95.13,1888,25.1,3.09,316.2,94.41,0.0,0.0, , 
,95.86,1856,24.0,0.8,10111110,96.21,1824,26.7,4.12,336.6,95.50,0.0,0.0, , 
,96.93,1824,24.0,4.7,10111110,97.31,1824,26.7,4.12,336.6,96.55,0.0,0.0, , 
,98.06,1792,24.0,7.4,10111110,98.39,1792,28.2,4.12,336.6,97.70,0.0,0.0, , 
,99.13,1760,24.0,9.0,10111110,99.48,1760,28.2,4.12,357.0,98.76,0.0,0.0, , 
,100.26,1760,24.0,9.8,10111110,100.61,1760,28.2,4.12,357.0,99.87,0.0,0.0, , 
,101.34,1760,24.0,9.8,10111110,101.69,1792,28.2,4.12,357.0,100.99,0.0,0.0, , 
,102.40,1760,24.0,9.0,10111110,102.75,1376,0.0,0.00,377.4,102.01,0.0,0.0, , 
,103.38,1120,25.5,0.0,10111110,103.73,1184,35.3,5.15,418.2,103.07,0.0,0.0, , 
,104.31,992,24.0,-0.8,10111110,104.62,928,40.0,6.18,479.4,104.05,0.0,0.0, , 
,105.25,928,25.5,-0.8,10111110,105.58,928,42.7,6.18,499.8,104.94,0.0,0.0, , 
,106.21,928,25.5,0.4,10111110,106.50,928,41.2,6.18,479.4,105.90,0.0,0.0, , 
,107.13,928,25.5,0.4,10111110,107.42,928,41.2,6.18,479.4,106.81,0.0,0.0, , 
,108.03,928,25.5,1.2,10111110,108.33,928,41.2,6.18,499.8,107.72,0.0,0.0, , 
,108.96,928,25.5,2.7,10111110,109.25,928,41.2,6.18,479.4,108.64,0.0,0.0, , 
,109.84,928,25.5,3.9,10111110,110.16,928,42.7,6.18,499.8,109.55,0.0,0.0, , 
,110.85,1696,25.5,0.0,10101010,111.20,1632,31.0,4.12,377.4,110.48,0.0,0.0, , 
,111.93,1664,25.5,0.0,10101010,112.27,1792,51.8,7.21,571.2,111.57,0.0,0.0, , 
,113.00,1952,25.5,0.0,10101010,113.36,2016,47.1,7.21,520.2,112.64,0.0,0.0, , 
,114.05,2144,27.0,4.7,10101000,114.40,2208,41.2,6.18,459.0,113.70,0.0,0.0, , 
,115.06,2304,27.0,1.2,10101000,115.39,2336,28.2,4.12,336.6,114.74,0.0,0.0, , 
,116.06,2432,27.0,-3.9,10101000,116.40,2336,23.5,3.09,295.8,115.74,0.0,0.0, , 
,117.09,2368,27.0,-5.1,10111100,117.42,2336,22.0,3.09,275.4,116.76,0.0,0.0, , 
,118.11,2240,27.0,-1.6,10111100,118.45,2208,22.0,3.09,275.4,117.76,0.0,0.0, , 
,119.15,2144,27.0,1.2,10101000,119.50,2144,23.5,3.09,295.8,118.80,0.0,0.0, , 
,120.16,2240,27.0,6.3,10101000,120.49,2240,31.0,5.15,357.0,119.83,0.0,0.0, , 
,121.17,2336,27.0,12.5,10101000,121.51,2432,36.9,6.18,418.2,120.82,0.0,0.0, , 
,122.23,2560,27.0,14.1,10101000,122.56,2624,41.2,6.18,438.6,121.87,0.0,0.0, , 
,123.22,2368,27.0,0.0,10111100,123.53,1568,0.0,0.00,357.0,122.88,0.0,0.0, , 
,124.13,1184,27.0,0.0,10101010,124.49,1824,36.9,6.18,438.6,123.81,0.0,0.0, , 
,125.20,1984,27.0,0.0,10101010,125.55,2016,72.2,13.39,734.4,124.84,0.0,0.0, , 
,126.20,2144,28.5,0.0,10101000,126.57,2176,0.0,0.00,499.8,125.88,0.0,0.0, , 
,127.25,1248,28.5,0.0,10111110,127.59,1280,34.1,6.18,418.2,126.91,0.0,0.0, , 
,128.23,1120,28.5,0.0,10111110,128.55,1056,35.3,4.12,438.6,127.91,0.0,0.0, , 
,129.18,960,28.5,-8.6,10111110,129.49,928,41.2,5.15,479.4,128.88,0.0,0.0, , 
,130.12,960,28.5,-6.3,10111110,130.45,960,40.0,5.15,479.4,129.80,0.0,0.0, , 
,131.07,928,28.5,-3.9,10111110,131.35,960,41.2,6.18,479.4,130.76,0.0,0.0, , 
,131.99,896,28.5,0.0,10101010,132.29,928,54.5,11.33,591.6,131.67,0.0,0.0, , 
,132.91,1088,28.5,0.0,10101010,133.25,1184,67.8,13.39,714.0,132.59,0.0,0.0, , 
,133.93,1376,28.5,0.0,10101010,134.31,1504,69.4,6.18,754.8,133.59,0.0,0.0, , 
,135.01,1664,28.5,0.0,10101010,135.37,1728,34.1,4.12,397.8,134.64,0.0,0.0, , 
,136.10,1760,28.5,-10.9,10101010,136.46,1760,25.1,3.09,336.6,135.74,0.0,0.0, , 
,137.20,1792,28.5,-12.9,10111110,137.55,1792,26.7,3.09,336.6,136.80,0.0,0.0, , 
,138.28,1696,30.0,-6.3,10111110,138.64,1664,29.4,4.12,357.0,137.93,0.0,0.0, , 
,139.33,1568,30.0,-0.8,10111110,139.60,1472,29.4,4.12,357.0,139.00,0.0,0.0, , 
,140.20,1408,30.0,3.9,10101010,140.53,1408,32.5,5.15,397.8,139.87,0.0,0.0, , 
,141.23,1504,30.0,7.8,10101010,141.65,1504,42.7,7.21,479.4,140.85,0.0,0.0, , 
,142.39,1632,30.0,0.0,10101010,142.75,1728,65.1,10.30,693.6,142.02,0.0,0.0, , 
,143.48,1888,30.0,1.6,10101010,143.84,1984,59.2,9.27,632.4,143.12,0.0,0.0, , 
,144.52,2208,30.0,6.6,11101000,144.85,2240,62.0,8.24,652.8,144.18,0.0,0.0, , 
,145.57,1088,30.0,0.0,11111110,145.89,1216,36.9,6.18,438.6,145.25,0.0,0.0, , 
,146.53,1152,31.5,0.0,11111110,146.84,1056,34.1,5.15,418.2,146.22,0.0,0.0, , 
,147.46,928,31.5,-6.3,11111110,147.77,928,40.0,5.15,479.4,147.16,0.0,0.0, , 
,148.41,896,31.5,-6.6,11111110,148.73,896,41.2,5.15,499.8,148.08,0.0,0.0, , 
,149.35,928,31.5,-3.1,11111110,149.64,928,40.0,5.15,479.4,149.05,0.0,0.0, , 
,150.26,896,31.5,-1.6,10111110,150.59,896,40.0,6.18,479.4,149.96,0.0,0.0, , 
,151.21,896,31.5,0.0,10101010,151.56,960,56.1,10.30,632.4,150.90,0.0,0.0, , 
,152.18,1056,31.5,0.0,10101010,152.52,1120,71.0,11.33,754.8,151.89,0.0,0.0, , 
,153.20,1312,31.5,0.0,10101010,153.56,1472,92.9,18.54,948.6,152.85,0.0,0.0, , 
,154.31,1792,31.5,0.0,11101010,154.67,1952,91.4,16.48,907.8,153.92,0.0,0.0, , 
,155.35,2240,31.5,0.0,11101000,155.69,2368,79.6,11.33,795.6,155.01,0.0,0.0, , 
,156.35,2592,33.0,0.0,11101000,156.67,2688,54.5,4.12,591.6,156.01,0.0,0.0, , 
,157.32,1408,33.0,0.0,11111110,157.62,1152,36.9,6.18,438.6,157.02,0.0,0.0, , 
,158.38,1792,33.0,0.0,11101010,158.77,1792,60.4,13.39,632.4,158.00,0.0,0.0, , 
,159.49,1856,33.0,0.0,11101010,159.85,1888,75.3,13.39,775.2,159.13,0.0,0.0, , 
,160.55,1984,33.0,0.0,11101010,160.90,2048,73.7,11.33,754.8,160.20,0.0,0.0, , 
,161.60,2144,33.0,0.0,11101000,161.94,2176,72.2,11.33,734.4,161.25,0.0,0.0, , 
,162.61,2304,33.0,3.9,11101000,162.97,2368,79.6,13.39,795.6,162.27,0.0,0.0, , 
,163.67,2496,33.0,4.7,11101000,164.01,2528,76.9,12.36,775.2,163.31,0.0,0.0, , 
,164.69,2624,33.0,4.7,11101000,165.00,2688,79.6,13.39,775.2,164.35,0.0,0.0, , 
,165.66,2752,33.0,5.1,11101000,166.01,2336,0.0,0.00,336.6,165.33,0.0,0.0, , 
,166.70,1120,34.5,0.0,11111110,167.04,1504,32.5,4.12,397.8,166.38,0.0,0.0, , 
,167.76,1920,34.5,0.0,11101010,168.13,1952,29.4,4.12,357.0,167.41,0.0,0.0, , 
,168.85,1920,34.5,-8.6,11101010,169.21,1920,35.3,5.15,418.2,168.48,0.0,0.0, , 
,169.93,1920,34.5,-4.7,11101010,170.27,1920,34.1,4.12,397.8,169.56,0.0,0.0, , 
,170.97,1888,34.5,-4.3,11101010,171.33,1888,23.5,3.09,295.8,170.63,0.0,0.0, , 
,172.06,1888,34.5,-0.4,11101010,172.44,1888,45.9,6.18,499.8,171.70,0.0,0.0, , 
,173.16,1920,34.5,7.0,11101010,173.53,1920,42.7,6.18,479.4,172.80,0.0,0.0, , 
,174.28,1920,36.0,1.6,11101010,174.65,1888,29.4,4.12,357.0,173.90,0.0,0.0, , 
,175.39,1888,36.0,2.0,11101010,175.76,1888,29.4,4.12,357.0,175.03,0.0,0.0, , 
,176.51,1888,36.0,2.3,11101010,176.91,1856,25.1,3.09,316.2,176.14,0.0,0.0, , 
,177.66,1824,36.0,3.5,11101010,178.02,1824,32.5,4.12,377.4,177.29,0.0,0.0, , 
,178.75,1824,36.0,4.7,11101010,179.14,1824,29.4,4.12,377.4,178.38,0.0,0.0, , 
,179.88,1824,36.0,1.2,11101010,180.21,1792,25.1,3.09,316.2,179.52,0.0,0.0, , 
,180.92,1792,36.0,1.6,11101010,181.30,1792,25.1,3.09,336.6,180.54,0.0,0.0, , 
,182.01,1760,36.0,2.0,11101010,182.40,1760,26.7,3.09,336.6,181.66,0.0,0.0, , 
,183.12,1760,37.5,3.1,11101010,183.47,1792,53.3,13.39,550.8,182.77,0.0,0.0, , 
,184.24,1792,37.5,0.0,11101010,184.60,1824,50.2,7.21,550.8,183.86,0.0,0.0, , 
,185.31,1856,37.5,0.0,11101010,185.69,1856,96.1,18.54,969.0,184.95,0.0,0.0, , 
,186.42,1920,37.5,0.0,11111110,186.78,1888,23.5,3.09,316.2,186.04,0.0,0.0, , 
,187.53,1856,37.5,-9.4,11111110,187.92,1824,23.5,3.09,316.2,187.16,0.0,0.0, , 
,188.69,1792,37.5,-3.1,11101010,189.03,1760,25.1,3.09,336.6,188.31,0.0,0.0, , 
,189.75,1760,37.5,0.0,11101010,190.11,1728,36.9,5.15,438.6,189.39,0.0,0.0, , 
,190.85,1696,37.5,1.6,11111110,191.19,1696,28.2,4.12,357.0,190.47,0.0,0.0, , 
,191.90,1664,37.5,2.3,11111110,192.24,1664,28.2,4.12,357.0,191.54,0.0,0.0, , 
,192.91,1600,37.5,5.9,11101010,193.26,1632,28.2,4.12,357.0,192.58,0.0,0.0, , 
,193.97,1600,39.0,7.8,11111110,194.34,1632,28.2,4.12,357.0,193.60,0.0,0.0, , 
,195.02,1568,39.0,9.0,11111110,195.38,1536,28.2,4.12,357.0,194.68,0.0,0.0, , 
,196.11,1504,39.0,10.2,11101010,196.38,1472,28.2,4.12,357.0,195.83,0.0,0.0, , 
,197.00,1472,39.0,10.9,11101010,197.27,1472,47.1,8.24,520.2,196.73,0.0,0.0, , 
,197.91,1504,39.0,0.0,11101010,198.24,1504,79.6,14.42,846.6,197.63,0.0,0.0, , 
,198.97,1536,39.0,0.0,11101010,199.30,1504,35.3,5.15,418.2,198.56,0.0,0.0, , 
,200.05,1504,39.0,-0.4,11101010,200.32,1504,34.1,5.15,418.2,199.62,0.0,0.0, , 
,201.01,1504,39.0,2.7,11101010,201.36,1504,62.0,16.48,652.8,200.69,0.0,0.0, , 
,202.13,1536,39.0,0.0,11101010,202.48,1536,40.0,6.18,479.4,201.75,0.0,0.0, , 
,203.18,1536,39.0,0.8,11101010,203.56,1536,47.1,7.21,550.8,202.83,0.0,0.0, , 
,204.28,1568,39.0,0.0,11101010,204.64,1568,63.5,10.30,673.2,203.91,0.0,0.0, , 
,205.38,1600,39.0,0.0,11101010,205.73,1632,66.3,10.30,714.0,205.00,0.0,0.0, , 
,206.49,1664,40.5,5.1,11101010,206.82,1664,56.1,8.24,612.0,206.13,0.0,0.0, , 
,207.54,1696,40.5,0.0,11101010,207.90,1728,54.5,8.24,591.6,207.17,0.0,0.0, , 
,208.64,1728,40.5,3.9,11101010,209.01,1760,57.6,9.27,632.4,208.28,0.0,0.0, , 
,209.79,1760,40.5,5.1,11101010,210.17,1760,53.3,8.24,591.6,209.39,0.0,0.0, , 
,210.92,1792,40.5,0.0,11101010,211.25,1792,34.1,4.12,397.8,210.55,0.0,0.0, , 
,211.99,1792,40.5,-4.3,11101010,212.37,1792,29.4,3.09,357.0,211.59,0.0,0.0, , 
,213.10,1760,40.5,-4.3,11101010,213.47,1760,31.0,4.12,377.4,212.76,0.0,0.0, , 
,214.16,1728,40.5,-2.7,11101010,214.52,1728,26.7,3.09,336.6,213.81,0.0,0.0, , 
,215.23,1696,40.5,-0.4,11101010,215.60,1696,28.2,4.12,357.0,214.90,0.0,0.0, , 
,216.28,1664,40.5,3.1,11111110,216.63,1664,28.2,4.12,357.0,215.95,0.0,0.0, , 
,217.32,1632,42.0,5.9,11111110,217.67,1632,28.2,4.12,357.0,216.97,0.0,0.0, , 
,218.41,1472,40.5,8.2,11111110,218.77,1408,29.4,4.12,377.4,218.06,0.0,0.0, , 
,219.42,1248,40.5,7.4,11111110,219.75,1248,29.4,4.12,377.4,219.10,0.0,0.0, , 
,220.43,1216,40.5,7.4,11101010,220.75,1216,34.1,5.15,418.2,220.09,0.0,0.0, , 
,221.41,1216,42.0,0.0,11101010,221.75,1216,92.9,18.54,969.0,221.08,0.0,0.0, , 
