Niedziela,16,Sierpień,2026,17:20:13:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'004,,,,Grupa C:,'012
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Napięcie,Temperatura,Temperatura,,Obroty silnika,Obciążenie,(bez jednostek),(bez jednostek)
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, V,*C,*C,ZAPISU, /min, %,,
,0.54,0,24.0,0.0,10110110,0.01,0,12.02,24.0,24.0,0.27,0,0.0,0.0,0.0
,1.34,0,24.0,0.0,10110110,0.81,0,12.02,24.0,24.0,1.07,0,0.0,0.0,0.0
,2.17,0,24.0,0.0,10110110,1.61,0,12.02,24.0,24.0,1.89,0,0.0,0.0,0.0
,2.96,0,24.0,0.0,10110110,2.43,0,12.02,24.0,24.0,2.70,0,0.0,0.0,0.0
,3.76,0,24.0,0.0,10110110,3.23,0,12.02,24.0,24.0,3.49,0,0.0,0.0,0.0
,4.55,224,24.0,0.0,10110110,4.02,0,12.02,24.0,24.0,4.29,0,0.0,0.0,0.0
,5.40,192,24.0,0.0,10110110,4.83,192,8.99,24.0,24.0,5.11,192,100.0,0.0,86.0
,6.37,1248,24.0,0.0,10110110,5.71,832,10.91,24.0,24.0,6.02,1216,65.1,28.0,86.0
,7.32,1152,24.0,0.0,10110110,6.68,1216,13.94,24.0,24.0,7.00,1184,40.0,28.0,86.0
,8.27,1152,24.0,0.0,10110110,7.65,1152,13.94,24.0,24.0,7.96,1152,40.0,28.0,86.0
,9.27,1152,24.0,0.0,10110110,8.60,1152,14.04,24.0,24.0,8.93,1152,40.0,28.0,86.0
,10.24,1120,25.5,0.0,10110110,9.59,1152,13.94,25.5,24.0,9.92,1120,40.0,28.0,86.0
,11.19,1152,24.0,0.0,10110110,10.56,1152,13.94,24.0,24.0,10.87,1152,38.4,28.0,86.0
,12.20,1120,24.0,0.0,10110110,11.53,1152,14.04,24.0,24.0,11.87,1120,38.4,28.0,86.0
,13.18,1152,24.0,0.0,10110110,12.54,1120,14.04,24.0,24.0,12.85,1120,38.4,28.0,86.0
,14.19,1120,24.0,0.0,10110110,13.51,1120,14.04,24.0,24.0,13.85,1120,38.4,28.0,86.0
,15.18,1152,24.0,0.0,10110110,14.51,1120,14.04,24.0,24.0,14.85,1120,38.4,28.0,86.0
