Œroda,16,Wrzesieñ,2026,06:35:57:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.01,0,18.0,0.0,10110110,0.26,0,0.0,0.00,989.4,0.53,99.2,0.0, , 
,0.79,0,18.0,0.0,10110110,1.06,0,0.0,0.00,989.4,1.32,99.2,0.0, , 
,1.59,0,18.0,0.0,10110110,1.85,0,0.0,0.00,989.4,2.12,99.2,0.0, , 
,2.38,0,18.0,0.0,10110110,2.65,0,0.0,0.00,989.4,2.92,99.2,0.0, , 
,3.19,0,18.0,0.0,10110110,3.46,0,0.0,0.00,989.4,3.73,99.2,0.0, , 
,4.00,0,18.0,0.0,10110110,4.26,0,0.0,0.00,989.4,4.53,99.2,0.0, , 
,4.79,0,18.0,0.0,10110110,5.06,0,0.0,0.00,989.4,5.32,99.2,0.0, , 
,5.59,0,18.0,0.0,10110110,5.86,0,0.0,0.00,989.4,6.12,99.2,0.0, , 
,6.38,0,18.0,0.0,10110110,6.66,0,0.0,0.00,989.4,6.94,99.2,0.0, , 
,7.22,0,18.0,0.0,10110110,7.50,0,0.0,0.00,989.4,7.76,99.2,0.0, , 
,8.02,0,18.0,0.0,10110110,8.29,0,0.0,0.00,989.4,8.56,99.2,0.0, , 
,8.82,0,18.0,0.0,10110110,9.09,0,0.0,0.00,989.4,9.36,99.2,0.0, , 
,9.64,0,18.0,0.0,10110110,9.90,0,0.0,0.00,989.4,10.17,99.2,0.0, , 
,10.43,0,18.0,0.0,10110110,10.70,0,0.0,0.00,989.4,10.96,99.2,0.0, , 
,11.24,0,18.0,0.0,10110110,11.51,0,0.0,0.00,989.4,11.78,99.2,0.0, , 
,12.04,0,18.0,0.0,10110110,12.31,0,0.0,0.00,989.4,12.57,99.2,0.0, , 
,12.84,0,18.0,0.0,10110110,13.11,0,0.0,0.00,989.4,13.39,99.2,0.0, , 
,13.65,0,18.0,0.0,10110110,13.92,0,0.0,0.00,989.4,14.18,99.2,0.0, , 
,14.45,0,18.0,0.0,10110110,14.72,0,0.0,0.00,989.4,14.98,99.2,0.0, , 
,15.24,0,18.0,0.0,10110110,15.51,0,0.0,0.00,989.4,15.78,99.2,0.0, , 
,16.04,0,18.0,0.0,10110110,16.31,0,0.0,0.00,989.4,16.57,99.2,0.0, , 
,16.84,0,18.0,0.0,10110110,17.11,0,0.0,0.00,989.4,17.38,99.2,0.0, , 
,17.66,0,18.0,0.0,10110110,17.94,0,0.0,0.00,989.4,18.22,99.2,0.0, , 
,18.50,0,18.0,0.0,10110110,18.76,0,0.0,0.00,989.4,19.03,99.2,0.0, , 
,19.31,192,18.0,0.0,10110110,19.57,192,100.0,70.04,969.0,19.84,99.2,0.0, , 
,20.14,256,18.0,0.0,10110110,20.45,1184,71.0,17.51,734.4,20.77,0.0,0.0, , 
,21.09,1152,18.0,0.0,10110110,21.40,1280,42.7,10.30,499.8,21.70,0.0,0.0, , 
,22.01,1088,18.0,0.0,10110110,22.33,1088,48.6,11.33,550.8,22.65,0.0,0.0, , 
,22.96,1088,18.0,0.0,10110110,23.28,1056,47.1,10.30,520.2,23.59,0.0,0.0, , 
,23.91,1024,18.0,0.0,10110110,24.24,1024,50.2,10.30,550.8,24.55,0.0,0.0, , 
,24.87,1024,18.0,0.0,10110110,25.18,1024,48.6,10.30,550.8,25.50,0.0,0.0, , 
,25.79,1024,18.0,0.0,10110110,26.09,1024,47.1,9.27,550.8,26.42,0.0,0.0, , 
,26.74,1024,18.0,0.0,10110110,27.07,1024,45.9,9.27,520.2,27.39,0.0,0.0, , 
,27.72,1024,18.0,0.0,10110110,28.04,1024,45.9,8.24,520.2,28.37,0.0,0.0, , 
,28.71,1024,18.0,0.0,10110110,29.00,992,44.3,8.24,520.2,29.34,0.0,0.0, , 
,29.69,992,18.0,0.0,10110110,29.97,960,45.9,8.24,520.2,30.28,0.0,0.0, , 
,30.56,960,18.0,0.0,10100010,30.87,1056,48.6,9.27,550.8,31.16,0.0,0.0, , 
,31.47,960,18.0,0.0,10100010,31.76,864,54.5,12.36,591.6,32.05,0.0,0.0, , 
,32.36,704,18.0,0.0,10100010,32.68,704,73.7,18.54,754.8,32.97,0.0,0.0, , 
,33.29,960,18.0,0.0,10110110,33.57,992,50.2,7.21,571.2,33.90,0.0,0.0, , 
,34.17,992,18.0,0.0,10100010,34.44,992,44.3,7.21,499.8,34.71,0.0,0.0, , 
,35.04,1024,18.0,0.0,10100010,35.37,1088,44.3,7.21,499.8,35.68,0.0,0.0, , 
,36.00,1152,18.0,0.0,10110110,36.36,1248,36.9,5.15,438.6,36.71,0.0,0.0, , 
,37.07,1344,18.0,0.0,10110110,37.39,1216,35.3,5.15,418.2,37.70,0.0,0.0, , 
,38.01,1024,18.0,0.0,10110110,38.36,1024,41.2,7.21,479.4,38.66,0.0,0.0, , 
,38.97,1024,18.0,0.0,10110110,39.32,1024,38.4,6.18,459.0,39.59,0.0,0.0, , 
,39.90,960,18.0,0.0,10110110,40.19,928,40.0,6.18,479.4,40.50,0.0,0.0, , 
,40.81,800,18.0,0.0,10100010,41.15,1056,63.5,12.36,673.2,41.50,0.0,0.0, , 
,41.82,1152,19.5,0.0,10100010,42.18,992,56.1,10.30,612.0,42.51,0.0,0.0, , 
,42.83,1120,19.5,0.0,10100010,43.14,1088,41.2,6.18,479.4,43.45,0.0,0.0, , 
,43.74,704,19.5,0.0,10100010,44.05,1024,56.1,7.21,632.4,44.35,0.0,0.0, , 
,44.64,768,19.5,0.0,10100010,44.94,736,66.3,18.54,693.6,45.28,0.0,0.0, , 
,45.59,960,19.5,0.0,10100010,45.92,864,57.6,9.27,632.4,46.19,0.0,0.0, , 
,46.51,1024,19.5,0.0,10100010,46.83,1152,72.2,16.48,754.8,47.15,0.0,0.0, , 
,47.50,1504,19.5,0.0,10100010,47.87,1696,66.3,10.30,693.6,48.23,0.0,0.0, , 
,48.58,2016,19.5,0.0,10110100,48.94,2016,26.7,3.09,316.2,49.34,0.0,0.0, , 
,49.69,1440,19.5,0.0,10100010,50.00,1056,40.0,8.24,459.0,50.33,0.0,0.0, , 
,50.66,1088,19.5,0.0,10100010,50.99,1088,63.5,16.48,652.8,51.30,0.0,0.0, , 
,51.64,1216,21.0,0.0,10100010,51.96,1280,69.4,12.36,734.4,52.34,0.0,0.0, , 
,52.75,1440,21.0,0.0,10100010,53.08,1536,67.8,11.33,714.0,53.47,0.0,0.0, , 
,53.82,1728,21.0,0.0,10100010,54.21,1824,71.0,11.33,734.4,54.58,0.0,0.0, , 
,54.93,1952,21.0,-7.8,10101010,55.29,2016,57.6,8.24,591.6,55.65,0.0,0.0, , 
,56.00,2112,21.0,-7.4,10101000,56.34,2144,54.5,7.21,571.2,56.69,0.0,0.0, , 
,57.03,2240,21.0,-2.3,10101000,57.36,2272,51.8,7.21,550.8,57.71,0.0,0.0, , 
,58.06,2336,21.0,1.2,10101000,58.38,2368,44.3,6.18,479.4,58.72,0.0,0.0, , 
,59.07,2400,21.0,1.2,10101000,59.44,2400,41.2,6.18,438.6,59.80,0.0,0.0, , 
,60.14,2432,21.0,1.2,10101000,60.48,2464,38.4,6.18,418.2,60.80,0.0,0.0, , 
,61.13,1760,22.5,0.0,10111110,61.45,1120,35.3,7.21,418.2,61.76,0.0,0.0, , 
,62.07,1248,22.5,0.0,10111110,62.41,1216,32.5,6.18,397.8,62.75,0.0,0.0, , 
,63.07,1120,22.5,-5.1,10111110,63.37,1088,35.3,5.15,418.2,63.69,0.0,0.0, , 
,63.98,1024,22.5,-9.4,10111110,64.25,960,38.4,5.15,459.0,64.55,0.0,0.0, , 
,64.86,960,22.5,-8.2,10111110,65.21,960,40.0,5.15,459.0,65.50,0.0,0.0, , 
,65.77,960,22.5,-6.3,10111110,66.11,960,38.4,5.15,459.0,66.40,0.0,0.0, , 
,66.70,960,22.5,-4.3,10111110,66.98,960,38.4,5.15,459.0,67.30,0.0,0.0, , 
,67.61,896,22.5,-2.3,10111110,67.90,928,38.4,5.15,459.0,68.22,0.0,0.0, , 
,68.55,928,22.5,-0.8,10111110,68.88,928,38.4,5.15,459.0,69.21,0.0,0.0, , 
,69.52,928,24.0,0.4,10111110,69.84,928,36.9,5.15,438.6,70.14,0.0,0.0, , 
,70.46,896,24.0,2.7,10101010,70.80,1056,54.5,16.48,591.6,71.13,0.0,0.0, , 
,71.44,1056,24.0,0.0,10101010,71.72,800,72.2,19.57,734.4,72.02,0.0,0.0, , 
,72.35,992,24.0,0.0,10101010,72.68,1248,78.4,17.51,795.6,73.01,0.0,0.0, , 
,73.37,1696,24.0,0.0,10101010,73.71,1952,62.0,8.24,652.8,74.00,0.0,0.0, , 
,74.32,1152,24.0,0.0,10111110,74.64,1312,36.9,6.18,438.6,74.97,0.0,0.0, , 
,75.30,1120,24.0,0.0,10101010,75.63,1120,48.6,8.24,550.8,75.95,0.0,0.0, , 
,76.26,1216,24.0,0.0,10101010,76.60,1248,60.4,12.36,632.4,76.96,0.0,0.0, , 
,77.27,1408,24.0,0.0,10101010,77.58,1472,66.3,12.36,693.6,77.96,0.0,0.0, , 
,78.32,1696,24.0,0.0,10101010,78.70,1760,65.1,10.30,673.2,79.07,0.0,0.0, , 
,79.43,1952,25.5,-5.5,10101010,79.79,2048,53.3,7.21,571.2,80.14,0.0,0.0, , 
,80.48,2176,25.5,-8.2,10101000,80.82,2240,40.0,5.15,438.6,81.16,0.0,0.0, , 
,81.53,2336,25.5,-7.8,10101000,81.88,2368,38.4,5.15,418.2,82.25,0.0,0.0, , 
,82.60,2464,25.5,-2.7,10101000,82.94,2496,32.5,4.12,377.4,83.34,0.0,0.0, , 
,83.65,1184,25.5,0.0,10111110,83.98,1120,35.3,6.18,418.2,84.31,0.0,0.0, , 
,84.63,1440,25.5,0.0,10111110,84.97,1664,29.4,4.12,357.0,85.31,0.0,0.0, , 
,85.68,1664,25.5,-2.0,10111110,86.05,1664,29.4,4.12,357.0,86.42,0.0,0.0, , 
,86.77,1664,25.5,1.6,10101010,87.12,1632,28.2,4.12,357.0,87.46,0.0,0.0, , 
,87.80,1696,27.0,2.7,10101010,88.15,1696,28.2,4.12,336.6,88.51,0.0,0.0, , 
,88.87,1728,27.0,2.7,10101010,89.25,1728,28.2,4.12,357.0,89.59,0.0,0.0, , 
,89.94,1760,27.0,3.9,10111110,90.33,1792,28.2,4.12,357.0,90.68,0.0,0.0, , 
,91.05,1760,27.0,5.1,10111110,91.42,1760,28.2,4.12,357.0,91.78,0.0,0.0, , 
,92.11,1696,27.0,7.0,10111110,92.45,1696,29.4,4.12,357.0,92.81,0.0,0.0, , 
,93.16,1664,27.0,7.8,10111110,93.53,1664,29.4,4.12,357.0,93.87,0.0,0.0, , 
,94.22,1696,27.0,8.2,10111110,94.57,1664,29.4,4.12,357.0,94.93,0.0,0.0, , 
,95.28,1696,27.0,7.8,10111110,95.61,1696,29.4,4.12,357.0,95.94,0.0,0.0, , 
,96.28,1664,27.0,8.6,10111110,96.61,1568,29.4,4.12,357.0,96.92,0.0,0.0, , 
,97.18,1472,27.0,7.4,10111110,97.53,1472,31.0,4.12,377.4,97.85,0.0,0.0, , 
,98.21,1408,28.5,7.4,10111110,98.56,1376,31.0,5.15,377.4,98.88,0.0,0.0, , 
,99.22,1248,28.5,7.4,10111110,99.54,1184,32.5,5.15,397.8,99.87,0.0,0.0, , 
,100.19,1056,28.5,7.0,10111110,100.49,992,40.0,6.18,459.0,100.81,0.0,0.0, , 
,101.13,896,28.5,8.2,10111110,101.44,896,45.9,7.21,520.2,101.77,0.0,0.0, , 
,102.10,928,28.5,9.0,10111110,102.42,928,42.7,7.21,499.8,102.74,0.0,0.0, , 
,103.06,928,28.5,8.2,10111110,103.37,928,42.7,6.18,499.8,103.68,0.0,0.0, , 
,103.99,928,28.5,6.6,10111110,104.31,928,41.2,6.18,499.8,104.63,0.0,0.0, , 
,104.96,928,28.5,5.9,10111110,105.27,928,41.2,6.18,479.4,105.58,0.0,0.0, , 
,105.87,928,28.5,4.7,10111110,106.17,928,41.2,6.18,479.4,106.48,0.0,0.0, , 
,106.81,928,28.5,3.9,10111110,107.11,928,41.2,6.18,479.4,107.40,0.0,0.0, , 
,107.72,928,30.0,3.1,10111110,108.03,928,40.0,5.15,479.4,108.35,0.0,0.0, , 
,108.66,896,30.0,2.7,10111110,109.00,960,40.0,6.18,479.4,109.37,0.0,0.0, , 
,109.73,1664,30.0,3.5,10101010,110.11,1664,29.4,4.12,357.0,110.47,0.0,0.0, , 
,110.86,1728,30.0,4.7,10101010,111.24,1792,35.3,5.15,418.2,111.62,0.0,0.0, , 
,112.00,1888,30.0,6.3,10101010,112.34,1952,32.5,5.15,377.4,112.71,0.0,0.0, , 
,113.06,1952,30.0,-0.4,10101010,113.41,1984,20.8,3.09,275.4,113.79,0.0,0.0, , 
,114.16,1984,30.0,-6.6,10111110,114.51,1952,22.0,3.09,295.8,114.87,0.0,0.0, , 
,115.25,1888,31.5,-1.6,10101010,115.61,1888,25.1,3.09,316.2,115.98,0.0,0.0, , 
,116.35,1952,31.5,3.5,10101010,116.72,1984,36.9,5.15,418.2,117.07,0.0,0.0, , 
,117.42,2112,31.5,0.0,10101000,117.75,2208,44.3,6.18,479.4,118.08,0.0,0.0, , 
,118.45,2368,31.5,7.0,10101000,118.80,2464,44.3,7.21,479.4,119.17,0.0,0.0, , 
,119.49,1536,31.5,0.0,10111110,119.82,1088,35.3,6.18,418.2,120.21,0.0,0.0, , 
,120.56,1728,31.5,0.0,10101010,120.92,1792,28.2,4.12,357.0,121.28,0.0,0.0, , 
,121.65,1856,31.5,-2.7,10101010,122.00,1888,29.4,4.12,357.0,122.36,0.0,0.0, , 
,122.72,1920,31.5,-6.3,10101010,123.07,1920,26.7,3.09,336.6,123.37,0.0,0.0, , 
,123.65,960,31.5,0.0,10111110,123.98,1120,42.7,7.21,499.8,124.29,0.0,0.0, , 
,124.62,1184,33.0,0.0,10111110,124.94,1088,31.0,5.15,397.8,125.25,0.0,0.0, , 
,125.54,992,33.0,-3.5,10111110,125.86,960,36.9,5.15,438.6,126.12,0.0,0.0, , 
,126.39,992,33.0,-3.1,10111110,126.69,960,35.3,5.15,438.6,126.97,0.0,0.0, , 
,127.27,928,33.0,-2.7,10111110,127.59,928,36.9,5.15,459.0,127.89,0.0,0.0, , 
,128.19,960,33.0,-0.8,10111110,128.50,896,35.3,5.15,438.6,128.80,0.0,0.0, , 
,129.10,896,33.0,1.2,10111110,129.41,896,38.4,5.15,459.0,129.75,0.0,0.0, , 
,130.07,832,33.0,0.0,10101010,130.38,928,62.0,12.36,693.6,130.74,0.0,0.0, , 
,131.07,1088,33.0,0.0,10101010,131.41,1184,78.4,17.51,826.2,131.72,0.0,0.0, , 
,132.03,1376,33.0,0.0,10101010,132.42,1472,67.8,10.30,734.4,132.79,0.0,0.0, , 
,133.17,1696,33.0,4.7,10101010,133.54,1824,57.6,9.27,632.4,133.91,0.0,0.0, , 
,134.26,1952,33.0,0.0,10111110,134.62,1952,22.0,3.09,295.8,134.98,0.0,0.0, , 
,135.34,1888,33.0,-13.3,10111110,135.71,1888,22.0,3.09,295.8,136.07,0.0,0.0, , 
,136.43,1760,34.5,-6.3,10111110,136.78,1728,28.2,3.09,357.0,137.14,0.0,0.0, , 
,137.50,1600,34.5,0.4,10111110,137.84,1600,28.2,4.12,357.0,138.17,0.0,0.0, , 
,138.55,1536,34.5,4.7,10101010,138.87,1568,28.2,4.12,357.0,139.21,0.0,0.0, , 
,139.54,1536,34.5,7.4,10101010,139.88,1536,29.4,4.12,377.4,140.25,0.0,0.0, , 
,140.59,1568,34.5,0.0,10101010,140.94,1600,44.3,6.18,499.8,141.27,0.0,0.0, , 
,141.63,1696,34.5,0.0,10101010,141.96,1760,54.5,8.24,591.6,142.32,0.0,0.0, , 
,142.69,1888,34.5,5.5,10101010,143.04,1984,50.2,7.21,550.8,143.39,0.0,0.0, , 
,143.73,2112,34.5,7.4,10101000,144.07,2176,51.8,8.24,550.8,144.41,0.0,0.0, , 
,144.75,2304,36.0,7.4,10101000,145.08,2336,47.1,7.21,499.8,145.43,0.0,0.0, , 
,145.78,2432,36.0,10.2,10101000,146.12,2528,59.2,9.27,612.0,146.44,0.0,0.0, , 
,146.80,2656,36.0,10.9,10101000,147.14,2496,0.0,0.00,357.0,147.46,0.0,0.0, , 
,147.80,1216,36.0,0.0,10111110,148.15,1280,35.3,5.15,418.2,148.52,0.0,0.0, , 
,148.92,1760,36.0,0.0,10101010,149.28,1728,36.9,5.15,418.2,149.63,0.0,0.0, , 
,150.01,1760,36.0,0.4,10101010,150.36,1760,45.9,7.21,499.8,150.72,0.0,0.0, , 
,151.08,1824,36.0,0.0,10101010,151.44,1856,59.2,9.27,632.4,151.80,0.0,0.0, , 
,152.16,1920,36.0,2.3,10101010,152.51,1952,54.5,8.24,591.6,152.87,0.0,0.0, , 
,153.23,2016,36.0,0.8,10101000,153.58,2016,36.9,5.15,438.6,153.92,0.0,0.0, , 
,154.27,2016,36.0,-0.8,10101000,154.62,2048,42.7,6.18,479.4,154.97,0.0,0.0, , 
,155.30,2048,37.5,3.5,10101000,155.63,2080,42.7,6.18,479.4,155.99,0.0,0.0, , 
,156.32,2112,37.5,5.9,10101000,156.67,2144,42.7,6.18,459.0,157.01,0.0,0.0, , 
,157.35,2144,37.5,6.6,11101000,157.69,2176,42.7,6.18,479.4,158.02,0.0,0.0, , 
,158.37,2176,37.5,8.6,11101000,158.70,2208,44.3,6.18,479.4,159.04,0.0,0.0, , 
,159.38,2208,37.5,9.4,11101000,159.72,2240,45.9,7.21,499.8,160.05,0.0,0.0, , 
,160.37,2240,37.5,8.6,11101000,160.71,2240,42.7,6.18,479.4,161.05,0.0,0.0, , 
,161.37,2240,37.5,4.7,11101000,161.72,2240,34.1,5.15,397.8,162.05,0.0,0.0, , 
,162.38,2240,37.5,0.0,11101000,162.73,2240,40.0,6.18,459.0,163.06,0.0,0.0, , 
,163.40,2240,37.5,5.9,11101000,163.73,2272,42.7,6.18,459.0,164.06,0.0,0.0, , 
,164.39,2272,39.0,7.0,11101000,164.71,2304,41.2,6.18,459.0,165.05,0.0,0.0, , 
,165.37,2304,39.0,7.4,11101000,165.69,2336,41.2,6.18,459.0,166.01,0.0,0.0, , 
,166.33,2336,39.0,6.6,11101000,166.66,2336,41.2,6.18,459.0,167.01,0.0,0.0, , 
,167.35,2368,39.0,5.1,11101000,167.74,2368,38.4,5.15,438.6,168.08,0.0,0.0, , 
,168.44,2400,39.0,5.9,11101000,168.75,2400,38.4,5.15,438.6,169.10,0.0,0.0, , 
,169.46,2400,39.0,5.1,11101000,169.84,2400,38.4,6.18,438.6,170.18,0.0,0.0, , 
,170.52,2432,39.0,4.7,11101000,170.89,2432,40.0,6.18,438.6,171.27,0.0,0.0, , 
,171.63,2432,39.0,5.9,11101000,172.00,2464,40.0,6.18,438.6,172.35,0.0,0.0, , 
,172.69,2464,40.5,0.0,11101000,173.04,2464,51.8,8.24,550.8,173.39,0.0,0.0, , 
,173.73,2528,40.5,2.7,11101000,174.08,2528,53.3,8.24,571.2,174.42,0.0,0.0, , 
,174.74,2592,40.5,7.0,11101000,175.06,2624,63.5,10.30,652.8,175.40,0.0,0.0, , 
,175.74,2688,40.5,10.2,11101000,176.06,2688,47.1,2.06,520.2,176.41,0.0,0.0, , 
,176.71,1504,40.5,0.0,11111110,177.02,1088,34.1,5.15,418.2,177.41,0.0,0.0, , 
,177.78,1888,40.5,0.0,11101010,178.15,1952,20.8,3.09,295.8,178.51,0.0,0.0, , 
,178.88,1920,40.5,-6.6,11101010,179.27,1920,29.4,4.12,377.4,179.63,0.0,0.0, , 
,180.01,1920,42.0,-2.3,11101010,180.38,1888,38.4,5.15,438.6,180.74,0.0,0.0, , 
,181.12,1920,42.0,0.0,11101010,181.49,1920,34.1,5.15,418.2,181.87,0.0,0.0, , 
,182.24,1920,42.0,0.0,11101010,182.61,1920,72.2,12.36,754.8,182.97,0.0,0.0, , 
,183.32,1952,42.0,0.0,11101010,183.68,1984,73.7,11.33,754.8,184.05,0.0,0.0, , 
,184.38,2016,42.0,0.0,11101000,184.76,2016,51.8,6.18,591.6,185.13,0.0,0.0, , 
,185.49,2016,42.0,0.0,11101000,185.85,2016,45.9,6.18,499.8,186.22,0.0,0.0, , 
,186.58,2016,42.0,3.1,11101000,186.92,2016,45.9,6.18,520.2,187.27,0.0,0.0, , 
,187.63,2016,42.0,4.7,11101000,187.99,2048,50.2,7.21,550.8,188.36,0.0,0.0, , 
,188.72,2048,43.5,7.0,11101000,189.06,2048,53.3,8.24,571.2,189.41,0.0,0.0, , 
,189.78,2048,43.5,7.4,11101000,190.14,2080,51.8,8.24,571.2,190.50,0.0,0.0, , 
,190.85,2080,43.5,6.6,11101000,191.23,2080,51.8,7.21,571.2,191.58,0.0,0.0, , 
,191.91,2080,43.5,5.9,11101000,192.25,2080,51.8,7.21,571.2,192.61,0.0,0.0, , 
,192.96,2080,43.5,5.5,11101000,193.32,2112,50.2,7.21,550.8,193.67,0.0,0.0, , 
,194.03,2112,43.5,5.9,11101000,194.38,2112,47.1,7.21,520.2,194.74,0.0,0.0, , 
,195.09,2112,43.5,4.3,11101000,195.43,2112,42.7,6.18,479.4,195.77,0.0,0.0, , 
,196.11,2112,43.5,5.5,11101000,196.46,2112,44.3,6.18,499.8,196.83,0.0,0.0, , 
,197.17,2112,43.5,6.3,11101000,197.53,2112,44.3,6.18,499.8,197.87,0.0,0.0, , 
,198.21,2112,45.0,7.0,11101000,198.56,2112,44.3,6.18,479.4,198.90,0.0,0.0, , 
,199.24,2112,45.0,0.0,11101000,199.60,2080,26.7,3.09,336.6,199.96,0.0,0.0, , 
,200.31,2048,45.0,-1.2,11101000,200.67,2048,28.2,4.12,357.0,201.04,0.0,0.0, , 
,201.39,2016,45.0,0.8,11101000,201.73,2016,29.4,4.12,357.0,202.09,0.0,0.0, , 
,202.46,1984,45.0,3.5,11101000,202.83,1984,34.1,4.12,397.8,203.23,0.0,0.0, , 
,203.59,1984,45.0,7.0,11101010,203.95,1984,48.6,7.21,550.8,204.32,0.0,0.0, , 
,204.68,1984,45.0,10.9,11101010,205.04,1984,47.1,7.21,520.2,205.40,0.0,0.0, , 
,205.77,1984,45.0,9.4,11101000,206.16,1984,47.1,7.21,550.8,206.52,0.0,0.0, , 
,206.90,1984,45.0,0.0,11101000,207.26,1984,22.0,3.09,295.8,207.61,0.0,0.0, , 
,207.98,1952,46.5,0.0,11101010,208.35,1952,42.7,6.18,479.4,208.71,0.0,0.0, , 
,209.08,1952,46.5,1.2,11101010,209.43,1952,34.1,4.12,397.8,209.79,0.0,0.0, , 
,210.16,1920,46.5,1.6,11101010,210.51,1920,34.1,5.15,418.2,210.87,0.0,0.0, , 
,211.24,1920,46.5,3.5,11101010,211.62,1888,41.2,6.18,479.4,211.99,0.0,0.0, , 
,212.38,1888,46.5,7.0,11101010,212.76,1920,51.8,8.24,571.2,213.13,0.0,0.0, , 
,213.49,1920,46.5,9.8,11101010,213.85,1920,54.5,8.24,591.6,214.22,0.0,0.0, , 
,214.59,1952,46.5,7.8,11101010,214.94,1952,53.3,8.24,591.6,215.29,0.0,0.0, , 
,215.67,1984,46.5,6.3,11101010,216.03,1984,53.3,7.21,591.6,216.38,0.0,0.0, , 
,216.75,1984,46.5,5.9,11101000,217.09,1984,54.5,8.24,612.0,217.43,0.0,0.0, , 
,217.81,2016,46.5,5.5,11101000,218.18,2016,54.5,8.24,612.0,218.55,0.0,0.0, , 
,218.90,2048,46.5,3.1,11101000,219.25,2048,57.6,8.24,612.0,219.60,0.0,0.0, , 
,219.94,2048,46.5,3.1,11101000,220.29,2048,57.6,8.24,612.0,220.65,0.0,0.0, , 
,220.99,2080,46.5,2.3,11101000,221.34,2080,54.5,8.24,591.6,221.68,0.0,0.0, , 
,222.02,2112,48.0,2.3,11101000,222.37,2112,54.5,8.24,591.6,222.72,0.0,0.0, , 
,223.05,2112,48.0,2.3,11101000,223.41,2112,54.5,8.24,591.6,223.77,0.0,0.0, , 
,224.11,2144,48.0,2.0,11101000,224.46,2112,42.7,6.18,479.4,224.81,0.0,0.0, , 
,225.14,2144,48.0,0.4,11101000,225.48,2112,41.2,5.15,479.4,225.82,0.0,0.0, , 
