Poniedziałek,17,Sierpień,2026,21:12:57:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'004,,,,Grupa C:,'012
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Napięcie,Temperatura,Temperatura,,Obroty silnika,Obciążenie,(bez jednostek),(bez jednostek)
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, V,*C,*C,ZAPISU, /min, %,,
,0.54,0,57.0,0.0,10110110,0.01,0,12.22,57.0,46.5,0.27,0,0.0,0.0,0.0
,1.36,0,57.0,0.0,10110110,0.81,0,12.22,57.0,46.5,1.09,0,0.0,0.0,0.0
,2.20,0,57.0,0.0,10110110,1.64,0,12.22,57.0,46.5,1.92,0,0.0,0.0,0.0
,2.99,0,57.0,0.0,10110110,2.46,0,12.22,57.0,46.5,2.73,0,0.0,0.0,0.0
,3.79,0,57.0,0.0,10110110,3.26,0,12.22,57.0,46.5,3.53,0,0.0,0.0,0.0
,4.60,0,57.0,0.0,10110110,4.06,0,12.22,57.0,46.5,4.34,0,0.0,0.0,0.0
,5.40,0,57.0,0.0,10110110,4.87,0,12.22,57.0,46.5,5.13,0,0.0,0.0,0.0
,6.21,0,57.0,0.0,10110110,5.67,0,12.22,57.0,46.5,5.95,0,0.0,0.0,0.0
,7.01,0,57.0,0.0,10110110,6.48,0,12.22,57.0,46.5,6.74,0,0.0,0.0,0.0
,7.81,0,57.0,0.0,10110110,7.27,0,12.22,57.0,46.5,7.54,0,0.0,0.0,0.0
,8.63,0,57.0,0.0,10110110,8.09,0,12.12,57.0,46.5,8.36,0,0.0,0.0,0.0
,9.45,0,57.0,0.0,10110110,8.90,0,12.22,57.0,46.5,9.17,0,0.0,0.0,0.0
,10.24,0,57.0,0.0,10110110,9.71,0,12.12,57.0,46.5,9.98,0,0.0,0.0,0.0
,11.05,0,57.0,0.0,10110110,10.51,0,12.22,57.0,46.5,10.78,0,0.0,0.0,0.0
,11.85,0,57.0,0.0,10110110,11.32,0,12.22,57.0,46.5,11.59,0,0.0,0.0,0.0
,12.65,0,57.0,0.0,10110110,12.12,0,12.22,57.0,46.5,12.38,0,0.0,0.0,0.0
,13.45,0,57.0,0.0,10110110,12.91,0,12.22,57.0,46.5,13.18,0,0.0,0.0,0.0
,14.24,0,57.0,0.0,10110110,13.71,0,12.22,57.0,46.5,13.98,0,0.0,0.0,0.0
,15.04,224,57.0,0.0,10110110,14.51,0,9.49,57.0,46.5,14.77,224,91.4,0.0,0.0
,15.86,224,57.0,0.0,10110110,15.31,224,9.80,57.0,46.5,15.59,224,92.9,28.0,86.0
,16.79,1024,57.0,0.0,10110110,16.16,224,10.00,57.0,46.5,16.47,896,66.3,28.0,86.0
,17.74,992,57.0,0.0,10110110,17.11,992,13.53,57.0,46.5,17.41,992,38.4,28.0,86.0
,18.65,960,57.0,0.0,10110110,18.04,960,13.64,57.0,46.5,18.32,928,38.4,28.0,86.0
,19.57,864,57.0,0.0,10110110,18.94,928,13.64,57.0,46.5,19.25,928,38.4,28.0,86.0
,20.47,864,57.0,0.0,10110110,19.86,864,13.74,57.0,46.5,20.18,864,38.4,28.0,86.0
,21.42,864,57.0,0.0,10110110,20.78,896,13.84,57.0,46.5,21.11,864,38.4,28.0,86.0
,22.36,864,57.0,0.0,10110110,21.73,864,13.74,57.0,46.5,22.05,864,36.9,28.0,86.0
,23.27,864,57.0,0.0,10110110,22.67,864,13.74,57.0,46.5,22.98,864,36.9,28.0,86.0
,24.18,864,57.0,0.0,10110110,23.57,864,13.64,57.0,46.5,23.87,864,36.9,28.0,86.0
,25.06,864,57.0,0.0,10110110,24.47,832,13.74,57.0,46.5,24.77,864,35.3,28.0,86.0
,25.96,832,57.0,0.0,10110110,25.34,864,13.64,57.0,46.5,25.65,832,35.3,28.0,86.0
,26.88,832,57.0,0.0,10110110,26.25,832,13.74,57.0,46.5,26.58,832,35.3,28.0,86.0
,27.78,832,55.5,0.0,10110110,27.18,832,13.74,55.5,46.5,27.49,832,35.3,28.0,86.0
,28.72,832,55.5,0.0,10110110,28.10,832,13.74,55.5,46.5,28.40,832,35.3,28.0,86.0
,29.64,864,55.5,0.0,10110110,29.03,832,13.84,55.5,46.5,29.33,832,34.1,28.0,86.0
,30.53,832,55.5,0.0,10110110,29.94,832,13.64,55.5,45.0,30.24,864,32.5,28.0,86.0
