Poniedziałek,17,Sierpień,2026,21:17:29:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.30,800,75.0,-6.3,10111110,0.61,800,28.2,3.09,397.8,0.01,-6.3,1.45, , 
,1.20,800,75.0,-6.3,10111110,1.51,800,28.2,3.09,397.8,0.92,-6.3,1.45, , 
,2.10,800,75.0,-6.3,10111110,2.40,800,28.2,3.09,397.8,1.81,-6.3,1.48, , 
,3.00,800,75.0,-5.9,10111110,3.30,800,28.2,3.09,397.8,2.70,-5.9,1.48, , 
,3.92,800,75.0,-5.9,10111110,4.22,800,28.2,3.09,397.8,3.62,-5.9,1.45, , 
,4.79,800,75.0,-5.9,10111110,5.11,800,28.2,3.09,397.8,4.50,-5.9,1.45, , 
,5.70,800,75.0,-6.3,10111110,6.00,800,26.7,3.09,397.8,5.42,-5.9,1.45, , 
,6.59,768,75.0,-7.0,10111110,6.89,768,26.7,3.09,397.8,6.30,-6.6,1.41, , 
,7.50,768,75.0,-8.2,10111110,7.80,768,28.2,3.09,397.8,7.20,-7.8,1.37, , 
,8.40,800,75.0,-7.4,10111110,8.69,800,26.7,3.09,397.8,8.10,-7.8,1.52, , 
,9.30,800,75.0,-7.0,10111110,9.59,768,28.2,3.09,397.8,8.99,-7.0,1.48, , 
,10.18,800,75.0,-7.0,10111110,10.48,800,28.2,3.09,397.8,9.89,-7.0,1.45, , 
,11.07,800,75.0,-7.0,10111110,11.38,768,28.2,3.09,397.8,10.78,-7.0,1.45, , 
,11.98,800,75.0,-6.6,10111110,12.27,800,28.2,3.09,397.8,11.68,-7.0,1.48, , 
,12.86,768,75.0,-7.0,10111110,13.15,800,26.7,3.09,397.8,12.58,-6.6,1.45, , 
,13.75,800,75.0,-6.6,10111110,14.06,768,26.7,3.09,397.8,13.45,-6.6,1.45, , 
,14.65,768,75.0,-7.0,10111110,14.96,800,28.2,3.09,397.8,14.36,-7.0,1.45, , 
,15.56,768,75.0,-6.6,10111110,15.86,800,28.2,3.09,397.8,15.26,-7.0,1.48, , 
,16.44,800,76.5,-6.3,10111110,16.73,800,28.2,3.09,397.8,16.15,-6.6,1.48, , 
,17.34,800,75.0,-6.6,10111110,17.65,800,28.2,3.09,397.8,17.03,-6.6,1.45, , 
,18.28,800,75.0,-6.6,10111110,18.56,800,28.2,3.09,397.8,17.96,-6.6,1.45, , 
,19.15,800,76.5,-7.0,10111110,19.44,768,26.7,3.09,397.8,18.86,-7.0,1.45, , 
,20.06,800,76.5,-7.4,10111110,20.37,800,28.2,3.09,397.8,19.74,-7.4,1.45, , 
,20.96,768,76.5,-7.0,10111110,21.27,768,28.2,3.09,397.8,20.67,-7.0,1.45, , 
,21.90,800,76.5,-7.0,10111110,22.19,800,26.7,3.09,397.8,21.59,-7.0,1.48, , 
,22.80,800,76.5,-6.6,10111110,23.09,800,28.2,3.09,397.8,22.49,-6.6,1.45, , 
,23.69,800,76.5,-7.4,10101010,24.01,1088,90.2,16.48,1009.8,23.39,-6.6,1.45, , 
,24.69,1472,76.5,0.0,10111110,24.98,1056,23.5,4.12,336.6,24.37,0.0,1.56, , 
,25.55,832,76.5,0.0,10111110,25.85,768,26.7,3.09,377.4,25.28,0.0,3.16, , 
,26.47,768,76.5,0.0,10111110,26.77,832,29.4,4.12,418.2,26.18,0.0,1.17, , 
,27.38,800,76.5,0.0,10111110,27.69,800,28.2,4.12,418.2,27.08,0.0,0.86, , 
,28.29,800,76.5,-3.9,10111110,28.59,800,28.2,3.09,397.8,28.00,-2.3,1.21, , 
,29.24,800,76.5,-6.6,10111110,29.54,800,28.2,3.09,397.8,28.91,-5.9,1.33, , 
,30.18,800,76.5,-8.2,10111110,30.48,800,28.2,3.09,397.8,29.87,-7.8,1.41, , 
,31.08,768,76.5,-8.6,10111110,31.39,800,28.2,3.09,418.2,30.79,-8.6,1.45, , 
,32.00,800,76.5,-8.2,10111110,32.30,800,28.2,3.09,418.2,31.70,-8.2,1.52, , 
,32.90,800,76.5,-7.4,10111110,33.19,768,28.2,3.09,418.2,32.59,-7.4,1.52, , 
,33.81,800,76.5,-7.0,10111110,34.09,800,28.2,3.09,397.8,33.49,-7.0,1.48, , 
,34.68,800,76.5,-7.0,10111110,34.98,800,28.2,3.09,397.8,34.39,-7.0,1.48, , 
,35.60,800,76.5,-7.0,10111110,35.90,800,28.2,3.09,397.8,35.27,-7.0,1.45, , 
,36.50,800,76.5,-7.0,10111110,36.79,800,28.2,3.09,397.8,36.20,-7.0,1.48, , 
,37.39,800,76.5,-6.6,10111110,37.68,800,28.2,3.09,397.8,37.09,-6.6,1.48, , 
,38.28,800,78.0,-6.6,10111110,38.58,768,28.2,3.09,397.8,37.98,-6.6,1.45, , 
,39.17,768,78.0,-6.6,10111110,39.47,768,28.2,3.09,397.8,38.87,-7.0,1.48, , 
,40.06,800,78.0,-6.6,10111110,40.37,800,28.2,3.09,397.8,39.76,-6.6,1.48, , 
,40.97,768,78.0,-6.3,10111110,41.26,800,28.2,3.09,397.8,40.67,-6.6,1.48, , 
