Poniedziałek,17,Sierpień,2026,06:35:21:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'004,,,,Grupa C:,'012
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Napięcie,Temperatura,Temperatura,,Obroty silnika,Obciążenie,(bez jednostek),(bez jednostek)
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, V,*C,*C,ZAPISU, /min, %,,
,0.53,0,16.5,0.0,10110110,0.01,0,12.12,16.5,16.5,0.26,0,0.0,0.0,0.0
,1.32,0,16.5,0.0,10110110,0.79,0,12.12,16.5,16.5,1.06,0,0.0,0.0,0.0
,2.12,0,16.5,0.0,10110110,1.59,0,12.12,16.5,16.5,1.85,0,0.0,0.0,0.0
,2.93,0,16.5,0.0,10110110,2.39,0,12.12,16.5,16.5,2.67,0,0.0,0.0,0.0
,3.73,0,16.5,0.0,10110110,3.20,0,12.12,16.5,16.5,3.46,0,0.0,0.0,0.0
,4.53,192,16.5,0.0,10110110,4.00,0,12.12,16.5,16.5,4.26,0,0.0,0.0,0.0
,5.34,192,16.5,0.0,10110110,4.79,192,8.89,16.5,16.5,5.07,192,100.0,0.0,86.0
,6.23,1280,16.5,0.0,10110110,5.62,192,9.70,16.5,16.5,5.92,1120,73.7,28.0,86.0
,7.18,1216,16.5,0.0,10110110,6.56,1376,13.84,16.5,16.5,6.87,1216,44.3,28.0,86.0
,8.13,1024,16.5,0.0,10110110,7.49,1024,13.94,16.5,15.0,7.82,1056,50.2,28.0,86.0
,9.06,1024,16.5,0.0,10110110,8.45,1056,13.94,16.5,15.0,8.76,1056,48.6,28.0,86.0
,9.95,1024,16.5,0.0,10110110,9.36,1024,14.04,16.5,15.0,9.65,992,50.2,28.0,86.0
,10.89,1024,16.5,0.0,10110110,10.27,1024,14.04,16.5,16.5,10.57,1024,47.1,28.0,86.0
,11.82,1024,16.5,0.0,10110110,11.20,1024,14.04,16.5,16.5,11.50,1024,47.1,28.0,86.0
,12.76,1024,16.5,0.0,10110110,12.13,1024,14.04,16.5,16.5,12.44,1024,47.1,28.0,86.0
,13.71,1024,16.5,0.0,10110110,13.07,1024,14.04,16.5,16.5,13.39,1024,45.9,28.0,86.0
,14.63,1024,16.5,0.0,10110110,14.03,1024,14.04,16.5,16.5,14.34,1024,45.9,28.0,86.0
