Poniedziałek,17,Sierpień,2026,18:48:16:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

Znacznik,Grupa A:, Zatrzymany,,,,Grupa B:,'004,,,,Grupa C:,'012
,,,,,,,Obroty silnika,Napięcie,Temperatura,Temperatura,,Obroty silnika,Obciążenie,(bez jednostek),(bez jednostek)
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU,,,,,ZAPISU, /min, V,*C,*C,ZAPISU, /min, %,,
,,,,,,0.27,0,12.22,43.5,37.5,0.01,0,0.0,0.0,0.0
,,,,,,0.80,0,12.22,43.5,37.5,0.54,0,0.0,0.0,0.0
,,,,,,1.33,0,12.22,43.5,37.5,1.07,0,0.0,0.0,0.0
,,,,,,1.86,0,12.22,43.5,37.5,1.60,0,0.0,0.0,0.0
,,,,,,2.42,0,12.22,43.5,37.5,2.14,0,0.0,0.0,0.0
,,,,,,2.97,0,12.22,43.5,37.5,2.70,0,0.0,0.0,0.0
,,,,,,3.52,0,9.80,43.5,37.5,3.24,0,0.0,0.0,0.0
,,,,,,4.06,192,9.49,43.5,37.5,3.78,192,97.3,0.0,0.0
,,,,,,4.60,224,9.39,43.5,37.5,4.33,192,96.1,28.0,86.0
,,,,,,5.13,224,9.29,43.5,37.5,4.86,192,97.3,28.0,86.0
,,,,,,5.73,992,12.83,43.5,37.5,5.41,192,100.0,28.0,86.0
,,,,,,6.34,1024,13.64,43.5,36.0,6.03,1056,53.3,28.0,86.0
,,,,,,6.97,1120,13.74,43.5,36.0,6.66,992,41.2,28.0,86.0
,,,,,,7.53,928,13.74,43.5,36.0,7.26,992,40.0,28.0,86.0
,,,,,,8.15,928,13.74,43.5,36.0,7.86,960,41.2,28.0,86.0
,,,,,,8.76,864,13.74,43.5,36.0,8.46,928,41.2,28.0,86.0
,,,,,,9.37,864,13.84,43.5,36.0,9.05,896,42.7,28.0,86.0
,,,,,,9.97,896,13.84,43.5,36.0,9.68,896,42.7,28.0,86.0
,,,,,,10.63,896,13.74,43.5,36.0,10.30,864,42.7,28.0,86.0
,,,,,,11.25,896,13.84,43.5,36.0,10.95,896,41.2,28.0,86.0
,,,,,,11.86,896,13.84,43.5,36.0,11.56,896,40.0,28.0,86.0
,,,,,,12.48,896,13.84,43.5,36.0,12.16,864,40.0,28.0,86.0
,,,,,,13.07,896,13.84,43.5,36.0,12.77,864,40.0,28.0,86.0
,,,,,,13.67,864,13.84,43.5,36.0,13.36,864,38.4,28.0,86.0
,,,,,,14.28,864,13.84,43.5,36.0,14.00,864,38.4,28.0,86.0
,,,,,,14.91,864,13.74,43.5,36.0,14.60,864,38.4,28.0,86.0
,,,,,,15.52,864,13.84,43.5,36.0,15.22,864,38.4,28.0,86.0
,,,,,,16.13,864,13.84,43.5,36.0,15.83,864,38.4,28.0,86.0
,,,,,,16.72,864,13.84,43.5,36.0,16.42,864,36.9,28.0,86.0
,,,,,,17.33,864,13.84,43.5,36.0,17.02,864,36.9,28.0,86.0
,,,,,,17.95,864,13.84,43.5,36.0,17.63,864,36.9,28.0,86.0
,,,,,,18.55,864,13.74,43.5,36.0,18.25,864,36.9,28.0,86.0
,,,,,,19.17,864,13.74,43.5,36.0,18.86,864,35.3,28.0,86.0
,,,,,,19.77,864,13.84,43.5,36.0,19.48,864,35.3,28.0,86.0
