Wtorek,18,Sierpień,2026,17:17:37:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'004,,,,Grupa C:,'012
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Napięcie,Temperatura,Temperatura,,Obroty silnika,Obciążenie,(bez jednostek),(bez jednostek)
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, V,*C,*C,ZAPISU, /min, %,,
,0.53,0,66.0,0.0,10110110,0.01,0,12.12,66.0,48.0,0.26,0,0.0,0.0,0.0
,1.34,0,66.0,0.0,10110110,0.80,0,12.12,66.0,48.0,1.08,0,0.0,0.0,0.0
,2.14,0,66.0,0.0,10110110,1.60,0,12.12,66.0,48.0,1.87,0,0.0,0.0,0.0
,2.93,0,66.0,0.0,10110110,2.40,0,12.12,66.0,48.0,2.67,0,0.0,0.0,0.0
,3.75,0,66.0,0.0,10110110,3.21,0,12.12,66.0,48.0,3.48,0,0.0,0.0,0.0
,14.78,1248,66.0,0.0,10110110,14.14,1312,13.64,66.0,48.0,14.47,1440,35.3,28.0,86.0
,15.69,992,66.0,0.0,10110110,15.08,1056,13.53,66.0,46.5,15.39,1024,31.0,28.0,86.0
,16.61,896,66.0,0.0,10110110,16.00,864,13.43,66.0,46.5,16.28,864,32.5,28.0,86.0
,17.52,832,66.0,0.0,10110110,16.90,832,13.43,66.0,46.5,17.21,832,34.1,28.0,86.0
,18.47,832,66.0,0.0,10110110,17.82,832,13.64,66.0,46.5,18.16,832,34.1,28.0,86.0
,19.39,832,66.0,0.0,10110110,18.77,832,13.53,66.0,46.5,19.09,832,34.1,28.0,86.0
,20.32,832,66.0,0.0,10110110,19.69,832,13.64,66.0,46.5,20.01,832,32.5,28.0,86.0
,21.25,832,66.0,0.0,10110110,20.63,832,13.74,66.0,46.5,20.95,832,32.5,28.0,86.0
,22.20,800,66.0,0.0,10110110,21.56,832,13.53,66.0,46.5,21.88,832,31.0,28.0,86.0
,23.13,832,66.0,0.0,10110110,22.51,832,13.53,66.0,46.5,22.83,832,31.0,28.0,86.0
,24.06,800,66.0,0.0,10110110,23.44,832,13.64,66.0,46.5,23.74,832,31.0,28.0,86.0
,24.96,832,66.0,0.0,10110110,24.35,800,13.64,66.0,46.5,24.65,832,31.0,28.0,86.0
,25.87,832,66.0,0.0,10110110,25.27,832,13.53,66.0,46.5,25.56,832,31.0,28.0,86.0
,26.76,800,66.0,0.0,10110110,26.17,832,13.64,66.0,46.5,26.46,832,29.4,28.0,86.0
,27.65,800,66.0,0.0,10110110,27.06,800,13.64,66.0,46.5,27.36,800,29.4,28.0,86.0
,28.55,800,66.0,0.0,10110110,27.96,800,13.74,66.0,46.5,28.25,832,29.4,28.0,86.0
,29.44,800,66.0,0.0,10110110,28.84,800,13.64,66.0,46.5,29.14,800,28.2,28.0,86.0
,30.36,832,66.0,0.0,10110110,29.76,800,13.64,66.0,46.5,30.07,832,29.4,28.0,86.0
,31.27,800,64.5,0.0,10110110,30.66,800,13.64,66.0,46.5,30.97,800,28.2,28.0,86.0
,32.18,800,64.5,0.0,10110110,31.59,800,13.64,64.5,46.5,31.89,800,28.2,28.0,86.0
,33.05,800,64.5,0.0,10110110,32.47,800,13.64,64.5,46.5,32.76,800,28.2,28.0,86.0
,33.99,800,64.5,0.0,10110110,33.37,800,13.74,64.5,46.5,33.68,800,28.2,28.0,86.0
,34.90,800,64.5,0.0,10110110,34.29,800,13.64,64.5,46.5,34.59,800,28.2,28.0,86.0
,35.81,800,64.5,0.0,10110110,35.21,800,13.64,64.5,46.5,35.51,800,28.2,28.0,86.0
,36.71,800,64.5,0.0,10110110,36.12,800,13.64,64.5,46.5,36.42,800,28.2,28.0,86.0
,37.58,800,64.5,0.0,10110110,37.00,800,13.64,64.5,46.5,37.29,800,28.2,28.0,86.0
,38.49,800,64.5,0.0,10110110,37.88,800,13.74,64.5,46.5,38.18,800,28.2,28.0,86.0
,39.43,800,64.5,0.0,10110110,38.80,800,13.64,64.5,46.5,39.12,800,28.2,28.0,86.0
,40.34,800,64.5,0.0,10110110,39.75,800,13.84,64.5,46.5,40.03,800,28.2,28.0,86.0
,41.24,800,64.5,0.0,10110110,40.63,800,13.74,64.5,46.5,40.93,800,28.2,28.0,86.0
,42.15,800,64.5,0.0,10110110,41.55,800,13.74,64.5,46.5,41.85,800,28.2,28.0,86.0
,43.03,800,64.5,0.0,10110110,42.45,800,13.64,64.5,46.5,42.73,800,28.2,28.0,86.0
,43.91,800,64.5,0.0,10110110,43.32,800,13.74,64.5,46.5,43.61,800,28.2,28.0,86.0
,44.85,800,64.5,0.0,10110110,44.23,800,13.74,64.5,46.5,44.53,800,28.2,28.0,86.0
,45.75,800,64.5,0.0,10110110,45.15,800,13.84,64.5,46.5,45.45,800,26.7,28.0,86.0
,46.67,800,64.5,0.0,10110110,46.05,800,13.74,64.5,46.5,46.36,800,26.7,28.0,86.0
