Wtorek,18,Sierpień,2026,17:23:46:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'004,,,,Grupa C:,'012
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Napięcie,Temperatura,Temperatura,,Obroty silnika,Obciążenie,(bez jednostek),(bez jednostek)
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, V,*C,*C,ZAPISU, /min, %,,
,0.29,768,79.5,-9.0,10111110,0.59,800,13.84,79.5,43.5,0.01,768,25.1,28.0,86.0
,1.17,800,79.5,-9.0,10111110,1.48,768,13.74,79.5,43.5,0.87,800,25.1,28.0,86.0
,2.07,800,79.5,-9.4,10111110,22.59,0,13.23,82.5,43.5,1.78,768,26.7,28.0,86.0
,23.12,0,82.5,0.0,10110111,23.39,0,13.23,82.5,43.5,22.86,0,0.0,0.0,0.0
,23.93,0,82.5,0.0,10110111,24.19,0,13.23,82.5,43.5,23.65,0,0.0,0.0,0.0
,24.72,0,84.0,0.0,10110111,24.98,0,13.13,84.0,43.5,24.45,0,0.0,0.0,0.0
,25.52,0,84.0,0.0,10110111,25.80,0,13.13,84.0,43.5,25.25,0,0.0,0.0,0.0
,26.32,0,84.0,0.0,10110111,26.60,0,13.13,84.0,43.5,26.06,0,0.0,0.0,0.0
,27.14,0,84.0,0.0,10110111,27.40,0,13.13,84.0,43.5,26.87,0,0.0,0.0,0.0
,27.93,0,84.0,0.0,10110111,28.20,0,13.13,84.0,43.5,27.67,0,0.0,0.0,0.0
,28.74,0,84.0,0.0,10110111,29.00,0,13.13,84.0,43.5,28.47,0,0.0,0.0,0.0
,29.53,0,84.0,0.0,10110111,29.80,0,13.13,84.0,43.5,29.27,0,0.0,0.0,0.0
,30.34,0,84.0,0.0,10110111,30.60,0,13.13,84.0,43.5,30.08,0,0.0,0.0,0.0
,31.14,0,84.0,0.0,10110111,31.41,0,13.13,84.0,43.5,30.87,0,0.0,0.0,0.0
,31.95,0,84.0,0.0,10110111,32.22,0,13.13,84.0,43.5,31.68,0,0.0,0.0,0.0
,32.75,0,85.5,0.0,10110111,33.02,0,13.03,85.5,43.5,32.48,0,0.0,0.0,0.0
,33.56,0,85.5,0.0,10110111,33.83,0,13.03,85.5,43.5,33.29,0,0.0,0.0,0.0
,34.38,0,85.5,0.0,10110111,34.67,0,13.03,85.5,43.5,34.10,0,0.0,0.0,0.0
