Wtorek,18,Sierpień,2026,06:41:27:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'004,,,,Grupa C:,'012
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Napięcie,Temperatura,Temperatura,,Obroty silnika,Obciążenie,(bez jednostek),(bez jednostek)
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, V,*C,*C,ZAPISU, /min, %,,
,0.23,0,37.5,0.0,10110110,0.50,0,12.22,37.5,21.0,0.02,0,0.0,0.0,0.0
,1.05,0,37.5,0.0,10110110,1.32,0,12.12,37.5,21.0,0.78,0,0.0,0.0,0.0
,1.85,0,37.5,0.0,10110110,2.12,0,12.12,37.5,21.0,1.59,0,0.0,0.0,0.0
,2.65,0,37.5,0.0,10110110,2.91,0,12.12,37.5,21.0,2.38,0,0.0,0.0,0.0
,3.44,0,37.5,0.0,10110110,3.71,0,12.22,37.5,21.0,3.18,0,0.0,0.0,0.0
,4.25,0,37.5,0.0,10110110,4.53,0,12.12,37.5,21.0,3.97,0,0.0,0.0,0.0
,5.09,0,37.5,0.0,10110110,5.35,0,12.22,37.5,21.0,4.81,0,0.0,0.0,0.0
,5.88,0,37.5,0.0,10110110,6.15,0,12.22,37.5,21.0,5.62,0,0.0,0.0,0.0
,6.69,160,37.5,0.0,10110110,6.96,192,9.39,37.5,21.0,6.41,0,0.0,0.0,0.0
,7.50,192,37.5,0.0,10110110,7.81,960,10.71,37.5,21.0,7.22,192,100.0,28.0,86.0
,8.48,992,37.5,0.0,10110110,8.76,992,14.14,37.5,21.0,8.14,1056,59.2,28.0,86.0
,9.35,960,37.5,0.0,10110110,9.68,960,13.74,37.5,21.0,9.03,1120,42.7,28.0,86.0
,10.33,960,37.5,0.0,10110110,10.65,960,13.84,37.5,21.0,10.00,960,45.9,28.0,86.0
,11.24,960,37.5,0.0,10100010,11.55,1152,13.84,37.5,21.0,10.94,896,45.9,28.0,86.0
,12.18,1120,37.5,0.0,10100010,12.52,992,13.84,37.5,21.0,11.87,1216,35.3,28.0,86.0
,13.16,1152,37.5,0.0,10100010,13.46,1184,13.94,37.5,21.0,12.85,1024,38.4,28.0,86.0
,14.09,1120,37.5,0.0,10100010,14.40,1088,13.84,37.5,21.0,13.79,1152,35.3,28.0,86.0
,14.98,672,37.5,0.0,10100010,15.27,512,11.82,37.5,21.0,14.69,992,38.4,28.0,86.0
,15.94,1376,37.5,0.0,10100010,16.24,1472,13.94,37.5,21.0,15.62,1120,60.4,28.0,86.0
,16.90,1632,37.5,0.0,10110110,17.19,1536,13.64,37.5,21.0,16.57,1600,28.2,28.0,86.0
,17.83,1280,37.5,0.0,10110110,18.14,1088,13.84,37.5,21.0,17.52,1440,28.2,28.0,86.0
,18.75,800,36.0,0.0,10110110,19.06,864,13.94,36.0,21.0,18.44,864,32.5,28.0,86.0
,19.67,1024,36.0,0.0,10100010,19.98,1024,13.94,36.0,21.0,19.37,960,40.0,28.0,86.0
,20.68,960,36.0,0.0,10100010,21.00,1120,13.94,36.0,21.0,20.32,1056,38.4,28.0,86.0
,21.64,1216,36.0,0.0,10110110,21.99,1088,13.53,36.0,21.0,21.34,1408,38.4,28.0,86.0
,22.59,768,36.0,0.0,10100010,22.89,800,12.73,36.0,21.0,22.30,800,38.4,28.0,86.0
,23.53,928,36.0,0.0,10100010,23.87,992,13.64,36.0,21.0,23.21,864,48.6,28.0,86.0
,24.50,1184,36.0,0.0,10100010,24.83,1312,13.64,34.5,21.0,24.17,1056,45.9,28.0,86.0
,25.50,1696,34.5,0.0,10100010,25.87,1920,13.74,34.5,21.0,25.14,1504,57.6,28.0,86.0
,26.56,1888,34.5,0.0,10110110,26.93,1696,13.74,34.5,22.5,26.22,1984,26.7,28.0,86.0
,27.59,1344,34.5,0.0,10110110,27.93,1088,13.53,34.5,21.0,27.25,1536,28.2,28.0,86.0
,28.52,864,34.5,0.0,10110110,28.81,832,13.53,34.5,21.0,28.23,896,36.9,28.0,86.0
,29.41,832,34.5,0.0,10100010,29.73,1056,13.43,34.5,21.0,29.12,832,38.4,28.0,86.0
,30.30,768,34.5,0.0,10100010,30.58,672,12.12,34.5,22.5,30.02,1184,45.9,28.0,86.0
,31.30,1664,34.5,0.0,10100010,31.63,1568,13.43,34.5,22.5,30.94,1280,59.2,28.0,86.0
,32.32,1760,34.5,0.0,10110110,32.66,1760,13.53,34.5,21.0,31.95,1632,34.1,28.0,86.0
,33.41,1472,34.5,0.0,10110110,33.73,1248,13.43,34.5,21.0,33.03,1664,28.2,28.0,86.0
,34.39,832,34.5,0.0,10110110,34.72,896,13.43,34.5,22.5,34.06,992,34.1,28.0,86.0
,35.37,864,34.5,0.0,10110110,35.68,864,13.64,34.5,22.5,35.06,896,41.2,28.0,86.0
,36.29,1152,34.5,0.0,10100010,36.59,1440,13.64,34.5,22.5,35.98,896,44.3,28.0,86.0
,37.37,1440,34.5,0.0,10110110,37.72,1472,13.74,34.5,22.5,36.92,1408,32.5,28.0,86.0
,38.39,1248,34.5,0.0,10110110,38.69,1056,13.64,34.5,22.5,38.08,1376,28.2,28.0,86.0
,39.30,800,34.5,0.0,10110110,39.61,864,13.64,34.5,22.5,39.00,832,32.5,28.0,86.0
,41.13,832,34.5,0.0,10110110,40.53,864,13.74,34.5,22.5,40.84,864,38.4,28.0,86.0
