Wtorek,18,Sierpień,2026,06:29:54:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'004,,,,Grupa C:,'012
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Napięcie,Temperatura,Temperatura,,Obroty silnika,Obciążenie,(bez jednostek),(bez jednostek)
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, V,*C,*C,ZAPISU, /min, %,,
,0.01,0,16.5,0.0,10110110,0.27,0,14.44,16.5,15.0,0.53,0,0.0,0.0,0.0
,0.80,0,16.5,0.0,10110110,1.06,0,14.34,16.5,15.0,1.34,0,0.0,0.0,0.0
,1.61,0,16.5,0.0,10110110,1.88,0,14.34,16.5,15.0,2.14,0,0.0,0.0,0.0
,2.41,0,16.5,0.0,10110110,2.68,0,14.34,16.5,15.0,2.94,0,0.0,0.0,0.0
,3.21,0,16.5,0.0,10110110,3.48,0,14.34,16.5,15.0,3.76,0,0.0,0.0,0.0
,4.04,0,16.5,0.0,10110110,4.30,0,14.34,16.5,15.0,4.57,0,0.0,0.0,0.0
,4.83,0,16.5,0.0,10110110,5.10,0,14.34,16.5,15.0,5.36,0,0.0,0.0,0.0
,5.63,0,16.5,0.0,10110110,5.90,0,14.34,16.5,15.0,6.18,0,0.0,0.0,0.0
,6.45,0,16.5,0.0,10110110,6.72,0,14.34,16.5,15.0,6.99,0,0.0,0.0,0.0
,7.26,0,16.5,0.0,10110110,7.54,0,14.34,16.5,15.0,7.80,0,0.0,0.0,0.0
,8.07,0,16.5,0.0,10110110,8.34,0,14.44,16.5,15.0,8.63,192,100.0,0.0,0.0
,8.90,224,16.5,0.0,10110110,9.16,224,11.01,16.5,15.0,9.44,224,100.0,28.0,86.0
,9.73,224,16.5,0.0,10110110,10.04,1184,14.44,16.5,15.0,10.36,1408,66.3,28.0,86.0
,10.71,1376,16.5,0.0,10110110,11.04,1248,14.14,16.5,15.0,11.35,1184,44.3,28.0,86.0
,11.66,1024,16.5,0.0,10110110,11.97,1056,14.24,16.5,15.0,12.28,1056,48.6,28.0,86.0
,12.59,1056,16.5,0.0,10110110,12.92,1088,14.24,16.5,15.0,13.23,1024,48.6,28.0,86.0
,13.56,1024,16.5,0.0,10110110,13.89,1056,14.14,16.5,15.0,14.22,1056,47.1,28.0,86.0
,14.54,1056,16.5,0.0,10110110,14.85,1056,14.14,16.5,15.0,15.16,1056,47.1,28.0,86.0
