Wtorek,18,Sierpień,2026,22:10:02:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'004,,,,Grupa C:,'012
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Napięcie,Temperatura,Temperatura,,Obroty silnika,Obciążenie,(bez jednostek),(bez jednostek)
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, V,*C,*C,ZAPISU, /min, %,,
,0.01,0,22.5,0.0,10110110,0.27,0,12.02,22.5,19.5,0.53,0,0.0,0.0,0.0
,0.80,0,22.5,0.0,10110110,1.06,0,12.02,22.5,19.5,1.33,0,0.0,0.0,0.0
,1.60,0,22.5,0.0,10110110,1.87,0,12.12,22.5,19.5,2.15,0,0.0,0.0,0.0
,2.43,0,22.5,0.0,10110110,2.71,0,12.12,22.5,19.5,2.97,0,0.0,0.0,0.0
,3.23,0,22.5,0.0,10110110,3.50,0,12.12,22.5,19.5,3.77,0,0.0,0.0,0.0
,4.03,0,22.5,0.0,10110110,4.30,0,12.12,22.5,19.5,4.56,0,0.0,0.0,0.0
,4.83,0,22.5,0.0,10110110,5.10,0,12.12,22.5,19.5,5.36,0,0.0,0.0,0.0
,5.63,0,22.5,0.0,10110110,5.89,0,12.02,22.5,19.5,6.16,0,0.0,0.0,0.0
,6.42,0,22.5,0.0,10110110,6.69,0,12.12,22.5,19.5,6.95,0,0.0,0.0,0.0
,7.22,0,22.5,0.0,10110110,7.49,0,12.12,22.5,19.5,7.76,0,0.0,0.0,0.0
,8.03,0,22.5,0.0,10110110,8.30,0,12.12,22.5,19.5,8.57,0,0.0,0.0,0.0
,8.85,0,22.5,0.0,10110110,9.11,0,12.12,22.5,19.5,9.38,0,0.0,0.0,0.0
,9.64,0,22.5,0.0,10110110,9.91,0,9.60,22.5,19.5,10.18,192,100.0,0.0,0.0
,10.46,192,22.5,0.0,10110110,10.72,192,8.99,22.5,19.5,10.99,192,100.0,28.0,86.0
,11.30,544,22.5,0.0,10110110,11.63,1280,13.94,22.5,19.5,11.97,1248,51.8,28.0,86.0
,12.29,1216,22.5,0.0,10110110,12.66,1184,13.94,22.5,19.5,13.06,1184,41.2,28.0,86.0
,13.38,1152,22.5,0.0,10110110,13.73,1184,13.94,22.5,19.5,14.03,1152,40.0,28.0,86.0
,14.36,1184,22.5,0.0,10110110,14.71,1184,14.04,22.5,19.5,15.03,1184,40.0,28.0,86.0
