Pi¹tek,18,Wrzesieñ,2026,16:56:10:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.56,800,90.0,1.6,10111111,0.85,800,31.0,4.12,438.6,0.28,0.8,0.0, , 
,1.43,800,90.0,2.0,10101011,1.76,832,38.4,5.15,499.8,1.14,0.8,0.0, , 
,2.45,1216,90.0,4.3,10101011,2.74,1056,36.9,5.15,479.4,2.13,0.0,0.0, , 
,3.36,832,88.5,4.3,10101011,3.68,832,40.0,5.15,550.8,3.06,0.0,0.0, , 
,4.27,896,90.0,0.4,10101011,4.58,928,38.4,5.15,499.8,3.98,0.0,0.0, , 
,5.20,864,90.0,1.6,10101011,5.56,928,47.1,7.21,591.6,4.90,0.0,0.0, , 
,6.19,1152,90.0,-2.0,10101011,6.52,1280,53.3,7.21,673.2,5.87,0.0,0.0, , 
,7.15,1216,90.0,0.0,10111111,7.46,864,31.0,5.15,418.2,6.82,0.0,0.0, , 
,8.07,896,90.0,0.0,10111111,8.38,896,28.2,4.12,418.2,7.77,0.0,0.0, , 
,9.01,864,90.0,0.0,10111111,9.32,864,29.4,4.12,418.2,8.69,0.8,0.0, , 
,9.96,800,90.0,-0.4,10101011,10.30,832,50.2,8.24,612.0,9.63,0.8,0.0, , 
,10.94,992,90.0,0.0,10101011,11.28,960,60.4,9.27,734.4,10.63,0.0,0.0, , 
,11.99,1376,90.0,0.0,10101011,12.37,1664,69.4,11.33,795.6,11.58,0.0,0.0, , 
,13.10,1056,90.0,0.0,10111111,13.39,1088,29.4,4.12,418.2,12.77,0.0,0.0, , 
,14.04,1024,90.0,0.0,10101011,14.36,1056,56.1,9.27,673.2,13.73,0.0,0.0, , 
,14.97,1152,90.0,0.0,10101011,15.30,1248,53.3,7.21,652.8,14.67,0.0,0.0, , 
,15.98,1376,91.5,-0.4,10101011,16.28,1408,44.3,6.18,550.8,15.64,0.0,0.0, , 
,17.06,1536,90.0,1.6,10101011,17.38,1600,51.8,8.24,632.4,16.72,0.0,0.0, , 
,18.06,1728,90.0,0.4,10101011,18.42,1792,50.2,7.21,612.0,17.72,0.0,0.0, , 
,19.13,1952,90.0,2.3,10101011,19.50,2048,57.6,8.24,673.2,18.78,0.0,0.0, , 
,20.20,2208,90.0,3.5,10101001,20.55,2304,71.0,10.30,795.6,19.86,0.0,0.0, , 
,21.24,2528,90.0,3.9,10101001,21.59,2592,67.8,10.30,754.8,20.90,0.0,0.0, , 
,22.27,2048,90.0,0.0,10111101,22.60,1536,0.0,0.00,336.6,21.91,0.0,0.0, , 
,23.32,1728,90.0,0.0,10101011,23.67,1728,31.0,4.12,418.2,22.96,0.0,0.0, , 
,24.38,1728,90.0,1.6,10101011,24.78,1728,42.7,6.18,520.2,24.02,0.0,0.0, , 
,25.54,1760,90.0,3.5,10101011,25.86,1760,41.2,6.18,520.2,25.17,0.0,0.0, , 
,26.59,1792,90.0,3.9,10101011,26.95,1824,40.0,6.18,499.8,26.22,0.0,0.0, , 
,27.66,1824,90.0,3.9,10101011,28.04,1824,28.2,4.12,377.4,27.31,0.0,0.0, , 
,28.75,1824,90.0,1.6,10101011,29.11,1824,28.2,4.12,377.4,28.39,0.0,0.0, , 
,29.81,1824,90.0,2.3,10101011,30.17,1824,29.4,4.12,397.8,29.45,0.0,0.0, , 
,30.91,1824,90.0,2.7,10101011,31.30,1824,29.4,4.12,397.8,30.53,0.0,0.0, , 
,32.04,1824,90.0,3.1,10101011,32.41,1824,29.4,4.12,397.8,31.66,0.0,0.0, , 
,33.15,1824,90.0,3.5,10101011,33.49,1824,29.4,4.12,397.8,32.79,0.0,0.0, , 
,34.20,1824,90.0,3.1,10101011,34.56,1792,29.4,4.12,397.8,33.84,0.0,0.0, , 
,35.28,1824,90.0,3.1,10101011,35.65,1824,29.4,4.12,397.8,34.90,0.0,0.0, , 
,36.38,1824,90.0,4.3,10101011,36.76,1824,34.1,5.15,438.6,36.01,0.0,0.0, , 
,37.54,1856,90.0,3.1,10101011,37.91,1856,31.0,4.12,397.8,37.15,0.0,0.0, , 
,38.65,1856,91.5,3.5,10101011,38.99,1856,31.0,4.12,397.8,38.29,0.0,0.0, , 
,39.67,1408,90.0,0.0,10111111,40.01,960,26.7,4.12,377.4,39.35,0.0,0.0, , 
,40.65,1120,90.0,0.0,10111111,40.96,1088,23.5,3.09,357.0,40.34,0.8,0.0, , 
,41.56,864,90.0,0.0,10111111,41.87,832,26.7,4.12,397.8,41.26,0.8,0.0, , 
,42.44,864,90.0,-0.4,10111111,42.76,864,28.2,4.12,397.8,42.14,0.8,0.0, , 
,43.34,896,90.0,0.0,10111111,43.64,864,28.2,4.12,397.8,43.06,0.8,0.0, , 
,44.29,1696,90.0,0.0,10101011,44.64,1888,67.8,10.30,775.2,43.96,0.8,0.0, , 
,45.33,2112,90.0,0.0,10101001,45.68,2432,85.5,14.42,948.6,45.00,0.0,0.0, , 
,46.35,1920,90.0,0.0,10101011,46.68,1408,45.9,8.24,520.2,46.01,0.0,0.0, , 
,47.39,1568,90.0,0.0,10101011,47.75,1632,72.2,11.33,846.6,47.03,0.0,0.0, , 
,48.47,1792,90.0,0.0,10101011,48.84,1888,63.5,9.27,734.4,48.09,0.0,0.0, , 
,49.55,2048,90.0,2.0,10101001,49.91,2144,44.3,5.15,520.2,49.19,0.0,0.0, , 
,50.62,2112,90.0,0.8,10101001,50.97,2080,29.4,4.12,377.4,50.26,0.0,0.0, , 
,51.69,2080,90.0,-0.8,10101001,52.04,2080,41.2,5.15,499.8,51.33,0.0,0.0, , 
,52.71,2144,90.0,1.2,10101001,53.04,2208,50.2,7.21,591.6,52.39,0.0,0.0, , 
,53.71,2272,90.0,3.9,11101001,54.04,2304,47.1,7.21,571.2,53.38,0.0,0.0, , 
,54.78,2400,90.0,4.7,11101001,55.12,2432,41.2,6.18,499.8,54.41,0.0,0.0, , 
,55.82,2464,88.5,3.1,11101001,56.17,2464,32.5,4.12,397.8,55.47,0.0,0.0, , 
,56.85,2464,90.0,2.3,11101001,57.17,2464,34.1,5.15,418.2,56.51,0.0,0.0, , 
,57.88,2464,90.0,2.3,11101001,58.23,2464,19.2,3.09,275.4,57.53,0.0,0.0, , 
,58.91,2400,90.0,-2.0,11101001,59.24,2400,17.6,2.06,275.4,58.55,0.0,0.0, , 
,59.93,2336,90.0,-4.7,11101001,60.25,2336,19.2,2.06,275.4,59.58,0.0,0.0, , 
,60.92,2304,90.0,-5.9,11101001,61.26,2208,19.2,2.06,275.4,60.58,0.0,0.0, , 
,61.96,2176,90.0,-2.0,11101001,62.31,2144,19.2,2.06,275.4,61.61,0.0,0.0, , 
,62.98,2112,90.0,-2.0,11101001,63.32,2144,23.5,3.09,316.2,62.64,0.0,0.0, , 
,64.03,2112,90.0,2.7,11101001,64.37,2080,38.4,5.15,459.0,63.68,0.0,0.0, , 
,65.07,2208,90.0,8.6,11101001,65.42,2240,48.6,7.21,571.2,64.71,0.0,0.0, , 
,66.11,2336,90.0,12.9,11101001,66.49,2432,51.8,7.21,612.0,65.77,0.0,0.0, , 
,67.16,2592,88.5,14.1,11101001,67.48,2688,65.1,10.30,734.4,66.83,0.0,0.0, , 
,68.14,2848,90.0,13.3,11101001,68.46,2720,0.0,0.00,357.0,67.80,0.0,0.0, , 
,69.16,1664,90.0,0.0,11111111,69.53,1728,22.0,3.09,336.6,68.81,0.0,0.0, , 
,70.25,1856,90.0,0.0,11101011,70.59,1856,56.1,7.21,673.2,69.88,0.0,0.0, , 
,71.29,1920,90.0,5.5,11101011,71.65,1920,53.3,7.21,632.4,70.93,0.0,0.0, , 
,72.37,1920,90.0,0.0,11101011,72.73,1920,26.7,3.09,357.0,72.01,0.0,0.0, , 
,73.46,1920,90.0,3.1,11101011,73.82,1888,31.0,4.12,397.8,73.10,0.0,0.0, , 
,74.58,1888,90.0,7.0,11101011,74.96,1888,34.1,4.12,438.6,74.19,0.0,0.0, , 
,75.71,1920,90.0,4.7,11101011,76.08,1920,42.7,6.18,520.2,75.33,0.0,0.0, , 
,76.80,1952,90.0,7.4,11101011,77.16,1984,41.2,6.18,499.8,76.45,0.0,0.0, , 
,77.89,1984,90.0,7.8,11101011,78.24,1984,41.2,6.18,499.8,77.52,0.0,0.0, , 
,78.95,2016,90.0,6.3,11101001,79.29,2016,41.2,5.15,499.8,78.59,0.0,0.0, , 
,79.98,2016,90.0,3.5,11101001,80.33,2048,40.0,5.15,499.8,79.63,0.0,0.0, , 
,81.03,2048,90.0,3.5,11101001,81.36,2048,44.3,6.18,550.8,80.68,0.0,0.0, , 
,82.06,2080,88.5,4.3,11101001,82.41,2080,44.3,6.18,550.8,81.71,0.0,0.0, , 
,83.17,2080,88.5,0.0,11101001,83.51,2048,17.6,2.06,275.4,82.80,0.0,0.0, , 
,84.23,1952,90.0,-2.7,11101011,84.59,1952,14.9,2.06,244.8,83.87,0.0,0.0, , 
,85.31,1824,90.0,0.0,11111111,85.64,1344,0.0,0.00,336.6,84.95,0.0,0.0, , 
,86.29,1088,88.5,0.0,11111111,86.61,1152,26.7,4.12,377.4,85.96,0.8,0.0, , 
,87.22,992,88.5,0.0,11111111,87.52,896,23.5,3.09,357.0,86.91,0.8,0.0, , 
,88.18,2048,88.5,0.0,11101001,88.52,1984,45.9,6.18,571.2,87.83,0.0,0.0, , 
,89.25,1920,88.5,0.0,11101011,89.60,1920,60.4,9.27,714.0,88.89,0.0,0.0, , 
,90.31,2048,88.5,1.2,11101001,90.65,2080,51.8,7.21,632.4,89.96,0.0,0.0, , 
,91.36,2112,88.5,2.3,11101001,91.71,2112,38.4,5.15,459.0,90.99,0.0,0.0, , 
,92.39,2112,88.5,2.7,11101001,92.74,2144,41.2,6.18,499.8,92.05,0.0,0.0, , 
,93.42,2144,88.5,2.3,11101001,93.75,2080,41.2,6.18,499.8,93.09,0.0,0.0, , 
,94.43,2048,88.5,1.6,11101001,94.78,2048,36.9,5.15,459.0,94.09,0.0,0.0, , 
,95.50,2048,88.5,1.6,11101001,95.84,2016,38.4,5.15,479.4,95.13,0.0,0.0, , 
,96.54,2048,88.5,3.5,11101001,96.89,2080,51.8,7.21,612.0,96.19,0.0,0.0, , 
,97.58,2112,88.5,3.5,11101001,97.95,2144,54.5,8.24,652.8,97.23,0.0,0.0, , 
,98.62,2208,88.5,1.2,11101001,98.95,2240,57.6,8.24,652.8,98.29,0.0,0.0, , 
,99.63,2304,88.5,1.6,11101001,99.99,2336,54.5,8.24,632.4,99.29,0.0,0.0, , 
,100.67,2368,88.5,1.2,11101001,100.98,2400,53.3,7.21,612.0,100.34,0.0,0.0, , 
,101.67,2464,88.5,0.8,11101001,102.01,2496,51.8,7.21,612.0,101.32,0.0,0.0, , 
,102.71,2528,88.5,0.4,11101001,103.04,2528,53.3,8.24,612.0,102.35,0.0,0.0, , 
,103.69,2592,88.5,2.3,11101001,104.03,2656,72.2,11.33,826.2,103.37,0.0,0.0, , 
,104.70,2784,88.5,4.3,11101001,105.03,2848,82.7,13.39,907.8,104.36,0.0,0.0, , 
,105.79,2976,88.5,4.3,11101001,106.15,3136,81.2,13.39,887.4,105.37,0.0,0.0, , 
,106.91,3328,88.5,3.5,11101001,107.24,3296,0.0,0.00,418.2,106.52,0.0,0.0, , 
,107.93,2272,90.0,0.0,11101001,108.28,2240,38.4,6.18,459.0,107.57,0.0,0.0, , 
,108.96,2176,88.5,0.0,11101001,109.30,2176,73.7,11.33,826.2,108.62,0.0,0.0, , 
,110.00,2240,88.5,-0.8,11101001,110.34,2240,67.8,10.30,775.2,109.64,0.0,0.0, , 
,111.03,2304,88.5,0.0,11101001,111.36,2336,66.3,9.27,754.8,110.68,0.0,0.0, , 
,112.06,2368,88.5,0.0,11101001,112.39,2368,41.2,5.15,520.2,111.71,0.0,0.0, , 
,113.08,1408,88.5,0.0,11111111,113.39,1088,25.1,4.12,357.0,112.75,0.0,0.0, , 
,114.00,1056,88.5,0.0,11111111,114.29,1024,25.1,4.12,357.0,113.70,0.8,0.0, , 
,114.94,928,90.0,0.0,11111111,115.25,896,25.1,3.09,377.4,114.64,0.8,0.0, , 
,115.87,864,90.0,-2.0,11111111,116.19,896,28.2,3.09,397.8,115.56,0.8,0.0, , 
,116.82,864,88.5,-3.1,11111111,117.13,896,28.2,4.12,418.2,116.50,0.8,0.0, , 
,117.73,864,88.5,-2.7,11111111,118.02,864,28.2,4.12,418.2,117.44,0.8,0.0, , 
,118.60,864,88.5,-2.3,11111111,118.90,832,29.4,4.12,418.2,118.31,0.8,0.0, , 
,119.50,1024,90.0,-2.0,11101011,119.80,1120,25.1,3.09,357.0,119.19,0.8,0.0, , 
,120.44,1120,90.0,0.0,11101011,120.77,1120,36.9,5.15,479.4,120.11,0.0,0.0, , 
,121.41,1152,90.0,-1.2,11101011,121.72,1184,45.9,6.18,571.2,121.11,0.0,0.0, , 
,122.39,1280,90.0,-2.0,11101011,122.71,1312,48.6,7.21,591.6,122.05,0.0,0.0, , 
,123.46,1440,90.0,-0.8,11101011,123.88,1504,44.3,6.18,571.2,123.05,0.0,0.0, , 
,124.63,1600,90.0,0.4,11101011,124.98,1664,41.2,6.18,520.2,124.24,0.0,0.0, , 
,125.68,1728,90.0,1.2,11101011,126.01,1760,36.9,5.15,479.4,125.34,0.0,0.0, , 
,126.72,1824,90.0,0.4,11101011,127.09,1856,35.3,5.15,459.0,126.36,0.0,0.0, , 
,127.83,1888,90.0,-0.8,11101011,128.20,1920,32.5,4.12,418.2,127.46,0.0,0.0, , 
,128.91,1984,88.5,-1.2,11101001,129.26,2016,36.9,5.15,459.0,128.55,0.0,0.0, , 
,129.97,2080,90.0,-1.6,11101001,130.33,2144,36.9,5.15,459.0,129.63,0.0,0.0, , 
,131.03,2240,88.5,-2.0,11101001,131.37,2240,35.3,5.15,438.6,130.69,0.0,0.0, , 
,132.09,2304,88.5,-2.7,11101001,132.44,2336,32.5,4.12,418.2,131.72,0.0,0.0, , 
,133.17,2400,88.5,0.0,11101001,133.51,2368,0.0,0.00,336.6,132.79,0.0,0.0, , 
,134.17,1376,88.5,0.0,11111111,134.47,1024,25.1,4.12,357.0,133.85,0.0,0.0, , 
,135.09,1056,88.5,0.0,11111111,135.40,1056,23.5,4.12,357.0,134.79,0.8,0.0, , 
,136.01,992,88.5,0.0,11111111,136.31,896,25.1,3.09,377.4,135.69,0.8,0.0, , 
,136.90,864,88.5,-0.4,11111111,137.18,896,26.7,3.09,397.8,136.60,0.8,0.0, , 
,137.78,864,88.5,-0.4,11111111,138.08,864,28.2,4.12,397.8,137.48,0.8,0.0, , 
,138.71,896,88.5,0.8,11111111,139.03,896,28.2,4.12,397.8,138.39,0.8,0.0, , 
,139.65,896,88.5,1.2,11111111,139.97,864,28.2,4.12,397.8,139.34,0.8,0.0, , 
,140.57,896,88.5,1.2,11111111,140.88,864,28.2,4.12,397.8,140.27,0.8,0.0, , 
,141.52,864,88.5,1.2,11111111,141.85,864,28.2,4.12,397.8,141.21,0.8,0.0, , 
,142.46,864,88.5,0.4,11111111,142.76,864,28.2,4.12,418.2,142.16,0.8,0.0, , 
,143.37,864,88.5,0.0,11111111,143.69,896,31.0,4.12,438.6,143.05,0.8,0.0, , 
,144.29,864,88.5,0.4,11111111,144.58,864,31.0,4.12,438.6,143.99,0.8,0.0, , 
,145.22,896,88.5,0.4,11111111,145.53,896,29.4,4.12,418.2,144.91,0.8,0.0, , 
,146.16,896,90.0,0.0,11111111,146.47,864,28.2,4.12,418.2,145.85,0.8,0.0, , 
,147.07,768,90.0,-0.8,11111111,147.36,768,29.4,4.12,418.2,146.78,0.8,0.0, , 
,147.98,800,90.0,-1.2,11111111,148.28,800,29.4,4.12,438.6,147.66,0.8,0.0, , 
,148.87,800,90.0,-0.8,11111111,149.17,800,29.4,4.12,438.6,148.57,0.8,0.0, , 
,149.76,768,90.0,-0.8,11111111,150.05,800,29.4,4.12,438.6,149.46,0.8,0.0, , 
,150.66,800,88.5,-0.8,11111111,150.97,768,29.4,4.12,438.6,150.36,0.8,0.0, , 
,151.57,800,88.5,-0.4,11111111,151.89,768,28.2,4.12,418.2,151.27,0.8,0.0, , 
,152.52,768,88.5,0.0,11101011,152.84,1024,40.0,5.15,520.2,152.19,0.8,0.0, , 
,153.46,1120,88.5,0.0,11111111,153.77,896,23.5,3.09,357.0,153.15,0.0,0.0, , 
,154.38,672,88.5,0.0,11111111,154.70,832,41.2,6.18,550.8,154.08,0.8,0.0, , 
,155.30,832,88.5,-5.5,11111111,155.60,800,31.0,4.12,438.6,155.01,0.0,0.0, , 
,156.22,832,88.5,-8.2,11111111,156.54,896,35.3,4.12,479.4,155.91,0.8,0.0, , 
,157.17,896,88.5,-6.3,11111111,157.47,896,31.0,4.12,438.6,156.87,0.8,0.0, , 
,158.07,896,88.5,-4.7,11111111,158.38,896,31.0,4.12,438.6,157.78,0.8,0.0, , 
,158.99,928,90.0,-3.5,11101011,159.34,960,31.0,4.12,418.2,158.70,0.8,0.0, , 
,159.93,992,88.5,-3.5,11101011,160.24,1056,26.7,3.09,377.4,159.65,0.8,0.0, , 
,160.91,1056,90.0,-4.3,11101011,161.24,1088,26.7,3.09,377.4,160.58,0.8,0.0, , 
,161.86,1152,90.0,-2.3,11101011,162.18,1216,31.0,4.12,418.2,161.54,0.0,0.0, , 
,162.83,1280,90.0,-1.2,11101011,163.18,1344,31.0,4.12,418.2,162.51,0.0,0.0, , 
,163.95,1472,90.0,-0.8,11101011,164.30,1472,23.5,3.09,336.6,163.49,0.0,0.0, , 
,165.07,1472,90.0,-1.2,11111111,165.43,1344,23.5,3.09,336.6,164.68,0.0,0.0, , 
,166.05,928,90.0,-3.1,11111111,166.39,736,26.7,4.12,397.8,165.75,0.8,0.0, , 
,166.93,928,90.0,0.0,11101011,167.20,992,48.6,7.21,612.0,166.67,0.8,0.0, , 
,167.76,736,90.0,0.0,11101011,168.06,768,60.4,9.27,734.4,167.50,0.0,0.0, , 
,168.69,896,90.0,0.0,11111111,169.01,832,31.0,4.12,438.6,168.37,0.0,0.0, , 
,169.62,832,90.0,-1.6,11111111,169.94,864,34.1,4.12,479.4,169.32,0.8,0.0, , 
,170.54,864,90.0,-2.3,11111111,170.82,832,31.0,4.12,438.6,170.25,0.8,0.0, , 
,171.41,832,90.0,-3.1,11111111,171.70,768,31.0,4.12,438.6,171.12,0.8,0.0, , 
,172.27,768,90.0,-3.1,11111111,172.58,800,32.5,4.12,459.0,171.98,0.8,0.0, , 
,173.17,800,90.0,-2.0,11111111,173.47,800,32.5,4.12,459.0,172.88,0.8,0.0, , 
,174.08,864,90.0,0.0,11101011,174.40,896,51.8,7.21,652.8,173.78,0.8,0.0, , 
,174.97,736,90.0,-1.2,11101011,175.24,736,60.4,9.27,734.4,174.69,0.0,0.0, , 
,175.85,864,90.0,0.0,11111111,176.17,896,35.3,4.12,479.4,175.54,0.0,0.0, , 
,176.78,864,90.0,0.0,11111111,177.09,832,31.0,4.12,438.6,176.47,0.8,0.0, , 
,177.69,896,90.0,-2.0,11111111,178.01,864,29.4,4.12,418.2,177.39,0.8,0.0, , 
,178.63,864,90.0,-2.3,11111111,178.93,896,31.0,4.12,438.6,178.33,0.8,0.0, , 
,179.53,896,90.0,-2.7,11111111,179.83,896,29.4,4.12,418.2,179.23,0.8,0.0, , 
,180.43,832,90.0,-2.7,11111111,180.73,768,28.2,3.09,418.2,180.14,0.8,0.0, , 
,181.32,768,90.0,-2.3,11111111,181.60,800,31.0,4.12,438.6,181.01,0.8,0.0, , 
,182.19,800,90.0,-2.0,11111111,182.51,800,31.0,4.12,438.6,181.90,0.8,0.0, , 
,183.11,800,91.5,-2.3,11111111,183.41,800,29.4,4.12,438.6,182.82,0.8,0.0, , 
,184.00,800,90.0,-2.0,11111111,184.30,800,29.4,4.12,438.6,183.71,0.8,0.0, , 
,184.91,800,91.5,-2.0,11111111,185.22,800,29.4,4.12,438.6,184.61,0.8,0.0, , 
,185.86,768,91.5,-2.3,11111111,186.16,768,29.4,4.12,438.6,185.55,0.8,0.0, , 
,186.77,800,91.5,-2.3,10111111,187.07,768,29.4,4.12,438.6,186.47,0.8,0.0, , 
,187.67,800,91.5,-2.0,10111111,187.97,768,29.4,4.12,418.2,187.36,0.8,0.0, , 
,188.57,800,91.5,-2.0,10111111,188.87,768,28.2,4.12,418.2,188.27,0.8,0.0, , 
,189.46,768,91.5,-2.3,10111111,189.76,800,29.4,4.12,438.6,189.16,0.8,0.0, , 
,190.35,800,91.5,-2.3,10111111,190.64,800,28.2,4.12,418.2,190.05,0.8,0.0, , 
,191.24,800,91.5,-2.7,10111111,191.56,800,28.2,4.12,418.2,190.94,0.8,0.0, , 
,192.13,800,91.5,-3.1,10111111,192.43,768,28.2,3.09,418.2,191.84,0.8,0.0, , 
,193.05,800,91.5,-3.5,10111111,193.35,768,28.2,3.09,418.2,192.74,0.8,0.0, , 
,193.95,800,91.5,-3.5,10111111,194.26,768,28.2,3.09,418.2,193.66,0.8,0.0, , 
,194.84,800,91.5,-3.1,10111111,195.15,800,28.2,3.09,418.2,194.56,0.8,0.0, , 
,195.75,800,91.5,-2.7,10111111,196.05,768,26.7,3.09,418.2,195.45,0.8,0.0, , 
,196.66,768,91.5,-0.8,10111111,196.96,768,28.2,3.09,418.2,196.36,0.8,0.0, , 
,197.58,768,91.5,-0.4,10111111,197.88,800,28.2,3.09,418.2,197.27,0.8,0.0, , 
,198.47,800,91.5,0.0,10111111,198.77,800,26.7,3.09,397.8,198.17,0.8,0.0, , 
,199.35,800,91.5,0.0,10111111,199.65,768,26.7,3.09,418.2,199.06,0.8,0.0, , 
,200.23,800,91.5,-0.4,10111111,200.52,768,26.7,3.09,397.8,199.93,0.8,0.0, , 
,201.12,800,93.0,-0.4,10111111,201.41,768,26.7,3.09,397.8,200.82,0.8,0.0, , 
,202.04,768,93.0,-0.4,10111111,202.34,768,26.7,3.09,397.8,201.72,0.8,0.0, , 
,202.92,800,91.5,-0.4,10111111,203.22,800,26.7,3.09,397.8,202.64,0.8,0.0, , 
,203.82,768,91.5,-0.4,10111111,204.10,768,26.7,3.09,397.8,203.52,0.8,0.0, , 
,204.71,768,91.5,-0.8,10111111,205.02,800,26.7,3.09,397.8,204.42,0.8,0.0, , 
,205.64,768,93.0,-1.6,10111111,205.95,768,26.7,3.09,418.2,205.33,0.8,0.0, , 
,206.54,768,93.0,-1.6,10111111,206.86,768,28.2,3.09,418.2,206.26,0.8,0.0, , 
,207.46,768,93.0,-1.6,10111111,207.76,768,26.7,3.09,418.2,207.17,0.8,0.0, , 
,208.35,800,93.0,-1.6,10111111,208.65,768,26.7,3.09,418.2,208.05,0.8,0.0, , 
,209.25,768,93.0,-1.6,10111111,209.55,768,28.2,3.09,418.2,208.94,0.8,0.0, , 
,210.16,768,93.0,-1.6,10111111,210.47,768,28.2,3.09,418.2,209.87,0.8,0.0, , 
,211.10,800,93.0,-1.6,10111111,211.41,800,28.2,3.09,418.2,210.77,0.8,0.0, , 
,211.99,768,93.0,-1.6,10111111,212.30,800,28.2,3.09,418.2,211.70,0.8,0.0, , 
