Pi¹tek,18,Wrzesieñ,2026,18:32:35:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.53,0,51.0,0.0,10110110,0.01,0,0.0,0.00,989.4,0.27,99.2,0.0, , 
,1.33,0,51.0,0.0,10110110,0.80,0,0.0,0.00,989.4,1.06,99.2,0.0, , 
,2.13,0,51.0,0.0,10110110,1.60,0,0.0,0.00,989.4,1.86,99.2,0.0, , 
,2.94,0,51.0,0.0,10110110,2.40,0,0.0,0.00,989.4,2.67,99.2,0.0, , 
,3.74,0,51.0,0.0,10110110,3.21,0,0.0,0.00,989.4,3.47,99.2,0.0, , 
,4.53,0,51.0,0.0,10110110,4.00,0,0.0,0.00,989.4,4.27,99.2,0.0, , 
,5.33,0,51.0,0.0,10110110,4.80,0,0.0,0.00,989.4,5.06,99.2,0.0, , 
,6.15,0,51.0,0.0,10110110,5.60,0,0.0,0.00,989.4,5.87,99.2,0.0, , 
,6.97,0,51.0,0.0,10110110,6.43,0,0.0,0.00,989.4,6.71,99.2,0.0, , 
,7.77,0,51.0,0.0,10110110,7.24,0,0.0,0.00,989.4,7.50,99.2,0.0, , 
,8.59,0,51.0,0.0,10110110,8.04,0,0.0,0.00,989.4,8.31,99.2,0.0, , 
,9.43,0,51.0,0.0,10110110,8.87,0,0.0,0.00,989.4,9.15,99.2,0.0, , 
,10.24,0,51.0,0.0,10110110,9.71,0,0.0,0.00,989.4,9.97,99.2,0.0, , 
,11.03,0,51.0,0.0,10110110,10.50,0,0.0,0.00,989.4,10.77,99.2,0.0, , 
,11.83,0,51.0,0.0,10110110,11.30,0,0.0,0.00,989.4,11.56,99.2,0.0, , 
,12.63,0,51.0,0.0,10110110,12.10,0,0.0,0.00,989.4,12.36,99.2,0.0, , 
,13.46,0,51.0,0.0,10110110,12.90,0,0.0,0.00,989.4,13.18,99.2,0.0, , 
,14.29,0,51.0,0.0,10110110,13.73,0,0.0,0.00,989.4,14.01,99.2,0.0, , 
,15.10,0,51.0,0.0,10110110,14.57,0,0.0,0.00,989.4,14.83,99.2,0.0, , 
,15.90,0,51.0,0.0,10110110,15.36,0,0.0,0.00,989.4,15.62,99.2,0.0, , 
,16.72,0,51.0,0.0,10110110,16.18,0,0.0,0.00,989.4,16.45,99.2,0.0, , 
,17.52,0,51.0,0.0,10110110,16.99,0,0.0,0.00,989.4,17.25,99.2,0.0, , 
,18.31,0,51.0,0.0,10110110,17.78,0,0.0,0.00,989.4,18.05,99.2,0.0, , 
,19.11,0,51.0,0.0,10110110,18.58,0,0.0,0.00,989.4,18.85,99.2,0.0, , 
,19.93,0,51.0,0.0,10110110,19.38,0,0.0,0.00,989.4,19.65,99.2,0.0, , 
,20.73,0,51.0,0.0,10110110,20.21,0,0.0,0.00,989.4,20.47,99.2,0.0, , 
,21.53,0,51.0,0.0,10110110,21.00,0,0.0,0.00,989.4,21.27,99.2,0.0, , 
,22.33,0,51.0,0.0,10110110,21.80,0,0.0,0.00,989.4,22.06,99.2,0.0, , 
,23.15,0,51.0,0.0,10110110,22.59,0,0.0,0.00,989.4,22.87,99.2,0.0, , 
,23.97,224,51.0,0.0,10110110,23.42,0,0.0,0.00,989.4,23.69,99.2,0.0, , 
,24.91,1088,51.0,0.0,10110110,24.28,224,94.5,37.08,969.0,24.60,0.0,0.0, , 
,25.81,992,51.0,0.0,10110110,25.22,1056,41.2,7.21,499.8,25.49,0.0,0.0, , 
,26.76,928,51.0,0.0,10110110,26.14,960,40.0,6.18,479.4,26.44,0.0,0.0, , 
,27.68,896,51.0,0.0,10110110,27.05,928,40.0,6.18,499.8,27.35,0.0,0.0, , 
,28.58,864,51.0,0.0,10110110,27.99,896,41.2,6.18,520.2,28.28,0.0,0.0, , 
,29.51,896,51.0,0.0,10110110,28.89,864,42.7,6.18,520.2,29.20,0.0,0.0, , 
,30.45,896,51.0,0.0,10110110,29.81,864,41.2,6.18,499.8,30.12,0.0,0.0, , 
,31.38,896,51.0,0.0,10110110,30.76,864,40.0,6.18,499.8,31.07,0.0,0.0, , 
,32.28,864,51.0,0.0,10110110,31.67,896,40.0,6.18,499.8,31.97,0.0,0.0, , 
,33.21,864,51.0,0.0,10110110,32.59,864,40.0,6.18,499.8,32.90,0.0,0.0, , 
,34.14,1248,51.0,0.0,10100010,33.50,832,40.0,6.18,499.8,33.82,0.0,0.0, , 
,35.18,1536,51.0,0.0,10100010,34.47,1504,42.7,6.18,499.8,34.82,0.0,0.0, , 
,36.15,1184,51.0,0.0,10100010,35.52,1440,40.0,6.18,479.4,35.84,0.0,0.0, , 
,37.09,960,49.5,0.0,10110110,36.47,1216,38.4,4.12,479.4,36.80,0.0,0.0, , 
,38.00,864,49.5,0.0,10110110,37.40,832,35.3,5.15,459.0,37.69,0.0,0.0, , 
,38.89,864,49.5,0.0,10110110,38.30,864,35.3,5.15,459.0,38.60,0.0,0.0, , 
,39.83,896,49.5,0.0,10110110,39.21,896,36.9,5.15,459.0,39.51,0.0,0.0, , 
,40.77,864,49.5,0.0,10110110,40.16,896,36.9,5.15,459.0,40.45,0.0,0.0, , 
,41.69,896,49.5,0.0,10110110,41.08,896,36.9,5.15,459.0,41.39,0.0,0.0, , 
,42.60,800,49.5,0.0,10110110,41.99,864,34.1,5.15,438.6,42.29,0.0,0.0, , 
,43.47,800,49.5,0.0,10100010,42.87,800,35.3,5.15,459.0,43.17,0.0,0.0, , 
,44.46,1056,48.0,0.0,10100010,43.81,1120,51.8,8.24,612.0,44.15,0.0,0.0, , 
,45.46,1088,48.0,0.0,10100010,44.80,992,54.5,8.24,612.0,45.13,0.0,0.0, , 
,46.39,864,48.0,0.0,10100010,45.76,1152,47.1,6.18,571.2,46.09,0.0,0.0, , 
,47.27,992,48.0,0.0,10100010,46.68,992,40.0,5.15,479.4,46.95,0.0,0.0, , 
,48.18,1056,48.0,0.0,10100010,47.57,992,38.4,5.15,479.4,47.87,0.0,0.0, , 
,49.16,1184,48.0,0.0,10100010,48.50,1088,44.3,6.18,520.2,48.84,0.0,0.0, , 
,50.18,1504,48.0,0.0,10100010,49.50,1248,48.6,8.24,571.2,49.84,0.0,0.0, , 
,51.26,1760,48.0,0.0,10110110,50.50,1632,56.1,8.24,632.4,50.87,0.0,0.0, , 
,52.22,1152,48.0,0.0,10100010,51.60,1120,34.1,5.15,418.2,51.90,0.0,0.0, , 
,53.08,1024,48.0,0.0,10101010,52.49,960,36.9,5.15,459.0,52.75,0.0,0.0, , 
,54.04,1088,48.0,0.0,10101010,53.40,1024,53.3,8.24,612.0,53.74,0.0,0.0, , 
,55.05,1184,48.0,-2.7,10101010,54.37,1120,51.8,7.21,591.6,54.70,0.0,0.0, , 
,56.03,1248,48.0,-3.1,10101010,55.38,1216,40.0,5.15,479.4,55.70,0.0,0.0, , 
,57.04,1344,48.0,1.6,10101010,56.36,1280,40.0,5.15,479.4,56.71,0.0,0.0, , 
,58.19,1440,48.0,5.9,10101010,57.37,1344,48.6,7.21,571.2,57.75,0.0,0.0, , 
,59.35,1568,48.0,0.0,10101010,58.65,1504,44.3,6.18,520.2,59.01,0.0,0.0, , 
,60.39,1568,48.0,-0.4,10101010,59.69,1568,28.2,3.09,357.0,60.03,0.0,0.0, , 
,61.51,1568,48.0,0.8,10101010,60.75,1568,28.2,3.09,357.0,61.12,0.0,0.0, , 
,62.61,1568,48.0,3.9,10101010,61.89,1568,32.5,4.12,397.8,62.23,0.0,0.0, , 
,63.71,1632,48.0,5.9,10101010,62.98,1600,35.3,5.15,418.2,63.36,0.0,0.0, , 
,64.71,1696,48.0,8.6,10101010,64.05,1632,36.9,5.15,438.6,64.37,0.0,0.0, , 
,65.82,1760,48.0,7.4,10101010,65.07,1696,41.2,6.18,479.4,65.46,0.0,0.0, , 
,66.92,1824,49.5,3.5,10101010,66.16,1792,35.3,5.15,438.6,66.53,0.0,0.0, , 
,68.02,1824,48.0,0.0,10101010,67.29,1824,31.0,4.12,377.4,67.65,0.0,0.0, , 
,69.08,1344,49.5,0.0,10111110,68.38,1856,28.2,4.12,357.0,68.73,0.0,0.0, , 
,70.01,1184,49.5,0.0,10111110,69.39,992,35.3,6.18,418.2,69.70,0.0,0.0, , 
,70.93,928,49.5,0.0,10111110,70.33,1088,28.2,4.12,357.0,70.62,0.0,0.0, , 
,71.86,896,49.5,-2.7,10111110,71.26,896,32.5,4.12,418.2,71.57,0.0,0.0, , 
,72.76,864,49.5,-3.1,10111110,72.16,896,34.1,4.12,438.6,72.46,0.0,0.0, , 
,73.70,864,49.5,-1.6,10111110,73.07,896,34.1,4.12,438.6,73.40,0.0,0.0, , 
,74.64,864,49.5,-0.4,10111110,74.00,896,34.1,4.12,438.6,74.31,0.0,0.0, , 
,75.57,896,49.5,0.8,10111110,74.95,896,34.1,4.12,438.6,75.27,0.0,0.0, , 
,76.47,896,49.5,1.2,10111110,75.87,896,34.1,4.12,438.6,76.17,0.0,0.0, , 
,77.35,864,49.5,1.2,10111110,76.76,896,34.1,4.12,438.6,77.06,0.0,0.0, , 
,78.26,800,49.5,0.8,10111110,77.65,800,32.5,4.12,438.6,77.96,0.0,0.0, , 
,79.29,1568,49.5,0.0,10101010,78.59,800,36.9,5.15,459.0,78.92,0.0,0.0, , 
,80.37,1920,49.5,0.0,10101010,79.66,1600,54.5,9.27,612.0,80.00,0.0,0.0, , 
,81.35,1440,49.5,0.0,10101010,80.69,1792,59.2,9.27,652.8,80.98,0.0,0.0, , 
,82.41,1952,51.0,1.6,10101010,81.68,1632,53.3,7.21,612.0,82.05,0.0,0.0, , 
,83.42,1312,51.0,0.0,10111110,82.74,2080,44.3,6.18,499.8,83.10,0.0,0.0, , 
,84.39,1184,51.0,0.0,10101010,83.76,1120,32.5,5.15,418.2,84.08,0.0,0.0, , 
,85.40,1280,51.0,-2.0,10101010,84.74,1216,41.2,6.18,499.8,85.05,0.0,0.0, , 
,86.45,1408,51.0,1.2,10101010,85.74,1344,44.3,6.18,520.2,86.07,0.0,0.0, , 
,87.44,1536,51.0,3.5,10101010,86.72,1472,40.0,6.18,479.4,87.10,0.0,0.0, , 
,88.49,1696,51.0,5.5,10101010,87.77,1600,36.9,5.15,438.6,88.12,0.0,0.0, , 
,89.56,1824,51.0,4.3,10101010,88.84,1728,35.3,5.15,418.2,89.19,0.0,0.0, , 
,90.67,1952,51.0,2.0,10101010,89.94,1888,29.4,4.12,377.4,90.29,0.0,0.0, , 
,91.70,2048,51.0,1.2,10101000,91.02,2016,25.1,3.09,336.6,91.36,0.0,0.0, , 
,92.74,2112,52.5,-0.8,10101000,92.04,2048,23.5,3.09,316.2,92.41,0.0,0.0, , 
,93.79,2176,52.5,-1.2,10101000,93.09,2144,23.5,3.09,316.2,93.44,0.0,0.0, , 
,94.80,2208,52.5,-1.6,10101000,94.12,2176,23.5,3.09,316.2,94.45,0.0,0.0, , 
,95.79,2272,52.5,2.7,10111100,95.13,2240,23.5,3.09,316.2,95.46,0.0,0.0, , 
,96.78,2240,52.5,9.0,10111100,96.13,2272,19.2,2.06,275.4,96.46,0.0,0.0, , 
,97.80,2176,52.5,7.8,10111100,97.11,2208,19.2,3.09,275.4,97.45,0.0,0.0, , 
,98.84,2112,52.5,9.0,10111100,98.15,2176,19.2,3.09,275.4,98.50,0.0,0.0, , 
,99.89,2080,52.5,10.9,10111100,99.18,2112,19.2,3.09,275.4,99.53,0.0,0.0, , 
,100.94,2048,52.5,10.5,10111100,100.24,2048,19.2,3.09,275.4,100.59,0.0,0.0, , 
,102.00,2016,52.5,5.5,10101000,101.29,2048,17.6,3.09,244.8,101.64,0.0,0.0, , 
,103.08,2080,52.5,2.0,10101000,102.37,2048,17.6,2.06,244.8,102.73,0.0,0.0, , 
,104.10,2048,52.5,3.5,10101000,103.41,2048,17.6,2.06,244.8,103.76,0.0,0.0, , 
,105.13,2112,52.5,3.9,10101000,104.43,2080,17.6,2.06,244.8,104.79,0.0,0.0, , 
,106.14,2144,54.0,7.0,10101000,105.47,2144,17.6,2.06,244.8,105.79,0.0,0.0, , 
,107.14,2176,52.5,0.0,10111100,106.46,2176,19.2,2.06,244.8,106.79,0.0,0.0, , 
,108.14,1088,54.0,0.0,10111110,107.47,1632,0.0,0.00,316.2,107.82,0.0,0.0, , 
,109.07,864,54.0,0.0,10111110,108.45,1088,31.0,4.12,418.2,108.77,0.0,0.0, , 
,109.98,864,54.0,0.0,10111110,109.38,864,34.1,4.12,438.6,109.69,0.0,0.0, , 
,110.91,864,54.0,2.3,10111110,110.28,896,34.1,4.12,438.6,110.59,0.0,0.0, , 
,111.83,896,54.0,5.5,10111110,111.20,864,34.1,4.12,438.6,111.50,0.0,0.0, , 
,112.76,896,54.0,-3.9,10111110,112.13,864,35.3,4.12,459.0,112.43,0.0,0.0, , 
,113.69,896,54.0,-1.2,10111110,113.06,896,35.3,4.12,438.6,113.38,0.0,0.0, , 
,114.61,896,54.0,0.8,10111110,114.00,896,35.3,5.15,459.0,114.29,0.0,0.0, , 
,115.53,896,54.0,1.2,10111110,114.94,896,35.3,5.15,459.0,115.24,0.0,0.0, , 
,116.47,896,54.0,1.2,10111110,115.84,896,35.3,5.15,438.6,116.16,0.0,0.0, , 
,117.39,896,54.0,1.6,10111110,116.79,896,34.1,5.15,438.6,117.09,0.0,0.0, , 
,118.32,896,54.0,1.6,10111110,117.70,896,34.1,4.12,438.6,118.02,0.0,0.0, , 
,119.25,896,55.5,1.6,10111110,118.62,896,34.1,4.12,438.6,118.94,0.0,0.0, , 
,120.22,896,55.5,1.2,10111110,119.57,896,32.5,4.12,438.6,119.90,0.0,0.0, , 
,121.16,896,54.0,0.8,10111110,120.53,896,32.5,4.12,438.6,120.85,0.0,0.0, , 
,122.09,896,55.5,0.8,10111110,121.45,896,32.5,4.12,438.6,121.76,0.0,0.0, , 
,123.03,896,55.5,0.8,10111110,122.41,896,32.5,4.12,418.2,122.72,0.0,0.0, , 
,123.95,896,55.5,1.2,10111110,123.34,896,32.5,4.12,418.2,123.64,0.8,0.0, , 
,124.85,896,55.5,1.2,10111110,124.25,896,32.5,4.12,418.2,124.55,0.8,0.0, , 
,125.78,896,55.5,1.2,10111110,125.15,896,32.5,4.12,418.2,125.48,0.8,0.0, , 
,126.71,864,55.5,1.2,10111110,126.08,896,32.5,4.12,418.2,126.39,0.8,0.0, , 
,127.61,896,55.5,1.2,10111110,127.00,896,32.5,4.12,418.2,127.31,0.0,0.0, , 
,128.62,1504,55.5,0.0,10101010,127.94,960,31.0,4.12,418.2,128.25,0.0,0.0, , 
,129.72,1824,55.5,2.3,10101010,128.99,1664,32.5,4.12,418.2,129.36,0.0,0.0, , 
,130.83,1984,55.5,1.6,10101010,130.09,1856,28.2,4.12,357.0,130.45,0.0,0.0, , 
,131.89,2080,55.5,0.8,10101000,131.18,2016,23.5,3.09,316.2,131.54,0.0,0.0, , 
,132.92,2176,57.0,-0.8,10101000,132.23,2144,17.6,2.06,244.8,132.58,0.0,0.0, , 
,133.93,2240,55.5,-0.4,10101000,133.26,2176,17.6,2.06,244.8,133.59,0.0,0.0, , 
,134.93,2304,57.0,-0.8,10111100,134.26,2240,19.2,2.06,275.4,134.60,0.0,0.0, , 
,135.93,2272,57.0,4.3,10111100,135.25,2304,19.2,2.06,275.4,135.59,0.0,0.0, , 
,136.94,2208,57.0,5.5,10111100,136.27,2272,19.2,3.09,275.4,136.60,0.0,0.0, , 
,137.94,2176,55.5,7.0,10111100,137.27,2208,19.2,3.09,275.4,137.61,0.0,0.0, , 
,138.95,2112,55.5,0.0,10111100,138.28,2176,19.2,3.09,275.4,138.61,0.0,0.0, , 
,139.90,1152,57.0,0.0,10111110,139.26,1536,0.0,0.00,316.2,139.59,0.0,0.0, , 
,140.80,992,57.0,0.0,10111110,140.21,1152,29.4,4.12,397.8,140.52,0.0,0.0, , 
,141.73,864,57.0,-2.3,10111110,141.11,928,29.4,4.12,397.8,141.41,0.0,0.0, , 
,142.62,864,57.0,-5.1,10111110,142.03,864,32.5,4.12,418.2,142.33,0.8,0.0, , 
,143.59,864,57.0,-4.7,10111110,142.93,864,32.5,4.12,418.2,143.25,0.0,0.0, , 
,144.51,864,57.0,-2.7,10111110,143.89,864,34.1,4.12,438.6,144.20,0.0,0.0, , 
,145.41,800,57.0,-0.8,10111110,144.82,864,34.1,4.12,438.6,145.12,0.8,0.0, , 
,146.33,896,57.0,-2.3,10111110,145.70,864,40.0,5.15,499.8,146.01,0.0,0.0, , 
,147.29,1024,57.0,-0.4,10101010,146.68,928,35.3,4.12,438.6,146.96,0.0,0.0, , 
,148.26,1024,57.0,0.0,10101010,147.62,1056,35.3,5.15,459.0,147.96,0.0,0.0, , 
,149.22,1248,57.0,0.0,10101010,148.59,1152,50.2,7.21,591.6,148.91,0.0,0.0, , 
,150.37,1568,57.0,0.0,10101010,149.57,1344,65.1,10.30,734.4,150.02,0.0,0.0, , 
,151.53,1856,57.0,2.0,10101010,150.76,1664,60.4,9.27,673.2,151.15,0.0,0.0, , 
,152.57,2080,57.0,1.6,10101000,151.89,1952,51.8,7.21,591.6,152.24,0.0,0.0, , 
,153.59,2272,57.0,2.7,10101000,152.92,2176,45.9,6.18,520.2,153.26,0.0,0.0, , 
,154.67,2464,57.0,0.0,10111100,153.95,2336,42.7,6.18,499.8,154.33,0.0,0.0, , 
,155.68,1056,57.0,0.0,10111110,155.04,1888,0.0,0.00,336.6,155.38,0.0,0.0, , 
,156.66,1216,57.0,0.0,10111110,156.01,1056,32.5,5.15,418.2,156.34,0.0,0.0, , 
,157.70,1568,57.0,-2.7,10111110,156.98,1568,23.5,4.12,316.2,157.34,0.0,0.0, , 
,158.78,1568,57.0,0.8,10101010,158.06,1536,25.1,3.09,336.6,158.40,0.0,0.0, , 
,159.80,1568,57.0,2.0,10101010,159.13,1568,26.7,3.09,336.6,159.45,0.0,0.0, , 
,160.87,1568,57.0,2.7,10101010,160.15,1568,25.1,3.09,336.6,160.51,0.0,0.0, , 
,161.95,1600,57.0,3.5,10101010,161.26,1568,25.1,3.09,336.6,161.61,0.0,0.0, , 
,163.09,1600,57.0,3.5,10101010,162.32,1568,26.7,4.12,336.6,162.70,0.0,0.0, , 
,164.17,1632,58.5,4.3,10101010,163.45,1600,28.2,4.12,357.0,163.81,0.0,0.0, , 
,165.25,1664,58.5,5.9,10101010,164.55,1632,36.9,5.15,438.6,164.89,0.0,0.0, , 
,166.39,1728,58.5,5.5,10101010,165.65,1696,38.4,5.15,459.0,166.02,0.0,0.0, , 
,167.53,1792,58.5,5.1,10101010,166.75,1760,35.3,5.15,438.6,167.15,0.0,0.0, , 
,168.66,1856,58.5,3.1,10101010,167.90,1824,34.1,5.15,418.2,168.29,0.0,0.0, , 
,169.78,1888,58.5,1.6,10101010,169.03,1856,32.5,4.12,397.8,169.41,0.0,0.0, , 
,170.87,1920,58.5,0.4,10101010,170.14,1888,31.0,4.12,377.4,170.51,0.0,0.0, , 
,171.95,1952,58.5,-0.4,10101010,171.24,1920,29.4,4.12,377.4,171.60,0.0,0.0, , 
,173.04,1952,58.5,-1.2,10101010,172.32,1920,28.2,4.12,357.0,172.69,0.0,0.0, , 
,174.13,1952,58.5,-1.2,10101010,173.41,1952,28.2,3.09,357.0,173.76,0.0,0.0, , 
,175.21,1952,58.5,-1.2,10101010,174.48,1952,28.2,3.09,357.0,174.84,0.0,0.0, , 
,176.28,1952,58.5,-1.6,10101010,175.56,1952,26.7,3.09,357.0,175.93,0.0,0.0, , 
,177.37,1952,58.5,-0.4,10101010,176.64,1952,28.2,4.12,357.0,177.01,0.0,0.0, , 
,178.45,1952,58.5,-0.8,10101010,177.74,1952,28.2,4.12,357.0,178.10,0.0,0.0, , 
,179.53,1984,58.5,0.0,10101010,178.81,1984,29.4,4.12,377.4,179.19,0.0,0.0, , 
,180.58,1984,58.5,1.2,10101010,179.89,1984,32.5,4.12,397.8,180.24,0.0,0.0, , 
,181.68,1952,58.5,1.6,10101010,180.93,1984,35.3,5.15,418.2,181.29,0.0,0.0, , 
,182.77,1984,60.0,0.0,10101000,182.04,1984,44.3,6.18,499.8,182.40,0.0,0.0, , 
,183.82,2048,60.0,1.2,10101000,183.13,2016,57.6,8.24,632.4,183.47,0.0,0.0, , 
,184.84,2080,60.0,2.3,10101000,184.16,2048,54.5,8.24,612.0,184.49,0.0,0.0, , 
,185.87,2112,60.0,1.6,10101000,185.19,2112,53.3,7.21,612.0,185.52,0.0,0.0, , 
,186.89,2176,60.0,0.0,10101000,186.20,2112,53.3,7.21,591.6,186.55,0.0,0.0, , 
,187.89,2208,60.0,0.0,10101000,187.22,2176,62.0,9.27,673.2,187.54,0.0,0.0, , 
,188.92,2240,60.0,1.2,10101000,188.23,2208,50.2,7.21,571.2,188.57,0.0,0.0, , 
,189.95,2240,60.0,-0.4,10101000,189.26,2240,38.4,5.15,459.0,189.61,0.0,0.0, , 
,190.97,2272,60.0,-0.8,10101000,190.29,2240,36.9,5.15,438.6,190.64,0.0,0.0, , 
,191.99,2272,60.0,-0.4,10101000,191.31,2272,36.9,5.15,438.6,191.65,0.0,0.0, , 
,192.98,2272,60.0,-0.4,10101000,192.32,2272,36.9,5.15,438.6,192.66,0.0,0.0, , 
,193.98,2304,60.0,-0.4,10101000,193.32,2304,35.3,5.15,418.2,193.66,0.0,0.0, , 
,195.00,2304,60.0,-0.4,10101000,194.32,2304,35.3,5.15,418.2,194.65,0.0,0.0, , 
,196.01,2336,60.0,0.0,10101000,195.35,2304,35.3,5.15,418.2,195.69,0.0,0.0, , 
,197.00,2336,60.0,-0.4,10101000,196.33,2336,23.5,3.09,316.2,196.67,0.0,0.0, , 
,198.08,2336,60.0,-0.8,10101000,197.35,2336,26.7,3.09,336.6,197.71,0.0,0.0, , 
,199.10,2336,60.0,0.4,10101000,198.42,2336,28.2,4.12,336.6,198.77,0.0,0.0, , 
,200.16,2368,61.5,0.8,10101000,199.45,2336,32.5,4.12,397.8,199.79,0.0,0.0, , 
,201.16,2368,61.5,0.4,10101000,200.47,2368,35.3,5.15,418.2,200.82,0.0,0.0, , 
,202.18,2368,61.5,1.6,10101000,201.52,2368,36.9,5.15,418.2,201.85,0.0,0.0, , 
,203.22,2368,61.5,3.5,10101000,202.54,2368,40.0,5.15,459.0,202.89,0.0,0.0, , 
,204.28,2368,61.5,3.5,10101000,203.57,2368,44.3,6.18,499.8,203.91,0.0,0.0, , 
,205.40,2400,61.5,2.3,10101000,204.64,2368,42.7,6.18,479.4,205.01,0.0,0.0, , 
,206.43,2368,61.5,0.8,10101000,205.75,2368,36.9,5.15,438.6,206.09,0.0,0.0, , 
,207.44,2336,61.5,0.8,11101000,206.76,2368,36.9,5.15,438.6,207.09,0.0,0.0, , 
,208.45,2304,61.5,0.4,11101000,207.78,2336,25.1,3.09,316.2,208.11,0.0,0.0, , 
,209.49,2240,61.5,-1.2,11101000,208.80,2272,23.5,3.09,316.2,209.15,0.0,0.0, , 
,210.50,2208,63.0,-1.2,10101000,209.80,2240,25.1,3.09,316.2,210.15,0.0,0.0, , 
,211.49,2176,63.0,-1.6,10101000,210.83,2208,25.1,3.09,336.6,211.16,0.0,0.0, , 
,212.52,2144,63.0,-1.6,10101000,211.85,2176,25.1,3.09,336.6,212.19,0.0,0.0, , 
,213.55,2144,61.5,-0.8,10101000,212.86,2144,25.1,3.09,336.6,213.22,0.0,0.0, , 
,214.56,2112,63.0,-0.4,10101000,213.89,2112,26.7,3.09,336.6,214.24,0.0,0.0, , 
,215.61,2112,63.0,0.8,10101000,214.92,2112,26.7,3.09,357.0,215.27,0.0,0.0, , 
,216.65,2144,63.0,2.0,10101000,215.96,2112,35.3,5.15,418.2,216.30,0.0,0.0, , 
,217.68,2176,63.0,1.6,10101000,216.98,2144,40.0,5.15,459.0,217.33,0.0,0.0, , 
,218.74,2208,63.0,0.0,10101000,218.04,2176,28.2,4.12,357.0,218.39,0.0,0.0, , 
,219.76,2208,63.0,-0.8,10111100,219.08,2208,22.0,3.09,295.8,219.42,0.0,0.0, , 
,220.77,2144,63.0,0.0,10111100,220.10,2176,0.0,0.00,244.8,220.43,0.0,0.0, , 
,221.81,2080,63.0,0.0,10111100,221.12,2144,0.0,0.00,275.4,221.47,0.0,0.0, , 
