Środa,19,Sierpień,2026,16:33:49:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'004,,,,Grupa C:,'012
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Napięcie,Temperatura,Temperatura,,Obroty silnika,Obciążenie,(bez jednostek),(bez jednostek)
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, V,*C,*C,ZAPISU, /min, %,,
,0.01,0,94.5,0.0,10110111,0.27,0,12.02,94.5,48.0,0.54,0,0.0,0.0,0.0
,0.81,0,94.5,0.0,10110111,1.08,0,12.02,94.5,48.0,1.36,0,0.0,0.0,0.0
,1.62,0,94.5,0.0,10110111,1.89,0,12.02,94.5,48.0,2.15,0,0.0,0.0,0.0
,2.42,0,94.5,0.0,10110111,2.68,0,11.92,94.5,48.0,2.95,0,0.0,0.0,0.0
,3.21,0,94.5,0.0,10110111,3.49,0,12.02,94.5,48.0,3.77,0,0.0,0.0,0.0
,4.05,0,94.5,0.0,10110111,4.32,0,12.02,94.5,48.0,4.60,0,0.0,0.0,0.0
,4.87,0,94.5,0.0,10110111,5.14,0,12.02,94.5,48.0,5.40,0,0.0,0.0,0.0
,5.67,0,94.5,0.0,10110111,5.93,0,12.02,94.5,48.0,6.20,0,0.0,0.0,0.0
,6.47,0,94.5,0.0,10110111,6.73,0,12.02,94.5,48.0,7.00,0,0.0,0.0,0.0
,7.27,0,94.5,0.0,10110111,7.55,0,12.02,94.5,48.0,7.83,0,0.0,0.0,0.0
,8.09,0,94.5,0.0,10110111,8.36,0,12.02,94.5,48.0,8.62,0,0.0,0.0,0.0
,8.89,0,94.5,0.0,10110111,9.16,0,12.02,94.5,48.0,9.44,0,0.0,0.0,0.0
,9.71,0,94.5,0.0,10110111,9.98,0,12.02,94.5,48.0,10.25,0,0.0,0.0,0.0
,10.52,0,94.5,0.0,10110111,10.79,0,12.02,94.5,48.0,11.06,0,0.0,0.0,0.0
,11.32,0,94.5,0.0,10110111,11.59,0,12.02,94.5,48.0,11.86,0,0.0,0.0,0.0
,12.12,0,94.5,0.0,10110111,12.39,0,12.02,94.5,48.0,12.66,0,0.0,0.0,0.0
,12.94,0,94.5,0.0,10110111,13.20,0,12.02,94.5,48.0,13.47,0,0.0,0.0,0.0
,13.75,0,94.5,0.0,10110111,14.01,224,9.80,94.5,48.0,14.28,224,84.3,0.0,0.0
,14.57,288,94.5,0.0,10110111,14.89,1088,13.64,94.5,49.5,15.19,1248,44.3,28.0,86.0
,15.50,1152,94.5,0.0,10110111,15.80,1024,13.53,94.5,49.5,16.13,896,28.2,28.0,86.0
,16.45,832,94.5,0.0,10110111,16.76,832,13.64,94.5,49.5,17.07,864,29.4,28.0,86.0
,17.35,864,94.5,0.0,10110111,17.65,832,13.64,94.5,49.5,17.96,800,31.0,28.0,86.0
