Środa,19,Sierpień,2026,21:06:32:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'033,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Lambda,Napięcie, , ,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, %, V,,,ZAPISU, %, %,,
,0.28,832,54.0,-11.3,10111110,0.57,-11.3,1.45, , ,0.87,-3.1,0.0, , 
,1.18,832,54.0,-11.3,10111110,1.50,-11.3,1.45, , ,1.80,-3.9,0.0, , 
,2.10,800,54.0,-10.9,10111110,2.41,-10.9,1.45, , ,2.72,-3.1,0.0, , 
,3.03,800,54.0,-10.9,10111110,3.36,-10.9,1.45, , ,3.68,-3.9,0.0, , 
,3.98,832,54.0,-10.5,10111110,4.29,-10.5,1.45, , ,4.58,-3.9,0.0, , 
,4.89,832,54.0,-10.9,10111110,5.19,-11.3,1.41, , ,5.52,-3.1,0.0, , 
,5.82,800,54.0,-11.3,10111110,6.13,-11.3,1.45, , ,6.43,-3.1,0.0, , 
,6.74,800,54.0,-11.7,10111110,7.03,-11.7,1.41, , ,7.32,-3.9,0.0, , 
,7.63,832,54.0,-11.7,10111110,7.93,-11.7,1.45, , ,8.22,-3.9,0.0, , 
,8.51,832,55.5,-11.7,10111110,8.82,-11.7,1.45, , ,9.12,-3.9,0.0, , 
,9.42,800,55.5,-11.7,10111110,9.71,-11.7,1.45, , ,9.99,-3.9,0.0, , 
,10.29,800,55.5,-12.1,10111110,10.58,-12.1,1.45, , ,10.90,-3.9,0.0, , 
,11.21,800,55.5,-12.1,10111110,11.52,-12.1,1.45, , ,11.84,-3.1,0.0, , 
,12.14,832,55.5,-12.1,10111110,12.46,-12.1,1.41, , ,12.76,-3.1,0.0, , 
,13.06,800,55.5,-12.5,10111110,13.34,-12.1,1.45, , ,13.63,-3.1,0.0, , 
,13.93,800,55.5,-12.5,10111110,14.24,-12.5,1.45, , ,14.53,-3.1,0.0, , 
,14.82,832,55.5,-12.5,10111110,15.12,-12.5,1.45, , ,15.41,-3.1,0.0, , 
,15.74,800,55.5,-12.1,10111110,16.05,-12.1,1.45, , ,16.36,-3.9,0.0, , 
,16.65,832,55.5,-11.7,10111110,16.95,-11.7,1.45, , ,17.25,-3.1,0.0, , 
,17.55,832,55.5,-11.7,10111110,17.86,-11.7,1.45, , ,18.17,-3.9,0.0, , 
,18.47,800,55.5,-11.7,10111110,18.78,-11.7,1.45, , ,19.07,-3.1,0.0, , 
,19.38,832,55.5,-11.3,10111110,19.69,-11.3,1.45, , ,20.01,-3.1,0.0, , 
,20.31,800,55.5,-11.3,10111110,20.59,-11.3,1.45, , ,20.89,-3.1,0.0, , 
,21.19,832,55.5,-11.3,10111110,21.50,-11.3,1.45, , ,21.78,-3.1,0.0, , 
,22.08,832,55.5,-11.3,10111110,22.39,-12.5,1.45, , ,22.68,-2.3,0.0, , 
,23.03,1536,55.5,0.0,10111110,23.35,0.0,1.52, , ,23.67,-2.3,0.0, , 
,23.99,1472,57.0,0.0,10111110,24.32,-6.6,1.13, , ,24.62,-3.1,0.0, , 
,24.92,832,57.0,-6.3,10111110,25.22,-7.4,1.21, , ,25.54,-3.1,0.0, , 
,25.84,800,57.0,-10.5,10111110,26.15,-11.3,1.29, , ,26.46,-3.1,0.0, , 
,26.76,832,57.0,-11.7,10111110,27.06,-11.7,1.45, , ,27.36,-3.1,0.0, , 
,27.68,832,57.0,-11.3,10111110,27.97,-11.3,1.48, , ,28.29,-3.1,0.0, , 
,28.58,832,57.0,-10.9,10111110,28.89,-10.5,1.48, , ,29.21,-3.1,0.0, , 
,29.51,832,57.0,-10.2,10111110,29.80,-10.2,1.45, , ,30.11,-3.1,0.0, , 
,30.40,832,57.0,-10.2,10111110,30.69,-10.2,1.45, , ,31.00,-3.1,0.0, , 
,31.30,800,57.0,-10.2,10111110,31.60,-10.2,1.45, , ,31.89,-3.9,0.0, , 
,32.18,800,57.0,-10.2,10111110,32.48,-10.2,1.45, , ,32.79,-3.9,0.0, , 
,33.10,768,57.0,-10.2,10111110,33.42,-11.3,1.48, , ,33.69,-3.1,0.0, , 
,34.02,1056,57.0,-12.1,10101010,34.37,-12.9,1.48, , ,34.71,-2.3,0.0, , 
,35.05,1344,57.0,0.0,10101010,35.40,0.0,1.21, , ,35.74,-1.6,0.0, , 
,36.06,960,57.0,0.0,10101010,36.38,0.0,1.52, , ,36.70,-1.6,0.0, , 
,37.01,1120,57.0,-2.3,10101010,37.29,-3.9,1.29, , ,37.60,-2.3,0.0, , 
,37.91,864,57.0,0.0,10111110,38.23,0.0,1.33, , ,38.53,-3.1,0.0, , 
,38.83,896,58.5,-1.2,10111110,39.13,-2.7,1.25, , ,39.44,-3.1,0.0, , 
,39.73,896,58.5,-3.9,10111110,40.04,-4.3,1.37, , ,40.37,-3.1,0.0, , 
,40.67,896,58.5,-5.9,10111110,40.96,-6.6,1.33, , ,41.28,-3.9,0.0, , 
,41.56,800,58.5,-8.2,10111110,41.85,-9.0,1.33, , ,42.17,-3.1,0.0, , 
,42.52,1120,58.5,0.0,10101010,42.88,0.0,0.98, , ,43.21,-2.3,0.0, , 
,43.50,704,58.5,0.0,10101010,43.77,0.0,1.45, , ,44.06,-2.3,0.0, , 
,44.36,864,58.5,0.0,10111110,44.67,0.0,1.09, , ,44.96,-3.1,0.0, , 
,45.27,896,58.5,0.0,10111110,45.58,-0.8,1.33, , ,45.90,-3.1,0.0, , 
,46.24,896,58.5,-2.0,10111110,46.54,-2.7,1.29, , ,46.84,-3.1,0.0, , 
,47.13,896,58.5,-5.1,10111110,47.44,-6.6,1.21, , ,47.76,-3.9,0.0, , 
,48.05,768,58.5,-9.8,10111110,48.37,-11.3,1.21, , ,48.65,-3.1,0.0, , 
,48.96,832,58.5,-12.9,10111110,49.26,-13.3,1.41, , ,49.56,-3.9,0.0, , 
,49.85,800,58.5,-12.9,10111110,50.14,-12.9,1.48, , ,50.46,-3.1,0.0, , 
,50.76,800,58.5,-12.1,10111110,51.06,-12.1,1.48, , ,51.35,-3.1,0.0, , 
,51.66,832,58.5,-11.7,10111110,51.98,-11.3,1.48, , ,52.29,-3.1,0.0, , 
,52.60,832,58.5,-10.2,10111110,52.91,-9.8,1.52, , ,53.23,-3.1,0.0, , 
