
Środa,19,Sierpień,2026,16:34:43:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:, Zatrzymany
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,,,,
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU,,,,
,0.29,800,84.0,-6.3,10111111,0.01,800,26.7,3.09,397.8,,,,,
,0.89,800,84.0,-6.6,10111111,0.60,800,26.7,3.09,397.8,,,,,
,1.51,800,84.0,-7.0,10111111,1.20,800,26.7,3.09,397.8,,,,,
,2.13,800,84.0,-7.4,10111111,1.83,800,26.7,3.09,397.8,,,,,
,2.72,768,84.0,-7.8,10111111,2.42,800,26.7,3.09,397.8,,,,,
,3.32,800,84.0,-7.8,10111111,3.02,800,26.7,3.09,397.8,,,,,
,3.91,800,84.0,-7.8,10111111,3.61,800,26.7,3.09,397.8,,,,,
,4.53,736,84.0,-8.2,10111111,4.22,768,28.2,3.09,397.8,,,,,
,5.13,768,84.0,-7.4,10111111,4.84,768,31.0,3.09,438.6,,,,,
,5.72,768,84.0,-6.6,10111111,5.42,768,31.0,3.09,438.6,,,,,
,6.32,800,84.0,-6.3,10111111,6.03,800,31.0,3.09,438.6,,,,,
,6.93,768,85.5,-7.4,10111111,6.62,800,28.2,3.09,418.2,,,,,
,7.53,640,85.5,-9.0,10101011,7.23,704,29.4,3.09,418.2,,,,,
,8.11,704,85.5,-5.9,10101011,7.82,704,38.4,4.12,520.2,,,,,
,8.68,736,85.5,-5.5,10101011,8.39,672,38.4,4.12,499.8,,,,,
,9.29,864,85.5,-8.6,10101011,8.98,800,34.1,4.12,479.4,,,,,
,9.89,768,85.5,-12.1,10101011,9.61,800,29.4,3.09,418.2,,,,,
,10.46,704,85.5,-11.3,10101011,10.18,736,32.5,3.09,459.0,,,,,
,11.03,768,85.5,-8.2,10101011,10.73,704,40.0,4.12,520.2,,,,,
,11.64,1088,85.5,-10.2,10101011,11.33,992,35.3,4.12,479.4,,,,,
,12.27,768,85.5,-11.3,10101011,11.97,960,28.2,3.09,397.8,,,,,
,12.87,960,85.5,0.0,10101011,12.57,704,44.3,6.18,571.2,,,,,
,13.49,1216,85.5,0.0,10101011,13.18,1152,34.1,4.12,459.0,,,,,
,14.14,1056,85.5,-4.7,10101011,13.82,1152,31.0,4.12,418.2,,,,,
,14.78,864,85.5,-4.7,10101011,14.47,960,32.5,4.12,438.6,,,,,
,15.43,736,85.5,-4.7,10111111,15.10,768,34.1,4.12,459.0,,,,,
,16.02,800,85.5,-7.0,10111111,15.72,736,31.0,4.12,438.6,,,,,
,16.61,768,85.5,-10.5,10111111,16.32,800,29.4,3.09,418.2,,,,,
,17.21,672,85.5,-11.7,10111111,16.90,736,31.0,3.09,438.6,,,,,
,17.80,768,85.5,0.4,10111111,17.50,608,40.0,5.15,520.2,,,,,
,18.39,800,85.5,-1.2,10111111,18.10,800,32.5,4.12,459.0,,,,,
,18.97,768,85.5,-4.7,10111111,18.70,768,29.4,3.09,418.2,,,,,
,19.56,736,85.5,-6.6,10111111,19.26,672,34.1,4.12,459.0,,,,,
,20.13,800,85.5,-6.6,10111111,19.85,832,34.1,4.12,479.4,,,,,
,20.73,800,85.5,-6.6,10101011,20.43,800,31.0,3.09,438.6,,,,,
,21.31,640,85.5,-6.6,10101011,21.03,704,32.5,4.12,459.0,,,,,
,21.94,864,85.5,-4.7,10101011,21.59,704,40.0,4.12,520.2,,,,,
,22.58,1024,85.5,-10.9,10101011,22.25,1024,28.2,3.09,397.8,,,,,
,23.16,960,85.5,0.0,10101011,22.84,992,28.2,3.09,397.8,,,,,
,23.78,1344,85.5,0.0,10101011,23.49,1056,50.2,7.21,612.0,,,,,
,24.46,1408,85.5,0.0,10101011,24.09,1504,34.1,4.12,438.6,,,,,
,25.08,928,85.5,-7.0,10101011,24.79,1152,25.1,3.09,357.0,,,,,
,25.62,608,85.5,0.0,10110111,25.35,640,34.1,3.09,459.0,,,,,
,26.21,928,85.5,0.0,10111111,25.90,800,41.2,6.18,550.8,,,,,
,26.82,896,85.5,-1.6,10111111,26.52,896,28.2,3.09,397.8,,,,,
,27.44,896,85.5,-5.1,10111111,27.13,896,28.2,3.09,397.8,,,,,
,28.01,768,85.5,-7.0,10111111,27.72,832,25.1,3.09,377.4,,,,,
,28.59,768,85.5,-9.0,10111111,28.29,768,26.7,3.09,397.8,,,,,
,29.17,768,85.5,-10.2,10111111,28.88,800,28.2,3.09,418.2,,,,,
,29.76,768,87.0,-9.8,10111111,29.46,768,28.2,3.09,418.2,,,,,
,30.37,800,87.0,-9.0,10101011,30.08,800,29.4,3.09,418.2,,,,,
,30.95,768,87.0,-8.6,10101011,30.64,736,34.1,4.12,459.0,,,,,
,31.55,1024,87.0,-7.8,10101011,31.23,960,36.9,4.12,499.8,,,,,
,32.17,800,87.0,-8.2,10101011,31.86,960,32.5,4.12,438.6,,,,,
,32.79,672,87.0,0.0,10111111,32.47,672,42.7,5.15,520.2,,,,,
,33.40,896,87.0,0.0,10111111,33.09,864,40.0,5.15,550.8,,,,,
,34.02,896,87.0,-2.0,10111111,33.71,896,26.7,3.09,397.8,,,,,
,34.66,896,87.0,-5.5,10111111,34.34,864,28.2,3.09,397.8,,,,,
,35.27,768,87.0,-7.4,10111111,34.95,832,25.1,3.09,377.4,,,,,
,35.85,768,87.0,-9.0,10111111,35.57,736,28.2,3.09,418.2,,,,,
,36.46,768,87.0,-9.4,10111111,36.16,768,29.4,3.09,438.6,,,,,
,37.06,800,87.0,-9.8,10101011,36.76,800,29.4,3.09,438.6,,,,,
,37.67,928,87.0,0.0,10101011,37.38,768,36.9,4.12,479.4,,,,,
,38.29,1248,87.0,0.0,10101011,37.99,1312,41.2,5.15,520.2,,,,,
,38.89,960,87.0,-2.7,10101011,38.60,1120,42.7,5.15,550.8,,,,,
,39.48,896,87.0,-2.3,10101011,39.16,928,35.3,4.12,479.4,,,,,
,40.14,1312,87.0,0.0,10101011,39.82,1120,59.2,9.27,693.6,,,,,
,40.75,1600,87.0,0.0,10101011,40.41,1440,51.8,7.21,632.4,,,,,
,41.46,1888,87.0,0.0,10111111,41.11,1792,59.2,8.24,693.6,,,,,
,42.10,960,87.0,0.0,10101011,41.76,1344,0.0,0.00,397.8,,,,,
,42.72,1088,87.0,0.0,10101011,42.41,1088,35.3,5.15,438.6,,,,,
,43.36,1248,87.0,0.0,10101011,43.04,1152,71.0,11.33,826.2,,,,,
,44.08,1440,87.0,-6.6,10101011,43.71,1344,65.1,10.30,775.2,,,,,
,44.75,1600,87.0,0.0,10101011,44.41,1536,60.4,8.24,714.0,,,,,
,45.46,1632,87.0,-3.1,10101011,45.10,1600,36.9,5.15,459.0,,,,,
,46.18,1696,87.0,-4.3,10101011,45.79,1664,35.3,4.12,459.0,,,,,
,46.91,1760,87.0,-5.5,10101011,46.56,1728,35.3,4.12,438.6,,,,,
,47.67,1824,87.0,-4.7,10101011,47.30,1760,40.0,5.15,479.4,,,,,
,48.39,1920,87.0,-3.5,10101011,48.03,1856,42.7,5.15,520.2,,,,,
,49.09,2016,87.0,-1.6,10101001,48.75,1984,42.7,5.15,520.2,,,,,
,49.80,2112,87.0,-0.8,10101001,49.46,2080,42.7,5.15,520.2,,,,,
,50.48,2272,87.0,-3.1,10101001,50.14,2208,56.1,8.24,632.4,,,,,
,51.17,2400,87.0,-4.7,10101001,50.82,2336,59.2,8.24,673.2,,,,,
,51.84,2624,87.0,-7.8,10101001,51.52,2528,65.1,8.24,714.0,,,,,
,52.55,2624,87.0,0.0,10111101,52.20,2720,73.7,10.30,795.6,,,,,
,53.23,1600,87.0,0.0,10101011,52.90,2112,0.0,0.00,316.2,,,,,
,53.95,1824,87.0,0.0,10101011,53.60,1824,20.8,3.09,295.8,,,,,
,54.70,1824,87.0,-5.1,10101011,54.32,1856,34.1,5.15,418.2,,,,,
,55.44,1824,87.0,-3.1,10101011,55.07,1824,41.2,5.15,499.8,,,,,
,56.19,1888,87.0,-2.3,10101011,55.81,1856,41.2,5.15,499.8,,,,,
,56.93,1888,87.0,-3.5,10101011,56.56,1888,38.4,5.15,479.4,,,,,
,57.67,1888,87.0,-5.5,10101011,57.29,1888,36.9,4.12,459.0,,,,,
,58.30,1280,87.0,0.0,10111111,57.98,1728,0.0,0.00,357.0,,,,,
,58.95,1088,88.5,0.0,10111111,58.62,1056,26.7,4.12,377.4,,,,,
,59.64,992,88.5,0.0,10111111,59.28,1088,23.5,3.09,357.0,,,,,
,60.21,864,87.0,0.0,10111111,59.93,928,23.5,3.09,336.6,,,,,
,60.79,864,87.0,0.0,10111111,60.50,864,25.1,3.09,377.4,,,,,
,61.41,896,87.0,-3.1,10111111,61.11,864,25.1,3.09,377.4,,,,,
,62.01,896,87.0,-6.6,10111111,61.71,896,26.7,3.09,377.4,,,,,
,62.63,864,87.0,-8.2,10111111,62.32,864,26.7,3.09,377.4,,,,,
,63.21,896,88.5,-8.6,10111111,62.92,864,26.7,3.09,377.4,,,,,
,63.85,1056,88.5,-9.0,10101011,63.52,1024,25.1,3.09,357.0,,,,,
,64.44,960,88.5,0.0,10101011,64.14,1024,35.3,5.15,459.0,,,,,
,65.04,1120,88.5,0.0,10101011,64.73,992,63.5,10.30,734.4,,,,,
,65.71,1248,88.5,0.0,10101011,65.39,1120,78.4,12.36,907.8,,,,,
,66.34,1440,88.5,0.0,10101011,66.04,1312,81.2,13.39,948.6,,,,,
,67.08,1696,88.5,-7.8,10101011,66.72,1568,82.7,13.39,948.6,,,,,
,67.80,1984,88.5,-12.5,10101011,67.45,1824,84.3,12.36,948.6,,,,,
,68.49,2208,88.5,-15.2,10101001,68.15,2112,73.7,9.27,826.2,,,,,
,69.20,2432,88.5,-15.6,10101001,68.85,2336,71.0,8.24,775.2,,,,,
,69.87,2656,88.5,-15.6,10101001,69.55,2528,75.3,9.27,826.2,,,,,
,70.53,2752,88.5,0.0,11111101,70.19,2784,75.3,9.27,826.2,,,,,
,71.20,1792,88.5,0.0,11111111,70.87,2304,0.0,0.00,295.8,,,,,
,71.88,1856,88.5,0.0,11101011,71.54,1472,23.5,3.09,336.6,,,,,
,72.61,1856,88.5,0.0,11101011,72.23,1824,17.6,2.06,275.4,,,,,
,73.37,1792,88.5,-7.8,11101011,72.99,1792,26.7,3.09,357.0,,,,,
,74.10,1792,88.5,-9.0,11101011,73.72,1792,29.4,3.09,377.4,,,,,
,74.83,1792,88.5,-9.0,11101011,74.48,1792,31.0,3.09,397.8,,,,,
,75.54,1792,88.5,-7.4,11101011,75.18,1792,35.3,4.12,459.0,,,,,
,76.25,1856,88.5,-4.7,11101011,75.91,1824,48.6,6.18,591.6,,,,,
,77.00,1888,87.0,-2.0,11101011,76.62,1856,47.1,6.18,571.2,,,,,
,77.75,1920,88.5,0.0,11101011,77.37,1888,45.9,6.18,550.8,,,,,
,78.48,1952,88.5,0.8,11101011,78.11,1952,44.3,6.18,520.2,,,,,
,79.20,1984,88.5,-0.4,11101011,78.84,1952,41.2,5.15,499.8,,,,,
,79.92,2016,88.5,-3.5,11101001,79.56,1984,38.4,5.15,479.4,,,,,
,80.63,2016,88.5,-7.8,11101001,80.28,2016,26.7,3.09,357.0,,,,,
,81.35,1984,88.5,-9.4,11101001,80.99,2016,23.5,3.09,316.2,,,,,
,82.04,1984,87.0,-10.9,11101001,81.69,2016,23.5,3.09,316.2,,,,,
,82.78,1984,87.0,-11.7,11101001,82.42,1984,23.5,3.09,316.2,,,,,
,83.51,1984,87.0,-12.1,11101001,83.14,1984,23.5,3.09,316.2,,,,,
,84.21,1984,87.0,-8.6,11101011,83.86,1984,23.5,3.09,336.6,,,,,
,84.93,1952,87.0,1.6,11101011,84.56,1952,19.2,2.06,295.8,,,,,
,85.65,1888,87.0,-2.0,10101011,85.29,1920,16.1,2.06,244.8,,,,,
,86.41,1888,87.0,-0.4,10101011,86.04,1888,17.6,2.06,275.4,,,,,
,87.14,1792,87.0,-1.6,10101011,86.80,1856,25.1,3.09,336.6,,,,,
,87.84,1792,88.5,-2.3,10101011,87.52,1792,25.1,3.09,357.0,,,,,
,88.55,1792,88.5,-2.7,10101011,88.20,1792,26.7,3.09,357.0,,,,,
,89.28,1760,87.0,-2.7,10101011,88.91,1760,26.7,3.09,357.0,,,,,
,89.99,1760,87.0,-2.3,10101011,89.63,1760,28.2,3.09,377.4,,,,,
,90.74,1728,87.0,-0.4,10101011,90.37,1728,29.4,4.12,397.8,,,,,
,91.44,1760,87.0,0.8,10101011,91.10,1760,34.1,4.12,418.2,,,,,
,92.15,1760,87.0,2.3,10101011,91.78,1760,32.5,4.12,418.2,,,,,
,92.87,1760,87.0,3.9,10101011,92.53,1760,35.3,4.12,438.6,,,,,
,93.64,1760,87.0,3.9,10101011,93.25,1760,34.1,4.12,438.6,,,,,
,94.34,1792,87.0,3.5,10101011,93.99,1792,34.1,4.12,438.6,,,,,
,95.12,1792,87.0,2.7,10101011,94.72,1792,34.1,4.12,418.2,,,,,
,95.86,1824,87.0,1.6,10101011,95.48,1792,32.5,4.12,418.2,,,,,
,96.61,1824,87.0,1.2,10101011,96.25,1824,32.5,4.12,418.2,,,,,
,97.35,1792,88.5,-0.4,10101011,96.99,1792,31.0,4.12,397.8,,,,,
,98.06,1792,87.0,-8.2,10101011,97.72,1792,28.2,3.09,377.4,,,,,
,98.81,1792,87.0,-7.4,10101011,98.44,1792,31.0,4.12,397.8,,,,,
,99.56,1792,87.0,-4.3,10101011,99.20,1792,44.3,6.18,520.2,,,,,
,100.31,1856,87.0,-2.7,10101011,99.94,1824,44.3,6.18,550.8,,,,,
,101.04,1824,87.0,-7.0,10101011,100.68,1856,29.4,4.12,397.8,,,,,
,101.76,1792,87.0,-9.4,10101011,101.41,1824,23.5,3.09,336.6,,,,,
,102.44,1792,87.0,-5.9,10101011,102.11,1760,20.8,2.06,295.8,,,,,
,103.11,1760,87.0,-8.2,10101011,102.76,1792,26.7,3.09,357.0,,,,,
,103.80,1760,87.0,-5.9,10101011,103.43,1760,34.1,4.12,438.6,,,,,
,104.54,1792,87.0,-2.7,10101011,104.14,1792,41.2,5.15,499.8,,,,,
,105.20,1792,87.0,-1.6,10101011,104.85,1792,41.2,5.15,499.8,,,,,
,105.97,1792,87.0,-1.6,10101011,105.58,1824,40.0,5.15,499.8,,,,,
,106.72,1824,87.0,-1.2,10101011,106.36,1824,40.0,5.15,479.4,,,,,
,107.48,1824,87.0,0.0,10101011,107.11,1824,42.7,6.18,520.2,,,,,
,108.21,1856,87.0,0.4,10101011,107.85,1856,41.2,6.18,499.8,,,,,
,108.95,1856,87.0,-0.8,10101011,108.58,1856,41.2,6.18,499.8,,,,,
,109.70,1856,87.0,-3.5,10101011,109.33,1856,32.5,4.12,418.2,,,,,
,110.42,1856,87.0,-5.1,10101011,110.05,1856,32.5,4.12,418.2,,,,,
,111.17,1824,87.0,-3.9,10101011,110.79,1856,38.4,5.15,459.0,,,,,
,111.92,1856,85.5,-2.3,10101011,111.55,1824,42.7,6.18,520.2,,,,,
,112.65,1856,85.5,-1.6,10101011,112.29,1856,41.2,5.15,499.8,,,,,
,113.42,1856,87.0,-1.2,10101011,113.03,1856,41.2,6.18,499.8,,,,,
,114.16,1824,87.0,-5.1,10101011,113.80,1856,29.4,4.12,377.4,,,,,
,114.91,1824,87.0,-7.0,10101011,114.55,1824,28.2,3.09,377.4,,,,,
,115.64,1824,87.0,-8.2,10101011,115.28,1824,28.2,3.09,377.4,,,,,
,116.39,1792,87.0,-9.0,10101011,116.01,1792,28.2,3.09,377.4,,,,,
,117.12,1792,85.5,-9.4,10101011,116.75,1792,29.4,3.09,377.4,,,,,
,117.83,1792,87.0,-9.8,10101011,117.46,1792,29.4,3.09,397.8,,,,,
,118.54,1792,87.0,-9.4,10111111,118.17,1792,23.5,2.06,336.6,,,,,
,119.29,1728,87.0,-9.0,10111111,118.91,1728,20.8,2.06,316.2,,,,,
,120.00,1728,87.0,0.0,10111111,119.64,1760,0.0,0.00,316.2,,,,,
,120.68,1696,87.0,0.0,10111111,120.35,1696,0.0,0.00,316.2,,,,,
,121.38,1632,87.0,0.0,10111111,121.04,1664,0.0,0.00,316.2,,,,,
,122.10,1600,87.0,0.0,10101011,121.72,1600,0.0,0.00,316.2,,,,,
,122.78,1600,87.0,0.0,10101011,122.44,1568,20.8,3.09,295.8,,,,,
,123.51,1600,87.0,0.0,10101011,123.12,1600,31.0,4.12,397.8,,,,,
,124.24,1632,87.0,-1.2,10101011,123.88,1632,35.3,4.12,438.6,,,,,
,124.93,1664,87.0,-0.4,10101011,124.60,1632,38.4,5.15,479.4,,,,,
,125.64,1696,87.0,0.8,10101011,125.30,1664,45.9,6.18,571.2,,,,,
,126.37,1760,87.0,0.8,10101011,126.00,1760,42.7,6.18,520.2,,,,,
,127.09,1760,87.0,-1.2,10101011,126.75,1760,22.0,3.09,316.2,,,,,
,127.82,1760,85.5,-6.3,10101011,127.46,1760,20.8,2.06,295.8,,,,,
,128.54,1728,85.5,-9.4,10111111,128.19,1760,20.8,2.06,295.8,,,,,
,129.25,1728,85.5,-7.4,10111111,128.89,1728,22.0,2.06,316.2,,,,,
,129.92,1664,85.5,0.0,10111111,129.58,1696,0.0,0.00,316.2,,,,,
,130.63,1632,85.5,0.0,10111111,130.26,1664,0.0,0.00,316.2,,,,,
,131.27,1568,85.5,0.0,10111111,130.96,1600,0.0,0.00,316.2,,,,,
,131.91,928,85.5,0.0,10111111,131.59,1312,0.0,0.00,336.6,,,,,
,132.50,1024,85.5,0.0,10111111,132.21,1024,28.2,4.12,397.8,,,,,
,133.12,960,85.5,0.0,10111111,132.80,992,23.5,3.09,357.0,,,,,
,133.72,896,85.5,0.0,10111111,133.43,928,23.5,3.09,357.0,,,,,
,134.34,864,85.5,-0.8,10111111,134.04,896,25.1,3.09,377.4,,,,,
,135.00,992,85.5,-3.1,10101011,134.66,896,26.7,3.09,377.4,,,,,
,135.65,1408,85.5,-3.1,10101011,135.30,1536,25.1,3.09,357.0,,,,,
,136.29,1504,85.5,-3.9,10101011,135.92,1408,35.3,5.15,459.0,,,,,
,136.98,1600,85.5,-1.6,10101011,136.63,1568,40.0,5.15,499.8,,,,,
,137.73,1728,85.5,0.4,10101011,137.36,1632,47.1,6.18,571.2,,,,,
,138.47,1824,85.5,0.0,10101011,138.10,1760,34.1,4.12,438.6,,,,,
,139.22,1856,85.5,-4.3,10101011,138.84,1856,25.1,3.09,336.6,,,,,
,139.94,1920,85.5,-6.6,10101011,139.58,1888,31.0,4.12,397.8,,,,,
,140.66,1984,85.5,-7.8,10101001,140.32,1984,34.1,4.12,438.6,,,,,
,141.36,2048,85.5,-9.4,10101001,141.01,2048,29.4,3.09,377.4,,,,,
,142.06,2080,87.0,-10.2,10101001,141.70,2080,32.5,4.12,418.2,,,,,
,142.76,2112,85.5,-10.9,10101001,142.40,2112,29.4,4.12,377.4,,,,,
,143.46,2144,85.5,-9.8,10101001,143.13,2144,32.5,4.12,397.8,,,,,
,144.13,2240,85.5,-5.9,10101001,143.80,2176,50.2,6.18,571.2,,,,,
,144.82,2400,85.5,-7.4,10101001,144.47,2304,63.5,9.27,714.0,,,,,
,145.50,2656,85.5,-8.6,11101001,145.16,2528,76.9,11.33,826.2,,,,,
,146.14,2944,85.5,-9.8,11101001,145.87,2784,84.3,12.36,907.8,,,,,
,146.88,3008,85.5,0.0,11111101,146.48,3072,84.3,12.36,907.8,,,,,
,147.55,1984,85.5,0.0,11111111,147.20,2464,0.0,0.00,295.8,,,,,
,148.24,1984,85.5,0.0,11111101,147.89,2080,0.0,0.00,244.8,,,,,
,148.91,992,85.5,0.0,11111111,148.54,1504,0.0,0.00,295.8,,,,,
,149.53,1024,85.5,0.0,11111111,149.21,1024,28.2,4.12,397.8,,,,,
,150.11,928,85.5,0.0,11111111,149.80,992,23.5,3.09,357.0,,,,,
,150.73,896,85.5,0.0,11111111,150.41,896,25.1,3.09,377.4,,,,,
,151.36,992,85.5,-3.1,11101011,151.04,960,25.1,3.09,377.4,,,,,
,152.01,1472,85.5,-3.5,11101011,151.66,1344,26.7,3.09,357.0,,,,,
,152.77,1504,85.5,-2.7,11101011,152.43,1440,28.2,3.09,377.4,,,,,
,153.49,1568,85.5,-3.1,11101011,153.13,1536,34.1,4.12,438.6,,,,,
,154.15,1664,85.5,-2.0,11101011,153.83,1632,44.3,6.18,550.8,,,,,
,154.93,1824,85.5,0.0,11101011,154.56,1760,51.8,7.21,612.0,,,,,
,155.65,1952,85.5,3.5,11101011,155.29,1888,48.6,7.21,571.2,,,,,
,156.34,2080,85.5,4.3,11101001,156.00,2016,45.9,6.18,550.8,,,,,
,157.03,2176,85.5,2.0,11101001,156.69,2144,41.2,6.18,499.8,,,,,
,157.71,2240,85.5,-1.2,11101001,157.37,2208,40.0,5.15,479.4,,,,,
,158.38,2272,85.5,-8.2,11101001,158.04,2272,25.1,3.09,336.6,,,,,
,159.07,2272,87.0,-12.1,11101001,158.73,2272,23.5,3.09,316.2,,,,,
,159.76,2336,85.5,-9.4,11101001,159.42,2272,36.9,4.12,438.6,,,,,
,160.46,2400,85.5,-7.0,11101001,160.10,2368,38.4,5.15,459.0,,,,,
,161.16,2496,85.5,-3.9,11101001,160.80,2464,45.9,6.18,520.2,,,,,
,161.81,2592,85.5,0.0,11111101,161.49,2560,44.3,6.18,499.8,,,,,
,162.44,1728,85.5,0.0,11111111,162.14,2240,0.0,0.00,295.8,,,,,
,163.07,992,85.5,0.0,11111111,162.76,1312,0.0,0.00,336.6,,,,,
,163.67,1056,85.5,0.0,11111111,163.37,1056,26.7,4.12,377.4,,,,,
,164.26,1024,85.5,0.0,11111111,163.97,1024,23.5,3.09,336.6,,,,,
,164.97,1184,85.5,0.0,11101011,164.59,992,22.0,3.09,336.6,,,,,
,165.70,1856,85.5,-0.4,11101011,165.34,1984,20.8,2.06,295.8,,,,,
,166.38,2144,85.5,0.0,11101001,166.05,1952,53.3,8.24,612.0,,,,,
,167.06,2304,85.5,-0.8,11101001,166.72,2144,57.6,8.24,652.8,,,,,
,167.74,2496,85.5,-3.9,11101001,167.39,2368,62.0,8.24,693.6,,,,,
,168.39,2752,85.5,-6.3,11101001,168.07,2624,78.4,11.33,846.6,,,,,
,168.99,3008,85.5,0.0,11111101,168.69,2912,79.6,11.33,867.0,,,,,
,169.67,1952,85.5,0.0,11101011,169.32,2464,0.0,0.00,295.8,,,,,
,170.36,2048,85.5,0.0,11101001,170.02,2016,28.2,4.12,357.0,,,,,
,171.04,2112,85.5,0.0,11101001,170.71,2080,67.8,10.30,775.2,,,,,
,171.73,2208,87.0,0.0,11101001,171.41,2144,79.6,13.39,887.4,,,,,
,172.39,2304,87.0,-7.4,11101001,172.06,2272,85.5,14.42,948.6,,,,,
,173.08,2464,87.0,-12.1,11101001,172.73,2400,87.1,12.36,948.6,,,,,
,173.76,2560,87.0,-12.9,11101001,173.41,2528,87.1,12.36,948.6,,,,,
,174.46,2688,87.0,-14.1,11101001,174.10,2624,87.1,12.36,948.6,,,,,
,175.12,2816,87.0,0.0,11101001,174.79,2752,87.1,12.36,948.6,,,,,
,175.81,1984,87.0,0.0,11101001,175.46,2464,0.0,0.00,295.8,,,,,
,176.50,2016,87.0,0.0,11101001,176.15,2048,25.1,3.09,336.6,,,,,
,177.18,2048,87.0,0.0,11101001,176.85,2048,63.5,9.27,714.0,,,,,
,177.86,2080,87.0,0.0,11101001,177.51,2080,40.0,5.15,499.8,,,,,
,178.55,2080,87.0,-4.3,11101001,178.21,2080,59.2,8.24,673.2,,,,,
,179.24,2144,87.0,0.0,11101001,178.89,2112,75.3,11.33,846.6,,,,,
,179.89,2144,87.0,0.0,11101001,179.57,2144,63.5,9.27,714.0,,,,,
,180.58,2176,87.0,0.0,11101001,180.23,2176,73.7,11.33,826.2,,,,,
,181.27,2208,87.0,0.0,11101001,180.92,2176,82.7,13.39,907.8,,,,,
,181.93,2240,87.0,-9.8,11101001,181.59,2240,87.1,13.39,948.6,,,,,
,182.60,2272,87.0,-14.1,11101001,182.27,2272,87.1,12.36,948.6,,,,,
,183.24,2304,87.0,-15.6,11101001,182.92,2304,87.1,12.36,948.6,,,,,
,183.90,2368,87.0,-16.4,11101001,183.57,2336,90.2,12.36,969.0,,,,,
,184.58,2400,87.0,-16.4,11101001,184.23,2368,90.2,12.36,969.0,,,,,
,185.25,2432,87.0,-16.8,11101001,184.92,2400,87.1,11.33,948.6,,,,,
