Środa,19,Sierpień,2026,06:32:24:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'004,,,,Grupa C:,'012
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Napięcie,Temperatura,Temperatura,,Obroty silnika,Obciążenie,(bez jednostek),(bez jednostek)
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, V,*C,*C,ZAPISU, /min, %,,
,0.01,0,18.0,0.0,10110110,0.27,0,12.02,18.0,18.0,0.54,0,0.0,0.0,0.0
,0.80,0,18.0,0.0,10110110,1.06,0,12.02,18.0,18.0,1.33,0,0.0,0.0,0.0
,1.60,0,18.0,0.0,10110110,1.86,0,12.02,18.0,18.0,2.13,0,0.0,0.0,0.0
,2.39,0,18.0,0.0,10110110,2.66,0,12.02,18.0,18.0,2.92,0,0.0,0.0,0.0
,3.19,0,18.0,0.0,10110110,3.46,0,12.02,18.0,18.0,3.72,0,0.0,0.0,0.0
,3.99,0,18.0,0.0,10110110,4.26,0,12.02,18.0,18.0,4.52,0,0.0,0.0,0.0
,4.79,0,18.0,0.0,10110110,5.06,0,12.02,18.0,18.0,5.33,0,0.0,0.0,0.0
,5.60,0,18.0,0.0,10110110,5.87,0,12.02,18.0,18.0,6.14,0,0.0,0.0,0.0
,6.41,0,18.0,0.0,10110110,6.67,0,12.02,18.0,18.0,6.94,0,0.0,0.0,0.0
,7.21,0,18.0,0.0,10110110,7.47,0,12.02,18.0,18.0,7.74,0,0.0,0.0,0.0
,8.00,0,18.0,0.0,10110110,8.27,0,12.02,18.0,18.0,8.54,0,0.0,0.0,0.0
,8.81,0,18.0,0.0,10110110,9.08,0,12.02,18.0,18.0,9.35,0,0.0,0.0,0.0
,9.62,0,18.0,0.0,10110110,9.90,0,12.02,18.0,18.0,10.17,0,0.0,0.0,0.0
,10.44,0,18.0,0.0,10110110,10.71,0,12.02,18.0,18.0,10.97,0,0.0,0.0,0.0
,11.24,0,18.0,0.0,10110110,11.51,0,9.09,18.0,18.0,11.77,192,98.8,0.0,0.0
,12.05,192,18.0,0.0,10110110,12.32,192,9.29,18.0,18.0,12.59,192,100.0,28.0,86.0
,12.90,768,18.0,0.0,10110110,13.23,1216,14.04,18.0,16.5,13.56,1152,56.1,28.0,86.0
,13.88,1248,18.0,0.0,10110110,14.21,1024,14.04,18.0,16.5,14.52,1024,48.6,28.0,86.0
