Poniedziałek,10,Sierpień,2026,18:33:17:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'014,,,,Grupa B:,'015,,,,Grupa C:,'016
,,Obroty silnika,Obciążenie,Zliczanie, ,,Zliczanie,Zliczanie,Zliczanie, ,,Zliczanie, , , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min, %,,,ZAPISU,,,,,ZAPISU,,,,
,0.01,0,0.0,0,nieaktywna,0.27,0,0,0,nieaktywna,0.54,0, , ,nieaktywna
,0.80,0,0.0,0,nieaktywna,1.07,0,0,0,nieaktywna,1.34,0, , ,nieaktywna
,1.61,0,0.0,0,nieaktywna,1.89,0,0,0,nieaktywna,2.16,0, , ,nieaktywna
,2.43,0,0.0,0,nieaktywna,2.70,0,0,0,nieaktywna,2.96,0, , ,nieaktywna
,3.23,0,0.0,0,nieaktywna,3.49,0,0,0,nieaktywna,3.76,0, , ,nieaktywna
,4.03,0,0.0,0,nieaktywna,4.29,0,0,0,nieaktywna,4.56,0, , ,nieaktywna
,4.82,0,0.0,0,nieaktywna,5.09,0,0,0,nieaktywna,5.35,0, , ,nieaktywna
,5.62,0,0.0,0,nieaktywna,5.89,0,0,0,nieaktywna,6.15,0, , ,nieaktywna
,6.42,0,0.0,0,nieaktywna,6.69,0,0,0,nieaktywna,6.96,0, , ,nieaktywna
,7.23,0,0.0,0,nieaktywna,7.49,0,0,0,nieaktywna,7.76,0, , ,nieaktywna
,8.02,0,0.0,0,nieaktywna,8.29,0,0,0,nieaktywna,8.55,0, , ,nieaktywna
,8.82,0,0.0,0,nieaktywna,9.09,0,0,0,nieaktywna,9.35,0, , ,nieaktywna
,9.62,0,0.0,0,nieaktywna,9.88,0,0,0,nieaktywna,10.15,0, , ,nieaktywna
,10.41,0,0.0,0,nieaktywna,10.68,0,0,0,nieaktywna,10.95,0, , ,nieaktywna
,11.22,0,0.0,0,nieaktywna,11.50,0,0,0,nieaktywna,11.77,0, , ,nieaktywna
,12.04,0,0.0,0,nieaktywna,12.31,0,0,0,nieaktywna,12.57,0, , ,nieaktywna
,12.84,0,0.0,0,nieaktywna,13.11,0,0,0,nieaktywna,13.38,0, , ,nieaktywna
,13.65,0,0.0,0,nieaktywna,13.92,0,0,0,nieaktywna,14.18,0, , ,nieaktywna
,14.45,0,0.0,0,nieaktywna,14.71,0,0,0,nieaktywna,14.98,0, , ,nieaktywna
,15.25,0,0.0,0,nieaktywna,15.53,0,0,0,nieaktywna,15.79,0, , ,nieaktywna
,16.05,0,0.0,0,nieaktywna,16.32,0,0,0,nieaktywna,16.59,0, , ,nieaktywna
,16.86,0,0.0,0,nieaktywna,17.14,0,0,0,nieaktywna,17.41,0, , ,nieaktywna
,17.68,0,0.0,0,nieaktywna,17.95,0,0,0,nieaktywna,18.21,0, , ,nieaktywna
,18.48,0,0.0,0,nieaktywna,18.75,0,0,0,nieaktywna,19.03,0, , ,nieaktywna
,19.29,0,0.0,0,nieaktywna,19.56,0,0,0,nieaktywna,19.82,0, , ,nieaktywna
,20.09,0,0.0,0,nieaktywna,20.35,0,0,0,nieaktywna,20.62,0, , ,nieaktywna
,20.89,0,0.0,0,nieaktywna,21.17,0,0,0,nieaktywna,21.43,0, , ,nieaktywna
,21.70,0,0.0,0,nieaktywna,21.96,0,0,0,nieaktywna,22.23,0, , ,nieaktywna
,22.49,0,0.0,0,nieaktywna,22.76,0,0,0,nieaktywna,23.02,0, , ,nieaktywna
,23.29,0,0.0,0,nieaktywna,23.56,0,0,0,nieaktywna,23.82,0, , ,nieaktywna
,24.09,0,0.0,0,nieaktywna,24.36,0,0,0,nieaktywna,24.64,0, , ,nieaktywna
,24.92,0,0.0,0,nieaktywna,25.18,0,0,0,nieaktywna,25.45,0, , ,nieaktywna
,25.71,0,0.0,0,nieaktywna,25.98,0,0,0,nieaktywna,26.24,0, , ,nieaktywna
,26.51,0,0.0,0,nieaktywna,26.77,0,0,0,nieaktywna,27.04,0, , ,nieaktywna
,27.31,0,0.0,0,nieaktywna,27.57,0,0,0,nieaktywna,27.84,0, , ,nieaktywna
,28.11,0,0.0,0,nieaktywna,28.39,0,0,0,nieaktywna,28.66,0, , ,nieaktywna
,28.94,0,0.0,0,nieaktywna,29.21,0,0,0,nieaktywna,29.48,0, , ,nieaktywna
,29.74,0,0.0,0,nieaktywna,30.01,0,0,0,nieaktywna,30.28,0, , ,nieaktywna
,30.55,0,0.0,0,nieaktywna,30.82,0,0,0,nieaktywna,31.09,0, , ,nieaktywna
,31.36,0,0.0,0,nieaktywna,31.64,0,0,0,nieaktywna,31.91,0, , ,nieaktywna
,32.18,0,0.0,0,nieaktywna,32.44,0,0,0,nieaktywna,32.71,0, , ,nieaktywna
,32.98,0,0.0,0,nieaktywna,33.24,0,0,0,nieaktywna,33.51,0, , ,nieaktywna
,33.78,0,0.0,0,nieaktywna,34.04,0,0,0,nieaktywna,34.30,0, , ,nieaktywna
,34.57,0,0.0,0,nieaktywna,34.84,0,0,0,nieaktywna,35.11,0, , ,nieaktywna
,35.39,0,0.0,0,nieaktywna,35.66,0,0,0,nieaktywna,35.93,0, , ,nieaktywna
,36.20,0,0.0,0,nieaktywna,36.46,0,0,0,nieaktywna,36.73,0, , ,nieaktywna
,36.99,0,0.0,0,nieaktywna,37.26,0,0,0,nieaktywna,37.52,0, , ,nieaktywna
,37.79,0,0.0,0,nieaktywna,38.05,0,0,0,nieaktywna,38.32,0, , ,nieaktywna
,38.59,0,0.0,0,nieaktywna,38.85,0,0,0,nieaktywna,39.12,0, , ,nieaktywna
,39.38,0,0.0,0,nieaktywna,39.65,0,0,0,nieaktywna,39.91,0, , ,nieaktywna
,40.18,0,0.0,0,nieaktywna,40.44,0,0,0,nieaktywna,40.71,0, , ,nieaktywna
,40.98,0,0.0,0,nieaktywna,41.24,0,0,0,nieaktywna,41.51,0, , ,nieaktywna
,41.77,0,0.0,0,nieaktywna,42.04,0,0,0,nieaktywna,42.30,0, , ,nieaktywna
,42.57,0,0.0,0,nieaktywna,42.84,0,0,0,nieaktywna,43.10,0, , ,nieaktywna
,43.37,0,0.0,0,nieaktywna,43.64,0,0,0,nieaktywna,43.92,0, , ,nieaktywna
,44.18,0,0.0,0,nieaktywna,44.45,0,0,0,nieaktywna,44.71,0, , ,nieaktywna
,44.98,0,0.0,0,nieaktywna,45.24,0,0,0,nieaktywna,45.51,0, , ,nieaktywna
,45.77,0,0.0,0,nieaktywna,46.04,0,0,0,nieaktywna,46.30,0, , ,nieaktywna
