Czwartek,20,Sierpień,2026,20:53:57:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.01,0,30.0,0.0,10110110,0.26,0,0.0,0.00,989.4,0.53,-100.0,0.0, , 
,0.79,0,30.0,0.0,10110110,1.06,0,0.0,0.00,989.4,1.33,-100.0,0.0, , 
,1.59,0,30.0,0.0,10110110,1.86,0,0.0,0.00,989.4,2.12,-100.0,0.0, , 
,2.39,0,30.0,0.0,10110110,2.66,0,0.0,0.00,989.4,2.94,-100.0,0.0, , 
,3.20,0,30.0,0.0,10110110,3.46,0,0.0,0.00,989.4,3.74,-100.0,0.0, , 
,4.02,0,30.0,0.0,10110110,4.30,0,0.0,0.00,989.4,4.58,-100.0,0.0, , 
,4.84,0,30.0,0.0,10110110,5.11,0,0.0,0.00,989.4,5.37,-100.0,0.0, , 
,5.64,0,30.0,0.0,10110110,5.90,0,0.0,0.00,989.4,6.17,-100.0,0.0, , 
,6.43,0,30.0,0.0,10110110,6.70,0,0.0,0.00,989.4,6.97,-100.0,0.0, , 
,7.23,0,30.0,0.0,10110110,7.50,0,0.0,0.00,989.4,7.77,-100.0,0.0, , 
,8.04,0,30.0,0.0,10110110,8.31,0,0.0,0.00,989.4,8.58,-100.0,0.0, , 
,8.84,0,30.0,0.0,10110110,9.11,0,0.0,0.00,989.4,9.37,-100.0,0.0, , 
,9.64,0,30.0,0.0,10110110,9.90,0,0.0,0.00,989.4,10.17,-100.0,0.0, , 
,10.43,0,30.0,0.0,10110110,10.71,0,0.0,0.00,989.4,10.98,-100.0,0.0, , 
,11.25,0,30.0,0.0,10110110,11.51,0,0.0,0.00,989.4,11.78,-100.0,0.0, , 
,12.04,0,30.0,0.0,10110110,12.31,0,0.0,0.00,989.4,12.57,-100.0,0.0, , 
,12.85,0,30.0,0.0,10110110,13.13,0,0.0,0.00,989.4,13.41,-100.0,0.0, , 
,13.69,0,30.0,0.0,10110110,13.95,0,0.0,0.00,989.4,14.22,-100.0,0.0, , 
,14.48,0,30.0,0.0,10110110,14.75,0,0.0,0.00,989.4,15.01,-100.0,0.0, , 
,15.28,0,30.0,0.0,10110110,15.54,0,0.0,0.00,989.4,15.81,-100.0,0.0, , 
,16.09,192,30.0,0.0,10110110,16.41,1216,72.2,17.51,775.2,16.75,-0.8,0.0, , 
,17.06,1184,30.0,0.0,10110110,17.37,1152,40.0,8.24,479.4,17.69,-0.8,0.0, , 
,18.00,1120,30.0,0.0,10110110,18.31,1120,38.4,7.21,459.0,18.65,-0.8,0.0, , 
,18.97,1152,30.0,0.0,10110110,19.28,1152,38.4,7.21,459.0,19.61,-0.8,0.0, , 
,19.92,1152,30.0,0.0,10110110,20.25,1120,38.4,7.21,459.0,20.56,-0.8,0.0, , 
,20.87,1120,30.0,0.0,10110110,21.19,1120,38.4,6.18,459.0,21.51,-0.8,0.0, , 
,21.85,1120,30.0,0.0,10110110,22.19,1120,36.9,6.18,459.0,22.50,-0.8,0.0, , 
,22.81,1120,30.0,0.0,10110110,23.13,1120,36.9,6.18,459.0,23.46,-0.8,0.0, , 
,23.78,1120,30.0,0.0,10110110,24.11,1088,36.9,6.18,438.6,24.41,-0.8,0.0, , 
,24.75,1088,30.0,0.0,10110110,25.06,1088,36.9,5.15,438.6,25.37,-0.8,0.0, , 
,25.72,1088,30.0,0.0,10110110,26.04,1088,36.9,5.15,438.6,26.36,-0.8,0.0, , 
,26.69,1088,30.0,0.0,10110110,27.01,1088,35.3,5.15,438.6,27.34,-0.8,0.0, , 
,27.67,1088,30.0,0.0,10110110,27.98,1088,35.3,5.15,438.6,28.29,-0.8,0.0, , 
,28.60,1088,30.0,0.0,10110110,28.92,1088,35.3,5.15,438.6,29.26,-0.8,0.0, , 
,29.60,1088,30.0,0.0,10110110,29.92,1088,35.3,5.15,438.6,30.23,-0.8,0.0, , 
,30.56,1056,30.0,0.0,10110110,30.85,1056,35.3,5.15,438.6,31.18,-0.8,0.0, , 
,31.51,1056,30.0,0.0,10110110,31.85,1056,36.9,5.15,438.6,32.18,-0.8,0.0, , 
,32.50,1056,30.0,0.0,10110110,32.81,1088,38.4,5.15,459.0,33.13,-0.8,0.0, , 
,33.47,1056,30.0,0.0,10110110,33.79,1056,41.2,5.15,479.4,34.11,-0.8,0.0, , 
,34.42,1056,31.5,0.0,10110110,34.74,1056,41.2,5.15,479.4,35.05,-0.8,0.0, , 
,35.36,1056,31.5,0.0,10110110,35.67,1056,44.3,6.18,499.8,36.00,-0.8,0.0, , 
,36.32,1056,31.5,0.0,10110110,36.65,1056,45.9,6.18,520.2,36.99,-0.8,0.0, , 
,37.32,1056,31.5,0.0,10110110,37.66,1056,45.9,6.18,550.8,38.00,-0.8,0.0, , 
,38.31,1056,31.5,0.0,10110110,38.64,1056,47.1,6.18,550.8,38.96,-0.8,0.0, , 
,39.28,1056,31.5,0.0,10110110,39.60,1056,47.1,6.18,550.8,39.92,-0.8,0.0, , 
,40.25,1056,31.5,0.0,10110110,40.60,1056,47.1,6.18,550.8,40.94,-0.8,0.0, , 
,41.24,1088,31.5,0.0,10110110,41.57,1088,47.1,6.18,550.8,41.91,-0.8,0.0, , 
,42.27,1056,31.5,0.0,10110110,42.60,1088,47.1,6.18,550.8,42.93,-0.8,0.0, , 
,43.25,1088,31.5,0.0,10110110,43.57,1056,47.1,6.18,550.8,43.92,-0.8,0.0, , 
,44.24,1056,31.5,0.0,10110110,44.57,1088,47.1,6.18,550.8,44.89,-0.8,0.0, , 
,45.21,1056,31.5,0.0,10110110,45.52,1056,45.9,6.18,550.8,45.87,-0.8,0.0, , 
,46.20,1056,31.5,0.0,10110110,46.52,1024,47.1,6.18,550.8,46.86,-0.8,0.0, , 
,47.19,1056,31.5,0.0,10110110,47.52,1056,45.9,6.18,520.2,47.84,-0.8,0.0, , 
,48.18,1056,33.0,0.0,10110110,48.52,1056,45.9,6.18,520.2,48.85,-0.8,0.0, , 
,49.17,1056,33.0,0.0,10110110,49.48,1024,45.9,6.18,520.2,49.81,-0.8,0.0, , 
,50.12,1056,33.0,0.0,10110110,50.44,1056,44.3,6.18,520.2,50.75,-0.8,0.0, , 
,51.08,1024,33.0,0.0,10110110,51.38,1056,44.3,6.18,520.2,51.73,-0.8,0.0, , 
,52.06,1056,33.0,0.0,10110110,52.37,1024,44.3,6.18,520.2,52.68,-0.8,0.0, , 
,53.00,1024,33.0,0.0,10110110,53.31,1024,44.3,6.18,520.2,53.63,-0.8,0.0, , 
,53.97,1024,33.0,0.0,10110110,54.27,1024,44.3,6.18,520.2,54.58,-0.8,0.0, , 
,54.90,1024,33.0,0.0,10110110,55.24,1024,44.3,6.18,520.2,55.59,-0.8,0.0, , 
,55.91,1024,33.0,0.0,10110110,56.24,1024,44.3,6.18,520.2,56.57,-0.8,0.0, , 
,56.90,1024,33.0,0.0,10110110,57.23,1024,44.3,6.18,520.2,57.54,-0.8,0.0, , 
,57.88,1056,33.0,0.0,10110110,58.20,1024,44.3,6.18,520.2,58.50,-0.8,0.0, , 
,58.80,1024,34.5,0.0,10110110,59.12,1024,44.3,6.18,520.2,59.43,-0.8,0.0, , 
,59.72,1024,34.5,0.0,10110110,60.06,1024,44.3,6.18,520.2,60.34,-0.8,0.0, , 
,60.65,1024,34.5,0.0,10110110,60.96,1024,44.3,6.18,520.2,61.28,-0.8,0.0, , 
,61.60,1024,34.5,0.0,10110110,61.94,1024,42.7,5.15,499.8,62.25,-0.8,0.0, , 
,62.59,992,34.5,0.0,10110110,62.93,1024,42.7,5.15,499.8,63.21,-0.8,0.0, , 
,63.54,1024,34.5,0.0,10110110,63.85,992,42.7,5.15,499.8,64.21,-0.8,0.0, , 
,64.54,992,34.5,1.6,10111110,64.85,992,41.2,6.18,499.8,65.21,-0.8,0.0, , 
,65.51,992,34.5,3.5,10111110,65.83,992,41.2,5.15,479.4,66.18,-0.8,0.0, , 
,66.51,1024,34.5,4.7,10111110,66.82,1024,41.2,6.18,479.4,67.17,-0.8,0.0, , 
,67.53,992,34.5,4.7,10111110,67.83,992,41.2,5.15,479.4,68.13,-0.8,0.0, , 
,68.50,992,34.5,4.3,10111110,68.79,992,41.2,5.15,479.4,69.15,-0.8,0.0, , 
,69.48,992,36.0,4.3,10111110,69.76,992,40.0,5.15,479.4,70.05,-0.8,0.0, , 
,70.40,992,36.0,4.3,10111110,70.76,992,40.0,5.15,479.4,71.12,-0.8,0.0, , 
,71.41,992,36.0,3.9,10111110,71.70,992,38.4,5.15,479.4,72.02,-0.8,0.0, , 
,72.33,960,36.0,3.9,10111110,72.62,992,40.0,5.15,479.4,72.89,-0.8,0.0, , 
,73.15,992,36.0,4.3,10111110,73.43,992,40.0,5.15,479.4,73.73,-1.6,0.0, , 
,74.09,992,36.0,4.3,10111110,74.44,992,40.0,5.15,479.4,74.78,-1.6,0.0, , 
,75.13,992,36.0,4.7,10111110,75.43,960,40.0,5.15,479.4,75.70,-1.6,0.0, , 
,75.98,960,36.0,4.3,10111110,76.32,992,40.0,5.15,479.4,76.68,-1.6,0.0, , 
,76.96,960,36.0,3.9,10111110,77.28,992,38.4,5.15,459.0,77.60,-1.6,0.0, , 
,77.92,960,37.5,3.9,10111110,78.20,960,36.9,5.15,459.0,78.51,-1.6,0.0, , 
,78.85,960,37.5,3.1,10111110,79.19,928,36.9,5.15,459.0,79.51,-1.6,0.0, , 
,79.85,960,37.5,3.1,10111110,80.18,960,35.3,5.15,438.6,80.50,-1.6,0.0, , 
,80.82,960,37.5,3.1,10111110,81.14,928,36.9,5.15,438.6,81.46,-1.6,0.0, , 
,81.78,928,37.5,3.5,10111110,82.07,928,36.9,5.15,438.6,82.40,-1.6,0.0, , 
,82.70,960,37.5,3.9,10111110,83.03,928,35.3,5.15,438.6,83.35,-1.6,0.0, , 
,83.67,928,37.5,4.3,10111110,83.98,928,35.3,5.15,438.6,84.30,-1.6,0.0, , 
,84.60,928,37.5,3.9,10111110,84.92,928,35.3,5.15,438.6,85.23,-1.6,0.0, , 
,85.55,928,37.5,3.9,10111110,85.84,928,35.3,5.15,438.6,86.16,-1.6,0.0, , 
,86.49,928,37.5,4.3,10111110,86.81,928,35.3,5.15,438.6,87.13,-1.6,0.0, , 
,87.47,928,39.0,4.3,10111110,87.78,896,35.3,5.15,438.6,88.11,-1.6,0.0, , 
,88.40,928,39.0,4.3,10111110,88.71,928,35.3,5.15,438.6,89.01,-1.6,0.0, , 
,89.33,928,39.0,4.7,10111110,89.64,928,35.3,5.15,438.6,89.94,-1.6,0.0, , 
,90.24,928,39.0,5.1,10111110,90.55,928,35.3,5.15,438.6,90.85,-1.6,0.0, , 
,91.17,896,39.0,5.9,10111110,91.48,928,36.9,5.15,459.0,91.80,-1.6,0.0, , 
,92.12,928,39.0,5.5,10111110,92.44,928,36.9,5.15,459.0,92.75,-1.6,0.0, , 
,93.06,928,39.0,5.9,10111110,93.37,896,36.9,5.15,459.0,93.68,-1.6,0.0, , 
,93.98,928,39.0,5.9,10111110,94.30,896,36.9,5.15,459.0,94.62,-1.6,0.0, , 
,94.94,896,39.0,5.9,10111110,95.24,928,36.9,5.15,459.0,95.55,-1.6,0.0, , 
,95.85,928,39.0,5.5,10111110,96.16,928,36.9,5.15,459.0,96.45,-1.6,0.0, , 
,96.79,896,39.0,5.5,10111110,97.10,896,36.9,5.15,459.0,97.45,-1.6,0.0, , 
,97.76,896,40.5,5.9,10111110,98.10,928,36.9,5.15,459.0,98.42,-1.6,0.0, , 
,98.74,928,40.5,5.9,10111110,99.06,928,36.9,5.15,459.0,99.37,-1.6,0.0, , 
,99.68,896,40.5,5.9,10111110,100.01,928,36.9,5.15,459.0,100.33,-1.6,0.0, , 
,100.63,928,40.5,5.9,10111110,100.95,928,36.9,5.15,459.0,101.27,-1.6,0.0, , 
,101.62,928,40.5,5.9,10111110,101.94,896,36.9,5.15,459.0,102.23,-1.6,0.0, , 
,102.53,928,40.5,5.9,10111110,102.83,896,38.4,5.15,479.4,103.14,-1.6,0.0, , 
,103.46,896,40.5,5.9,10111110,103.80,896,36.9,5.15,459.0,104.12,-1.6,0.0, , 
,104.45,896,42.0,5.9,10111110,104.77,928,36.9,5.15,459.0,105.09,-1.6,0.0, , 
,105.40,928,42.0,5.5,10111110,105.74,928,36.9,5.15,459.0,106.05,-1.6,0.0, , 
,106.35,896,42.0,5.5,10111110,106.66,896,36.9,5.15,459.0,106.96,-1.6,0.0, , 
,107.29,896,42.0,5.1,10111110,107.60,896,36.9,5.15,459.0,107.94,-1.6,0.0, , 
,108.26,864,42.0,5.1,10111110,108.57,896,36.9,5.15,459.0,108.88,-1.6,0.0, , 
,109.20,896,42.0,5.5,10111110,109.52,896,38.4,5.15,459.0,109.82,-1.6,0.0, , 
,110.15,896,42.0,5.9,10111110,110.49,896,36.9,5.15,459.0,110.80,-1.6,0.0, , 
,111.12,896,42.0,5.9,10111110,111.42,896,38.4,5.15,459.0,111.71,-1.6,0.0, , 
,112.03,896,43.5,5.9,10111110,112.34,896,36.9,5.15,459.0,112.66,-1.6,0.0, , 
,112.95,896,43.5,5.9,10111110,113.27,896,36.9,5.15,459.0,113.60,-1.6,0.0, , 
,113.91,896,43.5,5.9,10111110,114.20,896,36.9,5.15,459.0,114.52,-1.6,0.0, , 
,114.85,896,43.5,4.7,10111110,115.15,928,36.9,5.15,459.0,115.47,-1.6,0.0, , 
,115.79,928,43.5,-5.5,10111110,116.11,928,35.3,4.12,459.0,116.42,-1.6,0.0, , 
,116.73,896,43.5,-13.3,10111110,117.05,896,35.3,4.12,459.0,117.36,-1.6,0.0, , 
,117.69,896,43.5,-14.1,10111110,118.00,896,36.9,4.12,459.0,118.31,-1.6,0.0, , 
,118.63,896,43.5,-12.1,10111110,118.95,864,36.9,4.12,459.0,119.26,-1.6,0.0, , 
,119.56,896,43.5,-10.5,10111110,119.86,896,36.9,4.12,459.0,120.16,-1.6,0.0, , 
,120.47,896,43.5,-9.4,10111110,120.80,896,36.9,4.12,459.0,121.11,-1.6,0.0, , 
,121.41,896,43.5,-9.0,10111110,121.72,896,36.9,4.12,459.0,122.03,-1.6,0.0, , 
,122.32,896,43.5,-8.2,10111110,122.67,896,36.9,4.12,459.0,122.98,-1.6,0.0, , 
,123.29,896,43.5,-7.8,10111110,123.61,896,35.3,4.12,459.0,123.92,-1.6,0.0, , 
,124.21,896,43.5,-8.2,10111110,124.52,896,36.9,4.12,459.0,124.81,-1.6,0.0, , 
,125.11,896,43.5,-7.8,10111110,125.40,896,36.9,4.12,459.0,125.71,-1.6,0.0, , 
,126.03,896,43.5,-7.4,10111110,126.33,896,36.9,4.12,459.0,126.63,-1.6,0.0, , 
,126.97,896,43.5,-7.0,10111110,127.26,896,35.3,4.12,459.0,127.57,-1.6,0.0, , 
,127.88,896,45.0,-7.0,10111110,128.20,896,35.3,4.12,438.6,128.52,-1.6,0.0, , 
,128.85,896,45.0,-7.4,10111110,129.17,896,35.3,4.12,438.6,129.49,-1.6,0.0, , 
,129.81,896,45.0,-7.8,10111110,130.14,896,34.1,4.12,438.6,130.47,-1.6,0.0, , 
,130.79,896,45.0,-8.2,10111110,131.10,896,34.1,4.12,438.6,131.41,-1.6,0.0, , 
,131.72,896,45.0,-8.6,10111110,132.03,896,35.3,4.12,438.6,132.35,-1.6,0.0, , 
,132.68,896,45.0,-8.6,10111110,133.00,896,34.1,4.12,438.6,133.32,-1.6,0.0, , 
,133.64,896,45.0,-8.6,10111110,133.95,896,35.3,4.12,438.6,134.27,-1.6,0.0, , 
,134.59,896,45.0,-8.6,10111110,134.90,864,35.3,4.12,438.6,135.22,-1.6,0.0, , 
,135.53,896,45.0,-8.6,10111110,135.83,896,34.1,4.12,438.6,136.12,-1.6,0.0, , 
,136.43,896,45.0,-8.2,10111110,136.76,896,34.1,4.12,438.6,137.08,-1.6,0.0, , 
,137.39,896,46.5,-8.6,10111110,137.69,896,34.1,4.12,438.6,138.00,-1.6,0.0, , 
,138.31,896,46.5,-8.6,10111110,138.61,864,34.1,4.12,438.6,138.92,-1.6,0.0, , 
,139.23,896,46.5,-9.0,10111110,139.56,864,34.1,4.12,438.6,139.86,-1.6,0.0, , 
,140.16,896,46.5,-9.0,10111110,140.49,864,34.1,4.12,438.6,140.83,-1.6,0.0, , 
,141.17,896,46.5,-8.6,10111110,141.49,896,34.1,4.12,438.6,141.80,-1.6,0.0, , 
,142.10,864,46.5,-9.0,10111110,142.45,896,34.1,4.12,438.6,142.76,-1.6,0.0, , 
,143.06,896,46.5,-9.0,10111110,143.37,896,34.1,4.12,438.6,143.68,-1.6,0.0, , 
,143.99,864,46.5,-9.0,10111110,144.29,896,34.1,4.12,438.6,144.62,-1.6,0.0, , 
,144.93,896,46.5,-9.8,10111110,145.21,896,34.1,4.12,438.6,145.52,-1.6,0.0, , 
,145.80,896,46.5,-10.2,10111110,146.10,896,34.1,4.12,438.6,146.42,-1.6,0.0, , 
,146.72,864,46.5,-10.5,10111110,147.02,896,34.1,4.12,438.6,147.35,-1.6,0.0, , 
,147.64,864,46.5,-10.9,10111110,147.94,896,32.5,4.12,438.6,148.21,-1.6,0.0, , 
,148.51,896,46.5,-11.3,10111110,148.81,896,32.5,4.12,438.6,149.11,-1.6,0.0, , 
,149.40,896,46.5,-11.7,10111110,149.71,896,34.1,4.12,438.6,150.01,-1.6,0.0, , 
,150.31,896,46.5,-11.7,10111110,150.61,896,32.5,4.12,418.2,150.91,-1.6,0.0, , 
,151.22,864,46.5,-11.7,10111110,151.51,864,32.5,4.12,438.6,151.81,-1.6,0.0, , 
,152.12,896,46.5,-11.7,10111110,152.45,896,32.5,4.12,438.6,152.76,-1.6,0.0, , 
,153.09,864,48.0,-12.1,10111110,153.42,896,34.1,4.12,438.6,153.74,-1.6,0.0, , 
,154.05,896,48.0,-12.1,10111110,154.35,896,32.5,4.12,418.2,154.65,-1.6,0.0, , 
,154.95,896,48.0,-12.1,10111110,155.26,864,32.5,4.12,418.2,155.58,-1.6,0.0, , 
,155.89,864,48.0,-12.1,10111110,156.20,896,32.5,4.12,418.2,156.51,-1.6,0.0, , 
,156.81,896,48.0,-12.5,10111110,157.13,864,32.5,3.09,418.2,157.44,-1.6,0.0, , 
,157.72,896,48.0,-12.9,10111110,158.02,864,32.5,3.09,418.2,158.32,-1.6,0.0, , 
,158.62,896,48.0,-12.9,10111110,158.93,864,32.5,4.12,418.2,159.26,-1.6,0.0, , 
,159.56,864,48.0,-12.5,10111110,159.86,896,32.5,4.12,418.2,160.16,-1.6,0.0, , 
,160.48,864,48.0,-12.9,10111110,160.78,864,32.5,3.09,418.2,161.10,-1.6,0.0, , 
,161.42,864,48.0,-13.3,10111110,161.73,864,32.5,4.12,418.2,162.03,-1.6,0.0, , 
,162.34,864,48.0,-12.9,10111110,162.66,864,32.5,4.12,418.2,162.97,-1.6,0.0, , 
,163.27,864,48.0,-12.5,10111110,163.57,864,32.5,3.09,418.2,163.88,-1.6,0.0, , 
,164.21,864,48.0,-12.5,10111110,164.52,864,31.0,3.09,418.2,164.84,-1.6,0.0, , 
,165.15,864,48.0,-12.5,10111110,165.46,832,31.0,3.09,418.2,165.78,-1.6,0.0, , 
,166.10,864,48.0,-12.1,10111110,166.41,864,31.0,3.09,418.2,166.72,-1.6,0.0, , 
,167.03,864,48.0,-12.1,10111110,167.33,864,31.0,3.09,418.2,167.62,-1.6,0.0, , 
,167.93,896,49.5,-12.1,10111110,168.25,864,31.0,3.09,418.2,168.54,-1.6,0.0, , 
,168.84,896,49.5,-12.1,10111110,169.15,896,31.0,3.09,418.2,169.47,-1.6,0.0, , 
,169.77,864,49.5,-12.1,10111110,170.08,864,31.0,3.09,418.2,170.38,-1.6,0.0, , 
,170.69,864,49.5,-12.5,10111110,171.01,864,31.0,3.09,418.2,171.32,-1.6,0.0, , 
,171.65,832,49.5,-12.5,10111110,171.97,832,32.5,4.12,438.6,172.27,-1.6,0.0, , 
,172.57,832,49.5,-12.9,10111110,172.90,832,32.5,3.09,418.2,173.21,-1.6,0.0, , 
,173.53,832,49.5,-13.7,10111110,173.83,832,32.5,3.09,418.2,174.12,-1.6,0.0, , 
,174.42,832,49.5,-13.7,10111110,174.74,832,32.5,3.09,418.2,175.07,-1.6,0.0, , 
,175.38,832,49.5,-13.7,10111110,175.68,832,31.0,3.09,418.2,175.99,-1.6,0.0, , 
,176.31,832,49.5,-13.7,10111110,176.61,832,31.0,3.09,418.2,176.91,-1.6,0.0, , 
,177.21,832,51.0,-14.1,10111110,177.52,832,31.0,3.09,418.2,177.82,-1.6,0.0, , 
,178.13,832,51.0,-14.1,10111110,178.43,832,31.0,3.09,418.2,178.74,-1.6,0.0, , 
,179.05,832,51.0,-14.1,10111110,179.34,832,31.0,3.09,418.2,179.63,-1.6,0.0, , 
,179.93,832,51.0,-14.5,10111110,180.24,832,31.0,3.09,418.2,180.56,-1.6,0.0, , 
,180.86,832,51.0,-14.8,10111110,181.15,832,31.0,3.09,418.2,181.46,-1.6,0.0, , 
,181.77,832,51.0,-15.2,10111110,182.07,800,31.0,3.09,418.2,182.38,-1.6,0.0, , 
,182.67,800,51.0,-15.6,10111110,182.96,800,31.0,3.09,418.2,183.28,-1.6,0.0, , 
,183.57,832,51.0,-15.6,10111110,183.88,832,31.0,3.09,418.2,184.18,-1.6,0.0, , 
,184.49,832,51.0,-15.6,10111110,184.79,800,31.0,3.09,418.2,185.10,-1.6,0.0, , 
,185.41,832,51.0,-15.2,10111110,185.71,800,31.0,3.09,418.2,186.02,-1.6,0.0, , 
,186.34,832,51.0,-14.8,10111110,186.65,800,31.0,3.09,418.2,186.96,-1.6,0.0, , 
,187.26,832,51.0,-14.8,10111110,187.56,832,31.0,3.09,418.2,187.84,-1.6,0.0, , 
,188.14,800,52.5,-14.8,10111110,188.42,800,31.0,3.09,418.2,188.73,-1.6,0.0, , 
,189.01,832,52.5,-14.5,10111110,189.30,832,31.0,3.09,418.2,189.59,-1.6,0.0, , 
,189.90,832,52.5,-14.1,10111110,190.19,832,31.0,3.09,418.2,190.48,-1.6,0.0, , 
,190.78,800,52.5,-13.7,10111110,191.08,832,31.0,3.09,418.2,191.38,-1.6,0.0, , 
,191.66,832,52.5,-13.7,10111110,191.95,800,32.5,3.09,438.6,192.26,-1.6,0.0, , 
,192.57,800,52.5,-13.7,10111110,192.88,800,32.5,3.09,438.6,193.18,-1.6,0.0, , 
,193.49,800,52.5,-13.7,10111110,193.80,800,32.5,3.09,438.6,194.09,-1.6,0.0, , 
,194.40,832,52.5,-13.3,10111110,194.69,800,32.5,3.09,438.6,194.99,-1.6,0.0, , 
,195.32,832,52.5,-15.6,10101010,195.63,864,38.4,4.12,479.4,195.93,-1.6,0.0, , 
,196.24,864,52.5,-15.6,10101010,196.53,864,38.4,4.12,479.4,196.84,-1.6,0.0, , 
,197.16,736,52.5,-14.8,10111110,197.45,704,38.4,5.15,479.4,197.76,-1.6,0.0, , 
,198.07,800,52.5,-16.0,10111110,198.37,768,34.1,4.12,459.0,198.66,-1.6,0.0, , 
,198.94,800,52.5,-16.8,10111110,199.25,800,34.1,3.09,459.0,199.54,-1.6,0.0, , 
,199.83,832,54.0,-15.6,10111110,200.13,832,34.1,4.12,459.0,200.42,-1.6,0.0, , 
,200.73,832,54.0,-14.8,10111110,201.04,832,34.1,4.12,459.0,201.33,-1.6,0.0, , 
,201.61,832,54.0,-13.3,10111110,201.91,832,34.1,4.12,459.0,202.21,-1.6,0.0, , 
,202.52,800,54.0,-12.5,10111110,202.82,800,34.1,4.12,459.0,203.11,-1.6,0.0, , 
,203.43,736,54.0,-12.9,10101010,203.75,768,38.4,4.12,499.8,204.05,-1.6,0.0, , 
,204.33,800,54.0,-13.3,10111110,204.63,800,32.5,3.09,438.6,204.95,-1.6,0.0, , 
,205.25,800,54.0,-15.6,10111110,205.58,736,35.3,4.12,459.0,205.88,-1.6,0.0, , 
,206.19,768,54.0,0.0,10101010,206.49,864,40.0,5.15,520.2,206.79,-1.6,0.0, , 
,207.08,736,54.0,-8.2,10101010,207.35,608,45.9,6.18,550.8,207.65,-1.6,0.0, , 
,207.94,640,54.0,0.0,10111110,208.23,736,53.3,9.27,652.8,208.54,-1.6,0.0, , 
,208.85,864,54.0,0.0,10111110,209.15,864,36.9,5.15,479.4,209.45,-1.6,0.0, , 
