Czwartek,20,Sierpień,2026,06:40:16:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.62,928,24.0,0.0,10110110,0.01,896,36.9,5.15,438.6,0.31,0.0,1.45, , 
,1.55,896,25.5,0.0,10110110,0.93,896,36.9,5.15,438.6,1.25,0.0,1.45, , 
,2.49,896,25.5,0.0,10110110,1.85,928,36.9,5.15,438.6,2.17,0.0,1.48, , 
,3.46,928,25.5,0.0,10110110,2.84,928,36.9,5.15,438.6,3.16,0.0,1.48, , 
,4.37,928,25.5,0.0,10110110,3.76,928,36.9,5.15,438.6,4.07,0.0,1.45, , 
,5.31,928,25.5,0.0,10110110,4.68,896,36.9,5.15,459.0,5.00,0.0,1.48, , 
,6.19,928,25.5,0.0,10110110,5.60,896,36.9,5.15,438.6,5.89,0.0,1.48, , 
,7.11,896,25.5,0.0,10110110,6.49,896,36.9,5.15,438.6,6.79,0.0,1.48, , 
,8.04,896,25.5,0.0,10110110,7.44,896,36.9,5.15,438.6,7.74,0.0,1.48, , 
,8.95,896,25.5,0.0,10110110,8.35,896,36.9,5.15,438.6,8.64,0.0,1.48, , 
,9.89,896,25.5,0.0,10110110,9.27,896,36.9,5.15,438.6,9.57,0.0,1.45, , 
,10.83,928,27.0,0.0,10110110,10.19,896,36.9,5.15,438.6,10.51,0.0,1.45, , 
,11.74,896,27.0,1.6,10111110,11.13,896,36.9,5.15,438.6,11.42,1.2,1.45, , 
,12.69,896,27.0,3.5,10111110,12.04,896,36.9,5.15,438.6,12.36,2.7,1.45, , 
,13.59,896,27.0,4.3,10111110,12.99,896,35.3,5.15,438.6,13.28,4.3,1.37, , 
,14.54,928,27.0,4.3,10111110,13.89,896,35.3,5.15,438.6,14.22,4.3,1.33, , 
,15.47,896,27.0,3.9,10111110,14.86,896,35.3,5.15,438.6,15.15,4.3,1.33, , 
,16.40,896,27.0,3.1,10111110,15.78,896,35.3,5.15,438.6,16.09,3.5,1.33, , 
,17.31,896,27.0,2.3,10111110,16.72,896,35.3,5.15,438.6,17.02,2.7,1.29, , 
,18.21,896,27.0,2.0,10111110,17.60,896,34.1,5.15,418.2,17.91,2.0,1.33, , 
,19.19,896,27.0,2.3,10111110,18.54,896,35.3,5.15,438.6,18.87,2.0,1.37, , 
,20.13,896,27.0,2.3,10111110,19.50,896,35.3,5.15,438.6,19.82,2.3,1.37, , 
,21.04,896,27.0,2.3,10111110,20.44,896,35.3,5.15,438.6,20.73,2.3,1.37, , 
,21.97,896,28.5,2.7,10111110,21.35,896,35.3,5.15,438.6,21.65,2.7,1.37, , 
,22.90,896,28.5,3.1,10111110,22.29,896,35.3,5.15,438.6,22.61,3.1,1.37, , 
,23.81,896,28.5,3.5,10111110,23.20,896,34.1,5.15,438.6,23.50,3.1,1.37, , 
,24.75,896,28.5,3.5,10111110,24.15,896,35.3,5.15,438.6,24.45,3.5,1.33, , 
,25.74,896,28.5,3.1,10111110,25.07,896,35.3,5.15,438.6,25.40,3.1,1.33, , 
,26.67,896,28.5,3.1,10111110,26.04,896,35.3,5.15,438.6,26.37,3.1,1.37, , 
,27.64,896,28.5,3.1,10111110,27.00,896,35.3,5.15,438.6,27.32,3.1,1.37, , 
,28.53,864,28.5,2.7,10111110,27.96,864,35.3,5.15,438.6,28.24,2.7,1.33, , 
,29.46,896,28.5,3.1,10111110,28.85,896,35.3,5.15,438.6,29.16,2.7,1.37, , 
,30.44,896,28.5,3.1,10111110,29.79,896,35.3,5.15,438.6,30.13,3.1,1.37, , 
,31.40,896,28.5,3.1,10111110,30.75,896,35.3,5.15,438.6,31.08,3.1,1.33, , 
,32.34,896,28.5,3.1,10111110,31.73,896,35.3,5.15,438.6,32.03,3.1,1.37, , 
,33.26,896,30.0,3.5,10111110,32.64,896,35.3,5.15,438.6,32.95,3.5,1.37, , 
,34.15,864,30.0,3.1,10111110,33.56,896,34.1,5.15,438.6,33.86,3.1,1.33, , 
,35.04,896,30.0,3.1,10111110,34.44,864,34.1,5.15,438.6,34.73,3.1,1.37, , 
,35.98,896,30.0,3.5,10111110,35.35,864,35.3,5.15,438.6,35.67,3.5,1.41, , 
,36.94,864,30.0,3.9,10111110,36.30,864,35.3,5.15,438.6,36.62,3.9,1.37, , 
,37.84,896,30.0,3.9,10111110,37.23,896,35.3,5.15,438.6,37.54,3.9,1.37, , 
,38.79,896,30.0,3.9,10111110,38.15,896,35.3,5.15,438.6,38.46,3.9,1.37, , 
,39.71,864,30.0,4.3,10111110,39.11,896,34.1,5.15,438.6,39.41,4.3,1.37, , 
,40.65,864,30.0,4.3,10111110,40.02,896,35.3,5.15,438.6,40.33,4.7,1.37, , 
,41.62,864,30.0,4.3,10111110,40.98,896,34.1,5.15,438.6,41.29,4.3,1.33, , 
,42.57,864,31.5,3.9,10111110,41.93,864,35.3,5.15,438.6,42.25,4.3,1.33, , 
,43.48,864,31.5,3.5,10111110,42.87,896,34.1,5.15,418.2,43.17,3.5,1.33, , 
,44.41,864,31.5,3.5,10111110,43.78,864,34.1,5.15,438.6,44.11,3.5,1.37, , 
,45.33,864,31.5,3.9,10111110,44.72,896,34.1,5.15,438.6,45.02,3.5,1.37, , 
,46.24,832,31.5,3.9,10111110,45.62,864,35.3,5.15,438.6,45.93,3.9,1.37, , 
,47.12,864,31.5,3.9,10111110,46.52,864,35.3,5.15,438.6,46.82,3.9,1.37, , 
,48.04,864,31.5,4.3,10111110,47.42,896,35.3,5.15,438.6,47.73,4.3,1.37, , 
,49.00,736,33.0,0.0,10101010,48.36,832,35.3,5.15,438.6,48.69,0.0,1.37, , 
,49.88,832,33.0,0.0,10101010,49.30,768,56.1,10.30,632.4,49.60,0.0,1.05, , 
,50.82,928,33.0,0.0,10101010,50.18,864,57.6,9.27,652.8,50.52,0.0,1.25, , 
,51.74,832,33.0,0.0,10111110,51.11,512,65.1,14.42,652.8,51.43,0.0,1.13, , 
,52.63,896,33.0,0.0,10111110,52.03,864,40.0,5.15,479.4,52.33,0.0,1.52, , 
,53.58,864,33.0,3.5,10111110,52.93,896,40.0,5.15,479.4,53.25,2.3,1.60, , 
,54.47,864,33.0,6.3,10111110,53.87,864,36.9,5.15,459.0,54.17,5.9,1.48, , 
,55.38,832,33.0,4.3,10111110,54.78,864,35.3,5.15,438.6,55.08,5.1,1.25, , 
,56.27,832,33.0,3.5,10101010,55.70,832,36.9,5.15,459.0,55.99,3.5,1.33, , 
,57.19,896,34.5,5.5,10101010,56.56,864,38.4,5.15,479.4,56.87,5.1,1.41, , 
,58.08,800,34.5,0.0,10101010,57.50,800,41.2,6.18,499.8,57.80,0.0,1.45, , 
,59.02,992,34.5,0.0,10101010,58.39,704,54.5,8.24,612.0,58.70,0.0,1.37, , 
,60.08,1568,34.5,0.0,10111110,59.33,1184,63.5,12.36,693.6,59.71,0.0,1.25, , 
,61.10,1856,34.5,0.0,10111110,60.41,1696,31.0,4.12,397.8,60.75,0.0,1.41, , 
,62.17,1152,34.5,-3.1,10111110,61.50,1664,28.2,3.09,357.0,61.85,-3.9,1.37, , 
,63.07,832,34.5,-4.3,10111110,62.46,928,31.0,4.12,397.8,62.78,-3.9,1.33, , 
,64.07,1408,34.5,0.0,10101010,63.37,800,38.4,5.15,459.0,63.71,0.0,1.41, , 
,65.05,1248,36.0,4.7,10101010,64.37,1184,38.4,5.15,459.0,64.71,2.3,1.52, , 
,65.98,1440,36.0,3.9,10101010,65.33,1440,35.3,5.15,438.6,65.60,3.9,1.45, , 
,66.99,1568,36.0,3.9,10111110,66.32,1568,28.2,4.12,357.0,66.66,3.5,1.37, , 
,67.91,1184,36.0,3.9,10111110,67.25,1504,29.4,4.12,357.0,67.61,3.5,1.37, , 
,68.80,896,36.0,3.5,10111110,68.21,960,32.5,4.12,397.8,68.52,3.5,1.37, , 
,69.72,896,36.0,4.3,10111110,69.11,896,38.4,5.15,459.0,69.42,4.3,1.45, , 
,70.66,864,36.0,3.9,10111110,70.03,864,35.3,5.15,438.6,70.34,4.3,1.33, , 
,71.59,1312,36.0,0.0,10101010,70.95,864,35.3,5.15,438.6,71.27,0.0,1.41, , 
,72.52,1376,37.5,0.0,10101010,71.92,1376,36.9,5.15,438.6,72.23,0.0,1.56, , 
,73.50,992,37.5,0.0,10101010,72.86,1600,44.3,6.18,499.8,73.20,0.0,1.48, , 
,74.49,1280,37.5,0.0,10101010,73.82,1056,59.2,10.30,652.8,74.16,0.0,1.25, , 
,75.58,1472,37.5,0.4,10101010,74.84,1344,38.4,5.15,438.6,75.17,0.0,1.41, , 
,76.57,1536,37.5,-1.2,10101010,75.87,1504,29.4,4.12,377.4,76.20,-0.8,1.37, , 
,77.72,1536,37.5,2.3,10111110,76.92,1536,28.2,4.12,357.0,77.27,-0.4,1.45, , 
,78.67,1024,37.5,1.6,10111110,78.04,1408,29.4,4.12,357.0,78.39,2.0,1.45, , 
,79.61,896,37.5,3.1,10111110,78.98,896,34.1,5.15,418.2,79.30,2.3,1.52, , 
,80.50,864,37.5,4.3,10111110,79.91,896,36.9,5.15,459.0,80.19,4.3,1.48, , 
,81.49,1344,39.0,0.0,10101010,80.81,800,38.4,6.18,459.0,81.15,0.0,1.33, , 
,82.45,992,39.0,0.0,10101010,81.80,1184,56.1,12.36,612.0,82.13,0.0,1.02, , 
,83.39,1184,39.0,0.0,10111110,82.78,1024,44.3,5.15,520.2,83.09,0.0,1.37, , 
,84.27,832,39.0,-1.2,10111110,83.69,1184,29.4,4.12,377.4,83.97,-0.8,1.29, , 
,85.09,704,39.0,0.0,10111110,84.53,608,45.9,7.21,520.2,84.83,0.0,1.41, , 
,85.99,832,39.0,0.0,10101010,85.40,736,53.3,7.21,632.4,85.70,0.0,1.09, , 
,86.88,1024,39.0,0.0,10101010,86.29,864,45.9,6.18,550.8,86.58,0.8,1.48, , 
,87.82,1376,39.0,0.0,10101010,87.19,1120,54.5,8.24,632.4,87.50,0.0,1.45, , 
,88.86,1888,39.0,0.0,10101010,88.15,1536,62.0,9.27,673.2,88.50,0.0,1.60, , 
,89.90,2240,40.5,0.0,10111100,89.21,2048,51.8,7.21,571.2,89.56,0.4,1.45, , 
,90.94,1408,40.5,0.0,10101010,90.25,2240,22.0,3.09,295.8,90.62,0.0,1.13, , 
,91.97,1280,40.5,0.0,10101010,91.29,1280,40.0,7.21,459.0,91.63,0.0,1.02, , 
,92.97,1344,40.5,2.7,10101010,92.29,1280,44.3,6.18,520.2,92.62,2.0,1.52, , 
,93.99,1440,40.5,6.6,10101010,93.33,1376,42.7,6.18,499.8,93.66,5.1,1.52, , 
,94.93,1600,40.5,0.0,10101010,94.25,1472,53.3,8.24,591.6,94.60,0.0,1.56, , 
,95.95,1856,40.5,0.0,10101010,95.27,1664,71.0,11.33,734.4,95.58,0.0,1.52, , 
,97.03,2048,42.0,0.0,10101000,96.32,1920,59.2,8.24,632.4,96.68,-0.8,1.45, , 
,98.06,2208,42.0,0.4,10101000,97.37,2112,53.3,7.21,571.2,97.71,0.4,1.45, , 
,99.08,2208,42.0,-8.6,10101000,98.40,2208,35.3,4.12,418.2,98.75,-6.6,1.05, , 
,100.12,2112,42.0,-9.0,10101000,99.41,2208,28.2,3.09,336.6,99.76,-7.4,1.48, , 
,101.15,2048,42.0,-7.8,10101000,100.47,2112,20.8,2.06,275.4,100.80,-8.6,1.48, , 
,102.22,1984,42.0,-5.5,10101010,101.50,2016,20.8,2.06,275.4,101.86,-6.6,1.52, , 
,103.32,1920,42.0,-1.2,10101010,102.59,1952,25.1,3.09,316.2,102.96,-2.0,1.56, , 
,104.44,1920,43.5,1.2,10111110,103.70,1920,28.2,4.12,357.0,104.06,0.8,1.52, , 
,105.51,1600,43.5,2.7,10111110,104.80,1888,22.0,3.09,295.8,105.16,0.4,1.37, , 
,106.44,1056,43.5,5.5,10111110,105.83,1472,28.2,4.12,357.0,106.16,4.7,1.52, , 
,107.35,896,43.5,4.7,10111110,106.74,896,32.5,4.12,418.2,107.04,4.3,1.48, , 
,108.28,896,43.5,5.9,10111110,107.67,896,35.3,5.15,438.6,107.99,5.5,1.48, , 
,109.20,896,43.5,6.6,10111110,108.60,896,35.3,5.15,438.6,108.90,6.3,1.48, , 
,110.17,896,43.5,7.0,10111110,109.51,896,35.3,5.15,459.0,109.85,7.0,1.45, , 
1,111.09,896,43.5,6.6,10111110,110.47,928,35.3,5.15,438.6,110.78,7.0,1.41, , 
,112.03,896,43.5,6.6,10111110,111.42,896,35.3,5.15,438.6,111.74,6.6,1.45, , 
,112.93,896,45.0,7.0,10111110,112.33,896,35.3,5.15,438.6,112.63,7.0,1.45, , 
,113.84,864,45.0,6.6,10111110,113.24,896,34.1,4.12,418.2,113.52,7.0,1.37, , 
,114.70,800,45.0,5.1,10111110,114.12,832,31.0,4.12,418.2,114.41,5.5,1.33, , 
,115.59,832,45.0,4.3,10111110,115.00,800,32.5,4.12,418.2,115.30,4.3,1.33, , 
,116.50,800,45.0,4.7,10111110,115.90,800,34.1,4.12,438.6,116.21,4.7,1.45, , 
,117.40,800,45.0,5.1,10111110,116.80,800,35.3,5.15,438.6,117.10,5.1,1.45, , 
,118.35,1024,45.0,0.0,10101010,117.71,800,34.1,5.15,438.6,118.01,6.6,1.45, , 
,119.41,1568,45.0,0.0,10101010,118.70,1344,35.3,5.15,438.6,119.10,0.0,1.64, , 
,120.36,1184,45.0,0.0,10101010,119.75,1312,45.9,6.18,520.2,120.06,0.0,0.98, , 
,121.34,1312,46.5,-5.1,10101010,120.68,1120,53.3,7.21,612.0,121.01,0.0,1.21, , 
,122.37,1696,45.0,0.0,10101010,121.62,1408,53.3,9.27,591.6,121.97,0.0,0.74, , 
,123.43,1920,46.5,0.0,10111110,122.72,1792,42.7,4.12,499.8,123.07,0.0,1.60, , 
,124.35,1120,46.5,-12.9,10101010,123.75,1664,25.1,3.09,316.2,124.06,-9.0,1.13, , 
,125.30,1088,46.5,-9.8,10101010,124.67,1088,36.9,4.12,438.6,125.00,-10.5,1.41, , 
,126.24,1152,46.5,-8.6,10101010,125.60,1120,35.3,4.12,438.6,125.94,-8.2,1.56, , 
,127.20,1216,46.5,-8.2,10111110,126.55,1152,38.4,5.15,459.0,126.87,-6.6,1.56, , 
,128.17,1184,46.5,-13.3,10111110,127.52,1216,28.2,3.09,357.0,127.84,-12.5,1.29, , 
,129.15,1248,46.5,-12.5,10101010,128.50,1248,28.2,3.09,357.0,128.81,-12.5,1.45, , 
,130.20,1344,46.5,-10.9,10101010,129.48,1248,32.5,4.12,397.8,129.84,-9.4,1.60, , 
,131.23,1472,48.0,-9.4,10101010,130.55,1376,32.5,4.12,397.8,130.85,-9.8,1.48, , 
,132.27,1600,48.0,0.0,10111110,131.57,1536,35.3,4.12,438.6,131.93,0.0,1.45, , 
,133.33,1696,48.0,-6.6,10111110,132.63,1632,26.7,3.09,357.0,132.98,-6.3,1.29, , 
,134.44,1632,48.0,-6.6,10111110,133.71,1696,26.7,3.09,357.0,134.07,-6.6,1.45, , 
,135.52,1568,48.0,-6.6,10111110,134.80,1600,26.7,3.09,357.0,135.15,-6.6,1.45, , 
,136.58,1600,48.0,-7.0,10101010,135.87,1568,28.2,3.09,357.0,136.23,-5.9,1.48, , 
,137.66,1696,48.0,-7.8,10101010,136.95,1568,26.7,3.09,357.0,137.31,-9.4,1.37, , 
,138.77,1920,48.0,0.0,10101010,138.03,1760,42.7,6.18,499.8,138.40,0.0,1.29, , 
