Niedziela,20,Wrzesieñ,2026,17:33:48:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.54,0,58.5,0.0,10110110,0.01,0,0.0,15.45,989.4,0.27,99.2,0.0, , 
,1.34,0,58.5,0.0,10110110,0.81,0,0.0,15.45,989.4,1.08,99.2,0.0, , 
,2.14,0,58.5,0.0,10110110,1.61,0,0.0,15.45,989.4,1.87,99.2,0.0, , 
,2.94,0,58.5,0.0,10110110,2.40,0,0.0,15.45,989.4,2.67,99.2,0.0, , 
,3.73,0,58.5,0.0,10110110,3.20,0,0.0,15.45,989.4,3.46,99.2,0.0, , 
,4.53,0,58.5,0.0,10110110,4.00,0,0.0,15.45,989.4,4.26,99.2,0.0, , 
,5.33,0,58.5,0.0,10110110,4.79,0,0.0,15.45,989.4,5.06,99.2,0.0, , 
,6.14,0,58.5,0.0,10110110,5.60,0,0.0,15.45,989.4,5.87,99.2,0.0, , 
,6.97,0,58.5,0.0,10110110,6.41,0,0.0,15.45,989.4,6.69,99.2,0.0, , 
,7.78,0,58.5,0.0,10110110,7.24,0,0.0,15.45,989.4,7.51,99.2,0.0, , 
,8.57,0,58.5,0.0,10110110,8.05,0,0.0,15.45,989.4,8.31,99.2,0.0, , 
,9.37,0,58.5,0.0,10110110,8.84,0,0.0,15.45,989.4,9.11,99.2,0.0, , 
,10.18,0,58.5,0.0,10110110,9.64,0,0.0,15.45,989.4,9.91,99.2,0.0, , 
,10.98,0,58.5,0.0,10110110,10.45,0,0.0,15.45,989.4,10.72,99.2,0.0, , 
,11.78,0,58.5,0.0,10110110,11.25,0,0.0,15.45,989.4,11.51,99.2,0.0, , 
,12.57,0,58.5,0.0,10110110,12.04,0,0.0,15.45,989.4,12.31,99.2,0.0, , 
,13.38,0,58.5,0.0,10110110,12.84,0,0.0,15.45,989.4,13.11,99.2,0.0, , 
,14.20,0,58.5,0.0,10110110,13.66,0,0.0,15.45,989.4,13.93,99.2,0.0, , 
,15.00,0,58.5,0.0,10110110,14.47,0,0.0,15.45,989.4,14.73,99.2,0.0, , 
,15.80,0,58.5,0.0,10110110,15.26,0,0.0,15.45,989.4,15.53,99.2,0.0, , 
,16.61,0,58.5,0.0,10110110,16.07,0,0.0,15.45,989.4,16.34,99.2,0.0, , 
,17.41,0,58.5,0.0,10110110,16.87,0,0.0,15.45,989.4,17.14,99.2,0.0, , 
,18.22,0,58.5,0.0,10110110,17.68,0,0.0,15.45,989.4,17.95,99.2,0.0, , 
,19.01,0,58.5,0.0,10110110,18.48,0,0.0,15.45,989.4,18.75,99.2,0.0, , 
,19.81,0,58.5,0.0,10110110,19.28,0,0.0,15.45,989.4,19.54,99.2,0.0, , 
,20.61,0,58.5,0.0,10110110,20.07,0,0.0,15.45,989.4,20.34,99.2,0.0, , 
,21.42,0,58.5,0.0,10110110,20.88,0,0.0,15.45,989.4,21.15,99.2,0.0, , 
,22.22,0,58.5,0.0,10110110,21.68,0,0.0,15.45,989.4,21.95,99.2,0.0, , 
,23.03,0,58.5,0.0,10110110,22.49,0,0.0,15.45,989.4,22.76,99.2,0.0, , 
,23.83,0,58.5,0.0,10110110,23.30,0,0.0,15.45,989.4,23.56,99.2,0.0, , 
,24.62,0,58.5,0.0,10110110,24.09,0,0.0,15.45,989.4,24.36,99.2,0.0, , 
,25.42,0,58.5,0.0,10110110,24.89,0,0.0,15.45,989.4,25.15,99.2,0.0, , 
,26.22,0,58.5,0.0,10110110,25.69,0,0.0,15.45,989.4,25.95,99.2,0.0, , 
,27.01,160,58.5,0.0,10110110,26.48,0,0.0,15.45,989.4,26.75,99.2,0.0, , 
,27.89,1088,58.5,0.0,10110110,27.29,480,90.2,25.75,969.0,27.57,0.0,0.0, , 
,28.89,928,58.5,0.0,10110110,28.22,1056,48.6,8.24,591.6,28.57,0.0,0.0, , 
,29.82,928,58.5,0.0,10110110,29.18,896,38.4,6.18,479.4,29.49,0.0,0.0, , 
,30.71,832,58.5,0.0,10110110,30.11,896,36.9,6.18,479.4,30.41,0.0,0.0, , 
,31.64,832,58.5,0.0,10110110,31.02,864,38.4,6.18,479.4,31.34,0.0,0.0, , 
,32.58,832,58.5,0.0,10110110,31.93,832,38.4,6.18,479.4,32.25,0.0,0.0, , 
,33.43,832,58.5,0.0,10110110,32.86,864,36.9,6.18,479.4,33.14,0.0,0.0, , 
,34.35,832,57.0,0.0,10110110,33.73,832,36.9,5.15,479.4,34.04,0.0,0.0, , 
,35.25,832,57.0,0.0,10110110,34.65,832,38.4,6.18,479.4,34.95,0.0,0.0, , 
,36.13,832,57.0,0.0,10110110,35.53,832,38.4,5.15,479.4,35.83,0.0,0.0, , 
,37.03,832,57.0,0.0,10110110,36.43,832,36.9,5.15,479.4,36.73,0.0,0.0, , 
,37.95,832,57.0,0.0,10110110,37.32,832,36.9,5.15,479.4,37.63,0.0,0.0, , 
,38.86,832,57.0,0.0,10110110,38.26,832,36.9,5.15,479.4,38.56,0.0,0.0, , 
,39.77,800,55.5,0.0,10110110,39.15,832,36.9,5.15,479.4,39.46,0.0,0.0, , 
,40.68,832,55.5,0.0,10110110,40.08,832,36.9,5.15,479.4,40.38,0.0,0.0, , 
,41.58,832,55.5,0.0,10110110,41.00,800,35.3,5.15,459.0,41.29,0.0,0.0, , 
,42.46,832,55.5,0.0,10110110,41.87,800,36.9,5.15,479.4,42.15,0.0,0.0, , 
,43.41,832,54.0,0.0,10110110,42.78,832,35.3,5.15,459.0,43.11,0.0,0.0, , 
,44.34,832,54.0,0.0,10110110,43.71,832,35.3,5.15,459.0,44.02,0.0,0.0, , 
,45.25,832,54.0,0.0,10110110,44.63,800,35.3,5.15,459.0,44.95,0.0,0.0, , 
,46.15,832,54.0,0.0,10110110,45.54,832,36.9,5.15,479.4,45.84,0.8,0.0, , 
,47.05,832,54.0,0.0,10110110,46.44,832,36.9,5.15,459.0,46.74,0.0,0.0, , 
,47.98,832,54.0,0.0,10110110,47.37,832,35.3,5.15,459.0,47.68,0.0,0.0, , 
,48.90,832,54.0,0.0,10110110,48.29,832,35.3,5.15,459.0,48.60,0.0,0.0, , 
,49.81,832,52.5,0.0,10110110,49.21,832,35.3,4.12,459.0,49.51,0.8,0.0, , 
,50.67,832,52.5,0.0,10110110,50.09,832,36.9,5.15,479.4,50.39,0.0,0.0, , 
,51.54,832,52.5,0.0,10110110,50.96,800,35.3,5.15,459.0,51.25,0.0,0.0, , 
,52.47,832,52.5,0.0,10110110,51.85,832,36.9,5.15,479.4,52.16,0.8,0.0, , 
,53.38,832,52.5,0.0,10110110,52.77,832,35.3,5.15,459.0,53.08,0.0,0.0, , 
,54.28,800,52.5,0.0,10110110,53.69,800,36.9,5.15,479.4,53.99,0.0,0.0, , 
,55.16,800,52.5,0.0,10110110,54.56,832,36.9,5.15,479.4,54.86,0.0,0.0, , 
,56.08,800,52.5,0.0,10110110,55.46,800,36.9,5.15,479.4,55.78,0.0,0.0, , 
,56.95,800,52.5,0.0,10110110,56.39,832,36.9,5.15,479.4,56.66,0.0,0.0, , 
,57.86,832,52.5,0.0,10110110,57.25,832,36.9,5.15,479.4,57.54,0.0,0.0, , 
,58.76,832,52.5,0.0,10110110,58.17,800,36.9,5.15,479.4,58.46,0.0,0.0, , 
,59.68,832,52.5,0.0,10110110,59.07,832,36.9,5.15,479.4,59.38,0.0,0.0, , 
,60.59,800,52.5,0.0,10110110,59.99,800,36.9,5.15,459.0,60.28,0.0,0.0, , 
,61.48,832,52.5,0.0,10110110,60.88,832,36.9,5.15,479.4,61.18,0.0,0.0, , 
,62.38,832,52.5,0.0,10110110,61.79,800,36.9,5.15,479.4,62.08,0.8,0.0, , 
,63.30,832,52.5,0.0,10110110,62.69,832,35.3,5.15,479.4,63.01,0.0,0.0, , 
,64.21,832,52.5,0.0,10110110,63.61,800,35.3,5.15,459.0,63.91,0.0,0.0, , 
,65.13,832,52.5,0.0,10110110,64.52,800,35.3,5.15,459.0,64.82,0.0,0.0, , 
,66.04,832,52.5,0.0,10110110,65.43,832,35.3,5.15,459.0,65.73,0.0,0.0, , 
,66.96,800,52.5,0.0,10110110,66.35,832,35.3,5.15,459.0,66.65,0.0,0.0, , 
,67.87,832,52.5,0.0,10110110,67.26,832,35.3,5.15,459.0,67.58,0.0,0.0, , 
,68.76,832,52.5,0.0,10110110,68.16,800,35.3,5.15,459.0,68.45,0.0,0.0, , 
,69.66,832,52.5,0.0,10110110,69.06,800,36.9,5.15,479.4,69.35,0.0,0.0, , 
,70.55,832,52.5,0.0,10110110,69.95,800,35.3,4.12,459.0,70.25,0.0,0.0, , 
,71.45,832,52.5,0.0,10110110,70.86,832,35.3,4.12,459.0,71.15,0.8,0.0, , 
,72.35,832,52.5,0.0,10110110,71.75,800,35.3,5.15,459.0,72.05,0.0,0.0, , 
,73.31,800,52.5,0.0,10110110,72.68,800,35.3,5.15,459.0,72.99,0.0,0.0, , 
,74.18,800,52.5,0.0,10110110,73.59,832,35.3,5.15,459.0,73.89,0.8,0.0, , 
,75.10,832,52.5,0.0,10110110,74.49,832,36.9,5.15,479.4,74.79,0.0,0.0, , 
,76.00,800,52.5,0.0,10110110,75.40,800,36.9,4.12,479.4,75.69,0.0,0.0, , 
,76.90,800,52.5,0.0,10110110,76.30,832,36.9,5.15,479.4,76.59,0.0,0.0, , 
,77.79,832,52.5,0.0,10110110,77.20,832,36.9,5.15,479.4,77.48,0.0,0.0, , 
,78.72,832,52.5,0.0,10110110,78.10,832,36.9,5.15,479.4,78.41,0.0,0.0, , 
,79.61,800,52.5,0.0,10110110,79.01,832,35.3,5.15,459.0,79.31,0.0,0.0, , 
,80.52,800,52.5,0.0,10110110,79.91,832,36.9,5.15,479.4,80.22,0.0,0.0, , 
,81.42,832,52.5,0.0,10110110,80.82,800,36.9,5.15,479.4,81.14,0.0,0.0, , 
,82.33,832,52.5,-1.2,10111110,81.72,832,35.3,5.15,459.0,82.02,0.0,0.0, , 
,83.26,832,52.5,-2.3,10111110,82.64,832,35.3,4.12,459.0,82.94,0.0,0.0, , 
,84.16,832,52.5,-2.7,10111110,83.55,832,35.3,4.12,459.0,83.86,0.0,0.0, , 
,85.05,832,52.5,-2.7,10111110,84.46,832,35.3,4.12,459.0,84.76,0.0,0.0, , 
,85.98,832,52.5,-2.7,10111110,85.38,800,35.3,4.12,459.0,85.68,0.0,0.0, , 
,86.88,832,52.5,-2.7,10111110,86.27,832,35.3,4.12,459.0,86.57,0.0,0.0, , 
,87.81,800,54.0,-2.7,10111110,87.20,832,35.3,4.12,459.0,87.51,0.0,0.0, , 
,88.74,832,54.0,-2.3,10111110,88.12,832,35.3,4.12,459.0,88.43,0.0,0.0, , 
,89.67,800,54.0,-2.7,10111110,89.05,832,35.3,4.12,459.0,89.37,0.0,0.0, , 
,90.56,864,54.0,-3.9,10101010,89.98,832,35.3,4.12,459.0,90.28,0.0,0.0, , 
,91.53,1088,54.0,-6.6,10101010,90.88,1088,35.3,4.12,459.0,91.21,0.0,0.0, , 
,92.55,1088,54.0,0.0,10101010,91.86,896,40.0,6.18,479.4,92.20,0.0,0.0, , 
,93.51,992,54.0,-2.3,10101010,92.85,1120,38.4,5.15,479.4,93.15,0.0,0.0, , 
,94.39,992,54.0,-5.9,10101010,93.82,960,41.2,6.18,499.8,94.09,0.0,0.0, , 
,95.30,896,54.0,-5.1,10101010,94.68,960,41.2,5.15,499.8,94.98,0.0,0.0, , 
,96.26,1024,54.0,-9.4,10101010,95.59,928,38.4,4.12,479.4,95.95,0.0,0.0, , 
,97.20,1056,54.0,-7.8,10111110,96.58,1024,34.1,4.12,438.6,96.89,0.0,0.0, , 
,98.15,864,54.0,-7.0,10111110,97.52,1024,31.0,4.12,397.8,97.85,0.0,0.0, , 
,99.06,896,54.0,-5.5,10111110,98.45,864,34.1,4.12,438.6,98.74,0.0,0.0, , 
,100.01,800,54.0,-3.9,10111110,99.37,896,35.3,4.12,459.0,99.70,0.0,0.0, , 
,100.89,832,54.0,-3.5,10111110,100.31,800,35.3,4.12,459.0,100.59,0.0,0.0, , 
,101.79,832,54.0,-4.3,10111110,101.21,832,34.1,4.12,459.0,101.50,0.0,0.0, , 
,102.70,800,54.0,-4.3,10111110,102.10,832,34.1,4.12,459.0,102.39,0.8,0.0, , 
,103.62,800,54.0,-3.5,10111110,103.01,832,35.3,4.12,459.0,103.31,0.0,0.0, , 
,104.52,832,54.0,-3.5,10111110,103.92,832,35.3,4.12,459.0,104.22,0.0,0.0, , 
,105.46,832,54.0,-3.1,10111110,104.84,832,34.1,4.12,459.0,105.14,0.0,0.0, , 
,106.36,800,54.0,0.0,10101010,105.76,800,35.3,5.15,459.0,106.06,0.0,0.0, , 
,107.31,1024,55.5,-6.6,10101010,106.69,896,44.3,6.18,550.8,107.00,0.0,0.0, , 
,108.25,1056,55.5,0.0,10111110,107.62,960,41.2,5.15,499.8,107.97,0.0,0.0, , 
,109.17,768,55.5,-0.4,10111110,108.55,960,28.2,3.09,377.4,108.87,0.8,0.0, , 
,110.07,800,55.5,-7.4,10111110,109.46,800,36.9,5.15,479.4,109.77,0.0,0.0, , 
,110.94,832,55.5,0.0,10101010,110.35,768,36.9,4.12,479.4,110.64,0.0,0.0, , 
,111.85,640,55.5,0.0,10101010,111.25,896,40.0,5.15,499.8,111.56,0.0,0.0, , 
,112.76,1280,55.5,0.0,10101010,112.13,736,54.5,9.27,632.4,112.44,0.0,0.0, , 
,113.66,992,55.5,0.0,10101010,113.06,1088,44.3,6.18,520.2,113.35,0.0,0.0, , 
,114.58,1056,55.5,-5.5,10101010,113.96,1120,48.6,7.21,591.6,114.27,0.0,0.0, , 
,115.49,896,55.5,0.0,10101010,114.88,864,45.9,6.18,550.8,115.17,0.0,0.0, , 
,116.50,1152,55.5,0.0,10101010,115.82,992,48.6,7.21,591.6,116.16,0.0,0.0, , 
,117.47,1536,55.5,0.0,10101010,116.83,1280,59.2,9.27,673.2,117.13,0.0,0.0, , 
,118.52,2048,55.5,0.0,10101000,117.81,1696,62.0,10.30,693.6,118.16,0.0,0.4, , 
,119.48,1152,55.5,0.0,10111110,118.86,1536,0.0,0.00,377.4,119.18,0.0,0.0, , 
,120.47,1024,55.5,0.0,10101010,119.82,1024,32.5,5.15,418.2,120.15,0.0,0.0, , 
,121.43,1056,55.5,0.0,10101010,120.78,1056,40.0,6.18,499.8,121.11,0.0,0.0, , 
,122.35,1184,55.5,0.0,10101010,121.75,1088,54.5,8.24,632.4,122.05,0.0,0.0, , 
,123.35,1344,57.0,0.0,10101010,122.68,1216,60.4,9.27,693.6,123.01,0.0,0.0, , 
,124.53,1504,57.0,-3.5,10101010,123.73,1408,51.8,7.21,612.0,124.10,0.0,0.0, , 
,125.64,1568,57.0,-2.0,10101010,124.89,1536,40.0,5.15,479.4,125.27,0.0,0.4, , 
,126.77,1632,57.0,-1.6,10101010,126.03,1600,36.9,5.15,459.0,126.41,0.0,0.4, , 
,127.83,1664,57.0,-1.2,10101010,127.13,1632,36.9,5.15,438.6,127.47,0.0,0.4, , 
,128.90,1728,57.0,0.0,10101010,128.18,1696,35.3,5.15,438.6,128.53,0.0,0.4, , 
,130.01,1760,57.0,-0.8,10101010,129.29,1728,36.9,5.15,438.6,129.64,0.0,0.4, , 
,131.14,1824,57.0,-2.7,10101010,130.40,1792,34.1,4.12,418.2,130.78,0.0,0.4, , 
,132.30,1824,57.0,-4.3,10101010,131.52,1792,34.1,4.12,418.2,131.91,0.0,0.4, , 
,133.41,1856,57.0,-5.9,10101010,132.67,1824,32.5,4.12,397.8,133.03,0.0,0.4, , 
,134.53,1856,57.0,-9.8,10101010,133.78,1856,32.5,4.12,397.8,134.15,0.0,0.4, , 
,135.63,1824,57.0,-10.9,10101010,134.90,1856,25.1,3.09,336.6,135.26,0.0,0.4, , 
,136.73,1824,57.0,-3.1,10111110,136.01,1824,26.7,3.09,336.6,136.38,0.0,0.4, , 
,137.67,1088,57.0,0.0,10111110,137.08,1376,0.0,0.00,357.0,137.35,0.0,0.0, , 
,138.59,928,57.0,0.0,10111110,137.99,1152,29.4,3.09,397.8,138.27,0.0,0.0, , 
,139.52,864,57.0,0.0,10111110,138.92,864,32.5,4.12,418.2,139.21,0.0,0.0, , 
,140.46,864,57.0,1.6,10111110,139.82,896,34.1,4.12,438.6,140.13,0.0,0.0, , 
,141.38,896,57.0,3.5,10111110,140.77,896,34.1,4.12,438.6,141.08,0.0,0.0, , 
,142.25,896,57.0,5.1,10111110,141.67,896,34.1,4.12,438.6,141.96,0.0,0.0, , 
,143.19,896,57.0,5.5,10111110,142.55,896,34.1,4.12,438.6,142.88,0.0,0.0, , 
,144.11,800,57.0,-0.4,10111110,143.51,832,32.5,4.12,438.6,143.82,0.0,0.0, , 
,145.00,800,57.0,-2.3,10111110,144.40,800,34.1,4.12,459.0,144.69,0.0,0.0, , 
,145.92,800,58.5,0.0,10101010,145.30,832,34.1,4.12,459.0,145.61,0.0,0.0, , 
,146.84,1152,58.5,0.0,10101010,146.23,896,44.3,7.21,550.8,146.55,0.0,0.0, , 
,147.69,736,58.5,0.0,10101010,147.12,1024,54.5,9.27,632.4,147.40,0.0,0.0, , 
,148.65,1280,58.5,0.0,10101010,147.99,928,67.8,10.30,795.6,148.31,0.0,0.0, , 
,149.72,1888,58.5,0.0,10101010,149.04,1504,59.2,8.24,673.2,149.36,0.0,0.4, , 
,150.65,960,58.5,0.0,10111110,150.04,1856,0.0,0.00,377.4,150.34,0.0,0.0, , 
,151.64,1088,58.5,0.0,10101010,150.98,1120,32.5,5.15,418.2,151.32,0.0,0.0, , 
,152.59,1152,58.5,0.0,10101010,151.96,1120,41.2,6.18,499.8,152.28,0.0,0.0, , 
,153.57,1344,58.5,0.0,10101010,152.90,1216,53.3,8.24,632.4,153.25,0.0,0.0, , 
,154.46,1472,58.5,-5.9,10101010,153.91,1376,50.2,7.21,591.6,154.20,0.0,0.0, , 
,155.52,1632,58.5,-3.1,10101010,154.82,1536,42.7,6.18,520.2,155.17,0.0,0.4, , 
,156.59,1792,58.5,-2.7,10101010,155.87,1696,36.9,5.15,459.0,156.23,0.0,0.4, , 
,157.68,1920,58.5,-6.6,10101010,156.96,1856,32.5,4.12,397.8,157.33,0.0,0.4, , 
,158.78,1984,58.5,-14.5,10101000,158.05,1952,26.7,3.09,357.0,158.42,0.0,0.4, , 
,159.84,1984,58.5,-29.7,10101010,159.13,2048,17.6,2.06,244.8,159.50,0.0,0.4, , 
,160.90,1984,58.5,-23.4,10101010,160.20,2016,17.6,1.03,244.8,160.54,0.0,0.4, , 
,161.99,1952,58.5,-4.7,10101010,161.27,1984,17.6,1.03,275.4,161.63,0.0,0.4, , 
,163.07,1984,58.5,-3.9,10101000,162.35,1984,19.2,1.03,275.4,162.71,0.0,0.4, , 
,164.14,2016,60.0,2.0,10101000,163.43,1952,19.2,2.06,275.4,163.79,0.0,0.4, , 
,165.20,2016,60.0,6.3,10101000,164.48,2016,20.8,2.06,295.8,164.84,0.0,0.4, , 
,166.25,2048,60.0,7.4,10101000,165.55,2016,20.8,2.06,295.8,165.90,0.0,0.4, , 
,167.29,2080,60.0,6.3,10101000,166.61,2048,20.8,2.06,275.4,166.95,0.0,0.4, , 
,168.33,2112,60.0,1.2,10101000,167.65,2080,17.6,2.06,275.4,167.99,0.0,0.4, , 
,169.39,2144,60.0,-3.5,10101000,168.69,2112,17.6,2.06,244.8,169.04,0.0,0.4, , 
,170.43,2112,60.0,-14.5,10111100,169.74,2144,19.2,2.06,275.4,170.10,0.0,0.4, , 
,171.47,2048,60.0,-19.9,10111100,170.78,2144,17.6,2.06,275.4,171.12,0.0,0.4, , 
,172.52,2016,60.0,-23.4,10111100,171.80,2080,17.6,2.06,275.4,172.15,0.0,0.4, , 
,173.57,2016,60.0,-23.4,10101000,172.87,2016,17.6,1.03,244.8,173.23,0.0,0.4, , 
,174.61,2016,60.0,-20.3,10101000,173.92,2016,17.6,1.03,244.8,174.26,0.0,0.4, , 
,175.67,2080,60.0,-12.5,10101000,174.96,2048,17.6,1.03,244.8,175.33,0.0,0.4, , 
,176.67,2080,60.0,-7.0,10111100,176.00,2080,17.6,1.03,244.8,176.33,0.0,0.4, , 
,177.68,2080,60.0,-14.1,10111100,177.00,2112,19.2,2.06,275.4,177.34,0.0,0.4, , 
,178.71,2048,60.0,-17.6,10111100,178.03,2080,19.2,2.06,275.4,178.37,0.0,0.4, , 
,179.78,1920,60.0,-19.1,10111110,179.07,2016,19.2,2.06,275.4,179.44,0.0,0.4, , 
,180.79,1760,60.0,-17.2,10111110,180.14,1856,20.8,2.06,295.8,180.45,0.0,0.4, , 
,181.88,1600,60.0,-11.7,10111110,181.15,1696,25.1,3.09,336.6,181.51,0.0,0.4, , 
,182.86,1632,60.0,-8.6,10111110,182.22,1632,25.1,3.09,336.6,182.53,0.0,0.4, , 
,183.89,1632,60.0,-7.0,10101010,183.21,1632,25.1,3.09,336.6,183.55,0.0,0.4, , 
,184.96,1632,60.0,-8.2,10101010,184.25,1600,23.5,3.09,316.2,184.60,0.0,0.4, , 
,186.01,1696,60.0,-10.5,10101010,185.31,1664,25.1,3.09,336.6,185.68,0.0,0.4, , 
,187.06,1664,60.0,-12.9,10101010,186.38,1664,29.4,4.12,377.4,186.72,0.0,0.4, , 
,188.18,1664,60.0,-1.6,10101010,187.40,1664,42.7,6.18,499.8,187.79,0.0,0.4, , 
,189.28,1696,60.0,-1.2,10101010,188.54,1696,42.7,6.18,499.8,188.92,0.0,0.4, , 
,190.38,1792,60.0,-3.1,10101010,189.65,1728,42.7,6.18,499.8,190.00,0.0,0.4, , 
,191.48,1888,60.0,-3.1,10101010,190.74,1824,48.6,6.18,571.2,191.10,0.0,0.4, , 
,192.57,1984,60.0,-5.5,10101010,191.85,1888,50.2,7.21,571.2,192.22,0.0,0.4, , 
,193.63,2080,60.0,-7.0,10101000,192.94,2016,53.3,7.21,591.6,193.29,0.0,0.4, , 
,194.69,2144,60.0,-7.8,10101000,193.98,2080,45.9,5.15,520.2,194.34,0.0,0.4, , 
,195.73,2144,60.0,-7.8,10101000,195.05,2112,40.0,5.15,459.0,195.38,0.0,0.4, , 
,196.76,2176,60.0,-7.8,10101000,196.08,2144,47.1,6.18,550.8,196.43,0.0,0.4, , 
,197.78,2272,60.0,-5.5,10101000,197.10,2240,50.2,6.18,571.2,197.44,0.0,0.4, , 
,198.76,2368,61.5,-6.6,10101000,198.11,2304,50.2,6.18,571.2,198.44,0.0,0.4, , 
,199.78,2528,61.5,-4.3,10101000,199.10,2400,59.2,8.24,632.4,199.45,0.0,0.4, , 
,200.79,2688,61.5,-2.7,10101000,200.11,2592,66.3,9.27,714.0,200.45,0.0,0.4, , 
,201.79,1216,61.5,0.0,10111110,201.12,2432,0.0,0.00,357.0,201.50,0.0,0.4, , 
,202.83,1696,61.5,0.0,10101010,202.10,1216,31.0,5.15,397.8,202.45,0.0,0.4, , 
,203.87,1632,61.5,0.0,10101010,203.17,1632,35.3,5.15,438.6,203.52,0.0,0.4, , 
,204.94,1696,61.5,0.0,11101010,204.23,1600,72.2,12.36,795.6,204.60,0.0,0.4, , 
,206.00,1792,61.5,-5.5,11101010,205.29,1728,69.4,10.30,775.2,205.66,0.0,0.4, , 
,207.05,1824,61.5,0.0,11101010,206.33,1824,62.0,9.27,693.6,206.70,0.0,0.4, , 
,208.16,1792,61.5,-3.9,11101010,207.44,1824,35.3,4.12,418.2,207.81,0.0,0.4, , 
,209.31,1792,61.5,-5.9,11101010,208.54,1792,32.5,4.12,397.8,208.92,0.0,0.4, , 
,210.41,1792,61.5,-5.1,11101010,209.70,1792,34.1,4.12,418.2,210.06,0.0,0.4, , 
,211.54,1792,61.5,-3.5,11101010,210.78,1792,40.0,5.15,479.4,211.16,0.0,0.4, , 
,212.60,1792,61.5,-2.3,11101010,211.87,1792,38.4,5.15,459.0,212.25,0.0,0.4, , 
,213.67,1792,63.0,-2.3,11101010,212.95,1792,36.9,5.15,459.0,213.30,0.0,0.4, , 
,214.82,1792,63.0,-1.6,11101010,214.06,1792,38.4,5.15,459.0,214.44,0.0,0.4, , 
,215.90,1792,63.0,-0.4,11101010,215.19,1792,36.9,5.15,459.0,215.54,0.0,0.4, , 
