Niedziela,20,Wrzesieñ,2026,17:11:42:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.01,0,21.0,0.0,10110110,0.26,0,0.0,0.00,989.4,0.53,99.2,0.0, , 
,0.80,0,21.0,0.0,10110110,1.06,0,0.0,0.00,989.4,1.33,99.2,0.0, , 
,1.59,0,21.0,0.0,10110110,1.86,0,0.0,0.00,989.4,2.12,99.2,0.0, , 
,2.39,0,21.0,0.0,10110110,2.66,0,0.0,0.00,989.4,2.92,99.2,0.0, , 
,3.19,0,21.0,0.0,10110110,3.45,0,0.0,0.00,989.4,3.72,99.2,0.0, , 
,3.98,0,21.0,0.0,10110110,4.25,0,0.0,0.00,989.4,4.51,99.2,0.0, , 
,4.78,0,21.0,0.0,10110110,5.05,0,0.0,0.00,989.4,5.31,99.2,0.0, , 
,5.57,0,21.0,0.0,10110110,5.85,0,0.0,0.00,989.4,6.13,99.2,0.0, , 
,6.39,0,21.0,0.0,10110110,6.66,0,0.0,0.00,989.4,6.92,99.2,0.0, , 
,7.18,0,21.0,0.0,10110110,7.46,0,0.0,0.00,989.4,7.74,99.2,0.0, , 
,8.01,0,21.0,0.0,10110110,8.28,0,0.0,0.00,989.4,8.55,99.2,0.0, , 
,8.81,0,21.0,0.0,10110110,9.08,0,0.0,0.00,989.4,9.34,99.2,0.0, , 
,9.61,0,21.0,0.0,10110110,9.88,0,0.0,0.00,989.4,10.14,99.2,0.0, , 
,10.41,0,21.0,0.0,10110110,10.68,0,0.0,0.00,989.4,10.96,99.2,0.0, , 
,11.24,0,21.0,0.0,10110110,11.52,0,0.0,0.00,989.4,11.79,99.2,0.0, , 
,12.07,0,21.0,0.0,10110110,12.35,0,0.0,0.00,989.4,12.63,99.2,0.0, , 
,12.90,0,21.0,0.0,10110110,13.18,0,0.0,0.00,989.4,13.46,99.2,0.0, , 
,13.74,192,21.0,0.0,10110110,14.06,832,81.2,31.93,887.4,14.38,0.0,0.0, , 
,14.72,1280,21.0,0.0,10110110,15.05,1216,41.2,9.27,479.4,15.36,0.0,0.0, , 
,15.67,1184,21.0,0.0,10110110,15.98,1184,41.2,8.24,479.4,16.28,0.0,0.0, , 
,16.58,1184,21.0,0.0,10110110,16.88,1184,41.2,8.24,479.4,17.21,0.0,0.0, , 
,17.54,1184,21.0,0.0,10110110,17.86,1152,41.2,8.24,479.4,18.19,0.0,0.0, , 
,18.49,1152,21.0,0.0,10110110,18.83,1184,40.0,7.21,459.0,19.17,0.0,0.0, , 
,19.48,1184,21.0,0.0,10110110,19.83,1184,40.0,7.21,459.0,20.16,0.0,0.0, , 
,20.47,1184,21.0,0.0,10110110,20.80,1152,40.0,7.21,459.0,21.14,0.0,0.0, , 
,21.47,1184,21.0,0.0,10110110,21.78,1152,40.0,6.18,459.0,22.13,0.0,0.0, , 
,22.45,1184,21.0,0.0,10110110,22.78,1152,38.4,6.18,459.0,23.10,0.0,0.0, , 
,23.45,1152,21.0,0.0,10110110,23.77,1152,38.4,6.18,459.0,24.11,0.0,0.0, , 
,24.45,1152,21.0,0.0,10110110,24.78,1120,38.4,6.18,459.0,25.10,0.0,0.0, , 
,25.44,1152,21.0,0.0,10110110,25.75,1120,38.4,6.18,459.0,26.08,0.0,0.0, , 
,26.39,1120,21.0,0.0,10110110,26.73,1152,40.0,5.15,459.0,27.04,0.0,0.0, , 
,27.36,1120,21.0,0.0,10110110,27.67,1120,40.0,6.18,459.0,27.99,0.0,0.0, , 
,28.32,1120,21.0,0.0,10110110,28.67,1088,41.2,6.18,479.4,29.01,0.0,0.0, , 
,29.33,1088,21.0,0.0,10110110,29.62,1088,41.2,6.18,479.4,29.94,0.0,0.0, , 
,30.26,1120,21.0,0.0,10110110,30.59,1120,45.9,6.18,520.2,30.90,0.0,0.0, , 
,31.22,1120,21.0,0.0,10110110,31.53,1088,45.9,6.18,520.2,31.85,0.0,0.0, , 
,32.20,1088,21.0,0.0,10110110,32.52,1088,48.6,6.18,550.8,32.86,0.0,0.0, , 
,33.18,1088,21.0,0.0,10110110,33.51,1120,50.2,7.21,571.2,33.84,0.0,0.0, , 
,34.18,1152,21.0,0.0,10110110,34.51,1120,50.2,7.21,571.2,34.83,0.0,0.0, , 
,35.15,1088,21.0,0.0,10110110,35.49,1120,53.3,7.21,591.6,35.82,0.0,0.0, , 
,36.14,1152,21.0,0.0,10110110,36.48,1120,53.3,7.21,591.6,36.82,0.0,0.0, , 
,37.17,1088,21.0,0.0,10110110,37.48,1152,53.3,7.21,591.6,37.81,0.0,0.0, , 
,38.15,1120,22.5,0.0,10110110,38.50,1120,53.3,7.21,591.6,38.84,0.0,0.0, , 
,39.15,1120,22.5,0.0,10110110,39.49,1120,53.3,7.21,591.6,39.82,0.0,0.0, , 
,40.16,1120,22.5,0.0,10110110,40.50,1120,53.3,7.21,591.6,40.84,0.0,0.0, , 
,41.16,1152,22.5,0.0,10110110,41.49,1152,53.3,7.21,591.6,41.80,0.0,0.0, , 
,42.14,1152,22.5,0.0,10110110,42.48,1152,53.3,7.21,591.6,42.82,0.0,0.0, , 
,43.14,1120,22.5,0.0,10110110,43.46,1120,51.8,7.21,591.6,43.80,0.0,0.0, , 
,44.15,1120,22.5,3.5,10111110,44.48,1120,50.2,7.21,571.2,44.82,0.0,0.0, , 
,45.15,1152,22.5,7.0,10111110,45.51,1152,50.2,7.21,571.2,45.85,0.0,0.0, , 
,46.19,1184,22.5,8.2,10111110,46.52,1152,50.2,7.21,571.2,46.87,0.0,0.0, , 
,47.20,1152,22.5,8.6,10111110,47.56,1152,48.6,7.21,550.8,47.89,0.0,0.0, , 
,48.21,1152,24.0,9.0,10111110,48.56,1152,48.6,7.21,550.8,48.89,0.0,0.0, , 
,49.20,1152,24.0,9.0,10111110,49.56,1152,47.1,7.21,550.8,49.88,0.0,0.0, , 
,50.23,1152,24.0,8.6,10111110,50.57,1152,47.1,7.21,550.8,50.89,0.0,0.0, , 
,51.19,1152,24.0,8.2,10111110,51.50,1152,47.1,7.21,520.2,51.85,0.0,0.0, , 
,52.21,1152,24.0,7.8,10111110,52.54,1152,45.9,6.18,520.2,52.88,0.0,0.0, , 
,53.22,1152,24.0,7.0,10111110,53.54,1152,45.9,6.18,520.2,53.87,0.0,0.0, , 
,54.19,1152,24.0,7.0,10111110,54.53,1152,45.9,6.18,520.2,54.84,0.0,0.0, , 
,55.18,1152,24.0,7.0,10111110,55.52,1120,44.3,6.18,520.2,55.83,0.0,0.0, , 
,56.16,1120,24.0,7.4,10111110,56.48,1120,44.3,6.18,520.2,56.82,0.0,0.0, , 
,57.13,1152,24.0,7.8,10111110,57.46,1120,44.3,6.18,499.8,57.78,0.0,0.0, , 
,58.12,1120,25.5,7.4,10111110,58.45,1120,42.7,6.18,499.8,58.79,0.0,0.0, , 
,59.12,1120,25.5,7.0,10111110,59.45,1152,42.7,6.18,499.8,59.78,0.0,0.0, , 
,60.13,1120,25.5,6.6,10111110,60.45,1120,42.7,6.18,499.8,60.80,0.0,0.0, , 
,61.11,1120,25.5,6.6,10111110,61.45,1120,42.7,6.18,479.4,61.77,0.0,0.0, , 
,62.10,1120,25.5,6.3,10111110,62.42,1120,41.2,6.18,479.4,62.74,0.0,0.0, , 
,63.05,1120,25.5,6.6,10111110,63.37,1120,41.2,6.18,479.4,63.69,0.0,0.0, , 
,64.03,1120,25.5,6.6,10111110,64.36,1120,41.2,6.18,479.4,64.70,0.0,0.0, , 
,65.04,1120,25.5,7.0,10111110,65.36,1120,41.2,6.18,479.4,65.70,0.0,0.0, , 
,66.04,1120,25.5,7.0,10111110,66.39,1120,41.2,6.18,479.4,66.71,0.0,0.0, , 
,67.04,1120,27.0,6.6,10111110,67.36,1120,41.2,6.18,479.4,67.68,0.0,0.0, , 
,68.01,1120,27.0,6.6,10111110,68.33,1120,40.0,6.18,479.4,68.65,0.0,0.0, , 
,68.97,1120,27.0,6.3,10111110,69.28,1088,40.0,5.15,479.4,69.60,0.0,0.0, , 
,69.92,1088,27.0,6.3,10111110,70.26,1120,40.0,5.15,459.0,70.58,0.0,0.0, , 
,70.91,1120,27.0,5.9,10111110,71.25,1088,40.0,5.15,459.0,71.58,0.0,0.0, , 
,71.92,1088,27.0,5.5,10111110,72.24,1088,40.0,5.15,459.0,72.55,0.0,0.0, , 
,72.89,1088,27.0,5.1,10111110,73.21,1088,38.4,5.15,459.0,73.54,0.0,0.0, , 
,73.87,1088,27.0,5.5,10111110,74.19,1088,40.0,5.15,459.0,74.51,0.0,0.0, , 
,74.83,1088,27.0,5.5,10111110,75.15,1088,38.4,5.15,459.0,75.50,0.0,0.0, , 
,75.85,1088,28.5,5.1,10111110,76.16,1088,36.9,5.15,438.6,76.50,0.0,0.0, , 
,76.82,1088,28.5,4.3,10111110,77.13,1088,36.9,5.15,438.6,77.44,0.0,0.0, , 
,77.75,1088,28.5,3.9,10111110,78.09,1088,36.9,5.15,438.6,78.40,0.0,0.0, , 
,78.73,1088,28.5,3.9,10111110,79.06,1088,36.9,5.15,438.6,79.38,0.0,0.0, , 
,79.69,1088,28.5,3.5,10111110,79.99,1056,36.9,5.15,438.6,80.30,0.0,0.0, , 
,80.64,1088,28.5,3.1,10111110,80.97,1056,35.3,5.15,438.6,81.29,0.0,0.0, , 
,81.62,1056,28.5,3.1,10111110,81.95,1056,36.9,5.15,438.6,82.28,0.0,0.0, , 
,82.62,1056,28.5,2.7,10111110,82.96,1056,35.3,5.15,438.6,83.31,0.0,0.0, , 
,83.64,1088,28.5,2.7,10111110,83.97,1088,35.3,5.15,438.6,84.30,0.0,0.0, , 
,84.61,1056,28.5,2.7,10111110,84.93,1056,35.3,5.15,438.6,85.27,0.0,0.0, , 
,85.59,1088,28.5,3.5,10111110,85.93,1088,35.3,5.15,438.6,86.26,0.0,0.0, , 
,86.59,1056,30.0,3.5,10111110,86.92,1088,35.3,5.15,438.6,87.25,0.0,0.0, , 
,87.55,1088,30.0,3.5,10111110,87.86,1088,35.3,5.15,438.6,88.19,0.0,0.0, , 
,88.51,1088,30.0,4.3,10111110,88.84,1088,35.3,5.15,438.6,89.19,0.0,0.0, , 
,89.50,1088,30.0,4.7,10111110,89.82,1088,35.3,5.15,438.6,90.14,0.0,0.0, , 
,90.47,1088,30.0,4.7,10111110,90.79,1088,36.9,5.15,438.6,91.12,0.0,0.0, , 
,91.45,1088,30.0,5.1,10111110,91.75,1088,36.9,5.15,438.6,92.07,0.0,0.0, , 
,92.40,1056,30.0,5.1,10111110,92.75,1056,36.9,5.15,438.6,93.08,0.0,0.0, , 
,93.38,1056,30.0,5.1,10111110,93.68,1088,36.9,5.15,438.6,94.03,0.0,0.0, , 
,94.35,1088,30.0,5.1,10111110,94.68,1088,36.9,5.15,438.6,95.00,0.0,0.0, , 
,95.31,1088,30.0,4.7,10111110,95.64,1088,36.9,5.15,438.6,95.97,0.0,0.0, , 
,96.31,1088,30.0,4.7,10111110,96.63,1056,36.9,5.15,438.6,96.96,0.0,0.0, , 
,97.29,1056,31.5,4.7,10111110,97.63,1056,36.9,5.15,438.6,97.94,0.0,0.0, , 
,98.24,1056,31.5,4.7,10111110,98.57,1056,36.9,5.15,438.6,98.91,0.0,0.0, , 
,99.22,1056,31.5,4.7,10111110,99.54,1056,36.9,5.15,438.6,99.86,0.0,0.0, , 
,100.18,1056,31.5,4.3,10111110,100.53,1056,36.9,5.15,438.6,100.84,0.0,0.0, , 
,101.16,1056,31.5,3.9,10111110,101.48,1056,36.9,5.15,438.6,101.81,0.0,0.0, , 
,102.15,1056,31.5,3.9,10111110,102.48,1056,36.9,5.15,459.0,102.81,0.0,0.0, , 
,103.13,1056,31.5,4.3,10111110,103.45,1056,36.9,5.15,459.0,103.77,0.0,0.0, , 
,104.09,1056,31.5,4.3,10111110,104.41,1056,36.9,5.15,459.0,104.73,0.0,0.0, , 
,105.06,1056,31.5,4.3,10111110,105.38,1024,38.4,5.15,459.0,105.69,0.0,0.0, , 
,106.00,1024,33.0,4.3,10111110,106.30,1024,38.4,5.15,459.0,106.61,0.0,0.0, , 
,106.92,1024,33.0,4.7,10111110,107.24,1024,38.4,5.15,459.0,107.56,0.0,0.0, , 
,107.90,1024,33.0,4.7,10111110,108.22,1024,38.4,5.15,459.0,108.54,0.0,0.0, , 
,108.84,1024,33.0,4.7,10111110,109.17,1056,38.4,5.15,459.0,109.50,0.0,0.0, , 
,109.83,1024,33.0,4.7,10111110,110.14,1024,38.4,5.15,459.0,110.47,0.0,0.0, , 
,110.79,1024,33.0,4.3,10111110,111.11,1024,38.4,5.15,459.0,111.43,0.0,0.0, , 
,111.78,1024,33.0,4.3,10111110,112.11,1024,38.4,5.15,459.0,112.44,0.0,0.0, , 
,112.75,1024,33.0,4.3,10111110,113.07,1024,38.4,5.15,459.0,113.40,0.0,0.0, , 
,113.74,1024,33.0,3.9,10111110,114.06,1024,38.4,5.15,459.0,114.38,0.0,0.0, , 
,114.70,1024,33.0,3.9,10111110,115.03,1024,40.0,5.15,479.4,115.35,0.0,0.0, , 
,115.66,1024,33.0,3.9,10111110,115.97,1024,38.4,5.15,459.0,116.28,0.0,0.0, , 
,116.63,992,34.5,3.9,10111110,116.91,992,40.0,5.15,479.4,117.20,0.0,0.0, , 
,117.55,992,34.5,3.9,10111110,117.83,1024,40.0,5.15,479.4,118.18,0.0,0.0, , 
,118.47,1024,34.5,3.5,10111110,118.76,992,40.0,5.15,479.4,119.11,0.0,0.0, , 
,119.41,992,34.5,3.5,10111110,119.72,1024,40.0,5.15,479.4,120.06,0.0,0.0, , 
,120.35,992,34.5,3.1,10111110,120.68,992,40.0,5.15,479.4,120.98,0.0,0.0, , 
,121.30,992,34.5,3.1,10111110,121.63,992,40.0,5.15,479.4,121.98,0.0,0.0, , 
,122.34,992,34.5,3.5,10111110,122.70,992,41.2,6.18,499.8,122.97,0.0,0.0, , 
,123.24,992,34.5,3.5,10111110,123.59,992,41.2,6.18,499.8,123.90,0.0,0.0, , 
,124.24,992,34.5,3.1,10111110,124.53,992,41.2,6.18,479.4,124.84,0.0,0.0, , 
,125.19,992,34.5,2.3,10111110,125.51,992,41.2,6.18,479.4,125.87,0.0,0.0, , 
,126.23,960,36.0,1.6,10111110,126.52,960,40.0,5.15,479.4,126.78,0.0,0.0, , 
,127.05,992,36.0,1.2,10111110,127.39,960,41.2,6.18,479.4,127.74,0.0,0.0, , 
,128.08,992,36.0,1.2,10111110,128.44,992,40.0,6.18,479.4,128.79,0.0,0.0, , 
,129.08,992,36.0,1.2,10111110,129.35,992,41.2,6.18,479.4,129.63,0.0,0.0, , 
,129.89,992,36.0,1.6,10111110,130.15,992,40.0,5.15,479.4,130.48,0.0,0.0, , 
,130.83,960,36.0,2.0,10111110,131.09,960,40.0,6.18,479.4,131.45,0.0,0.0, , 
,131.81,960,36.0,2.0,10111110,132.09,960,40.0,6.18,479.4,132.45,0.0,0.0, , 
,132.78,992,36.0,2.3,10111110,133.05,960,40.0,5.15,479.4,133.36,0.0,0.0, , 
,133.72,960,36.0,2.0,10111110,134.01,992,40.0,5.15,479.4,134.30,0.0,0.0, , 
,134.66,960,36.0,1.6,10111110,134.93,992,40.0,5.15,479.4,135.27,0.0,0.0, , 
,135.61,992,36.0,1.2,10111110,135.88,992,40.0,5.15,479.4,136.22,0.0,0.0, , 
,136.52,960,37.5,1.2,10111110,136.85,960,40.0,5.15,479.4,137.12,0.0,0.0, , 
,137.44,960,37.5,1.2,10111110,137.75,960,40.0,5.15,479.4,138.05,0.0,0.0, , 
,138.36,960,37.5,2.0,10111110,138.70,960,40.0,5.15,479.4,138.98,0.0,0.0, , 
,139.30,960,37.5,2.3,10111110,139.62,928,40.0,5.15,479.4,139.94,0.0,0.0, , 
,140.25,960,37.5,2.3,10111110,140.56,960,40.0,5.15,479.4,140.88,0.0,0.0, , 
,141.19,960,37.5,2.3,10111110,141.50,960,38.4,5.15,479.4,141.80,0.0,0.0, , 
,142.12,960,37.5,2.0,10111110,142.41,960,38.4,5.15,479.4,142.69,0.0,0.0, , 
,143.00,960,37.5,2.0,10111110,143.32,960,38.4,5.15,479.4,143.63,0.0,0.0, , 
,143.94,928,37.5,2.0,10111110,144.27,960,38.4,5.15,459.0,144.57,0.0,0.0, , 
,144.88,928,37.5,2.0,10111110,145.19,960,38.4,5.15,459.0,145.49,0.0,0.0, , 
,145.80,960,37.5,2.3,10111110,146.11,960,36.9,5.15,459.0,146.43,0.0,0.0, , 
,146.76,928,39.0,2.0,10111110,147.07,928,36.9,5.15,459.0,147.36,0.0,0.0, , 
,147.66,928,39.0,1.6,10111110,147.98,928,36.9,5.15,459.0,148.28,0.0,0.0, , 
,148.61,928,39.0,2.0,10111110,148.91,928,36.9,5.15,459.0,149.22,0.0,0.0, , 
,149.51,928,39.0,2.3,10111110,149.81,928,36.9,5.15,459.0,150.13,0.0,0.0, , 
,150.42,928,39.0,2.7,10111110,150.74,960,36.9,5.15,459.0,151.03,0.0,0.0, , 
,151.34,928,39.0,3.1,10111110,151.67,928,35.3,5.15,459.0,151.99,0.0,0.0, , 
,152.30,928,39.0,3.1,10111110,152.60,928,36.9,5.15,459.0,152.91,0.0,0.0, , 
,153.21,928,39.0,2.7,10111110,153.52,928,35.3,5.15,438.6,153.82,0.0,0.0, , 
,154.13,928,39.0,2.3,10111110,154.43,928,35.3,5.15,459.0,154.75,0.0,0.0, , 
,155.04,928,39.0,2.0,10111110,155.35,928,35.3,5.15,438.6,155.65,0.0,0.0, , 
,155.97,896,39.0,1.6,10111110,156.28,928,35.3,5.15,438.6,156.60,0.0,0.0, , 
,156.91,928,39.0,2.0,10111110,157.22,896,35.3,5.15,438.6,157.52,0.0,0.0, , 
,157.83,928,40.5,2.0,10111110,158.12,896,35.3,5.15,438.6,158.43,0.0,0.0, , 
,158.76,896,40.5,2.3,10111110,159.08,928,35.3,5.15,438.6,159.38,0.0,0.0, , 
,159.67,896,40.5,2.3,10111110,159.98,928,35.3,5.15,438.6,160.30,0.0,0.0, , 
,160.62,928,40.5,2.3,10111110,160.93,928,35.3,5.15,438.6,161.25,0.0,0.0, , 
,161.56,928,40.5,2.3,10111110,161.89,928,35.3,5.15,438.6,162.21,0.0,0.0, , 
,162.53,928,40.5,2.3,10111110,162.85,928,35.3,5.15,438.6,163.17,0.0,0.0, , 
,163.48,928,40.5,2.3,10111110,163.82,896,35.3,5.15,438.6,164.12,0.0,0.0, , 
,164.43,896,40.5,2.0,10111110,164.76,928,34.1,5.15,438.6,165.08,0.0,0.0, , 
,165.39,896,40.5,1.6,10111110,165.71,896,35.3,5.15,438.6,166.00,0.0,0.0, , 
,166.32,928,40.5,1.6,10111110,166.64,896,34.1,5.15,438.6,166.95,0.0,0.0, , 
,167.29,896,40.5,2.0,10111110,167.60,896,35.3,5.15,438.6,167.92,0.0,0.0, , 
,168.24,896,40.5,1.6,10111110,168.54,928,34.1,4.12,438.6,168.86,0.0,0.0, , 
,169.17,896,42.0,1.6,10111110,169.48,832,35.3,5.15,438.6,169.79,0.0,0.0, , 
,170.10,832,42.0,0.8,10111110,170.39,832,35.3,5.15,459.0,170.69,0.0,0.0, , 
,171.00,832,42.0,0.8,10111110,171.31,832,35.3,5.15,438.6,171.62,0.0,0.0, , 
,171.94,832,42.0,0.8,10111110,172.24,832,35.3,5.15,438.6,172.54,0.0,0.0, , 
,172.86,832,42.0,0.8,10111110,173.16,832,35.3,5.15,459.0,173.49,0.0,0.0, , 
,173.79,864,42.0,0.4,10111110,174.11,832,35.3,5.15,438.6,174.39,0.0,0.0, , 
,174.69,832,42.0,0.4,10111110,174.99,832,34.1,4.12,438.6,175.30,0.0,0.0, , 
,175.59,832,42.0,0.4,10111110,175.91,832,34.1,4.12,438.6,176.21,0.0,0.0, , 
,176.49,832,42.0,0.4,10111110,176.78,832,35.3,4.12,438.6,177.08,0.0,0.0, , 
,177.38,832,42.0,0.4,10111110,177.66,832,35.3,5.15,438.6,177.97,0.0,0.0, , 
,178.28,832,42.0,0.4,10111110,178.59,832,35.3,5.15,438.6,178.88,0.0,0.0, , 
,179.18,832,42.0,0.4,10111110,179.50,832,35.3,5.15,438.6,179.80,0.0,0.0, , 
,180.10,864,42.0,0.8,10111110,180.38,832,35.3,5.15,438.6,180.68,0.0,0.0, , 
,180.97,832,43.5,0.8,10111110,181.28,832,35.3,5.15,438.6,181.58,0.0,0.0, , 
,181.89,832,42.0,0.8,10111110,182.19,832,35.3,5.15,459.0,182.48,0.0,0.0, , 
,182.79,832,43.5,0.4,10111110,183.10,800,35.3,5.15,459.0,183.40,0.0,0.0, , 
,183.70,800,43.5,0.4,10111110,184.00,832,35.3,5.15,459.0,184.31,0.0,0.0, , 
,184.62,832,43.5,0.4,10111110,184.92,832,35.3,5.15,438.6,185.23,0.0,0.0, , 
,185.54,832,43.5,0.4,10111110,185.86,832,35.3,5.15,459.0,186.18,0.0,0.0, , 
,186.48,832,43.5,0.4,10111110,186.78,832,35.3,5.15,459.0,187.08,0.0,0.0, , 
,187.37,832,43.5,0.4,10111110,187.69,832,35.3,5.15,459.0,187.99,0.0,0.0, , 
,188.28,832,43.5,0.0,10111110,188.58,832,35.3,5.15,459.0,188.89,0.0,0.0, , 
,189.19,832,43.5,0.4,10111110,189.50,832,35.3,5.15,459.0,189.81,0.0,0.0, , 
,190.11,800,43.5,0.4,10111110,190.40,832,35.3,5.15,459.0,190.72,0.0,0.0, , 
,191.02,832,43.5,0.4,10111110,191.32,832,35.3,5.15,459.0,191.66,0.0,0.0, , 
,191.96,832,43.5,0.4,10111110,192.26,832,36.9,5.15,459.0,192.57,0.0,0.0, , 
,192.89,832,43.5,1.2,10111110,193.21,832,35.3,5.15,459.0,193.53,0.0,0.0, , 
,193.82,832,43.5,0.8,10111110,194.14,832,35.3,5.15,459.0,194.44,0.0,0.0, , 
,194.73,832,43.5,1.2,10111110,195.04,832,35.3,5.15,459.0,195.33,0.0,0.0, , 
,195.64,832,43.5,1.2,10111110,195.95,832,35.3,5.15,459.0,196.25,0.0,0.0, , 
,196.56,832,43.5,1.6,10111110,196.87,832,35.3,5.15,459.0,197.17,0.0,0.0, , 
,197.47,832,43.5,1.6,10111110,197.77,832,35.3,5.15,459.0,198.06,0.0,0.0, , 
,198.35,832,43.5,1.2,10111110,198.63,832,34.1,5.15,438.6,198.93,0.0,0.0, , 
,199.24,832,45.0,0.4,10111110,199.54,832,34.1,4.12,438.6,199.83,0.0,0.0, , 
,200.12,832,45.0,-0.4,10111110,200.42,800,35.3,4.12,459.0,200.73,0.0,0.0, , 
,201.01,832,45.0,-0.4,10111110,201.30,832,35.3,4.12,459.0,201.59,0.0,0.0, , 
,201.89,832,45.0,0.0,10111110,202.19,832,34.1,4.12,438.6,202.48,0.0,0.0, , 
,202.78,832,45.0,0.4,10111110,203.08,832,34.1,5.15,438.6,203.39,0.0,0.0, , 
,203.68,832,45.0,0.8,10111110,204.00,800,35.3,5.15,459.0,204.32,0.0,0.0, , 
,204.62,832,45.0,0.4,10111110,204.93,832,35.3,5.15,459.0,205.25,0.0,0.0, , 
,205.56,832,45.0,0.0,10111110,205.85,832,35.3,5.15,459.0,206.15,0.0,0.0, , 
,206.46,832,45.0,0.4,10111110,206.74,832,35.3,5.15,459.0,207.05,0.0,0.0, , 
,207.34,832,45.0,0.8,10111110,207.64,832,34.1,5.15,438.6,207.94,0.0,0.0, , 
,208.23,832,45.0,0.8,10111110,208.53,832,35.3,5.15,459.0,208.85,0.0,0.0, , 
,209.17,832,45.0,0.8,10111110,209.47,832,34.1,4.12,438.6,209.77,0.0,0.0, , 
,210.09,832,45.0,0.8,10111110,210.41,832,35.3,4.12,438.6,210.71,0.0,0.0, , 
,211.00,832,45.0,0.4,10111110,211.30,832,34.1,4.12,438.6,211.60,0.0,0.0, , 
,211.92,832,45.0,0.4,10111110,212.22,832,35.3,5.15,459.0,212.53,0.0,0.0, , 
,212.84,832,45.0,0.4,10111110,213.15,832,35.3,5.15,438.6,213.47,0.0,0.0, , 
,213.77,832,45.0,0.0,10111110,214.06,832,34.1,5.15,438.6,214.38,0.0,0.0, , 
,214.66,832,45.0,0.0,10111110,214.97,832,35.3,5.15,459.0,215.27,0.0,0.0, , 
