Środa,05,Sierpień,2026,13:57:47:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.25,768,66.0,0.0,10110110,0.54,800,35.3,5.15,479.4,0.85,0.0,1.48, , 
,1.14,800,64.5,0.0,10110110,1.45,800,35.3,5.15,459.0,1.73,0.0,1.48, , 
,2.03,800,64.5,0.0,10110110,2.32,800,35.3,5.15,459.0,2.62,0.0,1.48, , 
,2.92,800,64.5,0.0,10110110,3.22,800,35.3,5.15,459.0,3.53,0.0,1.48, , 
,3.84,800,64.5,0.0,10110110,4.13,800,35.3,5.15,459.0,4.43,0.0,1.48, , 
,4.72,800,64.5,0.0,10110110,5.04,800,35.3,5.15,479.4,5.35,0.0,1.48, , 
,5.67,800,64.5,0.0,10110110,5.96,800,35.3,4.12,459.0,6.27,0.0,1.48, , 
,6.57,800,64.5,0.0,10110110,6.86,800,35.3,5.15,479.4,7.18,0.0,1.48, , 
,7.47,800,64.5,0.0,10110110,7.78,800,35.3,5.15,459.0,8.08,0.0,1.48, , 
,8.37,800,64.5,0.0,10110110,8.66,832,38.4,5.15,499.8,8.96,0.0,1.48, , 
,9.27,832,64.5,0.0,10110110,9.57,832,36.9,5.15,479.4,9.88,0.0,1.48, , 
,10.18,832,63.0,0.0,10110110,10.45,832,36.9,5.15,479.4,10.74,0.0,1.48, , 
,11.05,800,63.0,0.0,10110110,11.35,800,36.9,5.15,479.4,11.64,0.0,1.48, , 
,11.95,800,63.0,0.0,10110110,12.24,800,36.9,5.15,479.4,12.56,0.0,1.48, , 
,12.87,800,63.0,0.0,10110110,13.16,800,36.9,5.15,479.4,13.48,0.0,1.48, , 
,13.80,736,63.0,0.0,10110110,14.10,768,40.0,5.15,499.8,14.40,0.0,1.48, , 
,14.70,768,63.0,0.0,10110110,15.00,768,38.4,5.15,499.8,15.30,0.0,1.48, , 
,15.60,768,63.0,0.0,10110110,15.90,800,40.0,5.15,520.2,16.21,0.0,1.52, , 
,16.51,800,63.0,0.0,10110110,16.80,832,40.0,5.15,499.8,17.11,0.0,1.52, , 
,17.42,800,63.0,0.0,10110110,17.73,800,40.0,5.15,499.8,18.05,0.0,1.52, , 
,18.36,800,63.0,0.0,10110110,18.64,800,40.0,5.15,499.8,18.95,0.0,1.56, , 
,19.23,768,61.5,0.0,10110110,19.52,800,40.0,5.15,520.2,19.83,0.0,1.56, , 
,20.13,800,61.5,0.0,10110110,20.42,800,40.0,5.15,520.2,20.71,0.0,1.64, , 
,21.02,800,61.5,0.0,10110110,21.32,832,40.0,5.15,499.8,21.62,0.0,1.64, , 
,21.94,832,61.5,0.0,10110110,22.24,832,40.0,5.15,499.8,22.54,0.0,1.60, , 
,22.85,800,61.5,0.0,10110110,23.15,800,40.0,5.15,499.8,23.45,0.0,1.60, , 
,23.74,800,61.5,0.0,10110110,24.05,800,40.0,5.15,499.8,24.36,0.0,1.60, , 
,24.68,800,61.5,0.0,10110110,24.98,800,40.0,5.15,520.2,25.29,0.0,1.60, , 
,25.59,832,61.5,0.0,10110110,25.88,832,40.0,5.15,520.2,26.19,0.0,1.56, , 
,26.49,832,61.5,0.0,10110110,26.78,800,40.0,5.15,499.8,27.10,0.0,1.56, , 
,27.41,832,61.5,0.0,10110110,27.71,832,40.0,5.15,499.8,28.01,0.0,1.56, , 
,28.32,832,61.5,0.0,10110110,28.62,800,40.0,5.15,520.2,28.92,0.0,1.60, , 
,29.21,800,61.5,0.0,10110110,29.51,800,40.0,5.15,499.8,29.81,0.0,1.60, , 
,30.11,800,61.5,0.0,10110110,30.41,800,40.0,5.15,499.8,30.70,0.0,1.56, , 


Środa,05,Sierpień,2026,14:00:46:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.61,800,72.0,-7.0,10111110,0.01,800,35.3,4.12,479.4,0.31,-7.0,1.52, , 
,1.65,1952,72.0,0.0,10101010,0.89,800,62.0,12.36,632.4,1.29,0.0,0.12, , 
,2.74,1600,72.0,0.0,10101010,2.03,1856,66.3,10.30,754.8,2.40,0.0,1.02, , 
,3.77,1920,72.0,0.0,10111110,3.11,1856,72.2,11.33,795.6,3.45,0.0,1.09, , 
,4.75,1248,72.0,0.0,10101010,4.09,1344,0.0,0.00,377.4,4.43,0.0,3.36, , 
,5.84,1536,72.0,0.0,10101010,5.08,1344,57.6,9.27,673.2,5.47,0.0,0.94, , 
,6.95,1792,72.0,0.0,10101010,6.20,1600,62.0,10.30,693.6,6.59,0.0,1.05, , 
,8.02,2016,72.0,-3.1,10101000,7.31,1824,59.2,7.21,673.2,7.66,-3.5,1.48, , 
,9.04,2272,72.0,-2.3,10101000,8.37,2112,54.5,7.21,632.4,8.70,-2.3,1.56, , 
,10.05,2496,72.0,-1.2,10101000,9.37,2304,59.2,8.24,652.8,9.71,-2.3,1.45, , 
,11.11,2656,72.0,2.3,10101000,10.39,2528,54.5,7.21,612.0,10.76,1.2,1.56, , 
,12.12,1440,72.0,0.0,10111110,11.45,2624,0.0,0.00,397.8,11.81,0.0,3.59, , 
,13.13,1792,72.0,0.0,10101010,12.42,960,28.2,4.12,377.4,12.77,0.0,2.70, , 
,14.26,1696,72.0,-5.5,10101010,13.50,1696,22.0,3.09,316.2,13.86,0.0,1.17, , 
,15.32,1696,73.5,-3.5,10101010,14.60,1696,25.1,3.09,336.6,14.99,-3.1,1.52, , 
,16.40,1728,73.5,-1.6,10101010,15.69,1696,32.5,4.12,418.2,16.02,-2.0,1.56, , 
,17.32,992,73.5,0.0,10111110,16.72,1568,0.0,0.00,397.8,17.04,0.0,2.97, , 
,18.22,864,73.5,0.0,10111110,17.60,992,31.0,4.12,418.2,17.90,0.0,1.25, , 
,19.14,864,73.5,0.0,10111110,18.52,864,31.0,4.12,438.6,18.83,0.0,1.13, , 
,20.08,864,73.5,-2.3,10111110,19.47,864,32.5,4.12,438.6,19.79,-1.6,1.41, , 
,21.02,896,73.5,-2.7,10111110,20.39,864,34.1,4.12,459.0,20.71,-2.7,1.48, , 
,21.93,864,73.5,-2.0,10111110,21.32,896,34.1,4.12,438.6,21.62,-2.3,1.52, , 
,22.85,896,73.5,-1.2,10111110,22.23,864,34.1,4.12,459.0,22.55,-1.6,1.52, , 
,23.72,896,73.5,-0.4,10111110,23.15,896,34.1,4.12,459.0,23.42,-0.8,1.52, , 
,24.66,864,73.5,0.0,10111110,24.04,864,34.1,4.12,459.0,24.35,0.0,1.48, , 
,25.56,864,73.5,-0.4,10111110,24.97,896,35.3,4.12,459.0,25.28,0.0,1.45, , 
,26.49,800,73.5,-0.8,10111110,25.88,896,34.1,4.12,459.0,26.19,-0.8,1.45, , 
,27.39,800,73.5,-2.7,10111110,26.79,800,34.1,4.12,459.0,27.09,-2.0,1.33, , 
,28.31,800,73.5,-5.9,10111110,27.69,800,34.1,4.12,459.0,27.99,-5.1,1.33, , 
,29.20,800,73.5,-6.6,10111110,28.60,800,34.1,4.12,459.0,28.89,-6.3,1.45, , 
,30.12,800,73.5,-7.4,10111110,29.50,768,34.1,4.12,459.0,29.81,-7.0,1.45, , 
,31.03,800,73.5,-8.6,10101010,30.42,800,34.1,4.12,459.0,30.72,-7.4,1.48, , 
,31.99,928,75.0,-9.8,10101010,31.36,832,35.3,4.12,459.0,31.68,-9.0,1.48, , 
,32.96,1216,75.0,0.0,10101010,32.28,928,44.3,7.21,550.8,32.61,0.0,1.41, , 
,33.87,800,75.0,0.0,10101010,33.30,1056,51.8,7.21,632.4,33.57,0.0,1.45, , 
,34.83,1184,75.0,0.0,10101010,34.17,864,53.3,7.21,652.8,34.50,0.0,1.17, , 
,35.84,1920,75.0,0.0,10101010,35.13,1344,71.0,12.36,795.6,35.48,0.0,0.66, , 
,36.79,1152,75.0,0.0,10101010,36.17,1632,0.0,0.00,397.8,36.48,0.0,3.40, , 
,37.76,1312,75.0,0.0,10101010,37.10,1152,72.2,12.36,846.6,37.42,0.0,0.94, , 
,38.81,1600,75.0,0.0,10101010,38.10,1376,78.4,12.36,887.4,38.45,0.0,0.82, , 
,39.90,1824,75.0,0.0,10101010,39.18,1728,69.4,9.27,795.6,39.54,0.0,1.37, , 
,40.97,1920,75.0,-0.4,10101010,40.26,1856,42.7,5.15,499.8,40.62,0.0,1.48, , 
,42.05,1952,75.0,-0.8,10101010,41.33,1920,38.4,5.15,459.0,41.69,-0.8,1.48, , 
,43.16,1856,75.0,10.5,10101010,42.42,1952,20.8,2.06,295.8,42.78,0.0,1.72, , 
,44.25,1696,75.0,-0.8,10101010,43.53,1792,19.2,2.06,275.4,43.92,-5.5,1.17, , 
,45.29,1664,75.0,-8.2,10101010,44.61,1696,22.0,2.06,316.2,44.95,-7.0,1.29, , 
,46.34,1568,75.0,-9.0,10111110,45.62,1632,22.0,2.06,316.2,45.97,-10.2,1.41, , 
,47.36,1440,75.0,-7.0,10111110,46.66,1536,23.5,3.09,336.6,47.02,-7.8,1.56, , 
,48.37,1408,75.0,0.0,10101010,47.71,1376,26.7,3.09,357.0,48.04,0.0,1.45, , 
,49.41,1664,75.0,0.0,10101010,48.73,1504,60.4,9.27,714.0,49.07,0.0,1.13, , 
,50.53,1856,76.5,-0.8,10101010,49.78,1696,57.6,8.24,673.2,50.17,-0.8,1.52, , 
,51.61,2176,76.5,-3.1,10101000,50.89,1984,62.0,8.24,714.0,51.25,-1.6,1.45, , 
,52.61,2400,76.5,-0.8,10101000,51.95,2240,59.2,7.21,652.8,52.28,-1.6,1.56, , 
,53.62,1056,76.5,0.0,10101010,52.95,2304,0.0,0.00,377.4,53.31,0.0,3.48, , 
,54.67,1568,76.5,0.0,10101010,53.94,960,34.1,5.15,438.6,54.32,0.0,1.56, , 
,55.77,1504,76.5,-4.7,10101010,55.00,1536,23.5,3.09,336.6,55.40,-7.0,1.05, , 
,56.84,1568,76.5,0.0,10101010,56.15,1536,35.3,4.12,459.0,56.49,0.0,1.52, , 
,57.92,1632,76.5,0.0,10101010,57.21,1600,65.1,9.27,754.8,57.55,0.0,1.48, , 
,58.96,1696,76.5,3.9,10101010,58.29,1664,45.9,6.18,550.8,58.63,3.1,1.60, , 
,60.08,1760,76.5,3.5,10101010,59.34,1696,41.2,5.15,499.8,59.71,3.9,1.52, , 
,61.17,1760,76.5,1.2,10101010,60.42,1760,35.3,4.12,438.6,60.78,1.6,1.37, , 
,62.24,1792,76.5,0.8,10101010,61.52,1792,34.1,4.12,438.6,61.91,1.2,1.45, , 
,63.30,1792,76.5,-3.5,10101010,62.56,1792,32.5,4.12,418.2,62.94,-2.0,1.33, , 
,64.41,1856,76.5,-0.4,10101010,63.67,1824,42.7,6.18,499.8,64.04,0.0,1.45, , 
,65.54,1888,78.0,0.4,10101010,64.78,1856,44.3,6.18,520.2,65.16,0.8,1.48, , 
,66.65,1952,78.0,-2.0,10101010,65.90,1888,41.2,5.15,499.8,66.27,-1.2,1.45, , 
,67.71,1856,78.0,0.0,10101010,67.00,1952,38.4,5.15,479.4,67.37,0.0,1.41, , 
,68.80,1888,78.0,-5.1,10111110,68.07,1984,17.6,2.06,275.4,68.42,10.5,1.88, , 
,69.88,1792,78.0,0.0,10111110,69.17,1792,20.8,2.06,295.8,69.53,0.0,1.29, , 
,70.91,1696,78.0,0.0,10111110,70.23,1760,0.0,0.00,316.2,70.56,0.0,3.95, , 
,71.90,1600,78.0,0.0,10111110,71.25,1664,0.0,0.00,316.2,71.56,0.0,3.98, , 
,72.90,1536,78.0,0.0,10111110,72.23,1600,0.0,0.00,316.2,72.56,0.0,3.91, , 
,74.06,1440,78.0,0.0,10101010,73.28,1536,0.0,0.00,316.2,73.62,0.0,3.32, , 
,75.09,1440,78.0,-8.2,10101010,74.43,1472,25.1,3.09,357.0,74.79,0.0,0.94, , 
,76.22,1440,78.0,-9.0,10101010,75.48,1440,26.7,3.09,377.4,75.87,-8.2,1.37, , 
,77.27,1344,79.5,-9.8,10111110,76.58,1440,25.1,3.09,357.0,76.93,-9.0,1.48, , 
,78.21,800,78.0,-9.4,10111110,77.60,1152,23.5,3.09,336.6,77.90,-9.8,1.52, , 
,79.13,896,78.0,-9.4,10111110,78.51,864,34.1,4.12,459.0,78.81,-9.4,1.45, , 
,80.03,864,78.0,-8.6,10111110,79.43,864,31.0,4.12,438.6,79.73,-9.0,1.52, , 
,80.95,864,78.0,-6.3,10111110,80.34,864,34.1,4.12,459.0,80.64,-7.4,1.60, , 
,81.86,864,78.0,-4.3,10111110,81.25,864,34.1,4.12,459.0,81.55,-5.1,1.56, , 
,82.85,1504,78.0,-3.9,10101010,82.16,864,34.1,4.12,459.0,82.51,-2.7,1.52, , 
,83.99,1472,78.0,0.0,10101010,83.17,1440,35.3,5.15,459.0,83.53,0.0,1.48, , 
,85.10,1760,79.5,0.0,10101010,84.34,1568,73.7,11.33,846.6,84.72,0.0,1.13, , 
,86.16,2144,79.5,-7.0,10101000,85.46,1888,79.6,12.36,887.4,85.81,-4.7,1.37, , 
,87.16,2464,79.5,-9.0,10101000,86.51,2240,73.7,9.27,826.2,86.84,-8.6,1.48, , 
,88.20,1792,79.5,0.0,11111110,87.51,2560,75.3,9.27,826.2,87.84,0.0,1.68, , 
,89.22,1696,79.5,0.0,11101010,88.51,1472,31.0,5.15,397.8,88.87,0.0,1.05, , 
,90.29,1760,79.5,0.0,11101010,89.58,1728,53.3,7.21,632.4,89.94,0.0,1.33, , 
,91.39,1856,79.5,0.0,11101010,90.65,1792,56.1,8.24,652.8,91.02,0.0,1.56, , 
,92.52,1856,79.5,-2.7,11101011,91.76,1856,38.4,5.15,479.4,92.14,-1.2,1.41, , 
,93.42,896,79.5,0.0,11111111,92.82,1568,0.0,0.00,336.6,93.11,0.0,3.24, , 
,94.36,864,79.5,0.0,11111111,93.75,896,34.1,5.15,459.0,94.07,0.0,1.37, , 
,95.26,864,79.5,0.0,11111111,94.66,864,31.0,4.12,438.6,94.96,0.0,0.86, , 
,96.17,864,79.5,-3.1,11111111,95.56,864,32.5,4.12,438.6,95.87,-2.7,1.33, , 
,97.11,864,79.5,-3.5,11111111,96.50,896,32.5,4.12,438.6,96.81,-3.5,1.48, , 
,98.04,800,79.5,-3.1,11111111,97.41,864,32.5,4.12,438.6,97.73,-3.5,1.52, , 
,98.92,800,79.5,0.0,11101011,98.33,800,32.5,4.12,438.6,98.62,-3.9,1.48, , 
,99.89,1216,79.5,0.0,11101011,99.22,992,42.7,6.18,550.8,99.56,0.0,1.45, , 
,100.89,992,79.5,0.0,11101011,100.25,1376,53.3,8.24,652.8,100.59,0.0,1.29, , 
,101.92,1568,81.0,-4.3,11101011,101.22,1184,57.6,8.24,693.6,101.57,-6.3,1.05, , 
,102.91,928,81.0,0.0,11111111,102.25,1728,36.9,4.12,479.4,102.58,0.0,2.58, , 
,103.83,864,81.0,0.0,11111111,103.23,960,32.5,4.12,438.6,103.52,0.0,1.52, , 
