Piątek,07,Sierpień,2026,13:48:01:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.59,800,61.5,-10.9,10111110,0.89,800,34.1,4.12,459.0,0.28,-10.9,1.41, , 
,1.50,832,61.5,-11.3,10111110,1.79,800,34.1,4.12,459.0,1.19,-11.3,1.45, , 
,2.39,800,61.5,-11.3,10111110,2.70,800,34.1,4.12,459.0,2.10,-11.3,1.48, , 
,3.30,1472,61.5,0.0,10101010,3.64,2016,35.3,4.12,438.6,2.98,0.0,1.48, , 
,4.34,1440,61.5,0.0,10101010,4.66,1408,44.3,6.18,520.2,3.99,0.0,1.21, , 
,5.45,1536,61.5,0.0,10101010,5.76,1472,48.6,7.21,571.2,5.12,0.0,1.09, , 
,6.40,1408,61.5,0.0,10101010,6.79,1536,50.2,7.21,591.6,6.08,0.0,1.21, , 
,7.52,1728,61.5,0.0,10111110,7.80,1120,31.0,4.12,418.2,7.16,0.0,0.94, , 
,8.44,1120,61.5,0.0,10101010,8.77,1184,59.2,9.27,693.6,8.12,0.0,3.05, , 
,9.41,1248,61.5,-6.3,10101010,9.75,1312,48.6,7.21,591.6,9.10,0.0,0.82, , 
,10.43,1408,61.5,-8.2,10101010,10.89,1472,48.6,6.18,571.2,10.11,-7.4,1.33, , 
,11.62,1568,61.5,-7.0,10101010,11.99,1632,44.3,6.18,520.2,11.24,-7.4,1.52, , 
,12.70,1760,61.5,0.0,10101010,13.03,1792,59.2,9.27,673.2,12.36,-6.3,1.56, , 
,13.76,1952,61.5,-4.7,10101010,14.12,2016,50.2,6.18,571.2,13.40,0.0,0.94, , 
,14.83,2144,61.5,-3.5,10101000,15.18,2208,45.9,6.18,520.2,14.48,-3.5,1.52, , 
,15.86,2272,61.5,-3.1,10101000,16.22,2336,48.6,6.18,520.2,15.50,-3.1,1.48, , 
,16.93,2464,61.5,0.0,10101000,17.27,2592,57.6,7.21,652.8,16.59,-3.5,1.45, , 
,17.90,1504,63.0,0.0,10111110,18.23,960,28.2,4.12,377.4,17.60,0.0,3.09, , 
,18.97,1632,63.0,0.0,10101010,19.35,1632,25.1,3.09,336.6,18.61,0.0,3.05, , 
,20.07,1632,63.0,-14.8,10101010,20.42,1632,25.1,3.09,336.6,19.71,0.0,0.70, , 
,21.13,1600,63.0,-17.6,10111110,21.49,1632,25.1,2.06,336.6,20.76,-14.8,1.37, , 
,22.20,1568,63.0,-18.4,10111110,22.51,1536,25.1,2.06,336.6,21.86,-17.6,1.52, , 
,23.14,1504,63.0,-17.2,10101010,23.56,1504,26.7,3.09,357.0,22.86,-16.8,1.60, , 
,24.25,1504,63.0,0.0,10101010,24.62,1504,42.7,6.18,499.8,23.98,0.0,1.37, , 
,25.34,1536,63.0,-3.9,10101010,25.68,1536,41.2,5.15,499.8,24.98,-3.5,1.25, , 
,26.41,1600,63.0,-7.0,10101010,26.76,1568,31.0,4.12,397.8,26.06,-5.1,1.45, , 
,27.48,1568,63.0,-9.8,10101010,27.82,1568,26.7,3.09,357.0,27.11,-9.4,1.41, , 
,28.51,1600,63.0,-7.4,10101010,28.87,1600,32.5,4.12,418.2,28.17,0.0,1.33, , 
,29.57,1600,63.0,-9.4,10101010,29.92,1632,34.1,4.12,418.2,29.20,-8.6,1.37, , 
,30.67,1696,63.0,-5.1,10101010,31.02,1696,35.3,4.12,438.6,30.30,-8.6,1.56, , 
,31.74,1696,63.0,-6.6,10101010,32.11,1696,34.1,4.12,418.2,31.37,-5.9,1.52, , 
,32.80,1696,63.0,0.0,10111110,33.18,1728,25.1,3.09,336.6,32.45,-6.6,1.48, , 
,33.89,1696,63.0,-7.4,10111110,34.23,1664,22.0,2.06,316.2,33.51,-5.1,1.25, , 
,34.92,1664,63.0,-12.5,10101010,35.26,1632,23.5,3.09,316.2,34.60,-10.9,1.25, , 
,35.95,1632,63.0,-8.2,10101010,36.30,1664,51.8,8.24,612.0,35.60,-8.6,1.45, , 
,36.99,1696,64.5,0.0,10101010,37.34,1696,36.9,4.12,459.0,36.66,0.0,1.37, , 
,38.05,1728,64.5,0.8,10101010,38.45,1728,35.3,4.12,438.6,37.68,1.2,1.56, , 
,39.17,1728,64.5,1.2,10101010,39.50,1728,35.3,4.12,438.6,38.81,1.2,1.48, , 
,40.25,1760,64.5,0.8,10101010,40.61,1760,34.1,4.12,418.2,39.88,1.6,1.48, , 
,41.36,1760,64.5,-1.2,10101010,41.71,1760,34.1,4.12,418.2,40.97,-0.4,1.41, , 
,42.40,1760,64.5,0.0,10101010,42.79,1792,40.0,5.15,479.4,42.05,0.0,1.52, , 
,43.48,1792,64.5,1.6,10101010,43.86,1824,36.9,4.12,459.0,43.12,1.2,1.52, , 
,44.59,1792,64.5,0.0,10111110,44.96,1792,22.0,3.09,316.2,44.21,0.0,1.48, , 
,45.69,1760,64.5,-8.2,10111110,46.05,1728,23.5,2.06,316.2,45.33,-7.8,1.17, , 
,46.75,1664,64.5,-8.6,10101010,47.08,1696,23.5,2.06,316.2,46.40,-7.8,1.48, , 
,47.81,1696,64.5,-3.5,10101010,48.15,1696,36.9,4.12,438.6,47.46,-3.9,1.52, , 
,48.91,1728,64.5,2.3,10101010,49.28,1728,35.3,4.12,438.6,48.53,0.4,1.64, , 
,50.00,1760,64.5,5.1,10101010,50.39,1760,35.3,4.12,438.6,49.65,3.9,1.56, , 
,51.16,1792,64.5,5.5,10101010,51.53,1792,34.1,4.12,418.2,50.78,5.5,1.45, , 
,52.30,1792,64.5,3.5,10101010,52.67,1824,31.0,4.12,397.8,51.92,3.9,1.37, , 
,53.42,1824,66.0,2.7,10101010,53.80,1824,31.0,4.12,397.8,53.05,3.1,1.45, , 
,54.51,1856,66.0,1.2,10101010,54.88,1856,32.5,3.09,397.8,54.17,1.6,1.37, , 
,55.62,1856,66.0,0.8,10101010,55.99,1856,31.0,3.09,397.8,55.25,1.2,1.45, , 
,56.72,1856,66.0,-5.5,10101010,57.09,1856,28.2,3.09,357.0,56.36,-5.5,1.41, , 
,57.82,1824,66.0,-6.6,10101010,58.18,1824,25.1,3.09,336.6,57.44,-4.7,1.48, , 
,58.82,1792,66.0,-9.4,10101010,59.19,1792,20.8,2.06,295.8,58.49,-8.2,1.37, , 
,59.92,1760,66.0,-9.4,10101010,60.27,1728,22.0,2.06,316.2,59.56,-9.8,1.41, , 
,60.98,1728,66.0,-12.1,10101010,61.33,1728,23.5,2.06,316.2,60.63,-10.5,1.45, , 
,62.07,1696,66.0,-13.3,10101010,62.42,1696,23.5,2.06,336.6,61.70,-13.3,1.45, , 
,63.16,1664,66.0,-13.3,10101010,63.51,1664,23.5,2.06,336.6,62.77,-13.7,1.48, , 
,64.23,1632,66.0,-14.5,10101010,64.59,1632,23.5,2.06,336.6,63.86,-14.5,1.45, , 
,65.29,1600,66.0,-14.1,10101010,65.63,1600,25.1,3.09,336.6,64.94,-14.8,1.48, , 
,66.38,1600,66.0,-14.5,10101010,66.78,1600,25.1,3.09,336.6,66.00,-14.1,1.52, , 
,67.46,1568,67.5,-13.7,10111110,67.79,1568,0.0,0.00,336.6,67.12,-14.1,1.48, , 
,68.45,1024,67.5,0.0,10111110,68.79,1120,29.4,4.12,397.8,68.13,0.0,2.50, , 
,69.39,960,67.5,0.0,10111110,69.72,928,29.4,4.12,397.8,69.09,0.0,0.90, , 
,70.33,928,67.5,-2.7,10111110,70.64,928,29.4,3.09,418.2,70.03,0.0,0.94, , 
,71.25,864,67.5,-8.2,10111110,71.57,896,31.0,3.09,418.2,70.96,-6.6,1.21, , 
,72.18,864,67.5,-9.4,10111110,72.48,864,31.0,3.09,418.2,71.88,-9.4,1.41, , 
,73.09,864,67.5,-9.4,10111110,73.39,896,31.0,3.09,418.2,72.79,-9.4,1.48, , 
,74.02,864,67.5,-9.8,10111110,74.33,896,31.0,3.09,418.2,73.69,-9.4,1.48, , 
,74.95,864,67.5,-10.2,10111110,75.24,864,31.0,3.09,418.2,74.63,-10.2,1.45, , 
,75.87,896,67.5,-10.9,10111110,76.16,864,31.0,3.09,418.2,75.56,-10.9,1.45, , 
,76.78,864,67.5,-11.7,10111110,77.07,864,32.5,3.09,438.6,76.48,-11.7,1.45, , 
,77.68,864,67.5,-11.7,10111110,77.99,864,32.5,3.09,438.6,77.38,-11.7,1.52, , 
,78.63,864,67.5,-10.9,10111110,78.93,896,32.5,3.09,438.6,78.30,-11.3,1.52, , 
,79.56,896,67.5,-10.5,10111110,79.86,864,32.5,4.12,438.6,79.25,-10.5,1.52, , 
,80.49,896,67.5,-10.5,10111110,80.80,896,32.5,4.12,438.6,80.19,-10.5,1.48, , 
,81.43,896,67.5,-10.5,10111110,81.74,896,32.5,4.12,438.6,81.11,-10.5,1.48, , 
,82.37,864,67.5,-10.2,10111110,82.68,800,31.0,3.09,418.2,82.06,-10.2,1.52, , 
,83.28,768,67.5,-10.5,10111110,83.56,800,35.3,4.12,459.0,82.98,-10.2,1.41, , 
,84.18,800,67.5,-10.9,10111110,84.49,800,34.1,4.12,459.0,83.86,-10.9,1.48, , 
,85.05,800,67.5,-10.5,10111110,85.36,800,32.5,4.12,459.0,84.76,-10.5,1.48, , 
,85.96,800,67.5,-10.5,10111110,86.27,800,34.1,4.12,459.0,85.67,-10.5,1.48, , 
,86.88,800,67.5,-10.5,10111110,87.19,800,34.1,4.12,459.0,86.57,-10.5,1.48, , 
,87.78,800,67.5,-9.8,10111110,88.08,800,34.1,4.12,459.0,87.49,-10.2,1.48, , 
,88.69,800,69.0,-9.4,10111110,88.97,800,32.5,4.12,438.6,88.38,-9.4,1.45, , 
,89.59,800,69.0,-9.8,10111110,89.88,800,32.5,4.12,459.0,89.29,-9.8,1.41, , 
,90.50,800,69.0,-10.2,10111110,90.82,800,34.1,4.12,459.0,90.20,-10.2,1.45, , 
,91.44,800,69.0,-10.9,10111110,91.75,800,34.1,4.12,459.0,91.12,-10.5,1.45, , 
,92.33,800,69.0,-11.3,10111110,92.64,800,34.1,4.12,459.0,92.05,-11.3,1.45, , 
,93.23,800,69.0,-10.9,10111110,93.52,800,34.1,4.12,459.0,92.94,-10.9,1.48, , 
,94.14,800,69.0,-10.5,10111110,94.45,800,34.1,4.12,459.0,93.83,-10.9,1.48, , 
,95.01,800,69.0,-10.5,10111110,95.33,800,34.1,4.12,459.0,94.74,-10.5,1.45, , 
,95.91,768,69.0,-11.3,10111110,96.21,800,34.1,4.12,459.0,95.61,-10.9,1.41, , 
,96.83,800,69.0,-11.3,10111110,97.14,800,34.1,4.12,459.0,96.52,-11.3,1.48, , 
,97.76,800,69.0,-11.3,10111110,98.05,800,34.1,4.12,459.0,97.47,-11.3,1.48, , 
,98.65,800,69.0,-10.9,10111110,98.94,800,34.1,4.12,459.0,98.35,-10.9,1.48, , 
,99.57,800,69.0,-10.9,10111110,99.88,800,34.1,4.12,459.0,99.26,-10.9,1.48, , 
,100.48,800,69.0,-10.9,10111110,100.78,800,34.1,4.12,459.0,100.18,-10.9,1.45, , 
,101.38,800,69.0,-11.3,10111110,101.69,800,34.1,4.12,459.0,101.08,-11.3,1.48, , 
,102.31,800,69.0,-11.7,10111110,102.61,800,34.1,4.12,459.0,102.01,-11.7,1.45, , 
,103.22,800,69.0,-11.3,10111110,103.53,800,34.1,4.12,459.0,102.91,-11.3,1.48, , 
,104.14,800,69.0,-11.3,10111110,104.44,768,34.1,4.12,459.0,103.84,-11.3,1.45, , 
,105.06,768,69.0,-11.3,10111110,105.36,800,35.3,4.12,479.4,104.75,-11.3,1.48, , 
,105.99,800,70.5,-11.3,10111110,106.29,800,35.3,4.12,479.4,105.68,-11.3,1.48, , 
,106.88,800,70.5,-11.3,10111110,107.18,800,34.1,4.12,459.0,106.59,-11.3,1.48, , 
,107.80,800,70.5,-10.9,10111110,108.10,800,34.1,4.12,459.0,107.50,-10.9,1.52, , 
,108.72,800,70.5,-10.2,10111110,109.02,800,34.1,4.12,459.0,108.40,-10.2,1.48, , 
,109.64,800,70.5,-10.5,10111110,109.96,768,34.1,4.12,459.0,109.33,-10.2,1.45, , 
,110.55,800,70.5,-10.5,10111110,110.86,800,34.1,4.12,459.0,110.25,-10.5,1.48, , 
,111.47,800,70.5,-10.5,10111110,111.77,800,35.3,4.12,459.0,111.17,-10.5,1.45, , 
,112.36,800,70.5,-10.2,10111110,112.65,800,34.1,4.12,459.0,112.06,-10.2,1.48, , 
,113.26,800,70.5,-10.5,10111110,113.56,800,34.1,4.12,459.0,112.96,-10.5,1.45, , 
,114.14,800,70.5,-10.5,10111110,114.46,800,34.1,4.12,459.0,113.84,-10.5,1.45, , 
,115.05,800,70.5,-10.5,10111110,115.35,800,34.1,4.12,459.0,114.76,-10.9,1.48, , 
,115.96,768,70.5,-10.5,10111110,116.26,800,34.1,4.12,459.0,115.65,-10.5,1.48, , 
,116.86,800,70.5,-10.5,10111110,117.16,768,35.3,4.12,479.4,116.55,-10.5,1.48, , 
,117.75,800,70.5,-10.2,10111110,118.07,800,34.1,4.12,459.0,117.46,-10.2,1.48, , 
,118.67,800,70.5,-10.2,10111110,118.95,800,34.1,4.12,459.0,118.37,-10.2,1.48, , 
,119.55,800,70.5,-10.5,10111110,119.85,800,34.1,4.12,459.0,119.27,-10.5,1.45, , 
,120.45,800,70.5,-10.5,10111110,120.75,800,34.1,4.12,459.0,120.16,-10.9,1.45, , 
,121.36,800,70.5,-10.5,10111110,121.68,800,34.1,4.12,459.0,121.05,-10.5,1.45, , 
,122.29,800,70.5,-11.3,10111110,122.60,800,34.1,4.12,459.0,121.99,-10.9,1.45, , 
,123.19,800,70.5,-11.7,10111110,123.49,800,34.1,4.12,459.0,122.89,-11.3,1.45, , 
,124.11,800,70.5,-12.1,10111110,124.41,800,34.1,4.12,459.0,123.80,-12.1,1.45, , 
,125.02,800,70.5,-12.5,10111110,125.34,800,34.1,4.12,459.0,124.71,-12.5,1.48, , 
,125.93,800,70.5,-12.1,10111110,126.24,800,34.1,4.12,459.0,125.63,-12.1,1.48, , 
,126.86,768,70.5,-12.1,10111110,127.19,800,35.3,4.12,479.4,126.56,-12.1,1.48, , 
,127.81,800,70.5,-11.3,10111110,128.12,800,34.1,4.12,459.0,127.51,-11.3,1.48, , 
,128.70,800,70.5,-11.3,10111110,128.99,800,34.1,4.12,459.0,128.42,-11.3,1.45, , 
,129.57,800,70.5,-11.3,10111110,129.87,800,34.1,4.12,459.0,129.29,-11.3,1.48, , 
,130.46,800,72.0,-11.7,10111110,130.76,800,34.1,4.12,459.0,130.17,-11.3,1.45, , 
,131.36,800,72.0,-11.7,10111110,131.65,800,34.1,4.12,459.0,131.06,-11.7,1.45, , 
,132.24,800,72.0,-12.1,10111110,132.54,800,34.1,4.12,459.0,131.95,-11.7,1.45, , 
,133.14,768,72.0,-12.1,10111110,133.46,800,34.1,4.12,459.0,132.84,-12.1,1.45, , 
,134.07,800,72.0,-12.1,10111110,134.37,800,34.1,4.12,459.0,133.77,-12.1,1.45, , 
,134.97,800,72.0,-11.7,10111110,135.29,800,34.1,4.12,459.0,134.67,-12.1,1.48, , 
,135.87,800,72.0,-11.7,10111110,136.17,800,34.1,4.12,459.0,135.59,-11.7,1.45, , 
,136.74,800,72.0,-11.7,10111110,137.03,800,34.1,4.12,459.0,136.45,-11.7,1.45, , 
,137.63,800,72.0,-11.3,10111110,137.93,800,35.3,4.12,459.0,137.33,-11.3,1.45, , 
