Czwartek,06,Sierpień,2026,13:44:47:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.54,0,36.0,0.0,10110110,0.01,0,0.0,0.00,989.4,0.27,0.0,1.48, , 
,1.34,0,36.0,0.0,10110110,0.80,0,0.0,0.00,989.4,1.06,0.0,1.48, , 
,2.16,0,36.0,0.0,10110110,1.62,0,0.0,0.00,989.4,1.90,0.0,1.48, , 
,2.96,0,36.0,0.0,10110110,2.42,0,0.0,0.00,989.4,2.69,0.0,1.48, , 
,3.75,0,36.0,0.0,10100010,3.22,0,0.0,0.00,989.4,3.49,0.0,1.48, , 
,4.59,192,36.0,0.0,10100010,4.03,224,94.5,48.41,989.4,4.31,0.0,1.48, , 
,5.41,192,36.0,0.0,10110110,4.86,192,100.0,46.35,989.4,5.14,0.0,1.48, , 
,7.42,0,36.0,0.0,10110110,5.68,192,98.8,41.20,989.4,5.94,0.0,1.48, , 
,8.22,0,36.0,0.0,10110110,7.69,0,0.0,41.20,989.4,7.96,0.0,1.48, , 
,9.05,256,36.0,0.0,10100010,8.50,0,0.0,41.20,989.4,8.78,0.0,1.48, , 
,9.96,1024,36.0,0.0,10110110,9.35,864,73.7,21.63,846.6,9.64,0.0,1.48, , 
,10.91,928,36.0,0.0,10110110,10.29,992,47.1,9.27,571.2,10.60,0.0,1.48, , 
,11.84,960,36.0,0.0,10110110,11.22,960,45.9,8.24,550.8,11.53,0.0,1.48, , 
,12.80,928,36.0,0.0,10110110,12.17,960,45.9,8.24,550.8,12.49,0.0,1.48, , 
,13.71,896,36.0,0.0,10110110,13.11,928,47.1,8.24,550.8,13.41,0.0,1.48, , 
,14.62,928,36.0,0.0,10110110,14.02,896,47.1,8.24,550.8,14.32,0.0,1.48, , 
,15.54,896,36.0,0.0,10110110,14.93,928,45.9,7.21,550.8,15.24,0.0,1.48, , 
,16.44,896,36.0,0.0,10110110,15.85,896,44.3,7.21,520.2,16.15,0.0,1.48, , 
,17.37,896,36.0,0.0,10110110,16.74,896,44.3,7.21,520.2,17.06,0.0,1.48, , 
,18.31,896,36.0,0.0,10110110,17.68,896,44.3,7.21,520.2,17.99,0.0,1.48, , 
,19.25,896,36.0,0.0,10110110,18.63,896,42.7,6.18,520.2,18.93,0.0,1.48, , 
,20.22,1248,36.0,0.0,10100010,19.55,896,42.7,6.18,499.8,19.86,0.0,1.48, , 
,21.34,1792,36.0,0.0,10100010,20.60,1664,42.7,6.18,479.4,20.96,0.0,1.48, , 
,22.45,1600,36.0,0.0,10100010,21.70,1824,31.0,4.12,377.4,22.10,0.0,1.48, , 
,23.47,1312,36.0,0.0,10100010,22.77,1504,35.3,5.15,418.2,23.13,0.0,1.48, , 
,24.49,1728,36.0,0.0,10100010,23.80,1376,41.2,6.18,479.4,24.14,0.0,1.48, , 
,25.52,1632,36.0,0.0,10100010,24.85,1792,32.5,4.12,397.8,25.19,0.0,1.48, , 
,26.54,1152,36.0,0.0,10100010,25.89,1504,32.5,4.12,397.8,26.22,0.0,1.48, , 
,27.45,1024,36.0,0.0,10100010,26.85,960,40.0,5.15,479.4,27.12,0.0,1.48, , 
,28.45,1376,36.0,0.0,10100010,27.76,1088,60.4,17.51,652.8,28.11,0.0,1.48, , 
,29.55,1632,36.0,0.0,10100010,28.84,1536,36.9,4.12,438.6,29.19,0.0,1.48, , 
,30.64,1632,36.0,0.0,10100010,29.92,1632,28.2,3.09,357.0,30.28,0.0,1.48, , 
,31.71,1568,36.0,0.0,10110110,31.01,1600,28.2,3.09,357.0,31.34,0.0,1.48, , 
,32.84,1504,36.0,0.0,10100010,32.05,1536,28.2,3.09,357.0,32.47,0.0,1.48, , 
,33.88,1472,36.0,0.0,10100010,33.23,1472,28.2,4.12,357.0,33.61,0.0,1.48, , 
,35.02,1600,36.0,0.0,10100010,34.29,1504,36.9,5.15,438.6,34.67,0.0,1.60, , 
,36.11,1760,36.0,0.0,10100010,35.40,1632,38.4,5.15,438.6,35.75,0.0,1.68, , 
,37.22,1792,36.0,0.0,10100010,36.50,1792,31.0,4.12,377.4,36.87,0.0,1.60, , 
,38.29,1728,37.5,2.0,10111110,37.58,1760,26.7,3.09,336.6,37.94,0.0,1.45, , 
,39.33,1664,37.5,8.2,10101010,38.65,1664,26.7,3.09,357.0,39.01,5.1,1.56, , 
,40.45,1792,37.5,14.1,10101010,39.70,1600,32.5,4.12,397.8,40.08,12.5,1.60, , 
,41.58,1824,37.5,9.4,10111110,40.84,1888,35.3,5.15,418.2,41.21,14.1,1.33, , 
,42.63,1728,37.5,5.1,10111110,41.93,1888,23.5,3.09,316.2,42.30,4.3,1.13, , 
,43.82,1504,37.5,8.6,10101010,43.00,1632,26.7,3.09,336.6,43.37,7.8,1.48, , 
,44.79,1504,37.5,11.3,10111110,44.13,1536,31.0,4.12,377.4,44.46,11.3,1.52, , 
,45.88,1536,37.5,11.3,10111110,45.17,1536,28.2,4.12,357.0,45.53,10.5,1.41, , 
,46.86,1472,37.5,10.9,10111110,46.21,1504,28.2,4.12,357.0,46.60,11.3,1.41, , 
,47.86,1248,37.5,8.2,10111110,47.20,1376,29.4,4.12,377.4,47.54,9.0,1.33, , 
,48.85,1152,39.0,8.6,10101010,48.20,1184,29.4,4.12,377.4,48.52,7.0,1.33, , 
,49.83,1312,39.0,10.2,10101010,49.17,1088,36.9,6.18,438.6,49.51,10.5,1.52, , 
,50.88,1536,39.0,13.3,10101010,50.16,1344,41.2,6.18,499.8,50.53,12.1,1.52, , 
,51.98,1824,39.0,15.6,10101010,51.23,1632,42.7,7.21,499.8,51.59,16.4,1.48, , 
,53.11,1952,39.0,6.3,10101010,52.36,1888,34.1,5.15,397.8,52.73,9.4,1.13, , 
,54.21,2080,39.0,3.9,10101000,53.48,1984,29.4,4.12,357.0,53.85,3.9,1.33, , 
,55.21,2144,39.0,5.1,10101000,54.54,2144,31.0,4.12,377.4,54.86,5.9,1.52, , 
,56.26,2240,39.0,0.0,10111100,55.55,2208,41.2,5.15,459.0,55.90,0.0,1.72, , 
,57.29,1376,39.0,0.0,10101010,56.61,2208,22.0,3.09,295.8,56.97,0.0,1.45, , 
,58.28,1408,40.5,0.0,10101010,57.63,1376,32.5,5.15,397.8,57.95,0.0,1.17, , 
,59.41,1536,40.5,0.0,10101010,58.61,1376,57.6,9.27,632.4,59.05,0.0,1.33, , 
,60.52,1728,40.5,5.9,10101010,59.77,1600,51.8,7.21,591.6,60.16,4.3,1.64, , 
,61.63,1792,40.5,10.5,10101010,60.91,1760,48.6,7.21,550.8,61.29,10.2,1.56, , 
,62.74,1888,40.5,0.0,10111110,61.99,1856,44.3,6.18,499.8,62.36,0.0,1.21, , 
,63.88,1408,40.5,-1.6,10111110,63.11,1856,23.5,3.09,316.2,63.50,-6.3,1.25, , 
,64.84,928,40.5,0.0,10111110,64.22,1120,29.4,4.12,377.4,64.52,-2.3,1.52, , 
,65.80,896,40.5,-1.2,10111110,65.16,896,38.4,5.15,459.0,65.47,0.0,1.17, , 
,66.73,1088,42.0,0.0,10101010,66.11,864,38.4,5.15,479.4,66.42,-1.6,1.48, , 
,67.81,1824,42.0,0.0,10101010,67.08,1696,79.6,15.45,846.6,67.45,0.0,0.08, , 
,68.82,2560,42.0,0.0,10101000,68.16,2016,56.1,8.24,612.0,68.48,0.0,0.00, , 
,69.79,1504,42.0,0.0,10101010,69.17,2080,0.0,0.00,336.6,69.49,0.0,2.38, , 
,70.88,1600,42.0,0.0,10101010,70.17,1440,78.4,13.39,867.0,70.51,0.0,0.00, , 
,72.04,1824,42.0,-2.3,10101010,71.27,1696,48.6,7.21,550.8,71.65,0.0,1.29, , 
,73.14,1984,42.0,-3.1,10101000,72.40,1888,44.3,6.18,499.8,72.78,-1.6,1.45, , 
,74.18,2080,42.0,-6.3,10101000,73.49,2016,36.9,4.12,418.2,73.85,-5.1,1.41, , 
,75.21,2144,42.0,-9.0,10101000,74.52,2112,35.3,4.12,418.2,74.86,-8.6,1.41, , 
,76.22,2176,43.5,-9.4,10101000,75.55,2144,34.1,4.12,397.8,75.89,-9.4,1.48, , 
,77.22,2112,43.5,-3.9,10101000,76.57,2176,23.5,3.09,295.8,76.90,-9.8,1.45, , 
,78.29,1984,43.5,-1.2,10101010,77.58,2080,19.2,2.06,275.4,77.94,-4.3,1.60, , 
,79.36,1888,43.5,-6.3,10101010,78.64,1952,19.2,2.06,275.4,78.99,-2.0,1.56, , 
,80.49,1792,43.5,-7.8,10101010,79.73,1856,22.0,2.06,295.8,80.09,-7.8,1.29, , 
,81.59,1760,43.5,-6.6,10101010,80.84,1760,23.5,3.09,316.2,81.22,-6.6,1.52, , 
,82.73,1696,43.5,-3.1,10101010,81.99,1696,31.0,4.12,397.8,82.36,-4.3,1.56, , 
,83.76,1696,43.5,-1.2,10101010,83.10,1696,32.5,4.12,397.8,83.43,-1.6,1.52, , 
,84.86,1728,45.0,-0.8,10101010,84.09,1696,32.5,4.12,397.8,84.48,-0.8,1.48, , 
,86.00,1760,45.0,-0.8,10101010,85.23,1728,31.0,4.12,397.8,85.63,-0.4,1.45, , 
,87.14,1760,45.0,-1.2,10101010,86.37,1728,31.0,4.12,377.4,86.73,-1.6,1.45, , 
,88.29,1696,45.0,-2.0,10111110,87.52,1728,31.0,4.12,377.4,87.90,-2.0,1.41, , 
,89.34,1632,45.0,-2.3,10101010,88.63,1664,26.7,3.09,336.6,88.99,-1.2,1.48, , 
,90.40,1632,45.0,0.0,10101010,89.71,1600,32.5,4.12,397.8,90.07,0.0,1.48, , 
,91.50,1888,45.0,0.0,10101010,90.79,1728,60.4,9.27,673.2,91.14,0.0,0.98, , 
,92.55,2080,45.0,-3.5,10101000,91.86,1984,62.0,8.24,673.2,92.21,0.0,1.09, , 
,93.57,2272,45.0,-3.1,10101000,92.89,2144,57.6,7.21,632.4,93.23,-3.5,1.48, , 
,94.53,2400,45.0,-1.6,10101000,93.89,2304,53.3,7.21,591.6,94.21,-1.6,1.52, , 
,95.60,2560,46.5,0.0,10101000,94.90,2464,51.8,7.21,550.8,95.25,-0.4,1.52, , 
,96.65,2720,46.5,1.2,10101000,95.95,2624,48.6,6.18,550.8,96.29,0.8,1.48, , 
,97.68,1312,46.5,0.0,10101010,96.99,2720,0.0,0.00,418.2,97.34,0.0,3.63, , 
,98.77,1792,46.5,0.0,10101010,98.05,1504,35.3,6.18,438.6,98.42,0.0,0.55, , 
,99.90,1760,46.5,-8.2,10101010,99.16,1760,31.0,4.12,377.4,99.53,-11.7,1.25, , 
,101.02,1792,46.5,0.0,10101010,100.25,1760,40.0,5.15,459.0,100.64,0.0,1.25, , 
,102.15,1856,46.5,2.0,10101010,101.39,1824,47.1,6.18,520.2,101.77,1.2,1.56, , 
,103.26,1888,46.5,1.6,10101010,102.52,1856,44.3,6.18,499.8,102.90,2.3,1.48, , 
,104.34,1952,46.5,1.2,10101010,103.62,1888,42.7,5.15,499.8,103.97,2.0,1.45, , 
,105.44,1952,48.0,0.0,10101010,104.71,1952,41.2,5.15,479.4,105.06,0.4,1.45, , 
,106.49,2016,48.0,-2.0,10101000,105.78,1984,40.0,5.15,459.0,106.14,-1.2,1.41, , 
,107.55,2048,48.0,-2.7,10101000,106.83,2016,38.4,4.12,459.0,107.19,-2.3,1.48, , 
,108.59,2048,48.0,0.0,10101000,107.90,2048,38.4,4.12,438.6,108.24,-3.5,1.45, , 
,109.65,2016,48.0,-8.2,10101000,108.94,2016,22.0,2.06,295.8,109.29,-7.4,1.09, , 
,110.71,2016,48.0,-6.3,10101000,110.00,2016,22.0,2.06,295.8,110.36,-9.0,1.45, , 
,111.78,1984,48.0,-0.8,10101000,111.06,1984,26.7,3.09,357.0,111.43,-1.6,1.52, , 
,112.86,1984,48.0,2.3,10101000,112.14,1952,29.4,3.09,377.4,112.50,2.0,1.56, , 
,113.93,1984,49.5,4.7,10101010,113.24,1984,34.1,4.12,397.8,113.58,3.9,1.56, , 
,115.01,1984,49.5,2.3,10101010,114.27,1984,34.1,4.12,397.8,114.64,3.9,1.41, , 
,116.12,1888,49.5,2.3,10101010,115.39,1952,22.0,2.06,295.8,115.76,0.8,1.45, , 
,117.20,1856,49.5,-5.9,10111110,116.48,1888,20.8,2.06,295.8,116.86,-3.1,1.13, , 
,118.28,1760,49.5,-6.3,10111110,117.55,1824,23.5,3.09,316.2,117.94,-6.6,1.45, , 
,119.31,1344,49.5,0.0,10111110,118.67,1728,25.1,3.09,336.6,119.00,-4.7,1.56, , 
,120.26,1088,49.5,0.0,10111110,119.62,960,35.3,5.15,438.6,119.94,0.0,1.91, , 
,121.18,896,49.5,0.0,10111110,120.57,960,31.0,4.12,397.8,120.88,0.0,0.74, , 
,122.11,864,49.5,-4.3,10111110,121.49,896,34.1,4.12,438.6,121.79,-3.5,1.25, , 
,123.02,864,49.5,-3.9,10111110,122.41,896,34.1,4.12,438.6,122.69,-3.9,1.52, , 
,123.93,896,49.5,-2.3,10111110,123.33,896,35.3,4.12,459.0,123.64,-2.7,1.56, , 
,124.82,864,51.0,-0.4,10111110,124.20,864,35.3,4.12,459.0,124.52,-0.8,1.56, , 
,125.71,864,51.0,1.6,10111110,125.12,896,35.3,4.12,459.0,125.43,1.2,1.56, , 
,126.61,864,51.0,3.1,10111110,126.00,896,35.3,4.12,459.0,126.31,2.7,1.56, , 
,127.51,896,51.0,4.7,10111110,126.92,896,35.3,4.12,459.0,127.22,4.3,1.56, , 
,128.44,896,51.0,6.3,10111110,127.82,896,35.3,4.12,459.0,128.13,5.9,1.56, , 
,129.35,896,51.0,7.4,10111110,128.75,896,35.3,4.12,438.6,129.05,7.0,1.52, , 
,130.29,896,51.0,5.9,10111110,129.66,864,35.3,4.12,459.0,129.97,7.8,1.48, , 
,131.20,896,51.0,5.5,10111110,130.59,896,35.3,4.12,438.6,130.90,5.5,1.48, , 
,132.13,896,51.0,5.9,10111110,131.52,896,35.3,4.12,459.0,131.83,5.9,1.48, , 
,133.03,864,51.0,5.9,10111110,132.43,896,35.3,4.12,459.0,132.73,5.9,1.48, , 
,133.93,896,51.0,5.9,10111110,133.33,864,35.3,4.12,459.0,133.63,5.9,1.48, , 
,134.86,800,52.5,3.9,10111110,134.23,896,35.3,4.12,459.0,134.55,3.9,1.48, , 
,135.76,800,52.5,3.5,10111110,135.17,832,35.3,4.12,459.0,135.47,3.9,1.45, , 
,136.68,800,52.5,3.5,10111110,136.06,800,35.3,4.12,459.0,136.38,3.1,1.48, , 
,137.56,832,52.5,3.5,10111110,136.96,832,35.3,4.12,459.0,137.25,3.5,1.48, , 
,138.46,800,52.5,2.0,10111110,137.86,800,35.3,4.12,459.0,138.17,2.0,1.48, , 
,139.36,800,52.5,2.3,10111110,138.77,832,36.9,4.12,479.4,139.07,2.3,1.48, , 
,140.30,832,52.5,2.3,10111110,139.69,800,36.9,4.12,479.4,139.99,2.3,1.48, , 
,141.19,832,52.5,2.7,10111110,140.60,832,36.9,4.12,479.4,140.90,2.7,1.52, , 
,142.09,800,52.5,2.7,10111110,141.49,832,36.9,4.12,479.4,141.78,2.7,1.48, , 
,143.01,800,52.5,2.3,10111110,142.39,832,36.9,4.12,479.4,142.70,2.7,1.48, , 
,143.94,800,52.5,2.3,10111110,143.32,800,36.9,4.12,479.4,143.62,2.3,1.48, , 
,144.84,800,54.0,-0.4,10111110,144.24,832,36.9,4.12,479.4,144.55,0.0,1.45, , 
