Sobota,29,Sierpieñ,2026,15:52:27:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Napiêcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.30,800,88.5,8.6,10111111,0.60,800,29.4,4.12,438.6,0.02,8.6,1.48, , 
,1.20,800,88.5,8.2,10111111,1.48,800,29.4,4.12,438.6,0.90,8.2,1.45, , 
,2.07,800,88.5,7.8,10111111,2.38,768,29.4,4.12,438.6,1.77,7.8,1.48, , 
,2.97,768,88.5,7.4,10101011,3.29,800,35.3,5.15,479.4,2.67,6.6,1.48, , 
,3.90,1152,88.5,12.5,10101011,4.22,1312,29.4,5.15,418.2,3.58,10.9,1.56, , 
,4.84,1440,88.5,9.4,10111111,5.22,1472,22.0,3.09,316.2,4.55,9.4,1.37, , 
,5.90,1216,88.5,4.7,10101011,6.19,992,32.5,5.15,418.2,5.57,5.5,1.25, , 
,6.75,640,88.5,0.0,10101011,7.05,768,73.7,12.36,867.0,6.48,0.0,1.48, , 
,7.64,1152,88.5,0.0,10101011,7.99,1472,79.6,13.39,928.2,7.34,0.0,1.09, , 
,8.65,1408,88.5,0.0,10111111,8.94,960,28.2,4.12,397.8,8.34,0.0,0.98, , 
,9.56,1152,88.5,0.0,10101011,9.89,1184,34.1,5.15,438.6,9.26,0.0,2.77, , 
,10.55,1280,88.5,0.0,10101011,10.89,1344,54.5,8.24,673.2,10.22,0.0,1.60, , 
,11.51,1472,88.5,0.4,10101011,11.86,1504,34.1,5.15,459.0,11.24,0.0,1.52, , 
,12.59,1600,88.5,0.8,10101011,12.94,1600,34.1,5.15,438.6,12.24,0.0,1.48, , 
,13.68,1696,88.5,2.7,10101011,14.06,1728,34.1,5.15,438.6,13.31,2.0,1.56, , 
,14.76,1792,88.5,5.5,10101011,15.14,1792,20.8,3.09,295.8,14.39,4.3,1.52, , 
,15.88,1792,88.5,9.8,10101011,16.26,1760,25.1,4.12,336.6,15.50,9.4,1.56, , 
,17.00,1920,88.5,0.0,10101011,17.34,2080,69.4,10.30,775.2,16.63,0.0,1.52, , 
,18.02,2336,88.5,0.0,10101001,18.37,2144,0.0,0.00,357.0,17.68,0.0,1.13, , 
,19.01,1376,88.5,0.0,10101011,19.36,1568,44.3,7.21,550.8,18.71,0.0,3.63, , 
,20.11,1664,88.5,0.0,10101011,20.49,1696,51.8,7.21,652.8,19.72,0.0,1.56, , 
,21.24,1760,88.5,0.0,10101011,21.63,1760,31.0,4.12,397.8,20.86,0.0,1.56, , 
,22.38,1824,88.5,0.0,10101011,22.75,1856,67.8,10.30,775.2,22.02,6.3,1.64, , 
,23.48,1920,88.5,2.3,10101011,23.85,1984,47.1,6.18,571.2,23.12,0.0,1.48, , 
,24.55,2016,88.5,0.0,10101001,24.89,2048,51.8,8.24,612.0,24.21,0.0,1.60, , 
,25.57,2112,88.5,1.2,10101001,25.90,2144,56.1,8.24,652.8,25.24,3.1,1.56, , 
,26.58,2240,88.5,0.4,10101001,26.91,2272,51.8,7.21,591.6,26.24,-0.8,1.37, , 
,27.59,2336,88.5,4.7,10101001,27.94,2176,0.0,0.00,336.6,27.26,2.3,1.60, , 
,28.62,1088,88.5,0.0,10111111,28.91,992,29.4,4.12,397.8,28.29,0.0,3.52, , 
,29.54,1024,88.5,0.0,10111111,29.83,992,23.5,3.09,357.0,29.23,0.0,2.07, , 
,30.43,864,88.5,0.0,10111111,30.72,896,28.2,4.12,397.8,30.13,0.0,1.21, , 
,31.33,864,88.5,0.4,10111111,31.64,864,29.4,4.12,418.2,31.02,0.0,1.52, , 
,32.25,896,88.5,2.0,10111111,32.55,864,29.4,4.12,418.2,31.94,1.6,1.56, , 
,33.18,864,88.5,3.9,10111111,33.48,896,29.4,4.12,418.2,32.88,3.5,1.56, , 
,34.10,864,88.5,5.5,10111111,34.41,896,29.4,4.12,418.2,33.78,5.1,1.52, , 
,35.05,1344,88.5,9.4,10101011,35.38,1216,35.3,5.15,459.0,34.74,6.6,1.56, , 
,36.02,1312,88.5,12.5,10101011,36.34,1280,32.5,5.15,418.2,35.71,12.5,1.56, , 
,37.02,1312,88.5,7.8,10101011,37.36,1312,32.5,5.15,418.2,36.68,10.9,1.37, , 
,38.03,1344,88.5,5.9,10101011,38.36,1344,26.7,4.12,377.4,37.69,7.0,1.37, , 
,39.07,1344,88.5,5.9,10101011,39.41,1376,36.9,5.15,459.0,38.72,2.7,1.33, , 
,40.03,1440,88.5,8.6,10101011,40.50,1472,40.0,6.18,499.8,39.73,7.4,1.52, , 
,41.20,1536,88.5,7.8,10111111,41.49,1504,0.0,0.00,336.6,40.84,9.8,1.52, , 
,42.10,960,88.5,0.0,10111111,42.43,992,29.4,4.12,418.2,41.76,0.0,2.50, , 
,42.99,928,88.5,0.0,10111111,43.29,864,26.7,4.12,397.8,42.70,0.0,1.56, , 
,43.91,864,88.5,0.0,10111111,44.22,864,29.4,4.12,418.2,43.60,0.0,1.52, , 
,44.83,864,88.5,1.6,10111111,45.15,896,29.4,4.12,418.2,44.52,0.8,1.60, , 
,45.77,992,88.5,5.9,10101011,46.11,1312,28.2,4.12,397.8,45.46,3.5,1.60, , 
,46.73,1184,88.5,18.8,10101011,47.06,1216,50.2,7.21,612.0,46.42,17.6,1.60, , 
,47.75,1312,88.5,0.0,10101011,48.08,1440,48.6,6.18,612.0,47.39,0.0,1.48, , 
,48.72,1568,88.5,9.4,10101011,49.06,1632,47.1,6.18,591.6,48.35,7.8,1.72, , 
,49.69,992,88.5,0.0,10111111,50.01,1024,31.0,4.12,418.2,49.38,0.0,2.07, , 
,50.60,928,88.5,0.0,10111111,50.90,800,26.7,4.12,397.8,50.28,0.0,1.99, , 
,51.51,864,88.5,0.0,10111111,51.80,864,31.0,4.12,438.6,51.19,0.0,1.64, , 
,52.41,864,88.5,2.3,10111111,52.72,864,31.0,4.12,438.6,52.10,0.8,1.68, , 
,53.34,864,88.5,7.8,10111111,53.63,864,31.0,4.12,438.6,53.04,6.3,1.68, , 
,54.25,864,88.5,0.0,10111111,54.54,800,29.4,4.12,418.2,53.93,-1.2,1.68, , 
,55.14,800,88.5,2.7,10111111,55.46,800,31.0,4.12,459.0,54.83,2.0,1.60, , 
,56.04,800,88.5,4.3,10111111,56.32,800,31.0,4.12,438.6,55.74,3.9,1.56, , 
,56.91,800,88.5,5.1,10111111,57.21,800,31.0,4.12,438.6,56.62,5.1,1.56, , 
,57.81,1024,88.5,0.0,10101011,58.19,1728,56.1,8.24,673.2,57.50,0.0,1.56, , 
,58.83,1344,87.0,0.0,10101011,59.15,864,51.8,8.24,632.4,58.52,0.0,1.60, , 
,59.79,1120,87.0,0.0,10101011,60.11,1184,42.7,6.18,550.8,59.47,0.0,1.68, , 
,60.76,1344,87.0,4.3,10101011,61.14,1376,36.9,5.15,479.4,60.44,3.5,1.60, , 
,61.93,1568,88.5,6.6,10101011,62.27,1632,42.7,6.18,520.2,61.59,5.9,1.52, , 
,62.86,1248,87.0,0.0,10111111,63.18,992,29.4,4.12,418.2,62.55,0.0,1.52, , 
,63.79,992,87.0,0.0,10101011,64.09,832,29.4,4.12,418.2,63.49,0.0,2.19, , 
,64.67,864,87.0,0.0,10101011,64.98,896,54.5,8.24,673.2,64.38,0.0,1.52, , 
,65.54,992,87.0,0.0,10101011,65.85,1088,71.0,11.33,826.2,65.24,0.0,1.45, , 
,66.51,1280,87.0,-0.4,10101011,66.87,1344,48.6,6.18,612.0,66.17,0.0,1.48, , 
,67.51,1440,87.0,3.1,10101011,67.95,1472,36.9,5.15,479.4,67.22,0.0,1.60, , 
,68.71,1504,87.0,2.0,10101011,68.98,1472,25.1,3.09,357.0,68.39,4.3,1.56, , 
,69.67,1536,87.0,0.8,10101011,70.05,1536,29.4,4.12,397.8,69.32,0.8,1.41, , 
,70.77,1536,87.0,0.0,10101011,71.11,1536,23.5,3.09,336.6,70.38,0.8,1.45, , 
,71.85,1600,87.0,0.8,10101011,72.20,1600,28.2,4.12,377.4,71.49,0.4,1.48, , 
,72.89,1696,87.0,3.9,10101011,73.26,1728,34.1,5.15,438.6,72.54,2.3,1.56, , 
,73.99,1824,87.0,7.0,10101011,74.35,1888,45.9,7.21,550.8,73.60,5.5,1.56, , 
,75.06,2016,87.0,0.0,10101001,75.40,2144,69.4,9.27,795.6,74.71,0.0,1.64, , 
,76.08,1184,87.0,0.0,10101011,76.37,1408,36.9,5.15,459.0,75.74,0.0,2.97, , 
,77.03,1440,87.0,0.0,10101011,77.39,1440,29.4,4.12,418.2,76.67,0.0,0.82, , 
,78.06,1376,87.0,-0.8,10111111,78.39,1376,23.5,3.09,336.6,77.73,0.0,1.52, , 
,79.05,1344,87.0,1.6,10101011,79.41,1344,32.5,5.15,418.2,78.73,0.4,1.56, , 
,80.08,1344,87.0,4.7,10101011,80.41,1344,42.7,6.18,520.2,79.74,3.5,1.56, , 
,81.11,1376,87.0,7.0,10101011,81.45,1408,45.9,7.21,571.2,80.75,6.6,1.56, , 
,82.19,1440,87.0,6.6,10101011,82.58,1440,51.8,7.21,632.4,81.80,8.2,1.48, , 
,83.31,1472,87.0,6.3,10101011,83.75,1504,50.2,8.24,612.0,82.85,5.9,1.41, , 
,84.38,1536,87.0,3.9,10101011,84.72,1536,36.9,5.15,459.0,84.03,3.9,1.37, , 
,85.35,1024,87.0,0.0,10111111,85.67,1024,29.4,4.12,397.8,85.03,0.0,1.52, , 
,86.29,1056,87.0,0.0,10111111,86.58,992,23.5,3.09,357.0,86.00,0.0,1.88, , 
,87.21,832,87.0,0.0,10111111,87.52,896,29.4,4.12,418.2,86.91,0.0,1.41, , 
,88.12,864,87.0,0.8,10111111,88.42,864,29.4,4.12,418.2,87.82,0.4,1.56, , 
,89.07,896,87.0,2.7,10111111,89.38,896,29.4,4.12,418.2,88.76,2.0,1.56, , 
,89.96,864,87.0,5.1,10111111,90.26,896,29.4,4.12,418.2,89.66,4.3,1.60, , 
,90.84,896,87.0,7.0,10111111,91.13,896,29.4,4.12,418.2,90.54,6.3,1.56, , 
,91.77,896,87.0,10.2,10101011,92.05,832,63.5,11.33,714.0,91.46,7.8,1.56, , 
,92.84,1536,87.0,0.0,10101011,93.19,1312,60.4,9.27,714.0,92.47,0.0,1.37, , 
,93.92,1888,88.5,0.0,10101011,94.25,1696,0.0,0.00,397.8,93.55,0.0,1.33, , 
,94.87,1120,87.0,0.0,10101011,95.17,1280,75.3,12.36,887.4,94.55,0.0,3.40, , 
,95.81,1312,87.0,0.0,10101011,96.16,1440,79.6,13.39,928.2,95.48,0.0,1.37, , 
,96.89,1728,87.0,0.0,10101011,97.25,1888,81.2,12.36,907.8,96.52,0.0,1.09, , 
,97.96,2208,87.0,-8.6,10101001,98.30,2368,85.5,12.36,928.2,97.61,-7.4,1.41, , 
,98.99,2624,88.5,-12.1,10101001,99.32,2752,85.5,12.36,928.2,98.65,-10.9,1.41, , 
,100.00,2176,87.0,0.0,11111101,100.29,1600,0.0,0.00,316.2,99.65,0.0,1.13, , 
,101.03,1760,87.0,0.0,11101011,101.43,1824,54.5,8.24,632.4,100.65,0.0,3.63, , 
,102.15,1824,87.0,0.0,11101011,102.50,1856,67.8,10.30,775.2,101.80,0.0,1.41, , 
,103.22,1920,87.0,-2.0,11101011,103.60,1984,71.0,10.30,826.2,102.86,-0.8,1.45, , 
,104.32,2016,87.0,-2.3,11101001,104.67,2080,67.8,10.30,775.2,103.97,-2.7,1.48, , 
,105.35,2144,87.0,0.0,11101001,105.69,2144,28.2,3.09,377.4,105.01,-2.3,1.45, , 
,106.41,2112,87.0,3.9,11101001,106.75,2080,28.2,4.12,357.0,106.05,0.0,1.76, , 
,107.45,2048,87.0,7.8,11101001,107.81,2048,31.0,5.15,397.8,107.10,5.5,1.60, , 
,108.51,2048,87.0,10.9,11101001,108.85,2016,31.0,5.15,397.8,108.14,10.5,1.56, , 
,109.57,2016,87.0,12.9,11101001,109.91,2016,36.9,6.18,459.0,109.22,12.5,1.48, , 
,110.64,2048,87.0,16.0,11101001,111.00,2048,42.7,7.21,499.8,110.28,15.2,1.48, , 
,111.72,2080,87.0,16.4,11101001,112.07,2080,40.0,6.18,479.4,111.38,17.2,1.41, , 
,112.75,2112,87.0,15.2,11101001,113.09,2112,40.0,6.18,479.4,112.40,16.0,1.41, , 
,113.76,2144,87.0,12.9,11101001,114.10,2144,40.0,6.18,479.4,113.42,14.1,1.37, , 
,114.76,2176,87.0,11.3,11101001,115.09,2176,38.4,6.18,459.0,114.43,11.7,1.41, , 
,115.78,2208,87.0,10.5,11101001,116.13,2208,22.0,3.09,316.2,115.44,10.2,1.41, , 
,116.82,2176,87.0,12.5,11101001,117.15,2176,20.8,3.09,295.8,116.47,13.3,1.37, , 
,117.82,2176,87.0,11.7,11101001,118.17,2176,17.6,2.06,275.4,117.48,11.7,1.48, , 
,118.84,2144,87.0,5.9,11101001,119.18,2144,17.6,2.06,275.4,118.51,7.4,1.33, , 
,119.85,2112,87.0,9.4,11101001,120.19,2112,17.6,2.06,275.4,119.51,6.6,1.37, , 
,120.89,2080,87.0,11.3,11101001,121.23,2048,16.1,2.06,244.8,120.54,7.4,1.45, , 
,121.93,2016,87.0,13.3,11101001,122.29,1984,14.9,2.06,244.8,121.57,12.5,1.60, , 
,123.03,1920,87.0,14.8,11101011,123.40,1888,19.2,3.09,295.8,122.66,17.2,1.68, , 
,124.14,1856,87.0,23.0,11101011,124.51,1824,23.5,3.09,336.6,123.76,18.8,1.64, , 
,125.26,1792,87.0,29.7,11101011,125.62,1760,31.0,4.12,397.8,124.89,28.1,1.64, , 
,126.35,1760,87.0,34.8,11101011,126.72,1728,62.0,8.24,714.0,125.99,33.2,1.60, , 
,127.37,1760,87.0,9.0,11101011,127.73,1792,73.7,9.27,846.6,127.04,0.0,1.88, , 
,128.41,1888,87.0,0.0,11101011,128.78,1952,69.4,8.24,795.6,128.05,0.0,1.56, , 
,129.51,1920,87.0,0.0,11101011,129.86,1920,35.3,3.09,459.0,129.14,7.4,1.88, , 
,130.54,1920,87.0,14.5,11101011,130.90,1920,47.1,6.18,550.8,130.20,8.6,2.34, , 
,131.61,1952,87.0,28.5,11101011,131.97,1984,51.8,7.21,612.0,131.25,26.2,1.68, , 
,132.70,2016,87.0,35.9,11101001,133.05,2016,44.3,6.18,550.8,132.33,34.8,1.56, , 
,133.76,2048,87.0,35.5,11101001,134.10,2048,36.9,5.15,459.0,133.41,35.5,1.60, , 
,134.80,2080,87.0,27.0,11101001,135.16,2080,35.3,5.15,438.6,134.46,35.5,1.60, , 
,135.86,2080,87.0,25.0,11101001,136.22,2112,38.4,6.18,479.4,135.50,25.8,1.45, , 
,136.92,2112,87.0,21.5,11101001,137.28,2144,48.6,7.21,571.2,136.57,21.9,1.48, , 
,137.95,2176,87.0,15.2,11101001,138.28,2208,53.3,8.24,612.0,137.62,17.2,1.17, , 
,138.97,2272,87.0,12.1,11101001,139.31,2304,48.6,7.21,571.2,138.63,13.3,1.45, , 
,139.98,2368,87.0,14.1,11101001,140.29,2368,44.3,6.18,520.2,139.64,12.9,1.56, , 
,141.03,2432,87.0,17.6,11101001,141.40,2464,44.3,7.21,520.2,140.65,16.0,1.60, , 
,142.06,2528,87.0,19.1,11101001,142.42,2336,0.0,0.00,316.2,141.72,19.1,1.52, , 
,143.01,1312,87.0,0.0,11111111,143.33,1184,25.1,4.12,357.0,142.73,0.0,3.63, , 
