Poniedzia³ek,21,Wrzesieñ,2026,20:36:09:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.26,0,25.5,0.0,10110110,0.53,0,0.0,0.00,989.4,0.80,99.2,0.0, , 
,1.08,0,25.5,0.0,10110110,1.36,0,0.0,0.00,989.4,1.62,99.2,0.0, , 
,1.89,0,25.5,0.0,10110110,2.15,0,0.0,0.00,989.4,2.42,99.2,0.0, , 
,2.68,0,25.5,0.0,10110110,2.95,0,0.0,0.00,989.4,3.22,99.2,0.0, , 
,3.50,0,25.5,0.0,10110110,3.76,0,0.0,0.00,989.4,4.03,99.2,0.0, , 
,4.29,0,25.5,0.0,10110110,4.56,0,0.0,0.00,989.4,4.82,99.2,0.0, , 
,5.09,0,25.5,0.0,10110110,5.36,0,0.0,0.00,989.4,5.62,99.2,0.0, , 
,5.89,0,25.5,0.0,10110110,6.15,0,0.0,0.00,989.4,6.42,99.2,0.0, , 
,6.68,0,25.5,0.0,10110110,6.95,0,0.0,0.00,989.4,7.21,99.2,0.0, , 
,7.48,0,25.5,0.0,10110110,7.75,0,0.0,0.00,989.4,8.01,99.2,0.0, , 
,8.28,0,25.5,0.0,10110110,8.54,0,0.0,0.00,989.4,8.81,99.2,0.0, , 
,9.08,0,25.5,0.0,10110110,9.36,0,0.0,0.00,989.4,9.63,99.2,0.0, , 
,9.92,192,25.5,0.0,10110110,10.18,288,100.0,49.44,969.0,10.49,99.2,0.0, , 
,10.82,1312,25.5,0.0,10110110,11.14,1280,51.8,11.33,591.6,11.45,0.8,0.0, , 
,11.82,1184,25.5,0.0,10110110,12.15,1152,41.2,8.24,479.4,12.47,0.8,0.0, , 
,12.80,1120,25.5,0.0,10110110,13.14,1152,41.2,8.24,479.4,13.47,0.8,0.0, , 
,13.78,1184,25.5,0.0,10110110,14.11,1184,40.0,8.24,479.4,14.43,0.8,0.0, , 
,14.76,1152,25.5,0.0,10110110,15.08,1152,40.0,7.21,479.4,15.43,0.8,0.0, , 
,15.76,1152,25.5,0.0,10110110,16.09,1184,40.0,7.21,459.0,16.41,0.8,0.0, , 
,16.75,1152,25.5,0.0,10110110,17.06,1152,38.4,6.18,459.0,17.38,0.8,0.0, , 
,17.72,1152,25.5,0.0,10110110,18.08,1152,38.4,6.18,459.0,18.41,0.8,0.0, , 
,18.76,1152,25.5,0.0,10110110,19.09,1152,38.4,6.18,438.6,19.42,0.8,0.0, , 
,19.73,1152,25.5,0.0,10110110,20.05,1152,36.9,6.18,438.6,20.38,0.8,0.0, , 
,20.70,1152,25.5,0.0,10110110,21.03,1120,36.9,5.15,438.6,21.37,0.8,0.0, , 
,21.69,1152,25.5,0.0,10110110,22.02,1120,36.9,5.15,438.6,22.37,0.8,0.0, , 
,22.68,1120,25.5,0.0,10110110,23.00,1120,36.9,5.15,438.6,23.33,0.8,0.0, , 
,23.66,1120,24.0,0.0,10110110,23.98,1120,36.9,5.15,438.6,24.31,0.8,0.0, , 
,24.63,1120,24.0,0.0,10110110,24.96,1088,38.4,5.15,438.6,25.29,0.8,0.0, , 
,25.62,1120,24.0,0.0,10110110,25.96,1120,38.4,5.15,459.0,26.29,0.8,0.0, , 
,26.62,1088,24.0,0.0,10110110,26.93,1088,41.2,5.15,479.4,27.26,0.8,0.0, , 
,27.59,1088,24.0,0.0,10110110,27.91,1088,42.7,6.18,499.8,28.24,0.8,0.0, , 
,28.58,1088,24.0,0.0,10110110,28.91,1120,44.3,6.18,499.8,29.23,0.8,0.0, , 
,29.55,1120,24.0,0.0,10110110,29.90,1088,45.9,6.18,520.2,30.23,0.8,0.0, , 
,30.55,1088,24.0,0.0,10110110,30.90,1120,45.9,6.18,520.2,31.24,0.8,0.0, , 
,31.56,1088,24.0,0.0,10110110,31.88,1120,48.6,6.18,550.8,32.20,0.8,0.0, , 
,32.52,1120,25.5,0.0,10110110,32.85,1120,48.6,6.18,550.8,33.16,0.8,0.0, , 
,33.48,1120,25.5,0.0,10110110,33.80,1120,50.2,6.18,571.2,34.12,0.8,0.0, , 
,34.42,1120,25.5,0.0,10110110,34.75,1088,50.2,7.21,571.2,35.05,0.8,0.0, , 
,35.39,1120,25.5,0.0,10110110,35.70,1120,50.2,6.18,571.2,36.03,0.8,0.0, , 
,36.34,1120,25.5,0.0,10110110,36.65,1120,50.2,7.21,571.2,36.98,0.8,0.0, , 
,37.31,1120,25.5,0.0,10110110,37.63,1120,48.6,6.18,550.8,37.97,0.8,0.0, , 
,38.29,1120,25.5,0.0,10110110,38.62,1088,48.6,6.18,550.8,38.94,0.8,0.0, , 
,39.29,1120,25.5,0.0,10110110,39.61,1120,48.6,6.18,550.8,39.94,0.8,0.0, , 
,40.27,1120,25.5,0.0,10110110,40.60,1120,48.6,6.18,550.8,40.94,0.8,0.0, , 
,41.28,1120,25.5,0.0,10110110,41.58,1120,47.1,6.18,550.8,41.93,0.8,0.0, , 
,42.24,1120,25.5,0.0,10110110,42.56,1120,48.6,6.18,550.8,42.87,0.8,0.0, , 
,43.21,1120,25.5,0.0,10110110,43.53,1120,47.1,6.18,550.8,43.83,0.8,0.0, , 
,44.18,1120,25.5,0.0,10110110,44.49,1120,47.1,6.18,550.8,44.80,0.8,0.0, , 
,45.15,1120,25.5,0.0,10110110,45.49,1120,47.1,6.18,520.2,45.84,0.8,0.0, , 
,46.15,1120,25.5,0.0,10110110,46.47,1120,45.9,6.18,520.2,46.79,0.8,0.0, , 
,47.13,1120,25.5,0.0,10110110,47.46,1120,45.9,6.18,520.2,47.80,0.8,0.0, , 
,48.12,1120,27.0,0.0,10110110,48.43,1120,45.9,6.18,520.2,48.75,0.8,0.0, , 
,49.06,1088,27.0,0.0,10110110,49.39,1120,45.9,6.18,520.2,49.74,0.8,0.0, , 
,50.07,1120,27.0,0.0,10110110,50.39,1120,45.9,6.18,520.2,50.73,0.8,0.0, , 
,51.07,1120,27.0,0.0,10110110,51.39,1088,45.9,6.18,520.2,51.71,0.8,0.0, , 
,52.04,1120,27.0,0.0,10110110,52.36,1120,44.3,6.18,520.2,52.69,0.8,0.0, , 
,53.02,1120,27.0,0.0,10110110,53.34,1088,44.3,6.18,520.2,53.65,0.8,0.0, , 
,53.98,1120,27.0,0.0,10110110,54.29,1120,44.3,6.18,499.8,54.61,0.8,0.0, , 
,54.92,1120,27.0,0.0,10110110,55.22,1088,44.3,6.18,499.8,55.55,0.8,0.0, , 
,55.86,1088,27.0,0.0,10110110,56.20,1088,42.7,6.18,499.8,56.53,0.8,0.0, , 
,56.85,1120,27.0,0.0,10110110,57.17,1120,42.7,6.18,499.8,57.47,0.8,0.0, , 
,57.79,1088,27.0,0.0,10110110,58.11,1088,42.7,6.18,499.8,58.43,0.8,0.0, , 
,58.78,1088,27.0,0.0,10110110,59.11,1088,42.7,6.18,499.8,59.45,0.8,0.0, , 
,59.78,1088,28.5,0.0,10110110,60.11,1088,42.7,6.18,499.8,60.43,0.8,0.0, , 
,60.75,1088,28.5,0.0,10110110,61.07,1088,42.7,6.18,499.8,61.40,0.8,0.0, , 
,61.72,1088,28.5,2.3,10111110,62.05,1088,42.7,6.18,499.8,62.40,0.8,0.0, , 
,62.72,1120,28.5,4.3,10111110,63.01,1120,41.2,6.18,479.4,63.36,0.8,0.0, , 
,63.66,1088,28.5,5.1,10111110,64.03,1088,41.2,6.18,479.4,64.36,0.8,0.0, , 
,64.70,1120,28.5,5.9,10111110,65.00,1120,41.2,6.18,479.4,65.31,0.8,0.0, , 
,65.61,1120,28.5,5.9,10111110,65.94,1088,40.0,6.18,479.4,66.28,0.8,0.0, , 
,66.60,1088,28.5,5.5,10111110,66.92,1088,40.0,6.18,479.4,67.24,0.8,0.0, , 
,67.57,1120,28.5,5.5,10111110,67.89,1088,40.0,6.18,479.4,68.22,0.8,0.0, , 
,68.53,1088,28.5,5.5,10111110,68.83,1088,40.0,6.18,479.4,69.15,0.8,0.0, , 
,69.47,1120,28.5,5.5,10111110,69.79,1120,40.0,5.15,459.0,70.12,0.8,0.0, , 
,70.45,1120,30.0,5.5,10111110,70.78,1088,38.4,5.15,459.0,71.12,0.8,0.0, , 
,71.46,1088,30.0,4.7,10111110,71.79,1088,38.4,5.15,459.0,72.13,0.8,0.0, , 
,72.46,1088,30.0,3.9,10111110,72.81,1088,36.9,5.15,438.6,73.13,0.8,0.0, , 
,73.45,1088,30.0,3.5,10111110,73.76,1088,36.9,5.15,438.6,74.09,0.8,0.0, , 
,74.42,1056,30.0,2.7,10111110,74.72,1088,36.9,5.15,438.6,75.05,0.8,0.0, , 
,75.37,1056,30.0,2.7,10111110,75.70,1056,36.9,5.15,438.6,76.01,0.8,0.0, , 
,76.33,1056,30.0,2.3,10111110,76.63,1056,36.9,5.15,438.6,76.95,0.8,0.0, , 
,77.27,1056,30.0,2.3,10111110,77.60,1056,36.9,5.15,438.6,77.91,0.8,0.0, , 
,78.24,1024,31.5,2.0,10111110,78.56,1056,36.9,5.15,438.6,78.87,0.8,0.0, , 
,79.19,1024,31.5,2.0,10111110,79.50,1056,36.9,5.15,438.6,79.80,0.8,0.0, , 
,80.13,1024,31.5,2.7,10111110,80.47,1056,36.9,5.15,438.6,80.78,0.8,0.0, , 
,81.12,1024,31.5,3.5,10111110,81.43,1056,36.9,5.15,438.6,81.74,0.8,0.0, , 
,82.07,1056,31.5,3.5,10111110,82.40,1056,36.9,5.15,459.0,82.70,0.8,0.0, , 
,83.04,1056,31.5,4.3,10111110,83.37,1024,38.4,5.15,459.0,83.70,0.8,0.0, , 
,84.02,1056,31.5,4.7,10111110,84.35,1024,36.9,5.15,459.0,84.67,0.8,0.0, , 
,84.98,1024,31.5,4.7,10111110,85.32,1024,38.4,5.15,459.0,85.64,0.8,0.0, , 
,85.95,1024,31.5,4.7,10111110,86.27,1024,38.4,5.15,459.0,86.58,0.8,0.0, , 
,86.92,1024,33.0,4.3,10111110,87.23,1024,38.4,5.15,459.0,87.56,0.8,0.0, , 
,87.87,1024,33.0,4.7,10111110,88.18,1024,38.4,5.15,459.0,88.50,0.8,0.0, , 
,88.82,1024,33.0,5.5,10111110,89.15,1024,36.9,5.15,459.0,89.45,0.8,0.0, , 
,89.76,1024,33.0,5.9,10111110,90.06,1056,36.9,5.15,459.0,90.38,0.8,0.0, , 
,90.70,992,33.0,6.3,10111110,91.05,1024,38.4,5.15,459.0,91.37,0.8,0.0, , 
,91.68,1024,33.0,6.6,10111110,92.01,1024,38.4,5.15,459.0,92.32,0.8,0.0, , 
,92.67,1024,33.0,7.0,10111110,92.99,1024,38.4,5.15,459.0,93.33,0.8,0.0, , 
,93.64,1024,33.0,7.0,10111110,93.93,1024,38.4,5.15,459.0,94.25,0.8,0.0, , 
,94.54,1024,33.0,7.0,10111110,94.86,1024,38.4,5.15,459.0,95.15,0.8,0.0, , 
,95.45,1024,34.5,7.0,10111110,95.80,992,38.4,5.15,459.0,96.09,0.8,0.0, , 
,96.39,1024,34.5,7.0,10111110,96.71,992,38.4,5.15,459.0,97.03,0.8,0.0, , 
,97.33,992,34.5,7.0,10111110,97.69,1024,38.4,5.15,459.0,98.01,0.8,0.0, , 
,98.31,992,34.5,7.0,10111110,98.66,1024,38.4,5.15,459.0,99.01,0.8,0.0, , 
,99.30,992,34.5,7.0,10111110,99.62,1024,38.4,5.15,459.0,99.95,0.8,0.0, , 
,100.30,992,34.5,6.6,10111110,100.66,992,40.0,5.15,479.4,100.95,0.8,0.0, , 
,101.30,992,34.5,5.9,10111110,101.64,992,40.0,5.15,479.4,101.91,0.8,0.0, , 
,102.23,992,34.5,5.1,10111110,102.58,992,40.0,5.15,479.4,102.84,0.8,0.0, , 
,103.15,992,34.5,5.1,10111110,103.51,992,40.0,5.15,479.4,103.84,0.8,0.0, , 
,104.11,992,36.0,4.7,10111110,104.37,992,40.0,5.15,479.4,104.64,0.8,0.0, , 
,104.91,992,36.0,4.3,10111110,105.27,960,40.0,6.18,479.4,105.63,0.8,0.0, , 
,106.00,992,36.0,3.9,10111110,106.26,960,40.0,5.15,479.4,106.53,0.8,0.0, , 
,106.79,992,36.0,3.1,10111110,107.14,992,40.0,5.15,479.4,107.48,0.8,0.0, , 
,107.83,992,36.0,3.5,10111110,108.09,960,40.0,5.15,479.4,108.36,0.8,0.0, , 
,108.71,992,36.0,3.5,10111110,109.07,992,40.0,5.15,479.4,109.43,0.8,0.0, , 
,109.79,992,36.0,3.5,10111110,110.07,992,40.0,5.15,479.4,110.42,0.8,0.0, , 
,110.71,992,36.0,3.5,10111110,111.05,960,40.0,6.18,479.4,111.35,0.8,0.0, , 
,111.66,960,36.0,3.5,10111110,112.02,960,40.0,6.18,479.4,112.34,0.8,0.0, , 
,112.67,960,36.0,3.5,10111110,112.99,960,40.0,6.18,479.4,113.30,0.8,0.0, , 
,113.61,960,36.0,3.5,10111110,113.94,960,40.0,6.18,479.4,114.27,0.8,0.0, , 
,114.56,960,36.0,3.5,10111110,114.91,960,40.0,6.18,479.4,115.26,0.8,0.0, , 
,115.56,960,36.0,3.5,10111110,115.90,960,40.0,5.15,479.4,116.23,0.8,0.0, , 
,116.54,960,37.5,3.1,10111110,116.87,960,40.0,6.18,479.4,117.21,0.8,0.0, , 
,117.55,960,37.5,3.1,10111110,117.89,960,40.0,6.18,479.4,118.17,0.8,0.0, , 
,118.48,960,37.5,3.5,10111110,118.81,992,40.0,6.18,479.4,119.14,0.8,0.0, , 
,119.42,960,37.5,3.5,10111110,119.74,960,40.0,6.18,479.4,120.07,0.8,0.0, , 
,120.38,960,37.5,3.5,10111110,120.70,960,40.0,6.18,479.4,121.01,0.8,0.0, , 
,121.32,960,37.5,3.5,10111110,121.62,960,40.0,6.18,479.4,121.93,0.8,0.0, , 
,122.25,960,37.5,3.5,10111110,122.55,960,40.0,6.18,479.4,122.86,0.8,0.0, , 
,123.18,928,37.5,3.5,10111110,123.51,960,40.0,6.18,479.4,123.82,0.8,0.0, , 
,124.12,960,37.5,3.1,10111110,124.43,960,40.0,5.15,479.4,124.76,0.8,0.0, , 
,125.09,928,37.5,2.7,10111110,125.40,960,38.4,5.15,479.4,125.70,0.8,0.0, , 
,126.01,960,37.5,2.3,10111110,126.31,928,38.4,5.15,479.4,126.64,0.8,0.0, , 
,126.97,928,39.0,2.7,10111110,127.28,928,38.4,5.15,479.4,127.58,0.8,0.0, , 
,127.91,928,39.0,3.1,10111110,128.26,928,38.4,5.15,479.4,128.56,0.8,0.0, , 
,128.87,928,39.0,3.5,10111110,129.16,928,38.4,5.15,459.0,129.49,0.8,0.0, , 
,129.79,928,39.0,3.5,10111110,130.10,928,38.4,5.15,479.4,130.42,0.8,0.0, , 
,130.73,928,39.0,3.5,10111110,131.04,928,38.4,5.15,479.4,131.34,0.8,0.0, , 
,131.63,928,39.0,3.9,10111110,131.94,928,38.4,5.15,479.4,132.25,0.8,0.0, , 
,132.56,928,39.0,4.3,10111110,132.85,928,38.4,5.15,459.0,133.17,1.6,0.0, , 
,133.46,928,39.0,3.9,10111110,133.77,928,36.9,5.15,459.0,134.08,1.6,0.0, , 
,134.40,928,39.0,3.5,10111110,134.71,928,38.4,5.15,459.0,135.03,1.6,0.0, , 
,135.33,928,39.0,3.1,10111110,135.62,928,36.9,5.15,459.0,135.94,0.8,0.0, , 
,136.24,928,40.5,2.7,10111110,136.55,896,38.4,5.15,459.0,136.86,1.6,0.0, , 
,137.15,928,40.5,3.1,10111110,137.47,928,36.9,5.15,459.0,137.77,1.6,0.0, , 
,138.08,928,40.5,3.1,10111110,138.40,928,36.9,5.15,459.0,138.69,1.6,0.0, , 
,139.01,896,40.5,3.9,10111110,139.33,928,36.9,5.15,459.0,139.65,0.8,0.0, , 
,139.96,896,40.5,3.9,10111110,140.26,896,36.9,5.15,459.0,140.58,1.6,0.0, , 
,140.87,928,40.5,4.3,10111110,141.19,896,36.9,5.15,459.0,141.49,0.8,0.0, , 
,141.80,928,40.5,3.9,10111110,142.10,928,36.9,5.15,459.0,142.42,1.6,0.0, , 
,142.71,896,40.5,3.5,10111110,143.04,928,36.9,5.15,459.0,143.35,1.6,0.0, , 
,143.68,896,40.5,3.5,10111110,143.98,928,36.9,5.15,459.0,144.29,1.6,0.0, , 
,144.59,928,40.5,3.5,10111110,144.92,928,36.9,5.15,459.0,145.21,1.6,0.0, , 
,145.53,896,40.5,3.9,10111110,145.82,896,35.3,5.15,459.0,146.14,1.6,0.0, , 
,146.44,928,40.5,3.9,10111110,146.73,896,35.3,5.15,459.0,147.02,1.6,0.0, , 
,147.33,928,40.5,3.5,10111110,147.64,896,35.3,5.15,459.0,147.94,1.6,0.0, , 
,148.28,896,40.5,3.5,10111110,148.58,896,35.3,5.15,459.0,148.90,1.6,0.0, , 
,149.24,928,42.0,3.1,10111110,149.55,896,35.3,5.15,438.6,149.87,1.6,0.0, , 
,150.17,896,42.0,2.3,10111110,150.49,896,35.3,5.15,438.6,150.81,1.6,0.0, , 
