Poniedzia³ek,21,Wrzesieñ,2026,15:41:46:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.53,0,49.5,0.0,10110110,0.01,0,0.0,16.48,989.4,0.26,99.2,0.0, , 
,1.34,0,49.5,0.0,10110110,0.79,0,0.0,16.48,989.4,1.07,99.2,0.0, , 
,31.09,896,49.5,0.0,10100010,31.36,704,44.3,8.24,550.8,31.67,0.0,0.0, , 
,31.98,1120,49.5,0.0,10100010,32.30,1152,29.4,4.12,377.4,32.57,0.0,0.0, , 
,32.87,896,49.5,0.0,10100010,33.17,896,41.2,6.18,520.2,33.48,0.0,0.0, , 
,33.78,736,49.5,0.0,10100010,34.10,704,59.2,11.33,673.2,34.40,0.0,0.0, , 
,34.72,768,49.5,0.0,10100010,35.02,864,53.3,8.24,632.4,35.35,0.0,0.0, , 
,35.67,1056,48.0,0.0,10100010,36.01,1120,41.2,6.18,499.8,36.35,0.0,0.0, , 
,36.68,1248,48.0,0.0,10100010,37.02,1312,40.0,6.18,479.4,37.34,0.0,0.0, , 
,37.78,1472,48.0,0.0,10100010,38.15,1632,59.2,11.33,652.8,38.53,0.0,0.0, , 
,38.89,1600,48.0,0.0,10110110,39.19,1024,40.0,6.18,479.4,39.49,0.0,0.0, , 
,39.81,1088,46.5,0.0,10110110,40.13,1120,31.0,4.12,418.2,40.45,0.0,0.0, , 
,40.75,1056,46.5,0.0,10110110,41.04,1024,31.0,4.12,397.8,41.38,0.0,0.0, , 
,41.72,1024,46.5,0.0,10100010,42.01,1024,38.4,5.15,459.0,42.30,0.0,0.0, , 
,42.63,1024,46.5,0.0,10100010,42.92,1056,36.9,5.15,459.0,43.25,0.0,0.0, , 
,43.56,1056,46.5,0.0,10100010,43.88,1056,38.4,5.15,479.4,44.20,0.0,0.0, , 
,44.51,1088,45.0,0.0,10100010,44.83,1088,40.0,5.15,479.4,45.14,0.0,0.0, , 
,45.44,1120,45.0,0.0,10100010,45.74,1152,48.6,7.21,571.2,46.08,0.0,0.0, , 
,46.39,1216,45.0,0.0,10100010,46.68,1248,45.9,6.18,550.8,47.00,0.0,0.0, , 
,47.32,1280,45.0,0.0,10100010,47.68,1312,44.3,6.18,520.2,48.01,0.0,0.0, , 
,48.34,1344,45.0,0.0,10100010,48.67,1376,42.7,6.18,499.8,49.01,0.0,0.0, , 
,49.35,1376,45.0,0.0,10100010,49.71,1408,40.0,5.15,479.4,50.05,0.0,0.0, , 
,50.36,1440,45.0,0.0,10100010,50.71,1440,29.4,4.12,377.4,51.05,0.0,0.0, , 
,51.39,1408,45.0,0.0,10100010,51.72,1408,28.2,4.12,377.4,52.04,0.0,0.0, , 
,52.37,1376,45.0,0.0,10110110,52.70,1344,28.2,4.12,377.4,53.04,0.0,0.0, , 
,53.36,1216,45.0,0.0,10110110,53.69,1248,29.4,4.12,377.4,54.00,0.0,0.0, , 
,54.32,1056,45.0,0.0,10100010,54.64,1056,44.3,7.21,520.2,54.97,0.0,0.0, , 
,55.30,1088,45.0,0.0,10100010,55.63,1120,76.9,14.42,826.2,55.95,0.0,0.0, , 
,56.28,1248,45.0,0.0,10100010,56.59,1248,53.3,8.24,612.0,56.92,0.0,0.0, , 
,57.27,1376,45.0,0.0,10100010,57.64,1440,45.9,6.18,520.2,57.91,0.0,0.0, , 
,58.25,1536,43.5,0.0,10100010,58.60,1600,53.3,8.24,591.6,58.97,0.0,0.0, , 
,59.33,1728,43.5,0.0,10100010,59.69,1792,48.6,7.21,550.8,60.06,0.0,0.0, , 
,60.43,1888,43.5,-0.8,10101010,60.76,1600,0.0,0.00,357.0,61.07,0.0,0.0, , 
,61.38,1120,43.5,0.0,10111110,61.67,1088,32.5,5.15,418.2,62.01,0.0,0.0, , 
,62.32,960,43.5,0.0,10111110,62.62,928,35.3,5.15,438.6,62.92,0.0,0.0, , 
,63.23,928,45.0,-3.1,10111110,63.55,928,36.9,5.15,459.0,63.85,0.0,0.0, , 
,64.15,896,45.0,-3.5,10111110,64.45,896,36.9,5.15,459.0,64.77,0.0,0.0, , 
,65.08,896,45.0,-1.2,10111110,65.37,896,36.9,5.15,459.0,65.67,0.0,0.0, , 
,65.99,896,45.0,1.2,10111110,66.31,896,36.9,5.15,459.0,66.63,0.0,0.0, , 
,66.97,1088,45.0,4.3,10101010,67.31,1376,31.0,4.12,397.8,67.68,0.0,0.0, , 
,68.04,1376,45.0,6.6,10101010,68.42,1408,34.1,5.15,418.2,68.76,0.0,0.0, , 
,69.15,1440,45.0,7.4,10101010,69.49,1440,34.1,5.15,418.2,69.85,0.0,0.0, , 
,70.18,1440,45.0,7.4,10101010,70.52,1440,34.1,5.15,418.2,70.83,0.0,0.0, , 
,71.22,1440,45.0,0.0,10101010,71.50,1472,44.3,6.18,520.2,71.91,0.0,0.0, , 
,72.22,1504,45.0,2.0,10101010,72.66,1504,26.7,4.12,357.0,72.98,0.0,0.0, , 
,73.44,1472,45.0,3.9,10101010,73.88,1504,29.4,4.12,377.4,74.32,0.0,0.0, , 
,74.69,1504,45.0,10.2,10101010,75.05,1504,41.2,6.18,479.4,75.38,0.0,0.0, , 
,75.75,1568,45.0,16.8,10101010,76.11,1600,42.7,6.18,499.8,76.47,0.0,0.0, , 
,76.82,1632,45.0,0.0,10111110,77.19,1600,28.2,3.09,357.0,77.53,0.0,0.0, , 
,77.87,1568,45.0,3.5,10111110,78.18,1472,28.2,4.12,357.0,78.53,0.0,0.0, , 
,78.85,1184,45.0,4.7,10111110,79.15,992,34.1,4.12,418.2,79.46,0.0,0.0, , 
,79.79,896,45.0,10.2,10111110,80.10,896,40.0,5.15,479.4,80.42,0.0,0.0, , 
,80.72,928,46.5,12.9,10111110,81.03,928,38.4,5.15,479.4,81.33,0.0,0.0, , 
,81.63,928,46.5,14.1,10111110,81.94,928,38.4,5.15,479.4,82.24,0.0,0.0, , 
,82.53,896,46.5,14.5,10111110,82.85,928,38.4,5.15,479.4,83.19,0.0,0.0, , 
,83.49,1120,46.5,17.2,10101010,83.81,1152,34.1,5.15,418.2,84.13,0.0,0.0, , 
,84.45,1248,46.5,0.0,10101010,84.80,1312,47.1,6.18,550.8,85.15,0.0,0.0, , 
,85.51,1568,46.5,0.0,10101010,85.89,1728,53.3,6.18,612.0,86.25,0.0,0.0, , 
,86.58,2016,46.5,0.0,10101000,86.93,2016,0.0,0.00,438.6,87.29,0.0,0.0, , 
,87.63,1248,46.5,0.0,10101010,87.96,1248,60.4,10.30,693.6,88.29,0.0,0.0, , 
,88.65,1312,46.5,0.0,10101010,89.03,1408,59.2,8.24,673.2,89.45,0.0,0.0, , 
,89.80,1504,46.5,7.8,10101010,90.16,1568,56.1,8.24,632.4,90.54,0.0,0.0, , 
,90.91,1664,46.5,0.0,10101010,91.24,1696,29.4,4.12,377.4,91.61,0.0,0.0, , 
,91.98,1696,46.5,-1.2,10101010,92.31,1696,26.7,3.09,336.6,92.67,0.0,0.0, , 
,93.03,1696,46.5,-2.0,10101010,93.37,1664,26.7,3.09,336.6,93.75,0.0,0.0, , 
,94.09,1664,46.5,0.0,10101010,94.44,1664,26.7,3.09,336.6,94.77,0.0,0.0, , 
,95.11,1632,48.0,2.0,10101010,95.46,1632,26.7,4.12,357.0,95.79,0.0,0.0, , 
,96.13,928,48.0,0.0,10111110,96.48,1184,36.9,6.18,459.0,96.83,0.0,0.0, , 
,97.15,1088,48.0,0.0,10111110,97.47,928,32.5,4.12,418.2,97.77,0.0,0.0, , 
,98.08,896,48.0,0.4,10111110,98.38,896,36.9,5.15,459.0,98.68,0.0,0.0, , 
,98.99,896,48.0,2.7,10111110,99.29,896,36.9,5.15,459.0,99.62,0.0,0.0, , 
,99.93,896,48.0,4.7,10111110,100.24,896,36.9,5.15,459.0,100.56,0.0,0.0, , 
,100.88,896,48.0,5.5,10111110,101.21,896,36.9,5.15,459.0,101.53,0.0,0.0, , 
,101.84,896,48.0,6.3,10111110,102.16,896,35.3,5.15,459.0,102.46,0.0,0.0, , 
,102.75,896,48.0,6.6,10111110,103.05,832,32.5,4.12,438.6,103.36,0.0,0.0, , 
,103.66,800,48.0,5.1,10111110,103.95,832,35.3,5.15,459.0,104.25,0.0,0.0, , 
,104.55,800,48.0,4.3,10111110,104.84,800,35.3,5.15,459.0,105.16,0.0,0.0, , 
,105.46,800,48.0,4.3,10111110,105.78,832,36.9,5.15,459.0,106.09,0.0,0.0, , 
,106.40,832,48.0,2.7,10111110,106.71,832,34.1,4.12,459.0,107.03,0.0,0.0, , 
,107.33,832,48.0,-6.6,10111110,107.63,832,34.1,4.12,438.6,107.93,0.0,0.0, , 
,108.24,832,48.0,-12.9,10111110,108.52,800,34.1,4.12,459.0,108.81,0.0,0.0, , 
,109.11,832,48.0,-13.7,10111110,109.39,896,57.6,14.42,632.4,109.72,0.0,0.0, , 
,110.03,1120,49.5,0.0,10101010,110.40,1600,56.1,8.24,632.4,110.75,0.0,0.0, , 
,111.04,1024,49.5,0.0,10101010,111.39,1088,72.2,11.33,795.6,111.73,0.0,0.0, , 
,112.06,1472,49.5,0.0,10101010,112.44,1696,56.1,8.24,632.4,112.80,0.0,0.0, , 
,113.15,1984,49.5,-2.7,10101000,113.50,2080,41.2,5.15,479.4,113.84,0.0,0.0, , 
,114.19,2016,49.5,0.0,10111100,114.52,1344,0.0,0.00,377.4,114.83,0.0,0.0, , 
,115.11,1088,49.5,0.0,10111110,115.43,1120,31.0,4.12,397.8,115.80,0.0,0.0, , 
,116.09,928,49.5,0.0,10111110,116.40,896,34.1,5.15,438.6,116.70,0.0,0.0, , 
,117.00,896,49.5,-5.9,10111110,117.31,896,35.3,4.12,459.0,117.61,0.0,0.0, , 
,117.93,896,49.5,-8.2,10111110,118.23,896,35.3,4.12,459.0,118.52,0.0,0.0, , 
,118.82,832,49.5,-7.4,10111110,119.11,800,34.1,4.12,459.0,119.41,0.0,0.0, , 
,119.71,832,49.5,-7.0,10111110,120.01,800,35.3,4.12,459.0,120.33,0.0,0.0, , 
,120.65,832,49.5,-6.6,10111110,120.97,832,34.1,4.12,459.0,121.29,0.0,0.0, , 
,121.58,832,49.5,-7.0,10111110,121.87,800,34.1,4.12,459.0,122.17,0.0,0.0, , 
,122.48,832,49.5,-6.6,10111110,122.78,832,35.3,4.12,459.0,123.09,0.0,0.0, , 
,123.40,832,49.5,-6.6,10111110,123.72,832,34.1,4.12,459.0,124.01,0.0,0.0, , 
,124.30,832,49.5,0.0,10101010,124.61,1120,50.2,8.24,591.6,124.93,0.0,0.0, , 
,125.27,1568,49.5,0.0,10101010,125.62,1472,51.8,7.21,591.6,125.95,0.0,0.0, , 
,126.26,960,51.0,0.0,10101010,126.59,1184,63.5,8.24,734.4,126.91,0.0,0.0, , 
,127.20,1504,51.0,0.0,10101010,127.56,1600,45.9,6.18,520.2,127.92,0.0,0.0, , 
,128.30,1792,51.0,-1.6,10101010,128.65,1888,34.1,4.12,418.2,128.98,0.0,0.0, , 
,129.31,1280,51.0,0.0,10111110,129.65,992,35.3,6.18,438.6,129.97,0.0,0.0, , 
,130.27,1024,51.0,0.0,10111110,130.58,992,31.0,4.12,418.2,130.87,0.0,0.0, , 
,131.20,928,51.0,0.0,10111110,131.52,960,34.1,4.12,438.6,131.83,0.0,0.0, , 
,132.14,960,51.0,-6.6,10111110,132.43,928,34.1,4.12,438.6,132.73,0.0,0.0, , 
,133.05,896,51.0,-7.0,10111110,133.36,896,35.3,4.12,459.0,133.66,0.0,0.0, , 
,133.95,896,51.0,-5.9,10111110,134.26,896,34.1,4.12,438.6,134.57,0.0,0.0, , 
,134.89,896,51.0,-4.7,10111110,135.21,896,35.3,4.12,459.0,135.53,0.0,0.0, , 
,135.84,896,51.0,-3.9,10111110,136.16,896,34.1,4.12,438.6,136.45,0.0,0.0, , 
,136.76,896,51.0,-3.5,10111110,137.06,896,34.1,4.12,438.6,137.38,0.0,0.0, , 
,137.71,896,51.0,-3.5,10111110,138.03,896,34.1,4.12,438.6,138.36,0.0,0.0, , 
,138.67,896,52.5,-3.1,10111110,138.98,864,34.1,4.12,438.6,139.31,0.0,0.0, , 
,139.61,896,52.5,-3.9,10111110,139.94,896,32.5,4.12,438.6,140.23,0.0,0.0, , 
,140.53,864,52.5,-5.9,10101010,140.85,1024,38.4,6.18,479.4,141.18,0.0,0.0, , 
,141.50,1312,52.5,0.0,10101010,141.84,1216,32.5,4.12,418.2,142.17,0.0,0.0, , 
,142.49,1024,52.5,-2.7,10101010,142.84,992,38.4,5.15,479.4,143.13,0.0,0.0, , 
,143.45,928,52.5,-4.7,10101010,143.79,992,40.0,5.15,479.4,144.12,0.0,0.0, , 
,144.46,1248,52.5,-6.6,10111110,144.78,1280,28.2,3.09,377.4,145.12,0.0,0.0, , 
,145.45,1184,52.5,-5.1,10111110,145.75,1024,31.0,4.12,397.8,146.07,0.0,0.0, , 
,146.39,896,52.5,-5.1,10111110,146.70,896,36.9,4.12,459.0,147.03,0.0,0.0, , 
,147.39,992,52.5,-4.3,10111110,147.70,960,32.5,4.12,438.6,148.00,0.0,0.0, , 
,148.30,928,52.5,-3.5,10111110,148.61,960,35.3,4.12,459.0,148.92,0.0,0.0, , 
,149.23,864,52.5,-2.7,10111110,149.54,800,32.5,4.12,438.6,149.84,0.0,0.0, , 
,150.15,832,52.5,-3.1,10111110,150.46,832,34.1,4.12,438.6,150.75,0.0,0.0, , 
,151.07,832,52.5,-7.4,10101010,151.40,1024,45.9,8.24,550.8,151.76,0.0,0.0, , 
,152.13,1856,52.5,0.0,10101010,152.50,1760,45.9,6.18,520.2,152.88,0.0,0.0, , 
,153.27,1568,54.0,-2.7,10101010,153.58,1408,53.3,7.21,612.0,153.90,0.0,0.0, , 
,154.24,1632,54.0,0.0,10111110,154.54,1280,0.0,0.00,377.4,154.88,0.0,0.0, , 
,155.18,1184,54.0,0.0,10111110,155.50,1152,29.4,4.12,397.8,155.82,0.0,0.0, , 
,156.13,928,54.0,0.0,10111110,156.44,896,34.1,4.12,438.6,156.74,0.0,0.0, , 
,157.05,928,54.0,-3.9,10111110,157.34,896,34.1,4.12,438.6,157.65,0.0,0.0, , 
,157.97,896,54.0,-5.9,10111110,158.27,896,35.3,4.12,438.6,158.57,0.0,0.0, , 
,158.89,896,54.0,-4.7,10111110,159.19,928,34.1,4.12,438.6,159.49,0.0,0.0, , 
,159.78,896,54.0,-3.9,10111110,160.07,896,34.1,4.12,438.6,160.38,0.0,0.0, , 
,160.68,896,54.0,-3.5,10111110,161.00,896,34.1,4.12,438.6,161.30,0.0,0.0, , 
,161.59,896,54.0,-3.1,10111110,161.89,896,34.1,4.12,438.6,162.21,0.0,0.0, , 
,162.53,896,54.0,-3.5,10111110,162.85,896,32.5,4.12,438.6,163.16,0.0,0.0, , 
,163.46,800,54.0,-4.3,10111110,163.76,800,34.1,4.12,438.6,164.07,0.0,0.0, , 
,164.37,832,54.0,-6.3,10111110,164.68,800,34.1,4.12,438.6,165.00,0.0,0.0, , 
,165.30,800,54.0,-8.2,10111110,165.60,800,34.1,4.12,459.0,165.89,0.0,0.0, , 
,166.19,800,54.0,-8.6,10111110,166.49,832,34.1,4.12,459.0,166.81,0.0,0.0, , 
,167.13,896,54.0,0.0,10101010,167.44,1280,41.2,6.18,499.8,167.70,0.0,0.0, , 
,168.04,1408,55.5,0.0,10101010,168.36,1344,41.2,6.18,499.8,168.66,0.0,0.0, , 
,169.00,1216,55.5,-3.1,10101010,169.33,1152,45.9,6.18,550.8,169.65,0.0,0.0, , 
,169.97,1056,55.5,0.0,10101010,170.29,1184,45.9,6.18,550.8,170.63,0.0,0.0, , 
,171.00,1408,55.5,-4.7,10101010,171.37,1504,35.3,4.12,438.6,171.74,0.0,0.0, , 
,172.08,1568,55.5,0.0,10111110,172.44,1568,25.1,3.09,336.6,172.78,0.0,0.0, , 
,173.07,1504,55.5,-7.8,10111110,173.35,1472,25.1,3.09,336.6,173.68,0.0,0.0, , 
,174.05,1440,55.5,-10.9,10101010,174.40,1440,26.7,3.09,357.0,174.74,0.0,0.0, , 
,175.10,1408,55.5,-10.9,10101010,175.48,1408,28.2,3.09,377.4,175.83,0.0,0.0, , 
,176.16,1440,55.5,-12.1,10101010,176.50,1440,29.4,3.09,377.4,176.94,0.0,0.0, , 
,177.37,1504,55.5,-12.1,10101010,177.74,1536,35.3,4.12,438.6,178.07,0.0,0.0, , 
,178.44,1696,55.5,-9.8,10101010,178.82,1760,40.0,5.15,479.4,179.19,0.0,0.0, , 
,179.56,1920,57.0,-6.3,10101010,179.93,1952,31.0,4.12,397.8,180.28,0.0,0.0, , 
,180.64,2016,55.5,-6.3,10101000,180.99,2080,38.4,5.15,438.6,181.35,0.0,0.0, , 
,181.68,2240,55.5,-5.1,10101000,182.03,2304,38.4,5.15,438.6,182.34,0.0,0.0, , 
,182.70,2432,55.5,-4.3,10101000,183.04,2400,0.0,0.00,336.6,183.34,0.0,0.0, , 
,183.66,1184,55.5,0.0,10111110,183.95,1024,35.3,6.18,438.6,184.26,0.0,0.0, , 
,184.57,1088,55.5,0.0,10111110,184.86,960,28.2,4.12,377.4,185.18,0.0,0.0, , 
,185.55,960,57.0,0.0,10111110,185.89,992,31.0,4.12,418.2,186.24,0.0,0.0, , 
,186.54,960,57.0,-7.8,10111110,186.85,896,32.5,4.12,418.2,187.15,0.0,0.0, , 
,187.44,896,57.0,-8.6,10111110,187.75,896,34.1,4.12,438.6,188.07,0.0,0.0, , 
,188.38,896,57.0,-6.6,10101010,188.72,1152,36.9,5.15,459.0,189.03,0.0,0.0, , 
,189.34,1184,57.0,0.0,10101010,189.65,1184,34.1,4.12,418.2,189.98,0.0,0.0, , 
,190.33,1216,57.0,0.0,10101010,190.64,1248,45.9,7.21,550.8,190.97,0.0,0.0, , 
,191.30,1312,57.0,0.0,10101010,191.61,1344,42.7,5.15,520.2,191.95,0.0,0.0, , 
,192.31,1376,57.0,-1.6,10111110,192.66,1504,26.7,3.09,357.0,193.02,0.0,0.0, , 
,193.38,1568,57.0,-3.5,10111110,193.64,1504,25.1,3.09,336.6,193.99,0.0,0.0, , 
,194.30,1152,57.0,-7.4,10111110,194.59,960,31.0,4.12,397.8,194.89,0.0,0.0, , 
,195.19,896,57.0,-5.5,10111110,195.48,928,35.3,4.12,459.0,195.84,0.0,0.0, , 
,196.15,960,57.0,-4.3,10111110,196.46,928,34.1,4.12,438.6,196.76,0.0,0.0, , 
,197.07,960,57.0,-3.9,10111110,197.37,928,32.5,4.12,438.6,197.68,0.0,0.0, , 
,198.00,928,57.0,-3.1,10111110,198.31,896,34.1,4.12,438.6,198.62,0.0,0.0, , 
,198.92,832,57.0,-3.1,10111110,199.22,800,32.5,4.12,438.6,199.53,0.0,0.0, , 
,199.83,832,57.0,-4.3,10111110,200.14,832,32.5,4.12,438.6,200.44,0.0,0.0, , 
,200.74,800,58.5,-5.9,10111110,201.05,800,32.5,4.12,438.6,201.36,0.0,0.0, , 
,201.65,800,58.5,-7.4,10111110,201.96,800,32.5,4.12,438.6,202.27,0.0,0.0, , 
,202.56,800,58.5,-8.6,10111110,202.86,800,34.1,4.12,438.6,203.17,0.0,0.0, , 
,203.48,800,58.5,-8.2,10111110,203.78,832,34.1,4.12,459.0,204.07,0.0,0.0, , 
,204.37,832,58.5,-7.4,10111110,204.67,832,34.1,4.12,438.6,204.99,0.0,0.0, , 
,205.28,800,58.5,-7.8,10111110,205.57,800,34.1,4.12,438.6,205.87,0.0,0.0, , 
,206.17,800,58.5,-8.2,10111110,206.47,800,34.1,4.12,438.6,206.77,0.0,0.0, , 
,207.06,800,58.5,-8.2,10111110,207.34,800,34.1,4.12,459.0,207.65,0.0,0.0, , 
,207.96,800,58.5,-7.8,10111110,208.26,800,34.1,4.12,459.0,208.55,0.0,0.0, , 
,208.83,832,58.5,-7.0,10111110,209.13,800,34.1,4.12,438.6,209.41,0.0,0.0, , 
,209.71,800,58.5,-7.0,10111110,210.02,832,34.1,4.12,438.6,210.31,0.0,0.0, , 
,210.61,800,58.5,-7.0,10111110,210.90,800,34.1,4.12,438.6,211.20,0.0,0.0, , 
,211.50,800,58.5,-7.8,10111110,211.81,800,34.1,4.12,459.0,212.11,0.0,0.0, , 
,212.41,800,58.5,-7.8,10111110,212.74,832,36.9,5.15,459.0,213.08,0.0,0.0, , 
,213.43,1408,58.5,0.0,10101010,213.78,1344,44.3,6.18,520.2,214.11,0.0,0.0, , 
,214.42,1088,58.5,0.0,10101010,214.72,928,59.2,9.27,673.2,215.06,0.0,0.0, , 
,215.37,1120,60.0,0.0,10101010,215.71,1280,51.8,7.21,612.0,216.00,0.0,0.0, , 
,216.32,1504,60.0,-5.1,10101010,216.68,1600,41.2,5.15,479.4,217.06,0.0,0.0, , 
,217.42,1824,60.0,0.0,10101010,217.76,1952,56.1,8.24,632.4,218.10,0.0,0.0, , 
,218.43,2336,60.0,0.0,10101000,218.79,1760,0.0,0.00,357.0,219.11,0.0,0.0, , 
,219.42,1120,60.0,0.0,10101010,219.75,1344,29.4,4.12,377.4,220.07,0.0,0.0, , 
,220.41,1344,60.0,0.0,10111110,220.75,1408,26.7,3.09,357.0,221.09,0.0,0.0, , 
,221.41,1280,60.0,-11.7,10111110,221.70,1088,28.2,3.09,377.4,222.01,0.0,0.0, , 
,222.33,864,60.0,-10.2,10111110,222.64,896,35.3,4.12,459.0,222.96,0.0,0.0, , 
,223.28,1280,60.0,0.0,10101010,223.58,1504,40.0,5.15,479.4,223.90,0.0,0.0, , 
,224.26,1184,60.0,0.0,10101010,224.59,1120,62.0,10.30,693.6,224.90,0.0,0.0, , 
,225.21,1088,60.0,0.0,10101010,225.53,1184,71.0,11.33,775.2,225.88,0.0,0.0, , 
,226.19,1344,60.0,0.0,10101010,226.63,1440,73.7,11.33,826.2,226.98,0.0,0.0, , 
,227.35,1664,60.0,-3.5,10101010,227.72,1760,65.1,9.27,714.0,228.10,0.0,0.0, , 
,228.45,1920,60.0,-3.1,10101010,228.76,1728,0.0,0.00,397.8,229.06,0.0,0.0, , 
,229.40,1024,60.0,0.0,10111110,229.73,1152,32.5,4.12,418.2,230.05,0.0,0.0, , 
,230.36,992,60.0,0.0,10111110,230.67,896,29.4,4.12,397.8,230.97,0.0,0.0, , 
,231.30,896,60.0,-3.9,10111110,231.59,896,34.1,4.12,438.6,231.90,0.0,0.0, , 
,232.24,896,60.0,-8.6,10111110,232.56,896,34.1,4.12,438.6,232.88,0.0,0.0, , 
,233.19,896,60.0,-7.8,10111110,233.50,864,34.1,4.12,438.6,233.81,0.0,0.0, , 
,234.12,896,60.0,-6.3,10111110,234.43,864,32.5,4.12,438.6,234.73,0.0,0.0, , 
,235.03,800,60.0,-5.5,10111110,235.33,800,34.1,4.12,459.0,235.64,0.0,0.0, , 
,235.93,800,60.0,-6.3,10111110,236.24,800,34.1,4.12,459.0,236.55,0.0,0.0, , 
,236.84,832,60.0,-7.0,10111110,237.14,800,32.5,4.12,438.6,237.44,0.0,0.0, , 
,237.75,800,60.0,-7.4,10111110,238.06,832,34.1,4.12,459.0,238.36,0.0,0.0, , 
,238.66,800,60.0,-7.0,10111110,238.96,832,34.1,4.12,459.0,239.27,0.0,0.0, , 
,239.56,800,60.0,-7.4,10111110,239.86,832,34.1,4.12,459.0,240.18,0.0,0.0, , 
,240.49,800,61.5,-7.8,10111110,240.77,800,34.1,4.12,459.0,241.06,0.0,0.0, , 
,241.37,800,61.5,-7.8,10111110,241.66,800,34.1,4.12,459.0,241.96,0.0,0.0, , 
,242.28,800,61.5,-7.0,10111110,242.59,800,34.1,4.12,459.0,242.90,0.0,0.0, , 
,243.20,800,61.5,-7.0,10111110,243.49,800,34.1,4.12,459.0,243.77,0.0,0.0, , 
,244.04,800,61.5,-6.6,10111110,244.36,832,34.1,4.12,459.0,244.66,0.0,0.0, , 
,244.98,800,61.5,-7.0,10111110,245.28,800,34.1,4.12,459.0,245.56,0.0,0.0, , 
,245.86,800,61.5,-7.4,10111110,246.16,800,34.1,4.12,459.0,246.45,0.0,0.0, , 
,246.75,800,61.5,-7.8,10111110,247.04,800,34.1,4.12,459.0,247.35,0.0,0.0, , 
,247.65,800,61.5,-8.6,10111110,247.96,800,34.1,4.12,459.0,248.28,0.0,0.0, , 
