Poniedzia³ek,21,Wrzesieñ,2026,16:14:49:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.01,800,84.0,0.8,10111111,0.30,768,29.4,4.12,438.6,0.60,0.8,0.0, , 
,0.90,800,84.0,-0.4,10111111,1.20,768,29.4,3.09,418.2,1.50,0.8,0.0, , 
,1.81,800,84.0,-0.8,10111111,2.11,800,29.4,4.12,418.2,2.42,0.8,0.0, , 
,2.73,800,84.0,-0.8,10111111,3.02,800,28.2,3.09,418.2,3.32,0.8,0.0, , 
,3.61,800,84.0,-0.4,10111111,3.93,768,28.2,3.09,418.2,4.22,0.8,0.0, , 
,4.53,768,84.0,-0.8,10111111,4.84,768,32.5,4.12,438.6,5.14,0.8,0.0, , 
,5.47,960,84.0,0.0,10101011,5.81,1120,44.3,6.18,550.8,6.14,0.0,0.0, , 
,6.42,1024,85.5,0.0,10101011,6.74,992,44.3,6.18,571.2,7.06,0.0,0.0, , 
,7.39,928,85.5,0.0,10111111,7.70,1056,28.2,3.09,397.8,8.01,0.8,0.0, , 
,8.31,1120,85.5,-1.6,10111111,8.59,1024,26.7,3.09,377.4,8.88,0.8,0.0, , 
,9.19,864,85.5,-1.2,10111111,9.50,864,28.2,3.09,397.8,9.80,0.8,0.0, , 
,10.12,864,85.5,-2.3,10111111,10.41,864,28.2,3.09,397.8,10.71,0.8,0.0, , 
,11.01,768,85.5,-2.3,10111111,11.32,800,36.9,4.12,499.8,11.62,0.8,0.0, , 
,11.92,832,85.5,-5.9,10101011,12.24,800,32.5,4.12,459.0,12.56,0.8,0.0, , 
,12.86,896,85.5,-4.3,10111111,13.18,864,31.0,4.12,438.6,13.48,0.8,0.0, , 
,13.79,896,85.5,-0.8,10101011,14.11,896,34.1,4.12,459.0,14.42,0.8,0.0, , 
,14.75,1024,85.5,2.7,10101011,15.08,1120,38.4,5.15,499.8,15.43,0.0,0.0, , 
,15.73,1408,85.5,0.0,10111111,16.07,1408,23.5,3.09,336.6,16.36,0.8,0.0, , 
,16.65,768,85.5,-1.6,10111111,16.93,672,40.0,6.18,499.8,17.23,0.8,0.0, , 
,17.52,864,85.5,-9.0,10111111,17.84,896,32.5,4.12,459.0,18.15,0.8,0.0, , 
,18.44,832,85.5,-1.2,10111111,18.77,928,34.1,4.12,459.0,19.09,0.8,0.0, , 
,19.38,896,85.5,-1.6,10111111,19.70,896,32.5,4.12,438.6,19.98,0.8,0.0, , 
,20.24,768,85.5,0.0,10111111,20.56,704,42.7,5.15,550.8,20.82,0.8,0.0, , 
,21.12,768,85.5,-1.6,10101011,21.42,768,47.1,6.18,612.0,21.70,0.0,0.0, , 
,22.01,832,85.5,0.0,10101011,22.32,896,59.2,8.24,714.0,22.63,0.0,0.0, , 
,22.99,960,85.5,-3.5,10101011,23.29,1024,50.2,6.18,632.4,23.59,0.0,0.0, , 
,23.88,1024,85.5,0.0,10111111,24.18,992,28.2,3.09,397.8,24.45,0.8,0.0, , 
,24.76,960,85.5,0.8,10111111,25.05,928,28.2,3.09,397.8,25.37,0.8,0.0, , 
,25.66,864,85.5,1.2,10101011,25.96,832,32.5,4.12,438.6,26.26,0.8,0.0, , 
,26.55,832,85.5,0.0,10101011,26.86,864,53.3,7.21,673.2,27.15,0.0,0.0, , 
,27.46,928,85.5,0.0,10101011,27.76,928,48.6,6.18,612.0,28.08,0.0,0.0, , 
,28.39,928,85.5,-0.8,10101011,28.71,896,40.0,5.15,520.2,29.01,0.0,0.0, , 
,29.31,928,85.5,2.7,10101011,29.63,928,32.5,4.12,459.0,29.95,0.8,0.0, , 
,30.24,800,85.5,0.8,10101011,30.52,768,36.9,5.15,499.8,30.82,0.0,0.0, , 
,31.11,736,85.5,0.0,10101011,31.39,800,79.6,11.33,948.6,31.69,0.0,0.0, , 
,31.97,800,85.5,0.0,10101011,32.28,864,81.2,12.36,969.0,32.58,0.0,0.0, , 
,32.87,896,87.0,0.0,10101011,33.17,1024,82.7,12.36,969.0,33.49,0.0,0.0, , 
,33.79,1216,87.0,-6.3,10101011,34.14,1280,84.3,11.33,969.0,34.59,0.0,0.0, , 
,34.95,1600,87.0,-12.9,10101011,35.33,1760,87.1,12.36,969.0,35.68,0.0,0.0, , 
,36.01,2048,87.0,-13.7,10101001,36.32,2176,87.1,11.33,948.6,36.64,0.0,0.0, , 
,36.98,2432,87.0,-13.3,10101001,37.29,2592,87.1,12.36,948.6,37.63,0.0,0.0, , 
,37.96,2432,87.0,0.0,11111101,38.30,1952,0.0,0.00,316.2,38.60,0.0,0.0, , 
,38.91,1024,87.0,0.0,11101011,39.25,1536,23.5,4.12,336.6,39.64,0.0,0.0, , 
,40.01,1728,87.0,0.0,11101011,40.35,1792,41.2,6.18,479.4,40.72,0.0,0.0, , 
,41.10,1824,87.0,0.0,11101011,41.47,1856,56.1,8.24,652.8,41.84,0.0,0.0, , 
,42.21,1952,87.0,5.1,11101011,42.57,1984,48.6,6.18,591.6,42.93,0.0,0.0, , 
,43.27,2016,87.0,7.0,11101001,43.62,2016,36.9,5.15,459.0,43.97,0.0,0.0, , 
,44.33,2048,87.0,10.2,11101001,44.69,2080,36.9,5.15,459.0,45.03,0.0,0.0, , 
,45.39,2112,87.0,8.6,11101001,45.75,2112,28.2,4.12,377.4,46.11,0.0,0.0, , 
,46.45,2112,87.0,4.7,11101001,46.81,2144,26.7,3.09,357.0,47.18,0.0,0.0, , 
,47.53,2144,87.0,2.3,11101001,47.88,2144,26.7,3.09,357.0,48.21,0.0,0.0, , 
,48.54,2176,87.0,0.4,11101001,48.88,2208,26.7,3.09,357.0,49.22,0.0,0.0, , 
,49.54,2208,87.0,-2.0,11101001,49.89,2208,25.1,3.09,336.6,50.25,0.0,0.0, , 
,50.58,2240,87.0,-7.0,11101001,50.93,2208,22.0,2.06,316.2,51.25,0.0,0.0, , 
,51.60,2208,87.0,-10.9,11101001,51.95,2240,23.5,2.06,316.2,52.32,0.0,0.0, , 
,52.67,2208,87.0,-13.7,11101001,53.01,2208,23.5,2.06,316.2,53.33,0.0,0.0, , 
,53.68,2208,87.0,-15.2,11101001,54.02,2208,23.5,2.06,316.2,54.38,0.0,0.0, , 
,54.71,2208,87.0,-13.3,11101001,55.05,2208,19.2,2.06,295.8,55.39,0.0,0.0, , 
,55.73,2176,87.0,-17.2,11101001,56.08,2176,16.1,1.03,244.8,56.42,0.0,0.0, , 
,56.75,2144,87.0,-22.7,11101001,57.10,2144,16.1,1.03,244.8,57.44,0.0,0.0, , 
,57.79,2112,87.0,-24.6,11101001,58.12,2080,16.1,1.03,244.8,58.46,0.0,0.0, , 
,58.79,2080,87.0,-27.0,11101001,59.14,2048,20.8,2.06,295.8,59.49,0.0,0.0, , 
,59.84,2048,87.0,-21.5,11101001,60.18,2016,25.1,2.06,336.6,60.54,0.0,0.0, , 
,60.89,2016,87.0,-10.5,11101001,61.24,2048,45.9,5.15,550.8,61.59,0.0,0.0, , 
,61.93,2048,87.0,-3.5,11101001,62.29,2080,42.7,5.15,520.2,62.63,0.0,0.0, , 
,62.96,2112,85.5,2.0,11101001,63.29,2112,41.2,6.18,499.8,63.65,0.0,0.0, , 
,63.98,2144,85.5,4.7,11101001,64.33,2144,26.7,3.09,357.0,64.69,0.0,0.0, , 
,65.05,2144,85.5,2.3,11101001,65.41,2144,28.2,4.12,377.4,65.74,0.0,0.0, , 
,66.09,2144,85.5,3.1,11101001,66.43,2144,34.1,4.12,418.2,66.78,0.0,0.0, , 
,67.11,2144,85.5,3.9,11101001,67.47,2144,38.4,5.15,479.4,67.80,0.0,0.0, , 
,68.13,2176,85.5,3.1,11101001,68.47,2176,40.0,5.15,479.4,68.81,0.0,0.0, , 
,69.13,2176,85.5,0.0,11101001,69.46,2176,23.5,3.09,316.2,69.80,0.0,0.0, , 
,70.14,2144,85.5,-1.2,11101001,70.49,2144,34.1,4.12,418.2,70.81,0.0,0.0, , 
,71.15,2144,85.5,4.7,11101001,71.50,2112,26.7,3.09,357.0,71.87,0.0,0.0, , 
,72.21,2080,85.5,3.9,11101001,72.57,2080,29.4,4.12,377.4,72.93,0.0,0.0, , 
,73.29,2080,85.5,5.9,11101001,73.63,2048,34.1,4.12,438.6,73.98,0.0,0.0, , 
,74.32,2080,85.5,8.6,11101001,74.68,2080,36.9,5.15,459.0,75.05,0.0,0.0, , 
,75.41,2080,85.5,9.4,11101001,75.78,2080,35.3,5.15,438.6,76.13,0.0,0.0, , 
,76.47,2080,85.5,9.4,11101001,76.83,2080,35.3,5.15,438.6,77.17,0.0,0.0, , 
,77.51,2080,85.5,9.0,11101001,77.85,2080,35.3,5.15,438.6,78.20,0.0,0.0, , 
,78.55,2112,85.5,7.8,11101001,78.91,2080,35.3,4.12,438.6,79.26,0.0,0.0, , 
,79.60,2112,85.5,7.4,11101001,79.97,2112,34.1,4.12,418.2,80.32,0.0,0.0, , 
,80.66,2112,85.5,8.2,11101001,81.01,2112,34.1,4.12,418.2,81.36,0.0,0.0, , 
,81.72,2144,85.5,7.4,11101001,82.07,2144,34.1,4.12,418.2,82.42,0.0,0.0, , 
,82.77,2144,85.5,7.8,11101001,83.10,2144,34.1,4.12,418.2,83.45,0.0,0.0, , 
,83.81,2144,85.5,5.1,11101001,84.15,2176,32.5,4.12,418.2,84.50,0.0,0.0, , 
,84.85,2176,85.5,5.5,11101001,85.19,2176,23.5,3.09,336.6,85.54,0.0,0.0, , 
,85.89,2176,85.5,-3.5,11101001,86.23,2176,22.0,3.09,316.2,86.56,0.0,0.0, , 
,86.88,2176,85.5,-9.0,11101001,87.21,2176,23.5,2.06,316.2,87.54,0.0,0.0, , 
,87.89,2144,85.5,-12.1,11101001,88.24,2176,23.5,2.06,316.2,88.57,0.0,0.0, , 
,88.92,2176,85.5,-13.7,11101001,89.26,2176,23.5,2.06,316.2,89.59,0.0,0.0, , 
,89.92,2176,85.5,-12.5,11101001,90.25,2176,22.0,2.06,316.2,90.61,0.0,0.0, , 
,90.95,2176,85.5,-10.5,11101001,91.30,2176,23.5,2.06,316.2,91.65,0.0,0.0, , 
,91.98,2176,85.5,-8.6,11101001,92.32,2176,22.0,2.06,316.2,92.65,0.0,0.0, , 
,92.98,2176,85.5,-7.4,11101001,93.31,2176,22.0,2.06,316.2,93.65,0.0,0.0, , 
,93.99,2176,85.5,-9.8,11101001,94.33,2176,22.0,2.06,295.8,94.66,0.0,0.0, , 
,95.00,2176,85.5,-12.5,11101001,95.36,2176,19.2,2.06,275.4,95.70,0.0,0.0, , 
,96.04,2208,85.5,-16.4,11101001,96.39,2208,19.2,2.06,275.4,96.73,0.0,0.0, , 
,97.07,2208,85.5,-18.0,11101001,97.42,2208,19.2,2.06,275.4,97.76,0.0,0.0, , 
,98.09,2208,85.5,-19.1,11101001,98.42,2208,19.2,2.06,275.4,98.75,0.0,0.0, , 
,99.09,2208,85.5,-20.7,10101001,99.42,2240,16.1,1.03,244.8,99.76,0.0,0.0, , 
,100.09,2240,85.5,-23.0,10101001,100.42,2240,16.1,1.03,244.8,100.75,0.0,0.0, , 
,101.10,2240,85.5,-23.4,10111101,101.45,2240,0.0,0.00,244.8,101.81,0.0,0.0, , 
,102.13,2208,85.5,0.0,10111101,102.47,2208,0.0,0.00,244.8,102.82,0.0,0.0, , 
,103.16,2208,85.5,0.0,10111101,103.50,2176,0.0,0.00,244.8,103.84,0.0,0.0, , 
,104.17,2176,84.0,0.0,10111101,104.51,2176,0.0,0.00,244.8,104.84,0.0,0.0, , 
,105.16,2144,84.0,0.0,10111101,105.49,2144,0.0,0.00,244.8,105.82,0.0,0.0, , 
,106.15,2144,84.0,0.0,10111101,106.51,2144,0.0,0.00,244.8,106.84,0.0,0.0, , 
,107.18,2112,84.0,0.0,10101001,107.53,2144,16.1,2.06,244.8,107.88,0.0,0.0, , 
,108.21,2144,84.0,0.0,10101001,108.55,2144,14.9,2.06,244.8,108.89,0.0,0.0, , 
,109.25,2144,84.0,-11.3,10111101,109.58,2144,0.0,0.00,244.8,109.92,0.0,0.0, , 
,110.25,2144,84.0,0.0,10111101,110.62,2144,0.0,0.00,244.8,110.97,0.0,0.0, , 
,111.30,2112,84.0,0.0,10111101,111.64,2112,0.0,0.00,244.8,112.00,0.0,0.0, , 
,112.35,2112,84.0,0.0,10111101,112.69,2112,0.0,0.00,244.8,113.05,0.0,0.0, , 
,113.39,2080,84.0,0.0,10111101,113.75,2080,0.0,0.00,244.8,114.11,0.0,0.0, , 
,114.47,2048,84.0,0.0,10111101,114.82,2048,0.0,0.00,244.8,115.17,0.0,0.0, , 
,115.52,2048,84.0,0.0,10111101,115.87,2048,0.0,0.00,244.8,116.22,0.0,0.0, , 
,116.58,2048,84.0,0.0,10111101,116.94,2016,16.1,3.09,244.8,117.30,0.0,0.0, , 
,117.65,2048,84.0,0.0,10101001,117.98,2080,20.8,3.09,295.8,118.34,0.0,0.0, , 
,118.68,2112,84.0,-4.3,10101001,119.03,2112,20.8,2.06,295.8,119.38,0.0,0.0, , 
,119.72,2144,84.0,-9.4,10101001,120.05,2176,20.8,2.06,295.8,120.38,0.0,0.0, , 
,120.71,2176,84.0,-17.2,10101001,121.06,2208,16.1,2.06,244.8,121.39,0.0,0.0, , 
,121.74,2240,84.0,-21.5,10111101,122.07,2240,17.6,2.06,244.8,122.39,0.0,0.0, , 
,122.73,2240,84.0,0.0,10111101,123.06,2208,0.0,0.00,244.8,123.39,0.0,0.0, , 
,123.71,2208,84.0,0.0,10111101,124.03,2208,0.0,0.00,244.8,124.36,0.0,0.0, , 
,124.71,2208,82.5,0.0,10111101,125.03,2208,0.0,0.00,244.8,125.38,0.0,0.0, , 
,125.73,2208,82.5,0.0,10111101,126.05,2208,0.0,0.00,244.8,126.40,0.0,0.0, , 
,126.72,2240,82.5,0.0,10111101,127.07,2240,0.0,0.00,244.8,127.41,0.0,0.0, , 
,127.74,2240,82.5,0.0,10111101,128.06,2240,0.0,0.00,244.8,128.38,0.0,0.0, , 
,128.71,2272,82.5,0.0,10111101,129.02,2272,0.0,0.00,244.8,129.36,0.0,0.0, , 
,129.70,2304,82.5,0.0,10111101,130.02,2304,0.0,0.00,244.8,130.36,0.0,0.0, , 
,130.71,2304,82.5,0.0,10111101,131.04,2304,0.0,0.00,244.8,131.36,0.0,0.0, , 
,131.71,2272,82.5,0.0,10111101,132.05,2272,0.0,0.00,244.8,132.39,0.0,0.0, , 
,132.74,2240,82.5,0.0,10111101,133.09,2208,0.0,0.00,244.8,133.41,0.0,0.0, , 
,133.74,2176,82.5,0.0,10111101,134.08,2176,0.0,0.00,244.8,134.41,0.0,0.0, , 
,134.74,2176,82.5,0.0,10111101,135.07,2176,0.0,0.00,244.8,135.41,0.0,0.0, , 
,135.76,2144,82.5,0.0,10111101,136.09,2176,0.0,0.00,244.8,136.41,0.0,0.0, , 
,136.74,2176,82.5,0.0,10111101,137.07,2176,0.0,0.00,244.8,137.40,0.0,0.0, , 
,137.74,2176,82.5,0.0,10111101,138.07,2176,0.0,0.00,244.8,138.40,0.0,0.0, , 
,138.74,2176,81.0,0.0,10111101,139.07,2176,0.0,0.00,244.8,139.40,0.0,0.0, , 
,139.74,2176,81.0,0.0,10111101,140.07,2176,0.0,0.00,244.8,140.40,0.0,0.0, , 
,140.74,2176,81.0,0.0,10111101,141.07,2176,0.0,0.00,244.8,141.41,0.0,0.0, , 
,141.74,2176,81.0,0.0,10111101,142.08,2176,0.0,0.00,244.8,142.43,0.0,0.0, , 
,142.77,2176,81.0,0.0,10111101,143.10,2176,0.0,0.00,244.8,143.43,0.0,0.0, , 
,143.76,2144,81.0,0.0,10111101,144.10,2144,0.0,0.00,244.8,144.44,0.0,0.0, , 
,144.79,2144,81.0,0.0,10111101,145.11,2144,0.0,0.00,244.8,145.46,0.0,0.0, , 
,145.79,2112,81.0,0.0,10111101,146.12,2112,16.1,3.09,244.8,146.45,0.0,0.0, , 
,146.80,2112,81.0,0.0,10101001,147.14,2112,14.9,2.06,244.8,147.49,0.0,0.0, , 
,147.83,2112,81.0,-8.2,10101001,148.16,2112,17.6,2.06,275.4,148.51,0.0,0.0, , 
,148.85,2112,81.0,-13.3,10101001,149.18,2144,17.6,2.06,244.8,149.50,0.0,0.0, , 
,149.86,2144,81.0,-16.8,10101001,150.20,2144,17.6,2.06,275.4,150.54,0.0,0.0, , 
,150.89,2176,81.0,-18.4,10101001,151.25,2144,17.6,2.06,275.4,151.59,0.0,0.0, , 
,151.94,2176,81.0,-19.5,10101001,152.28,2176,17.6,2.06,275.4,152.61,0.0,0.0, , 
,152.94,2176,81.0,-20.3,10101001,153.28,2176,16.1,1.03,244.8,153.62,0.0,0.0, , 
,153.94,2176,81.0,-21.1,10101001,154.30,2176,16.1,1.03,244.8,154.65,0.0,0.0, , 
,154.98,2176,81.0,-21.1,10101001,155.31,2176,16.1,2.06,244.8,155.65,0.0,0.0, , 
,155.98,2176,79.5,-19.9,10101001,156.32,2176,16.1,2.06,244.8,156.65,0.0,0.0, , 
,156.98,2176,81.0,-19.5,10101001,157.33,2176,16.1,2.06,244.8,157.66,0.0,0.0, , 
,158.00,2176,81.0,-18.4,10101001,158.35,2176,16.1,2.06,244.8,158.68,0.0,0.0, , 
,159.01,2176,81.0,-18.4,10101001,159.35,2176,16.1,2.06,244.8,159.69,0.0,0.0, , 
,160.03,2176,81.0,-18.4,10101001,160.36,2176,16.1,2.06,244.8,160.70,0.0,0.0, , 
,161.04,2176,81.0,-18.0,10101001,161.38,2176,16.1,2.06,244.8,161.71,0.0,0.0, , 
,162.03,2176,81.0,-18.4,10101001,162.37,2176,16.1,2.06,244.8,162.70,0.0,0.0, , 
,163.03,2144,79.5,-18.4,10101001,163.39,2144,16.1,2.06,244.8,163.72,0.0,0.0, , 
,164.07,2144,81.0,-18.4,10101001,164.42,2144,16.1,2.06,244.8,164.76,0.0,0.0, , 
,165.11,2144,81.0,-18.4,10101001,165.45,2144,16.1,2.06,244.8,165.78,0.0,0.0, , 
,166.12,2112,79.5,-19.1,10101001,166.45,2112,16.1,2.06,244.8,166.78,0.0,0.0, , 
,167.11,2112,81.0,-19.5,10101001,167.45,2112,16.1,1.03,244.8,167.78,0.0,0.0, , 
,168.14,2080,81.0,-19.5,10101001,168.50,2080,16.1,1.03,244.8,168.87,0.0,0.0, , 
,169.22,2080,79.5,-21.1,10101001,169.57,2048,16.1,1.03,244.8,169.92,0.0,0.0, , 
,170.28,2048,81.0,-21.9,10101001,170.62,2016,16.1,1.03,244.8,170.96,0.0,0.0, , 
,171.29,2048,81.0,-18.8,10101001,171.66,1984,23.5,2.06,316.2,172.01,0.0,0.0, , 
,172.37,2016,81.0,-9.0,10101001,172.72,2048,29.4,3.09,377.4,173.08,0.0,0.0, , 
,173.43,2048,81.0,-3.9,10101001,173.78,2048,28.2,4.12,377.4,174.11,0.0,0.0, , 
,174.46,2048,81.0,-0.8,10101001,174.80,2080,26.7,4.12,357.0,175.15,0.0,0.0, , 
,175.49,2080,81.0,0.8,10101001,175.82,2080,26.7,3.09,357.0,176.15,0.0,0.0, , 
,176.50,2080,81.0,0.4,10101001,176.85,2048,17.6,2.06,275.4,177.19,0.0,0.0, , 
,177.54,2048,81.0,-13.7,10101001,177.90,2016,14.9,1.03,244.8,178.26,0.0,0.0, , 
,178.62,1952,81.0,-21.5,10101011,178.97,1952,17.6,2.06,275.4,179.34,0.0,0.0, , 
,179.70,1952,81.0,-18.0,10101011,180.04,1920,22.0,2.06,316.2,180.42,0.0,0.0, , 
,180.78,1920,81.0,-14.8,10101011,181.14,1888,22.0,2.06,316.2,181.52,0.0,0.0, , 
,181.89,1856,81.0,-15.2,10101011,182.25,1888,22.0,2.06,316.2,182.62,0.0,0.0, , 
,182.98,1888,81.0,-15.6,10111111,183.35,1856,19.2,2.06,275.4,183.70,0.0,0.0, , 
,184.06,1856,81.0,0.0,10111111,184.40,1824,0.0,0.00,295.8,184.75,0.0,0.0, , 
,185.10,1792,81.0,0.0,10111111,185.44,1760,0.0,0.00,316.2,185.78,0.0,0.0, , 
,186.13,1728,81.0,0.0,10111111,186.50,1696,0.0,0.00,316.2,186.83,0.0,0.0, , 
,187.16,1664,81.0,0.0,10111111,187.44,1568,0.0,0.00,316.2,187.72,0.8,0.0, , 
,188.01,864,81.0,0.0,10111111,188.32,960,34.1,5.15,438.6,188.63,0.8,0.0, , 
,188.93,896,81.0,0.0,10111111,189.26,896,28.2,4.12,397.8,189.55,0.8,0.0, , 
,189.85,896,81.0,0.0,10111111,190.15,896,28.2,4.12,397.8,190.44,0.8,0.0, , 
,190.75,896,81.0,-0.4,10111111,191.07,896,29.4,4.12,397.8,191.38,0.8,0.0, , 
,191.71,928,81.0,0.0,10111111,192.02,928,26.7,4.12,377.4,192.32,0.8,0.0, , 
,192.64,896,81.0,0.8,10111111,192.95,864,28.2,4.12,397.8,193.25,0.8,0.0, , 
,193.55,896,81.0,3.1,10101011,193.86,864,35.3,5.15,479.4,194.17,0.0,0.0, , 
,194.45,928,81.0,1.6,10101011,194.81,992,47.1,7.21,591.6,195.11,0.0,0.0, , 
,195.43,1120,81.0,-2.7,10101011,195.74,1152,51.8,8.24,632.4,196.06,0.0,0.0, , 
,196.41,1344,81.0,0.0,10101011,196.69,1472,66.3,10.30,775.2,197.04,0.0,0.0, , 
,197.40,1696,81.0,-0.8,10101011,197.76,1856,65.1,9.27,734.4,198.10,0.0,0.0, , 
,198.45,2080,81.0,-0.4,10101001,198.80,2176,60.4,8.24,693.6,199.15,0.0,0.0, , 
,199.50,2400,81.0,2.3,10101001,199.85,2528,51.8,7.21,612.0,200.18,0.0,0.0, , 
,200.51,2080,81.0,0.0,10111101,200.82,1568,0.0,0.00,316.2,201.11,0.8,0.0, , 
,201.45,1344,81.0,0.0,10101011,201.83,1888,23.5,4.12,336.6,202.21,0.0,0.0, , 
,202.57,1888,81.0,0.0,10101011,202.94,1920,35.3,4.12,438.6,203.32,0.0,0.0, , 
,203.68,2016,81.0,0.8,10101001,204.02,2048,32.5,4.12,397.8,204.37,0.0,0.0, , 
,204.72,2112,81.0,2.3,10101001,205.06,2144,40.0,5.15,479.4,205.40,0.0,0.0, , 
,205.75,2240,81.0,3.1,10101001,206.10,2304,45.9,6.18,520.2,206.45,0.0,0.0, , 
,206.81,2400,81.0,5.1,10101001,207.14,2432,42.7,6.18,499.8,207.50,0.0,0.0, , 
,207.86,2496,81.0,4.7,10101001,208.19,2560,40.0,6.18,479.4,208.54,0.0,0.0, , 
,208.87,2624,81.0,4.3,10101001,209.19,2464,0.0,0.00,316.2,209.56,0.0,0.0, , 
,209.87,1440,81.0,0.0,10111111,210.19,1440,23.5,4.12,336.6,210.54,0.0,0.0, , 
,210.89,2016,81.0,0.0,10101001,211.25,1984,25.1,3.09,336.6,211.62,0.0,0.0, , 
,211.97,2016,81.0,0.4,10101001,212.33,2016,38.4,5.15,459.0,212.71,0.0,0.0, , 
,213.05,2048,81.0,2.7,10101001,213.41,2048,51.8,7.21,612.0,213.75,0.0,0.0, , 
,214.09,2080,81.0,2.3,10101001,214.41,2112,50.2,7.21,591.6,214.77,0.0,0.0, , 
,215.13,2144,81.0,1.6,10101001,215.47,2144,50.2,7.21,591.6,215.82,0.0,0.0, , 
,216.16,2176,81.0,0.8,10101001,216.51,2176,56.1,8.24,652.8,216.85,0.0,0.0, , 
,217.19,2208,81.0,3.5,10101001,217.55,2240,57.6,8.24,652.8,217.90,0.0,0.0, , 
,218.23,2272,81.0,6.6,11101001,218.57,2272,56.1,8.24,652.8,218.90,0.0,0.0, , 
,219.23,2336,81.0,-0.4,11101001,219.54,2336,65.1,9.27,734.4,219.86,0.0,0.0, , 
,220.19,2368,82.5,2.3,11101001,220.51,2400,65.1,9.27,734.4,220.87,0.0,0.0, , 
,221.22,2432,82.5,1.2,11101001,221.60,2464,71.0,10.30,775.2,221.95,0.0,0.0, , 
,222.27,2496,82.5,-1.6,11101001,222.62,2528,71.0,10.30,795.6,222.98,0.0,0.0, , 
,223.32,2560,82.5,-1.6,11101001,223.67,2592,72.2,10.30,795.6,224.01,0.0,0.0, , 
,224.35,2624,82.5,-2.7,11101001,224.69,2656,72.2,10.30,795.6,225.05,0.0,0.0, , 
