Poniedzia³ek,21,Wrzesieñ,2026,06:33:46:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.01,0,13.5,0.0,10110110,0.27,0,0.0,0.00,989.4,0.53,99.2,0.0, , 
,0.80,0,13.5,0.0,10110110,1.06,0,0.0,0.00,989.4,1.33,99.2,0.0, , 
,1.59,0,13.5,0.0,10110110,1.87,0,0.0,0.00,989.4,2.15,99.2,0.0, , 
,2.43,0,13.5,0.0,10110110,2.69,0,0.0,0.00,989.4,2.95,99.2,0.0, , 
,3.22,0,13.5,0.0,10110110,3.48,0,0.0,0.00,989.4,3.75,99.2,0.0, , 
,4.02,0,13.5,0.0,10110110,4.29,0,0.0,0.00,989.4,4.56,99.2,0.0, , 
,4.83,0,13.5,0.0,10110110,5.10,0,0.0,0.00,989.4,5.36,99.2,0.0, , 
,5.63,0,13.5,0.0,10110110,5.90,0,0.0,0.00,989.4,6.18,99.2,0.0, , 
,6.44,0,13.5,0.0,10110110,6.70,0,0.0,0.00,989.4,6.98,99.2,0.0, , 
,7.25,0,13.5,0.0,10110110,7.52,0,0.0,0.00,989.4,7.78,99.2,0.0, , 
,8.05,0,13.5,0.0,10110110,8.32,0,0.0,0.00,989.4,8.58,99.2,0.0, , 
,8.85,0,13.5,0.0,10110110,9.11,0,0.0,0.00,989.4,9.38,99.2,0.0, , 
,9.65,0,13.5,0.0,10110110,9.93,0,0.0,0.00,989.4,10.19,99.2,0.0, , 
,10.46,0,13.5,0.0,10110110,10.73,0,0.0,0.00,989.4,11.01,99.2,0.0, , 
,11.29,0,13.5,0.0,10110110,11.56,0,0.0,0.00,989.4,11.83,99.2,0.0, , 
,12.10,0,13.5,0.0,10110110,12.36,0,0.0,0.00,989.4,12.63,99.2,0.0, , 
,12.90,0,13.5,0.0,10110110,13.18,0,0.0,0.00,989.4,13.44,99.2,0.0, , 
,13.71,0,13.5,0.0,10110110,13.97,0,0.0,0.00,989.4,14.24,99.2,0.0, , 
,14.50,0,13.5,0.0,10110110,14.77,0,0.0,0.00,989.4,15.03,99.2,0.0, , 
,15.30,0,13.5,0.0,10110110,15.57,0,0.0,0.00,989.4,15.83,99.2,0.0, , 
,16.10,0,13.5,0.0,10110110,16.36,0,0.0,0.00,989.4,16.63,99.2,0.0, , 
,16.89,0,13.5,0.0,10110110,17.16,0,0.0,0.00,989.4,17.43,99.2,0.0, , 
,17.70,0,13.5,0.0,10110110,17.98,0,0.0,0.00,989.4,18.26,99.2,0.0, , 
,18.53,0,13.5,0.0,10110110,18.80,0,0.0,0.00,989.4,19.06,99.2,0.0, , 
,19.33,0,13.5,0.0,10110110,19.60,0,0.0,0.00,989.4,19.86,99.2,0.0, , 
,20.13,0,13.5,0.0,10110110,20.39,0,0.0,0.00,989.4,20.66,99.2,0.0, , 
,20.92,0,13.5,0.0,10110110,21.19,0,0.0,0.00,989.4,21.45,99.2,0.0, , 
,21.73,0,13.5,0.0,10110110,22.00,0,0.0,0.00,989.4,22.27,99.2,0.0, , 
,22.54,0,13.5,0.0,10110110,22.82,0,0.0,0.00,989.4,23.08,99.2,0.0, , 
,23.35,0,13.5,0.0,10110110,23.61,0,0.0,0.00,989.4,23.88,99.2,0.0, , 
,24.14,0,13.5,0.0,10110110,24.41,0,0.0,0.00,989.4,24.68,99.2,0.0, , 
,24.94,0,13.5,0.0,10110110,25.21,0,0.0,0.00,989.4,25.47,99.2,0.0, , 
,25.74,0,13.5,0.0,10110110,26.00,0,0.0,0.00,989.4,26.27,99.2,0.0, , 
,26.53,160,13.5,0.0,10110110,26.80,160,100.0,90.64,989.4,27.12,99.2,0.0, , 
,27.42,1216,13.5,0.0,10110110,27.85,1472,60.4,15.45,652.8,28.18,0.0,0.0, , 
,28.51,1312,13.5,0.0,10110110,28.84,1216,45.9,11.33,499.8,29.14,0.0,0.0, , 
,29.46,1088,13.5,0.0,10110110,29.78,1120,51.8,12.36,571.2,30.09,0.0,0.0, , 
,30.41,1056,13.5,0.0,10110110,30.72,1056,51.8,12.36,571.2,31.04,0.0,0.0, , 
,31.34,1056,13.5,0.0,10110110,31.68,1056,51.8,11.33,571.2,31.99,0.0,0.0, , 
,32.29,1056,13.5,0.0,10110110,32.61,1056,50.2,11.33,571.2,32.92,0.0,0.0, , 
,33.24,1056,13.5,0.0,10110110,33.54,1056,50.2,10.30,571.2,33.84,0.0,0.0, , 
,34.17,1056,13.5,0.0,10110110,34.49,1056,48.6,10.30,550.8,34.80,0.0,0.0, , 
,35.11,1056,13.5,0.0,10110110,35.44,1056,48.6,9.27,550.8,35.75,0.0,0.0, , 
,36.06,1024,13.5,0.0,10110110,36.37,1056,47.1,9.27,550.8,36.70,0.0,0.0, , 
,37.02,1056,13.5,0.0,10110110,37.34,1024,47.1,9.27,520.2,37.68,0.0,0.0, , 
,37.98,1024,13.5,0.0,10110110,38.31,1024,47.1,9.27,520.2,38.64,0.0,0.0, , 
,38.96,1024,13.5,0.0,10110110,39.29,1024,47.1,8.24,520.2,39.60,0.0,0.0, , 
,39.92,1056,13.5,0.0,10100010,40.25,1152,40.0,7.21,459.0,40.56,0.0,0.0, , 
,40.87,1088,13.5,0.0,10100010,41.18,1056,42.7,8.24,499.8,41.49,0.0,0.0, , 
,41.80,1024,13.5,0.0,10100010,42.13,1120,60.4,15.45,652.8,42.46,0.0,0.0, , 
,42.79,1376,13.5,0.0,10100010,43.12,1376,50.2,9.27,550.8,43.44,0.0,0.0, , 
,43.76,960,13.5,0.0,10100010,44.07,896,62.0,16.48,673.2,44.35,0.0,0.0, , 
,44.67,1024,15.0,0.0,10100010,44.99,1088,44.3,7.21,499.8,45.29,0.0,0.0, , 
,45.61,1216,13.5,0.0,10110110,45.93,1216,38.4,6.18,438.6,46.24,0.0,0.0, , 
,46.58,1312,15.0,0.0,10110110,46.92,1184,36.9,6.18,438.6,47.25,0.0,0.0, , 
,47.54,992,15.0,0.0,10110110,47.87,992,44.3,7.21,499.8,48.20,0.0,0.0, , 
,48.53,992,15.0,0.0,10110110,48.85,1024,42.7,7.21,499.8,49.15,0.0,0.0, , 
,49.47,1024,15.0,0.0,10110110,49.77,992,45.9,11.33,499.8,50.09,0.0,0.0, , 
,50.41,1120,15.0,0.0,10100010,50.74,1088,56.1,13.39,612.0,51.07,0.0,0.0, , 
,51.39,1248,15.0,0.0,10100010,51.69,1120,50.2,10.30,571.2,51.99,0.0,0.0, , 
,52.31,960,15.0,0.0,10100010,52.67,1280,41.2,4.12,479.4,52.98,0.0,0.0, , 
,53.27,1024,15.0,0.0,10100010,53.58,928,47.1,9.27,520.2,53.89,0.0,0.0, , 
,54.20,864,15.0,0.0,10100010,54.51,864,54.5,9.27,612.0,54.81,0.0,0.0, , 
,55.09,928,15.0,0.0,10100010,55.39,992,57.6,10.30,632.4,55.70,0.0,0.0, , 
,56.04,1184,15.0,0.0,10100010,56.35,1312,62.0,11.33,652.8,56.75,0.0,0.0, , 
,57.11,1696,16.5,0.0,10100010,57.48,1920,67.8,10.30,693.6,57.84,0.0,0.0, , 
,58.17,2176,16.5,0.0,10110100,58.53,2112,25.1,3.09,316.2,58.86,0.0,0.0, , 
,59.18,1248,16.5,0.0,10100010,59.48,1184,56.1,18.54,591.6,59.81,0.0,0.0, , 
,60.15,1248,16.5,0.0,10100010,60.50,1248,56.1,10.30,612.0,60.81,0.0,0.0, , 
,61.15,1344,16.5,0.0,10100010,61.49,1408,57.6,10.30,612.0,61.93,0.0,0.0, , 
,62.25,1536,16.5,0.0,10101010,62.64,1600,56.1,8.24,612.0,63.01,0.0,0.0, , 
,63.39,1728,16.5,0.0,10101010,63.77,1792,51.8,8.24,550.8,64.13,0.0,0.0, , 
,64.47,1920,16.5,0.0,10101010,64.83,1984,65.1,10.30,652.8,65.17,0.0,0.0, , 
,65.51,2144,18.0,0.0,10101000,65.86,2208,66.3,10.30,673.2,66.18,0.0,0.0, , 
,66.52,2336,18.0,-3.1,10101000,66.86,2400,62.0,9.27,632.4,67.19,0.0,0.0, , 
,67.53,2528,18.0,-3.1,10101000,67.85,2592,57.6,8.24,591.6,68.15,0.0,0.0, , 
,68.48,1888,18.0,0.0,10111110,68.83,1184,38.4,11.33,438.6,69.14,0.0,0.0, , 
,69.47,1216,18.0,0.0,10111110,69.78,1184,35.3,5.15,418.2,70.10,0.0,0.0, , 
,70.41,1152,18.0,-3.1,10111110,70.73,1120,36.9,5.15,438.6,71.04,0.0,0.0, , 
,71.35,1056,18.0,-4.3,10111110,71.66,1024,40.0,5.15,459.0,71.92,0.0,0.0, , 
,72.23,992,18.0,-2.3,10111110,72.55,960,42.7,6.18,499.8,72.85,0.0,0.0, , 
,73.18,960,18.0,0.8,10111110,73.49,960,41.2,6.18,479.4,73.79,0.0,0.0, , 
,74.13,960,19.5,2.7,10111110,74.44,960,41.2,6.18,479.4,74.72,0.0,0.0, , 
,75.02,960,19.5,3.5,10111110,75.34,960,41.2,6.18,479.4,75.67,0.0,0.0, , 
,75.99,960,19.5,3.5,10111110,76.30,960,41.2,6.18,479.4,76.61,0.0,0.0, , 
,76.92,960,19.5,3.1,10111110,77.23,960,41.2,6.18,479.4,77.54,0.0,0.0, , 
,77.83,960,19.5,2.3,10111110,78.13,960,38.4,5.15,459.0,78.42,0.0,0.0, , 
,78.75,992,19.5,0.0,10101010,79.11,1376,66.3,17.51,693.6,79.51,0.0,0.0, , 
,79.86,1408,19.5,0.0,10101010,80.14,896,63.5,11.33,673.2,80.47,0.0,0.0, , 
,80.80,1376,19.5,0.0,10101010,81.08,1440,67.8,16.48,714.0,81.45,0.0,0.0, , 
,81.82,1952,19.5,0.0,10101010,82.17,2144,53.3,3.09,591.6,82.56,0.0,0.0, , 
,82.88,1216,21.0,0.0,10101010,83.21,1184,41.2,6.18,459.0,83.54,0.0,0.0, , 
,83.86,1216,21.0,0.0,10101010,84.20,1280,75.3,21.63,775.2,84.55,0.0,0.0, , 
,84.99,1472,21.0,0.0,10101010,85.34,1568,63.5,11.33,673.2,85.70,0.0,0.0, , 
,86.04,1728,21.0,-7.0,10101010,86.40,1792,59.2,9.27,632.4,86.76,0.0,0.0, , 
,87.12,1984,21.0,-14.1,10101010,87.47,2016,50.2,6.18,520.2,87.83,0.0,0.0, , 
,88.15,2144,21.0,-11.3,10101000,88.47,2208,44.3,6.18,479.4,88.80,0.0,0.0, , 
,89.15,2336,21.0,-4.7,10101000,89.49,2400,42.7,6.18,459.0,89.85,0.0,0.0, , 
,90.18,2496,21.0,-3.1,10101000,90.51,2432,0.0,0.00,316.2,90.82,0.0,0.0, , 
,91.17,1120,22.5,0.0,10111110,91.49,1184,36.9,6.18,438.6,91.79,0.0,0.0, , 
,92.09,1152,22.5,0.0,10111110,92.42,1184,34.1,5.15,418.2,92.79,0.0,0.0, , 
,93.14,1728,22.5,-9.4,10101010,93.50,1696,28.2,4.12,357.0,93.87,0.0,0.0, , 
,94.25,1760,22.5,-10.5,10101010,94.59,1728,28.2,4.12,336.6,94.94,0.0,0.0, , 
,95.33,1792,22.5,-9.4,10101010,95.73,1792,26.7,3.09,336.6,96.10,0.0,0.0, , 
,96.48,1824,22.5,-7.0,10101010,96.87,1856,26.7,3.09,316.2,97.25,0.0,0.0, , 
,97.59,1856,22.5,-3.1,10111110,97.94,1856,26.7,3.09,316.2,98.31,0.0,0.0, , 
,98.69,1824,22.5,0.8,10111110,99.06,1824,26.7,4.12,336.6,99.43,0.0,0.0, , 
,99.79,1824,24.0,4.3,10111110,100.15,1792,28.2,4.12,336.6,100.52,0.0,0.0, , 
,100.88,1824,24.0,5.9,10111110,101.25,1824,28.2,4.12,336.6,101.61,0.0,0.0, , 
,101.97,1824,24.0,6.3,10111110,102.33,1824,26.7,4.12,336.6,102.67,0.0,0.0, , 
,103.03,1856,24.0,5.9,10111110,103.40,1856,26.7,4.12,336.6,103.78,0.0,0.0, , 
,104.16,1792,24.0,5.5,10111110,104.52,1728,28.2,4.12,357.0,104.84,0.0,0.0, , 
,105.20,1664,24.0,7.4,10111110,105.54,1600,31.0,5.15,377.4,105.89,0.0,0.0, , 
,106.24,1472,24.0,9.0,10111110,106.57,1376,32.5,5.15,397.8,106.88,0.0,0.0, , 
,107.17,1024,24.0,9.4,10111110,107.46,1024,40.0,6.18,459.0,107.78,0.0,0.0, , 
,108.10,1024,24.0,9.8,10111110,108.42,1024,36.9,6.18,459.0,108.74,0.0,0.0, , 
,109.05,992,24.0,7.0,10111110,109.40,960,40.0,6.18,459.0,109.67,0.0,0.0, , 
,109.99,960,25.5,5.1,10111110,110.29,928,41.2,6.18,479.4,110.58,0.0,0.0, , 
,110.89,960,25.5,5.1,10111110,111.22,1024,38.4,6.18,459.0,111.52,0.0,0.0, , 
,111.88,1696,25.5,4.7,10101010,112.24,1696,29.4,4.12,357.0,112.57,0.0,0.0, , 
,112.95,1728,25.5,7.0,10101010,113.32,1824,36.9,6.18,418.2,113.69,0.0,0.0, , 
,114.06,1888,25.5,5.9,10101010,114.43,1952,32.5,5.15,377.4,114.77,0.0,0.0, , 
,115.12,2016,25.5,3.5,10101000,115.47,2080,35.3,5.15,397.8,115.82,0.0,0.0, , 
,116.16,2144,25.5,2.7,10101000,116.49,2176,26.7,4.12,316.2,116.83,0.0,0.0, , 
,117.16,2176,25.5,-2.7,10111100,117.50,2208,22.0,3.09,275.4,117.82,0.0,0.0, , 
,118.15,2176,25.5,-5.5,10111100,118.48,2176,22.0,3.09,275.4,118.83,0.0,0.0, , 
,119.19,2112,25.5,-0.8,10111100,119.53,2080,22.0,3.09,275.4,119.88,0.0,0.0, , 
,120.23,2016,27.0,1.2,10101000,120.60,2048,23.5,3.09,295.8,120.92,0.0,0.0, , 
,121.27,2144,27.0,5.9,10101000,121.61,2208,34.1,5.15,377.4,121.95,0.0,0.0, , 
,122.28,2304,27.0,13.3,10101000,122.63,2368,45.9,7.21,479.4,122.97,0.0,0.0, , 
,123.30,2528,27.0,0.0,10111100,123.66,1920,0.0,0.00,316.2,123.96,0.0,0.0, , 
,124.26,1184,27.0,0.0,10101010,124.60,1760,29.4,4.12,377.4,124.94,0.0,0.0, , 
,125.31,1856,27.0,-4.3,10101010,125.69,1824,40.0,6.18,459.0,126.05,0.0,0.0, , 
,126.42,1920,27.0,-2.3,10101010,126.79,1824,0.0,0.00,336.6,127.08,0.0,0.0, , 
,127.39,1120,27.0,0.0,10111110,127.71,1184,36.9,6.18,438.6,128.01,0.0,0.0, , 
,128.35,1152,27.0,0.0,10111110,128.65,1088,34.1,5.15,418.2,128.96,0.0,0.0, , 
,129.31,1056,27.0,-5.1,10111110,129.65,960,36.9,5.15,438.6,129.96,0.0,0.0, , 
,130.27,960,27.0,-5.5,10111110,130.58,928,38.4,5.15,459.0,130.89,0.0,0.0, , 
,131.21,896,27.0,-3.1,10111110,131.49,896,40.0,5.15,479.4,131.79,0.0,0.0, , 
,132.11,896,28.5,-0.8,10111110,132.43,896,38.4,5.15,459.0,132.76,0.0,0.0, , 
,133.06,928,28.5,1.2,10111110,133.41,992,36.9,5.15,459.0,133.79,0.0,0.0, , 
,134.18,1408,28.5,4.3,10101010,134.46,1440,53.3,12.36,571.2,134.78,0.0,0.0, , 
,135.14,1568,28.5,0.0,10101010,135.47,1664,71.0,12.36,734.4,135.84,0.0,0.0, , 
,136.21,1888,28.5,0.0,10101010,136.55,2016,76.9,12.36,775.2,136.88,0.0,0.0, , 
,137.21,2240,28.5,-0.8,10101000,137.54,2336,63.5,9.27,652.8,137.88,0.0,0.0, , 
,138.20,2496,28.5,0.0,10101000,138.55,2560,50.2,7.21,520.2,138.88,0.0,0.0, , 
,139.20,2688,28.5,0.8,10101000,139.54,2752,47.1,7.21,499.8,139.88,0.0,0.0, , 
,140.22,2048,28.5,0.0,10111100,140.55,1248,32.5,5.15,397.8,140.89,0.0,0.0, , 
,141.20,1056,28.5,0.0,10111110,141.51,1088,35.3,5.15,438.6,141.84,0.0,0.0, , 
,142.16,1088,30.0,-1.6,10111110,142.49,1056,35.3,5.15,438.6,142.80,0.0,0.0, , 
,143.11,960,30.0,-5.1,10111110,143.42,896,38.4,5.15,459.0,143.73,0.0,0.0, , 
,144.07,864,30.0,-2.3,10111110,144.39,896,40.0,5.15,479.4,144.70,0.0,0.0, , 
,145.01,896,30.0,0.8,10111110,145.33,928,40.0,5.15,479.4,145.63,0.0,0.0, , 
,145.92,896,30.0,3.1,10111110,146.25,896,40.0,5.15,479.4,146.57,0.0,0.0, , 
,146.86,896,30.0,3.9,10111110,147.17,928,38.4,5.15,479.4,147.47,0.0,0.0, , 
,147.77,896,30.0,3.9,10111110,148.08,896,38.4,5.15,459.0,148.38,0.0,0.0, , 
,148.69,896,30.0,3.5,10111110,149.01,896,38.4,5.15,459.0,149.31,0.0,0.0, , 
,149.61,864,30.0,3.9,10111110,149.93,896,38.4,5.15,459.0,150.24,0.0,0.0, , 
,150.56,896,30.0,3.1,10111110,150.88,896,36.9,5.15,459.0,151.17,0.0,0.0, , 
,151.49,896,31.5,2.7,10111110,151.80,896,36.9,5.15,459.0,152.12,0.0,0.0, , 
,152.44,864,31.5,2.3,10111110,152.74,896,36.9,5.15,459.0,153.04,0.0,0.0, , 
,153.34,864,31.5,2.3,10111110,153.65,864,38.4,5.15,459.0,153.93,0.0,0.0, , 
,154.24,896,31.5,3.1,10111110,154.54,864,38.4,5.15,459.0,154.84,0.0,0.0, , 
,155.14,896,31.5,3.5,10111110,155.45,864,34.1,5.15,438.6,155.76,0.0,0.0, , 
,156.07,864,31.5,2.7,10111110,156.36,832,35.3,5.15,459.0,156.67,0.0,0.0, , 
,156.97,864,31.5,1.2,10111110,157.29,864,36.9,5.15,459.0,157.58,0.0,0.0, , 
,157.88,864,31.5,-1.2,10111110,158.18,864,36.9,5.15,459.0,158.49,0.0,0.0, , 
,158.81,832,33.0,-0.4,10111110,159.10,832,36.9,5.15,459.0,159.38,0.0,0.0, , 
,159.67,864,33.0,1.6,10111110,159.98,864,36.9,5.15,459.0,160.30,0.0,0.0, , 
,160.59,864,33.0,2.7,10111110,160.89,832,36.9,5.15,459.0,161.20,0.0,0.0, , 
,161.49,864,33.0,3.5,10111110,161.81,864,36.9,5.15,459.0,162.12,0.0,0.0, , 
,162.43,864,33.0,3.9,10111110,162.71,864,38.4,5.15,459.0,163.01,0.0,0.0, , 
,163.31,864,33.0,3.9,10111110,163.59,864,36.9,5.15,459.0,163.91,0.0,0.0, , 
,164.22,864,33.0,3.5,10111110,164.53,864,36.9,5.15,459.0,164.85,0.0,0.0, , 
,165.16,864,33.0,2.7,10111110,165.47,864,36.9,5.15,459.0,165.78,0.0,0.0, , 
,166.10,864,33.0,2.7,10111110,166.39,864,36.9,5.15,459.0,166.70,0.0,0.0, , 
,167.03,864,33.0,2.7,10111110,167.34,864,38.4,5.15,459.0,167.65,0.0,0.0, , 
,167.95,864,33.0,3.1,10111110,168.26,864,36.9,5.15,459.0,168.56,0.0,0.0, , 
,168.86,864,34.5,3.1,10111110,169.17,864,36.9,5.15,459.0,169.49,0.0,0.0, , 
,169.79,864,34.5,3.1,10111110,170.09,864,36.9,5.15,459.0,170.41,0.0,0.0, , 
,170.72,864,34.5,3.1,10111110,171.03,864,38.4,5.15,459.0,171.35,0.0,0.0, , 
,171.64,864,34.5,3.9,10111110,171.95,864,38.4,5.15,459.0,172.26,0.0,0.0, , 
,172.56,864,34.5,3.5,10111110,172.87,864,38.4,5.15,459.0,173.17,0.0,0.0, , 
,173.49,864,34.5,3.1,10111110,173.78,864,38.4,5.15,459.0,174.09,0.0,0.0, , 
,174.39,864,34.5,2.7,10111110,174.70,864,38.4,5.15,479.4,175.00,0.0,0.0, , 
,175.31,864,34.5,2.7,10111110,175.62,864,36.9,5.15,459.0,175.90,0.0,0.0, , 
,176.21,864,34.5,2.7,10111110,176.53,864,36.9,5.15,459.0,176.84,0.0,0.0, , 
,177.15,832,34.5,2.7,10111110,177.46,864,38.4,5.15,479.4,177.77,0.0,0.0, , 
,178.08,864,34.5,3.5,10111110,178.39,864,38.4,5.15,459.0,178.70,0.0,0.0, , 
,179.01,864,34.5,3.5,10111110,179.30,864,38.4,5.15,459.0,179.58,0.0,0.0, , 
,179.89,832,34.5,3.1,10111110,180.21,864,38.4,5.15,479.4,180.51,0.0,0.0, , 
,180.80,864,36.0,3.5,10111110,181.11,864,36.9,5.15,459.0,181.42,0.0,0.0, , 
,181.73,832,36.0,3.1,10111110,182.02,832,41.2,6.18,499.8,182.35,0.0,0.0, , 
,182.66,1472,36.0,0.0,10101010,183.03,1504,47.1,7.21,550.8,183.35,0.0,0.0, , 
,183.65,832,36.0,0.0,10101010,183.95,1120,63.5,8.24,714.0,184.27,0.0,0.0, , 
,184.63,1536,36.0,0.0,10101010,184.97,1696,0.0,0.00,438.6,185.30,0.0,0.0, , 
,185.61,1184,36.0,0.0,10101010,185.94,1024,36.9,5.15,459.0,186.27,0.0,0.0, , 
,186.57,1024,36.0,0.0,10101010,186.89,1056,45.9,7.21,550.8,187.23,0.0,0.0, , 
,187.56,1152,36.0,0.0,10101010,187.89,1216,53.3,8.24,591.6,188.23,0.0,0.0, , 
,188.58,1344,36.0,3.1,10101010,188.89,1408,57.6,9.27,632.4,189.31,0.0,0.0, , 
,189.67,1568,36.0,10.9,10101010,190.03,1664,60.4,10.30,652.8,190.37,0.0,0.0, , 
,190.75,1824,36.0,9.8,10101010,191.10,1920,54.5,8.24,591.6,191.47,0.0,0.0, , 
,191.81,2080,36.0,0.0,10101000,192.14,2112,67.8,10.30,693.6,192.48,0.0,0.0, , 
,192.82,2304,36.0,0.8,10101000,193.15,2400,40.0,2.06,459.0,193.47,0.0,0.0, , 
,193.79,1088,36.0,0.0,10111110,194.12,1152,38.4,6.18,459.0,194.44,0.0,0.0, , 
,194.75,1152,36.0,0.0,10111110,195.06,1056,32.5,5.15,418.2,195.35,0.0,0.0, , 
,195.64,992,36.0,-6.6,10111110,195.95,960,35.3,5.15,438.6,196.25,0.0,0.0, , 
,196.55,960,36.0,-10.9,10111110,196.85,928,36.9,5.15,459.0,197.15,0.0,0.0, , 
,197.46,896,36.0,-9.8,10111110,197.76,896,38.4,5.15,479.4,198.06,0.0,0.0, , 
,198.37,896,36.0,-6.6,10111110,198.67,864,38.4,5.15,479.4,198.97,0.0,0.0, , 
,199.26,896,36.0,-4.3,10111110,199.57,864,40.0,5.15,479.4,199.85,0.0,0.0, , 
,200.15,896,36.0,-1.2,10111110,200.46,896,40.0,5.15,479.4,200.76,0.0,0.0, , 
,201.06,896,37.5,2.3,10101010,201.41,864,92.9,22.66,948.6,201.73,0.0,0.0, , 
,202.05,896,37.5,0.0,10101010,202.32,896,84.3,15.45,887.4,202.60,0.0,0.0, , 
,202.91,1056,37.5,0.0,10101010,203.24,1184,91.4,17.51,948.6,203.55,0.0,0.0, , 
,203.88,1376,37.5,0.0,10101010,204.31,1472,92.9,16.48,948.6,204.67,0.0,0.0, , 
,205.04,1728,37.5,0.0,10101010,205.42,1920,91.4,15.45,928.2,205.77,0.0,0.0, , 
,206.09,2176,37.5,-5.1,11101000,206.43,2272,85.5,13.39,867.0,206.77,0.0,0.0, , 
,207.12,2496,37.5,-3.1,11101000,207.48,2336,0.0,0.00,336.6,207.84,0.0,0.0, , 
,208.16,1024,37.5,0.0,11101010,208.55,1632,31.0,4.12,377.4,208.92,0.0,0.0, , 
,209.28,1632,37.5,0.0,11101010,209.62,1664,72.2,12.36,754.8,209.97,0.0,0.0, , 
,210.32,1760,37.5,0.0,11101010,210.70,1792,71.0,11.33,754.8,211.08,0.0,0.0, , 
,211.45,1856,39.0,0.0,11101010,211.81,1856,36.9,4.12,438.6,212.18,0.0,0.0, , 
,212.51,1856,39.0,0.0,11101010,212.88,1856,35.3,4.12,418.2,213.24,0.0,0.0, , 
,213.61,1888,39.0,0.0,11101010,213.98,1888,48.6,7.21,520.2,214.34,0.0,0.0, , 
,214.70,1856,39.0,1.6,11101010,215.06,1888,45.9,6.18,499.8,215.42,0.0,0.0, , 
,215.77,1920,39.0,0.8,11101010,216.14,1920,35.3,5.15,418.2,216.52,0.0,0.0, , 
,216.89,1888,39.0,-0.8,11101010,217.25,1888,35.3,5.15,418.2,217.61,0.0,0.0, , 
