Poniedzia³ek,21,Wrzesieñ,2026,21:25:47:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.27,0,30.0,0.0,10110110,0.54,0,0.0,0.00,989.4,0.01,99.2,0.0, , 
,1.07,0,30.0,0.0,10110110,1.34,0,0.0,0.00,989.4,0.80,99.2,0.0, , 
,1.87,0,30.0,0.0,10110110,2.14,0,0.0,0.00,989.4,1.60,99.2,0.0, , 
,2.70,0,30.0,0.0,10110110,2.96,0,0.0,0.00,989.4,2.42,99.2,0.0, , 
,3.49,0,30.0,0.0,10110110,3.76,0,0.0,0.00,989.4,3.23,99.2,0.0, , 
,4.29,0,30.0,0.0,10110110,4.56,0,0.0,0.00,989.4,4.02,99.2,0.0, , 
,5.09,0,30.0,0.0,10110110,5.35,0,0.0,0.00,989.4,4.82,99.2,0.0, , 
,5.89,0,30.0,0.0,10110110,6.17,0,0.0,0.00,989.4,5.62,99.2,0.0, , 
,6.71,0,30.0,0.0,10110110,6.98,0,0.0,0.00,989.4,6.45,99.2,0.0, , 
,7.53,0,30.0,0.0,10110110,7.81,0,0.0,0.00,989.4,7.25,99.2,0.0, , 
,8.35,0,30.0,0.0,10110110,8.62,0,0.0,0.00,989.4,8.08,99.2,0.0, , 
,9.15,0,30.0,0.0,10110110,9.42,0,0.0,0.00,989.4,8.88,99.2,0.0, , 
,9.95,0,30.0,0.0,10110110,10.21,0,0.0,0.00,989.4,9.68,99.2,0.0, , 
,10.74,0,30.0,0.0,10110110,11.01,0,0.0,0.00,989.4,10.48,99.2,0.0, , 
,11.54,0,30.0,0.0,10110110,11.81,0,0.0,0.00,989.4,11.27,99.2,0.0, , 
,12.34,0,30.0,0.0,10110110,12.60,0,0.0,0.00,989.4,12.07,99.2,0.0, , 
,13.13,0,30.0,0.0,10110110,13.40,0,0.0,0.00,989.4,12.87,99.2,0.0, , 
,13.93,0,30.0,0.0,10110110,14.20,0,0.0,0.00,989.4,13.67,99.2,0.0, , 
,14.73,0,30.0,0.0,10110110,14.99,0,0.0,0.00,989.4,14.46,99.2,0.0, , 
,15.52,0,30.0,0.0,10110110,15.80,0,0.0,0.00,989.4,15.26,99.2,0.0, , 
,16.34,0,30.0,0.0,10110110,16.60,0,0.0,0.00,989.4,16.07,99.2,0.0, , 
,17.14,0,30.0,0.0,10110110,17.42,0,0.0,0.00,989.4,16.87,99.2,0.0, , 
,17.95,0,30.0,0.0,10110110,18.21,0,0.0,0.00,989.4,17.68,99.2,0.0, , 
,18.74,0,30.0,0.0,10110110,19.01,0,0.0,0.00,989.4,18.48,99.2,0.0, , 
,19.54,0,30.0,0.0,10110110,19.80,0,0.0,0.00,989.4,19.27,99.2,0.0, , 
,20.34,0,30.0,0.0,10110110,20.60,0,0.0,0.00,989.4,20.07,99.2,0.0, , 
,21.13,0,30.0,0.0,10110110,21.40,0,0.0,0.00,989.4,20.87,99.2,0.0, , 
,21.95,0,30.0,0.0,10110110,22.21,0,0.0,0.00,989.4,21.67,99.2,0.0, , 
,22.74,0,30.0,0.0,10110110,23.01,0,0.0,0.00,989.4,22.48,99.2,0.0, , 
,23.54,0,30.0,0.0,10110110,23.81,0,0.0,0.00,989.4,23.28,99.2,0.0, , 
,24.35,0,30.0,0.0,10110110,24.62,0,0.0,0.00,989.4,24.08,99.2,0.0, , 
,25.15,0,30.0,0.0,10110110,25.42,0,0.0,0.00,989.4,24.89,99.2,0.0, , 
,25.95,0,30.0,0.0,10110110,26.21,0,0.0,0.00,989.4,25.68,99.2,0.0, , 
,26.75,0,30.0,0.0,10110110,27.03,0,0.0,0.00,989.4,26.48,99.2,0.0, , 
,27.57,0,30.0,0.0,10110110,27.84,0,0.0,0.00,989.4,27.31,99.2,0.0, , 
,28.37,0,30.0,0.0,10110110,28.63,0,0.0,0.00,989.4,28.10,99.2,0.0, , 
,29.16,0,30.0,0.0,10110110,29.43,0,0.0,0.00,989.4,28.90,99.2,0.0, , 
,29.97,0,30.0,0.0,10110110,30.25,0,0.0,0.00,989.4,29.70,99.2,0.0, , 
,30.80,0,30.0,0.0,10110110,31.07,0,0.0,0.00,989.4,30.53,99.2,0.0, , 
,31.60,0,30.0,0.0,10110110,31.87,0,0.0,0.00,989.4,31.34,99.2,0.0, , 
,32.40,0,30.0,0.0,10110110,32.67,0,0.0,0.00,989.4,32.14,99.2,0.0, , 
,33.20,0,30.0,0.0,10110110,33.46,0,0.0,0.00,989.4,32.93,99.2,0.0, , 
,33.99,0,30.0,0.0,10110110,34.26,0,0.0,0.00,989.4,33.73,99.2,0.0, , 
,34.79,0,30.0,0.0,10110110,35.06,0,0.0,0.00,989.4,34.52,99.2,0.0, , 
,35.59,0,30.0,0.0,10110110,35.85,0,0.0,0.00,989.4,35.32,99.2,0.0, , 
,36.39,0,30.0,0.0,10110110,36.65,0,0.0,0.00,989.4,36.12,99.2,0.0, , 
,37.18,0,30.0,0.0,10110110,37.45,0,0.0,0.00,989.4,36.91,99.2,0.0, , 
,37.98,0,30.0,0.0,10110110,38.25,0,0.0,0.00,989.4,37.71,99.2,0.0, , 
,38.79,0,30.0,0.0,10110110,39.06,0,0.0,0.00,989.4,38.52,99.2,0.0, , 
,39.59,0,30.0,0.0,10110110,39.85,0,0.0,0.00,989.4,39.32,99.2,0.0, , 
,40.38,0,30.0,0.0,10110110,40.65,0,0.0,0.00,989.4,40.12,99.2,0.0, , 
,41.19,0,30.0,0.0,10110110,41.46,0,0.0,0.00,989.4,40.91,99.2,0.0, , 
,41.99,0,30.0,0.0,10110110,42.26,0,0.0,0.00,989.4,41.73,99.2,0.0, , 
,42.79,0,30.0,0.0,10110110,43.05,0,0.0,0.00,989.4,42.52,99.2,0.0, , 
,43.61,0,30.0,0.0,10110110,43.89,0,0.0,0.00,989.4,43.33,99.2,0.0, , 
,44.43,0,30.0,0.0,10110110,44.70,0,0.0,0.00,989.4,44.17,99.2,0.0, , 
,45.23,0,30.0,0.0,10110110,45.49,0,0.0,0.00,989.4,44.96,99.2,0.0, , 
,46.03,0,30.0,0.0,10110110,46.29,0,0.0,0.00,989.4,45.76,99.2,0.0, , 
,46.82,0,30.0,0.0,10110110,47.09,0,0.0,0.00,989.4,46.56,99.2,0.0, , 
,47.62,0,30.0,0.0,10110110,47.89,0,0.0,0.00,989.4,47.35,99.2,0.0, , 
,48.41,0,30.0,0.0,10110110,48.68,0,0.0,0.00,989.4,48.15,99.2,0.0, , 
,49.21,0,30.0,0.0,10110110,49.48,0,0.0,0.00,989.4,48.95,99.2,0.0, , 
,50.03,0,30.0,0.0,10110110,50.29,0,0.0,0.00,989.4,49.75,99.2,0.0, , 
,50.83,0,30.0,0.0,10110110,51.11,0,0.0,0.00,989.4,50.55,99.2,0.0, , 
,51.65,0,30.0,0.0,10110110,51.92,0,0.0,0.00,989.4,51.39,99.2,0.0, , 
,52.47,0,30.0,0.0,10110110,52.74,0,0.0,0.00,989.4,52.19,99.2,0.0, , 
,53.28,0,30.0,0.0,10110110,53.54,0,0.0,0.00,989.4,53.01,99.2,0.0, , 
,54.07,0,30.0,0.0,10110110,54.34,0,0.0,0.00,989.4,53.81,99.2,0.0, , 
,54.87,0,30.0,0.0,10110110,55.14,0,0.0,0.00,989.4,54.60,99.2,0.0, , 
,55.68,0,30.0,0.0,10110110,55.95,0,0.0,0.00,989.4,55.41,99.2,0.0, , 
,56.48,0,30.0,0.0,10110110,56.74,0,0.0,0.00,989.4,56.21,99.2,0.0, , 
,57.27,0,30.0,0.0,10110110,57.54,0,0.0,0.00,989.4,57.01,99.2,0.0, , 
,58.07,0,30.0,0.0,10110110,58.34,0,0.0,0.00,989.4,57.80,99.2,0.0, , 
,58.87,0,30.0,0.0,10110110,59.14,0,0.0,0.00,989.4,58.60,99.2,0.0, , 
,59.69,0,30.0,0.0,10110110,59.96,0,0.0,0.00,989.4,59.42,99.2,0.0, , 
,60.49,0,30.0,0.0,10110110,60.76,0,0.0,0.00,989.4,60.23,99.2,0.0, , 
,61.29,0,30.0,0.0,10110110,61.56,0,0.0,0.00,989.4,61.03,99.2,0.0, , 
,62.09,0,30.0,0.0,10110110,62.35,0,0.0,0.00,989.4,61.82,99.2,0.0, , 
,62.88,0,30.0,0.0,10110110,63.16,0,0.0,0.00,989.4,62.62,99.2,0.0, , 
,63.70,0,30.0,0.0,10110110,63.96,0,0.0,0.00,989.4,63.43,99.2,0.0, , 
,64.50,0,30.0,0.0,10110110,64.78,0,0.0,0.00,989.4,64.23,99.2,0.0, , 
,65.31,0,30.0,0.0,10110110,65.57,0,0.0,0.00,989.4,65.04,99.2,0.0, , 
,66.10,0,30.0,0.0,10110110,66.37,0,0.0,0.00,989.4,65.84,99.2,0.0, , 
,66.91,0,30.0,0.0,10110110,67.19,0,0.0,0.00,989.4,66.64,99.2,0.0, , 
,67.75,0,30.0,0.0,10110110,68.03,0,0.0,0.00,989.4,67.47,99.2,0.0, , 
,68.56,0,30.0,0.0,10110110,68.83,0,0.0,0.00,989.4,68.29,99.2,0.0, , 
,69.39,0,30.0,0.0,10110110,69.65,0,0.0,0.00,989.4,69.11,99.2,0.0, , 
,70.18,0,30.0,0.0,10110110,70.45,0,0.0,0.00,989.4,69.92,99.2,0.0, , 
,70.98,0,30.0,0.0,10110110,71.24,0,0.0,0.00,989.4,70.71,99.2,0.0, , 
,71.78,0,30.0,0.0,10110110,72.04,0,0.0,0.00,989.4,71.51,99.2,0.0, , 
,72.58,0,30.0,0.0,10110110,72.85,0,0.0,0.00,989.4,72.30,99.2,0.0, , 
,73.39,0,30.0,0.0,10110110,73.65,0,0.0,0.00,989.4,73.12,99.2,0.0, , 
,74.18,0,30.0,0.0,10110110,74.45,0,0.0,0.00,989.4,73.91,99.2,0.0, , 
,74.98,0,30.0,0.0,10110110,75.24,0,0.0,0.00,989.4,74.71,99.2,0.0, , 
,75.77,0,30.0,0.0,10110110,76.04,0,0.0,0.00,989.4,75.51,99.2,0.0, , 
,76.58,0,30.0,0.0,10110110,76.86,0,0.0,0.00,989.4,76.30,99.2,0.0, , 
,77.40,0,30.0,0.0,10110110,77.67,0,0.0,0.00,989.4,77.14,99.2,0.0, , 
,78.20,0,30.0,0.0,10110110,78.46,0,0.0,0.00,989.4,77.93,99.2,0.0, , 
,79.00,0,30.0,0.0,10110110,79.28,0,0.0,0.00,989.4,78.73,99.2,0.0, , 
,79.81,0,30.0,0.0,10110110,80.08,0,0.0,0.00,989.4,79.54,99.2,0.0, , 
,80.62,0,30.0,0.0,10110110,80.89,0,0.0,0.00,989.4,80.35,99.2,0.0, , 
,81.42,0,30.0,0.0,10110110,81.69,0,0.0,0.00,989.4,81.15,99.2,0.0, , 
,82.25,0,30.0,0.0,10110110,82.53,0,0.0,0.00,989.4,81.97,99.2,0.0, , 
,83.06,0,30.0,0.0,10110110,83.33,0,0.0,0.00,989.4,82.79,99.2,0.0, , 
,83.87,0,30.0,0.0,10110110,84.14,0,0.0,0.00,989.4,83.60,99.2,0.0, , 
,84.67,0,30.0,0.0,10110110,84.94,0,0.0,0.00,989.4,84.40,99.2,0.0, , 
,85.48,0,30.0,0.0,10110110,85.75,0,0.0,0.00,989.4,85.21,99.2,0.0, , 
,86.29,0,30.0,0.0,10110110,86.55,0,0.0,0.00,989.4,86.03,99.2,0.0, , 
,87.09,0,30.0,0.0,10110110,87.36,0,0.0,0.00,989.4,86.82,99.2,0.0, , 
,87.92,0,30.0,0.0,10110110,88.18,0,0.0,0.00,989.4,87.64,99.2,0.0, , 
,88.71,0,30.0,0.0,10110110,88.98,0,0.0,0.00,989.4,88.45,99.2,0.0, , 
,89.51,0,30.0,0.0,10110110,89.78,0,0.0,0.00,989.4,89.24,99.2,0.0, , 
,90.31,0,30.0,0.0,10110110,90.57,0,0.0,0.00,989.4,90.04,99.2,0.0, , 
,91.11,0,30.0,0.0,10110110,91.39,0,0.0,0.00,989.4,90.84,99.2,0.0, , 
,91.93,0,30.0,0.0,10110110,92.20,0,0.0,0.00,989.4,91.67,99.2,0.0, , 
,92.73,0,30.0,0.0,10110110,92.99,0,0.0,0.00,989.4,92.46,99.2,0.0, , 
,93.53,0,30.0,0.0,10110110,93.79,0,0.0,0.00,989.4,93.26,99.2,0.0, , 
,94.32,0,30.0,0.0,10110110,94.59,0,0.0,0.00,989.4,94.06,99.2,0.0, , 
,95.12,0,30.0,0.0,10110110,95.38,0,0.0,0.00,989.4,94.85,99.2,0.0, , 
,95.92,0,30.0,0.0,10110110,96.18,0,0.0,0.00,989.4,95.65,99.2,0.0, , 
,96.71,0,30.0,0.0,10110110,96.98,0,0.0,0.00,989.4,96.45,99.2,0.0, , 
,97.51,0,30.0,0.0,10110110,97.77,0,0.0,0.00,989.4,97.24,99.2,0.0, , 
,98.31,0,30.0,0.0,10110110,98.58,0,0.0,0.00,989.4,98.04,99.2,0.0, , 
,99.12,0,30.0,0.0,10110110,99.38,0,0.0,0.00,989.4,98.85,99.2,0.0, , 
,99.91,0,30.0,0.0,10110110,100.18,0,0.0,0.00,989.4,99.65,99.2,0.0, , 
,100.71,0,30.0,0.0,10110110,100.98,0,0.0,0.00,989.4,100.45,99.2,0.0, , 
,101.53,0,30.0,0.0,10110110,101.80,0,0.0,0.00,989.4,101.25,99.2,0.0, , 
,102.36,0,30.0,0.0,10110110,102.64,0,0.0,0.00,989.4,102.08,99.2,0.0, , 
,103.19,0,30.0,0.0,10110110,103.46,0,0.0,0.00,989.4,102.91,99.2,0.0, , 
,103.99,0,30.0,0.0,10110110,104.26,0,0.0,0.00,989.4,103.73,99.2,0.0, , 
,104.79,0,30.0,0.0,10110110,105.06,0,0.0,0.00,989.4,104.53,99.2,0.0, , 
,105.59,0,30.0,0.0,10110110,105.85,0,0.0,0.00,989.4,105.32,99.2,0.0, , 
,106.38,0,30.0,0.0,10110110,106.65,0,0.0,0.00,989.4,106.12,99.2,0.0, , 
,107.19,0,30.0,0.0,10110110,107.47,0,0.0,0.00,989.4,106.92,99.2,0.0, , 
,108.01,0,30.0,0.0,10110110,108.28,0,0.0,0.00,989.4,107.75,99.2,0.0, , 
,108.81,0,30.0,0.0,10110110,109.08,0,0.0,0.00,989.4,108.54,99.2,0.0, , 
,109.62,0,30.0,0.0,10110110,109.89,0,0.0,0.00,989.4,109.35,99.2,0.0, , 
,110.42,0,30.0,0.0,10110110,110.68,0,0.0,0.00,989.4,110.15,99.2,0.0, , 
,111.22,0,30.0,0.0,10110110,111.49,0,0.0,0.00,989.4,110.95,99.2,0.0, , 
,112.04,0,30.0,0.0,10110110,112.31,0,0.0,0.00,989.4,111.77,99.2,0.0, , 
,112.86,0,30.0,0.0,10110110,113.14,0,0.0,0.00,989.4,112.58,99.2,0.0, , 
,113.67,0,30.0,0.0,10110110,113.93,0,0.0,0.00,989.4,113.40,99.2,0.0, , 
,114.47,0,30.0,0.0,10110110,114.74,0,0.0,0.00,989.4,114.20,99.2,0.0, , 
,115.28,0,30.0,0.0,10110110,115.54,0,0.0,0.00,989.4,115.01,99.2,0.0, , 
,116.07,0,30.0,0.0,10110110,116.34,0,0.0,0.00,989.4,115.81,99.2,0.0, , 
,116.87,0,30.0,0.0,10110110,117.14,0,0.0,0.00,989.4,116.60,99.2,0.0, , 
,117.67,0,30.0,0.0,10110110,117.93,0,0.0,0.00,989.4,117.40,99.2,0.0, , 
,118.47,0,30.0,0.0,10110110,118.74,0,0.0,0.00,989.4,118.20,99.2,0.0, , 
,119.29,0,30.0,0.0,10110110,119.56,0,0.0,0.00,989.4,119.02,99.2,0.0, , 
,120.09,0,30.0,0.0,10110110,120.35,0,0.0,0.00,989.4,119.82,99.2,0.0, , 
,120.88,0,30.0,0.0,10110110,121.16,0,0.0,0.00,989.4,120.62,99.2,0.0, , 
,121.72,0,30.0,0.0,10110110,122.00,0,0.0,0.00,989.4,121.44,99.2,0.0, , 
,122.52,0,30.0,0.0,10110110,122.79,0,0.0,0.00,989.4,122.26,99.2,0.0, , 
,123.32,0,30.0,0.0,10110110,123.59,0,0.0,0.00,989.4,123.06,99.2,0.0, , 
,124.14,0,30.0,0.0,10110110,124.40,0,0.0,0.00,989.4,123.86,99.2,0.0, , 
,124.93,0,30.0,0.0,10110110,125.20,0,0.0,0.00,989.4,124.67,99.2,0.0, , 
,125.73,0,30.0,0.0,10110110,126.00,0,0.0,0.00,989.4,125.46,99.2,0.0, , 
,126.53,0,30.0,0.0,10110110,126.79,0,0.0,0.00,989.4,126.26,99.2,0.0, , 
,127.32,0,30.0,0.0,10110110,127.59,0,0.0,0.00,989.4,127.06,99.2,0.0, , 
,128.12,0,30.0,0.0,10110110,128.39,0,0.0,0.00,989.4,127.85,99.2,0.0, , 
,128.92,0,30.0,0.0,10110110,129.19,0,0.0,0.00,989.4,128.65,99.2,0.0, , 
,129.74,0,30.0,0.0,10110110,130.01,0,0.0,0.00,989.4,129.47,99.2,0.0, , 
,130.54,0,30.0,0.0,10110110,130.81,0,0.0,0.00,989.4,130.28,99.2,0.0, , 
,131.34,0,30.0,0.0,10110110,131.60,0,0.0,0.00,989.4,131.07,99.2,0.0, , 
,132.14,0,30.0,0.0,10110110,132.40,0,0.0,0.00,989.4,131.87,99.2,0.0, , 
,132.93,0,30.0,0.0,10110110,133.20,0,0.0,0.00,989.4,132.67,99.2,0.0, , 
,133.74,0,30.0,0.0,10110110,134.01,0,0.0,0.00,989.4,133.47,99.2,0.0, , 
,134.54,0,30.0,0.0,10110110,134.81,0,0.0,0.00,989.4,134.28,99.2,0.0, , 
,135.34,0,30.0,0.0,10110110,135.60,0,0.0,0.00,989.4,135.07,99.2,0.0, , 
,136.14,0,30.0,0.0,10110110,136.40,0,0.0,0.00,989.4,135.87,99.2,0.0, , 
,136.93,0,30.0,0.0,10110110,137.20,0,0.0,0.00,989.4,136.67,99.2,0.0, , 
,137.73,0,30.0,0.0,10110110,138.00,0,0.0,0.00,989.4,137.46,99.2,0.0, , 
,138.53,0,30.0,0.0,10110110,138.79,0,0.0,0.00,989.4,138.26,99.2,0.0, , 
,139.32,0,30.0,0.0,10110110,139.59,0,0.0,0.00,989.4,139.06,99.2,0.0, , 
,140.12,0,30.0,0.0,10110110,140.39,0,0.0,0.00,989.4,139.85,99.2,0.0, , 
,140.92,0,30.0,0.0,10110110,141.18,0,0.0,0.00,989.4,140.65,99.2,0.0, , 
,141.71,0,30.0,0.0,10110110,141.98,0,0.0,0.00,989.4,141.45,99.2,0.0, , 
,142.51,0,30.0,0.0,10110110,142.78,0,0.0,0.00,989.4,142.25,99.2,0.0, , 
,143.31,0,30.0,0.0,10110110,143.58,0,0.0,0.00,989.4,143.04,99.2,0.0, , 
,144.13,0,30.0,0.0,10110110,144.40,0,0.0,0.00,989.4,143.86,99.2,0.0, , 
,144.93,0,30.0,0.0,10110110,145.20,0,0.0,0.00,989.4,144.67,99.2,0.0, , 
,145.73,0,30.0,0.0,10110110,146.00,0,0.0,0.00,989.4,145.46,99.2,0.0, , 
,146.53,0,30.0,0.0,10110110,146.79,0,0.0,0.00,989.4,146.26,99.2,0.0, , 
,147.32,0,30.0,0.0,10110110,147.59,0,0.0,0.00,989.4,147.06,99.2,0.0, , 
,148.12,0,30.0,0.0,10110110,148.38,0,0.0,0.00,989.4,147.86,99.2,0.0, , 
,148.92,0,30.0,0.0,10110110,149.19,0,0.0,0.00,989.4,148.65,99.2,0.0, , 
,149.74,0,30.0,0.0,10110110,150.01,0,0.0,0.00,989.4,149.47,99.2,0.0, , 
,150.54,0,30.0,0.0,10110110,150.81,0,0.0,0.00,989.4,150.28,99.2,0.0, , 
,151.35,0,30.0,0.0,10110110,151.62,0,0.0,0.00,989.4,151.08,99.2,0.0, , 
,152.15,0,30.0,0.0,10110110,152.42,0,0.0,0.00,989.4,151.89,99.2,0.0, , 
,152.95,0,30.0,0.0,10110110,153.22,0,0.0,0.00,989.4,152.68,99.2,0.0, , 
,153.76,0,30.0,0.0,10110110,154.03,0,0.0,0.00,989.4,153.50,99.2,0.0, , 
,154.57,0,30.0,0.0,10110110,154.84,0,0.0,0.00,989.4,154.30,99.2,0.0, , 
,155.37,0,30.0,0.0,10110110,155.63,0,0.0,0.00,989.4,155.10,99.2,0.0, , 
,156.17,0,30.0,0.0,10110110,156.43,0,0.0,0.00,989.4,155.90,99.2,0.0, , 
,156.96,0,30.0,0.0,10110110,157.23,0,0.0,0.00,989.4,156.70,99.2,0.0, , 
,157.76,0,30.0,0.0,10110110,158.03,0,0.0,0.00,989.4,157.50,99.2,0.0, , 
,158.56,0,30.0,0.0,10110110,158.83,0,0.0,0.00,989.4,158.29,99.2,0.0, , 
,159.37,0,30.0,0.0,10110110,159.63,0,0.0,0.00,989.4,159.11,99.2,0.0, , 
,160.17,0,30.0,0.0,10110110,160.43,0,0.0,0.00,989.4,159.90,99.2,0.0, , 
,160.96,0,30.0,0.0,10110110,161.23,0,0.0,0.00,989.4,160.70,99.2,0.0, , 
,161.76,0,30.0,0.0,10110110,162.03,0,0.0,0.00,989.4,161.50,99.2,0.0, , 
,162.56,0,30.0,0.0,10110110,162.82,0,0.0,0.00,989.4,162.29,99.2,0.0, , 
,163.35,0,30.0,0.0,10110110,163.62,0,0.0,0.00,989.4,163.09,99.2,0.0, , 
,164.15,0,30.0,0.0,10110110,164.42,0,0.0,0.00,989.4,163.88,99.2,0.0, , 
,164.96,0,30.0,0.0,10110110,165.23,0,0.0,0.00,989.4,164.69,99.2,0.0, , 
,165.77,0,30.0,0.0,10110110,166.04,0,0.0,0.00,989.4,165.50,99.2,0.0, , 
,166.57,0,30.0,0.0,10110110,166.84,0,0.0,0.00,989.4,166.31,99.2,0.0, , 
,167.37,0,30.0,0.0,10110110,167.64,0,0.0,0.00,989.4,167.11,99.2,0.0, , 
,168.17,0,30.0,0.0,10110110,168.44,0,0.0,0.00,989.4,167.90,99.2,0.0, , 
,169.00,0,30.0,0.0,10110110,169.26,0,0.0,0.00,989.4,168.72,99.2,0.0, , 
,169.79,0,30.0,0.0,10110110,170.06,0,0.0,0.00,989.4,169.53,99.2,0.0, , 
,170.59,0,30.0,0.0,10110110,170.86,0,0.0,0.00,989.4,170.32,99.2,0.0, , 
,171.39,0,30.0,0.0,10110110,171.65,0,0.0,0.00,989.4,171.12,99.2,0.0, , 
,172.18,0,30.0,0.0,10110110,172.45,0,0.0,0.00,989.4,171.92,99.2,0.0, , 
,172.98,0,30.0,0.0,10110110,173.25,0,0.0,0.00,989.4,172.71,99.2,0.0, , 
,173.77,0,30.0,0.0,10110110,174.04,0,0.0,0.00,989.4,173.51,99.2,0.0, , 
,174.58,0,30.0,0.0,10110110,174.86,0,0.0,0.00,989.4,174.31,99.2,0.0, , 
,175.41,0,30.0,0.0,10110110,175.68,0,0.0,0.00,989.4,175.14,99.2,0.0, , 
,176.21,0,30.0,0.0,10110110,176.48,0,0.0,0.00,989.4,175.95,99.2,0.0, , 
,177.01,0,30.0,0.0,10110110,177.28,0,0.0,0.00,989.4,176.75,99.2,0.0, , 
,177.81,0,30.0,0.0,10110110,178.07,0,0.0,0.00,989.4,177.54,99.2,0.0, , 
,178.61,0,30.0,0.0,10110110,178.87,0,0.0,0.00,989.4,178.34,99.2,0.0, , 
,179.41,0,30.0,0.0,10110110,179.68,0,0.0,0.00,989.4,179.14,99.2,0.0, , 
,180.21,0,30.0,0.0,10110110,180.48,0,0.0,0.00,989.4,179.95,99.2,0.0, , 
,181.01,0,30.0,0.0,10110110,181.27,0,0.0,0.00,989.4,180.74,99.2,0.0, , 
,181.81,0,30.0,0.0,10110110,182.07,0,0.0,0.00,989.4,181.54,99.2,0.0, , 
,182.60,0,30.0,0.0,10110110,182.87,0,0.0,0.00,989.4,182.34,99.2,0.0, , 
,183.40,0,30.0,0.0,10110110,183.67,0,0.0,0.00,989.4,183.14,99.2,0.0, , 
,184.20,0,30.0,0.0,10110110,184.46,0,0.0,0.00,989.4,183.93,99.2,0.0, , 
,185.00,0,30.0,0.0,10110110,185.26,0,0.0,0.00,989.4,184.73,99.2,0.0, , 
,185.79,0,30.0,0.0,10110110,186.06,0,0.0,0.00,989.4,185.53,99.2,0.0, , 
,186.59,0,30.0,0.0,10110110,186.86,0,0.0,0.00,989.4,186.32,99.2,0.0, , 
