Sobota,22,Sierpień,2026,21:29:11:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.01,0,78.0,0.0,10110110,0.27,0,0.0,0.00,989.4,0.55,0.0,1.48, , 
,0.80,0,78.0,0.0,10110110,1.07,0,0.0,0.00,989.4,1.34,0.0,1.48, , 
,1.60,0,78.0,0.0,10110110,1.87,0,0.0,0.00,989.4,2.13,0.0,1.48, , 
,2.40,0,78.0,0.0,10110110,2.66,0,0.0,0.00,989.4,2.93,0.0,1.48, , 
,3.20,0,78.0,0.0,10110110,3.48,0,0.0,0.00,989.4,3.74,0.0,1.48, , 
,4.01,0,78.0,0.0,10110110,4.27,0,0.0,0.00,989.4,4.55,0.0,1.48, , 
,4.80,0,78.0,0.0,10110110,5.07,0,0.0,0.00,989.4,5.34,0.0,1.48, , 
,5.60,0,78.0,0.0,10110110,5.87,0,0.0,0.00,989.4,6.13,0.0,1.48, , 
,6.40,0,78.0,0.0,10110110,6.67,0,0.0,0.00,989.4,6.94,0.0,1.48, , 
,7.21,0,78.0,0.0,10110110,7.48,0,0.0,0.00,989.4,7.75,0.0,1.48, , 
,8.02,0,78.0,0.0,10110110,8.29,0,0.0,0.00,989.4,8.56,0.0,1.48, , 
,8.82,0,78.0,0.0,10110110,9.09,0,0.0,0.00,989.4,9.36,0.0,1.48, , 
,9.63,0,78.0,0.0,10110110,9.90,0,0.0,0.00,989.4,10.17,0.0,1.48, , 
,10.45,0,78.0,0.0,10110110,10.73,0,0.0,0.00,989.4,10.99,0.0,1.48, , 
,11.26,0,78.0,0.0,10110110,11.52,0,0.0,0.00,989.4,11.79,0.0,1.48, , 
,12.06,0,78.0,0.0,10110110,12.33,0,0.0,0.00,989.4,12.60,0.0,1.48, , 
,12.86,0,78.0,0.0,10110110,13.13,0,0.0,0.00,989.4,13.40,0.0,1.48, , 
,13.67,0,78.0,0.0,10110110,13.95,0,0.0,0.00,989.4,14.23,0.0,1.48, , 
,14.50,0,78.0,0.0,10110110,14.75,0,0.0,0.00,989.4,15.02,0.0,1.48, , 
,15.29,0,78.0,0.0,10110110,15.55,0,0.0,0.00,989.4,15.82,0.0,1.48, , 
,16.08,0,78.0,0.0,10110110,16.35,0,0.0,0.00,989.4,16.62,0.0,1.48, , 
,16.89,0,78.0,0.0,10110110,17.15,0,0.0,0.00,989.4,17.41,0.0,1.48, , 
,17.68,0,78.0,0.0,10110110,17.94,0,0.0,0.00,989.4,18.23,0.0,1.48, , 
,18.49,0,78.0,0.0,10110110,18.76,0,0.0,0.00,989.4,19.02,0.0,1.48, , 
,19.29,0,78.0,0.0,10110110,19.56,0,0.0,0.00,989.4,19.83,0.0,1.48, , 
,20.10,0,78.0,0.0,10110110,20.37,0,0.0,0.00,989.4,20.65,0.0,1.48, , 
,20.92,0,78.0,0.0,10110110,21.20,0,0.0,0.00,989.4,21.48,0.0,1.48, , 
,21.76,0,78.0,0.0,10110110,22.04,0,0.0,0.00,989.4,22.31,0.0,1.48, , 
,22.59,0,78.0,0.0,10110110,22.85,0,0.0,0.00,989.4,23.11,0.0,1.48, , 
,23.38,0,78.0,0.0,10110110,23.65,0,0.0,0.00,989.4,23.92,0.0,1.48, , 
,24.18,0,78.0,0.0,10110110,24.45,0,0.0,0.00,989.4,24.71,0.0,1.48, , 
,24.98,0,78.0,0.0,10110110,25.24,0,0.0,0.00,989.4,25.51,0.0,1.48, , 
,25.77,0,78.0,0.0,10110110,26.04,0,0.0,0.00,989.4,26.31,0.0,1.48, , 
,26.58,0,78.0,0.0,10110110,26.85,0,0.0,0.00,989.4,27.12,0.0,1.48, , 
,27.38,0,78.0,0.0,10110110,27.65,0,0.0,0.00,989.4,27.92,0.0,1.48, , 
,28.19,0,78.0,0.0,10110110,28.48,0,0.0,0.00,989.4,28.72,0.0,1.48, , 
,28.99,0,78.0,0.0,10110110,29.26,0,0.0,0.00,989.4,29.53,0.0,1.48, , 
,29.81,0,78.0,0.0,10110110,30.09,0,0.0,0.00,989.4,30.33,0.0,1.48, , 
,30.61,0,78.0,0.0,10110110,30.88,0,0.0,0.00,989.4,31.15,0.0,1.48, , 
,31.41,0,78.0,0.0,10110110,31.68,0,0.0,0.00,989.4,31.95,0.0,1.48, , 
,32.23,0,78.0,0.0,10110110,32.50,0,0.0,0.00,989.4,32.77,0.0,1.48, , 
,33.04,0,78.0,0.0,10110110,33.30,0,0.0,0.00,989.4,33.57,0.0,1.48, , 
,33.84,0,78.0,0.0,10110110,34.10,0,0.0,0.00,989.4,34.37,0.0,1.48, , 
,34.63,0,78.0,0.0,10110110,34.90,0,0.0,0.00,989.4,35.16,0.0,1.48, , 
,35.43,0,78.0,0.0,10110110,35.70,0,0.0,0.00,989.4,35.97,0.0,1.48, , 
,36.25,0,78.0,0.0,10110110,36.52,0,0.0,0.00,989.4,36.79,0.0,1.48, , 
,37.07,0,78.0,0.0,10110110,37.34,0,0.0,0.00,989.4,37.61,0.0,1.48, , 
,37.87,0,78.0,0.0,10110110,38.13,0,0.0,0.00,989.4,38.40,0.0,1.48, , 
,38.66,0,78.0,0.0,10110110,38.93,0,0.0,0.00,989.4,39.20,0.0,1.48, , 
,39.48,0,78.0,0.0,10110110,39.74,0,0.0,0.00,989.4,40.01,0.0,1.48, , 
,40.27,0,78.0,0.0,10110110,40.54,0,0.0,0.00,989.4,40.80,0.0,1.48, , 
,41.07,0,78.0,0.0,10110110,41.34,0,0.0,0.00,989.4,41.62,0.0,1.48, , 
,41.88,0,78.0,0.0,10110110,42.15,0,0.0,0.00,989.4,42.41,0.0,1.48, , 
,42.68,0,78.0,0.0,10110110,42.95,0,0.0,0.00,989.4,43.23,0.0,1.48, , 
,43.49,0,78.0,0.0,10110110,43.75,0,0.0,0.00,989.4,44.02,0.0,1.48, , 
,44.29,0,78.0,0.0,10110110,44.55,0,0.0,0.00,989.4,44.82,0.0,1.48, , 
,45.09,0,78.0,0.0,10110110,45.37,0,0.0,0.00,989.4,45.63,0.0,1.48, , 
,45.90,0,78.0,0.0,10110110,46.16,0,0.0,0.00,989.4,46.43,0.0,1.48, , 
,46.69,0,78.0,0.0,10110110,46.96,0,0.0,0.00,989.4,47.23,0.0,1.48, , 
,47.49,0,78.0,0.0,10110110,47.76,0,0.0,0.00,989.4,48.02,0.0,1.48, , 
,48.29,0,78.0,0.0,10110110,48.55,0,0.0,0.00,989.4,48.82,0.0,1.48, , 
,49.08,0,78.0,0.0,10110110,49.35,0,0.0,0.00,989.4,49.62,0.0,1.48, , 
,49.88,0,78.0,0.0,10110110,50.15,0,0.0,0.00,989.4,50.41,0.0,1.48, , 
,50.68,0,78.0,0.0,10110110,50.94,0,0.0,0.00,989.4,51.21,0.0,1.48, , 
,51.47,0,78.0,0.0,10110110,51.74,0,0.0,0.00,989.4,52.01,0.0,1.48, , 
,52.27,0,78.0,0.0,10110110,52.54,0,0.0,0.00,989.4,52.80,0.0,1.48, , 
,53.07,0,78.0,0.0,10110110,53.33,0,0.0,0.00,989.4,53.60,0.0,1.48, , 
,53.87,0,78.0,0.0,10110110,54.13,0,0.0,0.00,989.4,54.41,0.0,1.48, , 
,54.66,0,78.0,0.0,10110110,54.93,0,0.0,0.00,989.4,55.19,0.0,1.48, , 
,55.46,0,78.0,0.0,10110110,55.73,0,0.0,0.00,989.4,55.99,0.0,1.48, , 
,56.25,0,78.0,0.0,10110110,56.53,0,0.0,0.00,989.4,56.80,0.0,1.48, , 
,57.07,0,78.0,0.0,10110110,57.34,0,0.0,0.00,989.4,57.60,0.0,1.48, , 
,57.87,0,78.0,0.0,10110110,58.14,0,0.0,0.00,989.4,58.41,0.0,1.48, , 
,58.68,0,78.0,0.0,10110110,58.94,0,0.0,0.00,989.4,59.22,0.0,1.48, , 
,59.48,0,78.0,0.0,10110110,59.74,0,0.0,0.00,989.4,60.01,0.0,1.48, , 
,60.27,0,78.0,0.0,10110110,60.54,0,0.0,0.00,989.4,60.80,0.0,1.48, , 
,61.07,0,78.0,0.0,10110110,61.34,0,0.0,0.00,989.4,61.60,0.0,1.48, , 
,61.87,0,78.0,0.0,10110110,62.13,0,0.0,0.00,989.4,62.40,0.0,1.48, , 
,62.66,0,76.5,0.0,10110110,62.93,0,0.0,0.00,989.4,63.19,0.0,1.48, , 
,63.46,0,76.5,0.0,10110110,63.72,0,0.0,0.00,989.4,63.99,0.0,1.48, , 
,64.26,0,76.5,0.0,10110110,64.52,0,0.0,0.00,989.4,64.79,0.0,1.48, , 
,65.06,0,76.5,0.0,10110110,65.33,0,0.0,0.00,989.4,65.61,0.0,1.48, , 
,65.88,0,76.5,0.0,10110110,66.15,0,0.0,0.00,989.4,66.41,0.0,1.48, , 
,66.68,0,76.5,0.0,10110110,66.95,0,0.0,0.00,989.4,67.23,0.0,1.48, , 
,67.50,0,76.5,0.0,10110110,67.77,0,0.0,0.00,989.4,68.05,0.0,1.48, , 
,68.32,0,76.5,0.0,10110110,68.58,0,0.0,0.00,989.4,68.86,0.0,1.48, , 
,69.13,0,76.5,0.0,10110110,69.40,0,0.0,0.00,989.4,69.66,0.0,1.48, , 
,69.93,0,76.5,0.0,10110110,70.20,0,0.0,0.00,989.4,70.46,0.0,1.48, , 
,70.72,0,76.5,0.0,10110110,70.99,0,0.0,0.00,989.4,71.25,0.0,1.48, , 
,71.52,0,76.5,0.0,10110110,71.79,0,0.0,0.00,989.4,72.05,0.0,1.48, , 
,72.32,0,76.5,0.0,10110110,72.59,0,0.0,0.00,989.4,72.85,0.0,1.48, , 
,73.12,0,76.5,0.0,10110110,73.38,0,0.0,0.00,989.4,73.65,0.0,1.48, , 
,73.91,0,76.5,0.0,10110110,74.18,0,0.0,0.00,989.4,74.45,0.0,1.48, , 
,74.71,0,76.5,0.0,10110110,74.97,0,0.0,0.00,989.4,75.24,0.0,1.48, , 
,75.51,0,76.5,0.0,10110110,75.77,0,0.0,0.00,989.4,76.04,0.0,1.48, , 
,76.30,0,76.5,0.0,10110110,76.57,0,0.0,0.00,989.4,76.84,0.0,1.48, , 
,77.10,0,76.5,0.0,10110110,77.37,0,0.0,0.00,989.4,77.63,0.0,1.48, , 
,77.90,0,76.5,0.0,10110110,78.16,0,0.0,0.00,989.4,78.43,0.0,1.48, , 
,78.69,0,76.5,0.0,10110110,78.96,0,0.0,0.00,989.4,79.23,0.0,1.48, , 
,79.49,0,76.5,0.0,10110110,79.76,0,0.0,0.00,989.4,80.03,0.0,1.48, , 
,80.31,0,76.5,0.0,10110110,80.59,0,0.0,0.00,989.4,80.87,0.0,1.48, , 
,81.13,0,76.5,0.0,10110110,81.40,0,0.0,0.00,989.4,81.66,0.0,1.48, , 
,81.93,0,76.5,0.0,10110110,82.19,0,0.0,0.00,989.4,82.46,0.0,1.48, , 
,82.73,0,76.5,0.0,10110110,82.99,0,0.0,0.00,989.4,83.26,0.0,1.48, , 
,83.52,0,76.5,0.0,10110110,83.79,0,0.0,0.00,989.4,84.05,0.0,1.48, , 
,84.32,0,76.5,0.0,10110110,84.58,0,0.0,0.00,989.4,84.85,0.0,1.48, , 
,85.12,0,76.5,0.0,10110110,85.38,0,0.0,0.00,989.4,85.65,0.0,1.48, , 
,85.91,0,76.5,0.0,10110110,86.18,0,0.0,0.00,989.4,86.45,0.0,1.48, , 
,86.73,0,76.5,0.0,10110110,86.99,0,0.0,0.00,989.4,87.26,0.0,1.48, , 
,87.52,0,76.5,0.0,10110110,87.79,0,0.0,0.00,989.4,88.05,0.0,1.48, , 
,88.32,0,76.5,0.0,10110110,88.59,0,0.0,0.00,989.4,88.85,0.0,1.48, , 
,89.12,0,76.5,0.0,10110110,89.38,0,0.0,0.00,989.4,89.65,0.0,1.48, , 
,89.91,0,76.5,0.0,10110110,90.18,0,0.0,0.00,989.4,90.44,0.0,1.48, , 
,90.71,0,76.5,0.0,10110110,90.98,0,0.0,0.00,989.4,91.28,0.0,1.48, , 
,91.55,0,76.5,0.0,10110110,91.80,0,0.0,0.00,989.4,92.07,0.0,1.48, , 
,92.34,0,76.5,0.0,10110110,92.62,0,0.0,0.00,989.4,92.89,0.0,1.48, , 
,93.16,0,76.5,0.0,10110110,93.43,0,0.0,0.00,989.4,93.69,0.0,1.48, , 
,93.94,0,76.5,0.0,10110110,94.21,0,0.0,0.00,989.4,94.47,0.0,1.48, , 
,94.75,0,76.5,0.0,10110110,95.02,0,0.0,0.00,989.4,95.29,0.0,1.48, , 
,95.55,0,76.5,0.0,10110110,95.82,0,0.0,0.00,989.4,96.09,0.0,1.48, , 
,96.35,0,76.5,0.0,10110110,96.62,0,0.0,0.00,989.4,96.88,0.0,1.48, , 
,97.15,0,76.5,0.0,10110110,97.41,0,0.0,0.00,989.4,97.68,0.0,1.48, , 
,97.94,0,76.5,0.0,10110110,98.21,0,0.0,0.00,989.4,98.47,0.0,1.48, , 
,98.74,0,76.5,0.0,10110110,99.01,0,0.0,0.00,989.4,99.27,0.0,1.48, , 
,99.54,0,76.5,0.0,10110110,99.80,192,85.5,27.81,969.0,100.07,0.0,1.48, , 
,100.34,224,76.5,0.0,10110110,100.63,256,85.5,24.72,969.0,100.93,0.0,1.48, , 
,101.21,992,76.5,0.0,10110110,101.56,960,32.5,5.15,438.6,101.84,0.0,1.48, , 
,102.16,800,76.5,0.0,10110110,102.47,832,32.5,5.15,438.6,102.76,0.0,1.48, , 
,103.04,864,76.5,0.0,10110110,103.32,864,31.0,4.12,438.6,103.60,0.0,1.48, , 
,103.91,800,76.5,0.0,10110110,104.21,800,32.5,4.12,438.6,104.50,0.0,1.48, , 
,104.82,800,75.0,0.0,10110110,105.12,800,32.5,4.12,438.6,105.42,0.0,1.48, , 
,105.72,800,76.5,0.0,10110110,106.02,768,32.5,4.12,438.6,106.32,0.0,1.48, , 
,106.64,768,76.5,0.0,10110110,106.93,800,32.5,4.12,438.6,107.25,0.0,1.48, , 
,107.56,800,76.5,0.0,10110110,107.85,800,32.5,4.12,438.6,108.16,0.0,1.48, , 
,108.48,800,76.5,0.0,10110110,108.78,800,32.5,4.12,438.6,109.10,0.0,1.48, , 
,109.40,800,75.0,0.0,10110110,109.70,800,31.0,4.12,438.6,110.00,0.0,1.48, , 
,110.30,800,75.0,0.0,10110110,110.60,800,31.0,4.12,438.6,110.90,0.0,1.48, , 
,111.19,800,75.0,0.0,10110110,111.51,800,32.5,4.12,438.6,111.80,0.0,1.48, , 
,112.10,800,75.0,0.0,10110110,112.39,800,31.0,4.12,438.6,112.71,0.0,1.48, , 
,113.00,800,75.0,0.0,10110110,113.29,768,32.5,4.12,438.6,113.60,0.0,1.48, , 
,113.88,800,75.0,0.0,10110110,114.19,832,31.0,4.12,438.6,114.50,0.0,1.48, , 
,114.80,832,75.0,0.0,10110110,115.10,832,29.4,4.12,418.2,115.40,0.0,1.48, , 
,115.69,832,75.0,0.0,10110110,116.00,832,29.4,4.12,418.2,116.31,0.0,1.48, , 
,116.64,800,75.0,0.0,10110110,116.93,832,29.4,4.12,418.2,117.23,0.0,1.48, , 
,117.53,800,73.5,0.0,10110110,117.84,832,28.2,4.12,418.2,118.14,0.0,1.48, , 
,118.43,800,73.5,0.0,10110110,118.72,800,28.2,4.12,418.2,119.02,0.0,1.48, , 
,119.31,800,73.5,0.0,10110110,119.61,800,28.2,3.09,397.8,119.89,0.0,1.48, , 
,120.20,800,73.5,0.0,10110110,120.53,800,28.2,3.09,418.2,120.85,0.0,1.48, , 
