Sobota,22,Sierpień,2026,20:43:29:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.01,0,21.0,0.0,10110110,0.27,0,0.0,0.00,989.4,0.54,0.0,1.48, , 
,0.80,0,21.0,0.0,10110110,1.07,0,0.0,0.00,989.4,1.33,0.0,1.48, , 
,1.60,0,21.0,0.0,10110110,1.86,0,0.0,0.00,989.4,2.13,0.0,1.48, , 
,2.40,0,21.0,0.0,10110110,2.66,0,0.0,0.00,989.4,2.93,0.0,1.48, , 
,3.20,0,19.5,0.0,10110110,3.47,0,0.0,0.00,989.4,3.74,0.0,1.48, , 
,4.01,0,21.0,0.0,10110110,4.27,0,0.0,0.00,989.4,4.54,0.0,1.48, , 
,4.81,0,21.0,0.0,10110110,5.08,0,0.0,0.00,989.4,5.35,0.0,1.48, , 
,5.61,0,21.0,0.0,10110110,5.88,0,0.0,0.00,989.4,6.15,0.0,1.48, , 
,6.42,0,21.0,0.0,10110110,6.70,0,0.0,0.00,989.4,6.98,0.0,1.48, , 
,7.26,0,21.0,0.0,10110110,7.52,0,0.0,0.00,989.4,7.79,0.0,1.48, , 
,8.05,0,21.0,0.0,10110110,8.32,0,0.0,0.00,989.4,8.58,0.0,1.48, , 
,8.85,0,21.0,0.0,10110110,9.12,0,0.0,0.00,989.4,9.38,0.0,1.48, , 
,9.65,0,21.0,0.0,10110110,9.93,0,0.0,0.00,989.4,10.19,0.0,1.48, , 
,10.46,0,21.0,0.0,10110110,10.72,0,0.0,0.00,989.4,10.99,0.0,1.48, , 
,11.26,0,21.0,0.0,10110110,11.52,0,0.0,0.00,989.4,11.79,0.0,1.48, , 
,12.05,0,21.0,0.0,10110110,12.32,0,0.0,0.00,989.4,12.58,0.0,1.48, , 
,12.85,0,21.0,0.0,10110110,13.12,0,0.0,0.00,989.4,13.40,0.0,1.48, , 
,13.66,0,21.0,0.0,10110110,13.93,0,0.0,0.00,989.4,14.19,0.0,1.48, , 
,14.48,192,19.5,0.0,10110110,14.75,320,100.0,51.50,969.0,15.08,0.0,1.48, , 
,15.41,1312,21.0,0.0,10110110,15.74,1280,44.3,9.27,499.8,16.07,0.0,1.48, , 
,16.39,1184,21.0,0.0,10110110,16.70,1184,40.0,8.24,459.0,17.05,0.0,1.48, , 
,17.37,1184,21.0,0.0,10110110,17.69,1152,40.0,8.24,459.0,18.03,0.0,1.48, , 
,18.34,1184,21.0,0.0,10110110,18.67,1184,40.0,7.21,459.0,18.99,0.0,1.48, , 
,19.29,1184,21.0,0.0,10110110,19.61,1152,38.4,7.21,459.0,19.95,0.0,1.48, , 
,20.31,1184,21.0,0.0,10110110,20.65,1152,38.4,7.21,459.0,20.96,0.0,1.48, , 
,21.30,1152,21.0,0.0,10110110,21.65,1152,38.4,6.18,438.6,21.98,0.0,1.48, , 
,22.33,1184,21.0,0.0,10110110,22.65,1152,38.4,6.18,438.6,22.98,0.0,1.48, , 
,23.29,1152,21.0,0.0,10110110,23.62,1152,36.9,6.18,438.6,23.97,0.0,1.48, , 
,24.32,1152,21.0,0.0,10110110,24.63,1152,36.9,5.15,438.6,24.95,0.0,1.48, , 
,25.26,1120,21.0,0.0,10110110,25.61,1152,36.9,5.15,438.6,25.91,0.0,1.48, , 
,26.25,1152,21.0,0.0,10110110,26.59,1120,36.9,5.15,438.6,26.90,0.0,1.48, , 
,27.24,1120,21.0,0.0,10110110,27.56,1120,38.4,5.15,438.6,27.89,0.0,1.48, , 
,28.21,1120,21.0,0.0,10110110,28.55,1120,38.4,5.15,459.0,28.90,0.0,1.48, , 
,29.23,1120,21.0,0.0,10110110,29.56,1120,40.0,5.15,459.0,29.88,0.0,1.48, , 
,30.20,1120,21.0,0.0,10110110,30.51,1120,41.2,5.15,479.4,30.83,0.0,1.48, , 
,31.15,1088,21.0,0.0,10110110,31.46,1120,42.7,6.18,499.8,31.79,0.0,1.48, , 
,32.13,1088,21.0,0.0,10110110,32.45,1120,45.9,6.18,499.8,32.78,0.0,1.48, , 
,33.10,1088,21.0,0.0,10110110,33.42,1088,47.1,6.18,520.2,33.75,0.0,1.48, , 
,34.08,1120,21.0,0.0,10110110,34.39,1088,48.6,6.18,550.8,34.71,0.0,1.48, , 
,35.04,1120,21.0,0.0,10110110,35.34,1120,50.2,6.18,571.2,35.66,0.0,1.48, , 
,35.98,1120,21.0,0.0,10110110,36.32,1120,51.8,7.21,571.2,36.64,0.0,1.48, , 
,36.97,1152,21.0,0.0,10110110,37.31,1152,51.8,7.21,571.2,37.65,0.0,1.48, , 
,37.97,1120,21.0,0.0,10110110,38.31,1120,53.3,7.21,591.6,38.62,0.0,1.48, , 
,38.93,1120,21.0,0.0,10110110,39.25,1152,51.8,7.21,591.6,39.59,0.0,1.48, , 
,39.92,1120,21.0,0.0,10110110,40.26,1152,53.3,7.21,591.6,40.57,0.0,1.52, , 
,40.91,1152,21.0,0.0,10110110,41.25,1120,53.3,7.21,591.6,41.59,0.0,1.52, , 
,41.90,1120,21.0,0.0,10110110,42.24,1152,51.8,7.21,591.6,42.58,0.0,1.56, , 
,42.90,1120,21.0,0.0,10110110,43.21,1120,51.8,7.21,571.2,43.54,0.0,1.64, , 
,43.88,1120,21.0,0.0,10110110,44.20,1152,51.8,7.21,571.2,44.54,0.0,1.72, , 
,44.87,1120,22.5,0.0,10110110,45.18,1120,51.8,7.21,591.6,45.48,0.0,1.68, , 
,45.79,1120,22.5,0.0,10110110,46.12,1152,51.8,7.21,571.2,46.46,0.0,1.68, , 
,46.78,1152,22.5,0.0,10110110,47.09,1120,50.2,6.18,571.2,47.42,0.0,1.68, , 
,47.74,1152,22.5,0.0,10110110,48.07,1152,50.2,7.21,571.2,48.38,0.0,1.68, , 
,48.70,1152,22.5,0.0,10110110,49.03,1120,50.2,7.21,571.2,49.37,0.0,1.68, , 
,49.71,1152,22.5,0.0,10110110,50.05,1120,50.2,6.18,571.2,50.38,0.0,1.68, , 
,50.71,1120,22.5,0.0,10110110,51.03,1120,50.2,6.18,550.8,51.36,0.0,1.68, , 
,51.68,1120,22.5,0.0,10110110,52.00,1120,50.2,6.18,571.2,52.34,0.0,1.68, , 
,52.65,1152,22.5,0.0,10110110,52.97,1152,50.2,6.18,550.8,53.30,0.0,1.68, , 
,53.64,1120,22.5,0.0,10110110,54.01,1120,48.6,6.18,550.8,54.32,0.0,1.64, , 
,54.64,1120,22.5,0.0,10110110,54.97,1152,48.6,6.18,550.8,55.30,0.0,1.68, , 
,55.61,1120,24.0,0.0,10110110,55.96,1120,48.6,6.18,550.8,56.31,0.0,1.68, , 
,56.65,1120,24.0,0.0,10110110,56.94,1120,48.6,6.18,550.8,57.27,0.8,1.68, , 
,57.63,1152,24.0,2.3,10111110,57.95,1152,48.6,6.18,550.8,58.29,4.7,1.60, , 
,58.61,1152,24.0,5.9,10111110,58.93,1152,47.1,6.18,520.2,59.24,7.0,1.56, , 
,59.58,1152,24.0,7.8,10111110,59.89,1152,45.9,6.18,520.2,60.20,8.2,1.52, , 
,60.53,1120,24.0,8.2,10111110,60.87,1152,45.9,6.18,520.2,61.19,8.2,1.48, , 
,61.50,1152,24.0,8.2,10111110,61.83,1152,44.3,6.18,499.8,62.15,8.2,1.48, , 
,62.48,1152,24.0,8.2,10111110,62.79,1152,44.3,6.18,499.8,63.11,8.2,1.48, , 
,63.46,1120,25.5,8.2,10111110,63.78,1120,44.3,6.18,499.8,64.13,8.2,1.48, , 
,64.46,1152,25.5,8.2,10111110,64.80,1120,42.7,6.18,499.8,65.14,8.2,1.48, , 
,65.47,1120,25.5,8.2,10111110,65.82,1120,42.7,6.18,499.8,66.16,7.8,1.45, , 
,66.50,1120,25.5,7.4,10111110,66.83,1120,42.7,6.18,479.4,67.16,7.4,1.48, , 
,67.49,1120,25.5,7.0,10111110,67.80,1120,41.2,6.18,479.4,68.15,7.0,1.48, , 
,68.46,1120,25.5,7.0,10111110,68.77,1120,41.2,6.18,479.4,69.09,7.0,1.48, , 
,69.40,1120,25.5,7.0,10111110,69.73,1120,41.2,6.18,479.4,70.06,6.6,1.48, , 
,70.39,1120,25.5,6.6,10111110,70.72,1120,40.0,6.18,479.4,71.07,6.6,1.48, , 
,71.39,1120,27.0,6.6,10111110,71.74,1120,40.0,5.15,479.4,72.06,6.3,1.48, , 
,72.38,1120,27.0,6.3,10111110,72.70,1120,40.0,5.15,459.0,73.03,6.3,1.48, , 
,73.36,1088,27.0,6.3,10111110,73.69,1120,41.2,5.15,479.4,74.05,6.3,1.48, , 
,74.36,1120,27.0,6.6,10111110,74.69,1120,40.0,5.15,479.4,75.01,6.6,1.48, , 
,75.34,1120,27.0,6.6,10111110,75.64,1088,40.0,5.15,459.0,75.97,6.3,1.48, , 
,76.28,1088,27.0,6.3,10111110,76.61,1088,38.4,5.15,459.0,76.94,5.9,1.45, , 
,77.27,1088,27.0,5.9,10111110,77.57,1088,38.4,5.15,459.0,77.89,5.5,1.45, , 
,78.21,1088,27.0,5.1,10111110,78.55,1088,38.4,5.15,459.0,78.86,5.1,1.48, , 
,79.17,1088,28.5,5.1,10111110,79.49,1056,38.4,5.15,438.6,79.79,5.1,1.48, , 
,80.10,1088,28.5,5.1,10111110,80.41,1088,36.9,5.15,438.6,80.74,4.7,1.48, , 
,81.06,1088,28.5,4.7,10111110,81.39,1088,36.9,5.15,438.6,81.72,4.7,1.48, , 
,82.02,1056,28.5,4.7,10111110,82.35,1088,36.9,5.15,438.6,82.66,4.7,1.48, , 
,83.00,1088,28.5,4.7,10111110,83.34,1056,36.9,5.15,438.6,83.67,4.3,1.48, , 
,84.00,1056,28.5,4.3,10111110,84.31,1056,36.9,5.15,438.6,84.63,4.3,1.48, , 
,84.95,1056,28.5,4.3,10111110,85.29,1088,35.3,5.15,438.6,85.61,3.9,1.48, , 
,85.95,1056,28.5,4.3,10111110,86.27,1056,36.9,5.15,438.6,86.58,4.3,1.52, , 
,86.90,1088,30.0,4.7,10111110,87.21,1056,35.3,5.15,438.6,87.55,4.7,1.48, , 
,87.87,1056,30.0,4.7,10111110,88.21,1056,36.9,5.15,438.6,88.53,5.1,1.52, , 
,88.89,1056,30.0,5.1,10111110,89.22,1056,36.9,5.15,438.6,89.55,5.5,1.52, , 
,89.90,1088,30.0,5.5,10111110,90.21,1088,36.9,5.15,438.6,90.53,5.9,1.52, , 
,90.87,1088,30.0,5.9,10111110,91.19,1056,36.9,5.15,438.6,91.50,6.3,1.52, , 
,91.83,1056,30.0,6.3,10111110,92.19,1056,36.9,5.15,438.6,92.51,6.3,1.48, , 
,92.82,1056,30.0,6.3,10111110,93.14,1056,38.4,5.15,459.0,93.45,5.9,1.48, , 
,93.80,1056,31.5,5.9,10111110,94.15,1056,38.4,5.15,459.0,94.47,5.9,1.48, , 
,94.80,1056,31.5,5.9,10111110,95.14,1056,38.4,5.15,459.0,95.46,5.9,1.48, , 
,95.78,1024,31.5,6.3,10111110,96.11,1056,38.4,5.15,459.0,96.42,6.3,1.48, , 
,96.74,1056,31.5,6.3,10111110,97.06,1056,38.4,5.15,459.0,97.39,5.9,1.48, , 
,97.71,1056,31.5,5.9,10111110,98.04,1024,38.4,5.15,459.0,98.36,5.9,1.45, , 
,98.67,1056,31.5,5.9,10111110,99.00,1056,38.4,5.15,459.0,99.34,5.9,1.48, , 
,99.67,1056,31.5,5.5,10111110,100.01,1024,38.4,5.15,459.0,100.34,5.5,1.48, , 
,100.64,1024,33.0,5.5,10111110,100.96,1024,38.4,5.15,459.0,101.28,5.5,1.48, , 
,101.60,1024,33.0,5.5,10111110,101.93,1024,40.0,5.15,459.0,102.23,5.5,1.48, , 
,102.55,1024,33.0,5.5,10111110,102.86,1024,40.0,5.15,459.0,103.18,5.5,1.48, , 
,103.52,1024,33.0,5.5,10111110,103.83,1024,40.0,5.15,459.0,104.15,5.5,1.48, , 
,104.46,1024,33.0,5.5,10111110,104.80,1024,40.0,5.15,479.4,105.12,5.5,1.48, , 
,105.46,1024,33.0,5.9,10111110,105.78,992,40.0,5.15,479.4,106.13,5.9,1.48, , 
,106.47,1024,33.0,5.9,10111110,106.79,1024,40.0,5.15,479.4,107.08,5.9,1.48, , 
,107.44,992,34.5,5.9,10111110,107.79,992,41.2,5.15,479.4,108.11,5.9,1.48, , 
,108.40,1024,34.5,5.9,10111110,108.72,992,41.2,6.18,479.4,109.06,5.5,1.45, , 
,109.37,992,34.5,5.5,10111110,109.71,992,40.0,5.15,479.4,110.05,5.1,1.48, , 
,110.40,1024,34.5,5.1,10111110,110.70,992,41.2,5.15,479.4,111.05,5.1,1.48, , 
,111.32,992,34.5,5.5,10111110,111.65,992,41.2,6.18,499.8,111.95,5.5,1.48, , 
,112.21,992,34.5,5.5,10111110,112.54,992,41.2,6.18,499.8,112.89,5.5,1.48, , 
,113.17,992,34.5,5.5,10111110,113.46,992,41.2,6.18,499.8,113.82,5.5,1.48, , 
,114.17,992,36.0,5.5,10111110,114.53,992,41.2,6.18,479.4,114.90,5.1,1.45, , 
,115.25,992,36.0,4.7,10111110,115.61,992,41.2,5.15,479.4,115.96,4.7,1.48, , 
,116.31,992,36.0,4.7,10111110,116.63,992,41.2,6.18,479.4,116.93,4.7,1.48, , 
,117.20,960,36.0,4.7,10111110,117.46,992,41.2,6.18,499.8,117.74,4.3,1.48, , 
,118.08,960,36.0,4.3,10111110,118.41,960,41.2,5.15,479.4,118.73,4.3,1.48, , 
,119.06,960,36.0,4.3,10111110,119.36,960,41.2,6.18,499.8,119.72,4.3,1.48, , 
,120.00,960,36.0,4.3,10111110,120.34,992,41.2,5.15,479.4,120.67,4.3,1.48, , 
,121.00,960,36.0,4.7,10111110,121.34,960,41.2,5.15,479.4,121.62,4.7,1.48, , 
,121.94,960,37.5,4.7,10111110,122.28,960,41.2,5.15,499.8,122.57,4.7,1.48, , 
,122.88,960,37.5,4.7,10111110,123.19,960,41.2,5.15,499.8,123.54,5.1,1.48, , 
,123.88,960,37.5,5.1,10111110,124.20,960,41.2,5.15,479.4,124.50,5.1,1.48, , 
,124.82,960,37.5,5.1,10111110,125.14,960,41.2,6.18,479.4,125.45,5.1,1.45, , 
,125.75,928,37.5,4.7,10111110,126.08,960,41.2,6.18,479.4,126.39,4.3,1.45, , 
,126.73,960,37.5,4.3,10111110,127.01,928,41.2,6.18,479.4,127.29,4.3,1.41, , 
,127.58,960,37.5,4.3,10111110,127.91,960,40.0,6.18,479.4,128.22,4.7,1.41, , 
,128.54,960,37.5,4.7,10111110,128.85,928,40.0,6.18,479.4,129.18,4.3,1.41, , 
,129.50,960,37.5,4.3,10111110,129.81,928,40.0,6.18,479.4,130.12,4.3,1.41, , 
,130.42,928,39.0,4.3,10111110,130.74,928,40.0,5.15,479.4,131.06,5.5,1.45, , 
,131.39,960,39.0,5.9,10111110,131.71,928,40.0,6.18,479.4,132.03,5.9,1.41, , 
,132.34,928,39.0,5.5,10111110,132.64,928,40.0,5.15,479.4,132.97,5.9,1.45, , 
,133.27,928,39.0,5.9,10111110,133.57,928,40.0,5.15,479.4,133.87,6.3,1.41, , 
,134.18,928,39.0,5.9,10111110,134.48,928,40.0,5.15,479.4,134.78,5.9,1.41, , 
,135.09,928,39.0,5.9,10111110,135.40,928,40.0,5.15,479.4,135.71,5.9,1.41, , 
,136.02,928,39.0,5.5,10111110,136.34,928,38.4,5.15,479.4,136.65,5.5,1.41, , 
