Wtorek,22,Wrzesieñ,2026,15:34:36:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.01,0,22.5,0.0,10110110,0.27,0,0.0,0.00,989.4,0.54,99.2,0.0, , 
,0.81,0,22.5,0.0,10110110,1.09,0,0.0,0.00,989.4,1.37,99.2,0.0, , 
,1.65,0,22.5,0.0,10110110,1.91,0,0.0,0.00,989.4,2.18,99.2,0.0, , 
,2.44,0,22.5,0.0,10110110,2.71,0,0.0,0.00,989.4,2.98,99.2,0.0, , 
,3.25,0,22.5,0.0,10110110,3.52,192,100.0,57.68,989.4,3.79,99.2,0.0, , 
,4.06,256,22.5,0.0,10110110,4.37,896,73.7,29.87,795.6,4.67,0.0,0.0, , 
,5.00,1216,22.5,0.0,10110110,5.32,1216,42.7,9.27,479.4,5.62,0.0,0.0, , 
,5.93,1184,22.5,0.0,10110110,6.23,1152,44.3,9.27,499.8,6.56,0.0,0.0, , 
,6.93,1152,22.5,0.0,10110110,7.23,1184,42.7,8.24,499.8,7.57,0.0,0.0, , 
,7.90,1184,22.5,0.0,10110110,8.25,1184,42.7,8.24,479.4,8.55,0.0,0.0, , 
,8.87,1184,22.5,0.0,10110110,9.21,1184,41.2,7.21,479.4,9.52,0.0,0.0, , 
,9.85,1152,22.5,0.0,10110110,10.17,1184,41.2,7.21,479.4,10.50,0.0,0.0, , 
,10.83,1152,22.5,0.0,10110110,11.16,1152,40.0,7.21,459.0,11.49,0.0,0.0, , 
,11.82,1152,22.5,0.0,10110110,12.15,1152,40.0,6.18,459.0,12.46,0.0,0.0, , 
,12.76,992,22.5,0.0,10100010,13.07,1152,38.4,4.12,459.0,13.40,0.0,0.0, , 
,13.72,1120,22.5,0.0,10100010,14.06,1216,35.3,5.15,418.2,14.40,0.0,0.0, , 
,14.74,1280,22.5,0.0,10100010,15.04,1152,36.9,5.15,438.6,15.36,0.0,0.0, , 
,15.67,1024,22.5,0.0,10100010,15.98,992,42.7,6.18,499.8,16.29,0.0,0.0, , 
,16.59,1184,22.5,0.0,10100010,16.93,1184,35.3,5.15,418.2,17.26,0.0,0.0, , 
,17.57,928,22.5,0.0,10100010,17.87,800,51.8,12.36,591.6,18.19,0.0,0.0, , 
,18.50,896,22.5,0.0,10100010,18.82,832,54.5,8.24,612.0,19.12,0.0,0.0, , 
,19.42,768,22.5,0.0,10100010,19.75,864,57.6,8.24,652.8,20.06,0.0,0.0, , 
,20.41,992,22.5,0.0,10110110,20.75,1024,44.3,7.21,520.2,21.09,0.0,0.0, , 
,21.42,1088,22.5,0.0,10110110,21.76,1088,42.7,6.18,499.8,22.09,0.0,0.0, , 
,22.43,1088,22.5,0.0,10110110,22.78,1088,44.3,6.18,499.8,23.11,0.0,0.0, , 
,23.43,1088,22.5,0.0,10110110,23.73,1088,45.9,6.18,520.2,24.05,0.0,0.0, , 
,24.37,1088,22.5,0.0,10110110,24.69,1088,47.1,6.18,550.8,25.00,0.0,0.0, , 
,25.32,1088,22.5,0.0,10110110,25.65,1088,50.2,7.21,571.2,25.97,0.0,0.0, , 
,26.29,1120,22.5,0.0,10110110,26.63,1120,50.2,7.21,571.2,26.95,0.0,0.0, , 
,27.28,1120,22.5,0.0,10110110,27.61,1120,51.8,7.21,591.6,27.93,0.0,0.0, , 
,28.26,1120,24.0,0.0,10110110,28.60,1120,51.8,7.21,591.6,28.94,0.0,0.0, , 
,29.28,1120,24.0,0.0,10110110,29.60,1120,53.3,7.21,591.6,29.91,0.0,0.0, , 
,30.25,1120,24.0,0.0,10110110,30.58,1120,51.8,7.21,591.6,30.91,0.0,0.0, , 
,31.24,1120,24.0,0.0,10110110,31.57,1152,51.8,7.21,571.2,31.90,0.0,0.0, , 
,32.21,1120,24.0,0.0,10110110,32.53,1120,51.8,7.21,591.6,32.88,0.0,0.0, , 
,33.20,1120,24.0,0.0,10110110,33.52,1120,50.2,6.18,571.2,33.85,0.0,0.0, , 
,34.19,1152,24.0,0.0,10110110,34.49,1120,50.2,6.18,571.2,34.80,0.0,0.0, , 
,35.14,1280,24.0,0.0,10110110,35.52,1312,40.0,5.15,459.0,35.85,0.0,0.0, , 
,36.20,1280,24.0,0.0,10110110,36.50,1216,41.2,5.15,479.4,36.84,0.0,0.0, , 
,37.17,1088,24.0,0.0,10100010,37.50,1184,45.9,6.18,520.2,37.83,0.0,0.0, , 
,38.17,1216,24.0,0.0,10100010,38.52,1312,41.2,5.15,479.4,38.86,0.0,0.0, , 
,39.22,1408,25.5,0.0,10100010,39.57,1440,35.3,4.12,418.2,40.02,0.0,0.0, , 
,40.32,1504,25.5,0.0,10100010,40.68,1536,34.1,4.12,397.8,41.00,0.0,0.0, , 
,41.37,1536,25.5,0.0,10110110,41.72,1440,31.0,4.12,377.4,42.05,0.0,0.0, , 
,42.37,1120,25.5,0.0,10110110,42.70,1120,47.1,7.21,550.8,43.07,0.0,0.0, , 
,43.40,1120,25.5,0.0,10110110,43.72,1088,47.1,6.18,520.2,44.04,0.0,0.0, , 
,44.36,1120,25.5,3.1,10111110,44.69,1088,47.1,7.21,550.8,45.00,0.0,0.0, , 
,45.35,992,25.5,6.6,10111110,45.68,1056,54.5,9.27,612.0,45.99,0.0,0.0, , 
,46.27,992,25.5,5.9,10111110,46.57,896,59.2,9.27,652.8,46.88,0.0,0.0, , 
,47.18,896,25.5,0.0,10111110,47.51,992,62.0,9.27,673.2,47.84,0.0,0.0, , 
,48.18,1056,27.0,-1.6,10111110,48.49,1152,50.2,7.21,571.2,48.83,0.0,0.0, , 
,49.17,1120,27.0,-1.2,10111110,49.51,1120,48.6,6.18,550.8,49.84,0.0,0.0, , 
,50.18,1120,27.0,1.6,10111110,50.50,1120,48.6,6.18,550.8,50.82,0.0,0.0, , 
,51.15,1120,27.0,3.1,10111110,51.45,1024,48.6,7.21,550.8,51.78,0.0,0.0, , 
,52.11,960,27.0,0.0,10101010,52.38,992,54.5,8.24,612.0,52.70,0.0,0.0, , 
,53.02,1024,27.0,0.0,10101010,53.36,1056,51.8,7.21,591.6,53.70,0.0,0.0, , 
,54.04,1120,27.0,1.2,10101010,54.35,1152,47.1,6.18,550.8,54.69,0.0,0.0, , 
,55.01,1184,27.0,0.0,10111110,55.34,1184,42.7,5.15,499.8,55.69,0.0,0.0, , 
,56.02,1088,27.0,1.2,10111110,56.34,1088,45.9,6.18,520.2,56.65,0.0,0.0, , 
,56.96,1056,27.0,3.9,10101010,57.29,1056,48.6,7.21,550.8,57.59,0.0,0.0, , 
,57.92,1056,27.0,0.0,10101010,58.25,1120,84.3,20.60,887.4,58.57,0.0,0.0, , 
,58.88,1280,28.5,0.0,10101010,59.23,1344,87.1,15.45,907.8,59.59,0.0,0.0, , 
,59.96,1568,28.5,0.0,10101010,60.33,1664,63.5,8.24,673.2,60.70,0.0,0.0, , 
,61.10,1760,28.5,0.0,10111110,61.42,1792,29.4,3.09,357.0,61.80,0.0,0.0, , 
,62.14,1728,28.5,-10.9,10111110,62.50,1696,28.2,3.09,357.0,62.87,0.0,0.0, , 
,63.15,1536,28.5,-10.5,10111110,63.54,1440,29.4,3.09,377.4,63.87,0.0,0.0, , 
,64.19,1280,28.5,-2.0,10111110,64.54,1216,38.4,5.15,459.0,64.85,0.0,0.0, , 
,65.18,1152,28.5,0.4,10111110,65.51,1184,41.2,6.18,479.4,65.85,0.0,0.0, , 
,66.21,1216,28.5,8.2,10101010,66.54,1216,41.2,6.18,479.4,66.91,0.0,0.0, , 
,67.26,1280,28.5,11.3,10101010,67.60,1312,44.3,6.18,499.8,67.94,0.0,0.0, , 
,68.32,1376,28.5,12.5,10101010,68.72,1408,42.7,6.18,499.8,69.12,0.0,0.0, , 
,69.41,1472,30.0,13.7,10101010,69.68,1504,36.9,5.15,438.6,69.95,0.0,0.0, , 
,70.36,1504,30.0,7.4,10101010,70.72,1504,29.4,4.12,357.0,71.18,0.0,0.0, , 
,71.62,1504,30.0,3.5,10111110,71.93,1440,29.4,4.12,377.4,72.28,0.0,0.0, , 
,72.63,1376,30.0,3.9,10111110,72.96,1344,31.0,4.12,377.4,73.30,0.0,0.0, , 
,73.63,1280,30.0,5.5,10101010,74.00,1312,32.5,4.12,397.8,74.36,0.0,0.0, , 
,74.73,1280,30.0,6.3,10101010,75.06,1248,34.1,5.15,418.2,75.39,0.0,0.0, , 
,75.74,1280,30.0,0.0,10101010,76.07,1312,57.6,11.33,632.4,76.42,0.0,0.0, , 
,76.87,1472,30.0,0.0,10101010,77.28,1504,41.2,4.12,479.4,77.62,0.0,0.0, , 
,77.91,1536,31.5,0.0,10101010,78.29,1536,34.1,4.12,418.2,78.70,0.0,0.0, , 
,79.11,1536,31.5,2.7,10101010,79.44,1504,29.4,4.12,377.4,79.88,0.0,0.0, , 
,80.32,1472,31.5,2.7,10111110,80.65,1440,29.4,4.12,377.4,81.00,0.0,0.0, , 
,81.36,1440,31.5,3.9,10111110,81.72,1344,31.0,4.12,377.4,82.06,0.0,0.0, , 
,82.38,992,31.5,4.7,10111110,82.71,1056,40.0,6.18,479.4,83.03,0.0,0.0, , 
,83.37,1056,31.5,3.1,10111110,83.70,1056,40.0,5.15,459.0,84.04,0.0,0.0, , 
,84.37,1216,31.5,0.0,10101010,84.70,1056,47.1,8.24,550.8,85.02,0.0,0.0, , 
,85.44,1344,33.0,0.0,10101010,85.82,1536,60.4,9.27,652.8,86.18,0.0,0.0, , 
,86.53,1856,33.0,0.0,10101010,86.88,2048,65.1,9.27,673.2,87.23,0.0,0.0, , 
,87.55,2208,33.0,0.0,10111100,87.93,2048,23.5,3.09,316.2,88.29,0.0,0.0, , 
,88.63,1344,33.0,0.0,10101010,89.09,1472,47.1,7.21,550.8,89.42,0.0,0.0, , 
,89.78,1568,33.0,0.0,10101010,90.18,1632,56.1,9.27,612.0,90.54,0.0,0.0, , 
,90.91,1760,33.0,0.0,10101010,91.30,1792,31.0,3.09,377.4,91.69,0.0,0.0, , 
,92.05,1664,33.0,0.0,10111110,92.40,1408,29.4,3.09,357.0,92.73,0.0,0.0, , 
,93.04,992,33.0,-1.6,10111110,93.35,1024,40.0,6.18,479.4,93.68,0.0,0.0, , 
,93.97,1024,34.5,-0.4,10111110,94.30,992,40.0,5.15,479.4,94.59,0.0,0.0, , 
,94.93,992,34.5,0.0,10111110,95.19,992,41.2,5.15,499.8,95.55,0.0,0.0, , 
,95.83,992,34.5,2.0,10111110,96.19,1024,41.2,6.18,499.8,96.48,0.0,0.0, , 
,96.77,1024,34.5,4.3,10111110,97.09,1024,41.2,6.18,499.8,97.36,0.0,0.0, , 
,97.70,1056,34.5,7.4,10101010,98.04,1184,47.1,8.24,550.8,98.36,0.0,0.0, , 
,98.69,960,34.5,0.0,10101010,99.03,832,67.8,13.39,734.4,99.32,0.0,0.0, , 
,99.64,1088,34.5,0.0,10101010,99.96,1184,90.2,17.51,928.2,100.29,0.0,0.0, , 
,100.62,1408,34.5,0.0,10101010,100.97,1472,45.9,5.15,520.2,101.33,0.0,0.0, , 
,101.71,1600,34.5,0.0,10101010,102.06,1600,29.4,3.09,377.4,102.43,0.0,0.0, , 
,102.79,1600,34.5,-6.6,10111110,103.10,1536,28.2,3.09,357.0,103.50,0.0,0.0, , 
,103.92,1536,36.0,-5.5,10101010,104.26,1504,36.9,5.15,438.6,104.61,0.0,0.0, , 
,104.98,1536,36.0,0.0,10101010,105.34,1536,45.9,6.18,520.2,105.71,0.0,0.0, , 
,106.06,1632,36.0,7.0,10101010,106.44,1632,34.1,5.15,397.8,106.82,0.0,0.0, , 
,107.20,1632,36.0,5.9,10101010,107.55,1632,34.1,5.15,397.8,107.91,0.0,0.0, , 
,108.27,1632,36.0,6.6,10101010,108.64,1664,34.1,5.15,397.8,109.02,0.0,0.0, , 
,109.40,1632,36.0,5.1,10101010,109.78,1632,28.2,4.12,357.0,110.21,0.0,0.0, , 
,110.58,1568,36.0,4.3,10111110,110.97,1568,28.2,4.12,357.0,111.24,0.0,0.0, , 
,111.50,1504,37.5,5.1,10111110,111.88,1440,29.4,4.12,377.4,112.20,0.0,0.0, , 
,112.54,1152,37.5,4.7,10111110,112.88,928,41.2,7.21,479.4,113.24,0.0,0.0, , 
,113.50,960,37.5,0.0,10111110,113.84,960,42.7,6.18,499.8,114.16,0.0,0.0, , 
,114.47,960,37.5,0.0,10111110,114.77,960,42.7,6.18,520.2,115.13,0.0,0.0, , 
,115.42,992,37.5,2.3,10111110,115.76,960,42.7,6.18,499.8,116.09,0.0,0.0, , 
,116.35,960,37.5,6.3,10101010,116.62,992,42.7,6.18,520.2,116.91,0.0,0.0, , 
,117.25,1120,37.5,0.0,10101010,117.56,1376,73.7,13.39,795.6,117.96,0.0,0.0, , 
,118.30,1920,37.5,0.0,10101010,118.66,2304,88.6,15.45,887.4,119.01,0.0,0.0, , 
,119.33,1600,37.5,0.0,10101010,119.67,1568,84.3,24.72,867.0,120.05,0.0,0.0, , 
,120.38,1696,37.5,0.0,10101010,120.76,1824,91.4,18.54,928.2,121.11,0.0,0.0, , 
,121.46,2144,39.0,0.0,10101000,121.80,2304,98.8,17.51,969.0,122.13,0.0,0.0, , 
,122.48,2624,39.0,0.0,10101000,122.81,2784,97.3,16.48,948.6,123.14,0.0,0.0, , 
,123.52,2144,39.0,0.0,11111100,123.89,1856,35.3,6.18,418.2,124.26,0.0,0.0, , 
,124.62,1952,39.0,0.0,11101010,124.97,1952,56.1,8.24,612.0,125.34,0.0,0.0, , 
,125.72,1984,39.0,-0.8,11101000,126.08,2016,51.8,7.21,571.2,126.44,0.0,0.0, , 
,126.79,2048,39.0,1.2,11101000,127.14,2080,50.2,7.21,550.8,127.51,0.0,0.0, , 
,127.85,2112,39.0,5.5,11101000,128.18,2112,48.6,7.21,550.8,128.52,0.0,0.0, , 
,128.86,2176,39.0,9.0,11101000,129.21,2176,56.1,8.24,591.6,129.56,0.0,0.0, , 
,129.92,2240,39.0,10.2,11101000,130.28,2144,0.0,0.00,438.6,130.62,0.0,0.0, , 
,130.92,1120,40.5,0.0,11111110,131.24,1216,35.3,5.15,438.6,131.58,0.0,0.0, , 
,131.90,1152,40.5,0.0,11111110,132.21,1056,32.5,5.15,418.2,132.50,0.0,0.0, , 
,132.83,960,40.5,-5.1,11111110,133.14,928,38.4,5.15,479.4,133.46,0.0,0.0, , 
,133.77,928,40.5,-5.5,11111110,134.09,928,40.0,5.15,479.4,134.41,0.0,0.0, , 
,134.71,896,40.5,-3.9,11111110,135.00,928,40.0,5.15,479.4,135.32,0.0,0.0, , 
,135.62,896,40.5,-1.2,11111110,135.91,928,40.0,5.15,499.8,136.23,0.0,0.0, , 
,136.53,928,40.5,1.6,11111110,136.86,928,40.0,5.15,479.4,137.18,0.0,0.0, , 
,137.48,928,40.5,3.1,11111110,137.80,928,40.0,5.15,479.4,138.13,0.0,0.0, , 
,138.45,928,40.5,4.3,11111110,138.75,928,38.4,5.15,479.4,139.06,0.0,0.0, , 
,139.36,928,42.0,5.5,11111110,139.70,928,36.9,5.15,459.0,140.00,0.0,0.0, , 
,140.31,928,42.0,5.5,11111110,140.62,928,36.9,5.15,459.0,140.94,0.0,0.0, , 
,141.26,896,42.0,5.5,11111110,141.56,896,36.9,5.15,459.0,141.90,0.0,0.0, , 
,142.20,928,42.0,5.5,11111110,142.53,896,36.9,5.15,459.0,142.85,0.0,0.0, , 
,143.18,896,42.0,5.5,11111110,143.49,896,36.9,5.15,459.0,143.79,0.0,0.0, , 
,144.12,896,42.0,5.5,11111110,144.43,896,34.1,5.15,438.6,144.74,0.0,0.0, , 
,145.05,896,42.0,3.9,11111110,145.36,896,34.1,4.12,438.6,145.69,0.0,0.0, , 
,146.00,864,43.5,2.0,11111110,146.30,896,34.1,5.15,438.6,146.62,0.0,0.0, , 
,146.93,864,43.5,2.7,11111110,147.23,896,35.3,5.15,438.6,147.53,0.0,0.0, , 
,147.84,960,43.5,5.1,11101010,148.16,1184,32.5,4.12,418.2,148.51,0.0,0.0, , 
,148.84,1312,43.5,7.0,11101010,149.16,1280,29.4,4.12,377.4,149.51,0.0,0.0, , 
,149.83,1184,43.5,5.1,11111110,150.14,1184,28.2,4.12,377.4,150.48,0.0,0.0, , 
,150.81,960,43.5,0.0,11101010,151.13,1312,38.4,6.18,479.4,151.50,0.0,0.0, , 
,151.87,1600,43.5,0.0,11101010,152.31,1504,32.5,4.12,397.8,152.65,0.0,0.0, , 
,153.01,1600,43.5,4.3,11111110,153.28,1536,25.1,3.09,336.6,153.63,0.0,0.0, , 
,153.97,1248,43.5,2.7,11111110,154.27,1024,29.4,4.12,377.4,154.56,0.0,0.0, , 
,154.86,928,43.5,3.1,11111110,155.19,896,35.3,5.15,459.0,155.49,0.0,0.0, , 
,155.83,1088,43.5,4.3,11101010,156.16,1312,31.0,4.12,397.8,156.51,0.0,0.0, , 
,156.86,1472,43.5,5.5,11101010,157.22,1408,28.2,4.12,377.4,157.56,0.0,0.0, , 
,157.87,1248,45.0,5.9,11111110,158.19,1248,28.2,4.12,357.0,158.50,0.0,0.0, , 
,158.84,1536,45.0,0.0,11101010,159.15,1600,41.2,6.18,479.4,159.44,0.0,0.0, , 
,159.77,1248,45.0,4.7,11101010,160.09,1056,57.6,9.27,632.4,160.42,0.0,0.0, , 
,160.75,1152,45.0,0.0,11101010,161.11,1344,50.2,7.21,591.6,161.42,0.0,0.0, , 
,161.77,1600,45.0,2.3,11101010,162.12,1696,38.4,5.15,459.0,162.47,0.0,0.0, , 
,162.86,1824,45.0,3.9,11101010,163.24,1856,29.4,4.12,377.4,163.61,0.0,0.0, , 
,163.97,1824,45.0,0.8,11101010,164.36,1856,28.2,4.12,357.0,164.74,0.0,0.0, , 
,165.10,1920,45.0,4.7,11101010,165.46,1984,40.0,5.15,459.0,165.81,0.0,0.0, , 
,166.15,2112,45.0,9.4,11101000,166.48,2208,42.7,6.18,479.4,166.80,0.0,0.0, , 
,167.15,2400,45.0,9.4,11101000,167.50,2464,36.9,5.15,418.2,167.84,0.0,0.0, , 
,168.18,1696,45.0,0.0,11111110,168.50,1088,29.4,5.15,377.4,168.84,0.0,0.0, , 
,169.16,1408,45.0,0.0,11101010,169.49,1408,44.3,6.18,499.8,169.80,0.0,0.0, , 
,170.08,1472,45.0,1.6,11101010,170.41,1504,42.7,6.18,499.8,170.77,0.0,0.0, , 
,171.12,1568,45.0,3.9,11101010,171.46,1600,40.0,6.18,479.4,171.77,0.0,0.0, , 
,172.13,1664,45.0,7.4,11101010,172.48,1664,38.4,5.15,459.0,172.80,0.0,0.0, , 
,173.12,1024,45.0,0.0,11111110,173.45,1088,36.9,5.15,459.0,173.76,0.0,0.0, , 
,174.07,1056,45.0,0.0,11111110,174.42,992,32.5,4.12,418.2,174.74,0.0,0.0, , 
,175.02,896,45.0,-1.2,11111110,175.32,896,35.3,5.15,459.0,175.61,0.0,0.0, , 
,175.91,896,45.0,0.4,11111110,176.23,896,35.3,5.15,459.0,176.53,0.0,0.0, , 
,176.84,896,45.0,2.7,10111110,177.13,896,36.9,5.15,459.0,177.45,0.0,0.0, , 
,177.76,896,45.0,4.3,10111110,178.08,896,35.3,5.15,459.0,178.41,0.0,0.0, , 
,178.73,896,46.5,5.5,10111110,179.03,864,34.1,5.15,438.6,179.34,0.0,0.0, , 
,179.66,832,46.5,5.1,10111110,179.97,800,35.3,5.15,459.0,180.28,0.0,0.0, , 
,180.58,832,46.5,4.3,10111110,180.89,800,35.3,5.15,459.0,181.18,0.0,0.0, , 
,181.48,832,46.5,4.3,10111110,181.76,800,35.3,5.15,459.0,182.06,0.0,0.0, , 
,182.38,832,46.5,4.7,10111110,182.69,832,35.3,5.15,459.0,182.99,0.0,0.0, , 
,183.28,832,46.5,4.7,10111110,183.60,832,35.3,5.15,459.0,183.91,0.0,0.0, , 
,184.22,832,46.5,5.1,10111110,184.53,832,35.3,5.15,459.0,184.84,0.0,0.0, , 
,185.12,864,46.5,1.2,10111110,185.41,832,35.3,4.12,459.0,185.70,0.0,0.0, , 
,186.00,832,46.5,-6.3,10111110,186.30,832,35.3,4.12,459.0,186.61,0.0,0.0, , 
,186.91,800,46.5,-10.9,10111110,187.21,800,35.3,4.12,459.0,187.51,0.0,0.0, , 
,187.80,832,46.5,-10.5,10111110,188.11,800,35.3,4.12,459.0,188.42,0.0,0.0, , 
,188.73,832,46.5,-8.6,10111110,189.04,800,36.9,4.12,459.0,189.35,0.0,0.0, , 
,189.66,832,46.5,-6.6,10111110,189.98,832,35.3,4.12,459.0,190.27,0.0,0.0, , 
,190.57,832,46.5,-5.5,10111110,190.87,832,35.3,4.12,459.0,191.17,0.0,0.0, , 
,191.48,832,48.0,-3.9,10111110,191.78,832,35.3,4.12,459.0,192.10,0.0,0.0, , 
,192.41,832,48.0,-2.7,10111110,192.72,832,36.9,5.15,459.0,193.01,0.0,0.0, , 
,193.32,832,48.0,-2.3,10111110,193.63,832,35.3,5.15,459.0,193.93,0.0,0.0, , 
,194.23,832,48.0,-2.3,10111110,194.53,832,35.3,5.15,459.0,194.83,0.0,0.0, , 
,195.14,832,48.0,-2.7,10111110,195.44,832,35.3,4.12,459.0,195.74,0.0,0.0, , 
,196.06,832,48.0,-3.1,10111110,196.35,800,35.3,4.12,459.0,196.66,0.0,0.0, , 
,196.96,832,48.0,-3.5,10111110,197.28,832,35.3,4.12,459.0,197.59,0.0,0.0, , 
,197.90,832,48.0,-3.9,10111110,198.19,832,35.3,4.12,459.0,198.49,0.0,0.0, , 
,198.80,832,48.0,-3.9,10111110,199.11,832,36.9,4.12,459.0,199.43,0.0,0.0, , 
,199.74,832,48.0,-3.9,10111110,200.03,832,35.3,4.12,459.0,200.34,0.0,0.0, , 
,200.63,832,48.0,-4.3,10111110,200.94,832,35.3,4.12,459.0,201.25,0.0,0.0, , 
,201.55,832,48.0,-4.7,10111110,201.87,832,35.3,4.12,459.0,202.14,0.0,0.0, , 
,202.47,1216,48.0,0.0,10101010,202.79,2176,71.0,11.33,754.8,203.11,0.0,0.0, , 
,203.46,2144,48.0,0.0,10101000,203.79,1760,73.7,12.36,775.2,204.16,0.0,0.0, , 
,204.52,1856,49.5,0.0,10101010,204.88,2080,51.8,7.21,591.6,205.20,0.0,0.0, , 
,205.55,2368,49.5,0.4,10101000,205.89,2528,53.3,7.21,571.2,206.24,0.0,0.0, , 
,206.56,1376,49.5,0.0,11111110,206.85,960,35.3,6.18,438.6,207.16,0.0,0.0, , 
,207.48,1120,49.5,0.0,11111110,207.80,1024,29.4,4.12,397.8,208.11,0.0,0.0, , 
,208.42,896,49.5,0.0,11111110,208.73,928,35.3,5.15,459.0,209.06,0.0,0.0, , 
,209.33,960,49.5,-7.4,10111110,209.65,960,32.5,4.12,418.2,209.96,0.0,0.0, , 
,210.26,864,49.5,-9.4,10111110,210.59,896,35.3,4.12,459.0,210.89,0.0,0.0, , 
,211.19,896,49.5,-7.0,10101010,211.53,1024,44.3,7.21,520.2,211.86,0.0,0.0, , 
,212.18,1024,49.5,0.0,10101010,212.51,928,69.4,12.36,754.8,212.85,0.0,0.0, , 
,213.17,1056,49.5,0.0,10101010,213.50,1216,75.3,12.36,826.2,213.86,0.0,0.0, , 
,214.20,1344,49.5,0.0,10101010,214.63,1472,66.3,9.27,734.4,214.98,0.0,0.0, , 
,215.34,1632,49.5,-5.5,11101010,215.68,1728,62.0,9.27,673.2,216.04,0.0,0.0, , 
,216.39,1952,49.5,0.0,11101010,216.74,2016,71.0,10.30,754.8,217.09,0.0,0.0, , 
,217.42,2208,49.5,-5.1,11101000,217.76,2336,69.4,9.27,734.4,218.10,0.0,0.0, , 
,218.46,2304,49.5,0.0,11111100,218.83,1536,0.0,0.00,357.0,219.15,0.0,0.0, , 
,219.46,1120,49.5,0.0,11111110,219.80,1408,26.7,4.12,357.0,220.07,0.0,0.0, , 
,220.51,1504,49.5,0.0,11101010,220.95,1472,28.2,4.12,357.0,221.30,0.0,0.0, , 
,221.75,1472,49.5,-8.2,11101010,222.02,1440,34.1,4.12,418.2,222.45,0.0,0.0, , 
,222.89,1472,49.5,-3.9,11101010,223.23,1504,44.3,6.18,520.2,223.58,0.0,0.0, , 
,223.91,1504,49.5,0.0,11101010,224.26,1536,42.7,6.18,499.8,224.61,0.0,0.0, , 
