Wtorek,22,Wrzesieñ,2026,06:36:00:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.01,0,13.5,0.0,10110110,0.27,0,0.0,0.00,989.4,0.54,99.2,0.0, , 
,0.80,0,13.5,0.0,10110110,1.06,0,0.0,0.00,989.4,1.34,99.2,0.0, , 
,1.62,0,13.5,0.0,10110110,1.90,0,0.0,0.00,989.4,2.16,99.2,0.0, , 
,2.43,0,13.5,0.0,10110110,2.69,0,0.0,0.00,989.4,2.96,99.2,0.0, , 
,3.22,0,13.5,0.0,10110110,3.49,0,0.0,0.00,989.4,3.75,99.2,0.0, , 
,4.02,0,13.5,0.0,10110110,4.28,0,0.0,0.00,989.4,4.55,99.2,0.0, , 
,4.82,0,13.5,0.0,10110110,5.08,0,0.0,0.00,989.4,5.35,99.2,0.0, , 
,5.61,0,13.5,0.0,10110110,5.88,0,0.0,0.00,989.4,6.15,99.2,0.0, , 
,6.41,0,13.5,0.0,10110110,6.68,0,0.0,0.00,989.4,6.94,99.2,0.0, , 
,7.21,0,13.5,0.0,10110110,7.47,0,0.0,0.00,989.4,7.74,99.2,0.0, , 
,8.00,0,13.5,0.0,10110110,8.27,0,0.0,0.00,989.4,8.54,99.2,0.0, , 
,8.81,0,13.5,0.0,10110110,9.09,0,0.0,0.00,989.4,9.37,99.2,0.0, , 
,9.65,192,13.5,0.0,10110110,9.91,192,100.0,90.64,989.4,10.25,0.0,0.0, , 
,10.59,1344,13.5,0.0,10110110,10.94,1376,45.9,11.33,520.2,11.27,0.0,0.0, , 
,11.57,1152,13.5,0.0,10110110,11.88,1088,50.2,12.36,550.8,12.19,0.0,0.0, , 
,12.52,1088,13.5,0.0,10110110,12.84,1088,50.2,12.36,571.2,13.15,0.0,0.0, , 
,13.46,1056,13.5,0.0,10110110,13.78,1056,50.2,11.33,571.2,14.09,0.0,0.0, , 
,14.43,1056,13.5,0.0,10110110,14.75,1056,50.2,11.33,571.2,15.09,0.0,0.0, , 
,15.41,1056,13.5,0.0,10110110,15.72,1056,48.6,10.30,550.8,16.03,0.0,0.0, , 
,16.36,1056,13.5,0.0,10110110,16.69,1056,48.6,10.30,550.8,17.01,0.0,0.0, , 
,17.32,1056,13.5,0.0,10110110,17.65,1056,47.1,9.27,520.2,17.94,0.0,0.0, , 
,18.26,1056,13.5,0.0,10110110,18.57,1024,47.1,9.27,550.8,18.89,0.0,0.0, , 
,19.21,1056,13.5,0.0,10110110,19.53,1024,47.1,9.27,520.2,19.85,0.0,0.0, , 
,20.15,1024,13.5,0.0,10110110,20.46,1056,45.9,8.24,499.8,20.77,0.0,0.0, , 
,21.09,1056,13.5,0.0,10110110,21.43,1024,44.3,8.24,499.8,21.72,0.0,0.0, , 
,22.05,1024,13.5,0.0,10110110,22.38,1024,44.3,8.24,499.8,22.68,0.0,0.0, , 
,23.01,1024,13.5,0.0,10110110,23.31,1056,44.3,8.24,499.8,23.63,0.0,0.0, , 
,23.98,1024,13.5,0.0,10110110,24.29,1024,44.3,7.21,499.8,24.59,0.0,0.0, , 
,24.91,1024,13.5,0.0,10110110,25.24,1024,42.7,7.21,499.8,25.54,0.0,0.0, , 
,25.84,1024,13.5,0.0,10110110,26.16,1024,41.2,7.21,479.4,26.50,0.0,0.0, , 
,26.85,1024,13.5,0.0,10110110,27.17,1024,41.2,7.21,479.4,27.44,0.0,0.0, , 
,27.78,992,13.5,0.0,10110110,28.12,992,40.0,6.18,459.0,28.41,0.0,0.0, , 
,28.72,1088,15.0,0.0,10100010,29.05,1184,41.2,6.18,459.0,29.37,0.0,0.0, , 
,29.66,832,15.0,0.0,10100010,29.97,1056,56.1,9.27,612.0,30.30,0.0,0.0, , 
,30.60,1056,15.0,0.0,10100010,30.91,864,53.3,13.39,591.6,31.22,0.0,0.0, , 
,31.53,864,15.0,0.0,10100010,31.82,960,57.6,8.24,632.4,32.13,0.0,0.0, , 
,32.44,1152,15.0,0.0,10110110,32.75,1184,38.4,5.15,438.6,33.10,0.0,0.0, , 
,33.41,1152,15.0,0.0,10110110,33.72,1088,38.4,6.18,438.6,34.03,0.0,0.0, , 
,34.34,1088,15.0,0.0,10110110,34.62,992,41.2,6.18,459.0,34.92,0.0,0.0, , 
,35.19,992,15.0,0.0,10110110,35.51,1024,41.2,6.18,479.4,35.81,0.0,0.0, , 
,36.12,1024,15.0,0.0,10110110,36.47,992,38.4,6.18,459.0,36.79,0.0,0.0, , 
,37.10,992,15.0,0.0,10100010,37.40,1120,48.6,9.27,550.8,37.74,0.0,0.0, , 
,38.03,928,15.0,0.0,10100010,38.36,1024,54.5,8.24,612.0,38.82,0.0,0.0, , 
,39.15,1376,16.5,0.0,10100010,39.49,1312,40.0,6.18,459.0,39.83,0.0,0.0, , 
,40.13,1312,16.5,0.0,10100010,40.45,1216,44.3,7.21,499.8,40.78,0.0,0.0, , 
,41.08,1024,16.5,0.0,10100010,41.39,992,53.3,9.27,591.6,41.70,0.0,0.0, , 
,42.03,960,16.5,0.0,10100010,42.36,1024,60.4,12.36,652.8,42.68,0.0,0.0, , 
,42.98,1312,16.5,0.0,10100010,43.29,1440,57.6,9.27,632.4,43.65,0.0,0.0, , 
,43.99,1664,16.5,0.0,10100010,44.35,1760,48.6,7.21,520.2,44.72,0.0,0.0, , 
,45.09,1920,16.5,0.0,10100010,45.44,1984,41.2,6.18,459.0,45.81,0.0,0.0, , 
,46.16,2016,16.5,0.0,10100000,46.52,2048,35.3,5.15,397.8,46.88,0.0,0.0, , 
,47.23,2016,16.5,-5.9,10101000,47.57,2016,34.1,4.12,377.4,47.94,0.0,0.0, , 
,48.30,1984,18.0,-5.9,10101000,48.65,2016,34.1,4.12,397.8,48.99,0.0,0.0, , 
,49.33,2112,18.0,0.0,10101000,49.68,2176,44.3,7.21,479.4,50.00,0.0,0.0, , 
,50.35,2304,18.0,0.0,10101000,50.69,2368,40.0,6.18,438.6,51.05,0.0,0.0, , 
,51.39,2496,18.0,2.3,10101000,51.74,2304,0.0,0.00,336.6,52.05,0.0,0.0, , 
,52.38,1216,18.0,0.0,10101010,52.72,1408,35.3,6.18,418.2,53.05,0.0,0.0, , 
,53.39,1376,18.0,0.0,10101010,53.73,1376,47.1,8.24,520.2,54.06,0.0,0.0, , 
,54.51,1440,18.0,0.0,10101010,54.86,1504,50.2,9.27,571.2,55.25,0.0,0.0, , 
,55.60,1600,18.0,-1.2,10101010,55.93,1632,45.9,7.21,499.8,56.30,0.0,0.0, , 
,56.67,1696,18.0,-3.1,10101010,57.05,1728,44.3,7.21,499.8,57.44,0.0,0.0, , 
,57.83,1792,19.5,-6.6,10101010,58.22,1792,42.7,6.18,459.0,58.58,0.0,0.0, , 
,58.93,1856,19.5,0.0,10101010,59.29,1888,45.9,7.21,499.8,59.66,0.0,0.0, , 
,60.03,1920,19.5,-7.0,10101010,60.42,1952,35.3,4.12,397.8,60.80,0.0,0.0, , 
,61.17,1952,19.5,-8.6,10101010,61.53,1920,35.3,5.15,418.2,61.90,0.0,0.0, , 
,62.24,1952,19.5,-2.0,10101010,62.60,2016,38.4,5.15,418.2,62.94,0.0,0.0, , 
,63.29,2048,19.5,-1.2,10101000,63.60,1472,0.0,0.00,377.4,63.89,0.0,0.0, , 
,64.23,1280,19.5,0.0,10111110,64.54,1280,34.1,6.18,418.2,64.84,0.0,0.0, , 
,65.16,1248,21.0,-1.6,10111110,65.48,1152,34.1,5.15,397.8,65.79,0.0,0.0, , 
,66.10,1056,21.0,-6.3,10111110,66.37,1024,38.4,5.15,438.6,66.69,0.0,0.0, , 
,67.03,960,21.0,-4.7,10111110,67.32,992,38.4,5.15,459.0,67.62,0.0,0.0, , 
,67.91,960,21.0,-2.7,10111110,68.24,960,40.0,6.18,459.0,68.55,0.0,0.0, , 
,68.88,960,21.0,0.0,10111110,69.20,960,40.0,6.18,459.0,69.54,0.0,0.0, , 
,69.86,928,21.0,4.3,10101010,70.19,1152,53.3,16.48,571.2,70.57,0.0,0.0, , 
,70.94,1632,21.0,0.0,10101010,71.22,1536,69.4,12.36,714.0,71.52,0.0,0.0, , 
,71.89,1440,21.0,0.0,10101010,72.24,1664,66.3,11.33,693.6,72.60,0.0,0.0, , 
,72.95,2016,21.0,0.0,10101000,73.32,2112,40.0,2.06,459.0,73.63,0.0,0.0, , 
,73.97,1248,21.0,0.0,10101010,74.30,1152,42.7,7.21,479.4,74.61,0.0,0.0, , 
,74.94,1248,22.5,0.0,10101010,75.25,1312,71.0,8.24,775.2,75.62,0.0,0.0, , 
,75.98,1504,22.5,0.0,10101010,76.33,1568,60.4,10.30,632.4,76.69,0.0,0.0, , 
,77.06,1760,22.5,-4.3,10101010,77.44,1824,57.6,8.24,612.0,77.80,0.0,0.0, , 
,78.16,1984,22.5,-10.9,10101010,78.52,2048,47.1,6.18,499.8,78.87,0.0,0.0, , 
,79.22,2208,22.5,-8.6,10101000,79.56,2240,44.3,6.18,479.4,79.91,0.0,0.0, , 
,80.24,2368,22.5,-1.6,10101000,80.58,2432,45.9,6.18,479.4,80.93,0.0,0.0, , 
,81.26,2528,22.5,0.0,10111100,81.57,1792,0.0,0.00,336.6,81.88,0.0,0.0, , 
,82.20,1152,22.5,0.0,10111110,82.56,1280,34.1,5.15,418.2,82.91,0.0,0.0, , 
,83.29,1728,24.0,-6.3,10101010,83.64,1760,28.2,4.12,336.6,84.00,0.0,0.0, , 
,84.40,1760,24.0,-10.2,10101010,84.77,1792,26.7,4.12,336.6,85.12,0.0,0.0, , 
,85.48,1824,24.0,-12.1,10101010,85.85,1824,26.7,3.09,336.6,86.22,0.0,0.0, , 
,86.57,1856,24.0,-9.4,10101010,86.94,1888,25.1,3.09,316.2,87.29,0.0,0.0, , 
,87.64,1888,24.0,-7.0,10111110,88.01,1888,25.1,3.09,316.2,88.38,0.0,0.0, , 
,88.74,1888,24.0,-2.3,10111110,89.12,1888,25.1,3.09,316.2,89.48,0.0,0.0, , 
,89.85,1856,24.0,2.0,10111110,90.23,1856,25.1,4.12,316.2,90.60,0.0,0.0, , 
,90.96,1824,24.0,5.1,10111110,91.33,1856,26.7,4.12,336.6,91.69,0.0,0.0, , 
,92.07,1856,25.5,5.9,10111110,92.41,1856,26.7,4.12,336.6,92.78,0.0,0.0, , 
,93.15,1856,25.5,5.9,10111110,93.52,1856,26.7,4.12,336.6,93.88,0.0,0.0, , 
,94.21,1856,25.5,6.3,10111110,94.57,1856,25.1,4.12,316.2,94.93,0.0,0.0, , 
,95.27,1760,25.5,6.3,10111110,95.64,1696,29.4,4.12,357.0,96.01,0.0,0.0, , 
,96.39,1568,25.5,9.4,10111110,96.80,1472,31.0,5.15,377.4,97.14,0.0,0.0, , 
,97.48,1312,25.5,10.5,10111110,97.81,1248,32.5,5.15,397.8,98.15,0.0,0.0, , 
,98.47,1184,25.5,9.4,10111110,98.81,1184,34.1,5.15,418.2,99.13,0.0,0.0, , 
,99.45,1184,25.5,8.2,10111110,99.78,1216,34.1,5.15,397.8,100.09,0.0,0.0, , 
,100.39,1152,25.5,8.6,10111110,100.72,1088,36.9,5.15,438.6,101.03,0.0,0.0, , 
,101.35,1024,27.0,8.6,10111110,101.68,1024,40.0,6.18,459.0,102.00,0.0,0.0, , 
,102.33,1024,27.0,8.2,10111110,102.65,1088,38.4,6.18,459.0,102.95,0.0,0.0, , 
,103.26,1120,27.0,5.1,10101010,103.58,1120,40.0,6.18,479.4,103.92,0.0,0.0, , 
,104.25,1184,27.0,7.0,10101010,104.58,1216,42.7,7.21,479.4,104.93,0.0,0.0, , 
,105.28,1280,27.0,9.4,10101010,105.63,1312,48.6,8.24,550.8,105.97,0.0,0.0, , 
,106.30,1408,27.0,9.4,10101010,106.75,1472,40.0,6.18,459.0,107.19,0.0,0.0, , 
,107.55,1536,27.0,2.7,10101010,107.89,1568,31.0,4.12,377.4,108.25,0.0,0.0, , 
,108.60,1600,27.0,0.0,10111110,108.94,1568,29.4,4.12,377.4,109.26,0.0,0.0, , 
,109.56,1536,27.0,-0.8,10111110,109.83,1472,31.0,4.12,377.4,110.19,0.0,0.0, , 
,110.53,1376,27.0,2.0,10111110,110.85,1280,32.5,5.15,397.8,111.14,0.0,0.0, , 
,111.48,1312,28.5,4.3,10111110,111.81,1344,31.0,4.12,377.4,112.13,0.0,0.0, , 
,112.46,1376,28.5,4.3,10101010,112.82,1376,34.1,5.15,397.8,113.13,0.0,0.0, , 
,113.59,1472,28.5,5.9,10101010,113.88,1504,32.5,5.15,397.8,114.26,0.0,0.0, , 
,114.62,1568,28.5,5.9,10101010,114.95,1600,34.1,5.15,397.8,115.29,0.0,0.0, , 
,115.61,1696,28.5,8.6,10101010,116.01,1728,32.5,5.15,397.8,116.35,0.0,0.0, , 
,116.65,1600,28.5,0.0,10111110,116.93,1056,35.3,5.15,418.2,117.23,0.0,0.0, , 
,117.54,1216,28.5,0.0,10111110,117.85,1184,32.5,5.15,397.8,118.16,0.0,0.0, , 
,118.48,1120,28.5,-2.3,10111110,118.80,1088,34.1,5.15,418.2,119.07,0.0,0.0, , 
,119.37,960,28.5,-5.1,10111110,119.67,992,36.9,5.15,459.0,120.01,0.0,0.0, , 
,120.32,992,28.5,-3.9,10111110,120.63,960,36.9,5.15,438.6,120.95,0.0,0.0, , 
,121.26,960,28.5,-2.7,10111110,121.55,960,36.9,5.15,438.6,121.86,0.0,0.0, , 
,122.16,928,28.5,-1.2,10111110,122.47,928,36.9,5.15,459.0,122.80,0.0,0.0, , 
,123.12,928,30.0,0.8,10111110,123.44,928,35.3,5.15,438.6,123.76,0.0,0.0, , 
,124.06,896,30.0,1.6,10111110,124.37,864,36.9,5.15,459.0,124.67,0.0,0.0, , 
,124.99,896,30.0,3.1,10111110,125.32,896,36.9,5.15,459.0,125.64,0.0,0.0, , 
,125.94,896,30.0,5.5,10111110,126.23,896,35.3,5.15,459.0,126.54,0.0,0.0, , 
,126.84,864,30.0,4.7,10111110,127.16,864,32.5,5.15,418.2,127.46,0.0,0.0, , 
,127.75,864,30.0,0.8,10111110,128.05,864,34.1,5.15,438.6,128.36,0.0,0.0, , 
,128.67,864,30.0,-1.2,10111110,128.97,864,35.3,5.15,438.6,129.27,0.0,0.0, , 
,129.58,864,30.0,0.4,10111110,129.90,896,35.3,5.15,438.6,130.21,0.0,0.0, , 
,130.52,864,30.0,2.7,10111110,130.82,896,51.8,13.39,550.8,131.16,0.0,0.0, , 
,131.54,1632,30.0,0.0,10101010,131.84,960,81.2,17.51,846.6,132.23,0.0,0.0, , 
,132.58,1792,31.5,0.0,10101010,132.93,2144,59.2,2.06,652.8,133.32,0.0,0.0, , 
,133.66,1312,31.5,0.0,10101010,133.97,1344,67.8,12.36,714.0,134.34,0.0,0.0, , 
,134.67,1504,31.5,0.0,10101010,135.02,1632,48.6,6.18,571.2,135.40,0.0,0.0, , 
,135.75,1728,31.5,0.0,10101010,136.15,1760,28.2,3.09,336.6,136.48,0.0,0.0, , 
,136.86,1792,31.5,-19.1,10111110,137.21,1824,26.7,3.09,336.6,137.57,0.0,0.0, , 
,137.94,1760,31.5,-17.6,10111110,138.30,1728,28.2,3.09,357.0,138.67,0.0,0.0, , 
,139.00,1632,31.5,-2.7,10111110,139.38,1568,29.4,4.12,357.0,139.64,0.0,0.0, , 
,139.99,1408,31.5,0.4,10111110,140.32,1344,31.0,4.12,377.4,140.63,0.0,0.0, , 
,140.96,1280,31.5,3.9,10111110,141.29,1248,31.0,4.12,397.8,141.61,0.0,0.0, , 
,141.93,1216,33.0,4.7,10101010,142.25,1216,35.3,5.15,418.2,142.58,0.0,0.0, , 
,142.92,1312,33.0,0.0,10101010,143.26,1344,69.4,12.36,734.4,143.52,0.0,0.0, , 
,143.89,1568,33.0,0.0,10101010,144.24,1728,76.9,13.39,795.6,144.61,0.0,0.0, , 
,144.97,1952,33.0,0.0,10101010,145.32,2080,69.4,10.30,714.0,145.64,0.0,0.0, , 
,146.00,2304,33.0,-0.4,10101000,146.35,2400,62.0,9.27,652.8,146.68,0.0,0.0, , 
,147.05,1920,33.0,0.0,10111110,147.36,1216,32.5,5.15,397.8,147.68,0.0,0.0, , 
,148.05,1696,33.0,0.0,10101010,148.41,1664,28.2,4.12,357.0,148.79,0.0,0.0, , 
,149.14,1664,33.0,-4.3,10101010,149.48,1664,48.6,8.24,550.8,149.85,0.0,0.0, , 
,150.22,1728,33.0,0.0,10101010,150.60,1792,67.8,10.30,714.0,150.96,0.0,0.0, , 
,151.32,1856,33.0,-1.2,10101010,151.69,1920,59.2,9.27,632.4,152.06,0.0,0.0, , 
,152.40,1984,33.0,-0.8,10101000,152.74,2048,51.8,7.21,571.2,153.09,0.0,0.0, , 
,153.42,2048,33.0,0.0,11101000,153.77,2080,47.1,7.21,520.2,154.11,0.0,0.0, , 
,154.47,2112,34.5,2.3,11101000,154.80,2144,51.8,7.21,550.8,155.13,0.0,0.0, , 
,155.47,2208,34.5,4.7,11101000,155.81,2208,51.8,7.21,550.8,156.12,0.0,0.0, , 
,156.46,2272,34.5,6.3,11101000,156.80,2304,50.2,7.21,520.2,157.15,0.0,0.0, , 
,157.49,2336,34.5,5.9,11101000,157.83,2368,47.1,7.21,499.8,158.19,0.0,0.0, , 
,158.57,2432,34.5,3.9,11101000,158.91,2432,41.2,6.18,459.0,159.27,0.0,0.0, , 
,159.64,2464,34.5,4.7,11101000,159.96,2464,53.3,8.24,571.2,160.32,0.0,0.0, , 
,160.66,2528,34.5,8.6,11101000,161.01,2560,59.2,9.27,612.0,161.33,0.0,0.0, , 
,161.67,2272,34.5,0.0,11111100,162.03,1568,0.0,0.00,377.4,162.34,0.0,0.0, , 
,162.70,1216,36.0,0.0,11111110,163.02,1696,26.7,4.12,336.6,163.40,0.0,0.0, , 
,163.76,1824,36.0,-9.4,11101010,164.12,1824,25.1,3.09,316.2,164.48,0.0,0.0, , 
,164.82,1792,36.0,-10.9,11101010,165.21,1792,29.4,4.12,377.4,165.55,0.0,0.0, , 
,165.93,1792,36.0,-3.9,11101010,166.27,1792,36.9,5.15,438.6,166.60,0.0,0.0, , 
,166.97,1792,36.0,2.3,11101010,167.34,1792,36.9,5.15,438.6,167.69,0.0,0.0, , 
,168.02,1792,36.0,5.9,11101010,168.40,1792,36.9,5.15,438.6,168.75,0.0,0.0, , 
,169.12,1792,36.0,7.0,11111110,169.53,1792,26.7,4.12,336.6,169.90,0.0,0.0, , 
,170.27,1760,36.0,2.3,11111110,170.64,1728,28.2,4.12,357.0,171.01,0.0,0.0, , 
,171.38,1632,36.0,4.3,11111110,171.76,1632,28.2,4.12,357.0,172.13,0.0,0.0, , 
,172.51,1600,37.5,7.4,11111110,172.83,1568,29.4,4.12,357.0,173.19,0.0,0.0, , 
,173.52,1568,37.5,9.4,11101010,173.92,1568,28.2,4.12,357.0,174.24,0.0,0.0, , 
,174.60,1472,37.5,10.5,11111110,174.93,1408,29.4,4.12,377.4,175.25,0.0,0.0, , 
,175.57,1312,37.5,8.6,11111110,175.91,1248,31.0,4.12,377.4,176.22,0.0,0.0, , 
,176.56,1248,37.5,5.9,11111110,176.87,1248,31.0,4.12,377.4,177.19,0.0,0.0, , 
,177.51,1184,37.5,6.3,11111110,177.84,1184,31.0,4.12,397.8,178.14,0.0,0.0, , 
,178.45,1216,37.5,0.0,11111110,178.76,1216,35.3,4.12,438.6,179.10,0.0,0.0, , 
,179.37,992,39.0,0.0,11111110,179.67,1024,40.0,6.18,479.4,180.03,0.0,0.0, , 
,180.39,1568,39.0,0.0,11101010,180.77,1600,71.0,15.45,734.4,181.11,0.0,0.0, , 
,181.48,1696,39.0,0.0,11101010,181.81,1760,78.4,13.39,795.6,182.18,0.0,0.0, , 
,182.54,1888,39.0,0.0,11101010,182.90,1952,79.6,12.36,826.2,183.26,0.0,0.0, , 
,183.63,2048,39.0,0.8,11101000,183.98,2112,75.3,11.33,775.2,184.32,0.0,0.0, , 
,184.64,2208,39.0,2.0,11101000,184.97,2240,73.7,11.33,754.8,185.32,0.0,0.0, , 
,185.66,2368,39.0,4.3,11101000,186.01,2400,75.3,12.36,754.8,186.37,0.0,0.0, , 
,186.71,2496,39.0,5.5,11101000,187.03,2560,72.2,11.33,734.4,187.37,0.0,0.0, , 
,187.70,2656,39.0,6.6,11101000,188.01,2688,81.2,13.39,795.6,188.35,0.0,0.0, , 
,188.70,2784,39.0,3.5,11101000,189.05,2848,81.2,10.30,795.6,189.39,0.0,0.0, , 
,189.73,1952,40.5,0.0,11111110,190.04,1344,29.4,4.12,377.4,190.38,0.0,0.0, , 
,190.72,2080,40.5,0.0,11101000,191.07,2080,60.4,10.30,652.8,191.40,0.0,0.0, , 
,191.74,2080,40.5,0.0,11101000,192.09,2112,66.3,10.30,693.6,192.43,0.0,0.0, , 
,192.77,2144,40.5,0.0,11101000,193.11,2144,29.4,3.09,357.0,193.46,0.0,0.0, , 
,193.79,2144,40.5,0.0,11101000,194.12,2176,54.5,8.24,591.6,194.44,0.0,0.0, , 
,194.79,2176,40.5,0.0,11101000,195.13,2176,62.0,9.27,652.8,195.46,0.0,0.0, , 
,195.80,2208,40.5,3.5,11101000,196.14,2240,62.0,9.27,652.8,196.47,0.0,0.0, , 
,196.82,2240,40.5,5.5,11101000,197.16,2272,60.4,9.27,632.4,197.50,0.0,0.0, , 
,197.84,2304,40.5,5.5,11101000,198.16,2304,59.2,9.27,632.4,198.51,0.0,0.0, , 
,198.85,2336,40.5,3.9,11101000,199.19,2336,51.8,7.21,550.8,199.54,0.0,0.0, , 
,199.86,2336,40.5,2.0,11101000,200.19,2336,40.0,5.15,459.0,200.54,0.0,0.0, , 
,200.87,2336,42.0,0.0,11101000,201.20,2336,38.4,5.15,438.6,201.53,0.0,0.0, , 
,201.85,2336,42.0,1.2,11101000,202.19,2336,36.9,5.15,418.2,202.53,0.0,0.0, , 
,202.88,2336,42.0,3.1,11101000,203.23,2304,36.9,5.15,418.2,203.56,0.0,0.0, , 
,203.88,2304,42.0,4.7,11101000,204.22,2304,36.9,5.15,418.2,204.54,0.0,0.0, , 
,204.90,2304,42.0,3.1,11101000,205.23,2304,32.5,4.12,377.4,205.58,0.0,0.0, , 
,205.92,2272,42.0,3.9,11101000,206.28,2272,31.0,4.12,377.4,206.62,0.0,0.0, , 
,206.95,2240,42.0,1.2,11101000,207.28,2240,22.0,3.09,295.8,207.62,0.0,0.0, , 
,207.96,2240,42.0,0.8,11101000,208.30,2240,28.2,4.12,336.6,208.65,0.0,0.0, , 
,208.97,2208,42.0,4.7,11101000,209.32,2208,44.3,7.21,499.8,209.65,0.0,0.0, , 
,209.99,2208,43.5,9.8,11101000,210.33,2208,44.3,6.18,479.4,210.68,0.0,0.0, , 
,211.00,2208,43.5,12.1,11101000,211.34,2208,48.6,7.21,520.2,211.66,0.0,0.0, , 
,211.99,2240,43.5,10.5,11101000,212.34,2240,42.7,6.18,479.4,212.67,0.0,0.0, , 
,213.00,2240,43.5,7.4,11101000,213.34,2240,40.0,6.18,459.0,213.67,0.0,0.0, , 
,214.02,2240,43.5,7.0,11101000,214.34,2240,41.2,6.18,459.0,214.68,0.0,0.0, , 
,215.01,2240,43.5,6.6,11101000,215.35,2240,41.2,6.18,459.0,215.68,0.0,0.0, , 
,216.03,2240,43.5,6.6,11101000,216.37,2240,41.2,6.18,479.4,216.71,0.0,0.0, , 
,217.05,2240,43.5,7.4,11101000,217.40,2240,44.3,6.18,479.4,217.73,0.0,0.0, , 
,218.06,2240,43.5,9.4,11101000,218.42,2240,50.2,7.21,550.8,218.76,0.0,0.0, , 
,219.11,2272,43.5,8.6,11101000,219.44,2272,50.2,7.21,550.8,219.78,0.0,0.0, , 
,220.12,2272,43.5,8.2,11101000,220.44,2272,48.6,7.21,550.8,220.78,0.0,0.0, , 
,221.11,2304,43.5,7.4,11101000,221.45,2304,53.3,8.24,571.2,221.76,0.0,0.0, , 
,222.08,2336,45.0,8.2,11101000,222.41,2336,59.2,9.27,632.4,222.74,0.0,0.0, , 
,223.10,2368,45.0,7.8,11101000,223.41,2368,59.2,9.27,612.0,223.76,0.0,0.0, , 
,224.07,2400,45.0,4.7,11101000,224.45,2400,48.6,7.21,520.2,224.79,0.0,0.0, , 
,225.10,2400,45.0,3.5,11101000,225.45,2400,50.2,7.21,550.8,225.81,0.0,0.0, , 
