Niedziela,23,Sierpień,2026,18:04:33:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.53,0,19.5,0.0,00110110,0.01,0,0.0,0.00,989.4,0.26,0.0,1.48, , 
,1.34,0,19.5,0.0,00110110,0.80,0,0.0,0.00,989.4,1.08,0.0,1.48, , 
,2.14,0,19.5,0.0,00110110,1.61,0,0.0,0.00,989.4,1.87,0.0,1.48, , 
,2.94,0,19.5,0.0,00110110,2.40,0,0.0,0.00,989.4,2.67,0.0,1.48, , 
,3.75,0,19.5,0.0,00110110,3.22,0,0.0,0.00,989.4,3.48,0.0,1.48, , 
,4.58,0,19.5,0.0,00110110,4.02,0,0.0,0.00,989.4,4.30,0.0,1.48, , 
,5.37,0,19.5,0.0,00110110,4.84,0,0.0,0.00,989.4,5.11,0.0,1.48, , 
,6.17,0,19.5,0.0,00110110,5.64,0,0.0,0.00,989.4,5.90,0.0,1.48, , 
,6.97,0,19.5,0.0,00110110,6.44,0,0.0,0.00,989.4,6.70,0.0,1.48, , 
,7.76,0,19.5,0.0,00110110,7.23,0,0.0,0.00,989.4,7.50,0.0,1.48, , 
,8.58,0,19.5,0.0,00110110,8.03,0,0.0,0.00,989.4,8.30,0.0,1.48, , 
,9.37,0,19.5,0.0,00110110,8.84,0,0.0,0.00,989.4,9.11,0.0,1.48, , 
,10.17,0,19.5,0.0,00110110,9.64,0,0.0,0.00,989.4,9.90,0.0,1.48, , 
,10.97,192,19.5,0.0,00110110,10.44,0,0.0,0.00,989.4,10.70,0.0,1.48, , 
,11.87,1184,19.5,0.0,00110110,11.23,192,100.0,57.68,989.4,11.53,0.0,1.48, , 
,12.86,1152,19.5,0.0,00110110,12.19,1216,50.2,10.30,571.2,12.54,0.0,1.48, , 
,13.84,1152,19.5,0.0,00110110,13.17,1184,41.2,8.24,479.4,13.51,0.0,1.48, , 
,14.87,1152,19.5,0.0,00110110,14.17,1152,41.2,8.24,479.4,14.52,0.0,1.48, , 
,15.86,1152,19.5,0.0,00110110,15.20,1152,41.2,8.24,479.4,15.53,0.0,1.48, , 
,16.82,1184,19.5,0.0,00110110,16.17,1152,40.0,7.21,459.0,16.50,0.0,1.48, , 
,17.83,1184,19.5,0.0,00110110,17.16,1152,40.0,7.21,459.0,17.51,0.0,1.48, , 
,18.83,1152,19.5,0.0,00110110,18.15,1152,40.0,6.18,459.0,18.50,0.0,1.48, , 
,19.86,1152,19.5,0.0,00110110,19.17,1184,38.4,6.18,459.0,19.52,0.0,1.48, , 
,20.79,1152,19.5,0.0,00110110,20.17,1152,38.4,6.18,459.0,20.48,0.0,1.48, , 
,21.79,1152,19.5,0.0,00110110,21.10,1152,38.4,6.18,438.6,21.44,0.0,1.48, , 
,22.78,1152,19.5,0.0,00110110,22.11,1120,38.4,6.18,459.0,22.44,0.0,1.48, , 
,23.75,1152,19.5,0.0,00110110,23.11,1120,38.4,5.15,459.0,23.42,0.0,1.48, , 
,24.71,1120,19.5,0.0,00110110,24.08,1120,38.4,5.15,459.0,24.39,0.0,1.48, , 
,25.67,1120,19.5,0.0,00110110,25.03,1088,40.0,5.15,459.0,25.35,0.0,1.48, , 
,26.64,1120,19.5,0.0,00110110,25.98,1120,40.0,5.15,459.0,26.30,0.0,1.48, , 
,27.55,1120,19.5,0.0,00110110,26.95,1120,41.2,6.18,479.4,27.25,0.0,1.48, , 
,28.51,1088,19.5,0.0,00110110,27.87,1088,44.3,6.18,499.8,28.20,0.0,1.48, , 
,29.51,1088,21.0,0.0,00110110,28.82,1120,45.9,6.18,520.2,29.17,0.0,1.48, , 
,30.50,1120,21.0,0.0,00110110,29.86,1088,47.1,6.18,550.8,30.18,0.0,1.48, , 
,31.46,1120,21.0,0.0,00110110,30.82,1088,50.2,6.18,571.2,31.14,0.0,1.48, , 
,32.41,1120,21.0,0.0,00110110,31.78,1120,51.8,7.21,571.2,32.09,0.0,1.48, , 
,33.40,1088,21.0,0.0,00110110,32.74,1152,51.8,7.21,591.6,33.08,0.0,1.48, , 
,34.40,1120,21.0,0.0,00110110,33.73,1120,54.5,7.21,612.0,34.08,0.0,1.48, , 
,35.40,1152,21.0,0.0,00110110,34.73,1152,54.5,7.21,612.0,35.06,0.0,1.48, , 
,36.38,1120,21.0,0.0,00110110,35.73,1120,54.5,7.21,612.0,36.06,0.0,1.48, , 
,37.37,1152,21.0,0.0,00110110,36.72,1120,54.5,7.21,612.0,37.05,0.0,1.52, , 
,38.36,1152,21.0,0.0,00110110,37.70,1152,53.3,7.21,591.6,38.02,0.0,1.52, , 
,39.31,1152,21.0,0.0,00110110,38.67,1152,53.3,7.21,591.6,38.98,0.0,1.60, , 
,40.25,1152,21.0,0.0,00110110,39.62,1152,53.3,7.21,591.6,39.95,0.0,1.64, , 
,41.23,1152,21.0,0.0,00110110,40.56,1152,51.8,7.21,591.6,40.88,0.0,1.72, , 
,42.19,1152,22.5,2.0,00111110,41.56,1152,51.8,7.21,591.6,41.88,0.0,1.72, , 
,43.19,1152,22.5,7.0,00111110,42.52,1152,51.8,7.21,591.6,42.84,5.5,1.68, , 
,44.16,1152,22.5,9.4,00111110,43.50,1152,51.8,7.21,571.2,43.83,8.6,1.56, , 
,45.15,1184,22.5,10.2,00111110,44.49,1152,50.2,7.21,571.2,44.83,9.8,1.52, , 
,46.15,1152,22.5,10.2,00111110,45.49,1152,50.2,7.21,571.2,45.81,10.2,1.48, , 
,47.12,1152,22.5,10.2,00111110,46.48,1152,48.6,7.21,550.8,46.80,10.2,1.48, , 
,48.10,1152,22.5,9.8,00111110,47.44,1152,48.6,7.21,550.8,47.76,10.2,1.48, , 
,49.16,1152,22.5,9.8,00111110,48.45,1152,47.1,7.21,550.8,48.82,9.8,1.48, , 
,50.13,1152,22.5,9.4,00111110,49.49,1184,47.1,7.21,550.8,49.83,9.4,1.45, , 
,51.16,1152,22.5,9.0,00111110,50.47,1152,47.1,7.21,520.2,50.82,9.4,1.48, , 
,52.16,1152,24.0,8.6,00111110,51.50,1152,45.9,6.18,520.2,51.83,9.0,1.45, , 
,53.13,1152,24.0,9.0,00111110,52.48,1152,45.9,6.18,520.2,52.81,8.6,1.48, , 
,54.11,1152,24.0,9.4,00111110,53.48,1152,45.9,6.18,520.2,53.80,9.4,1.48, , 
,55.09,1152,24.0,9.4,00111110,54.43,1152,45.9,6.18,520.2,54.77,9.4,1.48, , 
,56.12,1152,24.0,9.4,00111110,55.42,1120,44.3,6.18,520.2,55.74,9.4,1.45, , 
,57.16,1120,24.0,9.0,00111110,56.48,1120,44.3,6.18,499.8,56.83,9.0,1.48, , 
,58.19,1120,24.0,8.6,00111110,57.51,1120,42.7,6.18,499.8,57.84,9.0,1.48, , 
,59.20,1120,25.5,8.6,00111110,58.52,1120,42.7,6.18,479.4,58.86,8.6,1.48, , 
,60.21,1120,25.5,8.6,00111110,59.53,1120,41.2,6.18,479.4,59.87,8.6,1.48, , 
,61.23,1120,25.5,8.6,00111110,60.56,1088,41.2,6.18,479.4,60.88,8.6,1.48, , 
,62.17,1120,25.5,8.6,00111110,61.55,1120,41.2,6.18,479.4,61.85,8.6,1.48, , 
,63.18,1120,25.5,8.6,00111110,62.51,1120,41.2,6.18,479.4,62.85,8.6,1.45, , 
,64.16,1120,25.5,8.2,00111110,63.51,1120,41.2,6.18,479.4,63.85,8.2,1.45, , 
,65.12,1120,25.5,8.2,00111110,64.48,1120,41.2,6.18,479.4,64.81,8.2,1.48, , 
,66.17,1120,27.0,8.2,00111110,65.46,1120,40.0,6.18,479.4,65.82,8.2,1.48, , 
,67.11,1120,27.0,8.6,00111110,66.48,1120,40.0,6.18,479.4,66.80,8.6,1.48, , 
,68.07,1120,27.0,8.6,00111110,67.44,1120,40.0,5.15,459.0,67.75,8.6,1.45, , 
,69.03,1120,27.0,8.2,00111110,68.40,1120,40.0,5.15,459.0,68.72,8.2,1.45, , 
,70.01,1120,27.0,8.2,00111110,69.35,1120,40.0,5.15,459.0,69.68,8.2,1.45, , 
,70.95,1088,27.0,7.8,00111110,70.33,1120,38.4,5.15,459.0,70.64,8.2,1.45, , 
,71.94,1120,27.0,8.2,00111110,71.27,1088,38.4,5.15,459.0,71.62,7.8,1.48, , 
,72.91,1088,27.0,8.2,00111110,72.24,1120,38.4,5.15,459.0,72.58,8.2,1.48, , 
,73.91,1088,27.0,7.4,00111110,73.25,1088,36.9,5.15,438.6,73.58,7.8,1.45, , 
,74.87,1088,28.5,7.4,00111110,74.21,1088,36.9,5.15,438.6,74.54,7.4,1.45, , 
,75.81,1056,28.5,7.0,00111110,75.19,1088,36.9,5.15,438.6,75.50,7.0,1.45, , 
,76.77,1088,28.5,6.6,00111110,76.12,1088,36.9,5.15,438.6,76.45,7.0,1.45, , 
,77.76,1088,28.5,6.3,00111110,77.10,1088,35.3,5.15,438.6,77.43,6.3,1.45, , 
,78.73,1088,28.5,6.3,00111110,78.07,1088,35.3,5.15,418.2,78.41,5.9,1.48, , 
,79.73,1088,28.5,6.3,00111110,79.07,1088,35.3,5.15,438.6,79.41,6.3,1.48, , 
,80.72,1056,28.5,6.3,00111110,80.05,1088,35.3,5.15,418.2,80.38,6.3,1.48, , 
,81.68,1056,30.0,5.9,00111110,81.03,1056,35.3,5.15,418.2,81.35,5.9,1.45, , 
,82.64,1056,30.0,5.5,00111110,82.00,1056,34.1,5.15,418.2,82.33,5.5,1.48, , 
,83.61,1056,30.0,5.9,00111110,82.97,1088,35.3,5.15,438.6,83.28,5.9,1.52, , 
,84.58,1056,30.0,6.6,00111110,83.92,1088,35.3,5.15,418.2,84.23,6.3,1.52, , 
,85.56,1056,30.0,7.4,00111110,84.91,1056,35.3,5.15,438.6,85.22,7.0,1.52, , 
,86.59,1056,30.0,7.8,00111110,85.89,1056,36.9,5.15,438.6,86.25,7.8,1.52, , 
,87.59,1088,30.0,8.2,00111110,86.91,1088,36.9,5.15,438.6,87.26,8.2,1.48, , 
,88.55,1056,31.5,8.2,00111110,87.91,1056,36.9,5.15,438.6,88.23,8.2,1.48, , 
,89.48,1056,31.5,8.2,00111110,88.85,1056,36.9,5.15,438.6,89.17,8.2,1.48, , 
,90.44,1056,31.5,8.2,00111110,89.80,1056,36.9,5.15,459.0,90.11,8.2,1.48, , 
,91.39,1056,31.5,8.2,00111110,90.75,1056,36.9,5.15,459.0,91.06,8.6,1.48, , 
,92.36,1056,31.5,8.6,00111110,91.72,1024,38.4,5.15,459.0,92.03,8.2,1.48, , 
,93.31,1056,31.5,8.2,00111110,92.68,1056,38.4,5.15,459.0,93.00,8.6,1.48, , 
,94.27,1024,33.0,7.8,00111110,93.64,1056,38.4,5.15,459.0,93.97,8.2,1.45, , 
,95.24,1024,33.0,7.8,00111110,94.58,1024,38.4,5.15,459.0,94.90,7.8,1.45, , 
,96.19,1024,33.0,7.8,00111110,95.56,1024,38.4,5.15,459.0,95.87,7.8,1.48, , 
,97.18,1024,33.0,7.8,00111110,96.51,1024,38.4,5.15,459.0,96.85,7.8,1.48, , 
,98.15,1024,33.0,7.8,00111110,97.51,992,40.0,5.15,459.0,97.83,7.8,1.48, , 
,99.09,1024,33.0,8.2,00111110,98.47,1024,40.0,5.15,479.4,98.77,7.8,1.45, , 
,100.05,1024,33.0,7.8,00111110,99.41,1024,38.4,5.15,459.0,99.73,8.2,1.48, , 
,101.06,1024,34.5,8.2,00111110,100.39,1024,38.4,5.15,459.0,100.71,8.2,1.48, , 
,102.06,992,34.5,8.2,00111110,101.39,992,40.0,6.18,479.4,101.70,8.2,1.48, , 
,102.98,1024,34.5,8.2,00111110,102.33,1024,40.0,6.18,479.4,102.62,8.2,1.45, , 
,103.94,1024,34.5,7.8,00111110,103.32,1024,40.0,6.18,479.4,103.64,8.2,1.48, , 
,104.91,992,34.5,8.2,00111110,104.29,992,41.2,6.18,479.4,104.62,8.2,1.48, , 
,105.86,992,34.5,8.2,00111110,105.25,1024,41.2,6.18,479.4,105.53,8.2,1.48, , 
,106.81,992,34.5,8.2,00111110,106.13,992,41.2,6.18,479.4,106.49,8.2,1.45, , 
,107.72,992,34.5,7.8,00111110,107.08,992,40.0,6.18,479.4,107.43,7.8,1.45, , 
,108.52,960,36.0,7.8,00111110,107.98,992,41.2,6.18,479.4,108.25,7.8,1.48, , 
,109.51,992,36.0,7.4,00111110,108.81,992,40.0,5.15,479.4,109.17,7.4,1.48, , 
,110.59,992,36.0,7.0,00111110,109.87,992,40.0,5.15,479.4,110.23,7.0,1.48, , 
,111.56,960,36.0,6.6,00111110,110.95,992,40.0,5.15,479.4,111.30,6.6,1.48, , 
,112.50,960,36.0,7.0,00111110,111.82,992,40.0,5.15,479.4,112.18,7.0,1.48, , 
,113.41,992,36.0,7.0,00111110,112.76,992,40.0,5.15,479.4,113.12,7.0,1.48, , 
,114.37,960,36.0,7.4,00111110,113.77,960,40.0,5.15,479.4,114.08,7.4,1.48, , 
,115.29,960,37.5,7.0,00111110,114.69,960,40.0,5.15,479.4,114.98,7.0,1.48, , 
,116.25,960,37.5,7.0,00111110,115.64,960,40.0,5.15,479.4,115.97,7.0,1.48, , 
,117.19,960,37.5,7.4,00111110,116.58,960,40.0,5.15,479.4,116.92,7.4,1.48, , 
,118.17,960,37.5,7.4,00111110,117.50,960,40.0,5.15,479.4,117.84,7.4,1.48, , 
,119.10,960,37.5,7.4,00111110,118.44,960,40.0,5.15,479.4,118.78,7.4,1.48, , 
,120.05,960,37.5,7.4,00111110,119.42,960,40.0,5.15,479.4,119.74,7.4,1.48, , 
,120.99,960,37.5,7.4,00111110,120.35,960,41.2,5.15,479.4,120.68,7.0,1.48, , 
,121.96,960,37.5,7.0,00111110,121.31,960,40.0,5.15,479.4,121.64,7.0,1.48, , 
,122.95,960,39.0,7.4,00111110,122.29,960,40.0,5.15,479.4,122.62,7.0,1.41, , 
,123.93,928,39.0,7.4,00111110,123.29,928,38.4,5.15,479.4,123.62,7.4,1.41, , 
,124.88,928,39.0,7.4,00111110,124.27,928,38.4,5.15,459.0,124.57,7.4,1.41, , 
,125.86,928,39.0,7.8,00111110,125.21,928,38.4,5.15,459.0,125.54,7.8,1.45, , 
,126.78,928,39.0,7.4,00111110,126.17,928,38.4,5.15,479.4,126.47,7.8,1.41, , 
,127.71,928,39.0,7.8,00111110,127.07,928,38.4,5.15,459.0,127.41,7.4,1.45, , 
,128.64,928,39.0,8.2,00111110,128.02,928,38.4,5.15,459.0,128.32,8.2,1.45, , 
,129.57,928,39.0,8.2,00111110,128.95,928,38.4,5.15,459.0,129.26,8.2,1.41, , 
,130.54,896,40.5,8.2,00111110,129.88,928,38.4,5.15,459.0,130.21,8.2,1.45, , 
,131.48,928,40.5,8.2,00111110,130.86,928,38.4,5.15,459.0,131.16,8.2,1.41, , 
,132.41,928,40.5,8.2,00111110,131.79,928,36.9,5.15,459.0,132.09,8.2,1.41, , 
,133.35,928,40.5,8.2,00111110,132.71,896,38.4,5.15,459.0,133.03,8.2,1.41, , 
,134.28,928,40.5,8.2,00111110,133.67,928,38.4,5.15,459.0,133.98,8.2,1.41, , 
,135.21,928,40.5,8.2,00111110,134.58,896,36.9,5.15,459.0,134.87,8.2,1.41, , 
,136.16,928,40.5,8.2,00111110,135.54,896,36.9,5.15,459.0,135.86,8.2,1.41, , 
,137.12,928,40.5,7.8,00111110,136.48,896,36.9,5.15,459.0,136.80,8.2,1.41, , 
