Niedziela,23,Sierpień,2026,18:24:09:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.30,768,94.5,3.1,00111111,0.61,768,26.7,3.09,397.8,0.01,-2.3,0.0, , 
,1.21,800,94.5,3.1,00111111,1.50,800,26.7,3.09,397.8,0.91,-1.6,0.0, , 
,2.11,800,94.5,3.1,00111111,2.41,800,26.7,3.09,397.8,1.82,-1.6,0.0, , 
,3.00,800,93.0,3.1,00111111,3.30,800,26.7,3.09,397.8,2.70,-1.6,0.0, , 
,3.90,800,93.0,2.7,00111111,4.19,800,26.7,3.09,397.8,3.60,-0.8,0.0, , 
,4.80,800,93.0,2.7,00111111,5.10,768,26.7,3.09,397.8,4.51,-0.8,0.0, , 
,5.70,800,93.0,2.7,00111111,5.99,800,26.7,3.09,397.8,5.39,-0.8,0.0, , 
,6.58,800,93.0,2.3,00111111,6.88,800,26.7,3.09,397.8,6.29,-0.8,0.0, , 
,7.47,800,93.0,2.3,00111111,7.78,800,25.1,3.09,397.8,7.18,-0.8,0.0, , 
,8.37,800,93.0,2.3,00111111,8.68,800,25.1,3.09,397.8,8.08,-0.8,0.0, , 
,9.27,800,93.0,1.6,00111111,9.57,800,25.1,3.09,397.8,8.97,-0.8,0.0, , 
,10.17,800,91.5,1.6,00111111,10.47,768,25.1,3.09,397.8,9.86,-0.8,0.0, , 
,11.07,800,91.5,2.0,00111111,11.37,800,25.1,3.09,397.8,10.77,-0.8,0.0, , 
,12.00,768,91.5,2.0,00111111,12.30,800,25.1,3.09,397.8,11.69,-0.8,0.0, , 
,12.90,768,91.5,2.0,00111111,13.20,800,25.1,3.09,397.8,12.59,0.0,0.0, , 
,13.81,768,91.5,2.0,00111111,14.11,768,25.1,3.09,397.8,13.51,0.0,0.0, , 
,14.71,768,91.5,2.0,00111111,15.00,768,25.1,3.09,397.8,14.40,0.0,0.0, , 
,15.59,800,91.5,2.0,00111111,15.89,800,25.1,3.09,397.8,15.30,0.0,0.0, , 
,16.48,768,91.5,2.0,00111111,16.79,768,25.1,3.09,397.8,16.19,0.0,0.0, , 
,17.40,800,91.5,2.0,00111111,17.70,768,25.1,3.09,397.8,17.09,0.0,0.0, , 
,18.30,800,91.5,2.0,00111111,18.60,768,25.1,3.09,397.8,18.01,0.0,0.0, , 
,19.22,800,91.5,1.6,00111111,19.54,768,26.7,3.09,397.8,18.91,0.0,0.0, , 
,20.15,800,91.5,1.2,00111111,20.44,768,25.1,3.09,397.8,19.84,0.0,0.0, , 
,21.05,800,91.5,0.8,00111111,21.34,768,25.1,3.09,397.8,20.74,0.0,0.0, , 
,21.94,768,90.0,0.8,00111111,22.25,768,26.7,3.09,397.8,21.65,0.0,0.0, , 
,22.83,800,90.0,0.8,00111111,23.13,800,26.7,3.09,397.8,22.54,0.0,0.0, , 
,23.73,768,90.0,0.8,00111111,24.04,768,25.1,3.09,397.8,23.42,0.0,0.0, , 
,24.64,768,90.0,1.2,00111111,24.95,800,26.7,3.09,397.8,24.34,0.0,0.0, , 
,25.55,800,90.0,1.2,00111111,25.84,768,25.1,3.09,397.8,25.26,0.0,0.0, , 
,26.44,768,90.0,1.2,00111111,26.74,768,26.7,3.09,397.8,26.15,0.0,0.0, , 
,27.34,768,90.0,1.2,00111111,27.65,768,26.7,3.09,397.8,27.04,0.0,0.0, , 
,28.24,800,90.0,1.2,00111111,28.55,768,25.1,3.09,397.8,27.94,0.0,0.0, , 
,29.17,800,90.0,0.8,00111111,29.48,768,25.1,3.09,397.8,28.84,0.0,0.0, , 
,30.08,800,90.0,0.8,00111111,30.37,800,25.1,3.09,397.8,29.80,0.0,0.0, , 
,30.98,768,90.0,0.8,00111111,31.27,800,26.7,3.09,397.8,30.68,0.0,0.0, , 
,31.87,768,90.0,0.8,00111111,32.17,768,25.1,3.09,397.8,31.57,0.0,0.0, , 
,32.76,800,90.0,0.8,00111111,33.04,800,26.7,3.09,397.8,32.46,0.0,0.0, , 
,33.63,800,91.5,0.8,00111111,33.92,768,26.7,3.09,397.8,33.34,0.0,0.0, , 
,34.52,768,90.0,0.8,00111111,34.82,768,25.1,3.09,397.8,34.22,0.0,0.0, , 
,35.38,800,91.5,0.4,00111111,35.68,800,25.1,3.09,397.8,35.10,0.0,0.0, , 
,36.27,768,91.5,0.4,00111111,36.57,768,26.7,3.09,397.8,35.97,0.0,0.0, , 
,37.15,800,91.5,0.4,00111111,37.45,800,26.7,3.09,397.8,36.86,0.0,0.0, , 
,38.06,800,91.5,0.8,00111111,38.35,800,26.7,3.09,397.8,37.75,0.0,0.0, , 
,38.94,800,91.5,0.8,00111111,39.24,800,25.1,3.09,397.8,38.65,0.0,0.0, , 
,39.83,768,91.5,0.8,00111111,40.14,768,26.7,3.09,397.8,39.53,0.0,0.0, , 
,40.77,800,91.5,1.2,00111111,41.07,800,25.1,3.09,397.8,40.45,0.0,0.0, , 
,41.68,800,91.5,0.8,00111111,41.98,800,25.1,3.09,397.8,41.37,0.0,0.0, , 
,42.61,768,91.5,0.4,00111111,42.91,800,25.1,3.09,397.8,42.30,0.0,0.0, , 
,43.52,768,91.5,0.8,00111111,43.82,768,25.1,3.09,397.8,43.21,0.0,0.0, , 
,44.43,768,91.5,0.4,00111111,44.72,768,26.7,3.09,397.8,44.12,0.0,0.0, , 
,45.32,800,91.5,0.4,00111111,45.62,800,25.1,3.09,397.8,45.02,0.0,0.0, , 
,46.22,768,91.5,0.4,00111111,46.52,768,26.7,3.09,397.8,45.92,0.0,0.0, , 
,47.10,800,91.5,0.8,00111111,47.39,768,26.7,3.09,397.8,46.82,0.0,0.0, , 
,47.96,800,91.5,1.2,00111111,48.26,800,25.1,3.09,397.8,47.68,0.0,0.0, , 
,48.86,800,91.5,1.2,00111111,49.17,768,25.1,3.09,397.8,48.56,0.0,0.0, , 
,49.81,768,91.5,1.2,00111111,50.11,800,25.1,3.09,397.8,49.48,0.0,0.0, , 
,50.71,768,91.5,1.2,00111111,51.01,768,25.1,3.09,397.8,50.41,0.0,0.0, , 
,51.61,800,91.5,1.2,00111111,51.91,768,25.1,3.09,397.8,51.30,0.0,0.0, , 
,52.51,768,91.5,1.2,00111111,52.81,768,25.1,3.09,397.8,52.21,0.0,0.0, , 
,53.41,800,91.5,1.2,00111111,53.70,768,25.1,3.09,397.8,53.11,0.0,0.0, , 
,54.29,800,91.5,1.2,00111111,54.57,768,25.1,3.09,397.8,53.99,0.0,0.0, , 
,55.15,800,91.5,1.6,00111111,55.44,768,25.1,3.09,397.8,54.86,0.0,0.0, , 
,56.04,768,91.5,1.2,00111111,56.33,800,25.1,3.09,397.8,55.74,0.0,0.0, , 
,56.92,800,91.5,1.6,00111111,57.23,800,25.1,3.09,397.8,56.63,0.0,0.0, , 
,57.83,768,91.5,1.6,00111111,58.13,800,26.7,3.09,397.8,57.54,0.0,0.0, , 
,58.74,800,91.5,1.6,00111111,59.04,768,25.1,3.09,397.8,58.43,0.0,0.0, , 
,59.64,800,93.0,1.6,00111111,59.94,768,25.1,3.09,397.8,59.34,0.0,0.0, , 
,60.53,800,91.5,1.6,00111111,60.82,800,25.1,3.09,397.8,60.24,0.0,0.0, , 
,61.42,768,91.5,1.2,00111111,61.71,768,25.1,3.09,397.8,61.13,0.0,0.0, , 
,62.30,800,91.5,1.6,00111111,62.60,800,25.1,3.09,397.8,62.01,0.0,0.0, , 
,63.22,800,91.5,1.6,00111111,63.52,768,25.1,3.09,397.8,62.91,0.0,0.0, , 
,64.11,800,91.5,1.6,00111111,64.42,800,25.1,3.09,397.8,63.82,0.0,0.0, , 
,65.06,768,91.5,1.6,00111111,65.37,768,25.1,3.09,397.8,64.73,0.0,0.0, , 
,65.97,800,93.0,1.6,00111111,66.27,768,25.1,3.09,397.8,65.66,0.0,0.0, , 
,66.86,800,93.0,1.2,00111111,67.15,768,25.1,3.09,397.8,66.57,0.0,0.0, , 
,67.73,768,93.0,1.6,00111111,68.04,768,26.7,3.09,397.8,67.44,0.0,0.0, , 
,68.60,736,93.0,1.6,00101011,68.88,672,31.0,4.12,438.6,68.31,0.0,0.0, , 
,69.43,576,93.0,0.0,00100011,69.73,736,40.0,5.15,550.8,69.15,0.0,0.0, , 
,70.39,896,93.0,-2.7,00101011,70.68,704,28.2,3.09,418.2,70.09,0.0,0.0, , 
,71.25,512,93.0,0.0,00100011,71.55,608,44.3,6.18,591.6,70.95,0.8,0.0, , 
,72.15,704,93.0,0.0,00101011,72.43,576,44.3,5.15,571.2,71.86,0.0,0.0, , 
,73.02,928,93.0,-1.6,00111111,73.33,896,28.2,3.09,397.8,72.70,0.0,0.0, , 
,73.96,896,93.0,-0.4,00111111,74.25,896,26.7,3.09,397.8,73.65,0.0,0.0, , 
,74.83,800,93.0,2.0,00111111,75.13,768,25.1,3.09,397.8,74.54,0.0,0.0, , 
,75.75,1120,93.0,0.0,00101011,76.05,1440,40.0,5.15,520.2,75.42,0.0,0.0, , 
,76.69,928,93.0,0.0,00101011,76.99,768,59.2,8.24,714.0,76.36,0.0,0.0, , 
,77.60,1056,93.0,0.0,00111111,77.92,1184,28.2,3.09,397.8,77.30,0.0,0.0, , 
,78.54,1248,93.0,1.2,00111111,78.87,1216,23.5,3.09,336.6,78.24,0.0,0.0, , 
,79.53,1024,93.0,0.8,00111111,79.85,928,22.0,3.09,357.0,79.19,0.0,0.0, , 
,80.43,768,93.0,-0.8,00111111,80.76,736,26.7,3.09,397.8,80.14,0.0,0.0, , 
,81.37,768,93.0,-2.3,00111111,81.67,800,26.7,3.09,397.8,81.07,0.0,0.0, , 
,82.28,768,93.0,-3.1,00111111,82.59,768,28.2,3.09,418.2,81.98,0.0,0.0, , 
,83.21,800,93.0,-1.2,00111111,83.51,800,26.7,3.09,397.8,82.89,0.0,0.0, , 
,84.11,800,93.0,0.8,00111111,84.42,800,26.7,3.09,397.8,83.81,0.0,0.0, , 
,85.04,800,93.0,2.0,00111111,85.32,800,26.7,3.09,397.8,84.73,0.0,0.0, , 
,85.93,800,93.0,2.3,00111111,86.23,800,26.7,3.09,397.8,85.63,0.0,0.0, , 
,86.83,800,93.0,2.3,00111111,87.13,800,26.7,3.09,397.8,86.54,0.0,0.0, , 
,87.72,800,93.0,2.3,00111111,88.02,800,26.7,3.09,397.8,87.42,0.0,0.0, , 
,88.64,768,93.0,2.0,00111111,88.95,800,26.7,3.09,397.8,88.33,0.0,0.0, , 
,89.57,800,93.0,1.6,00111111,89.86,768,26.7,3.09,397.8,89.27,0.0,0.0, , 
,90.45,800,94.5,1.6,00111111,90.76,768,25.1,3.09,397.8,90.15,0.0,0.0, , 
,91.37,800,93.0,1.6,00111111,91.69,800,25.1,3.09,397.8,91.06,0.0,0.0, , 
,92.29,800,94.5,1.6,00111111,92.59,800,25.1,3.09,397.8,91.99,0.0,0.0, , 
,93.20,800,94.5,1.6,00111111,93.52,768,25.1,3.09,397.8,92.90,0.0,0.0, , 
,94.11,768,94.5,2.0,00111111,94.40,800,25.1,3.09,397.8,93.82,0.0,0.0, , 
,94.99,768,94.5,2.3,00111111,95.28,800,25.1,3.09,397.8,94.69,0.0,0.0, , 
,95.88,800,94.5,2.3,00111111,96.18,800,25.1,3.09,397.8,95.58,0.0,0.0, , 
,96.75,800,94.5,2.0,00111111,97.05,768,25.1,3.09,397.8,96.46,0.0,0.0, , 
,97.65,768,94.5,2.0,00111111,97.94,768,25.1,3.09,397.8,97.35,0.0,0.0, , 
,98.54,768,94.5,2.0,00111111,98.82,768,25.1,3.09,397.8,98.24,0.0,0.0, , 
,99.41,800,94.5,2.3,00111111,99.71,800,25.1,3.09,377.4,99.10,0.0,0.0, , 
,100.31,800,94.5,2.3,00111111,100.61,800,25.1,3.09,377.4,100.01,0.0,0.0, , 
,101.20,768,94.5,2.3,00111111,101.49,800,25.1,3.09,377.4,100.91,0.0,0.0, , 
,102.07,800,94.5,2.3,00111111,102.37,800,25.1,3.09,397.8,101.79,0.0,0.0, , 
,102.97,800,94.5,2.3,00111111,103.25,768,25.1,3.09,397.8,102.67,0.0,0.0, , 
,103.87,768,94.5,2.7,00111111,104.17,768,25.1,3.09,377.4,103.56,0.0,0.0, , 
,104.79,768,94.5,2.3,00111111,105.10,768,25.1,3.09,377.4,104.48,0.0,0.0, , 
,105.71,768,94.5,2.0,00111111,106.00,768,25.1,3.09,377.4,105.41,0.0,0.0, , 
,106.60,768,94.5,2.0,00111111,106.91,800,25.1,3.09,397.8,106.30,0.0,0.0, , 
,107.52,768,94.5,2.0,00111111,107.83,800,25.1,3.09,377.4,107.22,0.0,0.0, , 
,108.42,768,94.5,2.3,00111111,108.74,768,25.1,3.09,377.4,108.13,0.0,0.0, , 
,109.33,768,94.5,2.3,00111111,109.63,800,25.1,3.09,377.4,109.03,0.0,0.0, , 
,110.23,800,94.5,2.3,00111111,110.54,768,25.1,3.09,377.4,109.93,0.0,0.0, , 
,111.12,768,94.5,2.0,00111111,111.43,800,25.1,3.09,397.8,110.82,0.0,0.0, , 
,112.02,800,94.5,2.3,00111111,112.32,800,25.1,3.09,397.8,111.73,0.0,0.0, , 
,112.93,800,94.5,2.3,00111111,113.22,768,25.1,3.09,397.8,112.61,0.0,0.0, , 
,113.83,768,94.5,2.3,00111111,114.13,768,25.1,3.09,377.4,113.53,0.0,0.0, , 
,114.74,768,94.5,2.0,00111111,115.03,768,25.1,3.09,397.8,114.43,0.0,0.0, , 
,115.64,768,94.5,1.6,00111111,115.95,800,25.1,3.09,397.8,115.33,0.0,0.0, , 
,116.56,768,94.5,2.0,00111111,116.87,800,26.7,3.09,397.8,116.26,0.0,0.0, , 
,117.51,768,94.5,2.3,00111111,117.79,768,26.7,3.09,397.8,117.20,0.0,0.0, , 
,118.40,768,94.5,2.3,00111111,118.70,800,26.7,3.09,397.8,118.09,0.0,0.0, , 
,119.31,800,94.5,2.0,00111111,119.62,800,26.7,3.09,397.8,119.01,0.0,0.0, , 
,120.22,800,94.5,2.3,00111111,120.52,768,26.7,3.09,397.8,119.92,0.0,0.0, , 
,121.12,768,96.0,2.7,00111111,121.43,768,26.7,3.09,397.8,120.81,0.0,0.0, , 
,122.04,800,94.5,2.7,00111111,122.34,768,26.7,3.09,397.8,121.73,0.0,0.0, , 
,122.94,800,94.5,2.7,00111111,123.23,768,26.7,3.09,397.8,122.64,0.0,0.0, , 
,123.85,800,94.5,2.7,00111111,124.14,800,26.7,3.09,397.8,123.54,0.0,0.0, , 
,124.75,800,94.5,2.7,00111111,125.05,800,26.7,3.09,397.8,124.44,0.0,0.0, , 
,125.66,768,94.5,2.3,00111111,125.94,768,26.7,3.09,397.8,125.36,0.0,0.0, , 
,126.53,800,94.5,2.7,00111111,126.83,800,25.1,3.09,397.8,126.23,0.0,0.0, , 
,127.43,800,94.5,2.7,00111111,127.73,800,25.1,3.09,397.8,127.13,0.0,0.0, , 
,128.33,800,94.5,2.7,00111111,128.63,768,25.1,3.09,397.8,128.04,0.0,0.0, , 
,129.23,768,94.5,2.7,00111111,129.53,768,25.1,3.09,397.8,128.94,0.0,0.0, , 
,130.14,768,96.0,2.7,00111111,130.43,768,26.7,3.09,397.8,129.83,0.0,0.0, , 
,131.03,768,94.5,2.7,00111111,131.33,768,25.1,3.09,397.8,130.72,0.0,0.0, , 
,131.93,768,94.5,2.7,00111111,132.23,768,26.7,3.09,397.8,131.63,0.0,0.0, , 
,132.86,768,94.5,2.7,00111111,133.16,768,26.7,3.09,397.8,132.56,0.0,0.0, , 
,133.74,768,94.5,2.3,00111111,134.03,768,26.7,3.09,397.8,133.46,0.0,0.0, , 
,134.66,800,94.5,2.7,00111111,134.96,800,26.7,3.09,397.8,134.34,0.0,0.0, , 
,135.55,768,96.0,2.7,00111111,135.84,768,26.7,3.09,397.8,135.25,0.0,0.0, , 
,136.43,800,94.5,2.7,00111111,136.73,768,26.7,3.09,397.8,136.15,0.0,0.0, , 
,137.33,768,94.5,2.7,00111111,137.63,768,26.7,3.09,397.8,137.04,0.0,0.0, , 
,138.22,800,94.5,2.7,00111111,138.51,800,26.7,3.09,397.8,137.92,0.0,0.0, , 
,139.08,800,94.5,2.3,00111111,139.38,800,25.1,3.09,397.8,138.79,0.0,0.0, , 
,139.97,800,94.5,2.0,00111111,140.26,800,25.1,3.09,397.8,139.68,0.0,0.0, , 
,140.86,800,94.5,1.6,00111111,141.17,800,25.1,3.09,377.4,140.56,0.0,0.0, , 
,141.78,800,94.5,2.0,00111111,142.08,800,25.1,3.09,397.8,141.47,0.0,0.0, , 
,142.67,800,94.5,2.0,00111111,142.97,800,25.1,3.09,397.8,142.38,0.0,0.0, , 
,143.56,800,94.5,2.3,00111111,143.86,800,25.1,3.09,377.4,143.26,0.0,0.0, , 
,144.46,800,93.0,2.7,00111111,144.76,800,25.1,3.09,377.4,144.16,0.0,0.0, , 
,145.35,768,93.0,2.3,00111111,145.64,800,25.1,3.09,397.8,145.05,0.0,0.0, , 
,146.26,800,93.0,2.3,00111111,146.55,768,25.1,3.09,397.8,145.95,0.0,0.0, , 
,147.16,800,93.0,2.7,00111111,147.46,800,25.1,3.09,397.8,146.86,0.0,0.0, , 
,148.07,800,93.0,3.1,00111111,148.36,800,25.1,3.09,397.8,147.76,0.0,0.0, , 
,148.96,800,93.0,2.7,00111111,149.26,800,25.1,3.09,397.8,148.66,0.0,0.0, , 
,149.86,800,93.0,2.7,00111111,150.16,800,25.1,3.09,377.4,149.56,0.0,0.0, , 
,150.75,768,93.0,2.7,00111111,151.05,800,25.1,3.09,397.8,150.46,0.0,0.0, , 
,151.65,800,91.5,2.7,00111111,151.94,800,25.1,3.09,377.4,151.34,0.0,0.0, , 
,152.51,768,93.0,2.7,00111111,152.81,800,25.1,3.09,397.8,152.22,0.0,0.0, , 
,153.41,800,91.5,2.7,00111111,153.71,800,25.1,3.09,397.8,153.11,0.0,0.0, , 
,154.31,800,91.5,2.7,00111111,154.62,800,25.1,3.09,397.8,154.01,0.0,0.0, , 
,155.24,800,91.5,2.7,00111111,155.54,768,25.1,3.09,397.8,154.94,0.0,0.0, , 
,156.14,800,91.5,2.7,00111111,156.44,800,25.1,3.09,377.4,155.83,0.0,0.0, , 
,157.04,800,91.5,2.7,00111111,157.34,800,25.1,3.09,397.8,156.74,0.0,0.0, , 
,157.94,800,91.5,3.1,00111111,158.24,800,25.1,3.09,397.8,157.65,0.0,0.0, , 
,158.83,768,91.5,3.1,00111111,159.13,800,25.1,3.09,397.8,158.53,0.0,0.0, , 
,159.74,800,91.5,3.1,00111111,160.03,800,25.1,3.09,397.8,159.44,0.0,0.0, , 
,160.64,800,91.5,3.1,00111111,160.95,800,25.1,3.09,397.8,160.34,0.0,0.0, , 
,161.57,768,91.5,3.1,00111111,161.89,768,25.1,3.09,397.8,161.27,0.0,0.0, , 
,162.51,800,91.5,3.1,00111111,162.81,800,25.1,3.09,377.4,162.20,0.0,0.0, , 
,163.42,768,91.5,3.1,00111111,163.73,800,25.1,3.09,377.4,163.12,0.0,0.0, , 
,164.31,800,91.5,2.7,00111111,164.61,768,25.1,3.09,377.4,164.02,0.0,0.0, , 
,165.20,800,91.5,2.7,00111111,165.50,768,25.1,3.09,377.4,164.91,0.0,0.0, , 
,166.09,768,91.5,2.3,00111111,166.40,800,25.1,3.09,377.4,165.80,0.0,0.0, , 
,167.01,768,91.5,2.3,00111111,167.32,768,25.1,3.09,377.4,166.70,0.0,0.0, , 
,167.93,800,91.5,2.0,00111111,168.23,768,25.1,3.09,377.4,167.61,0.0,0.0, , 
,168.82,768,91.5,2.0,00111111,169.14,768,25.1,3.09,377.4,168.54,0.0,0.0, , 
,169.72,800,91.5,2.0,00111111,170.01,768,25.1,3.09,377.4,169.43,0.0,0.0, , 
,170.60,768,91.5,2.3,00111111,170.88,800,25.1,3.09,377.4,170.31,0.0,0.0, , 
,171.48,800,91.5,2.3,00111111,171.79,768,25.1,3.09,377.4,171.17,0.0,0.0, , 
,172.38,800,91.5,2.3,00111111,172.69,768,25.1,3.09,377.4,172.08,0.0,0.0, , 
,173.28,800,91.5,2.3,00111111,173.57,800,25.1,3.09,377.4,172.99,0.0,0.0, , 
,174.16,768,91.5,2.3,00111111,174.46,800,25.1,3.09,377.4,173.86,0.0,0.0, , 
,175.05,768,93.0,2.0,00111111,175.35,768,25.1,3.09,377.4,174.75,0.0,0.0, , 
,175.95,768,91.5,2.0,00111111,176.26,800,25.1,3.09,377.4,175.64,0.0,0.0, , 
,176.85,768,93.0,2.0,00111111,177.14,768,25.1,3.09,377.4,176.56,0.0,0.0, , 
,177.75,768,93.0,2.0,00111111,178.05,768,25.1,3.09,397.8,177.45,0.0,0.0, , 
,178.64,768,91.5,2.3,00111111,178.94,768,25.1,3.09,377.4,178.34,0.0,0.0, , 
,179.51,800,93.0,2.3,00111111,179.82,800,25.1,3.09,377.4,179.22,0.0,0.0, , 
,180.39,800,93.0,2.0,00111111,180.68,800,25.1,3.09,377.4,180.10,0.0,0.0, , 
,181.28,800,93.0,2.0,00111111,181.58,800,25.1,3.09,377.4,180.97,0.0,0.0, , 
,182.17,768,93.0,1.6,00111111,182.47,768,25.1,3.09,377.4,181.88,0.0,0.0, , 
,183.07,800,93.0,1.6,00111111,183.37,768,25.1,3.09,377.4,182.77,0.0,0.0, , 
,183.94,768,93.0,1.6,00111111,184.23,768,25.1,3.09,377.4,183.66,0.0,0.0, , 
,184.82,768,93.0,1.6,00111111,185.11,768,25.1,3.09,377.4,184.54,0.0,0.0, , 
,185.68,768,93.0,2.0,00111111,185.98,768,25.1,3.09,377.4,185.40,0.0,0.0, , 
,186.61,768,93.0,2.0,00111111,186.92,768,25.1,3.09,377.4,186.30,0.0,0.0, , 
,187.53,800,93.0,2.0,00111111,187.83,800,25.1,3.09,377.4,187.23,0.0,0.0, , 
,188.43,768,93.0,2.0,00111111,188.72,800,25.1,3.09,377.4,188.12,0.0,0.0, , 
,189.33,800,93.0,2.3,00111111,189.62,800,25.1,3.09,377.4,189.02,0.0,0.0, , 
,190.21,800,93.0,2.3,00111111,190.51,800,23.5,3.09,377.4,189.93,0.0,0.0, , 
,191.12,768,93.0,2.0,00111111,191.42,800,23.5,3.09,377.4,190.81,0.0,0.0, , 
,191.99,768,94.5,2.0,00111111,192.30,800,25.1,3.09,377.4,191.71,0.0,0.0, , 
,192.89,800,93.0,1.6,00111111,193.19,800,25.1,3.09,377.4,192.60,0.0,0.0, , 
,193.80,768,93.0,1.2,00111111,194.11,800,23.5,3.09,377.4,193.49,0.0,0.0, , 
,194.73,768,93.0,1.2,00111111,195.03,768,25.1,3.09,377.4,194.42,0.0,0.0, , 
,195.63,768,93.0,1.6,00111111,195.92,800,25.1,3.09,377.4,195.33,0.0,0.0, , 
,196.52,768,93.0,2.0,00111111,196.81,800,25.1,3.09,377.4,196.22,0.0,0.0, , 
,197.42,800,94.5,2.3,00111111,197.72,800,25.1,3.09,377.4,197.11,0.0,0.0, , 
,198.32,768,93.0,2.3,00111111,198.62,800,25.1,3.09,377.4,198.02,0.0,0.0, , 
,199.22,768,94.5,2.0,00111111,199.51,800,25.1,3.09,377.4,198.92,0.0,0.0, , 
,200.12,768,94.5,2.0,00111111,200.41,800,23.5,3.09,377.4,199.82,0.0,0.0, , 
,201.01,800,94.5,2.0,00111111,201.30,768,25.1,3.09,377.4,200.71,0.0,0.0, , 
,201.89,800,94.5,2.0,00111111,202.19,800,25.1,3.09,377.4,201.60,0.0,0.0, , 
,202.79,800,94.5,2.0,00111111,203.10,800,25.1,3.09,377.4,202.48,0.0,0.0, , 
,203.69,768,94.5,2.3,00111111,203.99,768,25.1,3.09,377.4,203.39,0.0,0.0, , 
,204.58,768,94.5,2.0,00111111,204.88,768,25.1,3.09,397.8,204.28,0.0,0.0, , 
,205.47,768,94.5,2.3,00111111,205.77,800,25.1,3.09,377.4,205.18,0.0,0.0, , 
,206.39,800,94.5,2.3,00111111,206.68,768,25.1,3.09,377.4,206.08,0.0,0.0, , 
,207.27,800,94.5,2.0,00111111,207.55,768,25.1,3.09,377.4,206.97,0.0,0.0, , 
,208.13,800,94.5,1.6,00111111,208.42,800,25.1,3.09,377.4,207.84,0.0,0.0, , 
,209.00,800,94.5,2.0,00111111,209.30,768,25.1,3.09,397.8,208.71,0.0,0.0, , 
