Niedziela,23,Sierpień,2026,21:24:04:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.01,832,52.5,2.3,00111110,0.31,800,32.5,4.12,438.6,0.61,2.3,1.45, , 
,0.92,832,52.5,2.3,00111110,1.21,832,32.5,4.12,438.6,1.53,2.3,1.45, , 
,1.85,832,52.5,2.3,00111110,2.15,832,32.5,4.12,438.6,2.44,2.7,1.45, , 
,2.73,832,52.5,2.7,00111110,3.02,832,32.5,4.12,438.6,3.31,2.7,1.45, , 
,3.62,832,52.5,3.1,00111110,3.94,832,34.1,4.12,438.6,4.24,3.1,1.45, , 
,4.53,832,52.5,3.1,00111110,4.84,800,34.1,4.12,438.6,5.14,3.1,1.45, , 
,5.42,832,52.5,3.5,00111110,5.74,832,34.1,4.12,438.6,6.04,3.1,1.45, , 
,6.33,832,52.5,3.1,00111110,6.65,832,32.5,4.12,438.6,6.95,2.7,1.45, , 
,7.26,800,52.5,2.3,00111110,7.58,800,32.5,4.12,438.6,7.87,2.3,1.45, , 
,8.18,832,52.5,2.3,00111110,8.49,832,32.5,4.12,438.6,8.79,2.3,1.48, , 
,9.08,800,52.5,2.7,00111110,9.38,800,32.5,4.12,438.6,9.66,2.3,1.45, , 
,9.96,832,52.5,2.3,00111110,10.27,832,32.5,4.12,438.6,10.57,2.3,1.45, , 
,10.87,832,54.0,2.3,00111110,11.18,800,32.5,4.12,438.6,11.48,2.3,1.45, , 
,11.79,832,54.0,2.3,00111110,12.09,832,32.5,4.12,438.6,12.40,2.3,1.45, , 
,12.69,832,54.0,2.3,00111110,13.00,800,32.5,4.12,438.6,13.31,2.3,1.45, , 
,13.62,800,54.0,2.7,00111110,13.94,800,32.5,4.12,438.6,14.23,2.7,1.45, , 
,14.54,800,54.0,2.7,00111110,14.83,800,34.1,4.12,438.6,15.15,2.7,1.45, , 
,15.45,832,54.0,2.3,00111110,15.76,832,32.5,4.12,438.6,16.08,2.0,1.45, , 
,16.37,800,54.0,2.0,00111110,16.66,832,32.5,4.12,438.6,16.96,2.0,1.45, , 
,17.26,832,54.0,2.0,00111110,17.55,832,32.5,4.12,438.6,17.85,2.0,1.45, , 
,18.15,832,54.0,2.0,00111110,18.46,800,32.5,4.12,438.6,18.77,2.0,1.45, , 
,19.08,800,54.0,2.3,00111110,19.39,800,34.1,4.12,438.6,19.69,2.3,1.45, , 
,19.98,800,54.0,2.3,00111110,20.29,832,32.5,4.12,438.6,20.59,2.0,1.45, , 
,20.90,800,54.0,2.0,00111110,21.22,832,32.5,4.12,438.6,21.52,2.0,1.45, , 
,21.82,800,54.0,2.0,00111110,22.11,800,34.1,4.12,438.6,22.43,1.6,1.45, , 
,22.72,800,54.0,1.6,00111110,23.01,800,32.5,4.12,438.6,23.33,1.2,1.45, , 
,23.63,800,54.0,1.2,00111110,23.91,832,34.1,4.12,438.6,24.20,1.2,1.48, , 
,24.50,832,54.0,1.2,00111110,24.81,832,34.1,4.12,438.6,25.11,1.2,1.48, , 
,25.43,832,55.5,1.2,00111110,25.73,800,32.5,4.12,438.6,26.05,1.6,1.45, , 
,26.33,800,55.5,1.6,00111110,26.64,800,34.1,4.12,438.6,26.95,2.0,1.48, , 
,27.25,832,55.5,2.0,00111110,27.55,832,32.5,4.12,438.6,27.85,2.0,1.48, , 
,28.15,800,55.5,2.3,00111110,28.45,800,34.1,4.12,438.6,28.76,2.3,1.45, , 
,29.05,800,55.5,2.3,00111110,29.36,800,32.5,4.12,438.6,29.67,2.3,1.45, , 
,29.98,832,55.5,2.3,00111110,30.29,832,32.5,4.12,438.6,30.59,2.3,1.45, , 
,30.89,800,55.5,2.3,00111110,31.20,800,34.1,4.12,438.6,31.50,2.3,1.45, , 
,31.79,832,55.5,2.3,00111110,32.07,800,32.5,4.12,438.6,32.37,2.3,1.48, , 
,32.69,800,55.5,2.7,00111110,32.98,800,32.5,4.12,438.6,33.26,2.3,1.45, , 
,33.58,832,55.5,2.3,00111110,33.88,832,32.5,4.12,438.6,34.17,2.0,1.45, , 
,34.45,832,55.5,2.0,00111110,34.75,832,32.5,4.12,438.6,35.07,2.0,1.48, , 
,35.38,832,55.5,2.0,00111110,35.67,800,32.5,4.12,438.6,35.98,2.3,1.48, , 
,36.28,800,55.5,2.3,00111110,36.59,800,34.1,4.12,438.6,36.88,2.7,1.45, , 
,37.20,832,55.5,2.7,00111110,37.50,832,34.1,4.12,438.6,37.81,2.7,1.45, , 
,38.12,832,55.5,2.7,00111110,38.41,800,32.5,4.12,438.6,38.70,2.7,1.45, , 
,39.01,832,55.5,2.7,00111110,39.31,800,32.5,4.12,438.6,39.62,2.7,1.45, , 
,39.94,832,57.0,2.3,00111110,40.24,800,32.5,4.12,438.6,40.55,2.3,1.48, , 
,40.85,800,57.0,2.3,00111110,41.16,800,32.5,4.12,438.6,41.46,2.7,1.45, , 
,41.75,800,57.0,2.7,00111110,42.07,832,34.1,4.12,438.6,42.37,2.3,1.45, , 
,42.66,800,57.0,2.3,00111110,42.95,800,32.5,4.12,438.6,43.25,2.7,1.48, , 
,43.57,800,57.0,2.7,00111110,43.85,832,32.5,4.12,438.6,44.13,2.3,1.45, , 
,44.42,832,57.0,2.3,00111110,44.72,832,32.5,4.12,438.6,45.04,2.3,1.48, , 
,45.33,832,57.0,2.3,00111110,45.62,800,32.5,4.12,438.6,45.91,2.3,1.45, , 
,46.20,800,57.0,2.3,00111110,46.51,800,32.5,4.12,438.6,46.81,2.3,1.45, , 
,47.12,800,57.0,2.3,00111110,47.42,832,32.5,4.12,438.6,47.72,2.3,1.45, , 
,48.00,800,57.0,2.0,00111110,48.30,800,32.5,4.12,438.6,48.59,2.0,1.45, , 
,48.88,832,57.0,2.0,00111110,49.16,800,32.5,4.12,438.6,49.47,1.6,1.45, , 
,49.78,832,57.0,2.0,00111110,50.07,832,32.5,4.12,438.6,50.37,2.0,1.45, , 
,50.66,832,57.0,2.0,00111110,50.97,800,32.5,4.12,438.6,51.28,2.0,1.45, , 
,51.59,800,57.0,2.0,00111110,51.89,800,32.5,4.12,438.6,52.18,2.0,1.45, , 
,52.47,800,57.0,1.6,00111110,52.76,800,32.5,4.12,438.6,53.05,2.0,1.45, , 
,53.34,800,57.0,1.6,00111110,53.65,832,32.5,4.12,438.6,53.96,1.6,1.45, , 
,54.26,800,57.0,1.6,00111110,54.57,832,32.5,4.12,438.6,54.85,1.2,1.48, , 
,55.14,800,57.0,1.2,00111110,55.43,800,32.5,4.12,438.6,55.73,1.2,1.45, , 
,56.03,800,58.5,1.2,00111110,56.35,800,32.5,4.12,438.6,56.64,1.2,1.45, , 
,56.93,800,58.5,1.2,00111110,57.23,800,32.5,4.12,438.6,57.53,0.8,1.45, , 
,57.85,800,58.5,1.2,00111110,58.14,800,34.1,4.12,438.6,58.44,1.2,1.48, , 
,58.74,800,58.5,1.2,00111110,59.03,800,34.1,4.12,459.0,59.32,1.2,1.45, , 
,59.64,800,58.5,1.2,00111110,59.92,800,34.1,4.12,438.6,60.22,2.0,1.48, , 
,60.51,800,58.5,2.0,00111110,60.80,832,34.1,4.12,438.6,61.11,2.3,1.45, , 
,61.42,800,58.5,2.3,00111110,61.73,832,32.5,4.12,438.6,62.03,2.3,1.45, , 
,62.36,800,58.5,2.3,00111110,62.65,832,32.5,4.12,438.6,62.95,2.3,1.45, , 
,63.25,800,58.5,2.3,00111110,63.56,832,32.5,4.12,438.6,63.87,2.3,1.45, , 
,64.17,800,58.5,2.0,00111110,64.44,832,34.1,4.12,438.6,64.73,2.0,1.45, , 
,65.03,800,58.5,2.0,00111110,65.33,800,34.1,4.12,438.6,65.63,2.0,1.48, , 
,65.93,800,58.5,2.0,00111110,66.22,832,32.5,4.12,438.6,66.51,1.6,1.45, , 
,66.82,800,58.5,1.6,00111110,67.13,832,32.5,4.12,438.6,67.42,1.6,1.45, , 
,67.71,832,58.5,1.6,00111110,68.01,800,32.5,4.12,438.6,68.31,1.6,1.48, , 
,68.61,800,58.5,1.6,00111110,68.91,800,32.5,4.12,438.6,69.20,1.6,1.45, , 
,69.51,800,58.5,1.6,00111110,69.78,800,34.1,4.12,438.6,70.09,2.0,1.48, , 
,70.40,832,58.5,2.0,00111110,70.73,800,32.5,4.12,438.6,71.04,2.0,1.48, , 
,71.33,800,58.5,2.0,00111110,71.63,832,32.5,4.12,438.6,71.94,2.0,1.45, , 
,72.24,800,58.5,2.0,00111110,72.53,800,32.5,4.12,438.6,72.82,1.6,1.45, , 
,73.12,800,58.5,1.6,00111110,73.44,800,32.5,4.12,438.6,73.76,1.6,1.45, , 
,74.07,800,60.0,1.6,00111110,74.35,800,32.5,4.12,438.6,74.64,2.0,1.48, , 
,74.93,800,60.0,2.0,00111110,75.23,800,32.5,4.12,438.6,75.51,2.0,1.48, , 
,75.80,800,60.0,2.0,00111110,76.10,800,32.5,4.12,438.6,76.41,2.0,1.45, , 
,76.72,800,60.0,2.0,00111110,77.04,800,34.1,4.12,438.6,77.34,2.0,1.48, , 
,77.63,800,60.0,2.0,00111110,77.91,800,32.5,4.12,438.6,78.21,2.0,1.45, , 
,78.49,800,60.0,2.0,00111110,78.79,800,34.1,4.12,438.6,79.08,2.0,1.48, , 
,79.40,800,60.0,2.0,00111110,79.69,800,32.5,4.12,438.6,79.99,2.3,1.48, , 
,80.29,832,60.0,2.3,00111110,80.59,800,32.5,4.12,438.6,80.90,2.0,1.45, , 
,81.19,800,60.0,2.0,00111110,81.50,800,34.1,4.12,438.6,81.81,2.0,1.45, , 
,82.10,800,60.0,2.0,00111110,82.39,800,32.5,4.12,438.6,82.70,2.0,1.45, , 
,83.03,800,60.0,2.0,00111110,83.33,800,32.5,4.12,438.6,83.65,1.6,1.48, , 
,83.96,800,60.0,1.6,00111110,84.27,800,32.5,4.12,438.6,84.57,1.6,1.48, , 
,84.86,800,60.0,1.6,00111110,85.18,800,32.5,4.12,438.6,85.48,1.6,1.48, , 
,85.77,800,60.0,2.0,00111110,86.07,800,34.1,4.12,459.0,86.37,2.0,1.48, , 
,86.67,832,60.0,2.0,00111110,86.98,800,32.5,4.12,438.6,87.27,2.0,1.45, , 
,87.57,800,60.0,2.0,00111110,87.86,800,34.1,4.12,438.6,88.17,2.3,1.48, , 
,88.47,800,60.0,2.3,00111110,88.75,800,32.5,4.12,438.6,89.05,2.3,1.48, , 
,89.34,832,61.5,2.3,00111110,89.63,800,32.5,4.12,438.6,89.92,2.3,1.45, , 
,90.21,800,61.5,2.3,00111110,90.49,832,32.5,4.12,438.6,90.80,2.3,1.45, , 
,91.10,800,61.5,2.0,00111110,91.40,800,34.1,4.12,438.6,91.71,2.0,1.45, , 
,92.01,800,61.5,2.0,00111110,92.31,800,32.5,4.12,438.6,92.62,2.0,1.45, , 
,92.93,800,61.5,2.0,00111110,93.22,800,34.1,4.12,438.6,93.53,2.0,1.48, , 
,93.84,800,61.5,2.0,00111110,94.15,800,32.5,4.12,438.6,94.46,2.0,1.48, , 
,94.76,800,61.5,2.3,00111110,95.06,800,32.5,4.12,438.6,95.35,2.0,1.45, , 
,95.66,800,61.5,2.0,00111110,95.97,800,32.5,4.12,438.6,96.28,2.0,1.45, , 
,96.59,800,61.5,1.6,00111110,96.88,800,32.5,4.12,438.6,97.20,2.0,1.48, , 
,97.50,800,61.5,1.6,00111110,97.80,800,32.5,4.12,438.6,98.10,1.2,1.45, , 
,98.40,800,61.5,1.2,00111110,98.71,800,32.5,4.12,438.6,98.99,0.8,1.45, , 
,99.28,800,61.5,0.8,00111110,99.57,800,34.1,4.12,438.6,99.86,0.4,1.48, , 
,100.16,800,61.5,0.8,00111110,100.47,800,34.1,4.12,438.6,100.78,0.8,1.48, , 
,101.09,800,61.5,1.2,00111110,101.38,800,32.5,4.12,438.6,101.70,1.6,1.48, , 
,102.02,800,61.5,1.6,00111110,102.32,800,34.1,4.12,459.0,102.62,2.0,1.48, , 
,102.91,832,61.5,2.0,00111110,103.22,800,32.5,4.12,438.6,103.51,2.0,1.45, , 
,103.81,800,63.0,2.0,00111110,104.10,800,32.5,4.12,438.6,104.38,2.0,1.48, , 
,104.67,800,63.0,2.0,00111110,104.98,800,32.5,4.12,438.6,105.29,2.0,1.45, , 
,105.60,800,63.0,2.0,00111110,105.90,800,32.5,4.12,438.6,106.21,1.6,1.45, , 
,106.50,800,63.0,1.6,00111110,106.81,832,32.5,4.12,438.6,107.13,1.6,1.45, , 
,107.44,800,63.0,1.2,00111110,107.74,800,34.1,4.12,459.0,108.04,1.6,1.48, , 
,108.33,800,63.0,1.6,00111110,108.63,800,34.1,4.12,438.6,108.94,1.6,1.45, , 
,109.25,800,63.0,2.0,00111110,109.54,800,34.1,4.12,459.0,109.83,2.0,1.48, , 
,110.15,800,63.0,2.0,00111110,110.45,800,32.5,4.12,438.6,110.75,2.0,1.45, , 
,111.07,800,63.0,1.6,00111110,111.36,800,34.1,4.12,438.6,111.67,1.6,1.48, , 
,111.97,800,63.0,1.6,00111110,112.28,800,32.5,4.12,438.6,112.59,1.2,1.45, , 
,112.91,800,63.0,1.2,00111110,113.22,800,32.5,4.12,438.6,113.54,1.2,1.48, , 
,113.85,800,63.0,1.2,00111110,114.16,800,32.5,4.12,438.6,114.47,1.6,1.48, , 
,114.78,800,63.0,1.6,00111110,115.09,800,32.5,4.12,438.6,115.40,1.6,1.48, , 
,115.71,800,63.0,1.6,00111110,116.01,800,32.5,4.12,438.6,116.30,1.2,1.45, , 
,116.60,800,63.0,1.2,00111110,116.92,800,32.5,4.12,438.6,117.21,1.2,1.45, , 
,117.50,800,63.0,1.2,00111110,117.79,800,32.5,4.12,438.6,118.09,1.2,1.45, , 
,118.38,800,63.0,1.2,00111110,118.70,800,32.5,4.12,438.6,118.99,1.2,1.45, , 
,119.30,800,63.0,1.6,00111110,119.61,800,32.5,4.12,438.6,119.92,1.6,1.45, , 
,120.23,800,64.5,1.2,00111110,120.54,800,32.5,4.12,438.6,120.83,1.6,1.45, , 
,121.13,832,64.5,1.2,00101010,121.40,928,32.5,4.12,438.6,121.72,2.3,1.48, , 
,122.06,1216,64.5,2.7,00101010,122.42,1280,25.1,3.09,357.0,122.74,0.8,1.37, , 
,123.05,1344,64.5,0.0,00101010,123.39,1280,23.5,3.09,336.6,123.72,-2.0,1.33, , 
,124.02,1088,64.5,-2.7,00111110,124.32,960,25.1,3.09,357.0,124.63,-2.7,1.37, , 
,124.93,800,64.5,-2.7,00111110,125.22,800,32.5,4.12,438.6,125.52,-5.1,1.25, , 
,125.81,768,64.5,-6.3,00111110,126.10,768,32.5,4.12,438.6,126.39,-7.0,1.45, , 
,126.69,768,64.5,-6.6,00111110,126.98,800,32.5,4.12,438.6,127.26,-5.5,1.56, , 
,127.59,832,64.5,0.0,00101010,127.94,1088,34.1,4.12,438.6,128.26,0.8,1.52, , 
,128.56,1216,64.5,1.6,00101010,128.90,1216,36.9,5.15,459.0,129.22,5.1,1.60, , 
,129.54,1280,64.5,3.9,00101010,129.87,1312,36.9,5.15,459.0,130.15,0.0,1.48, , 
,130.47,1472,64.5,0.0,00111110,130.81,1408,23.5,3.09,336.6,131.15,-1.2,1.41, , 
,131.48,1088,64.5,-1.2,00111110,131.79,832,25.1,3.09,377.4,132.07,-2.0,1.37, , 
,132.37,800,64.5,-2.7,00111110,132.66,800,32.5,4.12,438.6,132.95,-5.9,1.21, , 
