Niedziela,23,Sierpień,2026,21:50:24:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'002,,,,Grupa B:,'032,,,,Grupa C:,'033
,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Lambda, , ,,Lambda,Napięcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,,ZAPISU, %, V,,
,0.28,800,29.4,3.09,438.6,0.57,0.0,0.0, , ,0.85,-13.3,1.48, , 
,1.13,800,29.4,3.09,418.2,1.42,0.0,0.0, , ,1.73,-13.7,1.48, , 
,2.03,768,29.4,3.09,438.6,2.34,0.0,0.0, , ,2.64,-13.3,1.48, , 
,2.94,800,28.2,3.09,418.2,3.23,0.0,0.0, , ,3.54,-12.9,1.52, , 
,3.84,768,29.4,3.09,418.2,4.15,0.0,0.0, , ,4.46,-15.2,1.52, , 
,4.77,1216,40.0,5.15,499.8,5.10,0.0,0.0, , ,5.42,-17.2,1.52, , 
,5.75,992,48.6,6.18,591.6,6.09,0.0,0.0, , ,6.44,0.0,1.52, , 
,6.78,1344,42.7,6.18,520.2,7.10,0.0,0.0, , ,7.40,0.0,1.56, , 
,7.72,1216,47.1,6.18,591.6,8.06,0.0,0.0, , ,8.41,0.0,0.86, , 
,8.81,1760,0.0,0.00,438.6,9.10,0.0,0.0, , ,9.43,0.0,3.59, , 
,9.74,1152,60.4,10.30,714.0,10.04,0.0,0.0, , ,10.35,0.0,1.21, , 
,10.66,1344,67.8,11.33,775.2,11.06,0.0,0.0, , ,11.41,0.0,0.98, , 
,11.72,1664,40.0,4.12,499.8,12.02,0.0,0.0, , ,12.33,0.0,3.44, , 
,12.64,1152,26.7,4.12,377.4,12.95,0.0,0.0, , ,13.25,0.0,1.02, , 
,13.54,896,22.0,3.09,336.6,13.86,0.0,0.0, , ,14.17,0.0,0.82, , 
,14.48,928,29.4,4.12,418.2,14.78,0.0,0.0, , ,15.09,-4.7,0.86, , 
,15.38,864,26.7,3.09,397.8,15.67,0.0,0.0, , ,15.97,-12.5,1.21, , 
,16.25,768,26.7,3.09,397.8,16.54,0.0,0.0, , ,16.91,0.0,0.90, , 
,17.27,1760,45.9,7.21,571.2,17.73,0.0,3.1, , ,18.06,-3.9,1.37, , 
,18.37,1248,63.5,9.27,734.4,18.76,0.0,3.1, , ,19.12,0.0,0.94, , 
,19.49,1728,0.0,0.00,397.8,19.81,0.0,0.0, , ,20.14,0.0,3.36, , 
,20.54,1472,72.2,11.33,867.0,20.93,0.0,3.1, , ,21.34,0.0,1.13, , 
,21.69,1568,73.7,11.33,867.0,22.05,0.0,3.1, , ,22.41,-9.4,1.29, , 
,22.76,1952,63.5,8.24,734.4,23.14,0.0,3.1, , ,23.50,-11.3,1.48, , 
,23.83,2240,59.2,7.21,673.2,24.16,0.0,3.1, , ,24.52,-14.1,1.48, , 
,24.85,2496,60.4,8.24,693.6,25.16,0.0,3.1, , ,25.48,-15.6,1.56, , 
,25.82,2336,0.0,0.00,316.2,26.15,0.0,3.1, , ,26.51,0.0,3.55, , 
,26.88,1760,23.5,3.09,336.6,27.22,0.0,3.1, , ,27.56,0.0,0.82, , 
,27.92,1728,29.4,4.12,397.8,28.29,0.0,3.1, , ,28.68,-11.3,1.37, , 
,29.05,1760,31.0,4.12,397.8,29.43,0.0,3.1, , ,29.81,-12.5,1.48, , 
