Œroda,23,Wrzesieñ,2026,16:13:57:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.77,0,91.5,0.0,10110111,0.23,0,0.0,0.00,989.4,0.50,99.2,0.0, , 
,1.57,0,91.5,0.0,10110111,1.03,0,0.0,0.00,989.4,1.30,99.2,0.0, , 
,2.38,0,91.5,0.0,10110111,1.85,0,0.0,0.00,989.4,2.11,99.2,0.0, , 
,3.17,0,91.5,0.0,10110111,2.64,0,0.0,0.00,989.4,2.91,99.2,0.0, , 
,3.97,0,91.5,0.0,10110111,3.44,0,0.0,0.00,989.4,3.70,99.2,0.0, , 
,4.76,0,91.5,0.0,10110111,4.24,0,0.0,0.00,989.4,4.50,99.2,0.0, , 
,5.57,0,91.5,0.0,10110111,5.03,0,0.0,0.00,989.4,5.30,99.2,0.0, , 
,6.38,0,91.5,0.0,10110111,5.85,0,0.0,0.00,989.4,6.11,99.2,0.0, , 
,7.17,0,91.5,0.0,10110111,6.64,0,0.0,0.00,989.4,6.91,99.2,0.0, , 
,7.97,0,91.5,0.0,10110111,7.44,0,0.0,0.00,989.4,7.70,99.2,0.0, , 
,8.77,0,91.5,0.0,10110111,8.24,0,0.0,0.00,989.4,8.50,99.2,0.0, , 
,9.60,0,91.5,0.0,10110111,9.04,0,0.0,0.00,989.4,9.32,99.2,0.0, , 
,10.40,0,91.5,0.0,10110111,9.86,0,0.0,0.00,989.4,10.13,99.2,0.0, , 
,11.20,0,91.5,0.0,10110111,10.67,0,0.0,0.00,989.4,10.94,99.2,0.0, , 
,12.01,0,91.5,0.0,10110111,11.47,0,0.0,0.00,989.4,11.73,99.2,0.0, , 
,12.82,192,91.5,0.0,10110111,12.28,0,0.0,0.00,989.4,12.55,99.2,0.0, , 
,13.63,224,91.5,0.0,10110111,13.10,224,82.7,20.60,969.0,13.36,99.2,0.0, , 
,14.45,0,91.5,0.0,10110111,13.90,224,81.2,18.54,948.6,14.18,99.2,0.0, , 
,15.25,0,91.5,0.0,10110111,14.72,0,0.0,18.54,989.4,14.99,99.2,0.0, , 
,16.16,1056,91.5,0.0,10110111,15.58,832,66.3,11.33,867.0,15.86,0.0,0.0, , 
,17.07,896,91.5,0.0,10110111,16.46,960,29.4,4.12,418.2,16.77,0.0,0.0, , 
,18.00,864,91.5,0.0,10110111,17.39,832,32.5,5.15,459.0,17.68,0.0,0.0, , 
,18.94,800,91.5,0.0,10110111,18.32,864,31.0,4.12,438.6,18.64,0.0,0.0, , 
,19.82,832,91.5,0.0,10110111,19.24,800,34.1,5.15,479.4,19.53,0.0,0.0, , 
,20.72,800,90.0,0.0,10110111,20.13,800,32.5,4.12,459.0,20.43,0.0,0.0, , 
,21.60,832,90.0,0.0,10110111,21.02,800,29.4,4.12,438.6,21.31,0.0,0.0, , 
,22.52,800,90.0,0.0,10110111,21.90,800,32.5,4.12,459.0,22.21,0.0,0.0, , 
,23.44,800,88.5,0.0,10110111,22.83,800,31.0,4.12,438.6,23.13,0.0,0.0, , 
,24.30,800,88.5,0.0,10110111,23.72,832,31.0,4.12,438.6,24.02,0.0,0.0, , 
,37.06,928,81.0,0.0,10110111,37.37,928,34.1,5.15,459.0,36.76,0.0,0.0, , 
,37.98,928,81.0,0.0,10110111,38.28,928,34.1,5.15,459.0,37.69,0.0,0.0, , 
,38.86,832,81.0,0.0,10110111,39.15,864,34.1,5.15,459.0,38.56,0.0,0.0, , 
,39.76,832,81.0,0.0,10110111,40.08,832,35.3,5.15,479.4,39.45,0.0,0.0, , 
,40.67,832,81.0,0.0,10110111,40.97,832,34.1,5.15,459.0,40.36,0.0,0.0, , 
,41.56,800,81.0,0.0,10110111,41.87,832,34.1,5.15,459.0,41.27,0.0,0.0, , 
,42.49,832,81.0,0.0,10110111,42.79,832,32.5,5.15,459.0,42.18,0.0,0.0, , 
,43.39,832,81.0,0.0,10110111,43.70,800,34.1,5.15,459.0,43.10,0.0,0.0, , 
,44.29,800,81.0,0.0,10110111,44.58,800,32.5,4.12,459.0,44.00,0.0,0.0, , 
,45.16,800,81.0,0.0,10110111,45.45,800,32.5,4.12,438.6,44.86,0.0,0.0, , 
,46.03,800,82.5,0.0,10110111,46.33,800,32.5,4.12,459.0,45.74,0.0,0.0, , 
,46.92,800,82.5,0.0,10110111,47.21,800,32.5,4.12,438.6,46.62,0.0,0.0, , 
,47.83,800,82.5,0.0,10110111,48.12,800,31.0,4.12,438.6,47.52,0.0,0.0, , 
,48.72,832,82.5,0.0,10110111,49.01,800,31.0,4.12,438.6,48.41,0.0,0.0, , 
,49.63,800,82.5,0.0,10110111,49.93,800,29.4,4.12,438.6,49.32,0.0,0.0, , 
,50.52,800,82.5,0.0,10110111,50.81,800,29.4,4.12,418.2,50.24,0.0,0.0, , 
,51.43,768,82.5,0.0,10110111,51.73,800,29.4,4.12,418.2,51.12,0.0,0.0, , 
,52.34,768,82.5,0.0,10110111,52.64,800,29.4,4.12,438.6,52.03,0.0,0.0, , 
,53.23,768,82.5,0.0,10110111,53.53,768,31.0,4.12,438.6,52.94,0.0,0.0, , 
,54.11,768,82.5,0.0,10110111,54.43,768,29.4,4.12,438.6,53.83,0.0,0.0, , 
,55.05,800,84.0,0.0,10110111,55.36,768,29.4,4.12,438.6,54.73,0.0,0.0, , 
,55.93,768,82.5,0.0,10110111,56.23,768,31.0,4.12,438.6,55.65,0.0,0.0, , 
,56.82,768,82.5,0.0,10110111,57.12,800,31.0,4.12,438.6,56.53,0.0,0.0, , 
,57.73,768,84.0,0.0,10110111,58.03,768,31.0,4.12,438.6,57.43,0.0,0.0, , 
,58.64,768,84.0,0.0,10110111,58.93,800,31.0,4.12,438.6,58.32,0.0,0.0, , 
,59.53,768,84.0,0.0,10110111,59.82,768,32.5,4.12,459.0,59.23,0.0,0.0, , 
,60.42,768,84.0,0.0,10110111,60.71,800,32.5,4.12,459.0,60.13,0.0,0.0, , 
,61.31,768,84.0,0.0,10110111,61.61,800,32.5,4.12,459.0,61.00,0.0,0.0, , 
,62.21,800,84.0,0.0,10110111,62.51,800,31.0,4.12,438.6,61.91,0.0,0.0, , 
,63.12,800,84.0,0.0,10110111,63.42,800,31.0,4.12,438.6,62.81,0.0,0.0, , 
,64.00,800,84.0,0.0,10110111,64.30,768,31.0,4.12,438.6,63.72,0.0,0.0, , 
,64.90,800,84.0,0.0,10110111,65.20,768,32.5,4.12,459.0,64.60,0.0,0.0, , 
,65.80,800,84.0,0.0,10110111,66.10,800,31.0,4.12,438.6,65.50,0.0,0.0, , 
,66.71,768,84.0,0.0,10110111,67.01,768,31.0,4.12,438.6,66.41,0.0,0.0, , 
,67.61,768,84.0,0.0,10110111,67.91,800,32.5,4.12,459.0,67.31,0.0,0.0, , 
,68.51,768,84.0,0.0,10110111,68.82,800,31.0,4.12,438.6,68.20,0.0,0.0, , 
,69.42,800,84.0,0.0,10110111,69.70,800,31.0,4.12,438.6,69.14,0.0,0.0, , 
,70.29,800,84.0,0.0,10110111,70.61,768,31.0,4.12,438.6,70.00,0.0,0.0, , 
,71.22,800,84.0,0.0,10110111,71.52,800,31.0,4.12,438.6,70.92,0.0,0.0, , 
,72.11,768,84.0,0.0,10110111,72.41,800,31.0,4.12,438.6,71.81,0.0,0.0, , 
,73.01,768,84.0,0.0,10110111,73.31,768,34.1,4.12,459.0,72.71,0.0,0.0, , 
,73.92,768,84.0,0.0,10110111,74.21,768,32.5,4.12,459.0,73.63,0.0,0.0, , 
,74.77,768,84.0,0.0,10110111,75.08,800,32.5,4.12,459.0,74.49,0.0,0.0, , 
,75.68,800,84.0,4.3,10111111,75.97,800,32.5,4.12,459.0,75.38,0.0,0.0, , 
,76.56,800,84.0,7.4,10111111,76.86,800,32.5,5.15,438.6,76.26,0.0,0.0, , 
,77.52,1280,85.5,0.0,10101011,77.81,1728,0.0,0.00,438.6,77.14,0.0,0.0, , 
,78.45,832,84.0,0.0,10111111,78.76,864,31.0,4.12,438.6,78.15,0.0,0.0, , 
,79.36,864,85.5,0.0,10111111,79.67,768,28.2,3.09,418.2,79.08,0.0,0.0, , 
,80.27,768,85.5,0.0,10111111,80.57,800,34.1,4.12,459.0,79.96,0.0,0.0, , 
,81.16,768,85.5,1.2,10111111,81.46,800,32.5,4.12,459.0,80.87,0.0,0.0, , 
,82.06,800,85.5,4.7,10111111,82.37,800,32.5,4.12,459.0,81.75,0.0,0.0, , 
,82.96,800,85.5,7.8,10111111,83.26,800,32.5,4.12,459.0,82.66,0.0,0.0, , 
,83.86,800,85.5,10.2,10111111,84.15,800,31.0,4.12,438.6,83.56,0.0,0.0, , 
,84.76,800,85.5,10.5,10111111,85.07,800,31.0,4.12,438.6,84.45,0.0,0.0, , 
,85.67,800,85.5,10.9,10111111,85.97,800,31.0,4.12,438.6,85.37,0.0,0.0, , 
,86.55,800,85.5,10.9,10111111,86.83,768,31.0,4.12,438.6,86.25,0.0,0.0, , 
,87.42,768,85.5,10.5,10111111,87.73,768,31.0,4.12,438.6,87.13,0.0,0.0, , 
,88.36,768,85.5,10.2,10111111,88.66,800,31.0,4.12,438.6,88.04,0.0,0.0, , 
,89.26,768,85.5,9.8,10111111,89.55,800,31.0,4.12,438.6,88.95,0.0,0.0, , 
,90.13,800,85.5,9.4,10111111,90.43,800,31.0,4.12,438.6,89.84,0.0,0.0, , 
,91.05,800,85.5,9.0,10111111,91.34,800,31.0,4.12,438.6,90.73,0.0,0.0, , 
,91.94,800,85.5,9.0,10111111,92.23,768,31.0,4.12,438.6,91.64,0.0,0.0, , 
,92.85,800,85.5,9.4,10111111,93.17,768,31.0,4.12,438.6,92.53,0.0,0.0, , 
,93.76,768,85.5,8.6,10111111,94.08,768,31.0,4.12,438.6,93.46,0.0,0.0, , 
,94.67,768,85.5,8.2,10111111,94.97,800,31.0,4.12,438.6,94.36,0.0,0.0, , 
,95.57,768,85.5,8.2,10111111,95.87,768,31.0,4.12,438.6,95.27,0.0,0.0, , 
,96.47,768,85.5,8.2,10111111,96.76,768,31.0,4.12,438.6,96.17,0.0,0.0, , 
,97.37,768,85.5,8.2,10111111,97.68,800,31.0,4.12,438.6,97.08,0.0,0.0, , 
,98.28,800,85.5,8.6,10111111,98.57,768,31.0,4.12,438.6,97.98,0.0,0.0, , 
,99.18,800,85.5,8.6,10111111,99.49,768,31.0,4.12,438.6,98.87,0.0,0.0, , 
,100.08,800,87.0,8.6,10111111,100.37,768,31.0,4.12,438.6,99.80,0.0,0.0, , 
,100.98,800,87.0,9.0,10111111,101.27,800,31.0,4.12,438.6,100.68,0.0,0.0, , 
,101.88,768,87.0,8.6,10111111,102.17,800,31.0,4.12,438.6,101.57,0.0,0.0, , 
,102.76,800,87.0,9.0,10111111,103.06,800,29.4,4.12,438.6,102.46,0.0,0.0, , 
,103.66,768,87.0,9.0,10111111,103.94,800,31.0,4.12,438.6,103.36,0.0,0.0, , 
,104.54,768,87.0,9.0,10111111,104.84,800,31.0,4.12,438.6,104.23,0.0,0.0, , 
,105.45,800,87.0,9.4,10111111,105.74,768,29.4,4.12,438.6,105.16,0.0,0.0, , 
,106.34,800,87.0,9.4,10111111,106.65,768,31.0,4.12,438.6,106.04,0.0,0.0, , 
,107.26,800,87.0,9.0,10111111,107.56,768,31.0,4.12,438.6,106.96,0.0,0.0, , 
,108.15,768,87.0,8.2,10111111,108.45,768,31.0,4.12,438.6,107.86,0.0,0.0, , 
,109.04,768,87.0,7.8,10111111,109.34,768,31.0,4.12,438.6,108.75,0.0,0.0, , 
,109.94,800,87.0,7.8,10111111,110.23,800,31.0,4.12,438.6,109.63,0.0,0.0, , 
,110.86,800,87.0,8.2,10111111,111.17,800,31.0,4.12,438.6,110.54,0.0,0.0, , 
,111.76,768,87.0,8.6,10111111,112.05,768,31.0,4.12,438.6,111.47,0.0,0.0, , 
,112.64,800,87.0,8.6,10111111,112.92,800,29.4,4.12,438.6,112.35,0.0,0.0, , 
,113.51,800,87.0,8.6,10111111,113.81,768,31.0,4.12,438.6,113.21,0.0,0.0, , 
,114.42,800,87.0,8.2,10111111,114.72,768,31.0,4.12,438.6,114.10,0.0,0.0, , 
,115.30,800,87.0,8.2,10111111,115.58,768,31.0,4.12,438.6,115.02,0.0,0.0, , 
,116.18,768,87.0,8.2,10111111,116.47,800,31.0,4.12,438.6,115.88,0.0,0.0, , 
,117.07,768,87.0,8.6,10111111,117.38,800,31.0,4.12,438.6,116.76,0.0,0.0, , 
,117.94,768,87.0,8.6,10111111,118.23,768,31.0,4.12,438.6,117.66,0.0,0.0, , 
,118.82,800,87.0,8.2,10111111,119.14,768,31.0,4.12,438.6,118.53,0.0,0.0, , 
,119.72,800,87.0,7.8,10111111,120.02,800,31.0,4.12,438.6,119.43,0.0,0.0, , 
,120.61,768,87.0,7.4,10111111,120.93,800,31.0,4.12,438.6,120.31,0.0,0.0, , 
,121.53,800,87.0,7.8,10111111,121.82,800,29.4,4.12,438.6,121.23,0.0,0.0, , 
,122.43,800,87.0,8.2,10111111,122.73,768,31.0,4.12,438.6,122.13,0.0,0.0, , 
,123.32,768,88.5,7.8,10111111,123.63,768,31.0,4.12,438.6,123.03,0.0,0.0, , 
,124.24,768,87.0,7.4,10111111,124.56,800,31.0,4.12,438.6,123.94,0.0,0.0, , 
,125.15,768,87.0,7.0,10111111,125.46,800,31.0,4.12,438.6,124.86,0.0,0.0, , 
,126.04,768,88.5,5.9,10111111,126.34,800,31.0,4.12,438.6,125.74,0.0,0.0, , 
,126.93,800,88.5,5.5,10111111,127.23,800,31.0,4.12,438.6,126.63,0.0,0.0, , 
,127.82,800,88.5,5.9,10111111,128.13,800,31.0,4.12,438.6,127.53,0.0,0.0, , 
,128.75,800,88.5,5.5,10111111,129.05,768,31.0,4.12,438.6,128.45,0.0,0.0, , 
,129.64,800,88.5,5.1,10111111,129.93,768,31.0,4.12,438.6,129.34,0.0,0.0, , 
,130.54,768,88.5,5.1,10111111,130.85,800,31.0,4.12,438.6,130.23,0.0,0.0, , 
,131.44,768,88.5,6.6,10111111,131.73,800,31.0,4.12,438.6,131.16,0.0,0.0, , 
,132.32,768,88.5,7.0,10111111,132.62,800,31.0,4.12,438.6,132.03,0.0,0.0, , 
,133.24,768,88.5,7.0,10111111,133.53,800,31.0,4.12,438.6,132.93,0.0,0.0, , 
,134.14,800,88.5,6.6,10111111,134.42,800,31.0,4.12,438.6,133.84,0.0,0.0, , 
,135.02,800,88.5,6.6,10111111,135.30,800,31.0,4.12,438.6,134.72,0.0,0.0, , 
,135.92,800,88.5,7.0,10111111,136.22,768,31.0,4.12,438.6,135.60,0.0,0.0, , 
,136.80,768,88.5,7.0,10111111,137.10,768,31.0,4.12,438.6,136.51,0.0,0.0, , 
,137.68,768,88.5,7.0,10111111,137.98,800,31.0,4.12,438.6,137.39,0.0,0.0, , 
,138.60,800,88.5,7.4,10111111,138.89,800,31.0,4.12,438.6,138.29,0.0,0.0, , 
,139.49,800,88.5,0.0,10101011,139.89,1600,53.3,7.21,652.8,139.19,0.0,0.0, , 
,140.63,1536,88.5,2.7,10101011,141.00,1376,54.5,8.24,652.8,140.24,0.0,0.0, , 
,141.63,1312,88.5,3.1,10101011,141.94,1216,57.6,8.24,693.6,141.33,0.0,0.0, , 
,142.59,1280,88.5,2.0,10101011,142.91,1472,54.5,8.24,652.8,142.24,0.0,0.0, , 
,143.65,1888,88.5,0.0,10101011,144.01,2080,0.0,0.00,550.8,143.29,0.0,0.0, , 
,144.62,1088,88.5,0.0,10101011,144.93,1248,42.7,7.21,520.2,144.33,0.0,0.0, , 
,145.50,1504,88.5,0.0,10101011,145.82,1376,66.3,10.30,775.2,145.23,0.0,0.0, , 
,146.55,1568,88.5,-0.8,10101011,146.91,1696,62.0,9.27,734.4,146.21,0.0,0.0, , 
,147.65,1888,88.5,2.3,10101011,148.01,1984,63.5,9.27,734.4,147.29,0.0,0.0, , 
,148.69,2176,88.5,2.0,10101001,149.04,2272,71.0,10.30,795.6,148.35,0.0,0.0, , 
,149.71,2528,88.5,0.8,10101001,150.04,2624,73.7,11.33,826.2,149.37,0.0,0.0, , 
,150.70,2144,88.5,0.0,10111101,151.07,1664,0.0,0.00,316.2,150.35,0.0,0.0, , 
,151.74,1824,90.0,0.0,10101011,152.05,1824,29.4,4.12,377.4,151.41,0.0,0.0, , 
,152.75,1824,90.0,0.0,10101011,153.10,1888,65.1,9.27,754.8,152.38,0.0,0.0, , 
,153.82,1984,88.5,0.8,10101001,154.17,2016,63.5,9.27,734.4,153.47,0.0,0.0, , 
,154.86,2080,90.0,2.0,10101001,155.20,2144,65.1,9.27,734.4,154.52,0.0,0.0, , 
,155.88,2208,90.0,-2.3,10101001,156.21,2272,71.0,10.30,795.6,155.55,0.0,0.0, , 
,156.93,2368,90.0,-1.6,10101001,157.29,2432,75.3,11.33,846.6,156.56,0.0,0.0, , 
,157.96,2528,90.0,-2.7,11101001,158.28,2592,73.7,11.33,826.2,157.62,0.0,0.0, , 
,158.93,2688,90.0,-0.8,11101001,159.26,2720,72.2,10.30,795.6,158.60,0.0,0.0, , 
,159.94,2816,90.0,1.2,11101001,160.26,2880,69.4,10.30,775.2,159.59,0.0,0.0, , 
,160.96,2368,90.0,0.0,11111101,161.31,1792,0.0,0.00,295.8,160.62,0.0,0.0, , 
,162.02,2112,90.0,0.0,11101001,162.36,2080,34.1,5.15,397.8,161.65,0.0,0.0, , 
,163.03,2112,90.0,0.0,11101001,163.38,2144,56.1,8.24,652.8,162.70,0.0,0.0, , 
,164.03,2144,90.0,3.9,11101001,164.36,2176,57.6,8.24,673.2,163.70,0.0,0.0, , 
,165.04,2208,90.0,6.3,11101001,165.39,2208,63.5,9.27,714.0,164.70,0.0,0.0, , 
,166.09,2240,90.0,3.9,11101001,166.43,2272,72.2,11.33,795.6,165.75,0.0,0.0, , 
,167.11,2336,90.0,0.0,11101001,167.44,2368,75.3,11.33,846.6,166.77,0.0,0.0, , 
,168.14,2400,90.0,-2.0,11101001,168.47,2432,73.7,11.33,826.2,167.80,0.0,0.0, , 
,169.14,2496,90.0,2.3,11101001,169.47,2496,72.2,10.30,826.2,168.83,0.0,0.0, , 
,170.13,2560,88.5,2.7,11101001,170.46,2592,71.0,10.30,795.6,169.80,0.0,0.0, , 
,171.17,2624,88.5,3.1,11101001,171.51,2656,71.0,10.30,795.6,170.82,0.0,0.0, , 
,172.17,2688,88.5,4.3,11101001,172.49,2720,69.4,10.30,775.2,171.85,0.0,0.0, , 
,173.17,2752,90.0,5.5,11101001,173.50,2784,69.4,10.30,775.2,172.83,0.0,0.0, , 
,174.17,2816,88.5,6.6,11101001,174.53,2816,67.8,10.30,754.8,173.83,0.0,0.0, , 
,175.23,2848,88.5,7.8,11101001,175.59,2912,76.9,11.33,846.6,174.88,0.0,0.0, , 
,176.28,2944,88.5,3.1,11101001,176.74,2976,75.3,11.33,826.2,176.02,0.0,0.0, , 
,177.43,3008,88.5,-0.4,11101001,177.87,3040,72.2,10.30,795.6,177.15,0.0,0.0, , 
,178.55,2208,88.5,0.0,11111101,178.91,1664,0.0,0.00,295.8,178.19,0.0,0.0, , 
,179.49,1152,88.5,0.0,11101011,179.83,2016,22.0,3.09,316.2,179.18,0.0,0.0, , 
,180.47,2272,88.5,0.0,11101001,180.80,2272,29.4,4.12,357.0,180.14,0.0,0.0, , 
,181.46,2240,88.5,0.0,11101001,181.81,2240,53.3,7.21,632.4,181.13,0.0,0.0, , 
,182.49,2240,88.5,4.7,11101001,182.84,2240,54.5,8.24,632.4,182.14,0.0,0.0, , 
,183.50,2240,88.5,8.6,11101001,183.83,2272,53.3,8.24,632.4,183.16,0.0,0.0, , 
,184.49,2272,88.5,10.5,11101001,184.82,2272,53.3,8.24,632.4,184.16,0.0,0.0, , 
,185.49,2272,88.5,12.5,11101001,185.82,2272,53.3,8.24,612.0,185.16,0.0,0.0, , 
,186.50,2272,88.5,12.1,11101001,186.84,2272,53.3,8.24,632.4,186.16,0.0,0.0, , 
,187.50,2272,88.5,8.2,11101001,187.83,2272,50.2,7.21,591.6,187.17,0.0,0.0, , 
,188.49,2272,88.5,10.2,11101001,188.85,2272,42.7,6.18,520.2,188.15,0.0,0.0, , 
,189.52,2272,88.5,10.2,11101001,189.85,2272,44.3,7.21,520.2,189.19,0.0,0.0, , 
,190.53,2272,88.5,11.3,11101001,190.87,2272,44.3,6.18,520.2,190.20,0.0,0.0, , 
,191.55,2272,88.5,10.5,11101001,191.88,2272,42.7,6.18,520.2,191.21,0.0,0.0, , 
,192.54,2272,88.5,10.2,11101001,192.88,2272,42.7,6.18,520.2,192.21,0.0,0.0, , 
,193.57,2272,87.0,10.9,11101001,193.90,2272,42.7,6.18,520.2,193.21,0.0,0.0, , 
,194.57,2272,87.0,10.5,11101001,194.92,2272,44.3,7.21,520.2,194.23,0.0,0.0, , 
,195.60,2272,87.0,11.3,11101001,195.93,2240,44.3,7.21,520.2,195.25,0.0,0.0, , 
,196.61,2240,87.0,11.3,11101001,196.92,2240,44.3,7.21,520.2,196.29,0.0,0.0, , 
,197.60,2240,87.0,10.9,11101001,197.93,2272,45.9,7.21,550.8,197.25,0.0,0.0, , 
,198.60,2240,87.0,11.3,11101001,198.95,2240,23.5,3.09,336.6,198.26,0.0,0.0, , 
,199.63,2240,87.0,-0.8,11101001,199.97,2240,16.1,2.06,244.8,199.31,0.0,0.0, , 
,200.64,2208,87.0,-9.0,11111101,200.98,2208,0.0,0.00,244.8,200.30,0.0,0.0, , 
,201.66,2176,87.0,0.0,11111101,201.99,2176,0.0,0.00,244.8,201.32,0.0,0.0, , 
,202.67,2144,87.0,0.0,11111101,203.03,2144,0.0,0.00,244.8,202.33,0.0,0.0, , 
,203.68,2144,87.0,0.0,11111101,204.02,2144,0.0,0.00,244.8,203.36,0.0,0.0, , 
,204.72,2112,87.0,0.0,11111101,205.05,2112,0.0,0.00,244.8,204.36,0.0,0.0, , 
,205.74,2080,85.5,0.0,11111101,206.07,2080,0.0,0.00,244.8,205.38,0.0,0.0, , 
,206.77,2080,85.5,0.0,11111101,207.10,2080,16.1,2.06,244.8,206.44,0.0,0.0, , 
,207.81,2048,85.5,0.0,11101001,208.15,2048,14.9,2.06,224.4,207.45,0.0,0.0, , 
,208.85,2048,85.5,0.0,11101001,209.19,2080,22.0,3.09,316.2,208.50,0.0,0.0, , 
,209.87,2080,85.5,1.2,11101001,210.22,2048,23.5,3.09,316.2,209.52,0.0,0.0, , 
,210.92,2048,85.5,3.1,11101001,211.26,2048,29.4,4.12,397.8,210.57,0.0,0.0, , 
,211.96,2048,85.5,6.6,11101001,212.32,2048,35.3,5.15,438.6,211.61,0.0,0.0, , 
,213.03,2048,85.5,8.6,11101001,213.38,2048,34.1,5.15,438.6,212.67,0.0,0.0, , 
,214.09,2048,85.5,9.0,11101001,214.42,2048,36.9,5.15,459.0,213.73,0.0,0.0, , 
,215.11,2048,85.5,10.5,11101001,215.46,2016,36.9,6.18,459.0,214.77,0.0,0.0, , 
,216.17,2016,85.5,11.7,11101001,216.53,1984,54.5,8.24,652.8,215.81,0.0,0.0, , 
,217.23,2016,84.0,0.0,11101001,217.59,1984,71.0,11.33,826.2,216.87,0.0,0.0, , 
,218.31,2016,84.0,-5.1,11101001,218.65,2016,78.4,11.33,887.4,217.96,0.0,0.0, , 
,219.37,2048,84.0,-9.0,11101001,219.71,2048,84.3,12.36,948.6,219.00,0.0,0.0, , 
,220.41,2048,84.0,-10.5,11101001,220.74,2048,73.7,11.33,826.2,220.07,0.0,0.0, , 
,221.43,2080,84.0,0.0,11101001,221.78,2080,65.1,9.27,754.8,221.09,0.0,0.0, , 
,222.48,2080,84.0,0.4,11101001,222.83,2080,65.1,9.27,734.4,222.13,0.0,0.0, , 
,223.49,2112,84.0,0.8,11101001,223.86,2080,62.0,9.27,714.0,223.16,0.0,0.0, , 
,224.55,2112,84.0,5.1,11101001,224.88,2112,56.1,8.24,652.8,224.20,0.0,0.0, , 
,225.57,2112,84.0,7.0,11101001,225.95,2112,56.1,8.24,652.8,225.23,0.0,0.0, , 
,226.64,2112,84.0,5.5,11101001,226.99,2112,66.3,10.30,734.4,226.29,0.0,0.0, , 
,227.69,2144,84.0,1.6,11101001,228.03,2144,71.0,10.30,795.6,227.34,0.0,0.0, , 
